	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11I78.1326.SM.5PNY9	GTEX.11P7K.1826.SM.5HL5A	GTEX.ZDTS.2726.SM.5L3E2	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.148VI.1226.SM.5RQJR	GTEX.13VXT.1826.SM.5KM2F	GTEX.13OVL.2726.SM.5J2MP	GTEX.12WSL.1226.SM.5DUXE	GTEX.Y111.1726.SM.4SOIQ	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZAB4.1226.SM.5CVN5	GTEX.ZPU1.1326.SM.57WE1	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.ZPCL.1226.SM.4WWFF	GTEX.U3ZN.1826.SM.4DXUY	GTEX.OHPM.0726.SM.3LK7A	GTEX.X3Y1.1226.SM.4PQZ8	GTEX.T2IS.0926.SM.4DM5B	GTEX.ZE7O.0826.SM.57WCP	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GN.11A.12R.A251.31	GTEX.13X6H.1626.SM.5Q5CT	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ
COG7	244.57	264.03	269.6	271.48	480.04	403.5	368.65	287.01	323.03	279.14	323.03	414.87	406.31	291.04	480.04	1001.93	511.0	708.18	551.56	1127.35	361.04	1313.23	540.19	647.07	713.11	1059.11	1143.1	733.19	808.0	395.18	819.3	363.56	796.86	412.0	909.17	454.09	860.08	693.58	281.09	387.02	248.0	348.71	896.64	1066.48	381.68	414.87	368.65	384.34	583.07	463.65	444.72	420.68	435.55	287.01	251.48	255.0	211.31	316.37	409.15
CSTF3	511.0	384.34	343.89	371.22	371.22	525.39	441.64	271.48	420.68	463.65	470.14	665.29	525.39	540.19	493.56	665.29	497.0	674.59	616.37	947.83	346.29	830.75	532.74	733.19	830.75	830.75	902.89	830.75	902.89	426.57	728.11	473.41	775.05	575.03	872.1	511.0	769.69	813.63	341.51	514.56	444.72	334.46	836.53	718.08	420.68	353.59	353.59	567.1	476.71	708.18	599.49	995.0	521.76	314.17	283.05	312.0	260.38	400.71	624.99
CUL9	366.09	420.68	559.28	447.82	540.19	423.61	483.38	226.54	224.97	253.23	988.12	665.29	780.44	591.22	872.1	1277.29	607.87	1259.69	684.02	1388.16	373.81	1794.29	769.69	1119.56	1183.45	1331.57	2061.24	1369.04	1051.79	525.39	1015.93	392.44	1233.75	473.41	1350.18	733.19	1477.58	1104.13	353.59	571.05	353.59	693.58	1088.92	981.29	511.0	366.09	400.71	503.95	575.03	575.03	457.25	497.0	435.55	209.84	220.32	155.5	194.36	236.21	409.15
DHX58	244.57	175.07	260.38	164.42	269.6	334.46	327.56	84.04	153.34	87.65	514.56	299.25	457.25	204.07	339.14	819.3	309.83	764.36	299.25	813.63	202.66	842.36	358.54	426.57	371.22	571.05	743.43	738.29	587.13	289.02	684.02	197.09	738.29	339.14	490.14	441.64	607.87	409.15	158.79	412.0	183.82	181.28	447.82	1721.16	400.71	256.78	285.03	329.84	551.56	339.14	289.02	275.28	301.33	307.69	95.34	125.24	138.1	218.79	150.17
DMAP1	587.13	599.49	656.11	579.04	708.18	728.11	718.08	381.68	660.68	429.54	679.29	591.22	638.15	595.34	674.59	1268.46	785.88	1051.79	748.61	1268.46	529.06	1119.56	802.41	1066.48	995.0	1015.93	1119.56	1037.29	1008.9	764.36	808.0	529.06	1199.98	563.18	896.64	896.64	1259.69	896.64	486.75	651.58	460.44	651.58	974.5	1208.34	764.36	603.67	708.18	651.58	954.43	624.99	860.08	780.44	688.78	543.96	368.65	483.38	400.71	525.39	591.22
DNMT3B	13.22	7.57	8.25	6.21	12.27	21.47	15.22	2.92	8.78	2.97	64.34	55.89	11.82	10.24	14.35	45.21	21.78	44.57	15.11	72.01	8.32	55.89	23.59	17.9	16.03	52.08	58.71	49.21	32.82	14.14	37.85	8.71	29.7	18.97	26.28	26.47	40.93	35.25	3.72	20.71	4.43	5.06	41.52	38.12	9.48	13.72	7.17	20.11	20.11	16.88	10.47	8.99	14.89	6.78	0.6	3.63	2.81	5.11	1.79
DROSHA	728.11	718.08	669.92	669.92	728.11	713.11	791.35	529.06	497.0	708.18	1199.98	836.53	713.11	791.35	718.08	1127.35	988.12	896.64	1030.12	1088.92	785.88	1151.06	651.58	890.44	1037.29	934.76	988.12	1015.93	866.07	819.3	1216.75	665.29	1119.56	669.92	1167.14	616.37	1175.27	1135.2	769.69	656.11	559.28	529.06	1066.48	1477.58	616.37	603.67	595.34	748.61	947.83	872.1	555.41	733.19	813.63	480.04	297.17	454.09	381.68	587.13	651.58
DZANK1	21.94	24.28	26.86	22.43	31.67	33.54	37.05	10.71	14.35	17.77	39.79	31.67	31.67	29.7	32.59	64.34	43.94	29.27	53.57	81.71	18.29	63.45	31.9	41.81	31.67	75.64	66.18	57.08	38.12	37.85	45.85	24.63	44.25	18.29	38.67	25.35	62.12	87.65	19.25	36.01	15.0	24.99	63.0	476.71	28.65	30.78	42.11	38.12	47.17	37.32	20.56	30.34	38.4	8.45	12.74	18.03	14.24	18.97	11.38
EHMT2	902.89	866.07	1044.52	995.0	866.07	785.88	1023.0	420.68	511.0	395.18	1322.37	830.75	780.44	743.43	796.86	1487.87	1030.12	1605.83	854.13	1477.58	612.11	1662.49	1304.15	1159.07	1572.76	1639.59	1639.59	1277.29	1250.98	819.3	941.27	599.49	866.07	866.07	1277.29	1159.07	1487.87	1259.69	563.18	775.05	579.04	571.05	1685.71	1259.69	1015.93	753.83	796.86	813.63	1159.07	872.1	878.17	748.61	825.0	665.29	414.87	629.35	567.1	775.05	698.41
FANCL	297.17	220.32	224.97	229.72	314.17	435.55	351.14	181.28	224.97	146.03	253.23	334.46	303.44	275.28	269.6	624.99	447.82	514.56	341.51	521.76	165.57	529.06	358.54	316.37	343.89	555.41	587.13	633.73	438.59	249.73	616.37	226.54	457.25	316.37	341.51	295.11	511.0	373.81	169.07	249.73	177.53	211.31	575.03	674.59	334.46	232.94	301.33	466.88	420.68	406.31	187.71	343.89	336.79	144.01	99.43	141.02	132.44	198.47	197.09
HAUS5	194.36	92.05	124.37	112.77	169.07	144.01	202.66	94.67	127.89	102.25	246.28	264.03	212.78	149.12	232.94	361.04	241.19	209.84	173.85	307.69	83.45	429.54	202.66	320.8	211.31	329.84	318.57	346.29	287.01	171.45	265.87	107.38	314.17	194.36	283.05	153.34	323.03	314.17	87.65	152.28	76.71	161.02	307.69	587.13	126.12	97.36	100.13	167.9	197.09	144.01	153.34	127.89	214.27	103.69	63.45	64.34	51.35	87.03	96.68
IRF3	769.69	698.41	808.0	660.68	1540.37	1313.23	1104.13	934.76	698.41	791.35	1628.26	1225.22	934.76	836.53	1313.23	2682.69	1242.34	1794.29	1096.5	1769.57	1111.82	2400.97	1617.0	1437.15	1769.57	1936.53	2047.0	2255.7	2032.85	995.0	1662.49	775.05	2047.0	1304.15	1561.89	1104.13	1883.54	1605.83	981.29	967.76	890.44	866.07	1844.76	2627.46	802.41	1088.92	780.44	830.75	1427.22	1143.1	1008.9	764.36	796.86	559.28	543.96	567.1	486.75	791.35	921.88
ITFG2	438.59	373.81	435.55	387.02	620.67	684.02	679.29	260.38	497.0	336.79	395.18	426.57	543.96	454.09	669.92	1051.79	713.11	796.86	642.59	1066.48	400.71	1135.2	684.02	660.68	775.05	1096.5	1023.0	1104.13	896.64	473.41	842.36	460.44	769.69	567.1	769.69	791.35	1073.91	860.08	361.04	633.73	409.15	583.07	934.76	1037.29	500.46	435.55	540.19	753.83	791.35	525.39	660.68	638.15	575.03	371.22	323.03	248.0	336.79	426.57	450.94
KIAA1407	46.18	49.91	83.45	90.77	73.54	74.06	119.26	19.97	37.32	41.22	62.56	101.54	108.14	111.21	102.25	215.77	127.89	217.27	118.43	293.07	52.82	283.05	128.79	145.02	169.07	314.17	312.0	339.14	220.32	108.9	334.46	70.01	202.66	82.29	209.84	194.36	323.03	217.27	45.85	115.16	50.63	100.13	232.94	647.07	118.43	60.39	62.56	116.78	177.53	158.79	80.57	137.14	127.89	41.52	31.9	36.27	32.36	30.12	57.89
KNTC1	229.72	63.45	55.89	40.36	126.12	197.09	83.45	71.5	122.64	76.17	679.29	497.0	178.77	109.66	256.78	305.55	135.24	267.73	130.6	327.56	128.79	412.0	139.07	182.55	299.25	275.28	384.34	289.02	237.86	142.01	438.59	86.43	244.57	100.83	205.5	183.82	358.54	256.78	57.08	206.94	56.28	175.07	323.03	187.71	78.89	46.84	65.72	145.02	312.0	279.14	72.52	178.77	185.11	77.25	100.13	86.43	73.54	105.15	159.9
MEF2B	12.36	23.42	40.07	18.97	57.49	25.91	35.0	20.41	11.82	66.18	31.67	41.81	40.64	39.5	23.25	129.69	48.87	48.18	52.45	120.1	15.0	152.28	67.12	68.07	80.57	177.53	154.42	116.78	147.06	51.35	97.36	12.45	126.12	63.45	178.77	37.32	85.82	86.43	22.26	12.09	30.12	38.95	143.01	253.23	16.88	37.59	23.42	38.4	91.41	75.64	58.3	28.04	8.13	9.7	23.08	16.15	67.12	29.7	37.05
METAP1D	67.12	84.63	90.77	64.34	113.56	93.35	144.01	61.25	82.87	48.52	114.36	95.34	124.37	87.03	158.79	293.07	198.47	87.03	127.0	223.41	48.87	265.87	129.69	155.5	181.28	258.57	221.86	256.78	163.28	105.89	208.38	69.52	256.78	125.24	178.77	106.63	258.57	241.19	60.39	146.03	65.72	167.9	190.34	92.7	68.07	67.12	100.83	140.04	159.9	129.69	102.97	127.0	102.25	68.55	47.17	39.22	41.81	53.57	94.01
MORN1	49.91	99.43	55.89	55.89	83.45	98.04	95.34	52.45	73.54	65.72	126.12	114.36	116.78	125.24	135.24	181.28	146.03	115.16	151.22	180.02	67.12	209.84	161.02	139.07	155.5	226.54	189.02	211.31	159.9	115.97	163.28	82.29	193.01	89.51	149.12	156.59	180.02	212.78	106.63	132.44	67.12	89.51	181.28	679.29	129.69	111.21	108.14	110.43	131.51	124.37	145.02	136.19	150.17	96.01	88.26	79.45	75.11	117.6	105.15
MRPL55	1583.71	1457.23	1304.15	1977.24	1304.15	1769.57	1322.37	884.29	1397.83	1508.65	2075.59	1477.58	1081.39	1313.23	1313.23	1950.0	1322.37	2451.44	1674.06	3372.43	915.51	2935.74	1685.71	3235.01	2319.15	2777.33	2303.12	2351.53	2400.97	1709.26	2075.59	738.29	2133.97	1259.69	2119.22	1745.2	2018.8	2816.11	1208.34	1088.92	1081.39	1407.55	2400.97	2271.4	2032.85	1340.84	1883.54	1088.92	1819.35	1519.15	1617.0	1397.83	1794.29	974.5	1008.9	1529.73	995.0	1605.83	1457.23
MSH5	66.18	35.25	35.76	38.12	113.56	111.21	96.68	62.12	71.5	46.5	289.02	253.23	212.78	98.04	215.77	379.04	206.94	426.57	195.72	547.75	111.21	591.22	275.28	368.65	414.87	651.58	723.08	629.35	395.18	110.43	579.04	128.79	414.87	181.28	318.57	346.29	638.15	376.41	59.97	293.07	34.02	175.07	392.44	287.01	111.21	53.19	91.41	153.34	373.81	264.03	60.39	133.36	105.15	68.07	42.11	18.56	60.82	63.45	85.22
MSH5-SAPCD1	10.63	4.5	20.86	15.45	26.67	25.54	53.19	25.91	17.13	25.17	50.27	36.27	4.39	31.67	75.64	166.73	32.82	90.14	61.25	226.54	10.47	297.17	48.52	180.02	113.56	163.28	269.6	147.06	120.94	31.9	135.24	14.24	125.24	32.36	117.6	78.34	159.9	87.65	21.94	34.75	0.0	21.94	176.29	299.25	33.78	14.35	36.53	51.35	81.71	78.34	0.0	3.26	19.68	8.45	9.78	7.17	4.35	3.76	15.91
MUTYH	181.28	178.77	191.67	149.12	371.22	384.34	253.23	153.34	229.72	217.27	441.64	457.25	379.04	255.0	444.72	738.29	403.5	743.43	476.71	591.22	346.29	890.44	389.72	529.06	483.38	934.76	808.0	860.08	825.0	260.38	490.14	204.07	753.83	323.03	718.08	426.57	753.83	591.22	279.14	299.25	199.85	384.34	791.35	656.11	312.0	217.27	197.09	316.37	518.15	303.44	258.57	246.28	258.57	215.77	199.85	157.68	183.82	211.31	332.14
MYL9	475800.4	294926.33	485798.0	437825.58	434801.29	456418.21	1800541.22	102836.01	133825.1	195931.88	636586.81	1070607.81	716197.51	1916442.45	610654.84	43840.21	223512.12	134755.94	200048.85	225066.78	125731.67	133825.1	215898.44	329517.51	251464.33	202841.44	189257.69	184082.4	212926.09	318292.9	175363.84	152662.96	167058.21	198667.0	228208.61	229795.93	150561.19	233003.78	256748.15	214407.12	197294.7	223512.12	194578.47	26800.01	462789.59	309589.14	271387.49	527933.71	208544.12	299043.36	485798.0	269512.87	248002.34	215898.44	284880.02	316094.29	269512.87	322736.12	368165.8
NBEAL2	118.43	202.66	197.09	154.42	575.03	392.44	251.48	325.29	212.78	255.0	285.03	327.56	237.86	82.87	769.69	1259.69	679.29	1023.0	802.41	1015.93	476.71	1583.71	693.58	1015.93	698.41	1313.23	1378.57	1350.18	1119.56	441.64	825.0	480.04	928.3	529.06	1081.39	698.41	1304.15	1096.5	497.0	620.67	476.71	400.71	1104.13	988.12	231.32	231.32	218.79	255.0	728.11	780.44	186.4	131.51	226.54	175.07	253.23	136.19	242.88	195.72	518.15
NME3	890.44	995.0	830.75	915.51	1447.15	1467.37	1662.49	656.11	961.07	1044.52	2537.92	1896.65	1605.83	1277.29	1519.15	3589.58	1628.26	3325.99	2018.8	3820.7	1111.82	3639.7	2303.12	3081.75	3212.66	3257.52	3146.52	2664.15	2451.44	1313.23	2645.74	743.43	2133.97	1233.75	2384.37	2133.97	2935.74	2468.49	1059.11	1023.0	1127.35	1159.07	2976.74	4010.71	2855.44	1936.53	2163.77	1191.69	1950.0	1437.15	1662.49	1388.16	1950.0	896.64	896.64	1151.06	791.35	1498.22	2032.85
NSUN6	88.26	88.88	84.63	69.52	93.35	126.12	81.71	66.65	90.14	57.49	72.52	119.26	94.67	95.34	127.0	307.69	136.19	127.89	127.0	249.73	74.58	341.51	131.51	148.09	218.79	221.86	273.37	293.07	239.52	94.01	197.09	113.56	198.47	226.54	217.27	96.01	251.48	244.57	66.65	140.04	87.03	114.36	224.97	323.03	85.22	84.63	109.66	158.79	157.68	125.24	85.82	98.04	147.06	49.91	44.57	54.72	38.95	58.71	57.49
OSGEP	607.87	633.73	521.76	674.59	708.18	748.61	728.11	463.65	718.08	417.77	651.58	723.08	713.11	629.35	688.78	1508.65	921.88	1359.57	796.86	1605.83	346.29	1709.26	785.88	1088.92	981.29	2875.3	1745.2	1359.57	1277.29	679.29	915.51	620.67	1135.2	647.07	1051.79	866.07	1519.15	1199.98	361.04	884.29	291.04	563.18	1572.76	1757.34	961.07	435.55	466.88	836.53	928.3	551.56	713.11	555.41	669.92	423.61	341.51	318.57	320.8	429.54	633.73
OXER1	74.06	90.14	114.36	186.4	42.11	36.53	44.25	5.63	16.51	12.64	28.45	42.71	58.71	47.17	64.8	180.02	101.54	80.01	41.81	161.02	24.11	217.27	64.34	57.08	133.36	158.79	178.77	185.11	206.94	31.67	132.44	17.38	96.68	35.0	99.43	63.89	199.85	111.21	8.19	27.05	12.36	22.1	199.85	293.07	74.06	26.1	26.47	46.5	64.8	29.7	41.52	30.34	68.07	7.82	18.16	6.57	8.99	23.93	51.35
PARP10	246.28	249.73	267.73	154.42	743.43	669.92	941.27	339.14	420.68	332.14	703.28	723.08	802.41	616.37	775.05	1225.22	1037.29	1096.5	647.07	1268.46	368.65	1397.83	713.11	961.07	1175.27	1268.46	1340.84	947.83	947.83	603.67	1059.11	441.64	1447.15	872.1	934.76	921.88	1397.83	1066.48	426.57	842.36	400.71	460.44	1359.57	3303.0	651.58	332.14	642.59	733.19	1059.11	555.41	748.61	651.58	536.45	733.19	429.54	547.75	423.61	780.44	738.29
PCYOX1L	171.45	105.15	115.16	105.15	115.97	152.28	145.02	32.13	88.88	80.01	131.51	124.37	127.89	118.43	128.79	289.02	149.12	153.34	161.02	187.71	82.87	229.72	119.26	164.42	186.4	246.28	209.84	307.69	204.07	134.3	236.21	75.11	170.25	119.26	138.1	151.22	232.94	258.57	59.97	159.9	65.72	113.56	218.79	366.09	206.94	136.19	128.79	118.43	118.43	113.56	144.01	91.41	96.68	120.94	50.63	82.87	87.65	64.8	88.88
PPOX	297.17	226.54	299.25	295.11	441.64	318.57	587.13	182.55	251.48	228.13	507.46	395.18	409.15	397.93	551.56	915.51	651.58	1008.9	591.22	1216.75	435.55	1477.58	693.58	934.76	723.08	1037.29	1359.57	1295.13	1008.9	525.39	1199.98	262.2	819.3	473.41	1073.91	753.83	1199.98	854.13	314.17	567.1	293.07	507.46	1388.16	2104.58	511.0	264.03	312.0	511.0	525.39	432.53	426.57	400.71	400.71	209.84	159.9	172.65	197.09	256.78	341.51
PPP1R3E	117.6	163.28	173.85	176.29	186.4	253.23	246.28	45.85	102.97	72.01	199.85	281.09	264.03	262.2	417.77	507.46	305.55	563.18	389.72	802.41	195.72	753.83	376.41	450.94	830.75	629.35	728.11	656.11	688.78	206.94	928.3	169.07	500.46	248.0	493.56	387.02	665.29	656.11	127.0	329.84	201.25	253.23	775.05	587.13	283.05	143.01	224.97	299.25	406.31	329.84	228.13	297.17	271.48	79.45	54.72	73.54	72.52	79.45	150.17
PRPF3	417.77	521.76	450.94	497.0	825.0	620.67	780.44	403.5	540.19	493.56	1119.56	1127.35	1111.82	854.13	1167.14	1757.34	878.17	1457.23	1030.12	1295.13	785.88	1950.0	947.83	1037.29	1268.46	1572.76	1639.59	1819.35	1605.83	718.08	1819.35	629.35	1697.45	791.35	1378.57	1073.91	1794.29	1487.87	583.07	708.18	555.41	974.5	1617.0	1870.53	389.72	366.09	291.04	854.13	1104.13	974.5	633.73	713.11	571.05	301.33	305.55	189.02	262.2	269.6	521.76
RAB24	521.76	483.38	511.0	476.71	497.0	616.37	669.92	366.09	353.59	447.82	1030.12	775.05	665.29	595.34	647.07	878.17	775.05	848.22	698.41	1096.5	454.09	1259.69	733.19	1081.39	1259.69	1159.07	1127.35	1159.07	890.44	486.75	1111.82	435.55	967.76	507.46	860.08	669.92	1023.0	961.07	490.14	583.07	444.72	651.58	1191.69	1340.84	567.1	493.56	575.03	591.22	660.68	476.71	698.41	423.61	638.15	486.75	351.14	486.75	373.81	612.11	733.19
RAD54B	67.59	23.42	27.64	26.28	26.86	48.52	36.01	14.56	35.0	18.84	28.24	46.18	18.29	9.56	56.28	78.89	61.25	31.9	21.01	105.89	16.75	71.5	34.02	62.56	45.85	96.68	92.05	73.03	51.71	12.93	97.36	23.08	33.3	21.47	73.54	33.06	98.73	43.32	11.38	30.34	14.45	40.07	78.89	115.16	35.76	36.27	49.91	40.93	46.18	90.14	18.16	30.56	62.12	12.74	23.76	12.64	22.1	30.56	21.01
