	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CN.6988.01A.11R.1915.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A1EI.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.132NY.0926.SM.5P9G3	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13CF3.0426.SM.5IJEU	GTEX.12WSL.2126.SM.5GCNG
PI3	36.01	443937.41	682276.92	2864793.06	912837.43	3454390.1	5272295.22	531605.79	1903204.61	1070607.81	0.0	3.89	3.76	6.21	7.57	29.48	170.25	44.89	40.93	0.8	2442622.37	2326934.84
PPARGC1B	20.86	129.69	77.25	45.53	83.45	87.03	145.02	76.17	12.74	59.13	18.84	6.11	4.13	12.45	9.93	3.29	12.55	8.78	49.91	37.85	88.26	51.71
PRICKLE4	262.2	412.0	684.02	232.94	1242.34	249.73	595.34	486.75	163.28	165.57	89.51	74.06	44.25	112.77	102.25	61.68	72.52	58.71	121.79	0.73	400.71	285.03
PSMD12	669.92	1268.46	1199.98	1369.04	819.3	791.35	842.36	1617.0	928.3	1950.0	518.15	563.18	285.03	633.73	651.58	547.75	669.92	490.14	624.99	974.5	684.02	733.19
PSME3	684.02	4481.23	3982.99	2591.27	2400.97	3212.66	2627.46	2720.15	1857.6	3716.2	483.38	547.75	728.11	476.71	769.69	540.19	713.11	616.37	713.11	0.17	2555.58	1697.45
RABGAP1L	218.79	473.41	738.29	351.14	483.38	848.22	285.03	454.09	305.55	228.13	128.79	127.0	112.77	180.02	258.57	132.44	217.27	172.65	177.53	0.39	198.47	409.15
RAPGEFL1	93.35	5831.91	4328.55	12589.08	8421.31	13586.57	31870.96	6607.01	2573.36	2664.15	43.02	67.59	91.41	80.01	146.03	53.57	80.01	103.69	165.57	1.28	195.72	866.07
SCIN	7.82	91.41	87.65	10.0	363.56	33.78	24.99	30.78	24.28	22.59	0.57	0.49	2.63	0.0	4.39	2.05	2.81	0.41	3.56	0.3	22.75	26.47
SH3D19	688.78	1378.57	1059.11	543.96	915.51	1037.29	1331.57	866.07	733.19	536.45	529.06	457.25	255.0	620.67	738.29	400.71	551.56	314.17	638.15	102.25	303.44	392.44
SLC7A1	21.63	1583.71	1104.13	78.89	842.36	287.01	3564.78	819.3	511.0	775.05	13.72	6.62	6.89	10.55	16.27	9.56	36.53	9.85	15.22	50.98	262.2	532.74
STARD3	872.1	1745.2	1781.89	1508.65	1457.23	1561.89	1104.13	1407.55	947.83	1216.75	638.15	607.87	753.83	583.07	669.92	713.11	684.02	785.88	842.36	0.73	802.41	775.05
STAT6	2319.15	3235.01	4802.93	2520.38	4010.71	3742.05	3716.2	2591.27	2645.74	1651.0	1191.69	1096.5	1015.93	1073.91	1167.14	1023.0	1059.11	1295.13	1498.22	305.55	3103.19	3124.78
TDRD7	151.22	454.09	373.81	273.37	346.29	244.57	211.31	215.77	285.03	202.66	112.77	89.51	62.12	110.43	186.4	116.78	116.78	137.14	172.65	0.59	224.97	173.85
TET3	57.89	616.37	293.07	253.23	186.4	265.87	264.03	620.67	149.12	221.86	34.51	23.42	10.88	28.45	35.5	18.43	33.3	24.99	65.26	0.68	242.88	161.02
TGS1	98.73	346.29	318.57	244.57	244.57	293.07	221.86	260.38	121.79	204.07	73.54	62.12	19.39	76.71	94.01	62.56	92.05	59.97	105.89	0.25	214.27	190.34
TJP2	941.27	1662.49	1594.73	934.76	2018.8	1037.29	1340.84	1709.26	1757.34	1674.06	567.1	759.08	595.34	536.45	836.53	599.49	583.07	540.19	802.41	0.56	400.71	1295.13
VTI1A	140.04	376.41	341.51	223.41	316.37	264.03	297.17	325.29	255.0	309.83	92.05	88.26	98.73	96.68	110.43	120.94	106.63	117.6	120.1	0.49	224.97	208.38
ZNF304	63.89	132.44	111.99	98.73	109.66	105.15	121.79	129.69	65.72	91.41	28.04	23.08	20.86	40.36	41.22	26.47	27.44	24.63	42.41	0.19	75.11	85.82
ZNF322	98.04	267.73	173.85	120.94	94.67	152.28	140.04	244.57	71.5	151.22	55.89	41.52	26.86	60.39	73.54	44.57	60.39	63.45	85.22	0.71	82.87	104.42
ZSCAN29	144.01	343.89	285.03	231.32	231.32	291.04	198.47	318.57	150.17	124.37	76.17	62.12	41.22	67.59	98.73	50.98	88.88	70.01	103.69	0.3	132.44	172.65
