	TCGA.LC.A66R.01A.41R.A30C.07	TCGA.XF.AAN0.01A.11R.A42T.07	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.UY.A8OC.01A.11R.A36F.07	TCGA.XF.AAMQ.01A.11R.A42T.07	TCGA.DK.AA6T.01A.11R.A39I.07	TCGA.MA.AA43.01A.11R.A42T.07	TCGA.AA.A02K.01A.03R.A32Y.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4628.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5423.01A.01R.1628.07	TCGA.38.4629.01A.02R.1206.07	TCGA.50.5068.01A.01R.1628.07	TCGA.55.6968.11A.01R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4625.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.ZXG5.0826.SM.5GID6	GTEX.Y111.1026.SM.4TT22	GTEX.147JS.1226.SM.5RQK4	GTEX.11PRG.0926.SM.5EGI8	GTEX.111FC.1126.SM.5GZWU	GTEX.11EI6.0826.SM.5985V	GTEX.S33H.0626.SM.2XCBJ	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.13FHP.0726.SM.5K7YI	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.1212Z.1026.SM.5EGJ8	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZYT6.0526.SM.5GIEA	GTEX.YJ8O.1826.SM.5HL82	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T2IS.0526.SM.32QP9	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	TCGA.22.1017.01A.01R.0692.07	TCGA.58.8386.11A.01R.2296.07	TCGA.77.7335.11A.01R.2045.07	TCGA.77.7337.11A.01R.2045.07	TCGA.56.7580.11A.01R.2045.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.AG.3591.01A.01R.1736.07	TCGA.E6.A2P8.01A.11R.A19W.07	TCGA.SL.A6JA.01A.11R.A31O.07	TCGA.EO.A22X.01A.11R.A180.07
ANO6	444.72	329.84	249.73	480.04	392.44	603.67	141.02	320.8	197.09	140.04	258.57	629.35	397.93	267.73	493.56	329.84	503.95	616.37	723.08	928.3	651.58	813.63	1427.22	928.3	830.75	1030.12	1583.71	1331.57	1639.59	1745.2	780.44	1073.91	1340.84	1167.14	1437.15	1119.56	802.41	1963.57	1991.0	1151.06	1857.6	1397.83	1540.37	1119.56	1447.15	1159.07	1015.93	1697.45	825.0	1350.18	1359.57	1397.83	1199.98	1857.6	1242.34	1467.37	915.51	607.87	555.41	1233.75	1407.55	1175.27	197.09	285.03	473.41	178.77	155.5
APOL3	785.88	738.29	1111.82	1066.48	92.7	2075.59	217.27	149.12	145.02	55.49	1304.15	101.54	0.0	503.95	595.34	414.87	1044.52	896.64	1119.56	1277.29	1242.34	1015.93	3146.52	3190.46	1250.98	928.3	3491.39	3614.55	3303.0	5954.47	981.29	4704.07	2895.31	5831.91	1950.0	1051.79	947.83	3874.05	5112.16	2240.11	7032.37	3257.52	2573.36	2319.15	5366.37	2555.58	2209.26	2032.85	536.45	3847.29	2796.65	2047.0	3820.7	4010.71	6471.02	2367.9	1295.13	587.13	1487.87	1519.15	1991.0	1832.01	305.55	309.83	529.06	58.3	214.27
ARHGEF15	86.43	73.54	129.69	27.84	77.79	39.5	59.55	108.9	53.95	34.51	114.36	38.12	0.0	42.41	78.34	27.64	429.54	361.04	197.09	339.14	435.55	303.44	693.58	587.13	162.14	480.04	791.35	1467.37	1081.39	2875.3	392.44	1709.26	1662.49	669.92	1151.06	656.11	470.14	1870.53	2178.83	1519.15	2451.44	1397.83	2178.83	890.44	1896.65	480.04	713.11	339.14	136.19	3235.01	2434.5	1407.55	1909.85	295.11	780.44	387.02	1111.82	63.89	429.54	454.09	934.76	693.58	42.11	63.45	93.35	27.84	67.12
ARHGEF6	180.02	104.42	463.65	124.37	58.71	339.14	143.01	90.14	20.41	19.97	264.03	97.36	123.5	236.21	162.14	152.28	346.29	426.57	307.69	426.57	429.54	193.01	1151.06	563.18	518.15	323.03	1697.45	2645.74	860.08	2004.85	309.83	915.51	981.29	866.07	400.71	473.41	579.04	2004.85	1437.15	1331.57	890.44	669.92	1551.09	1096.5	825.0	995.0	620.67	1250.98	246.28	1794.29	1030.12	1023.0	1388.16	769.69	785.88	595.34	507.46	107.38	397.93	607.87	647.07	547.75	42.71	53.95	80.57	9.93	32.82
ARSF	0.0	63.89	0.0	0.56	0.0	1.51	2.61	14.24	0.0	0.0	0.34	0.27	0.0	0.0	0.27	0.0	0.72	0.0	0.77	1.38	1.81	2.2	3.29	0.93	1.38	0.0	10.63	2.63	2.41	3.79	0.0	2.27	7.0	2.39	10.63	0.0	0.89	8.71	1.75	2.39	5.15	0.0	4.17	0.0	2.68	3.53	0.0	8.92	1.71	5.32	11.47	0.99	0.84	3.32	4.74	3.08	3.5	0.0	1.5	1.77	1.41	7.06	0.0	0.0	0.39	6.46	0.37
ASB4	0.0	0.0	1.66	0.28	0.0	0.0	0.34	0.0	49.21	3.44	0.33	22.75	0.0	18.84	5.92	23.59	14.45	15.56	8.92	12.45	12.93	0.99	24.63	20.11	10.71	2.97	37.85	36.79	7.22	22.92	2.41	6.06	14.89	9.34	0.13	30.56	17.25	5.59	33.54	36.79	71.0	59.13	14.45	23.25	2.97	37.85	25.91	49.91	0.53	25.54	20.11	9.27	4.5	12.93	42.71	35.5	12.27	4.66	9.13	6.73	21.16	14.35	0.88	0.0	0.97	0.0	0.91
ATP1B2	7.57	23.42	14.89	5.63	5.87	4.62	39.79	28.45	6.84	6.31	5.96	5.28	0.0	45.85	6.01	9.85	29.48	43.32	23.42	49.91	63.89	49.91	211.31	87.65	65.26	73.03	287.01	162.14	241.19	244.57	111.21	231.32	134.3	217.27	65.26	93.35	77.79	152.28	201.25	89.51	217.27	303.44	204.07	178.77	223.41	111.99	85.22	214.27	38.95	180.02	246.28	117.6	87.03	108.14	69.03	84.63	102.25	12.55	58.3	113.56	65.72	48.18	3.32	7.69	2.81	7.88	5.87
B3GALT2	0.64	4.13	2.66	0.85	0.99	4.28	3.92	0.59	0.71	4.21	0.34	15.45	0.0	13.93	1.1	10.16	14.78	16.63	59.13	35.76	30.78	9.13	42.41	9.85	2.86	5.41	141.02	307.69	144.01	231.32	4.06	62.12	228.13	22.43	103.69	60.39	2.27	220.32	341.51	127.0	50.98	34.75	124.37	40.93	30.34	21.47	3.79	18.56	28.24	155.5	74.58	76.71	60.39	50.98	20.11	4.17	82.87	3.41	39.5	115.16	74.06	63.0	4.06	31.22	1.95	0.22	3.79
BAI3	0.0	3.11	5.28	0.0	1.97	0.0	6.52	0.44	0.0	0.87	0.41	4.7	0.0	3.89	1.69	9.06	17.25	18.84	22.59	37.32	30.56	17.13	16.39	26.1	2.61	22.92	173.85	66.18	78.89	127.0	20.26	76.17	158.79	53.19	30.78	84.04	25.54	197.09	135.24	44.57	102.25	85.82	83.45	52.45	40.36	18.16	50.27	63.0	17.0	94.67	115.97	53.19	109.66	43.32	27.84	15.45	59.97	3.47	18.84	45.21	62.12	31.22	1.41	0.0	1.07	0.0	7.94
BFSP1	57.89	21.16	13.03	68.55	90.14	65.72	9.63	73.54	6.73	76.71	36.27	34.26	0.0	31.0	42.11	26.86	34.75	37.32	52.08	74.06	49.56	34.26	108.9	40.36	30.78	31.22	124.37	121.79	102.97	182.55	25.54	206.94	194.36	51.35	112.77	59.97	24.46	176.29	183.82	106.63	59.13	34.75	146.03	98.73	52.82	86.43	30.34	85.82	49.21	144.01	214.27	89.51	186.4	53.95	61.25	44.25	130.6	51.71	52.82	51.35	62.12	60.39	35.76	103.69	25.17	37.32	66.18
C10orf25	13.22	20.41	28.65	9.85	21.32	9.48	10.24	31.67	16.88	13.22	18.7	10.0	0.0	13.83	22.92	14.24	34.02	42.11	47.17	58.3	53.19	33.06	53.57	19.82	31.67	18.03	128.79	197.09	75.11	142.01	43.63	145.02	120.94	41.52	80.01	78.89	16.88	208.38	180.02	138.1	92.05	59.13	158.79	102.25	73.54	37.05	23.76	61.25	18.29	108.9	125.24	138.1	112.77	35.5	29.06	26.28	105.15	21.47	40.93	85.82	67.12	63.0	10.39	26.67	19.53	9.93	9.56
C10orf32	151.22	368.65	271.48	167.9	231.32	236.21	237.86	228.13	186.4	155.5	260.38	651.58	329.84	647.07	175.07	500.46	656.11	543.96	1350.18	1127.35	890.44	941.27	759.08	961.07	769.69	728.11	1044.52	1369.04	1225.22	1594.73	633.73	1397.83	571.05	872.1	748.61	819.3	688.78	2104.58	1250.98	819.3	555.41	854.13	921.88	866.07	854.13	629.35	521.76	796.86	819.3	1295.13	1030.12	878.17	813.63	563.18	507.46	866.07	1159.07	208.38	595.34	825.0	759.08	848.22	376.41	299.25	518.15	583.07	181.28
C15orf59	5.73	9.78	37.32	7.94	80.57	5.28	32.82	167.9	7.94	10.63	9.93	25.91	0.0	234.57	10.16	19.68	81.14	106.63	88.88	108.14	226.54	223.41	406.31	141.02	82.87	150.17	1427.22	269.6	5219.6	299.25	133.36	1583.71	563.18	376.41	624.99	178.77	78.89	403.5	429.54	195.72	1051.79	647.07	435.55	303.44	624.99	583.07	314.17	480.04	76.17	426.57	718.08	159.9	536.45	246.28	104.42	202.66	366.09	10.88	108.9	58.3	92.7	120.1	5.73	6.21	45.21	187.71	12.83
C16orf45	70.01	102.97	217.27	432.53	265.87	921.88	101.54	591.22	1023.0	74.06	384.34	142.01	0.0	99.43	167.9	145.02	221.86	232.94	217.27	281.09	406.31	426.57	397.93	1304.15	228.13	320.8	457.25	343.89	2609.3	1757.34	429.54	1191.69	529.06	723.08	514.56	555.41	1030.12	551.56	551.56	525.39	403.5	612.11	698.41	684.02	373.81	825.0	624.99	1417.35	194.36	961.07	915.51	220.32	647.07	414.87	246.28	381.68	409.15	70.51	457.25	248.0	249.73	429.54	93.35	265.87	127.89	27.05	93.35
C1QTNF7	1.3	42.41	23.42	3.69	4.28	4.03	35.76	7.06	2.1	5.92	4.94	53.19	0.0	40.64	8.32	26.67	28.45	53.57	100.13	217.27	283.05	41.52	170.25	343.89	110.43	155.5	713.11	571.05	2018.8	1437.15	17.9	559.28	1407.55	301.33	171.45	185.11	115.97	1617.0	1340.84	595.34	521.76	684.02	825.0	1023.0	320.8	447.82	73.54	363.56	46.5	674.59	674.59	420.68	802.41	334.46	209.84	265.87	271.48	3.66	164.42	258.57	293.07	148.09	6.41	17.9	3.44	12.27	6.16
C21orf91	325.29	104.42	194.36	150.17	139.07	165.57	299.25	140.04	67.12	39.79	113.56	102.97	0.0	228.13	104.42	237.86	116.78	148.09	164.42	202.66	148.09	149.12	934.76	129.69	101.54	172.65	438.59	295.11	182.55	466.88	134.3	848.22	497.0	346.29	148.09	119.26	199.85	258.57	277.2	381.68	555.41	169.07	529.06	244.57	212.78	165.57	195.72	256.78	53.57	299.25	351.14	400.71	234.57	178.77	329.84	291.04	130.6	92.05	197.09	366.09	309.83	191.67	76.71	90.77	156.59	69.03	122.64
C6orf123	0.96	37.85	4.98	1.97	3.59	0.0	1.33	1.57	24.99	65.72	1.53	40.93	0.0	39.79	7.11	14.56	17.51	26.86	18.16	14.89	18.43	4.94	23.76	36.27	7.46	3.2	50.27	24.11	87.65	80.57	20.11	25.72	54.72	24.63	59.97	46.18	37.85	171.45	58.3	67.59	33.06	96.68	43.63	69.52	18.43	102.25	29.27	12.45	11.38	92.7	77.25	17.25	65.72	20.26	4.7	9.7	53.95	13.42	28.86	12.18	26.28	31.67	15.22	110.43	2.03	1.01	2.16
C9orf3	463.65	665.29	426.57	563.18	1304.15	1175.27	334.46	1066.48	872.1	860.08	403.5	1044.52	642.59	2335.28	974.5	2739.08	836.53	813.63	1304.15	1857.6	1313.23	1427.22	1457.23	1519.15	1030.12	1870.53	4704.07	1594.73	2956.17	2485.67	1340.84	4358.66	1757.34	2193.99	1721.16	1561.89	2287.2	1991.0	2417.67	2255.7	1322.37	2627.46	3443.31	1191.69	3190.46	1583.71	1151.06	4210.15	2287.2	2537.92	5366.37	1529.73	1870.53	2855.44	1508.65	1340.84	1769.57	902.89	1350.18	1417.35	1199.98	1023.0	1457.23	5329.3	503.95	195.72	563.18
CADM1	183.82	120.1	157.68	733.19	316.37	43.32	49.21	409.15	13.42	78.34	91.41	299.25	142.01	563.18	866.07	1175.27	1832.01	1508.65	2119.22	1551.09	1295.13	1832.01	12076.21	1806.78	1617.0	1096.5	4388.98	9540.5	1417.35	1651.0	1651.0	6426.31	3614.55	1991.0	1023.0	579.04	1096.5	8658.09	5112.16	1277.29	10808.41	2075.59	1617.0	620.67	2701.35	3039.3	1721.16	6887.62	2645.74	5329.3	1340.84	9474.59	1769.57	11827.67	3303.0	3257.52	4769.75	559.28	1883.54	2163.77	2061.24	1467.37	60.82	24.81	82.29	426.57	579.04
CALCRL	136.19	57.08	156.59	33.3	108.14	59.97	41.81	579.04	38.67	13.62	103.69	172.65	0.0	262.2	163.28	271.48	624.99	738.29	1044.52	1883.54	1259.69	1617.0	4038.61	1030.12	616.37	1175.27	3190.46	8718.32	2835.7	6426.31	1159.07	1936.53	2502.97	1051.79	1870.53	1519.15	1832.01	9740.98	3768.09	3081.75	5751.61	1617.0	7331.05	1417.35	1697.45	842.36	2855.44	842.36	361.04	3690.52	1639.59	7331.05	2255.7	3955.48	3665.02	3540.14	2119.22	176.29	1313.23	3716.2	3303.0	1936.53	102.25	68.07	180.02	29.7	96.01
CASC4	332.14	802.41	571.05	607.87	476.71	967.76	854.13	511.0	759.08	301.33	529.06	902.89	780.44	1331.57	723.08	1477.58	860.08	836.53	1242.34	1350.18	988.12	1199.98	2335.28	1081.39	1662.49	967.76	2075.59	2287.2	3665.02	2537.92	934.76	1397.83	2075.59	1111.82	1457.23	1447.15	954.43	2915.45	2209.26	2119.22	1519.15	1498.22	1950.0	1674.06	1331.57	1250.98	1151.06	1781.89	1001.93	1977.24	1674.06	1572.76	1369.04	1628.26	1044.52	1832.01	1159.07	1081.39	1030.12	1561.89	1477.58	1467.37	878.17	769.69	1001.93	769.69	642.59
CAV1	3874.05	928.3	1844.76	4328.55	3716.2	316.37	447.82	2997.45	132.44	136.19	2502.97	563.18	1639.59	753.83	7331.05	1407.55	7803.01	9215.48	26431.04	24660.96	11745.96	14561.8	47974.16	14262.1	4736.79	13033.07	35856.82	113315.62	61999.83	26067.14	9808.75	48643.87	35609.13	22072.07	14561.8	9151.82	12329.98	113315.62	85283.74	44145.15	127486.83	21320.18	39785.74	32540.65	30572.63	26614.89	12676.65	25530.66	10368.08	74243.68	27938.14	31215.04	42054.3	46019.85	25887.07	21768.19	13215.02	1104.13	8305.36	22380.2	27938.14	16269.83	536.45	802.41	753.83	124.37	260.38
CAV2	1331.57	1250.98	595.34	2664.15	2075.59	392.44	133.36	1143.1	54.33	47.5	463.65	1030.12	1757.34	1388.16	6887.62	2119.22	2591.27	3190.46	7803.01	7642.41	3540.14	6745.86	22380.2	5112.16	3443.31	7081.29	11267.44	25005.23	14663.09	7857.29	4607.24	12589.08	6935.54	6164.49	5872.48	3665.02	6561.36	27553.49	23986.58	10959.3	30361.44	6983.79	14663.09	5954.47	7642.41	6337.83	7433.4	13586.57	5479.15	20170.07	7589.61	6607.01	11345.82	22692.63	11504.21	9474.59	6121.9	961.07	3018.3	8479.89	7749.1	4937.99	220.32	529.06	309.83	87.03	117.6
CDC14A	49.91	51.35	47.17	25.54	22.92	75.11	88.26	47.17	24.46	25.54	33.06	41.52	0.0	80.01	28.45	211.31	87.65	96.68	133.36	113.56	127.89	48.18	275.28	177.53	57.08	256.78	470.14	521.76	248.0	305.55	90.77	145.02	373.81	201.25	198.47	131.51	181.28	579.04	336.79	258.57	253.23	297.17	165.57	191.67	190.34	150.17	165.57	141.02	89.51	214.27	172.65	170.25	237.86	275.28	183.82	190.34	121.79	56.68	144.01	183.82	232.94	129.69	22.59	40.93	81.14	55.49	66.65
CDH13	287.01	96.68	38.4	37.05	75.64	579.04	17.25	226.54	60.82	42.41	295.11	39.5	0.0	33.3	156.59	44.25	150.17	145.02	232.94	447.82	490.14	669.92	287.01	406.31	69.03	1991.0	708.18	813.63	656.11	2133.97	113.56	373.81	2956.17	108.14	384.34	251.48	341.51	1936.53	2178.83	1397.83	2075.59	872.1	2178.83	684.02	414.87	189.02	314.17	575.03	206.94	753.83	2148.82	642.59	1487.87	1662.49	1322.37	426.57	493.56	34.51	201.25	575.03	536.45	346.29	109.66	133.36	82.87	32.82	64.34
CDK14	281.09	52.82	339.14	90.77	148.09	126.12	607.87	194.36	14.35	9.06	135.24	75.11	197.09	115.97	334.46	98.04	221.86	214.27	226.54	258.57	201.25	105.15	414.87	299.25	444.72	1529.73	791.35	860.08	796.86	486.75	423.61	406.31	607.87	361.04	417.77	297.17	229.72	1369.04	406.31	320.8	665.29	521.76	603.67	356.05	490.14	312.0	656.11	490.14	228.13	665.29	532.74	503.95	620.67	384.34	307.69	373.81	299.25	64.34	224.97	307.69	336.79	351.14	15.0	10.39	59.55	69.03	56.68
CDKAL1	738.29	132.44	173.85	285.03	154.42	212.78	132.44	211.31	85.82	113.56	95.34	140.04	177.53	106.63	127.0	121.79	151.22	159.9	133.36	154.42	136.19	123.5	194.36	336.79	121.79	158.79	503.95	642.59	348.71	351.14	147.06	182.55	256.78	267.73	220.32	208.38	119.26	400.71	297.17	83.45	373.81	195.72	197.09	199.85	181.28	253.23	172.65	267.73	64.34	371.22	201.25	185.11	152.28	170.25	195.72	155.5	131.51	126.12	127.89	260.38	199.85	162.14	142.01	138.1	111.99	96.68	167.9
COLEC10	4.7	1.39	2.32	3.08	3.26	9.7	0.0	0.0	0.0	1.99	2.39	5.06	0.0	2.63	1.2	6.78	9.27	8.13	53.57	96.01	3.5	6.31	118.43	29.06	50.63	27.84	43.32	389.72	45.21	28.24	100.13	143.01	199.85	70.01	59.55	18.97	7.11	303.44	242.88	244.57	48.52	62.56	138.1	124.37	61.25	35.76	39.22	28.24	20.56	195.72	178.77	312.0	156.59	111.99	60.82	35.76	52.08	6.26	19.25	57.08	25.91	32.82	0.34	54.33	0.0	1.73	0.0
