	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.13FTX.0526.SM.5IFGS	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.O5YV.1026.SM.3LK72	GTEX.13QJ3.1726.SM.5RQK9	GTEX.T5JC.1726.SM.4DM6U	GTEX.1399R.0826.SM.5IJEL	GTEX.13OVI.2626.SM.5KM4T	GTEX.14DAQ.1426.SM.5RQJD	GTEX.W5WG.1626.SM.4LMKG	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.X585.1226.SM.46MW7	GTEX.ZVT2.1326.SM.5E45H	GTEX.PLZ4.1626.SM.3P618	GTEX.11P81.0826.SM.5P9GR	GTEX.1122O.1726.SM.5GICM	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.YEC3.2526.SM.4YCDN	GTEX.N7MT.0326.SM.48TDP	GTEX.14E1K.1226.SM.5S2PD	GTEX.PWCY.0726.SM.48TCS	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.ZPCL.1426.SM.57WEC	GTEX.P4PQ.0626.SM.3NMCU	GTEX.OIZG.1026.SM.3LK5X	GTEX.14AS3.0626.SM.5QGQD	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CCT7	3564.78	5831.91	3928.15	5831.91	5006.93	5555.65	3060.45	4903.87	3820.7	4210.15	3039.3	4450.27	5255.91	4869.99	5831.91	4450.27	3372.43	2835.7	2520.38	2875.3	1639.59	3124.78	2555.58	2537.92	2537.92	1605.83	1870.53	3103.19	2148.82	2018.8	3419.52	2701.35	3794.3	1757.34	2739.08	2303.12	3614.55	2627.46	3212.66	2384.37	3212.66	1794.29	3060.45	3124.78	2573.36	1745.2	2400.97	3540.14	3060.45	3325.99	4450.27	5403.7	4419.52	4671.57	4903.87	3395.89	4802.93	7280.4	5183.54	6607.01	4450.27	4095.0	4972.34	4869.99
CCT8	4328.55	2976.74	2468.49	3443.31	2976.74	2664.15	2075.59	2875.3	2682.69	3039.3	2451.44	3190.46	2434.5	2004.85	3614.55	2997.45	2485.67	2061.24	1883.54	2047.0	1651.0	2255.7	2335.28	2148.82	1896.65	1594.73	2018.8	2075.59	1540.37	1561.89	2895.31	1745.2	2777.33	1806.78	2104.58	2032.85	3081.75	1950.0	3540.14	2119.22	2701.35	1794.29	2468.49	2075.59	2047.0	1781.89	1832.01	2485.67	1806.78	2701.35	3515.68	3794.3	3103.19	2720.15	3639.7	2255.7	3280.18	4268.94	3280.18	5329.3	2555.58	3168.41	3039.3	4010.71
CDC123	1369.04	1674.06	2018.8	2287.2	2075.59	2148.82	1745.2	2133.97	1923.14	1583.71	1572.76	1674.06	2090.03	1447.15	2502.97	1844.76	1437.15	1051.79	896.64	1191.69	836.53	1233.75	1111.82	1073.91	759.08	703.28	775.05	1167.14	995.0	808.0	1427.22	890.44	1143.1	595.34	1143.1	928.3	1519.15	1175.27	1242.34	769.69	1605.83	693.58	1250.98	1081.39	878.17	638.15	1073.91	1127.35	836.53	1369.04	1662.49	1721.16	1457.23	1844.76	1457.23	1259.69	1757.34	2875.3	2335.28	2287.2	1467.37	1832.01	1909.85	2591.27
CMSS1	273.37	559.28	514.56	890.44	1286.18	1322.37	603.67	896.64	1191.69	995.0	429.54	642.59	1127.35	503.95	1639.59	587.13	316.37	218.79	125.24	301.33	118.43	232.94	173.85	248.0	187.71	180.02	214.27	220.32	159.9	262.2	271.48	171.45	299.25	211.31	197.09	171.45	366.09	156.59	273.37	309.83	251.48	138.1	267.73	242.88	187.71	204.07	191.67	281.09	186.4	241.19	603.67	796.86	463.65	525.39	551.56	334.46	511.0	1331.57	441.64	616.37	363.56	255.0	343.89	444.72
CSE1L	1857.6	1508.65	1250.98	1508.65	1870.53	1819.35	1651.0	1175.27	1697.45	1781.89	1183.45	1208.34	1950.0	890.44	1651.0	1037.29	915.51	860.08	629.35	780.44	612.11	848.22	915.51	780.44	713.11	612.11	802.41	780.44	591.22	808.0	1135.2	780.44	896.64	540.19	728.11	633.73	1242.34	743.43	1159.07	738.29	1051.79	769.69	1001.93	896.64	872.1	660.68	728.11	1015.93	769.69	1015.93	1437.15	1561.89	1340.84	1143.1	1417.35	1044.52	1250.98	2032.85	2119.22	2119.22	1268.46	1199.98	1561.89	1617.0
DCLRE1B	91.41	142.01	108.14	155.5	170.25	129.69	144.01	154.42	146.03	144.01	82.29	100.83	114.36	87.65	275.28	91.41	80.57	68.07	41.81	67.59	47.84	66.18	59.55	48.87	39.5	39.5	43.63	64.34	40.36	73.03	87.65	44.57	57.08	26.1	120.1	35.25	85.82	54.72	94.67	28.45	91.41	31.67	87.65	62.12	94.01	30.12	53.19	77.79	47.17	48.18	91.41	103.69	81.71	47.84	101.54	75.11	94.67	169.07	118.43	79.45	76.71	77.79	88.26	94.01
DNAJC8	1447.15	1757.34	1685.71	1950.0	2104.58	1709.26	1594.73	1721.16	2303.12	1950.0	1583.71	2119.22	1806.78	1781.89	2104.58	1883.54	1437.15	1322.37	1167.14	1427.22	1030.12	1721.16	1359.57	1427.22	1023.0	1111.82	941.27	1487.87	1183.45	1340.84	1467.37	1233.75	1519.15	1030.12	1417.35	1191.69	1733.13	1551.09	1457.23	921.88	1745.2	1023.0	1427.22	1277.29	1286.18	866.07	1378.57	1388.16	1073.91	1498.22	1819.35	2178.83	1963.57	2255.7	1757.34	1617.0	1794.29	3540.14	2193.99	1819.35	2004.85	1844.76	1991.0	2133.97
EBNA1BP2	1427.22	1639.59	1757.34	3039.3	2816.11	2287.2	1745.2	2720.15	2075.59	2178.83	1350.18	2090.03	3018.3	1819.35	2855.44	2335.28	1250.98	934.76	967.76	1073.91	947.83	1233.75	1044.52	1199.98	902.89	684.02	842.36	1183.45	954.43	947.83	1304.15	866.07	1519.15	854.13	1081.39	954.43	1487.87	1127.35	1175.27	902.89	1519.15	902.89	1242.34	1359.57	1225.22	974.5	1233.75	1551.09	981.29	1286.18	1685.71	2178.83	1733.13	2163.77	1844.76	1259.69	2148.82	3874.05	2573.36	2758.13	1685.71	1551.09	1781.89	1697.45
EFTUD2	884.29	1216.75	1697.45	1709.26	1286.18	1639.59	1350.18	1923.14	1963.57	1529.73	1159.07	1529.73	3395.89	1304.15	2351.53	1427.22	1313.23	896.64	928.3	974.5	713.11	1111.82	1008.9	1111.82	796.86	718.08	802.41	1104.13	1313.23	842.36	1030.12	1023.0	1088.92	669.92	1175.27	896.64	1594.73	1037.29	1151.06	921.88	1331.57	974.5	1037.29	1001.93	921.88	759.08	872.1	1143.1	909.17	995.0	1340.84	1870.53	1233.75	878.17	1583.71	1313.23	1697.45	1508.65	1832.01	1709.26	1304.15	1529.73	1331.57	1331.57
EIF2B3	361.04	384.34	511.0	738.29	587.13	629.35	450.94	651.58	603.67	616.37	432.53	624.99	447.82	341.51	624.99	444.72	460.44	346.29	277.2	305.55	221.86	325.29	339.14	285.03	267.73	202.66	218.79	363.56	312.0	371.22	351.14	334.46	417.77	267.73	305.55	305.55	476.71	314.17	438.59	493.56	435.55	262.2	435.55	368.65	314.17	215.77	309.83	368.65	329.84	371.22	603.67	669.92	555.41	703.28	591.22	460.44	642.59	698.41	493.56	532.74	463.65	387.02	532.74	414.87
FAM86C1	162.14	142.01	217.27	221.86	193.01	177.53	187.71	358.54	199.85	155.5	152.28	162.14	193.01	121.79	819.3	198.47	138.1	98.73	137.14	81.71	94.01	102.25	144.01	93.35	75.11	105.89	54.33	132.44	79.45	100.83	154.42	110.43	99.43	72.52	109.66	92.7	176.29	115.97	101.54	51.35	140.04	54.72	91.41	139.07	115.16	53.95	127.0	117.6	134.3	171.45	167.9	226.54	139.07	101.54	226.54	115.97	186.4	414.87	341.51	279.14	141.02	231.32	500.46	175.07
FARSB	921.88	1119.56	1030.12	1250.98	1191.69	1066.48	1030.12	1037.29	1225.22	1051.79	967.76	921.88	785.88	733.19	866.07	1447.15	902.89	624.99	490.14	599.49	473.41	669.92	825.0	616.37	547.75	620.67	547.75	669.92	684.02	603.67	819.3	660.68	780.44	500.46	674.59	536.45	1051.79	723.08	728.11	728.11	819.3	603.67	713.11	802.41	780.44	438.59	540.19	928.3	660.68	775.05	1250.98	1427.22	921.88	764.36	1088.92	836.53	1073.91	1857.6	1427.22	1175.27	1015.93	728.11	1167.14	1457.23
GLRX3	2119.22	1909.85	1950.0	3303.0	3060.45	2591.27	1883.54	3395.89	2032.85	1883.54	1963.57	1819.35	1883.54	1819.35	2720.15	2720.15	1896.65	1369.04	1242.34	1417.35	1151.06	1427.22	1529.73	1397.83	1340.84	1081.39	1685.71	1498.22	1313.23	1143.1	2032.85	1088.92	1628.26	1225.22	1340.84	1286.18	2061.24	1407.55	1806.78	1628.26	1605.83	1225.22	1697.45	1628.26	1674.06	1143.1	1242.34	1662.49	1457.23	1857.6	2004.85	2351.53	2148.82	3768.09	2434.5	1651.0	2417.67	4575.41	2997.45	3235.01	2271.4	2367.9	2400.97	3303.0
HAT1	1037.29	1059.11	713.11	791.35	743.43	651.58	825.0	738.29	954.43	988.12	603.67	842.36	1044.52	1023.0	1208.34	728.11	525.39	543.96	450.94	518.15	412.0	571.05	620.67	713.11	379.04	339.14	420.68	551.56	595.34	476.71	791.35	551.56	624.99	307.69	612.11	406.31	791.35	563.18	796.86	435.55	764.36	426.57	703.28	571.05	480.04	368.65	483.38	728.11	444.72	595.34	1001.93	1216.75	1081.39	928.3	1059.11	802.41	941.27	1605.83	1023.0	775.05	780.44	723.08	813.63	866.07
KARS	2255.7	2148.82	2104.58	2796.65	2758.13	4010.71	1709.26	2720.15	2682.69	2193.99	1923.14	2075.59	2855.44	2255.7	3190.46	2303.12	1781.89	1583.71	1605.83	1674.06	1167.14	1639.59	1662.49	1857.6	1477.58	1199.98	1467.37	1628.26	1733.13	1216.75	1963.57	1551.09	1977.24	1594.73	1721.16	1583.71	2255.7	1639.59	1950.0	1417.35	2148.82	1407.55	1561.89	1896.65	1583.71	967.76	1340.84	2133.97	1605.83	1844.76	2319.15	3303.0	2400.97	2240.11	3039.3	2133.97	2777.33	3874.05	2875.3	3060.45	2720.15	2434.5	2777.33	2627.46
KPNA2	1073.91	1662.49	896.64	4298.64	4210.15	2520.38	1519.15	2032.85	1242.34	2645.74	507.46	1350.18	1991.0	808.0	6294.04	1605.83	1015.93	830.75	450.94	769.69	483.38	974.5	603.67	718.08	547.75	447.82	660.68	718.08	486.75	583.07	1073.91	435.55	890.44	241.19	723.08	438.59	1628.26	802.41	1059.11	624.99	1313.23	559.28	1081.39	679.29	981.29	567.1	647.07	1001.93	612.11	1066.48	1583.71	2209.26	1397.83	915.51	1605.83	1369.04	2090.03	2664.15	1896.65	2400.97	1769.57	1733.13	1437.15	2178.83
LRR1	206.94	358.54	193.01	305.55	435.55	381.68	283.05	406.31	241.19	217.27	153.34	289.02	371.22	234.57	403.5	223.41	191.67	106.63	87.65	153.34	76.71	151.22	97.36	117.6	92.05	74.06	182.55	112.77	149.12	74.58	189.02	102.25	170.25	97.36	148.09	97.36	185.11	103.69	145.02	91.41	204.07	98.04	171.45	155.5	102.97	110.43	117.6	173.85	131.51	102.25	214.27	323.03	246.28	392.44	231.32	208.38	373.81	463.65	231.32	208.38	285.03	226.54	228.13	332.14
MAGOH	1242.34	1477.58	1225.22	1923.14	2018.8	2384.37	1447.15	2018.8	1721.16	1745.2	1225.22	1794.29	2319.15	1594.73	2133.97	1175.27	1059.11	769.69	813.63	791.35	660.68	928.3	819.3	921.88	612.11	642.59	728.11	1037.29	708.18	775.05	1081.39	921.88	1015.93	607.87	988.12	708.18	1369.04	961.07	995.0	780.44	1119.56	624.99	1008.9	854.13	802.41	674.59	890.44	981.29	651.58	1030.12	1322.37	1709.26	1447.15	1369.04	1350.18	1023.0	1572.76	2287.2	1844.76	1286.18	1259.69	878.17	1233.75	2133.97
MRPL3	1378.57	1407.55	1340.84	1936.53	2664.15	2104.58	1529.73	1832.01	1844.76	2417.67	1359.57	1769.57	2485.67	1340.84	2796.65	1844.76	1104.13	1066.48	915.51	967.76	902.89	1277.29	1250.98	1208.34	1030.12	928.3	954.43	1175.27	1001.93	1001.93	1437.15	947.83	1359.57	884.29	1225.22	1119.56	1651.0	1242.34	1407.55	872.1	1628.26	954.43	1233.75	1259.69	1073.91	713.11	1066.48	1551.09	954.43	1397.83	2018.8	2417.67	1832.01	1923.14	2148.82	1331.57	1844.76	3901.01	1709.26	1529.73	1617.0	1268.46	1508.65	1733.13
MRPL36	1175.27	1950.0	1674.06	2303.12	2351.53	2335.28	1397.83	2119.22	1844.76	1794.29	1340.84	1757.34	2255.7	1628.26	2178.83	1561.89	1487.87	1001.93	961.07	1268.46	764.36	1081.39	1081.39	878.17	1104.13	638.15	642.59	1081.39	842.36	669.92	1199.98	819.3	1151.06	1119.56	836.53	854.13	1388.16	1023.0	1081.39	543.96	1242.34	651.58	1313.23	1037.29	1151.06	651.58	1159.07	1167.14	1081.39	1697.45	1437.15	1757.34	1369.04	1950.0	1322.37	1127.35	1477.58	2816.11	1674.06	4481.23	1709.26	2032.85	1733.13	2434.5
MRPL47	947.83	1250.98	981.29	1233.75	1427.22	1662.49	1051.79	1322.37	1183.45	1340.84	902.89	1250.98	2224.63	1250.98	1651.0	928.3	651.58	583.07	457.25	684.02	395.18	830.75	540.19	708.18	371.22	417.77	718.08	599.49	647.07	521.76	825.0	497.0	819.3	493.56	728.11	575.03	775.05	665.29	753.83	417.77	921.88	587.13	819.3	633.73	703.28	480.04	521.76	830.75	518.15	796.86	1096.5	1167.14	1001.93	947.83	836.53	934.76	1268.46	3303.0	1388.16	1457.23	1259.69	1008.9	1757.34	1794.29
MRPS17	287.01	688.78	412.0	718.08	1044.52	1151.06	529.06	688.78	460.44	476.71	307.69	444.72	1159.07	559.28	507.46	486.75	303.44	301.33	181.28	293.07	204.07	277.2	167.9	246.28	199.85	209.84	162.14	231.32	117.6	187.71	327.56	201.25	305.55	223.41	194.36	256.78	301.33	242.88	218.79	64.8	339.14	171.45	248.0	305.55	236.21	316.37	228.13	273.37	251.48	279.14	348.71	536.45	327.56	242.88	293.07	287.01	395.18	872.1	191.67	1242.34	406.31	204.07	361.04	341.51
MTCH2	2133.97	3103.19	2796.65	3257.52	3847.29	7382.04	3124.78	3257.52	2119.22	1977.24	2537.92	2915.45	3690.52	2351.53	3982.99	3419.52	3103.19	1769.57	1487.87	1806.78	1437.15	2075.59	1844.76	1870.53	1721.16	1508.65	1709.26	1832.01	1617.0	1350.18	2451.44	1437.15	2090.03	1159.07	2119.22	1457.23	2271.4	2209.26	1769.57	1498.22	2555.58	1304.15	2090.03	1991.0	1936.53	1216.75	1745.2	1896.65	1832.01	1963.57	2935.74	3614.55	2935.74	4298.64	2935.74	2701.35	4010.71	5329.3	5147.73	3146.52	3564.78	4210.15	5112.16	5183.54
NHP2L1	2875.3	2915.45	2664.15	3540.14	3742.05	4419.52	2209.26	4152.18	3060.45	2720.15	2032.85	3443.31	4358.66	2997.45	2976.74	2682.69	2061.24	1896.65	1540.37	2255.7	1923.14	1857.6	1437.15	1697.45	2090.03	2047.0	1977.24	1991.0	1639.59	1923.14	1844.76	1832.01	2335.28	1936.53	1745.2	2417.67	2502.97	2047.0	1991.0	2271.4	2104.58	2061.24	2090.03	2148.82	1844.76	1991.0	1551.09	2209.26	1883.54	1832.01	3039.3	4481.23	3039.3	3257.52	2997.45	2502.97	3928.15	6471.02	3325.99	6983.79	3540.14	2335.28	2645.74	2520.38
NME1	2335.28	1909.85	1617.0	5147.73	6840.04	25005.23	1697.45	5403.7	2720.15	2178.83	1388.16	2573.36	4010.71	1498.22	4328.55	4481.23	3039.3	1551.09	1208.34	1508.65	1051.79	1794.29	1417.35	1583.71	1417.35	1378.57	1208.34	1572.76	1427.22	1175.27	2032.85	1044.52	2502.97	1135.2	1950.0	1259.69	2434.5	1870.53	1794.29	1709.26	2209.26	1208.34	1909.85	1721.16	1963.57	995.0	1529.73	2133.97	1745.2	1794.29	2502.97	4066.71	3081.75	4802.93	3103.19	2032.85	3820.7	5831.91	3901.01	3081.75	3540.14	3372.43	3614.55	3901.01
NPM3	1369.04	490.14	629.35	2609.3	2855.44	1685.71	466.88	981.29	890.44	1037.29	532.74	674.59	1127.35	825.0	1844.76	836.53	599.49	353.59	208.38	457.25	336.79	339.14	226.54	297.17	368.65	320.8	389.72	387.02	246.28	303.44	480.04	231.32	607.87	341.51	320.8	295.11	688.78	366.09	441.64	358.54	409.15	389.72	500.46	435.55	713.11	447.82	348.71	473.41	353.59	493.56	1066.48	1806.78	995.0	1397.83	995.0	813.63	1417.35	2335.28	1119.56	3212.66	802.41	1216.75	836.53	1286.18
