	TCGA.ZF.A9RN.01A.11R.A42T.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.T2IS.1526.SM.32QPR	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	GTEX.S32W.1526.SM.4AD6Z	GTEX.S32W.1626.SM.4AD6G	TCGA.LP.A5U2.01A.11R.A28H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.SL.A6JA.01A.11R.A31O.07	TCGA.EY.A1GX.01A.12R.A13S.07	GTEX.PWOO.1526.SM.48TCK
FERMT2	135.24	283.05	123.5	291.04	518.15	420.68	260.38	423.61	1037.29	145.02	236.21	258.57	633.73	660.68	403.5	543.96	246.28	571.05	551.56	289.02	167.9	186.4	1225.22	684.02	769.69	1225.22	848.22	1044.52	2367.9	967.76	1151.06	4095.0	954.43	2047.0	1417.35	1832.01	1397.83	629.35	1104.13	1313.23	2004.85	1923.14	60.39	0.0	0.74	148.09	211.31	2777.33
FEZ1	23.93	65.72	37.32	48.18	86.43	108.9	105.89	85.22	121.79	43.63	47.84	34.02	164.42	123.5	88.26	63.45	50.27	54.72	77.25	38.95	41.81	64.34	379.04	248.0	420.68	205.5	194.36	435.55	902.89	256.78	253.23	791.35	83.45	470.14	1073.91	547.75	583.07	66.18	221.86	232.94	624.99	1143.1	24.63	0.0	0.69	24.63	57.08	1359.57
FGF7	1.19	118.43	75.64	29.27	154.42	154.42	54.72	246.28	244.57	58.3	2.18	123.5	175.07	123.5	142.01	215.77	11.04	18.03	329.84	39.5	9.63	24.46	633.73	183.82	769.69	1407.55	674.59	397.93	1322.37	629.35	269.6	4512.4	629.35	1697.45	595.34	2502.97	2090.03	214.27	241.19	1096.5	5555.65	4512.4	3.32	0.0	0.41	6.46	2.61	14361.31
FNDC4	11.13	34.51	31.45	17.38	170.25	237.86	55.1	62.12	318.57	36.27	28.04	35.76	116.78	153.34	22.59	57.08	55.89	733.19	186.4	33.78	12.74	41.22	348.71	239.52	616.37	167.9	183.82	127.0	241.19	220.32	177.53	392.44	191.67	830.75	480.04	231.32	376.41	126.12	414.87	239.52	2271.4	3146.52	9.34	0.0	0.53	13.12	9.7	1127.35
GAS7	13.32	113.56	72.52	108.9	265.87	265.87	189.02	309.83	457.25	81.14	72.52	53.57	379.04	162.14	106.63	164.42	31.45	14.89	260.38	48.87	26.67	63.45	314.17	197.09	327.56	323.03	1151.06	244.57	1073.91	256.78	341.51	1001.93	356.05	2255.7	295.11	915.51	780.44	218.79	59.13	332.14	1350.18	791.35	15.11	0.0	0.59	6.89	31.0	2032.85
GYPC	194.36	432.53	271.48	295.11	400.71	1119.56	281.09	616.37	1467.37	395.18	543.96	237.86	395.18	665.29	173.85	638.15	149.12	80.57	579.04	253.23	248.0	236.21	1909.85	1088.92	2224.63	775.05	1088.92	1191.69	3928.15	872.1	1127.35	2485.67	866.07	2915.45	3467.27	1508.65	3018.3	403.5	2148.82	1268.46	11035.54	6607.01	96.68	0.0	0.85	86.43	45.53	7382.04
HGF	4.82	48.52	23.42	72.01	84.04	65.26	44.57	142.01	150.17	18.56	36.79	14.67	133.36	33.06	93.35	77.25	34.26	22.59	130.6	27.25	18.16	16.39	131.51	55.49	120.1	162.14	208.38	201.25	314.17	166.73	127.89	435.55	120.94	463.65	96.01	156.59	173.85	108.9	131.51	223.41	559.28	441.64	33.06	0.0	0.44	6.89	2.1	493.56
HIC1	13.32	63.89	51.35	39.22	94.01	65.72	74.58	122.64	175.07	54.33	51.35	65.26	105.15	112.77	31.0	60.82	44.57	18.16	185.11	26.86	58.71	47.5	204.07	65.26	133.36	127.0	384.34	211.31	368.65	231.32	205.5	500.46	154.42	231.32	193.01	81.71	339.14	94.67	57.08	211.31	239.52	256.78	10.39	0.0	0.39	18.03	17.64	490.14
LITAF	2319.15	1322.37	3955.48	2520.38	3820.7	3325.99	2319.15	2758.13	3982.99	2855.44	2758.13	1447.15	3716.2	2875.3	2163.77	4095.0	3124.78	1427.22	4210.15	2485.67	2104.58	1991.0	4328.55	4268.94	3614.55	4152.18	3303.0	4010.71	5831.91	6250.56	9151.82	8022.41	2976.74	4802.93	6337.83	7081.29	5112.16	2520.38	3540.14	5913.33	9740.98	6792.79	1225.22	2384.37	2520.38	1127.35	1119.56	4298.64
LRCH2	2.29	4.58	3.89	9.2	23.08	34.26	14.45	18.7	22.75	2.81	3.38	2.36	18.43	15.91	8.25	8.99	5.36	17.51	10.39	6.73	4.21	3.44	40.07	29.06	20.56	57.49	36.53	35.76	56.28	41.52	33.3	81.14	17.64	29.91	21.47	92.7	95.34	16.75	14.56	77.25	81.14	153.34	2.07	0.0	0.28	0.8	1.13	74.06
LRFN5	0.31	2.43	1.41	2.07	9.2	8.78	8.92	12.27	15.34	1.39	0.0	1.99	9.13	11.82	1.68	3.92	1.03	11.55	10.16	5.36	1.0	3.66	37.85	16.63	30.12	37.32	88.88	49.91	57.89	18.43	28.65	62.12	44.89	46.84	34.02	65.72	61.25	15.56	25.72	40.93	703.28	371.22	0.22	0.0	0.24	0.21	0.0	183.82
LXN	303.44	486.75	406.31	358.54	441.64	500.46	406.31	429.54	543.96	92.7	297.17	285.03	703.28	571.05	255.0	647.07	791.35	191.67	1388.16	167.9	198.47	525.39	1233.75	796.86	981.29	1104.13	866.07	1437.15	1529.73	1709.26	1030.12	1044.52	791.35	1331.57	2319.15	1277.29	1950.0	497.0	884.29	2104.58	2976.74	2720.15	23.25	0.0	0.25	18.97	28.04	23009.42
MGP	769.69	267651.2	998912.34	365622.68	1139523.1	659036.03	502929.67	736332.6	623486.02	327241.36	577714.63	425853.18	716197.51	546551.29	466008.55	569761.05	1196176.45	365622.68	706337.4	459592.86	687022.54	417089.23	462789.59	800198.39	509950.32	598087.73	585779.24	1524599.69	378516.38	496005.67	565825.41	475800.4	565825.41	869603.57	1100706.72	845824.19	381149.17	496005.67	1308968.45	614902.29	25179.16	39510.91	1540.37	3419.52	848.22	1662.49	872.1	101420.22
MMRN1	1.16	7.34	39.5	10.24	190.34	10.55	4.94	256.78	65.26	27.84	45.53	16.63	16.88	28.65	23.42	64.8	4.35	0.68	35.0	72.52	2.61	9.41	1191.69	124.37	438.59	463.65	341.51	441.64	291.04	141.02	518.15	420.68	241.19	33.78	1639.59	836.53	1208.34	41.52	591.22	289.02	2739.08	3081.75	3.79	0.0	0.27	6.06	22.43	6426.31
MRGPRF	3.47	24.11	34.51	10.16	193.01	98.73	53.95	83.45	148.09	21.63	23.59	20.41	80.01	48.52	8.78	70.01	19.68	5.11	80.57	22.92	6.89	22.75	521.76	336.79	470.14	547.75	215.77	275.28	595.34	769.69	595.34	503.95	127.0	466.88	441.64	420.68	995.0	92.7	454.09	381.68	2591.27	2240.11	36.01	0.0	0.6	26.1	7.22	3589.58
MRVI1	11.13	57.08	28.45	69.52	187.71	143.01	127.89	126.12	167.9	32.59	127.0	42.71	158.79	212.78	85.22	115.97	67.12	10.08	182.55	78.34	37.85	37.59	336.79	237.86	262.2	231.32	318.57	309.83	591.22	275.28	186.4	441.64	162.14	669.92	66.18	329.84	406.31	181.28	167.9	329.84	764.36	1397.83	13.42	0.0	0.59	16.27	6.52	928.3
MT1M	2.89	7.63	187.71	13.72	96.68	172.65	32.13	53.19	55.89	28.04	45.21	19.68	22.26	32.82	6.46	25.91	3.32	90.14	76.17	12.09	34.26	14.89	277.2	248.0	1572.76	463.65	65.72	94.67	153.34	273.37	256.78	532.74	236.21	2400.97	620.67	305.55	1208.34	57.08	819.3	283.05	4450.27	4607.24	12.64	0.0	0.33	25.35	2.14	2018.8
NDN	234.57	85.22	96.68	76.17	295.11	136.19	171.45	236.21	409.15	77.25	36.01	50.63	229.72	262.2	76.17	162.14	75.11	11.73	140.04	79.45	78.89	102.97	406.31	486.75	759.08	693.58	723.08	353.59	1674.06	301.33	336.79	934.76	389.72	529.06	995.0	336.79	583.07	152.28	246.28	497.0	5255.91	2956.17	36.01	0.0	0.61	46.84	16.63	1331.57
NFKB1	567.1	356.05	332.14	291.04	420.68	813.63	371.22	743.43	915.51	414.87	423.61	409.15	1388.16	480.04	529.06	591.22	457.25	249.73	665.29	748.61	363.56	406.31	738.29	738.29	583.07	587.13	928.3	723.08	796.86	830.75	1594.73	1350.18	579.04	915.51	759.08	884.29	819.3	493.56	665.29	796.86	1685.71	1639.59	420.68	518.15	279.14	193.01	221.86	1037.29
PCDHGC3	21.32	221.86	103.69	72.52	273.37	217.27	180.02	314.17	447.82	55.89	58.71	69.03	339.14	256.78	100.13	420.68	171.45	211.31	423.61	193.01	55.49	139.07	708.18	438.59	521.76	518.15	808.0	638.15	669.92	616.37	202.66	403.5	521.76	1477.58	329.84	836.53	890.44	186.4	341.51	412.0	1991.0	1369.04	21.94	0.0	0.79	52.45	86.43	1286.18
PCOLCE	116.78	1066.48	941.27	473.41	1388.16	2468.49	1857.6	1199.98	2701.35	1135.2	316.37	518.15	2271.4	1991.0	753.83	2417.67	669.92	435.55	1508.65	507.46	521.76	1427.22	2417.67	1073.91	4639.29	2835.7	5329.3	3168.41	6983.79	2224.63	1119.56	4066.71	2193.99	4066.71	1037.29	1950.0	3212.66	1685.71	1936.53	3372.43	34396.12	11584.24	148.09	0.0	0.87	406.31	854.13	6840.04
PCSK5	2.01	20.71	21.32	21.32	92.7	68.55	57.08	91.41	123.5	11.64	19.68	22.26	63.0	127.0	29.27	29.7	13.52	4.17	77.79	18.97	10.63	19.97	108.14	60.39	79.45	91.41	110.43	52.08	309.83	98.04	89.51	381.68	56.68	127.89	42.11	368.65	217.27	22.59	80.01	105.15	575.03	173.85	7.82	0.0	0.49	9.63	1.25	1044.52
PGF	59.13	150.17	73.54	76.17	138.1	137.14	91.41	187.71	299.25	75.64	145.02	117.6	131.51	406.31	74.58	212.78	138.1	115.16	96.01	142.01	146.03	81.71	353.59	387.02	620.67	186.4	144.01	228.13	363.56	246.28	255.0	327.56	64.34	309.83	780.44	149.12	379.04	84.63	231.32	688.78	6079.61	7589.61	38.95	0.0	0.69	45.21	49.21	713.11
PPAPDC3	1.45	14.03	8.19	10.79	20.26	155.5	21.16	25.54	55.49	12.36	22.1	17.13	40.93	37.32	8.78	17.77	6.52	1.39	35.5	7.88	12.64	13.22	45.53	27.84	53.95	35.5	105.89	40.64	116.78	23.59	43.32	74.06	24.63	44.57	65.26	37.32	134.3	11.82	40.07	32.82	214.27	228.13	2.97	0.0	0.34	2.84	4.94	118.43
RARRES1	36.79	75.11	126.12	92.05	244.57	4481.23	80.57	249.73	236.21	56.28	4.62	100.13	100.13	68.55	18.16	2287.2	92.7	94.67	41475.31	64.8	10.71	111.21	2163.77	1628.26	2163.77	2591.27	1721.16	2935.74	532.74	2895.31	5633.22	97.36	1628.26	2303.12	1639.59	2875.3	13123.73	1216.75	2591.27	961.07	11909.94	10659.59	60.82	0.0	0.36	11.13	5.82	51062.33
RASA3	21.32	122.64	129.69	125.24	134.3	1066.48	112.77	283.05	426.57	170.25	114.36	80.01	275.28	228.13	64.8	242.88	100.13	18.43	316.37	81.14	218.79	158.79	371.22	181.28	305.55	186.4	249.73	258.57	476.71	406.31	262.2	808.0	208.38	361.04	169.07	293.07	348.71	195.72	128.79	256.78	1936.53	941.27	80.57	0.0	0.65	10.16	141.02	836.53
RASL12	23.76	104.42	55.89	51.35	102.97	171.45	61.25	201.25	239.52	38.67	88.88	48.87	66.18	226.54	40.36	212.78	63.45	108.9	38.67	78.34	87.03	40.93	571.05	275.28	295.11	429.54	287.01	476.71	417.77	277.2	353.59	507.46	158.79	514.56	444.72	466.88	503.95	110.43	295.11	267.73	2609.3	3564.78	12.64	0.0	0.56	24.28	12.93	3395.89
SLC1A7	0.32	4.35	2.94	1.16	5.23	2.41	7.69	8.65	15.56	7.34	0.79	1.79	7.11	11.64	6.46	2.71	1.81	0.74	4.58	1.43	0.0	2.86	21.16	10.47	19.97	14.67	48.52	8.32	31.67	29.7	14.67	23.25	15.34	18.29	10.88	22.59	43.32	11.3	9.13	32.59	47.5	29.06	0.8	0.0	0.46	0.47	0.0	36.53
SLC51B	0.0	1.06	0.0	0.71	0.0	2.53	2.27	4.82	7.11	1.36	0.68	0.0	6.31	2.81	1.0	1.1	1.66	1.25	0.82	1.28	0.0	0.0	6.52	1.79	1.81	8.51	14.03	9.63	3.35	5.36	8.92	11.64	3.79	5.73	1.75	2.12	16.75	1.51	14.45	0.65	921.88	723.08	0.67	0.0	0.04	1.17	0.0	703.28
SRL	1.69	4.1	3.06	4.66	13.22	2.51	6.01	18.97	17.25	2.34	3.86	5.11	5.54	18.29	4.17	7.69	1.95	0.62	3.89	2.51	1.58	2.32	15.8	12.55	16.15	26.67	19.97	11.82	32.13	27.44	22.92	49.91	8.85	10.96	10.47	7.51	43.02	10.0	13.22	23.25	90.14	273.37	1.38	0.0	0.12	1.87	1.35	173.85
SYDE1	17.64	66.65	45.53	48.87	101.54	97.36	108.14	104.42	185.11	40.07	99.43	68.55	149.12	155.5	53.19	112.77	64.8	102.97	111.21	61.25	72.52	64.34	208.38	143.01	211.31	94.01	153.34	84.04	387.02	123.5	189.02	177.53	144.01	156.59	228.13	66.65	190.34	67.59	158.79	158.79	733.19	703.28	34.02	0.0	0.72	45.53	19.53	884.29
TGFB1I1	115.97	540.19	260.38	346.29	493.56	435.55	450.94	503.95	1001.93	249.73	325.29	429.54	708.18	607.87	438.59	368.65	353.59	295.11	500.46	368.65	224.97	291.04	1991.0	1832.01	2018.8	1950.0	808.0	1605.83	1794.29	1001.93	1991.0	1674.06	830.75	2240.11	1769.57	1651.0	1498.22	457.25	1883.54	1519.15	2609.3	2645.74	75.64	0.0	0.89	142.01	69.52	2976.74
TSHZ3	15.56	117.6	70.51	35.25	112.77	98.04	88.88	86.43	156.59	41.52	25.54	28.45	137.14	79.45	58.3	76.17	27.44	5.32	98.04	25.72	16.39	36.79	173.85	126.12	125.24	170.25	466.88	135.24	149.12	204.07	94.67	279.14	98.04	151.22	80.57	145.02	264.03	90.14	42.11	204.07	275.28	289.02	3.69	0.0	0.65	3.79	3.92	279.14
TWIST2	0.0	10.08	5.68	3.82	39.79	36.01	15.8	29.27	65.26	5.23	0.52	14.56	38.67	16.27	0.52	14.56	2.29	0.83	37.85	2.23	4.58	4.1	69.52	23.08	224.97	86.43	87.03	19.39	75.64	49.91	28.04	102.97	63.0	237.86	151.22	41.22	229.72	17.77	44.25	30.78	2502.97	2224.63	15.8	0.0	0.42	2.66	0.0	3280.18
ZCCHC24	42.71	136.19	120.1	96.68	244.57	180.02	195.72	507.46	473.41	147.06	95.34	161.02	403.5	325.29	111.99	157.68	117.6	341.51	241.19	101.54	108.14	108.14	587.13	356.05	361.04	182.55	1051.79	231.32	1059.11	567.1	279.14	825.0	368.65	348.71	521.76	353.59	909.17	116.78	346.29	540.19	1143.1	1721.16	18.29	0.0	0.61	25.91	27.05	3124.78
