	TCGA.A7.A3J1.01A.11R.A213.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.B6.A401.01A.11R.A239.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AARN.01A.21R.A41B.07	TCGA.XJ.A9DI.01A.11R.A37L.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	GTEX.147GR.0726.SM.5S2PL
CPT1B	878.17	441.64	1870.53	967.76	1081.39	796.86	575.03	1008.9	759.08	147.06	1304.15	1225.22	698.41	1208.34	780.44	813.63	307.69	921.88	909.17	34.75	183.82	134.3	205.5	39.22	228.13	57.89	94.67	84.04	293.07	129.69	78.34	108.14	253.23	111.99	15.11	10.71	76.71	283.05	130.6	135.24	215.77	116.78	295.11	163.28	229.72	88.88	400.71	170.25	197.09	47.84	262.2	31.67	139.07	248.0	182.55	0.0	780.44	860.08	447.82	110.43	1096.5
DENND4B	674.59	511.0	603.67	769.69	665.29	536.45	785.88	915.51	460.44	420.68	651.58	591.22	450.94	902.89	612.11	1051.79	591.22	579.04	802.41	133.36	281.09	202.66	400.71	87.65	348.71	237.86	151.22	193.01	363.56	256.78	125.24	97.36	271.48	221.86	144.01	175.07	155.5	316.37	312.0	206.94	242.88	162.14	211.31	265.87	251.48	193.01	693.58	92.7	239.52	253.23	220.32	55.49	175.07	289.02	185.11	379.04	915.51	775.05	239.52	186.4	743.43
DLG4	480.04	199.85	379.04	483.38	470.14	432.53	301.33	343.89	279.14	153.34	441.64	571.05	567.1	486.75	420.68	299.25	237.86	205.5	329.84	66.18	125.24	88.88	195.72	24.99	71.5	49.56	84.63	61.25	208.38	87.03	21.78	30.78	87.65	52.82	23.59	46.5	23.08	201.25	65.26	38.95	69.52	55.1	34.51	61.25	32.59	34.02	157.68	71.0	43.63	44.89	63.89	44.57	67.59	70.51	47.17	0.0	116.78	234.57	334.46	133.36	299.25
DLG5	854.13	525.39	684.02	2271.4	1044.52	785.88	1769.57	1015.93	915.51	500.46	728.11	941.27	921.88	2367.9	1081.39	384.34	612.11	819.3	1794.29	35.0	55.1	40.64	124.37	59.97	149.12	16.39	39.79	51.35	93.35	28.24	33.3	44.57	50.27	30.78	17.38	54.72	22.75	59.97	118.43	31.45	82.87	59.97	36.01	81.71	24.28	119.26	29.06	31.45	83.45	40.93	26.1	13.72	71.5	24.28	15.91	0.0	412.0	1477.58	743.43	723.08	1498.22
DNAJB13	3.63	2.53	6.41	8.99	13.03	6.06	7.17	15.22	8.06	3.2	5.68	8.71	8.92	21.32	5.41	6.26	7.82	4.74	13.52	1.35	1.41	1.45	0.0	0.78	0.13	0.25	0.0	0.0	7.63	0.21	0.0	0.0	0.0	0.17	0.0	5.11	0.0	1.45	2.73	1.69	0.0	2.14	4.7	2.71	0.15	0.0	0.0	1.14	0.0	2.81	1.01	0.0	0.0	0.6	1.1	0.0	368.65	53.95	24.11	12.0	4.9
DPH7	688.78	371.22	1088.92	389.72	733.19	713.11	656.11	796.86	753.83	366.09	802.41	1216.75	633.73	830.75	642.59	703.28	490.14	490.14	988.12	97.36	312.0	146.03	256.78	100.83	211.31	101.54	172.65	109.66	287.01	155.5	111.99	85.22	180.02	82.87	101.54	116.78	162.14	194.36	249.73	217.27	151.22	134.3	159.9	165.57	246.28	94.67	244.57	183.82	144.01	139.07	224.97	103.69	144.01	186.4	111.99	0.0	684.02	1023.0	583.07	507.46	878.17
DTX3	723.08	435.55	1397.83	872.1	947.83	1051.79	743.43	1015.93	1175.27	371.22	769.69	1127.35	866.07	928.3	796.86	1001.93	409.15	728.11	1322.37	72.01	154.42	81.71	299.25	24.11	301.33	30.56	148.09	36.53	384.34	42.41	24.11	37.32	76.17	95.34	18.7	29.7	7.28	133.36	154.42	28.04	127.89	157.68	37.05	82.29	51.35	29.06	156.59	133.36	60.39	27.84	34.75	38.95	105.89	94.01	78.34	0.0	616.37	1407.55	656.11	934.76	1806.78
EHBP1L1	974.5	392.44	1135.2	967.76	878.17	934.76	1216.75	1508.65	708.18	559.28	1119.56	1417.35	718.08	836.53	1183.45	1477.58	583.07	603.67	1073.91	161.02	309.83	153.34	607.87	89.51	301.33	332.14	208.38	148.09	651.58	269.6	105.89	141.02	271.48	178.77	132.44	187.71	336.79	379.04	285.03	140.04	248.0	234.57	156.59	183.82	100.13	135.24	665.29	152.28	153.34	111.99	183.82	77.79	218.79	329.84	175.07	0.0	1781.89	1628.26	429.54	743.43	525.39
EPS8L1	2335.28	633.73	5403.7	3146.52	2555.58	1674.06	2104.58	3146.52	2739.08	1037.29	4152.18	3564.78	5366.37	5329.3	2520.38	1127.35	961.07	1417.35	2758.13	26.67	54.33	84.04	356.05	21.94	848.22	2.32	351.14	14.45	256.78	35.0	21.47	7.06	11.64	178.77	6.41	61.25	9.7	180.02	211.31	4.21	36.27	1313.23	16.75	125.24	42.41	8.92	480.04	39.79	25.91	27.44	2.81	4.31	49.56	60.39	28.45	0.0	2451.44	2193.99	1639.59	1844.76	3039.3
EZH1	665.29	591.22	612.11	490.14	836.53	791.35	583.07	660.68	532.74	329.84	500.46	651.58	426.57	551.56	684.02	684.02	579.04	400.71	902.89	120.94	190.34	130.6	204.07	60.82	125.24	71.5	164.42	75.64	204.07	139.07	102.97	82.87	149.12	94.01	74.06	117.6	61.68	151.22	183.82	82.87	138.1	108.14	127.0	130.6	159.9	90.77	142.01	98.73	193.01	93.35	99.43	112.77	109.66	193.01	130.6	0.0	447.82	808.0	376.41	395.18	753.83
FAM160A2	728.11	698.41	1233.75	684.02	1111.82	1023.0	1159.07	1001.93	878.17	591.22	1286.18	1008.9	688.78	819.3	848.22	813.63	579.04	848.22	1233.75	432.53	571.05	551.56	848.22	332.14	511.0	476.71	579.04	555.41	563.18	629.35	507.46	454.09	728.11	607.87	285.03	555.41	320.8	525.39	379.04	612.11	620.67	567.1	547.75	447.82	571.05	583.07	423.61	633.73	414.87	563.18	575.03	409.15	563.18	559.28	438.59	0.0	1030.12	928.3	934.76	521.76	1870.53
FCHSD1	343.89	287.01	616.37	555.41	486.75	454.09	457.25	281.09	353.59	172.65	476.71	420.68	457.25	607.87	403.5	579.04	351.14	124.37	647.07	18.43	76.71	35.76	149.12	12.93	75.11	31.67	48.52	10.47	103.69	45.85	36.01	11.04	33.54	35.76	14.67	32.59	17.25	57.08	112.77	12.64	69.03	47.5	17.51	31.22	10.47	16.27	229.72	14.67	16.03	18.29	36.27	8.32	27.84	89.51	26.86	0.0	656.11	819.3	206.94	103.69	435.55
IGSF9B	56.68	19.53	44.57	186.4	74.06	50.63	161.02	62.12	48.18	27.05	38.4	45.85	21.01	114.36	39.22	63.89	44.57	162.14	76.71	0.0	2.53	1.66	11.3	0.0	0.41	10.47	1.93	0.54	12.83	1.45	0.0	2.03	1.11	1.64	0.0	4.24	2.16	7.11	16.27	2.86	4.21	2.76	0.0	0.75	0.0	0.51	3.89	0.27	0.0	0.0	0.21	0.0	11.91	4.28	0.0	0.0	153.34	46.18	43.94	59.97	187.71
IKBKB	1304.15	1519.15	1950.0	1457.23	1685.71	1304.15	1963.57	1963.57	1427.22	1378.57	1757.34	1844.76	947.83	1757.34	1639.59	1378.57	1378.57	961.07	2367.9	229.72	358.54	226.54	493.56	151.22	273.37	116.78	285.03	187.71	529.06	201.25	178.77	150.17	244.57	297.17	149.12	343.89	260.38	336.79	497.0	244.57	480.04	209.84	314.17	228.13	283.05	197.09	376.41	237.86	218.79	275.28	124.37	108.14	241.19	289.02	194.36	0.0	1268.46	1073.91	825.0	603.67	947.83
IKBKE	339.14	134.3	255.0	256.78	105.89	150.17	351.14	253.23	128.79	178.77	116.78	166.73	150.17	493.56	150.17	305.55	231.32	353.59	183.82	29.48	34.51	30.12	189.02	48.87	96.68	89.51	78.89	16.03	65.72	75.64	16.51	5.11	59.97	64.34	25.72	60.39	36.53	55.89	39.79	14.78	76.71	34.26	15.68	22.1	15.45	27.05	138.1	6.41	7.82	18.56	16.88	5.87	21.94	47.84	26.47	366.09	283.05	109.66	106.63	78.34	167.9
INADL	651.58	813.63	733.19	1605.83	518.15	583.07	409.15	854.13	890.44	376.41	1350.18	848.22	748.61	884.29	928.3	307.69	842.36	389.72	738.29	182.55	134.3	126.12	111.99	118.43	67.59	88.88	141.02	83.45	224.97	104.42	236.21	152.28	142.01	62.56	152.28	251.48	63.89	105.15	214.27	50.27	204.07	209.84	111.21	46.18	66.65	88.26	89.51	92.05	172.65	117.6	83.45	112.77	90.14	145.02	122.64	269.6	269.6	555.41	426.57	476.71	273.37
INPPL1	1991.0	1519.15	2163.77	1806.78	2178.83	1685.71	2537.92	2178.83	1119.56	1183.45	2591.27	1721.16	1883.54	2178.83	1407.55	2163.77	1216.75	1674.06	2178.83	435.55	457.25	334.46	738.29	205.5	511.0	329.84	341.51	189.02	460.44	540.19	314.17	246.28	511.0	348.71	323.03	435.55	346.29	559.28	802.41	325.29	384.34	387.02	432.53	543.96	503.95	285.03	514.56	149.12	525.39	205.5	381.68	173.85	444.72	728.11	529.06	0.0	2335.28	2209.26	967.76	1111.82	2047.0
IQCE	511.0	289.02	368.65	420.68	412.0	295.11	417.77	660.68	356.05	267.73	642.59	381.68	316.37	476.71	441.64	316.37	384.34	351.14	351.14	33.54	60.39	49.56	72.52	49.56	146.03	55.49	88.88	86.43	59.97	33.78	29.91	40.93	60.82	78.89	49.21	40.93	23.08	77.25	78.89	84.63	19.82	85.22	77.79	61.68	80.57	80.57	239.52	42.41	36.27	49.56	22.26	30.34	83.45	22.26	71.5	0.0	256.78	271.48	182.55	199.85	406.31
KCNG2	4.21	1.58	6.06	9.78	4.43	17.0	6.52	1.08	5.82	8.38	7.94	7.88	1.51	14.24	6.84	4.78	7.11	6.31	5.5	0.0	3.69	2.51	0.79	0.73	3.23	0.0	1.55	2.76	1.28	0.0	0.32	1.36	1.83	4.28	0.0	0.85	0.04	0.89	2.81	1.48	6.11	2.56	3.79	2.53	0.65	0.0	4.03	0.0	2.92	2.63	0.0	0.36	4.66	2.03	1.87	0.0	6.41	2.84	0.0	0.34	6.52
KIAA0907	1199.98	909.17	1359.57	1183.45	902.89	860.08	1781.89	1457.23	902.89	728.11	1167.14	1167.14	1369.04	1322.37	830.75	1378.57	669.92	866.07	1407.55	106.63	209.84	137.14	228.13	115.16	139.07	110.43	109.66	74.58	314.17	113.56	110.43	94.67	169.07	58.71	87.65	127.89	96.68	195.72	239.52	65.26	122.64	139.07	126.12	163.28	287.01	47.5	420.68	153.34	106.63	74.58	208.38	58.71	84.63	154.42	149.12	0.0	1159.07	1008.9	400.71	218.79	500.46
KRTAP5-1	17.38	5.19	45.21	41.52	29.91	10.63	68.55	8.99	9.06	2.86	3.89	23.42	10.63	51.35	21.01	22.43	4.43	63.89	32.59	0.0	2.61	3.14	4.43	0.0	1.62	0.0	4.78	0.0	6.11	1.85	0.0	0.0	1.06	0.27	0.0	0.0	0.0	13.22	6.67	0.87	0.0	1.08	0.6	2.58	0.73	0.0	14.24	1.11	0.0	0.0	0.0	0.0	2.2	2.81	0.56	0.0	49.21	12.93	1.83	3.06	13.62
L3MBTL1	221.86	111.99	289.02	142.01	159.9	218.79	202.66	265.87	136.19	84.04	194.36	228.13	220.32	171.45	148.09	100.83	90.77	42.71	356.05	11.38	29.91	10.47	42.71	2.01	18.7	12.74	5.28	1.53	22.1	22.59	12.27	3.76	18.7	7.0	6.06	19.68	10.16	18.29	60.82	3.0	16.15	15.91	17.25	8.71	13.72	4.24	24.81	4.9	24.63	7.22	21.94	5.41	15.68	16.15	12.64	0.0	204.07	241.19	118.43	46.18	264.03
LPCAT4	476.71	371.22	454.09	656.11	733.19	599.49	536.45	775.05	420.68	303.44	567.1	848.22	486.75	620.67	540.19	620.67	403.5	381.68	753.83	66.18	197.09	136.19	444.72	24.63	78.89	72.01	88.88	25.91	503.95	79.45	61.25	36.01	69.03	40.36	27.05	107.38	153.34	231.32	215.77	18.7	85.82	35.5	49.56	113.56	23.76	9.2	293.07	67.12	31.9	34.26	41.22	22.59	91.41	214.27	90.77	0.0	2075.59	718.08	371.22	293.07	521.76
LRFN3	414.87	156.59	279.14	417.77	297.17	555.41	551.56	289.02	387.02	190.34	343.89	336.79	371.22	444.72	379.04	341.51	307.69	397.93	320.8	223.41	187.71	111.21	147.06	90.77	175.07	166.73	120.94	171.45	120.94	164.42	53.95	178.77	299.25	131.51	136.19	320.8	69.03	75.64	307.69	87.03	295.11	100.83	173.85	131.51	122.64	130.6	120.94	149.12	353.59	175.07	194.36	236.21	164.42	305.55	204.07	0.0	295.11	480.04	206.94	130.6	248.0
LRIG1	2075.59	1950.0	2119.22	6079.61	2075.59	1883.54	2240.11	2701.35	2047.0	1359.57	2537.92	1709.26	1936.53	1487.87	3124.78	954.43	2997.45	1313.23	1936.53	1135.2	258.57	579.04	358.54	202.66	703.28	1519.15	629.35	830.75	291.04	1088.92	555.41	536.45	463.65	607.87	1733.13	555.41	1551.09	540.19	785.88	780.44	1617.0	194.36	289.02	599.49	1001.93	497.0	753.83	559.28	808.0	591.22	688.78	647.07	457.25	1030.12	400.71	0.0	909.17	1651.0	808.0	878.17	808.0
LYSMD4	86.43	73.54	199.85	130.6	131.51	142.01	119.26	125.24	148.09	71.0	121.79	153.34	80.01	119.26	129.69	98.04	81.71	49.91	237.86	52.45	108.14	34.26	52.08	72.01	74.06	113.56	112.77	16.63	46.84	107.38	40.64	40.07	48.18	42.11	49.21	56.28	95.34	76.71	153.34	82.87	53.57	55.49	85.22	66.18	43.02	45.85	108.14	94.01	45.21	30.34	104.42	46.5	70.51	93.35	40.93	0.0	108.14	167.9	133.36	136.19	129.69
MAP3K12	463.65	543.96	629.35	312.0	432.53	470.14	301.33	373.81	379.04	208.38	417.77	656.11	559.28	480.04	361.04	748.61	264.03	249.73	642.59	39.22	68.07	41.52	138.1	21.63	89.51	18.56	55.1	12.45	120.94	47.84	28.04	20.26	72.01	19.68	13.03	36.27	12.18	98.04	87.03	38.4	58.71	47.84	43.02	59.55	19.11	33.54	82.87	38.67	24.46	22.59	31.0	18.43	32.59	48.18	31.67	0.0	293.07	260.38	69.52	114.36	346.29
