	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.13QBU.1826.SM.5IJG3	GTEX.XPVG.1826.SM.4B64X	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.4834.01A.01R.1305.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.B0.4700.11A.01R.1541.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.X4EO.1126.SM.4QARQ	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.R5.A805.01A.11R.A36D.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.HU.A4GX.01A.12R.A251.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.144GM.1726.SM.5O9AS	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB
BRIP1	61.25	40.07	28.45	28.65	38.4	3.56	1.45	2.84	10.31	2.84	0.0	1.95	7.17	15.34	5.45	8.92	8.78	1.68	1.25	3.99	60.39	34.51	57.08	31.45	70.01	76.17	120.1	59.97	6.78	18.7	14.35	11.38	5.68	15.45
BUB1	232.94	182.55	152.28	119.26	190.34	84.63	38.4	38.4	36.79	26.67	6.36	47.17	40.64	32.59	7.51	5.19	1.99	4.13	1.43	4.7	295.11	153.34	251.48	215.77	224.97	217.27	397.93	186.4	21.32	57.89	18.56	51.71	13.12	76.71
C11orf82	31.9	45.85	37.59	19.25	27.64	9.27	3.82	8.45	21.78	11.3	14.03	14.45	28.45	7.63	2.97	5.11	3.44	3.17	6.31	4.24	85.22	52.08	44.89	44.57	80.57	65.26	139.07	90.14	14.67	24.63	5.32	7.46	22.1	30.78
C16orf59	123.5	115.16	81.71	64.8	113.56	14.45	12.74	26.28	16.27	21.63	1.69	45.53	17.77	22.43	12.18	8.25	2.76	12.18	0.05	7.06	55.49	255.0	175.07	110.43	62.12	202.66	105.15	102.25	15.0	36.27	23.08	28.65	19.25	66.65
C1orf112	50.63	47.5	69.52	45.85	55.89	24.99	64.34	24.11	31.22	24.11	32.59	26.1	29.27	48.52	27.44	12.83	13.32	13.83	11.91	36.79	157.68	134.3	98.73	74.58	129.69	120.1	193.01	129.69	44.57	38.95	40.64	37.85	36.53	98.04
C21orf58	163.28	146.03	139.07	127.89	156.59	11.38	11.3	15.34	7.34	17.38	2.32	25.54	8.71	38.95	21.78	17.51	19.53	5.11	1.46	1.91	45.85	131.51	112.77	48.18	77.79	84.63	108.14	27.25	21.01	59.55	53.19	54.72	43.94	96.01
C4orf46	115.16	79.45	50.27	54.72	96.68	32.82	46.18	52.08	53.19	43.32	32.82	40.07	60.39	55.49	63.45	15.22	17.38	2.58	9.34	8.32	76.17	78.34	64.8	92.05	123.5	132.44	181.28	61.68	55.1	68.55	31.67	30.12	62.56	84.63
CCHCR1	808.0	941.27	902.89	1191.69	743.43	327.56	111.99	139.07	195.72	193.01	155.5	134.3	229.72	674.59	346.29	305.55	165.57	63.45	51.35	183.82	297.17	825.0	417.77	353.59	291.04	371.22	579.04	363.56	297.17	441.64	299.25	387.02	197.09	438.59
CCNA2	334.46	285.03	251.48	180.02	309.83	21.47	30.34	31.22	26.1	33.78	27.05	31.22	33.06	70.01	14.78	11.91	12.36	2.36	6.73	2.03	323.03	332.14	234.57	339.14	341.51	435.55	406.31	237.86	26.47	80.57	43.63	102.97	65.26	117.6
CCNF	120.94	106.63	90.14	77.25	126.12	9.93	11.13	10.96	14.14	17.13	12.27	31.67	12.27	63.0	18.03	10.96	7.0	3.2	0.37	2.73	102.97	366.09	162.14	128.79	112.77	138.1	262.2	162.14	23.93	34.26	27.44	58.71	47.5	61.68
CDC45	309.83	204.07	165.57	114.36	237.86	19.39	8.71	21.47	30.34	25.35	0.0	22.43	16.27	60.39	2.53	4.62	11.21	20.11	13.83	11.47	251.48	91.41	199.85	144.01	221.86	181.28	224.97	211.31	12.74	73.03	26.1	53.95	10.63	111.21
CDCA3	420.68	432.53	320.8	241.19	463.65	21.47	31.45	63.0	30.12	58.71	50.98	52.08	60.82	125.24	29.91	14.45	17.64	4.5	1.55	11.47	361.04	941.27	988.12	312.0	480.04	679.29	620.67	884.29	87.03	163.28	58.71	255.0	66.65	307.69
CDCA4	181.28	125.24	126.12	151.22	137.14	41.52	74.06	48.52	56.68	69.52	66.65	85.22	46.18	113.56	46.84	26.28	38.67	19.82	59.55	38.12	159.9	269.6	403.5	189.02	120.94	234.57	162.14	246.28	59.13	143.01	82.29	95.34	144.01	162.14
CDK1	656.11	511.0	470.14	373.81	595.34	56.28	49.91	65.26	102.25	61.25	39.5	62.12	100.13	141.02	56.68	5.36	6.73	5.02	5.23	6.94	872.1	414.87	518.15	379.04	409.15	366.09	753.83	915.51	73.03	146.03	98.73	206.94	94.01	205.5
CENPE	48.87	38.12	32.36	31.67	39.79	4.9	13.42	8.92	10.71	8.99	11.3	9.63	8.99	11.3	1.99	0.42	6.41	0.0	1.25	1.22	123.5	90.14	64.8	81.14	48.52	134.3	156.59	53.95	11.3	11.91	14.89	31.0	12.36	14.67
CENPF	406.31	325.29	285.03	253.23	295.11	41.52	71.5	53.57	26.28	50.27	4.62	36.79	40.07	113.56	6.46	13.72	13.62	7.17	13.52	10.79	363.56	412.0	234.57	187.71	329.84	287.01	723.08	253.23	23.08	87.03	52.82	111.21	44.89	102.97
CENPI	35.25	41.52	18.97	25.35	48.52	4.9	8.58	7.51	7.94	4.24	0.0	7.69	13.83	15.34	4.98	0.38	0.3	1.53	20.56	2.01	94.67	74.06	29.7	27.25	49.56	37.32	98.73	28.65	4.98	14.24	2.73	7.17	13.22	13.03
CENPJ	105.15	89.51	74.06	65.72	146.03	19.53	11.82	23.93	32.13	29.48	21.94	49.21	60.39	62.56	59.97	8.71	15.34	12.45	4.62	18.97	164.42	450.94	209.84	109.66	156.59	154.42	218.79	88.26	23.76	53.95	75.11	28.65	87.65	88.26
CENPO	212.78	191.67	152.28	149.12	195.72	77.79	70.01	40.64	93.35	47.17	54.72	54.72	98.73	87.03	100.83	15.8	25.54	15.45	21.94	60.82	251.48	262.2	164.42	211.31	244.57	176.29	356.05	281.09	43.32	60.39	97.36	45.85	57.08	101.54
CEP55	204.07	206.94	131.51	112.77	191.67	12.45	18.16	17.9	13.93	14.14	0.0	15.45	31.22	50.63	3.47	4.98	5.06	1.48	0.0	2.14	214.27	325.29	131.51	189.02	208.38	283.05	493.56	848.22	16.75	50.63	25.35	52.45	6.36	52.82
CEP72	63.89	46.5	80.57	39.22	68.07	29.06	14.45	50.98	38.12	49.21	7.06	65.72	33.78	77.79	41.81	33.54	22.59	39.5	37.59	28.04	100.83	253.23	356.05	130.6	91.41	110.43	148.09	417.77	69.52	86.43	34.26	9.85	34.75	79.45
CHTF18	466.88	303.44	397.93	251.48	457.25	64.8	90.14	89.51	121.79	171.45	45.53	138.1	31.22	353.59	81.71	98.73	107.38	96.01	49.56	60.82	199.85	1143.1	466.88	320.8	334.46	454.09	497.0	376.41	104.42	125.24	137.14	129.69	76.17	256.78
CKAP2L	62.12	62.12	53.95	37.59	72.52	17.25	5.73	8.45	19.39	7.57	0.0	10.63	12.93	20.71	3.96	0.68	1.1	1.01	0.0	0.57	127.0	114.36	66.18	57.08	62.56	94.67	181.28	55.89	9.13	22.92	4.66	15.11	5.06	35.0
CLSPN	66.18	47.5	44.25	26.1	53.19	8.45	2.39	8.0	20.26	6.11	0.0	8.19	12.09	13.52	2.97	0.0	0.31	0.0	0.71	1.08	176.29	148.09	185.11	122.64	81.71	131.51	275.28	153.34	5.06	21.16	11.38	0.0	3.99	30.56
DNA2	52.08	70.51	40.36	38.95	54.33	9.7	9.48	6.89	7.88	4.94	10.16	4.06	11.13	36.27	42.11	23.08	42.11	14.45	8.25	16.39	53.57	76.71	187.71	162.14	142.01	161.02	186.4	178.77	25.35	35.76	36.01	26.67	34.75	81.14
DSN1	346.29	215.77	239.52	249.73	295.11	97.36	163.28	229.72	229.72	226.54	48.52	191.67	194.36	194.36	130.6	75.64	69.52	59.97	36.79	42.71	281.09	571.05	267.73	283.05	279.14	406.31	536.45	348.71	76.71	169.07	164.42	232.94	229.72	204.07
DTYMK	620.67	785.88	587.13	395.18	665.29	327.56	353.59	291.04	441.64	361.04	215.77	287.01	353.59	536.45	351.14	189.02	249.73	176.29	108.9	187.71	928.3	764.36	1487.87	656.11	547.75	961.07	941.27	1037.29	275.28	486.75	327.56	575.03	400.71	503.95
E2F1	260.38	157.68	124.37	116.78	211.31	45.85	226.54	96.01	229.72	149.12	6.31	142.01	55.1	65.26	9.06	5.06	11.82	10.79	3.82	3.72	277.2	341.51	265.87	209.84	258.57	320.8	279.14	291.04	47.17	112.77	47.17	112.77	75.64	109.66
EME1	103.69	68.55	50.98	50.98	102.97	5.5	9.85	6.78	5.32	8.25	6.89	5.45	9.2	38.67	8.65	4.9	8.13	9.13	8.25	1.79	119.26	152.28	201.25	120.1	118.43	173.85	187.71	117.6	14.78	18.7	15.45	16.63	20.41	49.21
ERCC6L	26.67	33.3	16.75	18.29	34.51	1.81	0.99	3.82	3.63	2.39	2.1	2.94	4.98	6.84	1.01	0.24	1.46	0.42	0.09	0.0	53.19	52.45	25.91	36.53	39.22	33.54	75.64	24.63	5.77	12.27	8.71	12.0	7.28	22.26
EZH2	384.34	381.68	289.02	341.51	395.18	15.91	31.22	45.21	31.0	44.89	57.49	42.41	42.41	90.77	19.82	13.72	22.26	24.28	47.17	18.7	256.78	473.41	389.72	273.37	599.49	460.44	497.0	336.79	94.01	104.42	69.52	84.63	57.49	150.17
FAM57B	18.43	3.76	4.43	16.15	5.96	1.83	1.0	1.46	10.88	1.95	0.0	2.46	1.85	5.96	0.0	3.72	1.81	1.01	0.0	0.49	5.82	43.63	12.83	5.15	12.64	4.5	11.3	5.87	5.02	4.9	0.75	1.73	0.02	4.24
FANCD2	323.03	277.2	195.72	161.02	249.73	29.7	32.82	44.57	35.25	47.17	52.08	84.04	56.68	75.64	36.53	4.86	30.12	16.51	30.34	10.55	368.65	152.28	244.57	223.41	187.71	334.46	426.57	521.76	68.07	88.88	74.58	71.5	22.75	110.43
FANCI	312.0	221.86	151.22	180.02	293.07	85.22	23.42	36.79	38.67	56.28	21.63	67.59	88.88	87.65	30.78	13.22	24.81	18.43	13.83	10.24	551.56	595.34	551.56	228.13	435.55	366.09	785.88	267.73	134.3	127.89	105.89	105.89	68.07	124.37
FEN1	483.38	432.53	256.78	273.37	435.55	102.25	202.66	206.94	253.23	293.07	123.5	277.2	166.73	194.36	145.02	96.01	102.97	63.89	146.03	92.7	642.59	571.05	400.71	412.0	334.46	507.46	521.76	607.87	191.67	218.79	133.36	151.22	258.57	237.86
FOXH1	105.89	91.41	89.51	90.14	101.54	0.0	12.18	1.95	4.9	1.0	0.0	0.53	0.0	5.11	0.0	1.46	5.92	0.0	0.0	0.0	8.0	15.0	4.46	52.82	24.46	6.26	20.11	127.0	0.0	7.57	10.08	8.78	3.0	3.23
FOXM1	493.56	486.75	384.34	269.6	521.76	38.12	46.5	70.51	43.32	76.17	12.45	90.77	67.12	151.22	43.94	12.18	60.39	7.51	7.46	1.33	612.11	1757.34	327.56	417.77	387.02	669.92	1295.13	836.53	53.19	144.01	59.13	130.6	59.97	180.02
FUT4	293.07	438.59	299.25	253.23	376.41	18.29	21.63	38.12	50.98	32.82	33.06	30.56	19.82	48.52	43.94	6.57	12.0	6.89	44.25	15.11	289.02	460.44	121.79	490.14	269.6	285.03	665.29	409.15	181.28	223.41	121.79	84.04	82.87	152.28
FZD5	934.76	808.0	532.74	836.53	896.64	36.01	67.59	36.01	191.67	38.67	115.97	53.95	34.51	87.03	110.43	51.35	271.48	426.57	198.47	318.57	567.1	438.59	356.05	320.8	384.34	483.38	543.96	483.38	173.85	447.82	490.14	316.37	279.14	312.0
GALNT5	287.01	438.59	176.29	480.04	483.38	0.89	0.0	0.0	0.4	0.96	1.33	0.49	0.91	4.03	1.48	0.93	0.74	0.64	0.69	0.0	417.77	231.32	166.73	389.72	139.07	42.71	361.04	583.07	87.03	201.25	223.41	158.79	34.51	94.01
GINS1	127.0	132.44	106.63	85.82	127.89	8.32	11.3	18.16	48.18	20.56	15.0	15.68	24.81	40.07	31.45	1.99	3.92	4.82	1.17	2.36	74.58	221.86	128.79	57.08	101.54	293.07	269.6	141.02	20.71	47.5	17.13	14.24	12.18	48.18
GLE1	518.15	507.46	470.14	486.75	514.56	400.71	273.37	277.2	177.53	264.03	189.02	368.65	371.22	214.27	400.71	191.67	199.85	134.3	133.36	165.57	420.68	669.92	507.46	373.81	234.57	444.72	511.0	595.34	173.85	417.77	327.56	265.87	275.28	279.14
H2AFV	2935.74	2855.44	2935.74	2502.97	2796.65	1794.29	2004.85	2434.5	1628.26	2573.36	2178.83	2303.12	2855.44	2591.27	2739.08	1208.34	1242.34	642.59	612.11	825.0	3212.66	4123.49	3847.29	3395.89	4388.98	5913.33	3589.58	3768.09	1769.57	2468.49	2004.85	2664.15	2816.11	2485.67
HDAC1	4481.23	5112.16	4450.27	5329.3	5112.16	941.27	759.08	909.17	1295.13	764.36	995.0	988.12	988.12	2047.0	1617.0	395.18	1015.93	629.35	267.73	493.56	2018.8	3419.52	4358.66	2976.74	2485.67	3589.58	3303.0	3639.7	1191.69	2090.03	2240.11	2061.24	1340.84	1923.14
HELLS	172.65	120.94	101.54	71.5	136.19	15.56	14.35	33.78	51.71	33.54	70.51	23.25	47.5	60.82	52.45	6.31	5.28	13.52	2.51	3.92	327.56	366.09	417.77	295.11	229.72	674.59	551.56	693.58	124.37	75.11	46.18	39.79	54.33	141.02
HMGB2	5183.54	3847.29	2895.31	3395.89	3419.52	896.64	1605.83	1819.35	1369.04	1697.45	1662.49	1794.29	1208.34	2163.77	1277.29	525.39	299.25	470.14	202.66	332.14	1936.53	3794.3	4388.98	1832.01	1561.89	5041.77	3982.99	1769.57	486.75	947.83	1359.57	1088.92	1159.07	1135.2
HMMR	183.82	187.71	131.51	163.28	211.31	22.26	18.29	24.11	16.75	24.63	19.53	26.1	26.47	38.4	16.88	5.15	4.43	7.17	6.84	2.34	368.65	373.81	180.02	145.02	169.07	251.48	299.25	117.6	18.97	42.71	45.85	47.5	23.93	50.98
IQGAP3	232.94	226.54	180.02	147.06	242.88	9.48	7.82	7.17	4.46	10.55	1.83	7.88	10.47	69.52	6.06	1.19	0.26	1.62	0.6	5.15	295.11	384.34	514.56	229.72	173.85	241.19	381.68	305.55	12.55	72.01	29.48	49.91	9.41	101.54
KIF11	195.72	144.01	128.79	124.37	162.14	13.22	12.36	19.53	15.34	15.0	2.61	13.42	27.44	38.67	18.16	11.73	7.63	3.26	1.81	1.77	177.53	221.86	139.07	180.02	162.14	253.23	381.68	334.46	21.32	65.26	30.34	55.49	24.81	78.89
KIF14	30.78	26.86	14.45	18.7	25.35	2.68	2.41	1.91	2.01	1.43	1.16	1.95	4.5	9.93	0.51	2.29	4.17	1.2	2.84	37.32	70.01	90.14	27.64	34.75	38.95	42.41	103.69	48.87	1.81	5.63	3.17	6.36	1.93	6.26
KIF18A	49.56	32.82	41.52	53.19	45.53	6.67	2.89	12.64	10.39	5.23	11.64	7.75	10.71	13.52	5.45	3.32	0.0	0.91	0.41	2.66	105.15	97.36	59.55	48.87	46.84	119.26	135.24	71.0	4.03	16.51	9.78	17.77	3.0	17.64
KIF18B	134.3	157.68	119.26	95.34	171.45	5.45	3.41	8.13	3.66	7.69	0.0	5.92	6.41	35.0	1.03	0.41	0.65	0.0	0.29	3.38	232.94	384.34	490.14	153.34	105.89	181.28	493.56	303.44	9.7	38.67	8.25	24.11	3.41	55.89
KIF20B	102.25	81.14	63.0	56.28	75.64	21.16	8.06	25.54	25.17	15.0	12.55	19.11	44.25	29.06	28.45	16.15	17.64	6.31	4.1	7.63	183.82	186.4	117.6	128.79	155.5	195.72	258.57	242.88	20.86	62.56	40.36	48.52	49.56	57.89
KIF24	36.79	30.56	23.42	23.59	36.01	11.13	9.06	12.18	7.94	17.38	13.03	16.88	14.67	11.21	15.91	4.31	4.17	0.77	1.68	2.05	37.05	54.33	52.08	52.08	24.63	47.5	59.13	57.89	12.45	26.1	9.78	24.81	15.8	20.56
KIFC1	514.56	414.87	314.17	281.09	392.44	22.75	10.96	22.59	19.97	32.59	3.63	20.26	37.59	71.0	11.47	3.29	9.41	9.63	6.41	3.76	283.05	271.48	212.78	189.02	124.37	218.79	303.44	409.15	31.0	94.01	23.76	77.25	18.97	119.26
KNTC1	412.0	332.14	358.54	269.6	339.14	264.03	215.77	215.77	483.38	279.14	56.28	255.0	466.88	368.65	86.43	37.05	72.52	43.94	25.17	41.52	921.88	532.74	1104.13	371.22	902.89	890.44	1127.35	995.0	74.58	142.01	140.04	96.01	141.02	189.02
LIG1	1015.93	703.28	703.28	543.96	819.3	126.12	98.04	236.21	312.0	249.73	156.59	277.2	195.72	575.03	262.2	299.25	293.07	172.65	126.12	255.0	387.02	1135.2	1030.12	591.22	703.28	1175.27	954.43	738.29	438.59	420.68	353.59	358.54	314.17	559.28
LMNB2	660.68	723.08	571.05	426.57	651.58	214.27	264.03	198.47	265.87	249.73	373.81	246.28	139.07	170.25	181.28	66.65	98.73	66.65	112.77	46.84	759.08	718.08	830.75	656.11	384.34	684.02	743.43	1008.9	202.66	334.46	162.14	251.48	251.48	309.83
MCM10	38.4	41.22	25.72	21.94	37.85	6.67	2.39	6.11	11.21	3.79	0.0	2.89	7.63	11.3	1.0	0.0	7.11	0.39	0.87	1.3	223.41	87.65	80.01	75.11	55.49	71.5	69.03	105.15	4.35	10.79	0.0	7.22	3.29	20.41
MCM6	366.09	273.37	246.28	211.31	279.14	191.67	104.42	141.02	253.23	156.59	251.48	108.9	157.68	218.79	242.88	40.36	29.7	59.13	80.57	98.73	381.68	457.25	208.38	265.87	423.61	493.56	616.37	307.69	173.85	189.02	108.14	101.54	111.99	201.25
MED14	698.41	450.94	607.87	759.08	612.11	426.57	220.32	309.83	435.55	457.25	299.25	346.29	514.56	285.03	376.41	102.97	167.9	135.24	194.36	381.68	629.35	802.41	384.34	571.05	780.44	656.11	974.5	620.67	417.77	400.71	595.34	320.8	180.02	351.14
MGME1	599.49	454.09	320.8	470.14	575.03	191.67	166.73	234.57	264.03	229.72	211.31	273.37	193.01	285.03	309.83	239.52	249.73	108.9	134.3	48.52	336.79	423.61	457.25	403.5	656.11	780.44	432.53	412.0	167.9	237.86	295.11	187.71	161.02	237.86
MIS18BP1	312.0	256.78	316.37	206.94	256.78	70.01	48.18	150.17	169.07	100.13	90.14	199.85	122.64	115.16	87.65	15.8	40.93	38.67	25.35	26.86	476.71	563.18	457.25	371.22	371.22	242.88	674.59	387.02	102.97	150.17	202.66	97.36	152.28	224.97
MSH2	346.29	221.86	202.66	217.27	226.54	323.03	105.15	94.67	221.86	92.7	93.35	73.54	246.28	158.79	209.84	26.86	68.07	22.26	26.28	25.35	271.48	490.14	182.55	202.66	327.56	423.61	470.14	173.85	118.43	166.73	165.57	134.3	194.36	275.28
MSH5	470.14	500.46	353.59	423.61	521.76	88.88	13.72	41.52	51.71	18.03	26.86	55.1	76.71	376.41	224.97	51.71	81.14	55.89	29.06	41.81	327.56	1073.91	961.07	571.05	1015.93	476.71	961.07	503.95	99.43	183.82	291.04	164.42	26.47	176.29
MSH5-SAPCD1	241.19	181.28	202.66	198.47	204.07	66.65	121.79	38.12	20.11	73.54	63.89	55.89	40.36	139.07	199.85	40.36	73.54	34.02	39.22	43.32	130.6	457.25	241.19	126.12	285.03	111.21	336.79	50.27	24.63	58.3	53.95	59.97	18.97	88.26
MT-ND1	992012.34	1290947.48	1763486.6	1229805.58	1048575.0	1864037.21	2025714.3	1984025.69	1567462.05	2691538.19	1600397.78	1890058.21	2126426.15	1282030.25	1578364.61	2141216.62	1147449.11	783730.52	1100706.72	751804.53	1327240.99	1727194.55	1246973.04	1019901.63	1204496.53	863596.77	623486.02	1063212.58	1851161.35	1123834.93	1589343.01	1482909.4	2375828.71	1600397.78
MTFR2	109.66	78.89	74.06	59.97	80.57	13.03	8.71	15.22	8.45	13.42	2.89	15.56	14.45	28.65	5.54	1.64	1.64	0.04	4.24	0.0	149.12	57.49	244.57	118.43	131.51	181.28	154.42	201.25	12.64	45.21	20.71	34.51	25.72	40.93
MYBL2	607.87	406.31	314.17	232.94	500.46	12.18	13.12	14.24	20.56	17.25	0.35	18.03	12.27	107.38	1.51	1.89	4.58	4.62	5.36	1.04	480.04	1233.75	1936.53	299.25	320.8	389.72	995.0	860.08	55.1	171.45	22.43	36.01	26.47	165.57
NCAPD2	571.05	483.38	532.74	387.02	507.46	164.42	162.14	246.28	134.3	348.71	165.57	285.03	258.57	258.57	218.79	53.57	157.68	27.44	14.56	27.84	693.58	2032.85	493.56	698.41	638.15	802.41	1407.55	961.07	264.03	392.44	432.53	454.09	343.89	532.74
NCAPD3	358.54	221.86	139.07	139.07	248.0	112.77	80.57	177.53	228.13	217.27	124.37	191.67	236.21	102.97	173.85	106.63	158.79	204.07	58.71	115.16	299.25	624.99	363.56	229.72	395.18	379.04	511.0	368.65	115.16	215.77	540.19	220.32	150.17	244.57
NCAPG2	218.79	209.84	138.1	136.19	206.94	78.34	42.11	80.57	69.03	136.19	38.12	96.01	182.55	109.66	67.59	29.27	54.33	38.67	31.45	24.81	318.57	417.77	392.44	204.07	351.14	450.94	438.59	223.41	59.97	102.97	79.45	57.08	72.52	105.89
NDC1	318.57	267.73	221.86	224.97	295.11	197.09	59.13	68.07	141.02	76.71	166.73	64.34	162.14	69.03	162.14	85.22	65.72	98.73	65.72	59.13	591.22	291.04	277.2	417.77	473.41	432.53	591.22	486.75	195.72	167.9	150.17	191.67	197.09	158.79
NEIL3	37.85	26.47	20.41	22.43	38.12	0.45	2.89	3.79	1.62	3.35	0.0	5.36	6.78	5.92	0.51	0.0	0.8	0.0	0.0	0.0	27.25	49.91	22.59	28.45	20.41	34.51	51.71	23.25	4.24	10.88	6.89	13.42	3.23	21.16
