	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	TCGA.55.8208.01A.11R.2241.07	GTEX.WYVS.0526.SM.3NM9W
PDE1B	229.72	23.93	61.68	59.55	127.0	199.85	60.82	28.04	60.39	30.34	63.0	170.25	64.34	61.68	80.57	130.6
PIK3R5	221.86	30.12	39.79	138.1	107.38	205.5	115.16	15.11	59.55	20.11	35.0	100.83	53.95	58.3	343.89	400.71
PILRA	536.45	178.77	73.54	457.25	176.29	466.88	423.61	62.56	214.27	67.12	112.77	234.57	163.28	137.14	713.11	1950.0
PLEKHO2	728.11	215.77	265.87	547.75	441.64	902.89	444.72	111.21	309.83	239.52	291.04	441.64	232.94	346.29	1242.34	1135.2
PRAM1	150.17	15.34	12.36	61.68	71.0	97.36	54.33	12.0	69.52	15.11	43.63	82.87	84.63	39.5	201.25	293.07
PTAFR	267.73	41.81	45.21	343.89	178.77	187.71	312.0	12.36	131.51	42.41	86.43	172.65	54.33	145.02	688.78	988.12
PTPRCAP	521.76	58.3	87.03	218.79	154.42	743.43	563.18	24.28	143.01	11.47	82.87	291.04	82.29	271.48	1250.98	2555.58
PTPRO	94.01	22.59	27.05	102.25	93.35	88.26	68.07	50.98	31.45	34.51	15.68	41.22	26.1	16.63	155.5	228.13
RASGRP2	226.54	17.64	46.5	141.02	64.8	189.02	90.77	31.67	90.77	20.71	75.64	206.94	46.5	129.69	318.57	389.72
RNASE6	1030.12	241.19	325.29	830.75	748.61	1167.14	679.29	111.99	854.13	244.57	293.07	713.11	236.21	507.46	1259.69	2451.44
RNF166	441.64	91.41	126.12	264.03	221.86	423.61	221.86	155.5	281.09	67.12	204.07	371.22	258.57	332.14	775.05	796.86
S1PR4	95.34	10.0	17.25	53.19	29.06	128.79	79.45	9.27	25.17	2.12	11.73	63.45	1.85	24.28	201.25	988.12
SAMSN1	371.22	115.97	127.0	269.6	249.73	346.29	218.79	17.51	127.0	51.71	58.71	171.45	55.89	53.57	693.58	1350.18
SASH3	616.37	92.7	84.63	423.61	287.01	587.13	450.94	26.47	186.4	53.95	112.77	281.09	57.49	122.64	941.27	2537.92
SCIMP	135.24	19.82	18.29	134.3	91.41	113.56	120.1	10.88	65.72	25.54	32.82	72.52	35.76	52.08	320.8	703.28
SELPLG	674.59	121.79	135.24	599.49	483.38	967.76	688.78	57.49	305.55	132.44	267.73	551.56	199.85	231.32	860.08	3081.75
SEPT5	1388.16	395.18	559.28	698.41	753.83	343.89	1151.06	343.89	470.14	387.02	660.68	669.92	318.57	507.46	813.63	343.89
SIGLEC1	480.04	67.12	71.5	260.38	111.21	115.97	244.57	34.02	70.51	14.45	19.53	318.57	74.58	182.55	470.14	1167.14
SIGLEC14	109.66	28.24	19.39	85.22	74.06	93.35	108.14	6.67	35.5	27.25	18.29	33.3	9.13	19.68	218.79	152.28
SIGLEC5	27.44	6.94	1.71	43.94	36.79	20.41	19.82	4.43	31.0	8.51	6.73	23.08	7.82	2.46	46.5	106.63
SIGLEC7	136.19	26.86	19.11	91.41	50.27	63.89	82.87	11.13	40.64	21.01	24.63	56.28	13.93	19.97	241.19	547.75
SIGLEC9	134.3	24.81	17.25	108.9	90.77	106.63	83.45	12.18	30.34	30.12	18.97	62.56	9.27	26.28	258.57	470.14
SIRPB2	110.43	18.43	18.84	85.82	59.55	100.13	150.17	24.46	40.64	13.52	14.24	41.81	13.12	64.8	236.21	412.0
SLA	444.72	70.01	77.25	473.41	195.72	447.82	525.39	30.34	120.94	64.8	68.55	511.0	24.81	178.77	571.05	848.22
SLC20A1	1088.92	708.18	954.43	1304.15	1008.9	1242.34	954.43	358.54	693.58	928.3	567.1	551.56	279.14	463.65	1340.84	1233.75
SLC37A2	376.41	85.22	44.57	212.78	258.57	285.03	142.01	40.36	78.89	36.01	33.54	59.97	92.05	83.45	301.33	420.68
SNRPD3	3325.99	4481.23	2502.97	4802.93	2855.44	1794.29	3955.48	1832.01	2591.27	2935.74	2875.3	3325.99	1745.2	1781.89	3443.31	3690.52
SPI1	1030.12	265.87	205.5	802.41	583.07	1447.15	780.44	98.73	346.29	156.59	169.07	679.29	170.25	241.19	2271.4	3372.43
SRGN	4066.71	1331.57	1359.57	3103.19	1685.71	5479.15	2209.26	289.02	2018.8	703.28	1037.29	2758.13	616.37	854.13	6887.62	21468.49
STK10	466.88	135.24	197.09	291.04	264.03	486.75	334.46	191.67	221.86	155.5	197.09	301.33	172.65	217.27	651.58	642.59
TFEC	206.94	44.89	44.25	273.37	128.79	181.28	182.55	12.83	36.01	19.97	17.0	39.22	59.55	38.67	470.14	314.17
THEMIS2	612.11	166.73	195.72	647.07	248.0	583.07	392.44	47.17	295.11	71.5	137.14	723.08	182.55	301.33	1313.23	4210.15
TLR8	76.71	9.63	5.36	55.89	37.05	20.86	57.08	1.87	24.81	5.63	3.66	18.84	7.63	8.51	136.19	244.57
TMEM150B	75.64	10.55	7.11	87.03	18.7	28.86	128.79	7.17	31.22	6.31	2.84	37.59	5.96	31.67	309.83	995.0
TMEM212	1.58	0.0	0.0	0.89	0.0	0.38	0.0	0.31	0.0	0.0	0.0	0.33	0.0	0.0	33.54	269.6
TNFAIP8L2	253.23	72.01	67.12	198.47	186.4	291.04	158.79	23.59	143.01	47.5	70.01	199.85	55.49	81.71	444.72	902.89
TNFRSF1B	748.61	122.64	262.2	688.78	348.71	854.13	511.0	73.54	387.02	94.67	277.2	642.59	181.28	234.57	1119.56	3280.18
TNFSF14	64.8	5.11	3.44	35.5	20.56	114.36	32.59	2.81	11.73	1.07	12.64	49.91	9.27	9.34	78.89	121.79
TNFSF8	103.69	29.7	33.54	92.05	76.17	121.79	137.14	6.01	43.63	18.97	14.78	63.45	29.91	77.25	100.83	165.57
TREML1	56.68	4.86	5.41	24.28	9.78	44.25	22.1	0.0	15.0	4.78	12.27	24.11	16.51	27.25	35.76	29.06
TREML2	3.89	0.0	0.71	4.24	2.03	5.36	9.13	0.0	1.36	0.32	1.38	2.73	0.0	0.01	23.42	32.36
TRPV2	429.54	87.65	102.97	363.56	197.09	423.61	339.14	83.45	157.68	96.68	84.04	236.21	45.21	107.38	1015.93	1407.55
TYROBP	9088.59	2178.83	1397.83	4639.29	3564.78	7589.61	5517.27	674.59	2335.28	1313.23	1268.46	4769.75	1331.57	1605.83	9876.98	36864.92
WAS	412.0	94.67	76.17	348.71	208.38	595.34	320.8	32.13	145.02	46.84	90.77	273.37	108.9	122.64	780.44	1540.37
ZBTB32	19.97	8.38	2.61	15.91	2.89	15.8	18.7	0.39	10.63	0.39	5.36	3.66	6.67	15.34	42.71	36.53
ZBTB8OS	1233.75	1073.91	909.17	1051.79	1104.13	684.02	884.29	599.49	909.17	1159.07	780.44	1023.0	764.36	1001.93	1225.22	1104.13
