	GTEX.13CF3.2126.SM.5IFJP	GTEX.144GM.1326.SM.5LU5E	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13FTW.0626.SM.5IFEX
ANKS3	115.97	108.9	163.28	0.0	0.78	21.63	346.29	248.0	208.38	341.51	624.99	802.41	429.54	665.29	429.54	753.83	403.5	403.5	403.5	733.19	409.15	575.03	599.49	358.54	529.06	420.68	825.0	738.29	293.07	258.57	463.65	785.88	423.61	583.07	363.56	486.75	336.79	591.22	432.53	307.69	395.18	376.41	279.14	514.56	703.28	669.92	698.41	769.69	579.04	567.1	503.95	444.72	483.38	406.31	684.02	314.17	620.67	708.18	275.28	603.67	435.55	583.07	679.29	341.51	743.43	432.53	406.31	521.76	426.57	733.19	426.57	656.11	312.0	395.18	493.56	470.14	267.73	381.68	351.14	320.8	842.36	764.36	902.89	447.82	460.44	674.59	314.17	547.75	607.87	454.09	780.44	521.76	409.15	808.0	764.36	309.83
APBB3	79.45	275.28	307.69	0.0	1.14	65.26	688.78	493.56	265.87	373.81	1519.15	1023.0	583.07	1508.65	679.29	1127.35	571.05	463.65	620.67	1639.59	579.04	819.3	1199.98	656.11	802.41	563.18	1583.71	1216.75	379.04	583.07	884.29	1447.15	802.41	961.07	629.35	665.29	547.75	819.3	902.89	529.06	769.69	633.73	363.56	1277.29	1519.15	1561.89	1572.76	1322.37	1199.98	1225.22	629.35	525.39	1037.29	665.29	1135.2	361.04	1397.83	1313.23	483.38	1369.04	583.07	1498.22	1119.56	651.58	1066.48	536.45	483.38	1369.04	629.35	1397.83	775.05	1350.18	457.25	412.0	1313.23	567.1	334.46	743.43	366.09	497.0	1508.65	2271.4	1467.37	490.14	884.29	1508.65	536.45	1233.75	1151.06	878.17	1104.13	825.0	665.29	1127.35	2004.85	571.05
ARHGAP33	24.11	19.11	7.22	0.0	0.96	11.3	127.89	58.71	76.17	55.89	444.72	389.72	141.02	466.88	187.71	813.63	185.11	142.01	224.97	718.08	220.32	414.87	647.07	118.43	318.57	260.38	651.58	256.78	82.87	98.73	295.11	432.53	166.73	215.77	129.69	181.28	103.69	358.54	289.02	127.0	208.38	171.45	115.16	669.92	612.11	738.29	543.96	412.0	571.05	599.49	199.85	124.37	435.55	256.78	633.73	143.01	518.15	441.64	90.77	728.11	180.02	693.58	361.04	185.11	329.84	86.43	231.32	551.56	132.44	660.68	299.25	463.65	159.9	106.63	368.65	154.42	79.45	198.47	81.14	256.78	656.11	808.0	551.56	106.63	234.57	543.96	180.02	283.05	395.18	303.44	638.15	325.29	129.69	283.05	1051.79	81.14
ARMCX1	170.25	6.11	16.88	0.0	0.59	47.17	358.54	414.87	429.54	429.54	563.18	624.99	497.0	595.34	748.61	547.75	529.06	400.71	607.87	748.61	540.19	612.11	629.35	314.17	579.04	400.71	733.19	607.87	860.08	563.18	460.44	679.29	423.61	426.57	476.71	607.87	547.75	785.88	579.04	483.38	638.15	490.14	346.29	830.75	703.28	656.11	483.38	493.56	854.13	612.11	497.0	460.44	629.35	406.31	748.61	423.61	872.1	540.19	299.25	825.0	361.04	830.75	728.11	454.09	848.22	384.34	571.05	872.1	629.35	642.59	466.88	693.58	466.88	525.39	679.29	438.59	376.41	713.11	457.25	616.37	718.08	656.11	753.83	490.14	543.96	693.58	529.06	591.22	587.13	551.56	624.99	620.67	540.19	603.67	579.04	583.07
ATG16L2	118.43	88.88	191.67	0.0	1.16	37.85	373.81	264.03	281.09	99.43	764.36	660.68	336.79	500.46	379.04	1037.29	353.59	269.6	503.95	698.41	381.68	423.61	791.35	316.37	665.29	412.0	780.44	514.56	291.04	291.04	412.0	738.29	348.71	579.04	293.07	521.76	277.2	571.05	575.03	334.46	500.46	334.46	239.52	813.63	718.08	713.11	928.3	1167.14	753.83	748.61	450.94	297.17	583.07	341.51	587.13	412.0	595.34	518.15	376.41	713.11	432.53	921.88	633.73	441.64	629.35	303.44	444.72	769.69	301.33	791.35	447.82	688.78	351.14	379.04	591.22	264.03	241.19	432.53	267.73	373.81	708.18	791.35	934.76	457.25	368.65	665.29	423.61	507.46	595.34	669.92	796.86	432.53	486.75	587.13	1030.12	236.21
AVIL	73.54	29.91	27.44	0.0	0.36	15.0	39.79	88.26	33.06	34.26	412.0	202.66	123.5	293.07	146.03	217.27	65.72	161.02	93.35	201.25	127.89	43.32	186.4	171.45	142.01	18.43	107.38	92.7	108.14	98.73	201.25	214.27	98.73	232.94	163.28	163.28	59.55	117.6	152.28	115.97	193.01	114.36	120.94	432.53	373.81	301.33	269.6	447.82	112.77	123.5	171.45	92.05	129.69	125.24	214.27	85.22	72.52	220.32	70.51	447.82	105.89	87.65	121.79	105.15	262.2	112.77	167.9	228.13	108.9	127.89	100.13	224.97	87.65	100.83	119.26	152.28	178.77	135.24	59.97	189.02	392.44	248.0	244.57	231.32	81.71	258.57	98.04	88.26	147.06	72.52	309.83	183.82	80.01	293.07	361.04	55.1
BAI1	2.89	0.0	0.68	0.0	0.69	0.0	4.82	2.81	2.32	4.94	14.56	38.67	7.22	12.0	26.67	52.08	4.39	11.64	6.52	14.14	15.22	33.3	20.26	0.0	5.59	0.77	57.08	8.0	3.47	13.42	12.83	16.51	16.03	10.88	5.77	7.69	10.39	12.0	22.75	5.45	13.62	18.56	10.96	17.51	76.71	44.25	59.55	77.25	31.67	28.45	8.65	7.57	11.91	13.22	16.75	17.64	34.02	22.75	2.12	13.12	1.99	41.81	19.25	4.28	16.51	4.06	4.66	12.93	10.24	47.84	12.64	16.39	11.13	14.45	17.13	10.31	5.23	10.96	14.78	3.76	23.25	31.9	106.63	39.5	14.14	28.24	6.36	15.22	21.63	13.03	35.25	10.47	4.66	18.29	60.39	8.51
BZRAP1	15.45	21.47	10.55	0.0	0.82	3.29	450.94	275.28	170.25	220.32	1096.5	1457.23	693.58	1175.27	890.44	2004.85	791.35	358.54	536.45	1709.26	559.28	954.43	1561.89	285.03	1073.91	698.41	1721.16	1135.2	525.39	363.56	909.17	1498.22	529.06	1008.9	336.79	775.05	395.18	1081.39	866.07	389.72	759.08	518.15	323.03	1388.16	1745.2	1883.54	1498.22	1540.37	1467.37	1175.27	947.83	518.15	1508.65	669.92	1388.16	450.94	1407.55	941.27	395.18	1639.59	323.03	1286.18	1277.29	633.73	1088.92	493.56	848.22	1242.34	353.59	1487.87	896.64	1119.56	518.15	540.19	1096.5	559.28	371.22	612.11	463.65	435.55	1819.35	1832.01	1605.83	470.14	878.17	1216.75	591.22	902.89	1066.48	819.3	1304.15	988.12	480.04	1143.1	2319.15	389.72
C3orf18	42.71	15.68	46.18	0.0	0.18	18.97	361.04	432.53	279.14	325.29	551.56	660.68	493.56	525.39	447.82	429.54	381.68	265.87	373.81	473.41	389.72	316.37	348.71	218.79	325.29	155.5	412.0	397.93	363.56	251.48	417.77	483.38	283.05	403.5	371.22	403.5	339.14	447.82	547.75	242.88	363.56	332.14	244.57	503.95	518.15	540.19	547.75	353.59	312.0	511.0	368.65	327.56	420.68	309.83	500.46	307.69	441.64	395.18	363.56	547.75	327.56	470.14	435.55	303.44	444.72	255.0	397.93	403.5	265.87	599.49	435.55	507.46	291.04	327.56	320.8	332.14	248.0	379.04	232.94	293.07	387.02	409.15	500.46	291.04	363.56	503.95	379.04	403.5	395.18	353.59	466.88	426.57	283.05	583.07	529.06	406.31
C9orf173	0.53	0.0	0.17	0.0	0.31	0.0	10.16	5.23	8.51	1.71	83.45	44.89	7.88	42.11	22.75	33.06	11.3	4.06	9.06	33.06	4.28	13.72	39.79	12.27	12.64	9.41	44.57	22.1	2.71	7.88	19.11	35.76	20.86	27.64	4.17	12.55	5.82	30.56	11.73	6.16	18.97	12.0	3.69	19.82	55.49	85.22	48.87	25.91	42.41	31.0	17.77	7.63	30.34	12.64	28.04	10.79	41.52	24.46	8.06	52.08	7.75	44.25	24.99	12.74	15.22	5.68	6.46	59.55	6.67	53.95	8.85	36.79	7.82	6.67	35.76	11.21	1.71	4.17	3.79	6.16	55.49	52.08	56.68	7.34	15.34	36.53	11.38	17.38	30.34	11.73	34.51	18.16	2.51	18.16	36.79	4.58
CACNA1I	0.16	0.0	0.49	0.0	0.49	0.0	30.56	29.27	114.36	29.27	205.5	63.45	87.03	277.2	190.34	244.57	34.75	124.37	48.87	567.1	11.47	33.3	170.25	0.0	116.78	277.2	414.87	323.03	24.63	76.17	201.25	94.67	239.52	117.6	163.28	23.76	115.97	81.71	120.1	100.83	54.72	75.11	27.84	273.37	291.04	490.14	389.72	346.29	287.01	293.07	115.16	39.22	579.04	41.22	178.77	85.82	450.94	248.0	22.75	202.66	98.04	265.87	92.05	74.58	146.03	141.02	44.57	161.02	47.5	688.78	275.28	473.41	135.24	90.77	68.07	95.34	123.5	148.09	23.25	23.08	178.77	260.38	414.87	83.45	88.26	371.22	46.18	204.07	336.79	242.88	397.93	84.04	167.9	152.28	166.73	90.77
CALML6	6.06	0.72	2.07	0.0	0.71	0.0	4.28	1.87	0.0	2.56	7.0	18.43	9.34	11.91	13.72	27.05	6.16	8.0	12.74	12.64	5.28	10.71	7.22	3.86	12.64	14.03	18.16	8.78	1.58	2.61	10.79	19.39	10.79	9.56	6.16	3.56	1.27	13.42	6.78	3.44	13.12	5.28	3.17	10.55	27.25	26.1	15.34	26.28	9.34	22.75	7.28	7.34	3.66	3.11	11.64	4.35	22.1	13.52	2.78	15.11	8.13	23.93	17.38	2.66	19.82	5.82	10.39	13.42	9.78	4.46	9.48	22.43	3.35	3.26	16.27	7.0	2.97	5.45	9.93	5.87	10.31	24.81	47.84	6.01	15.11	20.41	9.27	15.34	5.15	8.85	17.38	12.27	3.23	14.35	24.99	6.06
CCDC24	71.0	26.1	83.45	0.0	0.16	358.54	480.04	493.56	607.87	511.0	854.13	1088.92	723.08	860.08	791.35	1104.13	651.58	575.03	669.92	1340.84	583.07	872.1	1151.06	521.76	759.08	769.69	1417.35	1023.0	511.0	361.04	928.3	988.12	688.78	713.11	543.96	638.15	532.74	733.19	713.11	406.31	624.99	591.22	358.54	915.51	1001.93	1183.45	995.0	961.07	1111.82	836.53	665.29	500.46	1119.56	473.41	974.5	497.0	954.43	1208.34	417.77	854.13	679.29	1268.46	988.12	511.0	743.43	607.87	872.1	878.17	624.99	1066.48	674.59	1037.29	438.59	500.46	878.17	624.99	417.77	669.92	587.13	483.38	1030.12	1135.2	1015.93	547.75	764.36	872.1	555.41	878.17	1030.12	791.35	1191.69	884.29	507.46	1008.9	1378.57	493.56
CCDC36	49.56	0.0	1.97	0.0	0.2	1.97	4.66	7.4	8.78	12.55	34.02	26.86	40.93	37.05	14.89	28.45	13.72	13.72	22.92	35.76	14.67	19.97	28.24	31.22	11.38	5.02	46.18	16.03	15.34	14.45	19.39	37.32	13.12	16.51	13.22	6.94	9.63	15.91	30.56	8.85	37.59	14.89	9.78	21.63	26.28	39.79	38.95	22.26	18.29	28.24	38.67	12.09	25.91	9.85	23.93	11.04	23.76	48.52	11.04	51.71	12.55	46.84	18.97	20.41	28.04	19.97	17.13	56.28	11.82	19.68	13.72	38.4	13.32	15.11	55.1	27.64	18.29	19.53	5.82	17.38	47.84	64.34	56.68	10.39	15.68	43.02	9.48	50.63	19.39	9.63	10.71	20.26	21.94	39.22	43.63	16.15
