	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.B6.A40B.01A.11R.A239.07	TCGA.B6.A401.01A.11R.A239.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A42T.01A.11R.A24H.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.44.3918.01A.01R.A278.07
C9orf142	2758.13	2935.74	2451.44	1277.29	909.17	728.11	476.71	2384.37	2384.37	2758.13	902.89	1216.75	2976.74	872.1	1806.78	848.22	1111.82	329.84	2720.15	3794.3	2004.85	305.55	813.63	2319.15	2591.27	1111.82	2701.35	967.76	791.35	1427.22	571.05	3820.7	1359.57	764.36	503.95	567.1	688.78	186.4	351.14	209.84	679.29	679.29	629.35	748.61	718.08	117.6	1225.22	748.61	607.87	409.15	476.71	441.64	629.35	291.04	981.29	1059.11	490.14	684.02	878.17	753.83	2555.58	303.44	995.0	1857.6	497.0	638.15	269.6
CCDC124	4607.24	2835.7	3235.01	2520.38	941.27	1037.29	842.36	5147.73	2701.35	2468.49	1225.22	1963.57	3443.31	1457.23	2400.97	1417.35	2520.38	256.78	3794.3	4123.49	1923.14	145.02	1806.78	5041.77	3540.14	2875.3	3982.99	1583.71	1175.27	3716.2	1467.37	4450.27	1794.29	1508.65	575.03	1250.98	1674.06	473.41	480.04	400.71	1143.1	1378.57	1277.29	1540.37	830.75	206.94	2178.83	511.0	567.1	890.44	743.43	514.56	728.11	218.79	915.51	1477.58	473.41	674.59	934.76	2537.92	2163.77	287.01	808.0	1143.1	551.56	961.07	115.97
CLPP	2645.74	1781.89	1037.29	2090.03	1167.14	866.07	872.1	2384.37	2032.85	1477.58	1268.46	1745.2	1909.85	1519.15	1605.83	1662.49	2119.22	743.43	1963.57	1963.57	1721.16	299.25	1594.73	2701.35	2434.5	1896.65	2895.31	1359.57	1242.34	1977.24	1175.27	2739.08	2224.63	1208.34	708.18	974.5	1427.22	713.11	743.43	579.04	961.07	1037.29	1088.92	1044.52	1119.56	395.18	1617.0	660.68	738.29	830.75	830.75	769.69	1051.79	476.71	848.22	842.36	848.22	688.78	854.13	1350.18	2609.3	518.15	769.69	1540.37	656.11	974.5	463.65
CNOT3	974.5	909.17	791.35	713.11	540.19	698.41	603.67	1159.07	848.22	738.29	651.58	665.29	1037.29	616.37	708.18	599.49	1037.29	353.59	808.0	902.89	884.29	460.44	684.02	967.76	896.64	595.34	1001.93	629.35	599.49	684.02	647.07	1277.29	866.07	1127.35	563.18	511.0	624.99	329.84	483.38	429.54	688.78	679.29	698.41	563.18	669.92	329.84	607.87	684.02	514.56	728.11	743.43	551.56	780.44	435.55	785.88	563.18	551.56	633.73	860.08	551.56	567.1	420.68	1051.79	423.61	409.15	713.11	114.36
COPE	8363.13	4575.41	8305.36	6207.38	4066.71	2627.46	3491.39	7803.01	4903.87	5479.15	3955.48	4298.64	7382.04	5872.48	4836.35	4095.0	7081.29	1191.69	7695.57	6935.54	5954.47	1331.57	6207.38	7537.18	6652.97	5441.3	6164.49	3103.19	2796.65	5403.7	3515.68	7749.1	7749.1	4268.94	1594.73	2209.26	3124.78	1378.57	1617.0	1417.35	2520.38	2555.58	2520.38	2555.58	2555.58	1059.11	3928.15	1605.83	1909.85	2032.85	1583.71	2319.15	1540.37	651.58	2537.92	2739.08	2004.85	2104.58	2468.49	4937.99	5831.91	1407.55	1745.2	4836.35	1369.04	2468.49	995.0
DBNL	1322.37	1467.37	3540.14	2047.0	1519.15	1991.0	1605.83	1733.13	1923.14	1896.65	1651.0	2104.58	2573.36	1909.85	2148.82	1662.49	1561.89	1259.69	2004.85	2240.11	1950.0	1073.91	2032.85	2777.33	2119.22	1208.34	1781.89	1313.23	1388.16	1936.53	1963.57	3372.43	1457.23	2287.2	1073.91	1572.76	1781.89	1427.22	1407.55	1286.18	1498.22	1295.13	1594.73	1594.73	1583.71	902.89	2004.85	836.53	1037.29	1572.76	1313.23	1127.35	1498.22	703.28	1857.6	1208.34	1286.18	1540.37	1008.9	1447.15	1806.78	967.76	1369.04	1662.49	1769.57	1313.23	836.53
DDX56	2935.74	1870.53	3103.19	1304.15	1733.13	1313.23	1242.34	1127.35	1794.29	1583.71	1183.45	1388.16	2004.85	1322.37	1832.01	1447.15	1397.83	1639.59	2047.0	2434.5	1628.26	1111.82	1896.65	1909.85	1977.24	693.58	1950.0	1369.04	1242.34	2271.4	947.83	2451.44	1733.13	1806.78	1088.92	1023.0	1151.06	825.0	1242.34	1030.12	1096.5	1143.1	1167.14	1119.56	1498.22	961.07	1259.69	1268.46	1001.93	693.58	1001.93	1151.06	1059.11	884.29	1286.18	1331.57	1051.79	1277.29	1617.0	1498.22	1477.58	934.76	1477.58	961.07	860.08	988.12	1167.14
DRAP1	3716.2	3395.89	8134.41	4095.0	2193.99	2075.59	2335.28	5594.3	7280.4	3564.78	2720.15	3168.41	4836.35	2018.8	2915.45	2451.44	3060.45	988.12	5995.9	4869.99	2758.13	1340.84	2485.67	3901.01	4543.8	3874.05	4298.64	2319.15	1498.22	5329.3	1977.24	6935.54	1721.16	3901.01	974.5	1605.83	1977.24	796.86	854.13	743.43	1909.85	1963.57	1639.59	2075.59	1225.22	483.38	2758.13	878.17	878.17	1322.37	1286.18	947.83	1081.39	679.29	1073.91	1617.0	842.36	769.69	2061.24	3742.05	5791.62	665.29	1467.37	3443.31	842.36	1397.83	954.43
ELOF1	2796.65	2417.67	5366.37	2485.67	1617.0	1030.12	733.19	2682.69	1819.35	2178.83	1369.04	1709.26	2796.65	2018.8	2133.97	1870.53	2255.7	808.0	2271.4	2434.5	1628.26	567.1	1794.29	3081.75	2090.03	1857.6	1819.35	1909.85	1467.37	2193.99	1199.98	3060.45	1857.6	1572.76	1023.0	1242.34	1651.0	825.0	1242.34	860.08	1617.0	1721.16	1151.06	1378.57	1819.35	825.0	1936.53	1295.13	890.44	967.76	1277.29	981.29	1331.57	825.0	1286.18	1073.91	1096.5	1096.5	1331.57	1295.13	2573.36	775.05	1605.83	2240.11	1044.52	1051.79	497.0
EXOSC5	1369.04	967.76	651.58	866.07	638.15	728.11	521.76	1175.27	915.51	738.29	361.04	633.73	1286.18	441.64	1119.56	595.34	1037.29	361.04	988.12	775.05	656.11	120.94	836.53	2271.4	1159.07	743.43	1883.54	571.05	532.74	909.17	470.14	1498.22	1059.11	1199.98	339.14	432.53	490.14	163.28	363.56	215.77	559.28	480.04	358.54	486.75	540.19	170.25	616.37	503.95	457.25	363.56	353.59	463.65	305.55	220.32	387.02	775.05	353.59	583.07	384.34	890.44	1167.14	226.54	486.75	718.08	406.31	563.18	59.55
FAM195A	909.17	1096.5	5555.65	361.04	902.89	647.07	361.04	1977.24	1135.2	802.41	332.14	395.18	1127.35	470.14	1037.29	497.0	813.63	289.02	1322.37	1135.2	860.08	211.31	665.29	1685.71	2485.67	708.18	656.11	417.77	295.11	511.0	258.57	961.07	1096.5	665.29	137.14	209.84	264.03	139.07	120.94	126.12	215.77	204.07	307.69	251.48	265.87	69.03	435.55	161.02	208.38	181.28	195.72	262.2	215.77	67.12	253.23	229.72	148.09	195.72	307.69	146.03	1088.92	77.25	229.72	579.04	130.6	102.97	57.08
FARSA	1529.73	941.27	3060.45	1340.84	1268.46	915.51	629.35	2573.36	1551.09	1397.83	941.27	1081.39	1340.84	1037.29	1322.37	1159.07	1437.15	743.43	1757.34	1936.53	1225.22	260.38	1540.37	2335.28	2047.0	1508.65	1561.89	1127.35	802.41	1340.84	1015.93	1883.54	1617.0	1081.39	647.07	733.19	1023.0	358.54	575.03	470.14	988.12	915.51	780.44	819.3	974.5	444.72	1037.29	656.11	555.41	753.83	819.3	780.44	796.86	343.89	830.75	764.36	559.28	759.08	848.22	1369.04	1143.1	551.56	1001.93	896.64	447.82	884.29	258.57
FDX1L	878.17	813.63	1605.83	728.11	438.59	301.33	493.56	981.29	660.68	567.1	432.53	480.04	624.99	435.55	759.08	543.96	848.22	163.28	842.36	1216.75	669.92	150.17	521.76	1427.22	915.51	698.41	1037.29	607.87	339.14	718.08	395.18	1051.79	651.58	536.45	260.38	406.31	414.87	258.57	325.29	202.66	397.93	346.29	414.87	363.56	423.61	151.22	616.37	343.89	208.38	303.44	318.57	314.17	305.55	262.2	435.55	279.14	159.9	348.71	616.37	438.59	1127.35	334.46	525.39	583.07	287.01	339.14	208.38
FZD2	77.25	57.89	361.04	116.78	100.13	115.16	80.57	181.28	176.29	66.18	147.06	116.78	368.65	120.1	162.14	162.14	162.14	35.76	246.28	191.67	98.04	24.81	368.65	511.0	237.86	90.14	246.28	48.52	49.56	97.36	127.89	131.51	204.07	312.0	39.79	27.25	28.04	19.97	74.58	34.26	43.32	32.36	50.27	44.89	63.89	20.56	70.01	152.28	67.12	85.82	234.57	46.5	62.12	33.3	78.89	50.98	37.32	38.95	33.78	15.45	50.98	39.5	63.45	23.42	94.67	49.91	4.28
GADD45GIP1	5041.77	2400.97	5751.61	2032.85	1175.27	1199.98	441.64	3742.05	2664.15	2090.03	1397.83	1781.89	2835.7	1487.87	2287.2	2018.8	2645.74	211.31	2956.17	3665.02	2104.58	190.34	1832.01	3820.7	2645.74	2384.37	2997.45	1628.26	1096.5	3540.14	1199.98	4769.75	3349.13	1769.57	500.46	1268.46	1651.0	432.53	486.75	273.37	1313.23	1295.13	1286.18	1498.22	1008.9	180.02	2032.85	493.56	988.12	884.29	486.75	1015.93	595.34	293.07	1199.98	981.29	679.29	954.43	656.11	1806.78	3955.48	264.03	713.11	1605.83	466.88	665.29	289.02
HSPBP1	3081.75	1066.48	1594.73	808.0	587.13	753.83	381.68	1447.15	1437.15	954.43	444.72	679.29	1359.57	607.87	1225.22	486.75	1277.29	264.03	1936.53	1447.15	896.64	132.44	733.19	2319.15	1572.76	825.0	1685.71	669.92	511.0	954.43	379.04	2119.22	587.13	1051.79	366.09	432.53	718.08	194.36	323.03	197.09	490.14	511.0	473.41	529.06	500.46	205.5	693.58	460.44	265.87	466.88	332.14	579.04	325.29	166.73	728.11	1340.84	358.54	669.92	412.0	587.13	934.76	84.04	409.15	703.28	279.14	366.09	59.55
ISOC2	2835.7	1605.83	2163.77	1769.57	1437.15	1733.13	733.19	3639.7	1832.01	2303.12	1242.34	1685.71	3372.43	2224.63	1794.29	1159.07	3081.75	435.55	2451.44	2047.0	1883.54	244.57	2004.85	3349.13	1963.57	1936.53	1963.57	967.76	967.76	1605.83	1037.29	3982.99	1794.29	2193.99	547.75	708.18	854.13	688.78	547.75	591.22	753.83	698.41	842.36	660.68	819.3	371.22	1023.0	543.96	559.28	620.67	595.34	591.22	579.04	438.59	536.45	759.08	507.46	665.29	748.61	896.64	1594.73	497.0	624.99	947.83	591.22	915.51	283.05
LEPREL4	1044.52	518.15	1037.29	493.56	860.08	954.43	409.15	1268.46	947.83	463.65	543.96	373.81	420.68	348.71	563.18	426.57	486.75	406.31	967.76	438.59	267.73	208.38	551.56	1857.6	848.22	457.25	543.96	341.51	417.77	1151.06	438.59	483.38	703.28	674.59	152.28	186.4	271.48	58.3	191.67	113.56	197.09	237.86	191.67	186.4	239.52	63.45	414.87	232.94	198.47	181.28	320.8	205.5	224.97	164.42	332.14	146.03	133.36	158.79	239.52	209.84	307.69	119.26	285.03	246.28	159.9	217.27	277.2
MEF2BNB	444.72	941.27	713.11	808.0	463.65	329.84	450.94	974.5	759.08	708.18	392.44	575.03	1096.5	379.04	511.0	660.68	759.08	277.2	934.76	860.08	660.68	397.93	620.67	819.3	764.36	376.41	521.76	497.0	432.53	532.74	353.59	559.28	579.04	551.56	283.05	432.53	483.38	366.09	269.6	332.14	480.04	493.56	473.41	329.84	417.77	242.88	543.96	295.11	389.72	414.87	287.01	273.37	379.04	202.66	529.06	305.55	279.14	507.46	571.05	412.0	638.15	332.14	336.79	647.07	403.5	379.04	214.27
MGP	145432.49	469249.9	275175.93	485798.0	998912.34	1139523.1	659036.03	593956.43	329517.51	431797.89	736332.6	623486.02	282912.21	716197.51	462789.59	546551.29	299043.36	466008.55	52135.28	104996.83	489177.0	171754.88	1196176.45	113315.62	113315.62	539026.74	443937.41	623486.02	434801.29	402881.61	706337.4	21768.19	687022.54	417089.23	343510.77	320506.81	425853.18	38966.94	453265.5	275175.93	462789.59	408505.64	288856.81	331809.5	800198.39	397335.0	509950.32	358098.26	598087.73	378516.38	585779.24	1524599.69	496005.67	107948.72	400098.69	565825.41	334117.42	341137.96	565825.41	869603.57	1100706.72	845824.19	496005.67	1308968.45	311742.51	614902.29	6792.79
MPG	1639.59	2351.53	6164.49	1066.48	2133.97	1487.87	591.22	2915.45	2178.83	1277.29	967.76	1183.45	2209.26	1167.14	2178.83	1628.26	2104.58	417.77	2004.85	2319.15	1963.57	389.72	1551.09	2319.15	3060.45	2777.33	1467.37	1397.83	981.29	1159.07	1037.29	2720.15	1857.6	1651.0	728.11	854.13	1191.69	432.53	647.07	384.34	974.5	981.29	974.5	967.76	995.0	256.78	1457.23	616.37	679.29	890.44	769.69	748.61	555.41	299.25	1008.9	981.29	679.29	813.63	669.92	902.89	3874.05	384.34	480.04	2591.27	603.67	947.83	170.25
MRPS12	1540.37	1104.13	1832.01	896.64	995.0	1286.18	921.88	2451.44	1427.22	1388.16	693.58	1023.0	1417.35	860.08	1233.75	921.88	1697.45	289.02	1605.83	1870.53	1044.52	195.72	1233.75	2537.92	1857.6	1167.14	1697.45	759.08	583.07	1909.85	660.68	2090.03	1023.0	1268.46	356.05	429.54	713.11	273.37	371.22	305.55	497.0	567.1	454.09	607.87	624.99	269.6	842.36	412.0	379.04	400.71	414.87	547.75	279.14	189.02	412.0	511.0	417.77	426.57	392.44	1073.91	1639.59	301.33	283.05	1191.69	341.51	490.14	264.03
MRPS34	5366.37	3820.7	10084.54	1639.59	4388.98	3768.09	1331.57	6745.86	5791.62	3190.46	1977.24	2119.22	4769.75	2591.27	4181.07	2997.45	2915.45	1397.83	3212.66	2796.65	2997.45	723.08	3768.09	3955.48	5366.37	2701.35	3349.13	2468.49	1457.23	2537.92	1467.37	4543.8	4123.49	3212.66	813.63	1167.14	1651.0	612.11	753.83	483.38	1397.83	1594.73	1350.18	1583.71	1498.22	336.79	2255.7	1135.2	1242.34	1015.93	1295.13	1119.56	967.76	764.36	1709.26	733.19	769.69	780.44	1059.11	1259.69	3874.05	738.29	1388.16	2555.58	764.36	1111.82	669.92
NDUFA3	7911.95	7485.11	7433.4	5517.27	7642.41	6207.38	2367.9	7331.05	5112.16	4769.75	4066.71	6121.9	10959.3	4298.64	5441.3	4903.87	11504.21	2335.28	8963.45	7230.1	5219.6	1963.57	6381.92	10959.3	6840.04	4181.07	7695.57	3982.99	3742.05	8718.32	2935.74	10585.95	7911.95	8191.0	3103.19	3212.66	3540.14	4181.07	3419.52	4802.93	3639.7	3540.14	3257.52	3124.78	4512.4	2303.12	5076.84	2004.85	2178.83	2758.13	2224.63	1794.29	3639.7	1350.18	3212.66	1977.24	1977.24	3081.75	3303.0	4268.94	9088.59	1175.27	3325.99	5147.73	2193.99	3124.78	1519.15
NDUFS6	35609.13	2104.58	3235.01	1529.73	981.29	1407.55	1313.23	4836.35	3901.01	2119.22	1519.15	2682.69	2351.53	2104.58	2255.7	2335.28	1628.26	547.75	4575.41	2090.03	1605.83	285.03	1594.73	4903.87	3039.3	2271.4	2720.15	1313.23	1037.29	2417.67	1191.69	4038.61	3146.52	1540.37	587.13	1044.52	1388.16	575.03	525.39	351.14	896.64	1208.34	848.22	1216.75	872.1	212.78	2061.24	463.65	624.99	878.17	791.35	708.18	723.08	277.2	890.44	540.19	669.92	587.13	1119.56	1519.15	3325.99	426.57	759.08	1757.34	429.54	607.87	819.3
