	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTSS.0626.SM.59867	GTEX.V1D1.1026.SM.4JBHE	GTEX.NFK9.1126.SM.3LK78	GTEX.T8EM.0526.SM.4DM64	GTEX.12BJ1.1626.SM.5HL8Y	GTEX.XBED.1026.SM.48TCB	GTEX.VJYA.0726.SM.4KL1T	GTEX.ZPCL.1426.SM.57WEC	TCGA.CV.7180.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CV.6956.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
C3orf35	1.19	0.95	9.27	13.32	10.08	13.93	9.2	9.34	5.96	12.0	15.91	19.97	18.29	25.35	16.39	9.78	23.25	1.64	1.99	1.5	3.29	5.92	2.61	7.82	0.0	1.0	2.84	3.44	3.2	3.72
CASP8	134.3	242.88	529.06	624.99	476.71	346.29	409.15	454.09	414.87	497.0	493.56	490.14	490.14	624.99	647.07	579.04	540.19	273.37	241.19	346.29	232.94	152.28	171.45	412.0	412.0	480.04	221.86	432.53	361.04	236.21
CPA3	6.16	281.09	113.56	500.46	366.09	476.71	214.27	215.77	260.38	146.03	341.51	271.48	234.57	412.0	309.83	224.97	135.24	75.64	84.04	17.64	29.7	72.01	112.77	217.27	0.0	56.68	241.19	44.89	41.81	72.01
CYP17A1	0.6	0.0	20.56	24.28	4.03	2.56	2.73	1.81	2.46	40.07	111.99	35.25	16.88	21.16	19.39	81.71	1.6	1.11	0.0	0.62	1.2	0.0	0.8	1.22	0.0	0.0	0.0	0.0	0.05	3.11
DCST1	2.29	0.0	4.94	14.56	7.34	9.56	5.15	2.84	3.72	16.03	8.45	14.45	5.68	10.63	8.78	8.0	20.56	0.56	0.0	0.0	0.6	2.43	0.0	4.17	0.0	2.25	1.3	1.69	0.84	1.25
DNAH1	6.73	1.27	32.36	55.1	80.01	65.26	68.07	57.89	79.45	91.41	153.34	111.99	94.01	133.36	151.22	138.1	167.9	5.45	4.62	2.25	17.77	21.63	12.55	32.36	0.0	24.11	21.94	24.81	16.27	10.08
FAM209A	1.75	0.0	4.28	8.71	8.19	6.11	6.11	2.41	8.71	7.22	7.63	16.39	12.93	11.64	15.56	12.36	12.0	1.85	0.0	2.76	1.57	3.96	0.0	3.44	0.0	0.53	0.1	4.13	4.43	6.67
FBXO24	4.06	4.58	16.88	19.11	14.24	17.64	26.28	16.88	40.07	17.0	40.36	30.78	20.86	5.5	19.82	17.9	16.63	3.2	9.13	2.86	3.56	4.98	4.1	22.26	0.0	13.93	4.43	9.2	7.46	7.28
FNBP4	189.02	146.03	429.54	733.19	1397.83	1757.34	1397.83	1407.55	1350.18	1628.26	1617.0	1936.53	1369.04	2104.58	1561.89	2075.59	3443.31	260.38	202.66	387.02	813.63	693.58	312.0	890.44	518.15	503.95	457.25	406.31	312.0	305.55
GSAP	44.57	55.49	156.59	211.31	206.94	256.78	159.9	157.68	194.36	195.72	180.02	165.57	144.01	297.17	299.25	273.37	271.48	31.9	45.21	80.01	123.5	78.34	43.94	85.22	0.0	29.91	88.26	52.08	46.18	24.11
KLHDC1	4.39	11.3	22.1	35.25	26.67	42.41	29.27	9.34	24.81	35.5	40.93	48.52	40.36	43.02	49.56	23.93	72.01	9.56	8.85	4.24	14.67	12.45	12.93	20.26	0.0	8.06	18.84	8.85	8.38	10.47
LDHAL6A	0.0	0.0	0.46	0.83	1.08	0.74	0.85	0.71	0.93	1.48	3.63	2.66	3.69	3.38	1.81	2.14	1.87	0.43	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.12	0.05	0.51	0.0	0.0
LY6G5B	46.84	9.34	18.84	69.52	299.25	301.33	283.05	366.09	217.27	334.46	267.73	251.48	220.32	332.14	301.33	287.01	493.56	13.03	6.01	26.47	29.27	45.21	13.32	84.04	0.0	67.59	12.93	23.42	13.42	23.08
MBTD1	45.85	29.06	120.94	202.66	147.06	199.85	182.55	125.24	146.03	182.55	267.73	237.86	171.45	224.97	217.27	141.02	206.94	61.68	60.82	69.52	69.52	56.68	64.34	129.69	83.45	105.89	106.63	90.77	84.04	94.01
MON2	92.05	84.63	275.28	305.55	409.15	543.96	511.0	417.77	432.53	473.41	698.41	579.04	470.14	470.14	486.75	486.75	579.04	166.73	194.36	146.03	229.72	275.28	221.86	341.51	0.0	201.25	166.73	189.02	187.71	189.02
MUC21	10.24	0.0	1019901.63	311742.51	645473.24	275175.93	964885.69	193234.41	906531.99	47313.67	22072.07	32315.87	21468.49	47974.16	33224.42	27938.14	43537.38	1844.76	2367.9	29.48	2796.65	6745.86	7382.04	28328.16	0.0	405683.88	443937.41	741454.2	762299.34	834179.46
N4BP2L2	248.0	353.59	543.96	825.0	872.1	1175.27	934.76	780.44	848.22	1015.93	1268.46	1135.2	848.22	1023.0	1216.75	1388.16	1806.78	281.09	262.2	299.25	665.29	450.94	403.5	679.29	0.0	444.72	629.35	438.59	371.22	339.14
NBPF11	92.7	28.65	164.42	376.41	251.48	232.94	262.2	194.36	237.86	251.48	412.0	297.17	325.29	339.14	339.14	269.6	400.71	68.07	69.52	98.04	110.43	141.02	79.45	232.94	0.0	128.79	114.36	108.14	123.5	94.67
NBPF16	23.25	9.56	47.5	95.34	246.28	229.72	251.48	176.29	260.38	348.71	314.17	299.25	212.78	262.2	297.17	295.11	325.29	14.03	43.63	41.52	44.25	48.52	20.56	126.12	0.0	43.63	40.36	53.95	40.07	50.63
NBPF20	4.7	6.78	13.62	18.16	58.3	53.19	57.08	60.39	55.1	73.54	47.5	35.25	27.64	35.25	71.5	81.14	41.22	4.9	17.25	14.89	12.09	16.63	2.41	31.45	10.24	3.96	7.0	8.38	9.48	1.64
NME9	0.91	0.0	2.2	3.63	6.62	9.7	7.06	8.06	6.62	11.73	14.45	18.03	9.56	22.1	10.24	19.39	14.14	1.41	0.0	1.64	2.05	2.12	0.0	2.53	0.0	1.75	2.51	2.66	1.48	0.52
NPIPA7	547.75	71.0	417.77	890.44	1008.9	1628.26	1662.49	2032.85	591.22	1081.39	1923.14	1844.76	1819.35	808.0	2090.03	2537.92	2468.49	414.87	44.89	253.23	293.07	563.18	185.11	87.65	242.88	579.04	170.25	356.05	130.6	796.86
PANX2	77.25	0.35	112.77	29.48	82.87	40.07	173.85	269.6	89.51	229.72	189.02	343.89	226.54	334.46	101.54	329.84	151.22	6.31	28.65	40.36	18.03	7.0	8.92	189.02	0.0	4.94	39.79	10.16	47.5	35.0
PP13439	1.16	0.0	3.86	10.63	11.21	18.43	19.97	10.63	21.16	21.32	32.82	33.06	21.01	29.48	22.1	32.36	23.08	4.24	1.2	0.91	3.76	7.51	5.87	3.82	0.0	7.4	1.79	7.28	4.78	8.99
RWDD2A	15.45	31.9	19.53	43.94	38.67	27.64	27.84	34.26	24.99	40.07	38.67	56.68	51.71	46.84	64.8	108.9	59.55	12.74	22.75	21.63	18.84	12.64	26.47	33.06	0.0	11.47	32.13	21.94	26.86	16.39
SGSM2	269.6	111.99	708.18	1437.15	1225.22	961.07	1081.39	1059.11	1407.55	1540.37	2119.22	1457.23	1685.71	2178.83	1551.09	1286.18	3060.45	220.32	256.78	246.28	371.22	559.28	346.29	587.13	0.0	353.59	559.28	392.44	301.33	208.38
SLC10A1	0.3	0.31	1.39	2.71	1.75	0.82	1.28	0.77	1.6	7.94	8.99	3.14	6.01	2.48	3.66	4.31	1.95	1.27	0.57	0.0	0.51	0.0	0.57	0.96	0.0	0.39	1.33	0.37	0.72	0.65
SS18L1	128.79	72.52	171.45	165.57	206.94	253.23	173.85	273.37	183.82	256.78	303.44	242.88	178.77	241.19	283.05	264.03	334.46	98.73	74.06	104.42	112.77	114.36	120.1	154.42	0.0	129.69	81.71	82.87	76.71	130.6
SSBP3-AS1	0.0	0.0	10.16	4.58	8.92	6.06	13.62	4.54	8.45	39.22	32.36	27.25	21.94	27.25	13.93	16.15	32.59	1.0	0.0	2.34	0.0	0.0	2.25	3.35	0.0	3.38	1.45	2.14	3.72	2.61
TAS2R5	1.48	0.0	9.34	16.51	20.11	24.11	18.43	10.08	21.16	28.24	32.59	48.18	22.26	36.01	20.71	21.63	58.71	1.22	1.99	5.02	6.11	1.83	3.14	5.73	0.0	1.3	4.13	1.58	1.97	0.12
TPSD1	1.19	7.0	12.45	123.5	435.55	85.82	66.18	118.43	52.08	148.09	115.97	122.64	123.5	264.03	128.79	81.14	157.68	18.84	0.0	2.12	2.56	20.86	25.91	25.54	0.0	20.26	3.03	4.9	1.07	2.2
TRIM66	11.91	13.22	65.72	93.35	109.66	115.97	88.26	87.03	114.36	90.14	320.8	121.79	127.0	108.14	155.5	121.79	180.02	24.28	16.75	21.78	17.13	16.27	21.78	39.5	0.0	37.85	43.94	25.35	42.11	21.94
TSSK4	1.77	6.11	31.0	25.17	46.5	54.72	30.12	45.21	36.53	74.58	61.68	98.73	45.21	88.26	71.0	58.71	100.83	2.43	1.91	7.82	7.75	10.79	5.19	12.93	0.0	25.17	7.94	12.93	8.99	4.82
VAMP4	63.0	256.78	181.28	285.03	267.73	279.14	291.04	214.27	273.37	251.48	234.57	255.0	273.37	253.23	334.46	336.79	262.2	171.45	228.13	244.57	127.89	180.02	251.48	232.94	0.0	176.29	112.77	211.31	123.5	170.25
ZNF10	30.12	25.72	33.54	100.83	67.12	95.34	81.71	67.12	92.05	110.43	153.34	173.85	75.11	155.5	96.01	115.97	232.94	30.56	14.35	7.06	31.67	24.28	35.0	61.25	0.0	36.79	41.22	40.36	31.9	38.95
ZNF512B	51.35	11.47	224.97	301.33	356.05	273.37	303.44	232.94	389.72	500.46	651.58	463.65	490.14	616.37	529.06	476.71	669.92	117.6	152.28	100.83	209.84	241.19	181.28	231.32	0.0	341.51	242.88	392.44	215.77	155.5
ZNF513	156.59	20.11	339.14	563.18	490.14	414.87	417.77	616.37	463.65	536.45	595.34	633.73	555.41	518.15	493.56	559.28	764.36	209.84	163.28	150.17	417.77	387.02	325.29	348.71	0.0	368.65	381.68	470.14	423.61	334.46
