	GTEX.U3ZM.0826.SM.4DXU6	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.XGQ4.1226.SM.4AT67	GTEX.QDVJ.1326.SM.48U1X	GTEX.SNMC.1126.SM.4DM5M	GTEX.QDVN.1326.SM.48TZ3	GTEX.O5YT.1426.SM.3MJHC	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.Y3IK.1826.SM.4WWDS	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.113JC.1026.SM.5H117	GTEX.146FQ.1126.SM.5NQBM	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.11EQ9.1726.SM.5HL6U	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ
RTN4IP1	80.57	131.51	126.12	199.85	195.72	119.26	251.48	262.2	273.37	353.59	327.56	218.79	438.59	57.08	56.28	63.89	105.89	45.53	40.93	144.01	177.53	139.07	56.28	175.07	111.99	165.57	56.28	68.07
SDHC	2032.85	2224.63	2451.44	3614.55	3235.01	2835.7	3443.31	3874.05	3146.52	4575.41	4903.87	3564.78	4575.41	2609.3	1870.53	2090.03	2032.85	1709.26	1508.65	2468.49	2758.13	2976.74	2777.33	3794.3	3212.66	3168.41	1709.26	2835.7
SELL	17.64	17.38	24.99	69.52	94.67	21.16	201.25	301.33	599.49	155.5	224.97	129.69	103.69	76.17	49.56	46.18	11.82	12.0	41.22	33.3	92.7	59.55	16.75	59.97	95.34	89.51	11.91	753.83
SEPHS2	483.38	759.08	928.3	1583.71	1628.26	551.56	2047.0	2367.9	1991.0	2520.38	2855.44	1277.29	3467.27	775.05	713.11	616.37	693.58	371.22	441.64	738.29	884.29	759.08	728.11	915.51	1023.0	1175.27	186.4	866.07
SLC25A24	255.0	229.72	511.0	470.14	521.76	180.02	638.15	629.35	703.28	981.29	1143.1	603.67	1051.79	295.11	297.17	226.54	244.57	137.14	120.94	239.52	293.07	291.04	343.89	329.84	361.04	339.14	99.43	253.23
SPRYD4	104.42	147.06	221.86	271.48	297.17	148.09	325.29	343.89	334.46	490.14	454.09	301.33	688.78	202.66	120.1	120.94	177.53	100.83	56.68	208.38	211.31	231.32	153.34	275.28	237.86	260.38	65.26	199.85
STOML2	1745.2	2075.59	2271.4	2720.15	2777.33	2193.99	3039.3	3018.3	2935.74	4210.15	3564.78	2627.46	3928.15	1819.35	1639.59	1769.57	1794.29	1088.92	1208.34	2502.97	2875.3	2303.12	1651.0	2468.49	2384.37	3146.52	738.29	2434.5
SUCLG1	3325.99	2855.44	2468.49	3928.15	3901.01	2271.4	4607.24	4328.55	4903.87	5147.73	4937.99	3768.09	8963.45	1697.45	1487.87	1844.76	1733.13	1844.76	1477.58	2209.26	2997.45	2739.08	2384.37	2682.69	2047.0	2835.7	1757.34	2976.74
TACO1	392.44	403.5	412.0	551.56	633.73	343.89	638.15	796.86	684.02	796.86	981.29	559.28	1096.5	287.01	271.48	256.78	332.14	127.89	110.43	521.76	511.0	447.82	389.72	500.46	409.15	514.56	104.42	332.14
TAGLN	561916.97	623486.02	485798.0	869603.57	269512.87	3113270.58	167058.21	140478.49	163620.18	48982.22	40621.74	301123.38	29736.59	857631.47	677564.08	1703415.74	425853.18	149521.18	168220.2	602247.76	731246.37	573724.06	565825.41	691801.16	565825.41	485798.0	360589.03	610654.84
TGFA	19.97	2.68	60.39	81.14	197.09	1.87	181.28	251.48	171.45	223.41	400.71	78.34	417.77	5.82	0.0	0.0	8.0	3.59	8.58	10.16	32.82	13.12	13.03	52.08	16.51	62.56	21.32	23.42
TMEM177	103.69	187.71	273.37	368.65	307.69	251.48	366.09	400.71	473.41	454.09	432.53	384.34	656.11	136.19	114.36	80.57	157.68	71.5	53.19	198.47	224.97	165.57	85.82	190.34	217.27	226.54	154.42	334.46
TSFM	529.06	684.02	642.59	785.88	878.17	708.18	872.1	872.1	988.12	1477.58	1277.29	620.67	1340.84	551.56	426.57	500.46	463.65	376.41	264.03	579.04	723.08	579.04	525.39	764.36	872.1	860.08	164.42	376.41
TSPAN17	239.52	307.69	559.28	454.09	532.74	332.14	703.28	665.29	748.61	830.75	603.67	713.11	1015.93	249.73	281.09	258.57	309.83	144.01	237.86	397.93	423.61	241.19	234.57	291.04	466.88	329.84	95.34	341.51
TSPAN3	2018.8	2367.9	6207.38	5366.37	5366.37	2004.85	11112.3	9876.98	8247.98	12415.75	14065.74	6607.01	15934.98	2224.63	2271.4	2075.59	1733.13	3146.52	3665.02	3742.05	3515.68	4512.4	4937.99	4607.24	4512.4	4181.07	3540.14	4010.71
TSSC1	226.54	226.54	264.03	361.04	353.59	256.78	507.46	543.96	536.45	713.11	629.35	486.75	660.68	318.57	183.82	140.04	163.28	85.82	157.68	316.37	395.18	361.04	217.27	336.79	332.14	346.29	185.11	334.46
TST	567.1	503.95	1674.06	2935.74	7382.04	343.89	11992.79	11189.6	9740.98	12160.22	12502.12	2468.49	24321.43	277.2	118.43	171.45	563.18	197.09	256.78	441.64	624.99	693.58	703.28	967.76	733.19	1225.22	186.4	769.69
TTC38	285.03	299.25	967.76	860.08	2997.45	366.09	1819.35	1832.01	1697.45	2209.26	2367.9	941.27	3540.14	343.89	463.65	336.79	583.07	718.08	473.41	368.65	454.09	764.36	748.61	480.04	612.11	638.15	616.37	563.18
UMPS	293.07	406.31	460.44	503.95	429.54	341.51	473.41	447.82	409.15	785.88	651.58	514.56	579.04	441.64	305.55	275.28	285.03	107.38	113.56	400.71	529.06	301.33	314.17	483.38	563.18	470.14	50.98	366.09
VPS25	961.07	759.08	1044.52	1551.09	1477.58	764.36	1857.6	2061.24	1781.89	2609.3	2573.36	1674.06	3168.41	872.1	665.29	447.82	679.29	563.18	447.82	1268.46	1127.35	1378.57	954.43	1437.15	1233.75	1322.37	332.14	988.12
ZDHHC12	409.15	348.71	884.29	1044.52	1340.84	271.48	2271.4	2303.12	1628.26	3018.3	3103.19	1127.35	3874.05	329.84	144.01	92.7	392.44	175.07	144.01	579.04	529.06	775.05	642.59	1096.5	733.19	947.83	232.94	559.28
ZDHHC3	738.29	934.76	1551.09	1427.22	1594.73	902.89	2004.85	1819.35	1870.53	2451.44	2255.7	1540.37	2451.44	988.12	921.88	909.17	954.43	759.08	728.11	1331.57	1081.39	825.0	915.51	1111.82	1183.45	1066.48	733.19	1175.27
