	TCGA.KU.A66S.01A.21R.A30B.07	GTEX.S32W.1926.SM.4AD63	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZF2S.3026.SM.4WWCH	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.14753.1626.SM.5NQ9L	TCGA.33.4533.01A.01R.1201.07	TCGA.37.4132.01A.01R.1100.07	TCGA.37.4141.01A.02R.1100.07	TCGA.37.4132.01A.01R.1100.07.1
MRPL21	3349.13	2609.3	1721.16	1477.58	1594.73	1135.2	1498.22	1909.85	1477.58	1819.35	1066.48	2875.3	3955.48	3103.19	3955.48
MRPL22	1583.71	1477.58	775.05	819.3	1096.5	836.53	1030.12	947.83	1037.29	738.29	884.29	1183.45	1340.84	2384.37	1340.84
NOL11	1008.9	543.96	426.57	318.57	395.18	444.72	426.57	353.59	555.41	450.94	301.33	1119.56	1111.82	1369.04	1111.82
NR2C2AP	819.3	289.02	83.45	122.64	205.5	119.26	201.25	241.19	251.48	94.01	72.52	825.0	660.68	842.36	660.68
OVCA2	1119.56	1651.0	713.11	698.41	1066.48	435.55	884.29	1044.52	1073.91	490.14	738.29	1295.13	1127.35	1397.83	1127.35
PGP	339.14	206.94	158.79	96.01	143.01	88.26	155.5	181.28	262.2	73.54	92.05	138.1	332.14	371.22	332.14
PHF14	981.29	356.05	346.29	291.04	194.36	318.57	187.71	246.28	285.03	228.13	175.07	902.89	463.65	497.0	463.65
PKNOX1	194.36	171.45	91.41	67.12	56.68	91.41	112.77	78.34	208.38	114.36	71.5	277.2	283.05	255.0	283.05
PPP2R2D	486.75	329.84	275.28	267.73	279.14	318.57	356.05	318.57	450.94	363.56	246.28	638.15	563.18	713.11	563.18
PSMA5	4972.34	4937.99	3742.05	3847.29	3168.41	3280.18	3235.01	4268.94	5441.3	3349.13	2758.13	4181.07	5791.62	6607.01	5791.62
RAB3IP	1583.71	426.57	256.78	96.01	148.09	125.24	119.26	125.24	277.2	248.0	236.21	289.02	656.11	723.08	656.11
RBM45	307.69	143.01	133.36	113.56	98.04	140.04	102.25	96.68	115.16	96.01	47.84	289.02	239.52	215.77	239.52
RBX1	2468.49	1378.57	890.44	698.41	775.05	733.19	902.89	947.83	796.86	728.11	684.02	1950.0	2178.83	1745.2	2178.83
RP11-661C8.3	56.68	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.54	8.78	38.12	8.78
SAP30	507.46	214.27	155.5	100.13	80.01	102.25	141.02	138.1	176.29	136.19	55.49	397.93	490.14	392.44	490.14
SARNP	4481.23	1313.23	748.61	688.78	642.59	718.08	723.08	981.29	1023.0	769.69	733.19	1870.53	2935.74	1508.65	2935.74
SLBP	1467.37	521.76	417.77	447.82	353.59	392.44	341.51	607.87	1651.0	368.65	346.29	1096.5	2018.8	1508.65	2018.8
SLIRP	8078.22	8247.98	4450.27	3235.01	4639.29	2816.11	4095.0	4512.4	4038.61	3257.52	3103.19	4903.87	6337.83	5366.37	6337.83
SNRPA1	1923.14	808.0	624.99	417.77	988.12	559.28	759.08	1183.45	1551.09	351.14	595.34	1685.71	3280.18	1639.59	3280.18
SNRPB	8658.09	4671.57	1407.55	1199.98	2061.24	947.83	1259.69	2682.69	2609.3	988.12	1388.16	7537.18	14461.21	10733.74	14461.21
SNRPB2	1477.58	1225.22	674.59	674.59	599.49	450.94	620.67	753.83	1233.75	480.04	312.0	1572.76	1498.22	1583.71	1498.22
SPAG5	825.0	187.71	157.68	214.27	175.07	176.29	293.07	221.86	500.46	106.63	110.43	1008.9	836.53	921.88	836.53
TLCD1	587.13	579.04	142.01	186.4	255.0	125.24	119.26	258.57	277.2	154.42	341.51	190.34	1350.18	543.96	1350.18
TMEM18	890.44	708.18	381.68	693.58	591.22	447.82	429.54	457.25	1135.2	435.55	376.41	1457.23	2119.22	1651.0	2119.22
TRNAU1AP	791.35	486.75	221.86	218.79	232.94	316.37	193.01	295.11	435.55	214.27	211.31	896.64	1216.75	1498.22	1216.75
TTLL5	412.0	105.15	73.54	100.13	88.88	92.05	73.03	68.55	151.22	170.25	106.63	507.46	332.14	343.89	332.14
UBE2D2	1844.76	1417.35	1127.35	954.43	1008.9	902.89	1030.12	1304.15	1427.22	915.51	830.75	2319.15	2090.03	3349.13	2090.03
UBE2N	3665.02	1639.59	1104.13	941.27	1073.91	934.76	1044.52	974.5	1781.89	830.75	688.78	2645.74	5041.77	3467.27	5041.77
UCHL3	1508.65	1963.57	1191.69	796.86	934.76	620.67	674.59	1242.34	1923.14	684.02	651.58	1295.13	2148.82	2004.85	2148.82
VLDLR	35.5	42.41	33.06	23.25	8.25	83.45	12.93	71.5	81.71	3.38	4.17	656.11	83.45	205.5	83.45
YWHAH	2319.15	1313.23	1359.57	1191.69	825.0	1111.82	819.3	1199.98	2209.26	981.29	1073.91	2895.31	1477.58	2645.74	1477.58
ZNF124	113.56	27.44	28.86	25.54	15.34	28.04	13.03	40.93	34.75	26.47	8.78	158.79	140.04	158.79	140.04
ZNF28	190.34	107.38	195.72	22.1	7.34	155.5	22.1	8.65	176.29	20.41	26.28	214.27	197.09	218.79	197.09
ZNF773	98.04	12.45	26.28	28.04	15.45	37.85	17.64	27.05	46.18	18.43	21.94	108.14	76.17	63.0	76.17
ZNF799	72.01	63.45	52.08	50.63	27.05	41.22	39.5	44.57	43.63	35.5	31.67	77.79	51.71	94.01	51.71
