	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.B8.A54K.01A.11R.A33J.07	TCGA.2Z.A9J9.01A.11R.A42S.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.SJXC.1226.SM.4DM78	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13PL7.1726.SM.5J2NX	GTEX.13OW6.0826.SM.5L3GA	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W
C1orf111	0.33	0.37	1.01	0.0	20.56	0.0	1.04	1.81	0.62	0.09	0.39	1.33	14.45	3.26	11.91	5.68	5.54	0.67	0.0	3.82	5.02	0.65	1.41	2.78	3.29	2.32	8.19	3.86	0.0	5.68	7.94	5.5
C2orf66	1.97	1.1	0.69	0.0	0.0	0.88	0.0	0.0	0.71	0.09	1.39	0.68	3.69	0.0	41.22	3.35	6.21	9.48	4.28	2.81	3.76	5.63	0.18	1.19	12.27	20.41	1.73	12.83	3.72	1.35	0.87	2.36
CAPZA1	928.3	1111.82	1044.52	529.06	384.34	599.49	603.67	583.07	599.49	470.14	503.95	460.44	1662.49	1233.75	2935.74	1295.13	1685.71	1651.0	1437.15	1651.0	1594.73	1427.22	896.64	1529.73	2004.85	1151.06	2287.2	2855.44	4450.27	2875.3	1467.37	2555.58
CDC42SE1	616.37	825.0	1151.06	305.55	265.87	334.46	325.29	371.22	295.11	265.87	234.57	229.72	1781.89	1322.37	2319.15	1685.71	2303.12	1709.26	1991.0	1477.58	1628.26	1794.29	1104.13	2004.85	2384.37	1709.26	1896.65	1437.15	2163.77	1977.24	2119.22	2018.8
CKS2	283.05	169.07	159.9	226.54	285.03	229.72	341.51	255.0	480.04	156.59	305.55	183.82	1023.0	802.41	698.41	1250.98	1268.46	1950.0	1059.11	1477.58	1277.29	1199.98	669.92	1277.29	759.08	607.87	988.12	2075.59	2090.03	808.0	599.49	4671.57
CMTM6	291.04	460.44	679.29	775.05	791.35	1081.39	915.51	1199.98	1277.29	1023.0	974.5	988.12	1359.57	1340.84	1662.49	1331.57	1685.71	1359.57	1322.37	1437.15	1397.83	1721.16	698.41	1350.18	1857.6	1104.13	1745.2	1991.0	2664.15	1104.13	1540.37	2255.7
COPB2	1225.22	1322.37	1250.98	753.83	723.08	796.86	1250.98	928.3	1037.29	591.22	878.17	723.08	2104.58	1233.75	1183.45	1561.89	2796.65	2004.85	1529.73	2119.22	1242.34	1508.65	1350.18	1508.65	2451.44	769.69	1340.84	2591.27	3257.52	2720.15	1923.14	3742.05
DCBLD1	112.77	91.41	138.1	165.57	129.69	138.1	151.22	146.03	120.1	150.17	126.12	163.28	180.02	138.1	173.85	187.71	267.73	190.34	275.28	215.77	143.01	323.03	108.14	177.53	218.79	211.31	395.18	115.16	444.72	214.27	163.28	376.41
DDA1	703.28	884.29	1044.52	490.14	633.73	665.29	507.46	409.15	511.0	579.04	559.28	323.03	1268.46	1015.93	1870.53	1359.57	1923.14	1313.23	1096.5	1757.34	1331.57	1963.57	1340.84	1104.13	1594.73	1378.57	1977.24	941.27	1233.75	954.43	1437.15	1733.13
DDX21	325.29	336.79	406.31	202.66	120.1	194.36	231.32	241.19	229.72	209.84	253.23	182.55	1909.85	483.38	2400.97	540.19	2255.7	665.29	555.41	934.76	563.18	738.29	511.0	518.15	1350.18	988.12	2468.49	1794.29	2004.85	819.3	2133.97	1023.0
DESI2	136.19	316.37	299.25	135.24	74.06	109.66	107.38	112.77	55.89	114.36	89.51	111.21	780.44	848.22	1697.45	759.08	599.49	1081.39	660.68	1119.56	713.11	1369.04	1044.52	1359.57	723.08	825.0	753.83	1183.45	2485.67	1551.09	497.0	525.39
DNAJC2	438.59	417.77	387.02	242.88	55.1	229.72	205.5	198.47	204.07	249.73	193.01	264.03	591.22	152.28	1135.2	325.29	536.45	265.87	363.56	260.38	154.42	287.01	241.19	204.07	665.29	379.04	848.22	1378.57	884.29	353.59	460.44	532.74
DRGX	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	4.31	5.82	0.0	53.95	1.2	5.5	7.82	17.38	0.0	18.7	4.24	20.86	4.17	1.14	5.77	8.0	5.41	51.71	119.26
DUSP8	58.3	23.93	81.14	12.93	229.72	7.11	24.81	24.46	16.63	13.12	35.76	23.76	258.57	163.28	547.75	629.35	785.88	176.29	329.84	420.68	172.65	358.54	277.2	896.64	429.54	332.14	293.07	115.97	1167.14	688.78	242.88	312.0
ECD	348.71	423.61	341.51	183.82	187.71	147.06	199.85	218.79	323.03	161.02	226.54	186.4	583.07	351.14	406.31	327.56	525.39	381.68	438.59	363.56	281.09	336.79	356.05	221.86	493.56	303.44	368.65	559.28	470.14	366.09	403.5	579.04
EFCAB10	10.39	6.16	7.17	3.5	0.0	0.0	0.0	0.0	1.93	3.53	2.51	4.9	23.76	23.93	46.5	218.79	267.73	22.1	30.34	199.85	5.54	27.25	32.59	277.2	66.18	99.43	13.93	31.0	579.04	171.45	17.13	536.45
EFNA1	4972.34	4123.49	4181.07	9945.68	3081.75	7130.55	4066.71	3901.01	3982.99	1498.22	2163.77	3280.18	5183.54	8479.89	7180.15	5006.93	11345.82	5633.22	3280.18	2163.77	3794.3	4095.0	5112.16	16611.71	1561.89	3901.01	6426.31	1519.15	6294.04	12943.04	5751.61	4607.24
EIF2S2	909.17	775.05	934.76	780.44	339.14	674.59	713.11	759.08	890.44	656.11	698.41	518.15	1233.75	1277.29	1250.98	1259.69	2061.24	1331.57	1096.5	1540.37	1268.46	1457.23	988.12	1081.39	1651.0	1167.14	2032.85	2178.83	1832.01	1844.76	1806.78	1685.71
ERI1	74.58	91.41	104.42	39.22	51.35	38.67	45.85	65.26	46.18	29.91	35.76	41.81	251.48	55.49	151.22	118.43	197.09	187.71	146.03	181.28	130.6	95.34	121.79	110.43	215.77	130.6	199.85	325.29	353.59	161.02	135.24	397.93
ERLEC1	775.05	1175.27	1159.07	567.1	307.69	571.05	674.59	684.02	567.1	368.65	567.1	466.88	1551.09	2319.15	1870.53	2209.26	1950.0	2997.45	2451.44	1870.53	2335.28	2956.17	2104.58	1832.01	1819.35	1417.35	1295.13	3257.52	2875.3	3081.75	1540.37	1963.57
ETV3	125.24	234.57	264.03	69.03	39.22	57.08	74.58	57.89	60.82	49.91	44.89	73.54	651.58	279.14	866.07	348.71	728.11	371.22	406.31	339.14	262.2	376.41	236.21	295.11	435.55	348.71	587.13	429.54	698.41	397.93	384.34	447.82
FAM49B	698.41	529.06	665.29	293.07	214.27	234.57	267.73	309.83	289.02	187.71	190.34	186.4	1286.18	728.11	1286.18	1104.13	1583.71	1001.93	1191.69	1216.75	934.76	1216.75	540.19	890.44	1721.16	866.07	1870.53	3124.78	1896.65	1617.0	967.76	2720.15
GALNT13	2.23	0.36	0.34	4.82	3.03	1.43	0.0	0.0	9.27	0.0	0.0	0.0	70.51	265.87	40.64	206.94	146.03	72.52	37.59	40.93	51.35	48.87	101.54	78.34	108.14	10.39	483.38	119.26	137.14	201.25	199.85	35.76
GALNT5	0.65	1.43	0.34	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	1199.98	616.37	159.9	1359.57	301.33	543.96	743.43	381.68	334.46	764.36	320.8	1304.15	547.75	438.59	780.44	842.36	323.03	248.0	1340.84	703.28
GDE1	460.44	525.39	679.29	417.77	351.14	624.99	638.15	559.28	669.92	507.46	441.64	373.81	2835.7	2664.15	2255.7	2018.8	1225.22	2609.3	1950.0	2178.83	2351.53	2895.31	1870.53	1870.53	1794.29	1991.0	2224.63	2777.33	2720.15	1477.58	2104.58	1733.13
GHRHR	1.64	0.74	0.0	0.92	3.66	0.0	0.0	1.6	0.0	12.83	0.0	0.0	8.38	8.78	8.25	1.35	0.0	10.08	3.56	1.89	8.06	19.11	9.27	3.47	2.63	10.63	4.28	8.85	0.21	0.95	12.18	2.01
GLRX3	848.22	769.69	830.75	647.07	620.67	633.73	551.56	656.11	688.78	493.56	607.87	583.07	1477.58	848.22	848.22	1023.0	2701.35	1304.15	1143.1	2047.0	909.17	1397.83	651.58	703.28	1167.14	723.08	2303.12	4123.49	1572.76	1844.76	1991.0	2816.11
GOLGA5	780.44	633.73	612.11	759.08	346.29	718.08	748.61	486.75	547.75	406.31	493.56	890.44	624.99	723.08	679.29	603.67	693.58	780.44	748.61	728.11	693.58	902.89	713.11	507.46	723.08	547.75	595.34	1427.22	1073.91	1015.93	551.56	802.41
GORASP2	559.28	802.41	902.89	460.44	813.63	493.56	854.13	842.36	941.27	647.07	514.56	595.34	2032.85	1331.57	3190.46	1268.46	3491.39	1397.83	1477.58	2090.03	1322.37	1844.76	1225.22	1350.18	1963.57	1397.83	2319.15	2627.46	2502.97	1651.0	2255.7	1388.16
GPRC5D	9.93	17.38	16.39	11.91	2.23	1.75	0.0	10.31	10.24	11.04	3.76	6.21	158.79	59.97	460.44	28.65	127.89	49.21	49.21	48.87	67.59	69.52	70.01	167.9	57.49	54.72	486.75	92.7	1233.75	77.79	48.18	75.11
GSPT1	775.05	1023.0	1051.79	769.69	759.08	693.58	825.0	848.22	842.36	728.11	669.92	620.67	2627.46	1331.57	2573.36	1540.37	2720.15	2090.03	1437.15	2367.9	1519.15	1857.6	1286.18	1709.26	1977.24	1519.15	2935.74	2875.3	3257.52	2739.08	2976.74	2591.27
H2AFY	1350.18	1697.45	2018.8	860.08	1104.13	748.61	928.3	878.17	1051.79	651.58	796.86	571.05	3742.05	4152.18	4298.64	3690.52	3768.09	5219.6	3235.01	4543.8	4802.93	3901.01	3768.09	3768.09	3018.3	4419.52	3614.55	5076.84	3768.09	4937.99	3639.7	4607.24
HEATR5A	120.94	119.26	120.94	142.01	69.52	166.73	171.45	167.9	92.05	104.42	87.65	108.9	316.37	195.72	77.25	251.48	291.04	332.14	198.47	228.13	211.31	381.68	329.84	486.75	260.38	224.97	470.14	450.94	780.44	587.13	248.0	353.59
HIF1A	669.92	1167.14	909.17	309.83	197.09	262.2	291.04	307.69	567.1	241.19	277.2	178.77	2573.36	1369.04	3349.13	591.22	5076.84	785.88	708.18	2335.28	1733.13	967.76	595.34	974.5	2240.11	988.12	3060.45	4450.27	6840.04	3018.3	1909.85	3639.7
HRH3	0.0	0.0	0.35	0.0	1.08	0.0	0.0	0.0	0.0	0.25	0.0	0.0	24.28	0.0	1.25	0.0	0.0	0.0	1.17	0.05	0.0	0.0	0.0	0.0	0.04	0.06	0.77	0.82	1.27	0.04	0.04	0.0
HSF2	111.21	141.02	164.42	89.51	40.93	68.07	57.89	58.71	52.82	57.89	36.53	71.0	104.42	121.79	551.56	199.85	161.02	224.97	176.29	117.6	178.77	144.01	199.85	429.54	98.73	113.56	346.29	358.54	854.13	656.11	164.42	253.23
IDE	152.28	117.6	132.44	171.45	164.42	178.77	195.72	202.66	208.38	157.68	177.53	123.5	199.85	164.42	264.03	281.09	348.71	295.11	186.4	316.37	289.02	253.23	256.78	303.44	193.01	183.82	348.71	688.78	318.57	406.31	206.94	336.79
IL31RA	0.0	0.37	1.01	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.13	3.56	1.23	1.27	23.42	0.49	1.13	2.1	4.94	3.06	0.0	0.56	77.25	1.31	1.93	1.22	3.26	0.0	4.21	13.32
INTS7	51.35	77.79	81.71	116.78	87.65	111.99	146.03	117.6	126.12	125.24	128.79	80.01	226.54	138.1	73.54	242.88	167.9	256.78	224.97	265.87	149.12	180.02	202.66	113.56	269.6	139.07	78.89	244.57	106.63	226.54	206.94	295.11
ITGB6	122.64	289.02	813.63	0.6	19.68	23.25	3.96	8.58	0.62	39.79	10.47	0.0	5292.48	3874.05	4639.29	2609.3	4181.07	4239.45	3768.09	3614.55	4095.0	3280.18	2287.2	2451.44	2682.69	2758.13	8363.13	8840.04	6561.36	2178.83	4802.93	5517.27
IWS1	392.44	346.29	503.95	323.03	199.85	295.11	329.84	318.57	343.89	379.04	295.11	334.46	830.75	406.31	348.71	860.08	595.34	1001.93	559.28	679.29	409.15	848.22	563.18	713.11	764.36	651.58	836.53	830.75	536.45	575.03	1175.27	941.27
KPNA3	185.11	136.19	186.4	211.31	108.14	215.77	202.66	293.07	246.28	253.23	212.78	152.28	693.58	450.94	514.56	591.22	507.46	633.73	521.76	733.19	435.55	733.19	414.87	412.0	595.34	540.19	567.1	1135.2	753.83	532.74	813.63	642.59
LRRC59	624.99	503.95	647.07	483.38	1030.12	555.41	995.0	854.13	967.76	595.34	802.41	624.99	2627.46	1081.39	2758.13	1199.98	3639.7	1295.13	1350.18	2664.15	1037.29	1457.23	1127.35	974.5	2119.22	1397.83	2400.97	2351.53	2609.3	1769.57	2434.5	2178.83
LRRC8B	36.53	41.52	55.1	16.03	14.03	15.8	18.03	25.91	34.75	22.1	36.01	6.89	466.88	105.15	301.33	94.01	303.44	124.37	147.06	140.04	181.28	116.78	88.26	111.99	242.88	171.45	204.07	258.57	325.29	212.78	221.86	157.68
LTV1	316.37	204.07	297.17	251.48	127.89	229.72	241.19	260.38	231.32	267.73	181.28	218.79	748.61	486.75	698.41	607.87	759.08	656.11	603.67	660.68	454.09	603.67	567.1	438.59	764.36	559.28	1008.9	1073.91	684.02	450.94	915.51	620.67
LYN	297.17	384.34	480.04	229.72	177.53	186.4	220.32	258.57	555.41	155.5	173.85	139.07	2335.28	896.64	4010.71	1059.11	5872.48	967.76	1208.34	2796.65	1277.29	1639.59	460.44	1447.15	2609.3	860.08	5831.91	3190.46	6935.54	2835.7	2163.77	2119.22
MAK	1.6	2.86	6.67	1.14	0.0	0.0	0.59	0.62	0.74	0.0	0.0	0.23	66.65	5.82	11.13	65.72	85.22	13.03	40.07	43.02	8.19	9.13	5.92	45.85	28.65	73.54	6.73	11.64	117.6	45.53	12.55	96.01
MAPK8	476.71	457.25	438.59	432.53	246.28	397.93	379.04	387.02	368.65	262.2	297.17	265.87	638.15	297.17	884.29	620.67	743.43	503.95	343.89	521.76	473.41	599.49	447.82	521.76	334.46	379.04	728.11	836.53	921.88	476.71	500.46	490.14
MORF4L2	3235.01	4181.07	3690.52	2537.92	2537.92	2319.15	3419.52	3168.41	2400.97	1487.87	2816.11	2018.8	4152.18	2875.3	5219.6	2777.33	6471.02	3820.7	3395.89	4704.07	4066.71	3716.2	3395.89	2451.44	3540.14	3540.14	4181.07	7485.11	7589.61	5006.93	5751.61	5479.15
MPV17L2	131.51	163.28	170.25	136.19	201.25	159.9	236.21	277.2	234.57	182.55	178.77	140.04	279.14	228.13	543.96	231.32	575.03	206.94	228.13	303.44	232.94	409.15	223.41	242.88	334.46	214.27	426.57	303.44	518.15	325.29	208.38	423.61
MRPL3	665.29	1015.93	1111.82	896.64	878.17	1066.48	1059.11	1059.11	860.08	1001.93	1167.14	808.0	1467.37	1030.12	1378.57	921.88	1781.89	1407.55	1044.52	2178.83	1023.0	1233.75	1183.45	703.28	1331.57	896.64	1583.71	2287.2	1340.84	1437.15	1551.09	1857.6
MST4	17.38	21.78	24.46	59.55	24.11	59.13	55.1	51.35	29.91	71.5	26.28	16.27	226.54	147.06	327.56	169.07	476.71	215.77	169.07	403.5	258.57	409.15	129.69	218.79	279.14	135.24	470.14	660.68	559.28	202.66	371.22	414.87
MYBPC3	0.68	0.0	0.38	1.06	0.0	0.0	0.0	1.07	0.13	2.14	0.27	0.29	5.59	2.68	4.03	4.39	2.73	4.98	6.26	6.84	6.31	3.63	2.89	1.55	10.47	4.94	3.44	3.29	1.51	1.62	2.63	3.86
NAA35	181.28	251.48	214.27	110.43	72.01	94.67	119.26	124.37	100.13	85.22	90.77	76.17	232.94	133.36	164.42	241.19	264.03	239.52	175.07	260.38	164.42	221.86	241.19	228.13	178.77	153.34	271.48	343.89	281.09	283.05	167.9	312.0
NIPA2	392.44	353.59	647.07	269.6	301.33	329.84	275.28	389.72	318.57	289.02	218.79	212.78	890.44	429.54	974.5	743.43	1135.2	703.28	733.19	1023.0	500.46	884.29	567.1	423.61	896.64	708.18	1674.06	1225.22	1487.87	529.06	1073.91	1167.14
NOP58	813.63	954.43	1051.79	571.05	121.79	540.19	507.46	454.09	441.64	583.07	532.74	684.02	1250.98	503.95	1167.14	651.58	1340.84	718.08	954.43	872.1	612.11	738.29	872.1	567.1	1135.2	1044.52	1242.34	1991.0	1519.15	1277.29	941.27	1417.35
NXF3	8.58	0.77	1.41	31.22	37.32	18.03	2.58	21.32	52.82	12.27	24.81	14.45	67.12	96.01	11.47	229.72	19.53	90.14	169.07	40.93	95.34	136.19	30.34	41.81	71.5	169.07	46.18	17.51	22.26	22.59	32.36	59.97
PAIP1	1233.75	1242.34	1322.37	1175.27	503.95	1143.1	884.29	1001.93	1286.18	988.12	1037.29	688.78	1096.5	1183.45	1685.71	1477.58	1457.23	2061.24	1477.58	1540.37	1250.98	2090.03	1127.35	1008.9	1378.57	1151.06	1806.78	3467.27	2032.85	1857.6	1437.15	1540.37
PAQR3	98.73	102.25	121.79	64.8	39.5	48.87	120.1	55.89	79.45	103.69	108.14	77.79	231.32	102.97	171.45	128.79	260.38	214.27	140.04	187.71	172.65	169.07	309.83	130.6	202.66	127.89	237.86	429.54	444.72	242.88	143.01	228.13
PARP14	267.73	318.57	376.41	264.03	176.29	253.23	368.65	291.04	267.73	409.15	320.8	409.15	1119.56	454.09	759.08	830.75	688.78	759.08	563.18	529.06	521.76	514.56	423.61	2468.49	1242.34	486.75	2956.17	638.15	1313.23	733.19	954.43	733.19
PIP4K2A	256.78	170.25	181.28	112.77	144.01	111.21	125.24	150.17	126.12	114.36	130.6	158.79	507.46	514.56	412.0	327.56	242.88	476.71	291.04	366.09	583.07	607.87	395.18	368.65	473.41	334.46	371.22	361.04	660.68	656.11	356.05	525.39
PIP5K1A	316.37	500.46	521.76	223.41	198.47	195.72	214.27	191.67	150.17	265.87	215.77	255.0	1159.07	497.0	1617.0	540.19	1104.13	551.56	633.73	521.76	612.11	497.0	486.75	796.86	921.88	718.08	1295.13	780.44	1651.0	941.27	703.28	656.11
PLEKHB2	1167.14	902.89	1208.34	166.73	198.47	163.28	171.45	177.53	220.32	102.97	181.28	186.4	2777.33	1487.87	3168.41	1697.45	2400.97	1674.06	1709.26	2148.82	1417.35	1721.16	1073.91	1467.37	1950.0	1183.45	3564.78	2915.45	3794.3	1870.53	2645.74	2335.28
PNPT1	167.9	112.77	148.09	113.56	63.45	99.43	118.43	128.79	89.51	117.6	151.22	98.73	231.32	85.82	248.0	180.02	346.29	212.78	137.14	242.88	141.02	218.79	181.28	177.53	214.27	119.26	450.94	371.22	366.09	209.84	325.29	373.81
PPA1	1857.6	1963.57	2061.24	2075.59	1540.37	2240.11	1870.53	2417.67	2835.7	1519.15	2701.35	1369.04	6792.79	4607.24	4181.07	3190.46	10440.2	6294.04	4239.45	6983.79	3847.29	5672.41	3614.55	4066.71	5479.15	3874.05	11504.21	11745.96	9876.98	8479.89	7537.18	9474.59
PSMC2	1963.57	961.07	1073.91	1304.15	1350.18	1417.35	1417.35	1639.59	1819.35	1277.29	1508.65	1191.69	1950.0	1340.84	1977.24	1617.0	1605.83	2303.12	2119.22	2303.12	1304.15	1883.54	1639.59	1295.13	2485.67	1437.15	2018.8	2855.44	2319.15	2133.97	2104.58	2739.08
PTPN4	75.64	117.6	75.11	181.28	32.82	81.71	156.59	108.14	148.09	142.01	224.97	107.38	163.28	248.0	232.94	258.57	187.71	384.34	139.07	186.4	287.01	163.28	320.8	457.25	108.9	236.21	166.73	327.56	341.51	334.46	215.77	150.17
RAB11FIP4	49.91	171.45	175.07	52.82	111.99	49.91	47.5	105.15	149.12	397.93	39.22	73.54	703.28	215.77	493.56	234.57	638.15	178.77	234.57	348.71	229.72	271.48	218.79	764.36	299.25	260.38	698.41	295.11	423.61	287.01	381.68	414.87
RANBP17	2.68	20.71	5.87	8.25	5.06	7.51	9.93	15.11	20.71	10.47	18.16	21.47	92.05	38.67	108.14	24.11	27.84	59.13	47.5	39.79	162.14	48.18	72.01	35.25	119.26	37.05	62.56	202.66	107.38	141.02	34.02	82.87
RAP1B	1794.29	1909.85	2119.22	1167.14	890.44	1183.45	1295.13	1259.69	1369.04	1059.11	1216.75	878.17	3325.99	2193.99	5995.9	2434.5	5954.47	2835.7	3124.78	2555.58	2555.58	4388.98	1757.34	2224.63	3690.52	2758.13	5517.27	6250.56	8718.32	3540.14	4607.24	3372.43
RELB	432.53	234.57	397.93	77.79	97.36	85.82	45.53	67.12	299.25	36.79	149.12	125.24	825.0	199.85	1001.93	381.68	1369.04	223.41	483.38	684.02	381.68	297.17	147.06	384.34	1127.35	400.71	1250.98	490.14	718.08	309.83	981.29	728.11
RGPD1	0.0	4.28	2.68	21.94	3.06	5.45	2.56	8.65	1.28	5.59	9.13	6.67	6.89	3.17	246.28	11.04	41.22	20.56	0.17	3.11	23.93	5.15	1.27	26.28	11.55	13.72	21.94	21.16	86.43	10.47	2.73	27.84
RPAP3	204.07	218.79	242.88	165.57	40.07	161.02	133.36	137.14	215.77	104.42	139.07	143.01	361.04	194.36	96.01	293.07	334.46	260.38	283.05	318.57	217.27	325.29	295.11	185.11	412.0	224.97	450.94	860.08	334.46	334.46	273.37	669.92
RPS6KA3	201.25	291.04	239.52	366.09	221.86	325.29	389.72	493.56	389.72	265.87	435.55	327.56	1388.16	497.0	1216.75	511.0	1605.83	518.15	624.99	693.58	579.04	988.12	473.41	620.67	884.29	884.29	1923.14	1551.09	1896.65	483.38	2061.24	915.51
RQCD1	258.57	316.37	343.89	175.07	182.55	176.29	165.57	181.28	229.72	220.32	191.67	198.47	529.06	318.57	738.29	346.29	842.36	417.77	543.96	595.34	389.72	423.61	389.72	486.75	688.78	514.56	555.41	802.41	1268.46	698.41	438.59	825.0
SCYL2	133.36	208.38	234.57	143.01	111.21	157.68	150.17	277.2	178.77	223.41	142.01	169.07	447.82	281.09	665.29	356.05	358.54	339.14	334.46	343.89	316.37	429.54	379.04	490.14	551.56	392.44	555.41	638.15	954.43	503.95	323.03	441.64
SEC24D	166.73	295.11	275.28	511.0	540.19	412.0	656.11	547.75	540.19	256.78	514.56	490.14	595.34	343.89	660.68	395.18	1540.37	529.06	532.74	748.61	395.18	395.18	414.87	555.41	802.41	251.48	559.28	1199.98	1605.83	1159.07	583.07	1104.13
