	TCGA.EW.A1PH.01A.11R.A14M.07	TCGA.VS.A9V4.01A.12R.A42T.07	TCGA.AA.3526.01A.02R.A32Z.07	TCGA.D5.5540.01A.01R.1653.07	TCGA.AZ.5403.01A.01R.1653.07	GTEX.WEY5.1126.SM.4LMIE	GTEX.11EQ9.0926.SM.5HL6I	GTEX.X4LF.0826.SM.4QASC	GTEX.YB5E.1026.SM.5IFI2	GTEX.UJHI.0926.SM.4IHKF	GTEX.U3ZM.0626.SM.4DXTV	GTEX.13QBU.0926.SM.5K7WQ	TCGA.37.4132.01A.01R.1100.07	TCGA.37.4132.01A.01R.1100.07.1	TCGA.DC.5869.01A.01R.1660.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.BR.4201.01A.01R.1131.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
DIABLO	2178.83	1870.53	2032.85	2701.35	2047.0	878.17	579.04	796.86	954.43	902.89	728.11	830.75	2796.65	2796.65	2004.85	1096.5	1388.16	1447.15	1388.16	1639.59	1119.56	1437.15	1175.27	1225.22	1378.57	1216.75	1183.45	1467.37
DNAH14	629.35	454.09	231.32	348.71	197.09	45.21	21.94	100.83	29.48	13.93	75.64	47.17	532.74	532.74	239.52	112.77	150.17	281.09	90.77	96.01	32.36	236.21	124.37	27.84	109.66	48.18	61.68	68.55
DNAJA1	10296.45	5791.62	4704.07	3395.89	3280.18	1191.69	1216.75	1225.22	1540.37	1250.98	1286.18	1119.56	4298.64	4298.64	3419.52	1781.89	1733.13	4704.07	2835.7	2555.58	3955.48	6164.49	1870.53	1662.49	2255.7	1639.59	1936.53	2240.11
DNAJB11	3901.01	3443.31	2287.2	5711.87	2502.97	909.17	713.11	1081.39	684.02	775.05	647.07	1073.91	4836.35	4836.35	2555.58	2609.3	2555.58	2609.3	3443.31	2573.36	2351.53	6337.83	2004.85	1832.01	2133.97	1936.53	2384.37	1883.54
DPM1	2075.59	2133.97	2895.31	3901.01	2758.13	866.07	769.69	842.36	842.36	543.96	629.35	921.88	1540.37	1540.37	3820.7	1427.22	941.27	2255.7	1096.5	1745.2	1233.75	2032.85	928.3	651.58	1340.84	842.36	1001.93	1286.18
DSCC1	400.71	363.56	320.8	759.08	305.55	24.63	37.05	35.0	44.89	12.45	29.48	25.17	532.74	532.74	353.59	84.04	70.01	229.72	124.37	153.34	177.53	624.99	38.4	39.22	61.68	35.76	45.85	96.01
EBPL	1709.26	2384.37	1639.59	4181.07	2664.15	521.76	493.56	559.28	775.05	669.92	397.93	571.05	878.17	878.17	2520.38	974.5	896.64	1167.14	866.07	1487.87	2004.85	954.43	723.08	738.29	1104.13	995.0	1015.93	1208.34
EIF2S2	3103.19	2895.31	3515.68	4210.15	3081.75	947.83	1001.93	1081.39	1059.11	836.53	981.29	866.07	1870.53	1870.53	3794.3	1781.89	1651.0	2502.97	2148.82	1313.23	1662.49	3955.48	1561.89	1073.91	1529.73	1467.37	1806.78	1286.18
EIF3M	10225.32	8363.13	7911.95	12076.21	10440.2	2875.3	4481.23	3874.05	4388.98	3168.41	3325.99	3467.27	4543.8	4543.8	11504.21	6164.49	4512.4	12943.04	5751.61	6381.92	6037.61	8479.89	4639.29	4481.23	6607.01	5366.37	5366.37	6792.79
FAM173B	281.09	708.18	262.2	420.68	547.75	139.07	172.65	111.99	173.85	201.25	132.44	189.02	392.44	392.44	463.65	231.32	197.09	341.51	275.28	379.04	256.78	409.15	291.04	220.32	262.2	228.13	143.01	299.25
FAM60A	2148.82	2224.63	3419.52	5791.62	2555.58	249.73	460.44	480.04	217.27	195.72	447.82	269.6	4575.41	4575.41	2777.33	1417.35	785.88	2664.15	450.94	974.5	1295.13	2485.67	698.41	529.06	1096.5	543.96	463.65	1199.98
FAM89A	497.0	325.29	295.11	251.48	287.01	26.28	38.12	46.5	81.71	100.83	39.79	56.68	486.75	486.75	258.57	125.24	209.84	420.68	166.73	339.14	336.79	438.59	165.57	173.85	275.28	214.27	127.0	228.13
FBXO22	629.35	595.34	1008.9	961.07	587.13	277.2	215.77	206.94	281.09	228.13	182.55	279.14	1001.93	1001.93	587.13	289.02	400.71	728.11	454.09	616.37	507.46	607.87	325.29	376.41	346.29	341.51	518.15	371.22
GLRX2	599.49	514.56	575.03	571.05	647.07	279.14	275.28	229.72	242.88	309.83	229.72	248.0	483.38	483.38	514.56	281.09	246.28	493.56	426.57	486.75	753.83	540.19	285.03	269.6	343.89	316.37	400.71	318.57
GRPEL1	1277.29	1135.2	1628.26	941.27	1233.75	599.49	543.96	571.05	447.82	457.25	497.0	532.74	947.83	947.83	1407.55	571.05	518.15	1127.35	860.08	529.06	808.0	1073.91	518.15	759.08	802.41	633.73	743.43	1008.9
HDAC2	4210.15	3103.19	2664.15	3614.55	2319.15	813.63	1119.56	854.13	1167.14	860.08	1015.93	1081.39	3103.19	3103.19	3928.15	1832.01	1191.69	1143.1	1551.09	1127.35	2004.85	2573.36	1397.83	1015.93	1277.29	1427.22	1757.34	1359.57
HMGN1	11345.82	8134.41	5517.27	7589.61	6250.56	5594.3	3443.31	3768.09	2915.45	5366.37	4010.71	4010.71	5872.48	5872.48	6294.04	5041.77	3081.75	5872.48	3190.46	3742.05	6471.02	5076.84	3190.46	2434.5	5112.16	3639.7	3589.58	5517.27
HOXD13	312.0	14.45	106.63	1963.57	12.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.77	178.77	7.88	0.0	1.53	96.68	0.0	0.0	0.0	12.27	0.0	1.69	0.0	0.0	0.0	0.0
HSF2BP	83.45	37.85	37.85	56.28	42.41	5.5	6.11	6.94	8.13	5.54	6.36	3.86	30.34	30.34	31.9	7.94	13.72	34.51	11.64	16.75	11.38	24.99	12.64	7.46	6.89	8.58	23.08	6.62
HSPE1	10084.54	11267.44	19082.0	26800.01	8963.45	1844.76	1175.27	1359.57	1883.54	1605.83	1359.57	1594.73	11827.67	11827.67	15285.81	3443.31	4066.71	6471.02	4298.64	3395.89	8778.97	10512.82	2255.7	2591.27	4903.87	3235.01	4972.34	4769.75
ILF2	6840.04	4066.71	5913.33	7966.99	4836.35	1628.26	1359.57	1508.65	1540.37	1225.22	1313.23	1304.15	5831.91	5831.91	3491.39	2816.11	3325.99	4869.99	3589.58	3716.2	4181.07	3874.05	2502.97	2255.7	3018.3	2367.9	2434.5	3280.18
LYPLA1	2935.74	2193.99	3564.78	1721.16	3168.41	395.18	555.41	525.39	435.55	389.72	486.75	409.15	7280.4	7280.4	2720.15	1407.55	848.22	2451.44	1023.0	1359.57	1143.1	2240.11	1135.2	1015.93	1066.48	808.0	759.08	1529.73
MED30	1081.39	848.22	796.86	1437.15	848.22	285.03	414.87	529.06	312.0	260.38	339.14	379.04	934.76	934.76	934.76	457.25	228.13	429.54	220.32	500.46	555.41	819.3	267.73	251.48	511.0	318.57	381.68	616.37
MKI67IP	2796.65	2271.4	1551.09	2119.22	2573.36	480.04	500.46	483.38	543.96	500.46	460.44	392.44	1340.84	1340.84	3039.3	1397.83	909.17	2163.77	1159.07	947.83	1819.35	1331.57	775.05	525.39	1295.13	738.29	1191.69	1088.92
MRPL13	3325.99	2240.11	3280.18	5255.91	3103.19	575.03	400.71	559.28	497.0	536.45	500.46	540.19	4903.87	4903.87	2701.35	947.83	620.67	2075.59	1051.79	1208.34	1617.0	3325.99	638.15	718.08	1081.39	808.0	1104.13	1059.11
MRPL15	7589.61	2956.17	3395.89	1605.83	2835.7	836.53	595.34	842.36	688.78	743.43	748.61	633.73	5913.33	5913.33	2573.36	988.12	921.88	1923.14	1199.98	1096.5	1183.45	1628.26	934.76	934.76	1359.57	1119.56	1081.39	1437.15
MRPL18	2061.24	2400.97	2875.3	4123.49	2335.28	1073.91	836.53	1331.57	1359.57	1001.93	947.83	813.63	2303.12	2303.12	3395.89	1268.46	1225.22	2400.97	1561.89	1268.46	1977.24	1977.24	1191.69	1183.45	1806.78	1407.55	1551.09	1883.54
MRPL47	2485.67	1277.29	1674.06	1044.52	1388.16	802.41	480.04	713.11	713.11	656.11	486.75	587.13	1963.57	1963.57	1572.76	1143.1	1023.0	1709.26	995.0	1407.55	1857.6	2271.4	583.07	616.37	1073.91	638.15	928.3	878.17
MRPS30	665.29	1540.37	988.12	1044.52	915.51	414.87	343.89	361.04	366.09	305.55	346.29	409.15	753.83	753.83	1322.37	620.67	454.09	775.05	633.73	575.03	802.41	1001.93	493.56	507.46	642.59	514.56	521.76	595.34
MTFR1	1233.75	878.17	896.64	1066.48	866.07	229.72	420.68	299.25	246.28	255.0	309.83	246.28	1628.26	1628.26	759.08	733.19	429.54	1477.58	647.07	738.29	473.41	1167.14	775.05	543.96	518.15	397.93	480.04	497.0
NAA20	2061.24	2224.63	1950.0	2758.13	2417.67	947.83	1008.9	1044.52	1044.52	764.36	890.44	961.07	5006.93	5006.93	4419.52	1331.57	1127.35	2645.74	1008.9	1605.83	1322.37	1487.87	961.07	791.35	1233.75	967.76	884.29	1331.57
NARS2	473.41	571.05	514.56	842.36	764.36	88.88	137.14	110.43	100.83	111.99	96.68	119.26	2875.3	2875.3	674.59	341.51	228.13	395.18	246.28	343.89	323.03	260.38	339.14	153.34	156.59	283.05	269.6	242.88
NME1	4869.99	6037.61	11504.21	13033.07	5183.54	525.39	199.85	642.59	309.83	258.57	457.25	206.94	13968.57	13968.57	5076.84	1350.18	2835.7	4769.75	3419.52	2573.36	2485.67	2664.15	1447.15	1208.34	2319.15	1745.2	3212.66	3124.78
NME1-NME2	19618.49	22380.2	28132.47	50011.46	27363.16	8658.09	6471.02	13306.94	9409.14	6037.61	9673.69	6294.04	36610.26	36610.26	23820.89	13968.57	18560.17	19618.49	13306.94	12764.83	16383.0	13586.57	9540.5	9740.98	17197.56	14262.1	17681.08	16727.26
NOL11	1617.0	941.27	1066.48	1709.26	1023.0	497.0	327.56	346.29	389.72	307.69	334.46	379.04	1111.82	1111.82	1104.13	753.83	521.76	1015.93	693.58	713.11	703.28	890.44	403.5	457.25	656.11	395.18	665.29	529.06
NOL7	2875.3	2061.24	1685.71	1757.34	1628.26	1066.48	1159.07	854.13	1350.18	890.44	1015.93	1191.69	1721.16	1721.16	2796.65	1277.29	1008.9	1745.2	1295.13	1242.34	1487.87	1628.26	974.5	1030.12	1572.76	1216.75	1175.27	1561.89
NOP16	896.64	1151.06	1628.26	1529.73	1225.22	563.18	353.59	389.72	423.61	392.44	397.93	320.8	802.41	802.41	1259.69	547.75	493.56	848.22	915.51	454.09	947.83	1259.69	356.05	414.87	563.18	500.46	403.5	902.89
ORC6	381.68	595.34	423.61	2287.2	441.64	4.28	15.8	22.43	18.84	14.67	19.97	10.88	748.61	748.61	532.74	128.79	125.24	332.14	106.63	118.43	228.13	177.53	47.84	29.27	84.04	35.5	53.57	127.89
PAK1IP1	1066.48	514.56	638.15	1073.91	698.41	173.85	145.02	109.66	150.17	124.37	159.9	121.79	836.53	836.53	1225.22	332.14	232.94	599.49	251.48	409.15	346.29	400.71	181.28	150.17	293.07	143.01	149.12	267.73
PCMT1	2193.99	1467.37	1378.57	2645.74	1561.89	1208.34	1331.57	1001.93	1359.57	1242.34	1073.91	1119.56	2816.11	2816.11	2485.67	1015.93	753.83	1447.15	1088.92	902.89	1015.93	1883.54	791.35	878.17	967.76	764.36	909.17	1073.91
PDCD6	2287.2	5995.9	4038.61	4298.64	4388.98	1540.37	1331.57	1857.6	1437.15	1378.57	1605.83	1605.83	3955.48	3955.48	4704.07	2224.63	2090.03	3395.89	2367.9	3212.66	2997.45	5006.93	1806.78	2090.03	2645.74	2090.03	1950.0	2417.67
PDRG1	753.83	995.0	1923.14	1561.89	1359.57	299.25	312.0	348.71	239.52	389.72	343.89	309.83	1216.75	1216.75	1359.57	206.94	476.71	529.06	363.56	299.25	325.29	651.58	277.2	277.2	358.54	309.83	228.13	457.25
PGA4	1.97	0.0	0.0	0.0	2.73	1191.69	746611.43	0.0	642.59	884.29	1359.57	1.95	2.23	2.23	9.27	2263304.65	5235876.81	1457.23	4987895.16	2111737.85	6581567.44	9569418.63	1.835920079E7	5128124.01	3028138.0	6446120.72	1.138002091E7	9179599.9
PIGC	3564.78	830.75	1044.52	1605.83	934.76	483.38	503.95	563.18	616.37	543.96	521.76	536.45	1208.34	1208.34	808.0	555.41	988.12	674.59	460.44	764.36	738.29	679.29	591.22	500.46	620.67	507.46	429.54	607.87
PNO1	633.73	575.03	961.07	1617.0	909.17	269.6	209.84	191.67	226.54	173.85	181.28	191.67	941.27	941.27	1477.58	309.83	363.56	403.5	353.59	381.68	384.34	463.65	193.01	170.25	295.11	212.78	187.71	327.56
POLB	525.39	769.69	1447.15	808.0	1529.73	208.38	138.1	223.41	239.52	208.38	253.23	180.02	2835.7	2835.7	780.44	444.72	323.03	1167.14	269.6	503.95	346.29	669.92	351.14	211.31	567.1	371.22	353.59	575.03
POLR1C	1259.69	1081.39	1781.89	3372.43	1628.26	473.41	366.09	351.14	363.56	303.44	358.54	414.87	1540.37	1540.37	2104.58	642.59	500.46	1304.15	791.35	884.29	1044.52	1030.12	536.45	444.72	669.92	540.19	432.53	780.44
PPIL1	1685.71	896.64	1359.57	2720.15	1191.69	366.09	212.78	353.59	256.78	217.27	366.09	159.9	3515.68	3515.68	2032.85	629.35	591.22	928.3	884.29	733.19	698.41	974.5	551.56	397.93	616.37	384.34	660.68	684.02
PRIM2	395.18	244.57	194.36	334.46	190.34	40.64	45.53	42.71	57.89	37.59	47.5	48.87	190.34	190.34	371.22	103.69	92.7	205.5	78.89	131.51	145.02	147.06	88.26	90.77	102.97	71.0	77.25	121.79
PRPS2	612.11	988.12	1044.52	1583.71	1407.55	147.06	307.69	283.05	361.04	255.0	212.78	283.05	1023.0	1023.0	2400.97	718.08	521.76	1359.57	813.63	738.29	796.86	1477.58	884.29	559.28	915.51	813.63	848.22	1216.75
PSMD14	1350.18	1313.23	2319.15	2520.38	1685.71	486.75	353.59	463.65	457.25	348.71	397.93	429.54	2855.44	2855.44	2178.83	703.28	813.63	1250.98	954.43	791.35	995.0	1304.15	595.34	507.46	633.73	507.46	575.03	775.05
PTGES3	9540.5	8078.22	8658.09	11992.79	9088.59	2209.26	3018.3	2209.26	2758.13	2835.7	2384.37	2720.15	10659.59	10659.59	9344.14	4123.49	3742.05	6652.97	3257.52	3874.05	5633.22	9540.5	2777.33	2367.9	3515.68	2997.45	3081.75	4607.24
PTRH2	1397.83	848.22	1242.34	1909.85	1104.13	301.33	295.11	198.47	353.59	218.79	264.03	208.38	1001.93	1001.93	1369.04	587.13	563.18	878.17	620.67	660.68	563.18	1066.48	423.61	417.77	693.58	511.0	473.41	738.29
RBM8A	4836.35	2895.31	2796.65	2303.12	2609.3	1233.75	1268.46	1605.83	1427.22	1088.92	1216.75	1477.58	3060.45	3060.45	2193.99	2133.97	2148.82	2520.38	2032.85	1832.01	2976.74	2271.4	1167.14	1457.23	1806.78	1721.16	1923.14	1977.24
RFC4	1135.2	1119.56	981.29	2555.58	769.69	229.72	145.02	195.72	191.67	170.25	183.82	120.94	2178.83	2178.83	1350.18	567.1	529.06	620.67	376.41	651.58	872.1	665.29	256.78	208.38	511.0	281.09	334.46	551.56
RIPPLY3	27.44	30.34	19.82	69.52	27.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.18	46.18	29.7	2.78	1.07	3.76	3.82	5.54	3.0	52.08	5.54	2.43	2.53	3.76	1.93	2.76
RMND1	379.04	460.44	323.03	713.11	412.0	139.07	158.79	175.07	187.71	178.77	182.55	129.69	423.61	423.61	665.29	236.21	185.11	529.06	208.38	303.44	269.6	483.38	228.13	226.54	241.19	185.11	162.14	260.38
RP11-434D12.1	33.54	46.84	87.65	73.54	4.46	0.0	7.28	0.0	12.83	5.87	0.0	0.0	29.7	29.7	3.26	0.0	21.94	16.15	21.78	5.73	0.0	137.14	0.0	12.74	54.33	0.0	0.0	0.0
RPAP3	896.64	603.67	500.46	665.29	591.22	172.65	145.02	255.0	202.66	115.97	194.36	161.02	555.41	555.41	791.35	575.03	299.25	684.02	283.05	395.18	423.61	567.1	279.14	180.02	332.14	253.23	248.0	403.5
RPF2	1081.39	1127.35	733.19	1127.35	1322.37	368.65	327.56	271.48	265.87	239.52	264.03	289.02	669.92	669.92	1936.53	547.75	500.46	1001.93	638.15	536.45	633.73	1167.14	329.84	289.02	486.75	348.71	412.0	426.57
RPP40	607.87	426.57	575.03	620.67	454.09	59.55	57.89	65.26	72.01	55.1	83.45	49.91	371.22	371.22	928.3	136.19	71.5	406.31	145.02	190.34	244.57	281.09	73.03	91.41	170.25	120.94	107.38	165.57
SNRPE	11827.67	5633.22	5711.87	10959.3	5672.41	1583.71	1250.98	1477.58	1909.85	1572.76	1369.04	1540.37	9025.81	9025.81	6561.36	3955.48	3060.45	5041.77	2255.7	3928.15	5791.62	4607.24	1561.89	1313.23	3168.41	2047.0	2400.97	2434.5
SNRPF	1519.15	2075.59	1709.26	2485.67	1313.23	438.59	265.87	403.5	493.56	387.02	323.03	387.02	1407.55	1407.55	1447.15	1295.13	988.12	988.12	764.36	1037.29	1369.04	954.43	483.38	414.87	813.63	743.43	1208.34	890.44
SYNE4	1477.58	607.87	429.54	237.86	291.04	102.25	25.54	46.84	14.56	57.89	23.59	29.91	432.53	432.53	336.79	69.52	32.82	211.31	68.07	37.32	23.25	85.22	148.09	115.97	115.97	155.5	142.01	123.5
TBCE	769.69	748.61	785.88	1259.69	532.74	532.74	406.31	373.81	497.0	529.06	373.81	567.1	896.64	896.64	723.08	423.61	514.56	607.87	346.29	536.45	514.56	551.56	295.11	277.2	314.17	244.57	353.59	358.54
TCEB1	6983.79	3060.45	3847.29	6699.25	4210.15	1295.13	1467.37	1467.37	1561.89	1143.1	1250.98	1697.45	8598.28	8598.28	3467.27	1594.73	1259.69	2956.17	1651.0	1561.89	2104.58	3124.78	1001.93	1037.29	1936.53	1498.22	1950.0	1844.76
THOC3	1477.58	1175.27	1151.06	1467.37	1008.9	202.66	226.54	307.69	237.86	262.2	195.72	187.71	1977.24	1977.24	1001.93	599.49	497.0	1407.55	723.08	802.41	878.17	1397.83	647.07	540.19	571.05	785.88	587.13	769.69
TOMM34	1498.22	1519.15	1350.18	1199.98	1709.26	281.09	170.25	206.94	262.2	329.84	242.88	267.73	759.08	759.08	2682.69	514.56	785.88	1127.35	1111.82	743.43	813.63	1487.87	559.28	490.14	587.13	547.75	486.75	503.95
TP53RK	497.0	511.0	665.29	642.59	669.92	173.85	180.02	146.03	163.28	145.02	148.09	119.26	221.86	221.86	759.08	229.72	206.94	323.03	307.69	229.72	198.47	624.99	279.14	190.34	299.25	229.72	202.66	316.37
TRAM1	11827.67	3419.52	3325.99	3372.43	2935.74	775.05	1467.37	1175.27	1167.14	890.44	1191.69	1167.14	6337.83	6337.83	2855.44	3257.52	2796.65	3589.58	3146.52	3564.78	3235.01	5711.87	3716.2	2997.45	2997.45	2591.27	2178.83	2875.3
TSACC	208.38	83.45	54.72	102.97	30.78	0.0	3.72	7.57	9.41	0.0	3.82	4.24	100.83	100.83	84.63	24.63	43.63	10.63	12.0	45.85	24.28	28.04	8.58	15.34	29.7	17.51	13.62	36.53
UTP18	1322.37	1008.9	1081.39	1304.15	1127.35	435.55	387.02	289.02	447.82	353.59	368.65	323.03	1572.76	1572.76	1199.98	743.43	642.59	718.08	575.03	703.28	503.95	708.18	400.71	293.07	543.96	387.02	318.57	490.14
WDYHV1	954.43	575.03	665.29	1350.18	480.04	139.07	167.9	236.21	205.5	125.24	139.07	128.79	1167.14	1167.14	536.45	303.44	220.32	587.13	224.97	348.71	384.34	414.87	224.97	98.73	228.13	176.29	285.03	384.34
WRNIP1	2609.3	1498.22	872.1	915.51	954.43	591.22	684.02	616.37	612.11	698.41	698.41	638.15	1331.57	1331.57	1529.73	674.59	728.11	1001.93	642.59	1143.1	1044.52	1119.56	669.92	579.04	651.58	599.49	518.15	612.11
ZNF706	7589.61	4869.99	4450.27	6381.92	5517.27	1674.06	1508.65	1950.0	2004.85	1870.53	1529.73	2148.82	5403.7	5403.7	6164.49	4298.64	2018.8	6164.49	2701.35	3690.52	3639.7	13968.57	2835.7	2915.45	4607.24	4671.57	3768.09	4066.71
