	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.FY.A2QD.01A.11R.A19O.07	TCGA.EM.A3FL.01A.11R.A21D.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZAB5.0726.SM.5P9JG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZE7O.1126.SM.57WC8	GTEX.11DXY.0426.SM.5H12R	GTEX.13X6J.0826.SM.5LU32	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.YFCO.0326.SM.4W1ZP	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
KDELC1	0.0	0.39	27.05	42.41	92.7	50.63	122.64	84.04	21.47	131.51	85.22	103.69	73.03	92.7	33.06	85.82	50.98	71.5	49.56	24.46	31.9	32.36	39.5	28.65	34.51	59.13
KIAA0930	1151.06	202.66	246.28	258.57	540.19	447.82	1225.22	595.34	147.06	1331.57	878.17	1127.35	1268.46	941.27	454.09	1242.34	567.1	1023.0	470.14	379.04	316.37	463.65	239.52	426.57	463.65	693.58
KLF12	0.0	0.34	19.53	13.22	74.06	34.51	115.97	63.0	8.58	183.82	132.44	72.01	40.93	47.84	35.0	74.06	62.56	74.06	14.35	23.42	14.35	11.47	27.05	34.26	38.12	43.63
LINC00632	0.0	0.45	5.77	2.1	13.42	3.99	32.13	13.83	2.07	25.72	41.22	15.34	6.06	16.27	11.55	5.36	12.18	34.26	3.26	4.86	1.25	4.62	4.86	6.62	11.04	6.36
LPPR4	0.0	0.0	8.92	3.79	109.66	14.56	50.63	25.72	5.02	117.6	51.71	48.52	26.86	14.56	20.26	61.25	25.17	64.8	3.63	4.17	1.91	5.96	3.38	7.34	6.31	10.79
MCC	54.72	48.52	53.19	33.3	127.89	71.5	162.14	167.9	15.68	212.78	110.43	156.59	78.34	244.57	53.19	137.14	65.26	108.9	41.22	75.11	32.13	36.79	52.08	78.34	32.13	118.43
MDFIC	314.17	82.87	395.18	260.38	1081.39	273.37	830.75	981.29	62.56	1143.1	514.56	1135.2	432.53	1037.29	269.6	575.03	490.14	708.18	379.04	457.25	301.33	358.54	353.59	403.5	363.56	384.34
NCKAP5	0.0	0.0	6.36	2.84	36.01	4.46	27.64	23.76	11.04	27.64	31.22	25.17	15.34	22.1	14.56	35.0	15.91	15.68	4.82	8.38	8.32	5.41	5.32	13.93	7.75	24.46
NR2F2	688.78	808.0	269.6	395.18	791.35	426.57	1487.87	603.67	205.5	1674.06	1015.93	1044.52	693.58	854.13	447.82	559.28	511.0	813.63	248.0	312.0	281.09	224.97	255.0	551.56	400.71	587.13
OLFML2B	0.0	0.6	31.0	116.78	743.43	180.02	1529.73	559.28	65.26	1519.15	1936.53	934.76	1242.34	351.14	239.52	1051.79	813.63	1096.5	69.03	148.09	87.65	85.22	189.02	136.19	309.83	775.05
P2RX7	0.0	0.31	2.73	6.62	38.4	10.88	144.01	24.46	1.46	111.99	63.89	38.67	38.67	24.11	14.56	44.57	35.76	60.82	1.93	5.96	4.86	2.89	7.69	12.93	12.45	31.0
P2RY12	0.0	0.0	0.29	3.06	32.59	15.91	52.45	18.56	0.0	13.72	8.65	6.36	13.12	16.27	8.38	7.51	4.17	6.73	2.01	0.0	4.74	2.92	6.21	8.51	4.98	6.73
PCDHB4	0.0	0.3	34.51	9.93	49.56	41.52	58.71	48.18	44.57	108.14	114.36	85.22	34.51	45.85	33.54	42.71	59.97	72.52	23.08	58.71	25.91	6.84	16.51	37.32	20.71	14.67
PDCD1LG2	0.0	0.16	7.34	19.11	47.17	26.28	99.43	49.56	0.35	58.71	113.56	46.84	26.47	105.89	15.22	47.84	28.04	25.54	14.78	14.89	6.06	20.56	16.88	7.22	9.2	15.68
PEAR1	0.0	0.67	49.56	77.25	183.82	159.9	559.28	209.84	65.26	555.41	299.25	279.14	293.07	237.86	96.68	356.05	159.9	253.23	76.17	52.08	63.0	35.76	66.18	140.04	134.3	214.27
PLXDC2	0.0	0.54	139.07	137.14	293.07	241.19	486.75	379.04	149.12	633.73	454.09	438.59	339.14	395.18	190.34	429.54	325.29	325.29	129.69	172.65	195.72	154.42	239.52	197.09	239.52	189.02
PPFIA2	0.0	0.25	6.16	6.52	23.93	8.92	26.67	17.9	6.62	53.95	31.45	18.03	7.0	16.63	19.25	19.39	22.59	35.0	4.9	9.63	9.34	4.43	10.08	8.25	11.13	8.32
PRRX1	0.0	0.61	92.05	92.05	1044.52	432.53	4869.99	532.74	34.75	4066.71	2004.85	1733.13	1159.07	1233.75	361.04	1447.15	629.35	2090.03	164.42	329.84	164.42	143.01	139.07	307.69	316.37	642.59
PTGER4	0.0	0.39	17.13	18.56	96.68	45.21	256.78	242.88	5.02	409.15	301.33	142.01	164.42	122.64	87.03	202.66	64.34	224.97	17.51	70.01	38.4	50.98	12.18	74.58	41.22	71.5
RECK	0.0	0.45	54.72	57.49	218.79	130.6	277.2	198.47	67.59	251.48	275.28	236.21	211.31	236.21	112.77	237.86	150.17	258.57	89.51	98.04	87.65	79.45	87.03	141.02	120.94	144.01
REEP1	0.0	0.26	5.19	10.96	72.01	15.11	111.21	36.79	0.69	161.02	169.07	156.59	68.07	64.8	28.24	81.71	67.59	115.16	15.45	19.11	10.24	14.24	14.45	29.7	33.3	40.36
RGL1	0.0	0.56	78.89	46.5	218.79	134.3	432.53	187.71	30.56	289.02	283.05	194.36	205.5	244.57	131.51	287.01	155.5	205.5	48.52	133.36	45.85	63.89	67.12	137.14	63.45	146.03
RNF152	0.0	0.54	21.63	22.59	178.77	30.12	108.14	116.78	111.21	88.26	103.69	94.67	57.89	52.08	26.28	109.66	67.12	55.49	26.47	30.12	28.65	68.55	11.3	57.89	47.5	34.26
RP11-1055B8.6	0.0	0.31	22.92	15.22	26.67	31.45	57.08	29.06	29.91	50.63	50.63	24.99	21.78	26.28	16.75	31.67	21.94	35.76	21.47	18.43	17.25	16.63	23.59	21.47	21.63	37.05
SEC14L3	0.0	0.0	0.0	4.58	12.64	4.1	16.88	6.67	9.56	125.24	32.13	109.66	15.22	18.7	13.72	42.11	13.42	100.13	5.02	0.0	3.17	0.0	4.21	6.01	36.01	18.43
SEMA5A	0.0	0.14	21.16	21.94	50.98	12.09	106.63	23.93	21.94	108.9	89.51	67.59	48.18	77.79	18.97	65.26	59.97	43.02	9.85	14.45	13.83	10.47	9.06	26.86	14.03	39.79
SLC16A2	0.0	0.58	497.0	226.54	1674.06	1111.82	769.69	1143.1	423.61	1794.29	1259.69	1832.01	836.53	1127.35	289.02	1794.29	872.1	866.07	289.02	325.29	785.88	587.13	249.73	595.34	384.34	780.44
TAF15	1628.26	242.88	2047.0	2148.82	2303.12	2148.82	2701.35	2609.3	2701.35	2537.92	2835.7	2224.63	2609.3	2485.67	2319.15	2835.7	2855.44	2555.58	1498.22	2255.7	2384.37	1487.87	2319.15	2573.36	2609.3	2758.13
TBX18	0.0	0.37	3.72	4.17	41.22	21.01	120.1	31.67	0.48	98.04	77.79	32.36	53.19	35.25	15.22	39.79	21.94	61.68	2.18	11.55	6.73	7.28	8.32	11.04	16.27	17.0
TG	0.0	0.64	524287.0	834179.46	2068278.89	2247670.86	263966.36	2375828.71	2111737.85	237899.7	757033.75	1535204.12	1984025.69	1196176.45	2986448.72	1567462.05	2425749.94	1318073.06	2636147.11	2111737.85	1800541.22	3178687.03	3886391.01	2263304.65	2672946.37	1864037.21
TGFBR2	0.0	0.67	1088.92	848.22	1662.49	947.83	2384.37	1551.09	157.68	1950.0	1963.57	1923.14	1350.18	2240.11	1143.1	1407.55	854.13	1242.34	733.19	1397.83	679.29	743.43	842.36	1540.37	785.88	1183.45
TTC28	0.0	0.43	127.0	136.19	166.73	181.28	295.11	136.19	170.25	218.79	237.86	223.41	181.28	255.0	162.14	255.0	181.28	218.79	79.45	142.01	175.07	96.01	142.01	211.31	115.16	178.77
TTLL6	0.0	0.09	0.0	1.93	2.94	9.56	3.08	7.88	0.46	9.13	8.32	6.01	5.63	5.82	5.92	3.41	4.46	8.13	2.94	4.1	1.64	2.76	5.36	2.16	6.67	2.41
XKR4	0.0	0.0	0.0	0.0	5.36	0.0	8.32	1.93	1.0	13.32	18.97	11.38	1.71	8.38	1.89	3.14	1.39	10.96	0.0	0.28	0.0	0.0	0.01	0.01	0.75	2.46
ZNF443	0.0	0.09	23.25	59.55	73.54	55.49	72.52	49.21	22.26	85.22	55.1	58.71	65.26	77.25	54.72	54.33	47.17	76.17	50.98	41.52	55.1	37.85	63.89	40.36	54.72	66.65
ZNF474	0.0	0.0	0.0	4.66	6.06	12.09	7.11	3.11	1.35	18.56	8.38	3.63	3.72	13.52	28.45	5.45	16.51	14.14	4.66	4.78	13.12	1.79	2.94	1.55	2.97	16.27
