	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.CV.5966.01A.11R.1686.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07
CASD1	86.43	441.64	466.88	325.29	842.36	171.45	297.17	206.94	141.02	718.08	473.41	189.02	220.32	836.53	1350.18	363.56	988.12	161.02	961.07	68.07	88.88	115.97	0.0
CASZ1	61.68	400.71	1551.09	403.5	426.57	351.14	295.11	142.01	237.86	412.0	543.96	129.69	237.86	414.87	466.88	656.11	323.03	346.29	412.0	111.99	29.48	80.57	0.0
CCDC176	47.84	336.79	688.78	249.73	780.44	50.63	166.73	111.99	98.04	343.89	624.99	111.21	151.22	529.06	1143.1	447.82	775.05	356.05	379.04	23.93	27.84	40.07	0.0
CCDC54	0.64	0.0	2.36	1.06	3.5	0.62	0.0	0.0	0.0	0.34	1.25	0.0	1.17	1.73	1.58	6.06	2.63	2.03	1.08	0.33	0.0	0.39	0.0
CDKN1B	629.35	1417.35	2758.13	1617.0	1066.48	651.58	1081.39	1745.2	1295.13	1111.82	1417.35	708.18	693.58	967.76	1806.78	1551.09	2997.45	813.63	2434.5	220.32	476.71	183.82	0.0
CDON	8.92	81.71	791.35	199.85	226.54	66.65	353.59	220.32	95.34	101.54	277.2	32.82	33.06	147.06	1059.11	417.77	575.03	175.07	258.57	9.27	20.41	11.21	0.0
CHAD	0.99	1216.75	3820.7	1119.56	813.63	0.75	78.89	194.36	32.36	928.3	947.83	44.89	10.79	356.05	1963.57	236.21	295.11	53230.77	463.65	0.56	60.82	34.75	0.0
COPG2	271.48	1159.07	1896.65	1183.45	1923.14	988.12	1529.73	1378.57	995.0	1605.83	2434.5	1806.78	872.1	1628.26	2555.58	1745.2	1081.39	1143.1	2104.58	389.72	463.65	633.73	1259.69
COQ6	307.69	698.41	848.22	447.82	928.3	255.0	718.08	258.57	412.0	629.35	988.12	285.03	460.44	934.76	1295.13	915.51	483.38	813.63	830.75	281.09	599.49	463.65	0.0
CPEB2	38.67	336.79	825.0	381.68	229.72	135.24	264.03	197.09	47.17	191.67	376.41	66.18	198.47	226.54	438.59	1127.35	567.1	102.25	775.05	25.35	105.89	31.0	0.0
CRYZL1	223.41	703.28	616.37	684.02	679.29	395.18	674.59	336.79	312.0	896.64	748.61	341.51	603.67	819.3	1059.11	1001.93	1127.35	896.64	808.0	181.28	231.32	312.0	0.0
CT62	0.96	85.82	305.55	69.03	89.51	0.0	60.39	0.61	0.0	92.05	205.5	2.01	1.83	177.53	563.18	75.64	42.71	406.31	108.14	18.03	0.0	0.0	0.0
DCLK1	0.99	59.97	4836.35	226.54	559.28	150.17	24.28	47.17	36.27	59.97	166.73	104.42	74.06	100.83	693.58	236.21	1605.83	151.22	277.2	14.78	3.0	1.71	0.0
DDX24	2133.97	2148.82	3280.18	1427.22	2537.92	1551.09	1883.54	1487.87	1519.15	2875.3	2400.97	1963.57	2090.03	2240.11	2384.37	2335.28	2451.44	2555.58	3124.78	1963.57	1051.79	1242.34	2520.38
DEFB132	0.0	27.05	39.5	1.43	19.97	0.0	61.25	0.0	0.0	5.36	6.78	2.39	0.0	2.51	72.01	19.68	17.64	21.94	165.57	0.0	0.46	1.23	0.0
DTWD1	228.13	642.59	967.76	612.11	1044.52	476.71	339.14	995.0	403.5	540.19	748.61	397.93	486.75	759.08	1030.12	775.05	1340.84	764.36	1143.1	158.79	191.67	320.8	0.0
DYNC1LI1	444.72	703.28	1806.78	660.68	723.08	1143.1	808.0	559.28	420.68	525.39	1119.56	567.1	463.65	616.37	1073.91	579.04	791.35	599.49	551.56	450.94	260.38	638.15	575.03
DYNLT3	169.07	1487.87	1745.2	836.53	693.58	708.18	642.59	1030.12	387.02	473.41	1304.15	389.72	688.78	785.88	555.41	575.03	1015.93	708.18	842.36	231.32	490.14	232.94	0.0
DYRK1B	60.39	358.54	723.08	417.77	275.28	198.47	314.17	134.3	414.87	379.04	473.41	291.04	271.48	368.65	603.67	211.31	113.56	327.56	463.65	47.5	93.35	100.83	0.0
ELOVL2	2.23	1225.22	693.58	343.89	518.15	1.51	25.35	2.89	114.36	329.84	595.34	8.78	5.19	400.71	14971.21	187.71	902.89	616.37	518.15	7.34	490.14	414.87	0.0
EXD2	191.67	579.04	1159.07	343.89	575.03	265.87	599.49	358.54	251.48	493.56	713.11	320.8	447.82	571.05	884.29	379.04	878.17	358.54	708.18	107.38	71.5	99.43	0.0
FAM161B	63.89	205.5	167.9	82.29	295.11	20.41	112.77	75.64	40.93	199.85	178.77	147.06	98.04	281.09	457.25	273.37	144.01	143.01	218.79	35.0	44.57	93.35	0.0
FAM227B	49.91	457.25	267.73	164.42	279.14	68.55	102.25	202.66	69.52	283.05	221.86	73.54	80.57	312.0	231.32	193.01	206.94	218.79	206.94	19.53	64.8	64.8	0.0
FBXO38	165.57	392.44	759.08	460.44	587.13	199.85	305.55	193.01	197.09	454.09	633.73	177.53	346.29	409.15	791.35	713.11	599.49	343.89	791.35	187.71	181.28	156.59	0.0
FEM1B	223.41	599.49	1001.93	432.53	684.02	253.23	267.73	387.02	353.59	693.58	603.67	242.88	454.09	860.08	753.83	860.08	1322.37	543.96	934.76	215.77	125.24	99.43	255.0
FNTB	176.29	348.71	447.82	248.0	497.0	177.53	444.72	189.02	253.23	353.59	486.75	228.13	384.34	441.64	647.07	371.22	234.57	255.0	551.56	141.02	201.25	177.53	0.0
FOXJ3	241.19	420.68	723.08	642.59	638.15	381.68	267.73	486.75	376.41	642.59	780.44	307.69	642.59	595.34	607.87	748.61	947.83	312.0	921.88	299.25	119.26	194.36	420.68
FPGT	118.43	406.31	591.22	476.71	583.07	147.06	253.23	381.68	146.03	220.32	825.0	143.01	244.57	387.02	392.44	441.64	1073.91	279.14	353.59	47.84	118.43	186.4	0.0
FUBP1	1015.93	1561.89	2627.46	2319.15	1832.01	1233.75	1295.13	1806.78	1447.15	1963.57	2758.13	1551.09	1427.22	1883.54	2193.99	2417.67	1583.71	1059.11	2004.85	1697.45	409.15	1001.93	529.06
GKAP1	24.63	137.14	329.84	80.57	244.57	61.68	98.04	90.77	80.57	146.03	199.85	51.35	63.89	175.07	264.03	182.55	258.57	181.28	199.85	10.88	97.36	183.82	0.0
GNA14	5.19	56.68	928.3	63.45	64.8	8.13	23.59	7.34	26.86	49.21	108.9	46.5	154.42	55.49	156.59	66.18	190.34	14.67	87.03	3.79	18.56	2.46	0.0
GPBP1L1	1216.75	1936.53	2591.27	1857.6	1870.53	1417.35	1529.73	1685.71	1277.29	2133.97	2075.59	1167.14	1561.89	2032.85	2163.77	1519.15	2627.46	1561.89	2351.53	890.44	825.0	941.27	1388.16
GREB1	3.23	764.36	2163.77	559.28	444.72	70.01	403.5	50.27	22.92	860.08	3081.75	68.55	62.12	460.44	780.44	85.82	555.41	748.61	981.29	5.77	20.41	8.85	0.0
IFT74	95.34	417.77	555.41	603.67	361.04	273.37	450.94	159.9	264.03	287.01	555.41	387.02	218.79	356.05	529.06	500.46	525.39	293.07	432.53	260.38	143.01	135.24	0.0
IGBP1	1340.84	1467.37	2555.58	921.88	1794.29	665.29	1467.37	708.18	802.41	2287.2	1359.57	915.51	1674.06	2004.85	2502.97	1540.37	2645.74	2895.31	1697.45	599.49	325.29	320.8	0.0
IRF2BPL	125.24	866.07	1191.69	457.25	555.41	353.59	674.59	327.56	389.72	759.08	379.04	314.17	497.0	808.0	753.83	1572.76	289.02	808.0	551.56	260.38	119.26	67.12	185.11
ISOC1	303.44	791.35	3564.78	587.13	1340.84	511.0	221.86	447.82	251.48	866.07	967.76	403.5	363.56	813.63	941.27	409.15	1096.5	571.05	1059.11	260.38	698.41	703.28	0.0
KCND3	1.31	287.01	647.07	157.68	177.53	1.28	47.17	2.34	9.13	172.65	212.78	21.63	130.6	140.04	149.12	29.27	1639.59	381.68	271.48	12.55	47.17	5.87	12.83
KDM4A	466.88	371.22	1073.91	457.25	759.08	454.09	305.55	647.07	432.53	500.46	921.88	368.65	473.41	559.28	1151.06	633.73	638.15	426.57	743.43	307.69	143.01	346.29	0.0
KIAA0319L	169.07	941.27	1529.73	1369.04	1757.34	567.1	616.37	579.04	753.83	1175.27	1617.0	511.0	825.0	1313.23	2351.53	1883.54	981.29	813.63	1277.29	260.38	764.36	540.19	450.94
KIAA1324	9.2	961.07	8778.97	1977.24	12329.98	660.68	3589.58	1561.89	2682.69	4419.52	6983.79	633.73	4937.99	7382.04	5479.15	3018.3	3491.39	4095.0	3690.52	8.92	7.4	12.09	0.0
KIAA1737	93.35	651.58	674.59	389.72	748.61	201.25	607.87	218.79	249.73	551.56	738.29	126.12	314.17	629.35	563.18	1015.93	1183.45	363.56	842.36	74.58	111.21	50.98	0.0
LCOR	80.01	100.83	529.06	156.59	183.82	89.51	138.1	98.73	55.49	147.06	241.19	52.82	152.28	185.11	262.2	206.94	688.78	88.88	244.57	83.45	42.11	44.57	105.15
LRP2	0.33	392.44	8901.53	186.4	651.58	13.83	54.33	22.1	265.87	567.1	791.35	373.81	2271.4	1015.93	2976.74	669.92	438.59	182.55	866.07	0.0	0.0	11.47	0.0
LYPD6	0.36	21.63	1143.1	79.45	511.0	8.25	16.39	44.89	25.91	423.61	218.79	24.46	9.63	409.15	981.29	358.54	191.67	283.05	563.18	35.5	0.59	0.79	0.0
MACF1	769.69	2701.35	5076.84	2047.0	2976.74	1397.83	866.07	2485.67	1551.09	2090.03	2796.65	1225.22	1794.29	2367.9	4607.24	3639.7	2119.22	947.83	2701.35	1001.93	669.92	775.05	0.0
MAGED2	2209.26	15180.22	54727.32	14163.58	21320.18	3124.78	8658.09	4869.99	8479.89	14867.79	22380.2	5913.33	2875.3	16496.96	19618.49	9474.59	8134.41	14971.21	9808.75	1359.57	2555.58	1397.83	0.0
MAST4	84.04	165.57	1015.93	232.94	336.79	77.79	154.42	65.72	37.05	239.52	497.0	85.82	503.95	323.03	420.68	363.56	409.15	279.14	599.49	204.07	24.46	20.56	53.19
MATR3	1844.76	4543.8	7485.11	5954.47	5913.33	3168.41	4543.8	3564.78	2178.83	4903.87	7803.01	2956.17	3901.01	6207.38	7280.4	5366.37	8247.98	4512.4	6337.83	2032.85	1151.06	1709.26	2682.69
MAX	1023.0	1721.16	2303.12	954.43	1674.06	954.43	1467.37	941.27	1051.79	1508.65	1769.57	1175.27	1286.18	1639.59	1709.26	1594.73	1397.83	1233.75	1508.65	1350.18	555.41	518.15	0.0
MGP	323.03	998912.34	365622.68	1139523.1	736332.6	360589.03	1196176.45	539026.74	443937.41	623486.02	110983.6	402881.61	706337.4	800198.39	585779.24	1524599.69	845824.19	1308968.45	614902.29	283.05	1350.18	567.1	3419.52
MLLT3	277.2	438.59	536.45	277.2	595.34	309.83	271.48	318.57	68.07	351.14	341.51	301.33	97.36	435.55	1447.15	339.14	1259.69	669.92	764.36	125.24	11.82	133.36	0.0
MMADHC	1909.85	2591.27	5403.7	2271.4	2875.3	2537.92	2271.4	2664.15	1044.52	2287.2	2895.31	1628.26	2193.99	2664.15	2163.77	2148.82	3325.99	4239.45	2777.33	1991.0	1923.14	1340.84	0.0
MPP7	10.71	583.07	1242.34	738.29	289.02	193.01	381.68	91.41	82.87	279.14	567.1	35.25	62.12	432.53	738.29	540.19	896.64	954.43	246.28	5.96	24.11	77.25	265.87
NRDE2	146.03	130.6	154.42	70.51	171.45	44.25	138.1	116.78	119.26	170.25	183.82	89.51	123.5	153.34	260.38	157.68	163.28	147.06	277.2	106.63	193.01	123.5	0.0
NRIP1	115.97	1008.9	1844.76	1030.12	890.44	211.31	283.05	164.42	72.52	518.15	947.83	167.9	748.61	642.59	1909.85	353.59	854.13	490.14	607.87	119.26	90.14	43.02	0.0
NRXN3	0.0	7.06	571.05	10.71	62.12	3.76	6.41	3.69	5.02	49.56	30.78	7.4	23.42	46.18	96.01	4.66	46.5	8.58	81.71	0.0	2.34	0.55	0.0
P2RX4	353.59	954.43	1508.65	599.49	1617.0	392.44	769.69	836.53	571.05	928.3	1295.13	529.06	791.35	848.22	1477.58	825.0	633.73	728.11	674.59	228.13	728.11	902.89	0.0
PAXIP1	86.43	466.88	289.02	217.27	466.88	180.02	241.19	137.14	229.72	190.34	518.15	170.25	127.0	223.41	389.72	237.86	191.67	166.73	236.21	92.7	68.55	78.34	152.28
PNMA1	473.41	759.08	1378.57	470.14	450.94	316.37	473.41	392.44	392.44	688.78	514.56	490.14	361.04	629.35	860.08	507.46	409.15	503.95	503.95	258.57	78.89	148.09	232.94
POLR3B	88.88	106.63	111.99	113.56	177.53	73.03	169.07	75.11	76.71	111.99	193.01	96.68	120.1	139.07	198.47	165.57	146.03	76.17	142.01	67.12	60.39	99.43	0.0
PPAPDC2	118.43	271.48	543.96	373.81	281.09	246.28	438.59	140.04	182.55	267.73	392.44	226.54	189.02	253.23	381.68	316.37	267.73	305.55	217.27	121.79	279.14	55.89	0.0
PPP1R36	15.34	63.45	231.32	42.41	44.25	10.0	85.22	29.06	18.43	9.7	9.13	10.79	8.78	92.7	454.09	146.03	33.3	39.79	30.78	6.26	0.44	2.32	0.0
PPP3CC	336.79	163.28	529.06	226.54	255.0	236.21	291.04	191.67	177.53	251.48	264.03	285.03	279.14	277.2	289.02	307.69	463.65	297.17	591.22	128.79	117.6	164.42	0.0
PRDM4	239.52	285.03	629.35	351.14	287.01	269.6	305.55	234.57	221.86	368.65	384.34	255.0	307.69	368.65	429.54	291.04	253.23	251.48	312.0	258.57	70.01	109.66	0.0
PRKCE	37.05	34.51	392.44	122.64	98.73	58.71	96.68	59.55	23.76	82.87	134.3	57.49	183.82	112.77	76.71	151.22	173.85	96.01	151.22	22.26	57.08	20.86	0.0
PTGER3	2.58	1167.14	633.73	651.58	791.35	98.04	381.68	23.76	49.91	237.86	728.11	116.78	327.56	318.57	470.14	133.36	139.07	507.46	438.59	12.74	12.18	0.47	0.0
PTPRT	0.0	7.69	483.38	103.69	397.93	1.22	4.62	1.62	7.75	142.01	470.14	17.64	4.86	134.3	500.46	84.04	152.28	79.45	414.87	0.0	0.45	0.0	0.0
RELL1	26.1	164.42	579.04	220.32	197.09	33.54	293.07	140.04	38.4	147.06	173.85	100.83	164.42	301.33	518.15	126.12	232.94	209.84	551.56	77.79	16.39	12.45	0.0
SCAPER	75.11	223.41	470.14	175.07	303.44	115.16	177.53	166.73	314.17	293.07	198.47	98.04	224.97	316.37	336.79	441.64	612.11	356.05	287.01	25.91	82.87	65.26	0.0
SERTAD3	780.44	1561.89	2287.2	1286.18	1857.6	674.59	1159.07	414.87	679.29	1104.13	1583.71	703.28	567.1	1594.73	1304.15	1250.98	1331.57	878.17	1477.58	753.83	332.14	332.14	0.0
SIDT1	18.56	460.44	1359.57	256.78	500.46	12.27	173.85	9.48	36.53	262.2	483.38	75.11	61.68	392.44	1605.83	525.39	400.71	244.57	532.74	6.46	4.86	2.46	0.0
SIN3A	158.79	651.58	1331.57	629.35	1023.0	242.88	361.04	406.31	476.71	753.83	1044.52	262.2	490.14	796.86	1350.18	769.69	928.3	409.15	842.36	267.73	123.5	84.63	309.83
SNW1	1183.45	1143.1	2758.13	1001.93	1950.0	902.89	1277.29	974.5	902.89	1286.18	1769.57	974.5	1096.5	1340.84	1417.35	1617.0	2816.11	1407.55	1819.35	1001.93	563.18	764.36	0.0
SPEF2	3.89	123.5	283.05	132.44	289.02	46.84	234.57	53.19	35.76	143.01	299.25	70.51	81.71	191.67	460.44	253.23	258.57	120.1	237.86	1.27	3.92	16.27	0.0
SPIN1	423.61	1286.18	2090.03	1030.12	1662.49	921.88	1127.35	921.88	656.11	1447.15	1572.76	642.59	830.75	1651.0	2351.53	1639.59	2163.77	1008.9	1733.13	591.22	109.66	143.01	0.0
SPTAN1	551.56	1733.13	3443.31	1427.22	1721.16	1583.71	1883.54	974.5	1008.9	1540.37	1936.53	988.12	1322.37	1709.26	3665.02	3060.45	1561.89	1066.48	3060.45	1037.29	457.25	860.08	0.0
SYTL5	0.36	163.28	748.61	5.82	29.48	0.93	18.43	1.33	0.95	88.88	612.11	7.57	6.06	109.66	860.08	61.25	11.13	74.58	39.79	0.0	4.98	0.62	0.0
TDG	368.65	323.03	571.05	414.87	429.54	470.14	432.53	283.05	339.14	291.04	536.45	414.87	327.56	395.18	473.41	389.72	583.07	239.52	454.09	255.0	116.78	209.84	406.31
TMED10	6607.01	11827.67	14971.21	7230.1	10585.95	2591.27	8901.53	5954.47	4607.24	6887.62	11584.24	7230.1	11112.3	7642.41	4972.34	6121.9	8598.28	11424.74	6699.25	3614.55	4038.61	2935.74	3039.3
TMED8	69.03	277.2	438.59	156.59	248.0	89.51	281.09	108.14	85.82	141.02	387.02	110.43	155.5	195.72	361.04	281.09	275.28	144.01	239.52	63.0	19.97	20.11	0.0
TTC8	232.94	819.3	1044.52	497.0	748.61	133.36	651.58	309.83	190.34	665.29	921.88	211.31	420.68	743.43	1233.75	1008.9	1277.29	693.58	759.08	106.63	122.64	101.54	0.0
TXNDC16	13.83	167.9	860.08	466.88	269.6	83.45	180.02	170.25	98.73	152.28	281.09	55.89	104.42	181.28	463.65	214.27	368.65	185.11	271.48	27.05	33.3	24.46	0.0
UBTD2	211.31	454.09	567.1	529.06	733.19	277.2	447.82	305.55	376.41	587.13	848.22	318.57	376.41	551.56	934.76	351.14	1015.93	521.76	575.03	153.34	96.01	267.73	109.66
YPEL2	53.19	141.02	1437.15	124.37	493.56	131.51	299.25	129.69	113.56	152.28	297.17	94.67	403.5	202.66	301.33	242.88	500.46	131.51	316.37	15.22	74.06	69.03	0.0
YTHDF2	921.88	1388.16	2047.0	1340.84	1015.93	1304.15	995.0	1295.13	1159.07	1572.76	2004.85	1135.2	1340.84	1651.0	1709.26	1977.24	1709.26	1378.57	2104.58	1159.07	638.15	1111.82	0.0
ZFP30	25.17	169.07	212.78	176.29	185.11	72.01	140.04	75.64	94.01	132.44	187.71	57.08	100.13	128.79	217.27	178.77	194.36	102.25	158.79	32.59	11.13	10.16	0.0
ZFYVE1	148.09	215.77	373.81	151.22	316.37	149.12	429.54	172.65	190.34	253.23	279.14	145.02	307.69	363.56	480.04	460.44	242.88	164.42	392.44	75.64	149.12	144.01	0.0
ZFYVE21	1242.34	1268.46	1745.2	974.5	1331.57	713.11	1111.82	660.68	1088.92	1936.53	1183.45	1159.07	1923.14	1529.73	1572.76	1950.0	1551.09	2835.7	1844.76	713.11	490.14	353.59	0.0
ZMYM4	197.09	432.53	674.59	718.08	854.13	466.88	361.04	447.82	403.5	591.22	921.88	423.61	500.46	647.07	1001.93	1051.79	1135.2	341.51	921.88	185.11	110.43	157.68	0.0
ZNF185	269.6	1037.29	2271.4	414.87	454.09	293.07	248.0	420.68	473.41	723.08	878.17	209.84	348.71	738.29	660.68	633.73	642.59	819.3	647.07	163.28	33.06	13.12	356.05
ZNF254	55.1	212.78	511.0	115.97	299.25	87.03	154.42	123.5	116.78	199.85	395.18	236.21	139.07	232.94	429.54	275.28	473.41	191.67	334.46	7.69	17.0	53.95	0.0
ZNF586	78.89	135.24	291.04	153.34	248.0	105.15	171.45	101.54	101.54	165.57	218.79	84.63	120.1	194.36	305.55	172.65	332.14	137.14	260.38	77.79	33.3	40.07	0.0
ZNF609	72.52	157.68	633.73	327.56	339.14	125.24	142.01	183.82	82.29	299.25	420.68	110.43	251.48	255.0	417.77	392.44	351.14	115.97	429.54	92.05	68.07	41.22	119.26
ZNF625-ZNF20	11.82	91.41	125.24	24.99	81.71	52.45	81.14	44.25	40.93	80.01	111.99	53.57	40.07	86.43	120.1	111.99	136.19	82.87	84.04	21.16	8.45	16.15	0.0
ZNF627	60.82	444.72	703.28	293.07	457.25	205.5	305.55	271.48	236.21	432.53	497.0	264.03	199.85	536.45	454.09	450.94	470.14	258.57	387.02	48.87	71.0	76.71	0.0
ZNF823	24.46	368.65	346.29	151.22	199.85	102.97	145.02	118.43	94.67	215.77	265.87	81.14	84.04	260.38	303.44	285.03	599.49	299.25	177.53	26.28	55.89	33.06	0.0
ZNF91	134.3	414.87	928.3	244.57	854.13	145.02	242.88	221.86	232.94	409.15	1066.48	246.28	229.72	444.72	808.0	728.11	647.07	242.88	536.45	11.47	45.21	137.14	0.0
ZRANB1	119.26	260.38	521.76	253.23	406.31	293.07	258.57	248.0	246.28	379.04	412.0	202.66	244.57	395.18	476.71	341.51	567.1	307.69	387.02	209.84	187.71	114.36	0.0
