	TCGA.4Z.AA87.01A.11R.A39I.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.Q1.A73S.01A.11R.A33Z.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.L5.A8NU.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.CG.5718.01A.11R.1602.13	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.CD.A486.01A.11R.A24K.31	GTEX.S7SF.0626.SM.4AD4V
MAP1A	5.06	4.82	35.0	122.64	18.03	10.31	14.78	108.9	78.34	293.07	195.72	30.12	28.65	25.17	90.14	1135.2	2148.82	20.11	674.59	8.58	854.13	152.28	24.28	1286.18	31.45	579.04	57.89	420.68	285.03	38.95	743.43	59.13	514.56
MRVI1	25.72	9.13	76.71	435.55	88.26	15.56	33.54	332.14	356.05	1757.34	1216.75	144.01	87.65	103.69	406.31	9945.68	9409.14	124.37	3235.01	59.13	2956.17	293.07	43.94	4066.71	84.04	2758.13	167.9	1781.89	2417.67	115.97	2956.17	96.68	2178.83
MSRB3	37.32	12.18	58.71	206.94	61.25	36.01	31.9	212.78	373.81	1437.15	669.92	100.83	78.89	95.34	226.54	7803.01	16960.78	52.08	3467.27	32.59	3589.58	447.82	59.13	5954.47	70.51	2591.27	85.22	1407.55	1923.14	46.84	3303.0	170.25	2645.74
NEXN	28.86	14.03	96.01	220.32	95.34	19.53	55.89	214.27	854.13	1457.23	1268.46	181.28	50.63	162.14	134.3	6887.62	26614.89	68.55	9025.81	147.06	5711.87	791.35	67.12	14765.09	205.5	4903.87	209.84	2133.97	3874.05	106.63	3928.15	493.56	3190.46
PABPC5	0.96	0.0	4.5	33.54	1.85	0.0	1.25	6.67	11.38	33.78	26.67	3.44	1.19	2.07	15.45	195.72	97.36	2.46	46.84	2.01	59.55	18.43	1.6	57.89	1.77	44.89	6.62	31.0	40.64	2.2	41.22	3.99	53.57
PALLD	293.07	665.29	1977.24	3018.3	1066.48	392.44	575.03	2032.85	1896.65	4481.23	6840.04	1685.71	429.54	309.83	1883.54	45701.96	85283.74	253.23	12853.63	514.56	18950.18	3060.45	503.95	34396.12	450.94	12076.21	785.88	6935.54	7695.57	466.88	13586.57	660.68	13492.72
PHLDB2	21.63	23.08	260.38	132.44	147.06	19.82	34.51	161.02	323.03	397.93	244.57	65.26	53.95	60.82	162.14	1167.14	1167.14	41.52	2555.58	136.19	3212.66	295.11	90.14	2133.97	127.89	1277.29	206.94	759.08	961.07	143.01	1477.58	265.87	688.78
PKD2	43.02	97.36	209.84	529.06	104.42	33.06	60.39	262.2	258.57	607.87	616.37	318.57	48.18	120.1	154.42	2319.15	1709.26	69.52	1378.57	144.01	1208.34	466.88	140.04	1628.26	103.69	1477.58	201.25	603.67	1359.57	127.0	1437.15	190.34	738.29
POPDC2	24.63	14.24	42.11	105.89	40.36	15.11	19.97	96.68	231.32	848.22	208.38	127.89	88.88	95.34	30.78	6840.04	6471.02	17.38	2351.53	33.54	2148.82	182.55	50.98	6121.9	65.26	1183.45	92.05	941.27	921.88	25.17	1697.45	46.5	884.29
PPM1F	136.19	121.79	165.57	490.14	163.28	92.7	128.79	228.13	307.69	518.15	381.68	242.88	305.55	215.77	540.19	769.69	563.18	312.0	480.04	182.55	363.56	212.78	177.53	543.96	186.4	507.46	262.2	457.25	244.57	262.2	521.76	193.01	486.75
PRKG1	3.79	2.76	24.11	34.26	18.43	8.32	25.91	47.84	46.5	137.14	96.01	80.57	7.94	21.32	62.56	884.29	1051.79	12.09	575.03	18.29	595.34	92.7	30.12	616.37	23.25	343.89	43.02	195.72	325.29	29.27	332.14	39.22	232.94
RAB23	87.65	127.0	211.31	438.59	119.26	98.04	406.31	543.96	343.89	599.49	332.14	189.02	223.41	356.05	139.07	1437.15	6745.86	172.65	4543.8	57.49	3874.05	373.81	183.82	7180.15	136.19	1745.2	122.64	1167.14	1199.98	279.14	2537.92	189.02	1617.0
RBMS3	4.43	2.86	19.25	71.5	7.34	7.17	3.99	36.01	33.06	191.67	141.02	46.5	38.67	21.78	136.19	473.41	307.69	12.93	264.03	18.43	379.04	223.41	11.82	454.09	24.81	412.0	57.89	229.72	325.29	36.27	511.0	43.32	176.29
SKI	392.44	244.57	303.44	967.76	318.57	223.41	339.14	884.29	579.04	1199.98	1143.1	890.44	1037.29	529.06	890.44	2133.97	2915.45	830.75	1487.87	819.3	1250.98	674.59	1073.91	1081.39	371.22	1757.34	775.05	1191.69	995.0	830.75	1991.0	579.04	1191.69
SLC8A1	9.41	0.43	8.51	106.63	27.64	5.11	48.52	65.72	98.73	264.03	100.13	57.08	6.57	27.25	92.7	1551.09	1572.76	31.45	503.95	17.0	748.61	95.34	5.15	1066.48	14.24	426.57	82.29	336.79	152.28	56.68	497.0	19.25	842.36
SOGA3	0.96	2.92	1.75	15.68	2.84	0.0	0.28	4.54	5.96	6.62	8.0	3.11	1.14	1.51	0.75	23.25	42.71	1.64	30.12	0.56	26.47	7.46	3.06	49.21	0.78	29.7	4.06	20.11	14.14	2.32	19.97	1.53	9.85
STON1	9.85	35.25	83.45	118.43	18.97	10.24	9.93	129.69	109.66	420.68	323.03	87.65	23.59	47.17	126.12	2682.69	3146.52	24.63	1044.52	13.72	1519.15	224.97	28.65	1697.45	25.35	1030.12	57.08	629.35	785.88	19.39	1477.58	47.84	1674.06
STON1-GTF2A1L	0.0	0.0	0.0	22.75	0.8	0.0	1.68	1.73	7.94	2.29	31.0	0.0	0.97	0.0	25.91	728.11	1143.1	3.99	336.79	0.53	212.78	63.0	1.95	248.0	0.0	96.68	0.8	10.08	118.43	0.0	221.86	0.0	201.25
SYNE1	39.22	21.78	117.6	463.65	133.36	23.08	34.51	201.25	303.44	708.18	447.82	102.97	31.45	98.04	169.07	1909.85	1605.83	153.34	2133.97	92.7	1977.24	387.02	111.99	2335.28	141.02	1709.26	334.46	1277.29	1397.83	269.6	2255.7	183.82	1023.0
SYT11	17.25	6.46	52.45	379.04	47.17	13.72	12.09	120.1	143.01	438.59	161.02	76.17	63.0	37.05	137.14	684.02	769.69	53.19	836.53	18.84	698.41	136.19	19.68	836.53	63.0	571.05	105.15	309.83	457.25	63.0	665.29	50.63	384.34
TGFB1I1	154.42	56.68	318.57	902.89	297.17	150.17	161.02	872.1	1369.04	7537.18	3257.52	651.58	503.95	583.07	1340.84	20451.65	42346.82	518.15	6840.04	175.07	7382.04	2434.5	169.07	9808.75	607.87	6699.25	638.15	3540.14	7130.55	281.09	6561.36	866.07	7589.61
TGFBR1	128.79	125.24	217.27	265.87	221.86	57.08	150.17	297.17	316.37	255.0	356.05	358.54	166.73	289.02	218.79	373.81	583.07	220.32	1685.71	180.02	1583.71	684.02	343.89	1819.35	226.54	1096.5	283.05	1250.98	988.12	316.37	1540.37	244.57	638.15
TWSG1	273.37	316.37	373.81	599.49	211.31	180.02	128.79	339.14	583.07	808.0	612.11	193.01	262.2	167.9	273.37	1923.14	2271.4	297.17	1674.06	239.52	1561.89	575.03	603.67	1844.76	154.42	1127.35	262.2	764.36	1127.35	728.11	1015.93	473.41	884.29
VCL	414.87	902.89	1127.35	1096.5	603.67	698.41	848.22	1617.0	1639.59	2976.74	2537.92	2956.17	693.58	1388.16	2178.83	21172.91	30572.63	336.79	7537.18	785.88	8840.04	1561.89	934.76	15180.22	612.11	7589.61	738.29	4671.57	4575.41	830.75	8538.88	638.15	5041.77
ZEB1	10.79	4.7	136.19	638.15	74.06	9.78	16.63	212.78	277.2	796.86	698.41	248.0	34.51	148.09	341.51	2645.74	2935.74	47.17	2104.58	63.0	3742.05	521.76	64.34	3614.55	127.89	1639.59	223.41	1111.82	2796.65	153.34	2104.58	163.28	1378.57
ZNF532	110.43	111.99	353.59	698.41	198.47	172.65	51.35	312.0	733.19	775.05	679.29	529.06	371.22	327.56	595.34	981.29	995.0	150.17	967.76	323.03	1081.39	808.0	220.32	1721.16	373.81	1023.0	616.37	759.08	947.83	441.64	1350.18	447.82	928.3
