	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13CF3.0426.SM.5IJEU	GTEX.QXCU.0626.SM.2TC69	GTEX.13OVH.1026.SM.5J2NP	GTEX.S4Z8.0426.SM.3K2AH	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.11WQC.0626.SM.5EQMF	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.1339X.0626.SM.5IJER	GTEX.13N1W.0726.SM.5MR57	GTEX.13VXU.2726.SM.5LU4N	GTEX.132QS.0726.SM.5IJE9	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.PLZ6.0426.SM.5IFK2	GTEX.11WQK.1226.SM.5GU5Z	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9
C11orf52	0.0	0.06	934.76	486.75	93.35	38.12	152.28	633.73	575.03	703.28	289.02	373.81	5.59	961.07	403.5	532.74	642.59	872.1	314.17	356.05	151.22	149.12	423.61	884.29	223.41	1313.23	532.74	1015.93	80.01	759.08	368.65	493.56	693.58
C15orf40	0.0	0.26	547.75	279.14	323.03	299.25	172.65	808.0	435.55	555.41	323.03	426.57	97.36	579.04	406.31	743.43	518.15	454.09	460.44	353.59	361.04	172.65	392.44	1030.12	229.72	775.05	371.22	507.46	170.25	633.73	332.14	400.71	518.15
C16orf62	0.0	0.67	743.43	490.14	450.94	204.07	253.23	974.5	723.08	988.12	426.57	612.11	205.5	728.11	555.41	708.18	802.41	775.05	718.08	447.82	381.68	127.89	703.28	988.12	295.11	723.08	563.18	896.64	178.77	854.13	567.1	842.36	651.58
C1orf21	1143.1	158.79	1697.45	764.36	166.73	1350.18	381.68	2148.82	3257.52	2720.15	713.11	902.89	698.41	2032.85	954.43	2090.03	1551.09	954.43	2682.69	417.77	591.22	551.56	1183.45	1628.26	698.41	2163.77	1175.27	2271.4	206.94	1709.26	356.05	1378.57	1844.76
CCDC115	0.0	0.07	1508.65	743.43	954.43	633.73	551.56	1295.13	1369.04	1583.71	555.41	860.08	412.0	1369.04	981.29	1001.93	878.17	1639.59	934.76	748.61	723.08	444.72	928.3	1628.26	759.08	1313.23	1104.13	1651.0	403.5	1794.29	785.88	1477.58	1447.15
CMBL	579.04	162.14	890.44	297.17	206.94	15.45	11.13	1001.93	493.56	473.41	18.56	532.74	61.68	1023.0	287.01	791.35	890.44	444.72	454.09	78.89	53.57	20.86	287.01	503.95	206.94	432.53	351.14	1208.34	13.52	642.59	267.73	329.84	607.87
COA5	0.0	0.56	651.58	463.65	435.55	660.68	525.39	819.3	791.35	967.76	314.17	412.0	392.44	934.76	718.08	713.11	563.18	934.76	624.99	743.43	629.35	373.81	457.25	1199.98	518.15	813.63	547.75	1487.87	275.28	947.83	460.44	791.35	1151.06
COX11	0.0	0.4	902.89	420.68	289.02	525.39	258.57	967.76	825.0	1073.91	397.93	587.13	503.95	1175.27	543.96	819.3	733.19	981.29	848.22	486.75	507.46	299.25	642.59	1127.35	486.75	791.35	503.95	988.12	295.11	759.08	480.04	753.83	1044.52
COX7A2L	0.0	0.84	3540.14	2485.67	2148.82	1685.71	1359.57	5006.93	5112.16	6516.03	1844.76	2502.97	791.35	2271.4	2720.15	3212.66	4388.98	3768.09	2537.92	2032.85	1883.54	1883.54	2434.5	3491.39	1340.84	3372.43	3212.66	5441.3	2468.49	4419.52	2627.46	3124.78	4704.07
CPM	226.54	191.67	11745.96	1583.71	1340.84	1594.73	651.58	6792.79	5751.61	10883.59	660.68	2047.0	171.45	12853.63	3372.43	7331.05	24660.96	6699.25	2287.2	1143.1	660.68	500.46	4972.34	14561.8	2240.11	4736.79	3847.29	9474.59	1191.69	8022.41	1909.85	8840.04	10084.54
CRADD	0.0	0.58	728.11	234.57	239.52	231.32	236.21	915.51	373.81	915.51	260.38	256.78	239.52	454.09	253.23	450.94	466.88	642.59	387.02	403.5	301.33	206.94	332.14	651.58	194.36	463.65	387.02	769.69	426.57	450.94	223.41	454.09	376.41
CRTAP	0.0	0.74	7966.99	2004.85	2367.9	3124.78	1617.0	6983.79	4481.23	5913.33	1001.93	3372.43	4066.71	4639.29	3325.99	8718.32	6607.01	6037.61	3820.7	1769.57	2855.44	1733.13	4388.98	5112.16	1819.35	3589.58	3395.89	7180.15	947.83	4543.8	3515.68	4123.49	4972.34
CRYM	0.0	0.0	1977.24	229.72	180.02	283.05	66.65	909.17	175.07	2400.97	1167.14	356.05	1.38	1628.26	1216.75	1378.57	1639.59	753.83	38.95	988.12	102.25	10.71	466.88	2573.36	368.65	271.48	108.14	1119.56	7.57	1745.2	260.38	785.88	6337.83
DHRS4-AS1	0.0	0.22	149.12	83.45	97.36	30.56	78.34	246.28	246.28	309.83	85.22	138.1	10.55	249.73	171.45	74.58	201.25	297.17	199.85	59.97	100.13	7.22	82.87	75.64	73.03	208.38	130.6	406.31	39.79	255.0	89.51	165.57	178.77
EIF3E	0.0	0.96	7695.57	2664.15	2935.74	3614.55	3190.46	7230.1	7485.11	9088.59	2451.44	3614.55	5872.48	5006.93	5672.41	9088.59	5872.48	5672.41	7642.41	2591.27	3665.02	4639.29	4543.8	9215.48	4268.94	4671.57	4328.55	10659.59	4671.57	7589.61	4298.64	5594.3	9606.86
EIF3H	0.0	1.04	5255.91	2178.83	1674.06	3820.7	2935.74	4239.45	5292.48	4972.34	3303.0	2384.37	2061.24	2976.74	4419.52	6561.36	4972.34	3039.3	4095.0	1757.34	3768.09	2720.15	3874.05	4010.71	3928.15	2796.65	4152.18	6699.25	4972.34	5329.3	2451.44	3982.99	4607.24
EIF3L	8305.36	316.37	15715.58	7280.4	5672.41	11424.74	6516.03	13123.73	10585.95	16383.0	5479.15	7230.1	6037.61	10808.41	11112.3	14065.74	13586.57	10154.69	9673.69	8191.0	11112.3	7280.4	10585.95	11584.24	6471.02	9808.75	6935.54	18431.96	7081.29	16383.0	9673.69	11664.82	12415.75
ERMAP	0.0	0.06	305.55	173.85	118.43	180.02	72.01	279.14	264.03	314.17	89.51	206.94	113.56	289.02	171.45	255.0	234.57	275.28	187.71	152.28	130.6	74.58	241.19	351.14	110.43	273.37	214.27	392.44	53.19	232.94	169.07	205.5	356.05
FAM200B	0.0	0.39	813.63	291.04	384.34	295.11	679.29	1096.5	915.51	1183.45	229.72	620.67	463.65	1015.93	866.07	808.0	764.36	1225.22	571.05	836.53	532.74	595.34	514.56	1127.35	361.04	1191.69	703.28	1388.16	312.0	684.02	287.01	780.44	1191.69
GPD1L	0.0	0.29	1870.53	587.13	217.27	473.41	148.09	2664.15	1639.59	1388.16	285.03	954.43	327.56	2485.67	934.76	1340.84	2367.9	1936.53	764.36	343.89	348.71	190.34	995.0	1977.24	497.0	2047.0	1191.69	1388.16	127.89	2148.82	363.56	1250.98	2758.13
GPR89B	0.0	0.43	275.28	153.34	120.1	172.65	127.89	150.17	242.88	629.35	236.21	241.19	130.6	226.54	283.05	255.0	246.28	289.02	246.28	145.02	190.34	98.04	264.03	169.07	131.51	316.37	199.85	205.5	100.83	325.29	159.9	195.72	293.07
IGBP1	0.0	0.41	2090.03	713.11	567.1	624.99	642.59	1457.23	1242.34	1721.16	603.67	896.64	802.41	1508.65	1127.35	2075.59	1437.15	1216.75	872.1	967.76	825.0	620.67	1175.27	1540.37	543.96	1388.16	981.29	2133.97	551.56	1498.22	713.11	890.44	1769.57
ITFG3	1104.13	159.9	1733.13	1286.18	1135.2	791.35	796.86	1757.34	1540.37	2193.99	785.88	909.17	591.22	1628.26	1001.93	1977.24	1909.85	1685.71	1936.53	1437.15	1023.0	825.0	1225.22	1832.01	638.15	981.29	1096.5	1250.98	836.53	1487.87	1487.87	1037.29	1457.23
LRRC31	0.0	0.0	591.22	11.21	5.23	36.27	0.0	11.82	7.82	234.57	4.24	8.65	0.0	120.1	9.63	384.34	55.1	575.03	3.92	2.76	13.62	0.0	63.89	119.26	8.06	339.14	5.15	70.01	0.0	318.57	2.81	7.94	249.73
LYRM9	0.0	0.16	733.19	258.57	212.78	327.56	147.06	518.15	323.03	974.5	92.05	511.0	105.89	785.88	460.44	521.76	381.68	688.78	454.09	353.59	336.79	134.3	363.56	1037.29	236.21	559.28	283.05	802.41	206.94	688.78	218.79	438.59	620.67
MANBA	0.0	0.43	961.07	307.69	476.71	387.02	503.95	909.17	723.08	1037.29	185.11	547.75	412.0	941.27	620.67	896.64	1073.91	947.83	629.35	575.03	178.77	309.83	503.95	988.12	384.34	733.19	616.37	921.88	148.09	967.76	575.03	995.0	947.83
MARVELD1	0.0	0.62	860.08	638.15	454.09	525.39	457.25	896.64	928.3	1350.18	221.86	698.41	454.09	872.1	444.72	1407.55	1066.48	890.44	1286.18	503.95	579.04	379.04	1015.93	1498.22	131.51	1104.13	693.58	1313.23	131.51	995.0	656.11	1427.22	842.36
MDP1	0.0	0.3	738.29	607.87	341.51	316.37	176.29	780.44	713.11	848.22	318.57	551.56	103.69	921.88	633.73	559.28	595.34	884.29	647.07	563.18	341.51	128.79	551.56	954.43	253.23	954.43	579.04	1250.98	151.22	947.83	346.29	688.78	708.18
MRPL45	0.0	0.08	915.51	607.87	543.96	460.44	267.73	1073.91	830.75	1044.52	432.53	703.28	209.84	884.29	713.11	860.08	1015.93	796.86	780.44	438.59	412.0	170.25	713.11	848.22	353.59	748.61	698.41	1119.56	244.57	988.12	780.44	718.08	921.88
MTCP1	0.0	0.53	332.14	242.88	177.53	111.99	229.72	320.8	339.14	660.68	258.57	275.28	38.67	511.0	329.84	511.0	325.29	454.09	150.17	211.31	167.9	170.25	231.32	228.13	90.77	224.97	262.2	674.59	134.3	309.83	208.38	175.07	232.94
OARD1	0.0	0.16	660.68	384.34	444.72	312.0	264.03	954.43	723.08	909.17	289.02	665.29	187.71	638.15	444.72	684.02	679.29	748.61	559.28	551.56	269.6	228.13	616.37	703.28	285.03	860.08	603.67	915.51	283.05	769.69	376.41	493.56	723.08
OLFML3	0.0	0.6	1437.15	403.5	232.94	1295.13	339.14	1628.26	1322.37	1832.01	114.36	493.56	1191.69	2209.26	583.07	2209.26	902.89	1286.18	1008.9	61.25	1088.92	1191.69	733.19	3303.0	629.35	896.64	121.79	6164.49	25.91	1397.83	543.96	483.38	1651.0
PEX11A	0.0	0.0	303.44	114.36	106.63	108.14	39.79	175.07	228.13	336.79	87.03	142.01	75.64	346.29	190.34	346.29	265.87	395.18	162.14	138.1	61.68	78.89	224.97	215.77	87.65	262.2	139.07	267.73	91.41	293.07	102.25	241.19	143.01
PHYHD1	0.0	0.56	4419.52	974.5	417.77	521.76	249.73	3257.52	2434.5	2682.69	341.51	1175.27	94.67	5441.3	1331.57	4038.61	2271.4	4512.4	2004.85	1304.15	624.99	129.69	1498.22	9540.5	571.05	2104.58	1151.06	7180.15	27.25	6426.31	1561.89	3665.02	3742.05
PLA2G10	0.0	0.15	2319.15	172.65	27.44	258.57	361.04	764.36	563.18	967.76	55.89	429.54	12.83	599.49	563.18	1015.93	633.73	1359.57	228.13	237.86	575.03	18.03	483.38	2895.31	130.6	1617.0	651.58	1268.46	12.27	1519.15	87.65	379.04	2178.83
PMM1	0.0	0.0	4123.49	1519.15	718.08	1709.26	884.29	2682.69	1806.78	2645.74	603.67	1001.93	547.75	3820.7	1159.07	3372.43	2664.15	3257.52	1437.15	1250.98	1359.57	525.39	1769.57	5995.9	967.76	3742.05	1191.69	3039.3	435.55	3515.68	1127.35	1674.06	5954.47
POLR1D	0.0	0.97	3589.58	1936.53	1191.69	3982.99	2351.53	5147.73	3325.99	5872.48	2163.77	1674.06	796.86	3901.01	2537.92	5711.87	2875.3	3303.0	2777.33	2351.53	3467.27	1447.15	2976.74	5954.47	3325.99	2835.7	2133.97	5479.15	2434.5	3928.15	2434.5	2915.45	5076.84
PPAP2A	0.0	0.72	1674.06	384.34	339.14	1709.26	599.49	1936.53	1191.69	2061.24	281.09	500.46	866.07	1295.13	819.3	3039.3	1540.37	1709.26	1151.06	262.2	698.41	353.59	1051.79	1950.0	353.59	1268.46	447.82	2367.9	679.29	1081.39	289.02	575.03	2384.37
PPAPDC2	0.0	0.25	172.65	94.67	107.38	119.26	99.43	193.01	126.12	209.84	127.0	94.01	66.65	143.01	108.14	140.04	141.02	208.38	124.37	95.34	128.79	35.5	113.56	162.14	116.78	228.13	102.97	158.79	53.95	154.42	71.5	165.57	190.34
PROS1	0.0	0.45	4010.71	703.28	532.74	2047.0	409.15	3303.0	3540.14	2997.45	872.1	866.07	698.41	1407.55	1295.13	1651.0	3018.3	1143.1	4010.71	165.57	2796.65	312.0	738.29	1950.0	2573.36	1794.29	780.44	3349.13	444.72	2855.44	392.44	1697.45	1991.0
RD3	0.0	0.0	4.9	3.72	3.66	1.31	2.53	4.13	6.21	13.12	1.89	4.39	0.0	7.75	8.32	4.9	9.41	14.56	5.28	5.87	1.51	0.61	7.34	5.36	0.0	14.45	5.59	6.06	2.46	5.92	8.65	5.28	14.03
SEC11A	0.0	0.91	5006.93	2224.63	3325.99	2061.24	2895.31	5517.27	5292.48	9540.5	2468.49	3901.01	2485.67	3280.18	5292.48	5366.37	5219.6	4152.18	3395.89	2796.65	4388.98	1583.71	5633.22	4328.55	2287.2	5076.84	4543.8	8598.28	1909.85	5403.7	3467.27	3372.43	5183.54
SFTPB	22692.63	50709.61	3049200.37	1864037.21	800198.39	2965819.8	573724.06	1668359.93	2263304.65	1890058.21	1929772.37	1890058.21	5403.7	1813064.98	2310861.52	2343119.96	2767207.65	2691538.19	2408994.05	1503610.06	2986448.72	373.81	1877002.62	1943195.01	1514068.5	3223059.86	2845004.48	2025714.3	211455.3	5057523.59	2493947.08	3245478.02	2359417.65
SHISA2	26.67	88.88	647.07	86.43	18.7	105.15	28.24	190.34	583.07	327.56	151.22	202.66	16.15	759.08	283.05	866.07	830.75	738.29	105.89	81.14	58.71	9.7	23.93	214.27	24.46	303.44	58.3	397.93	11.55	429.54	67.59	287.01	698.41
SLC27A3	0.0	0.0	5147.73	3794.3	2047.0	2004.85	2061.24	2739.08	4736.79	4210.15	1167.14	4388.98	1051.79	8247.98	4836.35	5147.73	2502.97	6471.02	2271.4	3491.39	1216.75	532.74	2935.74	6607.01	1417.35	3372.43	2915.45	5292.48	563.18	5219.6	2224.63	3665.02	4481.23
SLC35E3	71.0	69.03	277.2	109.66	175.07	124.37	105.89	220.32	172.65	255.0	54.33	128.79	90.14	195.72	172.65	212.78	155.5	217.27	185.11	144.01	90.14	20.56	221.86	441.64	73.03	226.54	116.78	199.85	76.17	145.02	124.37	145.02	234.57
SLC41A3	0.0	0.66	1259.69	651.58	759.08	529.06	366.09	878.17	703.28	1295.13	303.44	633.73	412.0	775.05	629.35	1923.14	1242.34	791.35	1111.82	493.56	514.56	307.69	733.19	1008.9	536.45	679.29	500.46	1340.84	620.67	1127.35	599.49	665.29	1208.34
SMARCD2	1794.29	248.0	1594.73	1250.98	1208.34	1268.46	878.17	1304.15	1617.0	1781.89	518.15	1427.22	1159.07	2047.0	1151.06	1628.26	1313.23	1350.18	1519.15	1313.23	808.0	947.83	1508.65	1909.85	674.59	1447.15	1081.39	1733.13	665.29	1950.0	1519.15	1167.14	1487.87
TATDN1	0.0	0.64	688.78	563.18	447.82	450.94	246.28	785.88	813.63	1268.46	532.74	571.05	275.28	718.08	620.67	651.58	563.18	698.41	647.07	409.15	339.14	208.38	669.92	1183.45	435.55	723.08	769.69	1030.12	351.14	1023.0	559.28	825.0	813.63
TCTA	0.0	0.3	1594.73	902.89	348.71	343.89	435.55	1487.87	1388.16	1467.37	466.88	753.83	241.19	2119.22	941.27	1397.83	1233.75	1551.09	1030.12	587.13	551.56	198.47	743.43	1757.34	414.87	1175.27	974.5	2224.63	159.9	1304.15	896.64	1044.52	995.0
THAP6	0.0	0.09	204.07	173.85	169.07	170.25	128.79	218.79	185.11	256.78	111.99	155.5	151.22	197.09	156.59	205.5	158.79	201.25	239.52	256.78	258.57	122.64	197.09	241.19	175.07	204.07	195.72	175.07	111.21	181.28	98.73	197.09	214.27
THNSL2	0.0	0.31	1583.71	384.34	150.17	5.19	193.01	536.45	785.88	1119.56	139.07	423.61	159.9	961.07	830.75	507.46	305.55	624.99	791.35	165.57	265.87	159.9	447.82	1437.15	2.76	514.56	299.25	221.86	57.89	339.14	305.55	525.39	872.1
TMEM14C	0.0	0.77	5112.16	1870.53	928.3	1167.14	1286.18	5633.22	5255.91	5479.15	1457.23	2417.67	1135.2	4358.66	2520.38	3039.3	4358.66	5913.33	3325.99	1781.89	2133.97	830.75	3443.31	4450.27	1794.29	4038.61	2682.69	7032.37	723.08	4210.15	1572.76	3639.7	5403.7
TMEM25	0.0	0.46	808.0	366.09	241.19	126.12	48.18	591.22	536.45	728.11	189.02	429.54	198.47	674.59	406.31	356.05	738.29	587.13	808.0	269.6	206.94	93.35	281.09	518.15	289.02	540.19	371.22	595.34	170.25	780.44	320.8	435.55	412.0
TMEM42	0.0	0.17	718.08	303.44	224.97	71.5	262.2	748.61	384.34	595.34	123.5	417.77	186.4	642.59	363.56	575.03	547.75	842.36	470.14	490.14	226.54	201.25	273.37	651.58	124.37	507.46	551.56	896.64	301.33	575.03	237.86	420.68	684.02
TNFRSF19	0.0	0.29	403.5	708.18	368.65	123.5	47.17	1059.11	307.69	1427.22	454.09	384.34	86.43	808.0	108.14	389.72	743.43	341.51	201.25	201.25	285.03	37.32	262.2	507.46	55.49	612.11	500.46	536.45	33.54	423.61	211.31	438.59	371.22
TPRG1L	0.0	0.42	2104.58	1242.34	928.3	642.59	285.03	1733.13	1794.29	1662.49	995.0	1583.71	348.71	1883.54	1030.12	1216.75	1447.15	1551.09	1277.29	796.86	713.11	277.2	1250.98	1583.71	551.56	1529.73	1008.9	1191.69	583.07	1745.2	1135.2	1259.69	1447.15
USP46	0.0	0.32	105.15	175.07	96.68	98.04	38.4	164.42	175.07	346.29	97.36	139.07	56.28	164.42	122.64	176.29	215.77	95.34	115.16	73.03	62.56	36.53	121.79	146.03	122.64	156.59	114.36	117.6	86.43	214.27	111.21	163.28	127.0
VIPAS39	0.0	0.12	358.54	253.23	303.44	158.79	201.25	346.29	277.2	426.57	156.59	320.8	165.57	381.68	205.5	316.37	323.03	361.04	307.69	275.28	208.38	115.16	295.11	395.18	180.02	348.71	327.56	397.93	144.01	376.41	279.14	305.55	323.03
YBEY	0.0	0.27	279.14	316.37	154.42	220.32	175.07	387.02	281.09	728.11	223.41	297.17	85.22	540.19	289.02	379.04	366.09	463.65	307.69	314.17	180.02	59.13	239.52	307.69	96.01	327.56	441.64	872.1	228.13	426.57	341.51	269.6	234.57
ZBED3	0.0	0.14	312.0	166.73	100.83	140.04	56.28	265.87	195.72	409.15	55.89	208.38	63.89	293.07	154.42	334.46	201.25	283.05	113.56	85.82	98.04	39.5	231.32	242.88	92.05	307.69	242.88	316.37	35.5	264.03	104.42	251.48	273.37
ZNF174	0.0	0.0	151.22	108.14	128.79	73.03	61.68	165.57	138.1	198.47	69.03	172.65	75.64	163.28	117.6	161.02	151.22	212.78	173.85	132.44	125.24	57.08	154.42	183.82	132.44	178.77	143.01	177.53	80.57	145.02	124.37	165.57	172.65
ZNF185	356.05	161.02	651.58	450.94	120.1	170.25	170.25	612.11	540.19	708.18	258.57	297.17	92.05	961.07	575.03	260.38	607.87	480.04	246.28	108.9	171.45	197.09	366.09	848.22	503.95	759.08	563.18	830.75	35.76	1081.39	314.17	595.34	366.09
ZNF585A	0.0	0.55	136.19	178.77	125.24	109.66	262.2	403.5	490.14	500.46	59.13	226.54	135.24	624.99	241.19	624.99	241.19	384.34	195.72	177.53	71.0	195.72	221.86	291.04	95.34	201.25	186.4	379.04	167.9	379.04	190.34	239.52	271.48
ZNF610	0.0	0.21	28.86	12.36	5.96	6.31	5.77	61.25	22.1	80.01	6.21	24.11	35.0	95.34	21.94	56.28	28.45	67.12	67.59	13.03	26.67	14.56	11.38	45.85	12.55	44.89	38.95	40.64	20.56	60.82	7.11	12.74	17.64
