	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FN.11A.34R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.GI.A2C9.11A.22R.A21T.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.11VI4.0226.SM.5GU6C	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
C6	463.65	76.71	283.05	59.55	297.17	73.03	21.78	36.79	39.79	55.49	20.11	40.93	30.12	25.72	35.5	12.09	29.91	8.51	7.17	38.95	18.16	37.05
C6orf141	143.01	126.12	91.41	155.5	599.49	144.01	28.65	96.68	81.71	67.12	5.82	53.19	36.53	153.34	10.16	54.72	54.33	13.72	22.26	16.03	18.29	73.54
C7	1304.15	2573.36	2915.45	854.13	13968.57	5711.87	529.06	1662.49	5633.22	5555.65	1096.5	4575.41	808.0	1639.59	1331.57	417.77	555.41	244.57	211.31	723.08	1066.48	915.51
CARD6	163.28	271.48	244.57	221.86	265.87	256.78	142.01	206.94	241.19	198.47	114.36	139.07	126.12	167.9	130.6	119.26	123.5	155.5	127.89	128.79	163.28	161.02
CASP4	1909.85	2645.74	2032.85	2209.26	3564.78	571.05	236.21	599.49	379.04	591.22	169.07	303.44	234.57	743.43	112.77	363.56	167.9	125.24	234.57	175.07	248.0	403.5
CCRN4L	228.13	129.69	89.51	234.57	120.1	78.89	19.39	64.34	50.63	69.03	53.57	89.51	55.1	73.03	43.63	96.01	39.5	30.56	70.01	30.78	45.53	81.71
CD300A	191.67	336.79	135.24	226.54	94.01	44.57	20.41	50.27	53.95	87.03	17.25	45.53	37.59	81.71	12.55	35.5	13.22	15.45	16.75	20.56	7.88	13.03
CERS5	830.75	1242.34	1199.98	866.07	961.07	866.07	791.35	1159.07	743.43	878.17	587.13	759.08	660.68	854.13	830.75	872.1	941.27	660.68	759.08	708.18	748.61	718.08
CNKSR3	211.31	376.41	223.41	209.84	358.54	258.57	100.83	162.14	87.65	127.0	50.98	130.6	75.11	295.11	55.1	127.0	72.52	70.01	102.97	77.25	74.06	90.77
CSF2RB	187.71	301.33	102.25	176.29	571.05	63.0	18.16	39.79	62.12	65.26	10.71	28.04	27.64	49.21	11.13	20.86	18.03	18.29	12.64	33.06	10.96	32.59
CSTF2T	466.88	438.59	379.04	429.54	395.18	379.04	273.37	420.68	305.55	397.93	264.03	412.0	329.84	435.55	253.23	348.71	224.97	271.48	297.17	307.69	332.14	264.03
DARC	3847.29	8134.41	3280.18	6561.36	6516.03	514.56	232.94	307.69	1191.69	1044.52	209.84	208.38	258.57	1127.35	285.03	267.73	547.75	503.95	197.09	961.07	480.04	624.99
DEC1	3.99	7.57	0.4	2.12	0.0	2.58	0.83	0.0	0.0	0.89	0.0	1.07	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0
DENND2A	199.85	173.85	307.69	285.03	343.89	49.91	47.5	93.35	92.05	133.36	20.56	48.87	21.16	80.01	20.41	26.67	21.16	24.11	24.11	19.82	38.4	24.46
DNAJB1	2468.49	5329.3	2224.63	3768.09	2209.26	1651.0	1378.57	1583.71	1457.23	1583.71	1378.57	1819.35	1674.06	1883.54	1477.58	1697.45	1259.69	1561.89	1208.34	1313.23	1745.2	1259.69
DPF1	5.36	4.58	3.41	5.54	33.06	4.78	1.77	1.07	1.53	2.36	0.99	3.96	0.61	2.68	0.84	0.33	1.62	0.39	2.16	0.37	0.58	0.55
E2F2	27.84	15.45	10.39	13.22	21.94	17.38	5.82	4.31	4.7	14.89	3.41	17.38	6.16	3.76	3.66	8.0	1.81	3.82	7.34	3.32	0.59	6.52
ECT2L	6.78	4.5	4.98	5.45	4.17	9.78	3.66	5.11	3.63	7.75	1.97	5.68	1.81	1.66	3.59	4.43	2.63	3.79	5.41	1.43	2.76	4.66
EFNA5	543.96	483.38	403.5	194.36	387.02	159.9	35.0	121.79	81.71	93.35	10.55	35.5	12.09	100.13	18.84	61.25	25.17	15.22	21.63	3.03	6.46	34.51
EPB41L2	2004.85	1427.22	2335.28	1844.76	5831.91	1175.27	651.58	1051.79	738.29	775.05	403.5	616.37	587.13	848.22	441.64	599.49	314.17	361.04	470.14	599.49	441.64	543.96
ERG	414.87	638.15	486.75	595.34	785.88	301.33	180.02	223.41	258.57	186.4	61.25	182.55	102.25	269.6	61.68	126.12	72.52	115.97	122.64	140.04	102.97	165.57
FAM124B	37.32	116.78	76.17	35.25	131.51	31.0	23.59	31.45	34.75	31.9	10.0	19.82	7.0	26.1	25.72	17.0	10.24	25.91	24.46	6.89	14.14	13.03
FAM126A	620.67	466.88	848.22	559.28	1745.2	141.02	106.63	145.02	114.36	102.97	71.0	68.07	62.12	149.12	30.56	100.13	38.12	51.71	65.72	55.89	87.03	100.83
FAM134C	785.88	842.36	915.51	665.29	981.29	830.75	567.1	612.11	728.11	813.63	409.15	555.41	559.28	591.22	583.07	521.76	532.74	684.02	529.06	493.56	473.41	470.14
FCER1G	3190.46	6037.61	2875.3	2591.27	1159.07	974.5	412.0	529.06	808.0	1781.89	463.65	547.75	651.58	1331.57	211.31	669.92	218.79	204.07	217.27	125.24	329.84	255.0
FLI1	612.11	1111.82	503.95	665.29	1806.78	463.65	239.52	334.46	234.57	368.65	117.6	249.73	158.79	336.79	134.3	167.9	150.17	146.03	152.28	206.94	218.79	162.14
FNTB	381.68	361.04	384.34	334.46	291.04	363.56	267.73	303.44	221.86	295.11	249.73	301.33	283.05	320.8	312.0	297.17	251.48	226.54	293.07	228.13	236.21	260.38
FOXN2	318.57	185.11	197.09	248.0	486.75	172.65	103.69	110.43	163.28	149.12	45.85	65.72	82.29	120.1	59.55	102.25	42.41	111.21	59.55	91.41	78.89	101.54
FPR1	208.38	273.37	96.68	166.73	32.36	117.6	39.79	49.91	133.36	221.86	53.95	83.45	48.18	120.1	37.32	51.71	20.41	8.85	38.4	13.52	9.93	17.77
FXYD6	1277.29	1923.14	2148.82	1369.04	3124.78	2075.59	1127.35	2287.2	1191.69	2004.85	423.61	1487.87	825.0	1977.24	1066.48	1883.54	872.1	708.18	981.29	1008.9	819.3	1135.2
FYTTD1	1467.37	1015.93	1350.18	1183.45	1883.54	860.08	620.67	974.5	791.35	769.69	633.73	698.41	571.05	791.35	567.1	759.08	490.14	599.49	620.67	563.18	759.08	674.59
FZD9	5.45	13.22	8.51	18.56	1.53	11.38	8.38	11.82	7.82	17.9	1.41	5.87	1.38	9.93	3.47	7.06	6.94	1.89	2.34	3.47	5.06	2.92
GALNT16	486.75	429.54	764.36	591.22	698.41	105.89	54.72	80.01	57.89	131.51	48.87	77.25	45.21	112.77	27.44	47.17	22.43	32.59	79.45	39.79	36.27	37.32
GCC1	283.05	363.56	237.86	303.44	312.0	244.57	199.85	226.54	212.78	241.19	166.73	262.2	199.85	231.32	173.85	202.66	177.53	205.5	180.02	189.02	183.82	143.01
GEM	1870.53	2682.69	947.83	3235.01	2591.27	373.81	97.36	183.82	320.8	226.54	57.08	63.89	50.98	126.12	28.45	108.9	59.55	68.55	43.02	38.12	94.01	75.11
GIMAP5	878.17	1769.57	1037.29	1605.83	2835.7	1628.26	775.05	848.22	1340.84	1832.01	381.68	1151.06	460.44	1508.65	406.31	493.56	346.29	688.78	579.04	995.0	540.19	511.0
GMEB1	202.66	191.67	147.06	220.32	234.57	186.4	108.14	152.28	105.89	135.24	90.14	138.1	115.16	163.28	90.77	126.12	66.65	74.58	112.77	102.25	143.01	96.01
GPR1	31.22	29.7	51.35	59.97	202.66	28.86	7.0	27.05	6.94	5.59	0.0	12.83	0.0	45.85	2.07	41.81	9.78	0.57	7.88	8.06	4.94	1.87
HILPDA	872.1	283.05	392.44	198.47	493.56	166.73	149.12	151.22	176.29	189.02	170.25	191.67	125.24	193.01	187.71	157.68	166.73	121.79	155.5	113.56	126.12	166.73
HOXD3	84.63	68.07	64.8	120.94	49.56	19.68	5.32	9.7	18.29	23.08	1.75	14.45	8.38	18.03	3.29	7.34	5.73	2.1	4.7	3.29	6.16	3.53
HOXD9	140.04	346.29	108.9	212.78	88.88	41.52	24.28	14.14	29.06	46.5	4.03	16.15	6.89	28.86	1.43	17.38	18.84	1.73	3.69	2.58	4.24	2.41
HSPA13	575.03	373.81	351.14	412.0	743.43	373.81	246.28	379.04	351.14	229.72	283.05	339.14	260.38	285.03	253.23	277.2	244.57	231.32	242.88	208.38	226.54	249.73
IFI16	3146.52	5329.3	3540.14	3257.52	10368.08	1397.83	679.29	1331.57	1183.45	1322.37	563.18	595.34	463.65	1757.34	426.57	579.04	500.46	466.88	684.02	441.64	1081.39	819.3
IL15RA	346.29	713.11	665.29	713.11	305.55	202.66	212.78	212.78	397.93	417.77	228.13	241.19	158.79	293.07	191.67	206.94	120.94	148.09	218.79	147.06	226.54	255.0
IL1A	11.91	8.38	3.14	8.45	4.82	14.89	0.0	6.84	1.22	8.45	0.0	4.13	2.71	8.19	0.0	7.28	8.92	0.0	5.02	4.28	3.38	1.81
IP6K1	633.73	785.88	785.88	587.13	616.37	718.08	579.04	698.41	738.29	688.78	486.75	529.06	525.39	595.34	497.0	521.76	551.56	536.45	447.82	575.03	450.94	563.18
KBTBD11	72.01	141.02	155.5	88.26	368.65	165.57	65.26	143.01	84.63	132.44	23.76	63.89	33.78	129.69	19.39	72.01	75.64	15.45	45.85	25.72	35.0	55.89
KCTD12	2417.67	2935.74	1628.26	1844.76	4066.71	633.73	389.72	688.78	341.51	583.07	143.01	208.38	186.4	529.06	164.42	363.56	151.22	91.41	180.02	253.23	231.32	190.34
KLHL4	31.45	43.02	64.34	51.71	125.24	27.25	12.64	33.54	21.78	29.27	7.11	35.76	11.82	27.64	6.78	19.68	8.25	2.43	4.7	10.88	11.64	10.39
LAPTM5	2400.97	5711.87	2895.31	2148.82	3349.13	1745.2	1096.5	1088.92	1023.0	2287.2	518.15	1936.53	878.17	3039.3	327.56	1685.71	872.1	212.78	400.71	423.61	409.15	466.88
LYVE1	1594.73	1191.69	3124.78	2682.69	4298.64	2018.8	514.56	1119.56	785.88	1066.48	166.73	426.57	277.2	1233.75	87.65	660.68	307.69	80.57	178.77	120.1	224.97	371.22
MCTP1	507.46	441.64	303.44	583.07	723.08	58.71	37.32	47.17	60.82	55.49	19.39	28.65	33.06	75.64	21.16	21.94	20.71	29.27	32.82	34.51	49.21	51.71
METTL2B	483.38	307.69	277.2	466.88	497.0	426.57	262.2	323.03	283.05	339.14	241.19	346.29	178.77	314.17	246.28	258.57	201.25	262.2	241.19	258.57	271.48	392.44
MMRN1	825.0	1857.6	1572.76	1233.75	2816.11	2796.65	1030.12	2178.83	1467.37	1639.59	102.25	1322.37	373.81	1605.83	265.87	1175.27	848.22	88.26	242.88	267.73	371.22	624.99
MORF4L1	7911.95	9740.98	9474.59	7749.1	18560.17	9151.82	7695.57	9151.82	7485.11	7032.37	6792.79	8658.09	6983.79	7180.15	8022.41	9025.81	5751.61	6294.04	6079.61	6337.83	6792.79	6121.9
MTF1	262.2	154.42	147.06	202.66	295.11	129.69	79.45	120.1	117.6	125.24	77.79	122.64	90.14	152.28	70.51	91.41	75.11	86.43	71.5	88.88	105.15	96.01
MYCT1	490.14	785.88	507.46	567.1	981.29	236.21	189.02	441.64	242.88	165.57	83.45	223.41	128.79	277.2	96.01	269.6	115.16	112.77	136.19	150.17	173.85	258.57
NOD1	275.28	301.33	234.57	299.25	376.41	480.04	141.02	100.83	503.95	289.02	42.41	52.82	90.14	165.57	100.83	87.03	159.9	132.44	90.77	124.37	136.19	114.36
NOVA1	351.14	253.23	669.92	679.29	1216.75	164.42	51.71	46.84	133.36	118.43	36.79	82.87	22.43	109.66	144.01	51.71	96.68	70.51	33.3	38.12	38.67	31.0
NRP2	305.55	521.76	454.09	312.0	1225.22	423.61	193.01	395.18	215.77	249.73	59.97	239.52	134.3	301.33	50.63	307.69	83.45	50.98	107.38	102.25	161.02	125.24
NTN1	86.43	63.45	215.77	197.09	316.37	104.42	29.48	46.84	74.58	98.73	22.43	23.25	15.0	69.52	7.46	22.75	14.03	8.13	8.58	22.1	15.68	19.97
NXN	629.35	1051.79	928.3	642.59	854.13	363.56	162.14	384.34	341.51	480.04	112.77	486.75	119.26	420.68	202.66	187.71	281.09	88.88	249.73	132.44	159.9	143.01
OSMR	909.17	902.89	819.3	802.41	1322.37	463.65	229.72	248.0	381.68	332.14	186.4	180.02	93.35	332.14	156.59	136.19	121.79	121.79	189.02	190.34	255.0	356.05
OXGR1	60.39	69.52	35.25	189.02	285.03	23.93	1.39	19.68	7.88	12.64	2.18	10.71	4.98	18.03	2.12	2.2	5.02	0.67	2.32	2.61	5.63	7.22
PAPPA-AS1	32.82	14.14	17.77	6.36	50.63	10.08	2.12	13.03	12.36	12.36	8.99	3.69	2.71	12.36	0.31	2.78	0.0	6.01	1.77	3.53	11.38	9.63
PAX6	16.88	19.68	21.01	20.41	22.75	13.72	9.93	22.26	8.25	11.47	8.45	12.55	10.39	15.34	8.25	15.68	10.31	6.94	7.34	7.46	9.56	12.74
PCSK6	170.25	185.11	414.87	287.01	466.88	162.14	29.06	48.18	45.21	66.65	15.8	89.51	29.91	130.6	6.16	91.41	18.29	6.57	33.06	18.56	17.9	22.92
PDE2A	612.11	890.44	1044.52	1059.11	679.29	426.57	312.0	334.46	587.13	470.14	148.09	316.37	149.12	470.14	73.54	191.67	183.82	187.71	220.32	265.87	205.5	289.02
PIEZO2	212.78	105.89	332.14	69.03	555.41	61.68	33.3	59.97	36.01	30.56	4.43	22.75	22.1	39.22	0.88	32.82	14.56	4.5	16.39	2.1	4.82	19.25
PLA2G5	63.45	69.52	170.25	204.07	115.16	22.59	46.5	47.17	56.28	81.14	9.78	33.06	7.06	48.52	26.1	17.38	44.25	7.4	4.82	17.64	22.59	27.84
PLD1	423.61	301.33	356.05	334.46	1594.73	215.77	100.13	165.57	187.71	199.85	53.57	90.77	46.84	105.15	63.45	56.28	59.55	24.46	86.43	61.68	71.5	134.3
PLEKHG1	256.78	258.57	195.72	221.86	186.4	135.24	39.5	111.21	70.01	85.22	48.87	76.17	73.03	140.04	20.11	93.35	32.59	30.12	68.07	42.71	57.08	64.8
POF1B	115.97	61.68	92.05	46.84	450.94	43.32	7.28	20.86	26.86	16.63	1.68	25.54	3.79	17.38	4.06	16.03	5.77	3.23	2.84	5.32	8.13	5.23
PPP1R18	813.63	2367.9	1135.2	1242.34	1388.16	738.29	409.15	529.06	547.75	780.44	309.83	368.65	281.09	941.27	339.14	493.56	251.48	246.28	348.71	204.07	363.56	361.04
PPP1R36	32.36	38.4	36.79	39.79	87.65	31.0	15.91	20.71	14.14	27.64	7.4	22.75	8.85	33.54	16.15	5.63	5.54	27.64	11.38	20.86	22.1	26.1
PROK2	15.45	3.96	7.88	3.82	17.9	5.68	2.2	2.71	4.7	3.82	1.19	1.79	1.3	2.94	2.61	1.53	0.04	2.81	0.89	0.0	0.2	0.44
PTGER4	366.09	356.05	187.71	343.89	808.0	156.59	36.01	60.39	69.03	92.05	18.56	52.82	35.0	78.89	17.51	39.5	50.98	12.18	17.0	23.42	27.64	55.49
RBBP5	339.14	265.87	287.01	277.2	708.18	258.57	199.85	249.73	214.27	241.19	138.1	228.13	198.47	236.21	172.65	231.32	125.24	195.72	178.77	211.31	214.27	205.5
RBM7	934.76	1143.1	896.64	813.63	2090.03	660.68	414.87	587.13	571.05	444.72	275.28	514.56	429.54	466.88	397.93	529.06	318.57	339.14	307.69	339.14	486.75	320.8
RHOJ	665.29	921.88	743.43	633.73	1794.29	287.01	180.02	246.28	241.19	223.41	88.26	191.67	118.43	212.78	87.03	135.24	104.42	72.01	97.36	81.71	112.77	152.28
S1PR1	1037.29	1709.26	988.12	1081.39	1208.34	848.22	591.22	785.88	607.87	620.67	426.57	521.76	366.09	748.61	341.51	607.87	327.56	358.54	579.04	555.41	559.28	567.1
SCN3B	72.52	108.9	82.29	57.49	532.74	217.27	70.01	165.57	67.12	68.55	22.92	107.38	69.52	215.77	61.68	122.64	75.11	58.3	82.29	30.12	14.45	64.8
SCN9A	24.81	23.42	24.28	24.28	35.76	14.67	2.05	12.27	6.67	8.13	0.0	2.36	2.32	13.83	0.62	11.64	0.52	1.39	2.2	2.53	0.78	2.18
SEMA3A	123.5	59.97	83.45	23.25	500.46	68.07	27.05	92.05	37.59	37.59	7.34	54.33	17.9	57.49	2.14	71.0	10.79	3.72	14.67	13.52	3.79	27.05
SEMA6A	420.68	397.93	309.83	450.94	595.34	316.37	133.36	218.79	202.66	177.53	40.07	108.14	100.13	273.37	38.4	91.41	52.45	116.78	92.7	83.45	52.45	125.24
SIRPA	1059.11	1844.76	1487.87	1322.37	1191.69	316.37	191.67	314.17	277.2	540.19	111.21	336.79	122.64	397.93	95.34	217.27	125.24	46.18	115.97	100.13	171.45	128.79
SLCO2B1	713.11	974.5	616.37	693.58	647.07	525.39	220.32	220.32	305.55	607.87	109.66	264.03	246.28	493.56	94.01	366.09	70.01	55.1	105.89	127.89	104.42	150.17
SNIP1	239.52	265.87	211.31	246.28	236.21	190.34	162.14	195.72	165.57	198.47	143.01	182.55	167.9	205.5	149.12	191.67	132.44	140.04	154.42	155.5	186.4	164.42
SOX7	149.12	329.84	269.6	684.02	323.03	87.03	77.25	110.43	99.43	49.91	59.55	78.34	46.5	149.12	60.82	81.71	96.68	49.21	67.12	75.64	104.42	73.54
STEAP4	1111.82	1073.91	1051.79	1191.69	540.19	1950.0	708.18	928.3	591.22	1286.18	205.5	684.02	267.73	848.22	215.77	624.99	529.06	277.2	842.36	536.45	529.06	1487.87
SV2B	40.07	88.88	63.45	59.55	134.3	33.54	10.96	25.17	8.99	9.48	5.19	8.32	4.35	45.85	0.62	18.97	6.01	2.2	8.25	2.73	5.87	6.16
TAL1	100.83	201.25	131.51	130.6	110.43	154.42	88.88	121.79	103.69	92.05	19.11	86.43	36.01	165.57	39.79	108.14	42.71	42.41	47.17	53.95	55.1	106.63
TBC1D9	1487.87	1073.91	934.76	1183.45	231.32	199.85	126.12	190.34	148.09	144.01	83.45	105.89	108.9	141.02	73.54	114.36	49.56	69.52	81.71	82.29	103.69	94.01
TEAD2	830.75	967.76	791.35	954.43	420.68	307.69	231.32	248.0	336.79	283.05	152.28	176.29	77.79	285.03	139.07	131.51	142.01	127.89	212.78	148.09	155.5	131.51
TFPI	2090.03	3212.66	2796.65	2209.26	5831.91	1295.13	743.43	995.0	1030.12	1073.91	215.77	775.05	438.59	1286.18	265.87	796.86	532.74	176.29	297.17	314.17	466.88	543.96
TGFBR2	3665.02	3564.78	5633.22	4802.93	6607.01	2271.4	1498.22	1963.57	2303.12	1674.06	638.15	1242.34	1001.93	1617.0	733.19	1378.57	743.43	842.36	915.51	1127.35	1233.75	1407.55
TICAM2	108.14	125.24	146.03	71.5	181.28	74.58	58.71	41.52	57.49	65.72	49.21	68.07	38.67	84.04	59.55	50.63	61.68	44.25	53.95	53.19	44.89	51.71
TLR1	486.75	387.02	283.05	197.09	400.71	43.32	24.99	41.81	46.84	58.71	10.47	26.67	25.91	46.84	15.0	26.86	12.74	8.99	18.56	18.03	8.58	29.48
TMEM140	620.67	733.19	791.35	633.73	1066.48	262.2	221.86	253.23	521.76	450.94	108.9	248.0	212.78	332.14	135.24	228.13	124.37	180.02	137.14	162.14	166.73	217.27
TMEM41A	361.04	450.94	387.02	368.65	409.15	218.79	148.09	264.03	241.19	234.57	185.11	291.04	202.66	267.73	147.06	271.48	170.25	215.77	211.31	194.36	241.19	291.04
TMOD2	220.32	164.42	242.88	202.66	529.06	87.65	51.71	66.18	72.01	80.57	22.1	51.71	29.7	65.72	19.97	43.02	19.53	32.82	31.0	29.48	28.65	45.53
TNFRSF11A	125.24	199.85	201.25	150.17	214.27	50.63	19.97	51.35	41.52	66.18	17.38	64.8	17.38	60.82	15.91	33.3	19.82	12.64	16.03	18.29	25.35	22.26
TP53RK	329.84	395.18	289.02	299.25	327.56	244.57	171.45	262.2	214.27	234.57	191.67	312.0	193.01	237.86	226.54	253.23	232.94	180.02	215.77	173.85	251.48	232.94
TPO	78.89	204.07	85.22	211.31	57.08	645473.24	757033.75	619179.28	751804.53	828417.36	716197.51	1078054.48	687022.54	636586.81	485798.0	919186.72	1890058.21	1327240.99	875652.15	610654.84	386469.83	2111737.85
TRA2B	2976.74	3146.52	1977.24	3419.52	3146.52	2895.31	2555.58	3372.43	2835.7	2075.59	1950.0	2758.13	2163.77	2997.45	2555.58	2758.13	2434.5	2400.97	1936.53	2645.74	2935.74	2468.49
TRIB2	728.11	1151.06	780.44	836.53	769.69	669.92	376.41	723.08	318.57	486.75	164.42	273.37	246.28	555.41	175.07	400.71	153.34	166.73	351.14	283.05	249.73	351.14
TXNL4B	165.57	258.57	176.29	146.03	660.68	224.97	129.69	157.68	198.47	253.23	103.69	175.07	147.06	212.78	102.25	139.07	145.02	158.79	120.1	161.02	159.9	131.51
USP31	253.23	211.31	197.09	198.47	202.66	56.68	35.0	43.32	60.82	58.3	33.54	52.45	55.1	80.57	32.36	33.78	38.95	40.64	51.71	29.7	31.9	52.82
VAV3	684.02	490.14	909.17	466.88	571.05	139.07	63.0	316.37	92.7	98.04	16.39	146.03	111.21	170.25	41.81	111.21	79.45	148.09	52.08	72.52	117.6	91.41
ZNHIT6	381.68	406.31	371.22	368.65	896.64	305.55	251.48	406.31	248.0	244.57	186.4	256.78	229.72	314.17	215.77	285.03	234.57	206.94	229.72	246.28	277.2	239.52
