	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E9.A229.01A.31R.A157.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.E9.A1N5.11A.41R.A14D.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.56.7223.01A.11R.2045.07	TCGA.43.8115.01A.11R.2247.07	TCGA.22.4601.01A.01R.1443.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.N8.A56S.01A.11R.A28V.07
BOD1	1088.92	1088.92	1322.37	1322.37	1350.18	1407.55	915.51	1350.18	708.18	718.08	988.12	629.35	1104.13	698.41	493.56	620.67	262.2	466.88	529.06	397.93	435.55	540.19	599.49	921.88	486.75	629.35	532.74	307.69	486.75	371.22	743.43	384.34	397.93	547.75	463.65	314.17	486.75	540.19	2018.8	1322.37	896.64	1167.14	2148.82
C18orf21	529.06	529.06	579.04	529.06	497.0	525.39	638.15	444.72	435.55	555.41	575.03	358.54	460.44	373.81	368.65	373.81	226.54	329.84	353.59	285.03	244.57	277.2	447.82	473.41	260.38	194.36	208.38	212.78	318.57	186.4	334.46	267.73	271.48	279.14	303.44	108.9	325.29	348.71	713.11	642.59	470.14	429.54	854.13
C22orf23	23.76	23.76	36.01	116.78	119.26	154.42	63.0	29.27	21.01	19.53	47.5	20.11	23.59	20.11	13.52	15.11	8.06	9.13	7.51	8.45	5.77	9.56	14.14	2.46	9.48	3.89	5.77	3.32	8.25	15.11	13.22	15.0	10.88	13.03	6.94	0.03	7.28	8.19	59.55	51.35	111.99	82.29	71.5
CANT1	1844.76	1844.76	2287.2	1508.65	1119.56	1096.5	429.54	753.83	579.04	713.11	1519.15	532.74	599.49	373.81	624.99	339.14	206.94	217.27	191.67	201.25	199.85	198.47	323.03	231.32	249.73	262.2	234.57	231.32	209.84	447.82	248.0	343.89	198.47	281.09	181.28	211.31	301.33	206.94	1662.49	974.5	1001.93	1001.93	878.17
CASK	450.94	450.94	674.59	669.92	616.37	693.58	429.54	281.09	376.41	387.02	366.09	353.59	387.02	226.54	353.59	264.03	264.03	159.9	105.15	141.02	211.31	123.5	289.02	134.3	45.85	106.63	112.77	191.67	182.55	153.34	99.43	124.37	115.97	318.57	149.12	260.38	220.32	260.38	587.13	665.29	660.68	1059.11	529.06
CBL	126.12	126.12	135.24	183.82	218.79	189.02	178.77	96.01	61.68	77.25	91.41	71.0	67.12	54.72	68.07	46.18	23.25	14.03	18.16	14.67	22.26	10.55	22.59	15.0	9.41	13.83	13.72	25.35	21.94	28.24	11.73	44.25	14.78	50.27	22.43	4.03	18.56	16.63	175.07	185.11	164.42	199.85	111.21
CBX1	1628.26	1628.26	2104.58	1733.13	1397.83	1662.49	1709.26	825.0	591.22	698.41	1242.34	511.0	665.29	532.74	543.96	368.65	287.01	212.78	260.38	281.09	154.42	228.13	289.02	201.25	193.01	205.5	251.48	346.29	289.02	438.59	128.79	291.04	208.38	368.65	253.23	120.94	409.15	289.02	2758.13	1781.89	2004.85	1233.75	12589.08
CCDC137	297.17	297.17	387.02	303.44	279.14	314.17	813.63	348.71	406.31	426.57	547.75	256.78	299.25	260.38	281.09	269.6	122.64	189.02	193.01	144.01	170.25	155.5	244.57	201.25	246.28	114.36	159.9	112.77	204.07	157.68	236.21	126.12	151.22	170.25	186.4	61.25	180.02	171.45	503.95	723.08	738.29	785.88	769.69
CDKAL1	199.85	199.85	195.72	205.5	202.66	190.34	343.89	177.53	151.22	197.09	264.03	145.02	171.45	98.04	138.1	86.43	91.41	46.18	67.59	92.7	83.45	80.01	60.39	55.1	87.03	62.12	61.68	76.17	104.42	94.67	65.72	114.36	61.25	87.65	60.82	78.34	75.11	72.01	202.66	651.58	629.35	201.25	303.44
CNPY4	432.53	432.53	579.04	607.87	514.56	532.74	555.41	314.17	400.71	181.28	249.73	251.48	206.94	164.42	232.94	161.02	109.66	88.88	176.29	92.7	93.35	77.25	101.54	66.65	104.42	65.26	100.13	166.73	75.64	155.5	40.93	206.94	84.63	157.68	136.19	53.95	142.01	92.7	547.75	511.0	343.89	346.29	1159.07
CSNK1E	1991.0	1991.0	1757.34	2224.63	2796.65	2434.5	3467.27	1572.76	1551.09	1135.2	1857.6	1359.57	1639.59	941.27	1104.13	718.08	579.04	417.77	603.67	232.94	521.76	493.56	438.59	503.95	536.45	503.95	423.61	872.1	511.0	309.83	559.28	420.68	808.0	480.04	620.67	346.29	551.56	351.14	2758.13	2835.7	4210.15	3325.99	2664.15
CSNK1G1	167.9	167.9	295.11	191.67	204.07	195.72	143.01	58.71	58.3	74.58	102.97	67.12	77.79	55.89	78.34	44.89	41.52	14.89	34.02	24.63	32.13	22.1	27.64	18.97	30.12	21.78	23.08	18.43	26.1	39.22	38.67	21.16	18.43	33.78	23.25	16.39	14.24	16.88	262.2	197.09	264.03	176.29	117.6
DAGLA	70.01	70.01	87.65	101.54	111.21	161.02	77.79	94.01	33.3	24.81	90.14	16.88	60.82	26.47	44.25	20.56	6.89	2.46	2.1	5.54	4.78	3.32	12.27	2.58	1.95	9.13	4.46	4.28	4.31	9.06	4.46	11.38	4.43	5.59	5.32	0.03	3.06	4.78	204.07	60.39	33.78	264.03	107.38
DAXX	1008.9	1008.9	1628.26	1286.18	1167.14	1250.98	2178.83	934.76	981.29	981.29	1216.75	1030.12	1037.29	624.99	808.0	693.58	262.2	387.02	412.0	318.57	368.65	224.97	412.0	332.14	361.04	381.68	348.71	400.71	356.05	366.09	295.11	438.59	262.2	503.95	358.54	232.94	591.22	248.0	1331.57	1151.06	1674.06	1059.11	1015.93
DNM1L	563.18	563.18	1051.79	902.89	1030.12	884.29	1844.76	559.28	432.53	540.19	595.34	551.56	432.53	376.41	483.38	323.03	218.79	152.28	180.02	175.07	110.43	198.47	209.84	191.67	91.41	105.89	132.44	295.11	305.55	211.31	193.01	305.55	314.17	256.78	208.38	55.49	185.11	183.82	1088.92	947.83	928.3	1359.57	1183.45
DSCC1	151.22	151.22	108.14	105.89	49.56	115.97	239.52	113.56	45.53	83.45	92.05	64.8	40.64	25.72	114.36	20.41	17.64	7.22	17.51	5.45	4.46	14.24	21.63	10.88	7.17	10.16	11.13	12.64	14.45	16.88	12.27	23.76	9.06	23.93	10.79	1.68	7.57	13.32	297.17	159.9	103.69	217.27	211.31
DUSP7	249.73	249.73	181.28	429.54	320.8	438.59	389.72	248.0	241.19	158.79	305.55	236.21	205.5	175.07	264.03	110.43	73.03	79.45	99.43	91.41	85.82	32.59	80.57	80.01	62.12	98.73	80.57	66.65	123.5	84.04	84.04	195.72	41.22	82.29	102.25	24.99	95.34	83.45	159.9	397.93	454.09	231.32	591.22
EDC3	518.15	518.15	642.59	536.45	476.71	563.18	802.41	293.07	283.05	318.57	503.95	277.2	332.14	241.19	275.28	185.11	165.57	249.73	221.86	191.67	146.03	144.01	149.12	221.86	171.45	126.12	260.38	145.02	173.85	190.34	281.09	134.3	211.31	148.09	187.71	114.36	202.66	144.01	780.44	540.19	808.0	575.03	703.28
EDIL3	277.2	277.2	441.64	186.4	226.54	180.02	277.2	60.82	194.36	45.21	147.06	86.43	38.67	127.89	115.97	10.63	29.48	2.03	5.11	2.16	5.02	0.52	8.58	2.81	0.09	7.57	1.13	16.27	8.19	14.56	1.0	9.7	9.63	8.38	3.99	1.25	3.08	0.57	127.89	802.41	248.0	656.11	718.08
EIF1AD	607.87	607.87	703.28	555.41	540.19	532.74	599.49	669.92	476.71	409.15	463.65	379.04	500.46	327.56	389.72	371.22	232.94	285.03	249.73	273.37	215.77	228.13	387.02	348.71	232.94	244.57	295.11	211.31	249.73	264.03	351.14	241.19	281.09	281.09	271.48	208.38	271.48	281.09	547.75	620.67	748.61	808.0	981.29
EXOC2	435.55	435.55	785.88	414.87	457.25	314.17	379.04	271.48	224.97	397.93	432.53	242.88	314.17	181.28	414.87	183.82	128.79	206.94	88.88	96.01	75.64	102.25	171.45	135.24	116.78	132.44	202.66	161.02	228.13	221.86	100.83	197.09	125.24	201.25	110.43	127.0	141.02	120.1	348.71	389.72	460.44	301.33	356.05
FHL3	713.11	713.11	348.71	775.05	642.59	764.36	1216.75	525.39	599.49	237.86	536.45	490.14	409.15	228.13	435.55	152.28	112.77	129.69	111.99	142.01	147.06	104.42	223.41	177.53	169.07	180.02	176.29	181.28	224.97	79.45	145.02	130.6	152.28	271.48	115.16	190.34	202.66	161.02	303.44	693.58	854.13	718.08	660.68
FNTB	429.54	429.54	476.71	400.71	397.93	397.93	255.0	309.83	279.14	212.78	258.57	191.67	258.57	223.41	253.23	217.27	224.97	127.89	191.67	114.36	73.03	137.14	187.71	122.64	103.69	71.5	92.7	111.99	136.19	151.22	183.82	118.43	135.24	157.68	110.43	161.02	152.28	115.16	267.73	432.53	242.88	500.46	414.87
GATSL2	34.02	34.02	55.89	38.4	63.0	34.02	36.01	28.86	3.96	20.56	39.79	34.51	62.56	6.84	23.42	8.51	7.22	5.54	13.32	1.39	8.71	6.94	3.72	8.85	0.0	0.0	6.16	6.31	1.58	15.56	17.51	5.11	3.44	12.55	7.34	0.0	0.0	3.59	134.3	31.67	116.78	253.23	32.13
GDPD1	42.11	42.11	108.14	63.0	89.51	54.72	50.63	68.07	42.41	81.14	173.85	47.17	29.27	30.56	87.65	25.35	19.68	5.02	22.59	17.64	9.78	37.32	16.63	4.58	21.01	1.71	14.78	10.0	14.24	22.43	21.32	18.56	13.93	26.1	22.1	10.47	11.13	9.2	151.22	69.03	82.29	79.45	103.69
GNA12	579.04	579.04	1119.56	1001.93	921.88	785.88	1378.57	825.0	444.72	363.56	620.67	708.18	426.57	343.89	376.41	305.55	182.55	176.29	131.51	90.77	65.72	242.88	249.73	241.19	135.24	112.77	114.36	133.36	197.09	224.97	164.42	132.44	115.16	178.77	127.89	246.28	115.97	146.03	473.41	1104.13	476.71	1427.22	921.88
GOSR2	1159.07	1159.07	1359.57	1268.46	1295.13	1104.13	2367.9	1081.39	909.17	1096.5	1794.29	1030.12	878.17	884.29	1199.98	909.17	466.88	555.41	420.68	435.55	423.61	651.58	860.08	587.13	483.38	500.46	476.71	389.72	674.59	848.22	511.0	603.67	595.34	743.43	409.15	438.59	490.14	616.37	1295.13	1104.13	1277.29	1081.39	2701.35
GPC2	34.02	34.02	64.34	48.87	58.71	111.99	275.28	20.26	29.27	21.78	22.59	16.39	17.64	0.0	11.64	8.38	4.28	2.46	2.58	3.72	1.51	0.01	0.0	0.84	2.2	0.0	3.23	2.34	2.81	1.45	1.19	3.06	7.88	15.45	7.82	0.0	1.79	0.06	103.69	159.9	56.68	231.32	995.0
GPD1L	438.59	438.59	521.76	660.68	921.88	995.0	242.88	148.09	94.67	100.83	148.09	80.01	49.21	79.45	149.12	61.25	69.52	7.88	63.89	12.09	23.42	10.31	27.05	23.93	13.22	6.31	20.41	61.68	43.94	32.82	10.08	68.07	12.64	39.5	41.81	9.2	36.79	54.72	92.7	167.9	135.24	173.85	237.86
GRPEL2	141.02	141.02	226.54	176.29	180.02	171.45	195.72	123.5	126.12	108.9	305.55	140.04	149.12	115.16	147.06	82.29	40.93	58.71	75.64	51.35	42.41	55.49	94.01	51.71	59.97	48.87	55.1	47.17	63.0	52.08	53.19	53.95	36.27	74.58	63.0	17.77	47.5	46.5	525.39	228.13	223.41	185.11	232.94
HIF1AN	450.94	450.94	633.73	543.96	563.18	500.46	387.02	291.04	199.85	176.29	232.94	212.78	218.79	164.42	199.85	172.65	79.45	55.1	130.6	88.26	82.87	133.36	118.43	134.3	80.57	102.97	96.01	111.99	96.01	163.28	111.99	92.05	74.06	164.42	81.14	42.41	84.04	59.13	463.65	368.65	497.0	532.74	329.84
HMGN4	1639.59	1639.59	1508.65	1407.55	1477.58	1617.0	1769.57	785.88	748.61	848.22	1081.39	595.34	728.11	490.14	612.11	426.57	190.34	215.77	329.84	136.19	136.19	291.04	262.2	332.14	195.72	85.82	426.57	248.0	249.73	269.6	229.72	211.31	55.49	303.44	201.25	124.37	151.22	185.11	1259.69	1662.49	2573.36	563.18	1242.34
HMGXB3	432.53	432.53	551.56	555.41	638.15	638.15	450.94	389.72	356.05	368.65	371.22	381.68	316.37	241.19	366.09	183.82	98.73	119.26	106.63	105.15	88.88	128.79	111.99	166.73	88.88	107.38	116.78	181.28	102.97	79.45	167.9	122.64	152.28	111.21	86.43	78.89	76.17	83.45	633.73	438.59	460.44	967.76	753.83
HUWE1	1427.22	1427.22	1651.0	1883.54	1883.54	2104.58	2502.97	1313.23	1127.35	1191.69	1561.89	1073.91	1044.52	1008.9	1143.1	909.17	521.76	896.64	1059.11	679.29	743.43	583.07	603.67	575.03	753.83	713.11	842.36	791.35	915.51	796.86	872.1	921.88	688.78	759.08	733.19	260.38	684.02	483.38	2032.85	1639.59	2319.15	3395.89	1781.89
IMPDH1	1081.39	1081.39	1167.14	921.88	915.51	583.07	2061.24	289.02	329.84	420.68	353.59	289.02	157.68	167.9	255.0	204.07	62.56	41.22	71.0	18.7	39.79	34.51	86.43	32.59	80.57	90.14	28.45	141.02	65.26	145.02	98.04	126.12	61.25	77.25	77.25	24.99	61.25	18.29	1498.22	1135.2	934.76	1896.65	1340.84
KCTD10	723.08	723.08	1030.12	1023.0	1295.13	995.0	954.43	476.71	454.09	299.25	503.95	403.5	301.33	366.09	373.81	258.57	185.11	87.65	157.68	68.55	108.9	76.71	175.07	85.82	115.97	189.02	112.77	211.31	217.27	120.1	88.88	175.07	221.86	194.36	140.04	144.01	134.3	87.03	748.61	941.27	872.1	854.13	698.41
LDB1	1159.07	1159.07	1561.89	1191.69	1529.73	1551.09	1561.89	674.59	665.29	395.18	780.44	476.71	563.18	395.18	575.03	403.5	295.11	208.38	343.89	217.27	332.14	178.77	267.73	476.71	303.44	392.44	400.71	435.55	232.94	260.38	493.56	403.5	320.8	466.88	348.71	137.14	275.28	220.32	1008.9	1457.23	2018.8	1378.57	2367.9
LLGL1	486.75	486.75	267.73	454.09	438.59	514.56	543.96	120.1	145.02	106.63	218.79	117.6	82.87	105.89	104.42	77.25	31.67	22.92	45.53	22.92	36.27	38.12	41.22	28.65	24.99	27.44	40.93	36.01	63.45	73.03	52.08	64.34	10.96	50.98	29.06	9.41	22.43	19.53	387.02	318.57	514.56	563.18	470.14
LOXL2	616.37	616.37	1487.87	638.15	444.72	896.64	1073.91	175.07	466.88	137.14	381.68	397.93	226.54	170.25	371.22	71.5	52.08	24.11	40.36	20.11	12.93	13.42	42.41	30.56	11.04	23.08	18.43	75.11	38.12	28.04	37.32	93.35	63.89	38.67	28.86	40.64	30.12	16.51	334.46	1286.18	193.01	1286.18	559.28
LRRC69	37.32	37.32	22.92	33.06	30.12	21.94	81.14	55.49	30.12	45.21	32.59	17.38	18.29	20.11	130.6	9.41	16.63	3.99	8.85	6.26	6.21	2.1	13.83	8.92	9.41	0.45	13.52	2.23	29.06	7.82	7.51	1.28	11.91	15.68	4.21	0.0	17.77	2.61	62.12	43.02	35.0	132.44	16.39
MAP3K9	67.12	67.12	58.71	69.52	75.64	43.63	51.35	19.39	31.45	23.08	26.67	18.7	49.91	27.05	28.45	13.72	8.99	7.34	9.7	10.08	17.25	3.99	9.13	7.17	5.28	12.93	9.93	9.78	7.22	8.19	14.89	5.92	14.89	7.88	16.15	2.1	6.16	6.73	144.01	73.54	121.79	143.01	29.91
MCM3AP	1104.13	1104.13	1051.79	1023.0	1167.14	1104.13	1397.83	934.76	775.05	656.11	1015.93	633.73	848.22	808.0	813.63	624.99	400.71	454.09	830.75	438.59	743.43	358.54	460.44	587.13	454.09	400.71	426.57	612.11	599.49	435.55	915.51	567.1	417.77	575.03	514.56	228.13	493.56	379.04	947.83	1119.56	967.76	1388.16	1151.06
METTL4	146.03	146.03	183.82	162.14	190.34	161.02	234.57	130.6	111.21	183.82	185.11	108.14	137.14	98.04	93.35	92.7	84.63	45.85	61.68	42.11	43.63	37.85	105.89	60.39	61.25	41.52	58.3	63.89	77.79	70.01	42.41	34.51	59.97	76.71	44.89	36.79	52.82	88.88	327.56	149.12	193.01	223.41	164.42
MFAP1	738.29	738.29	1037.29	842.36	802.41	698.41	693.58	457.25	389.72	371.22	620.67	371.22	457.25	373.81	447.82	371.22	228.13	201.25	195.72	232.94	152.28	175.07	267.73	249.73	214.27	180.02	226.54	208.38	206.94	376.41	231.32	249.73	180.02	228.13	214.27	138.1	236.21	214.27	1617.0	629.35	688.78	669.92	698.41
MICALL1	397.93	397.93	205.5	503.95	470.14	780.44	423.61	228.13	251.48	154.42	371.22	209.84	248.0	202.66	185.11	138.1	98.04	90.14	54.33	96.68	32.13	71.0	120.1	170.25	49.56	91.41	153.34	64.34	84.04	119.26	64.34	106.63	62.56	74.06	75.11	63.45	85.82	64.34	373.81	733.19	941.27	486.75	470.14
MRE11A	242.88	242.88	204.07	361.04	376.41	435.55	303.44	159.9	154.42	139.07	205.5	129.69	96.01	72.01	121.79	114.36	61.25	62.12	77.25	31.0	75.11	47.17	33.54	24.28	20.56	36.01	57.49	74.58	38.12	27.05	41.22	106.63	36.53	63.89	136.19	49.21	121.79	26.47	318.57	301.33	248.0	432.53	395.18
MTA2	1199.98	1199.98	1561.89	1572.76	1369.04	1407.55	1832.01	921.88	967.76	1015.93	967.76	884.29	753.83	775.05	775.05	647.07	493.56	521.76	521.76	511.0	414.87	307.69	579.04	441.64	371.22	591.22	514.56	486.75	603.67	450.94	490.14	532.74	612.11	473.41	587.13	273.37	547.75	395.18	1359.57	2061.24	1883.54	1477.58	1313.23
NAT9	540.19	540.19	688.78	693.58	738.29	785.88	1183.45	791.35	785.88	612.11	1191.69	669.92	703.28	518.15	723.08	525.39	293.07	438.59	368.65	336.79	334.46	242.88	414.87	293.07	384.34	260.38	395.18	236.21	444.72	223.41	497.0	218.79	297.17	320.8	454.09	170.25	358.54	341.51	1427.22	890.44	785.88	825.0	1191.69
NDST2	406.31	406.31	432.53	435.55	511.0	483.38	532.74	400.71	323.03	231.32	323.03	301.33	289.02	215.77	232.94	195.72	131.51	98.73	146.03	145.02	145.02	109.66	114.36	119.26	103.69	150.17	127.89	218.79	122.64	136.19	156.59	212.78	133.36	155.5	96.68	51.71	121.79	97.36	255.0	457.25	450.94	423.61	260.38
NELFE	1529.73	1529.73	1674.06	1594.73	1685.71	1745.2	2255.7	1286.18	2193.99	1286.18	2287.2	1268.46	2468.49	1119.56	2090.03	934.76	529.06	669.92	967.76	1111.82	802.41	753.83	665.29	1417.35	748.61	1359.57	808.0	902.89	620.67	642.59	743.43	733.19	909.17	518.15	854.13	693.58	836.53	595.34	2485.67	2133.97	2609.3	2451.44	3540.14
NIPA2	775.05	775.05	909.17	791.35	647.07	679.29	769.69	624.99	480.04	406.31	769.69	587.13	567.1	400.71	583.07	409.15	217.27	265.87	177.53	289.02	199.85	218.79	332.14	223.41	212.78	376.41	279.14	262.2	371.22	379.04	172.65	412.0	187.71	316.37	273.37	283.05	297.17	312.0	1417.35	909.17	808.0	813.63	884.29
PBX2	1001.93	1001.93	1277.29	1127.35	1322.37	1313.23	2739.08	1447.15	1427.22	656.11	1467.37	878.17	1883.54	738.29	1143.1	728.11	417.77	470.14	884.29	540.19	713.11	256.78	575.03	373.81	521.76	703.28	432.53	525.39	791.35	536.45	579.04	1242.34	483.38	928.3	674.59	301.33	854.13	329.84	1721.16	1427.22	1769.57	2104.58	2434.5
PCGF3	514.56	514.56	1119.56	624.99	647.07	660.68	819.3	642.59	559.28	423.61	791.35	511.0	532.74	389.72	423.61	267.73	172.65	314.17	221.86	277.2	312.0	180.02	204.07	320.8	170.25	96.01	191.67	265.87	435.55	117.6	246.28	237.86	164.42	303.44	295.11	120.94	273.37	301.33	674.59	642.59	1073.91	872.1	728.11
