	GTEX.U3ZN.1226.SM.4DXUD	GTEX.SNMC.0826.SM.4DM66	TCGA.GU.A42P.01A.11R.A23W.07	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.UY.A78K.01A.11R.A33J.07	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.GV.A40G.01A.11R.A23N.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.FD.A62P.01A.32R.A30C.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.ZF.A9R3.01A.11R.A38B.07	TCGA.4Z.AA89.01A.11R.A39I.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A5BR.01A.11R.A26T.07	TCGA.XF.A9SK.01A.11R.A42T.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.FD.A3SL.01A.21R.A22U.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.DK.A1AF.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.K4.A83P.01A.11R.A352.07	TCGA.G2.AA3D.01A.11R.A39I.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.4Z.AA80.01A.11R.A39I.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.2F.A9KP.01A.11R.A38B.07	TCGA.CF.A27C.01A.11R.A16R.07	TCGA.E7.A85H.01A.11R.A352.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.GD.A2C5.01A.12R.A180.07	TCGA.ZF.A9RM.01A.11R.A38B.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.GC.A3RD.01A.12R.A22U.07	TCGA.E7.A6MD.01A.41R.A352.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.CF.A1HR.01A.11R.A13Y.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.K4.A3WV.11A.21R.A22U.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.ZVZQ.0826.SM.51MRF	GTEX.YJ8O.2226.SM.5IFHW	GTEX.146FH.0826.SM.5SI8T	TCGA.DS.A1OD.01A.11R.A14Y.07	GTEX.XUJ4.1526.SM.4BONU	GTEX.13W3W.1426.SM.5LU56
CXorf21	65.72	57.08	1.19	1.69	32.59	1.64	0.0	0.87	1.38	6.67	12.55	2.76	0.34	1.08	48.87	23.42	10.39	15.22	3.99	0.59	54.33	8.19	1.38	8.78	0.0	12.09	11.64	16.75	14.24	6.84	18.56	1.22	8.71	12.74	51.35	3.63	19.53	4.1	88.26	3.69	4.46	2.71	16.15	34.02	5.92	1.55	2.43	6.73	5.15	13.32	0.31	0.0	10.47	8.58	18.7	2.76	0.0	10.31	6.67	33.54	23.08	0.91	4.1	23.93	42.41	11.04	0.29	0.66	8.99	23.08	3.5	8.51	9.63	6.46	86.43	145.02	21.01	171.45	24.99	19.97	30.56
CYBB	466.88	341.51	18.97	24.11	236.21	23.25	8.38	3.82	19.68	47.84	70.51	17.38	5.96	10.96	412.0	336.79	137.14	55.49	24.46	14.24	507.46	45.21	14.89	85.82	3.2	145.02	159.9	220.32	92.7	27.84	199.85	12.93	90.14	139.07	559.28	53.95	287.01	29.27	819.3	27.84	22.59	21.32	96.01	297.17	48.87	11.64	17.0	256.78	41.22	101.54	8.19	40.93	96.68	60.82	175.07	9.93	7.28	138.1	66.65	665.29	260.38	16.39	30.12	334.46	1923.14	73.03	16.15	5.87	76.17	176.29	23.93	43.32	183.82	50.98	753.83	1561.89	361.04	4937.99	232.94	199.85	476.71
CYTH4	713.11	138.1	5.11	37.32	264.03	28.04	14.67	2.07	17.9	31.67	102.97	31.9	6.94	3.89	151.22	121.79	57.49	55.49	19.11	7.28	334.46	48.87	11.04	41.81	7.51	81.71	137.14	208.38	76.71	31.0	87.65	12.93	41.81	77.25	180.02	36.01	100.13	43.94	400.71	27.64	28.65	9.34	34.75	164.42	24.46	7.51	12.0	68.55	52.08	82.29	1.85	10.31	85.82	55.49	107.38	11.73	6.62	50.63	52.82	249.73	141.02	15.11	52.45	145.02	669.92	38.95	3.96	17.13	33.78	140.04	25.17	40.07	90.77	62.12	339.14	656.11	155.5	1096.5	212.78	158.79	148.09
DOCK10	373.81	88.88	9.48	29.7	143.01	15.0	11.55	4.62	14.67	21.01	35.0	6.26	14.56	6.84	108.9	100.83	53.19	128.79	15.68	8.65	155.5	42.71	9.93	33.06	1.28	14.78	82.87	59.13	56.28	28.65	132.44	11.3	43.32	66.65	152.28	20.71	61.25	37.59	417.77	27.05	15.22	10.63	64.8	110.43	28.65	7.82	9.48	57.49	47.84	77.79	4.21	22.59	53.19	37.05	43.63	9.56	6.57	32.36	41.81	112.77	162.14	8.13	13.03	56.28	346.29	34.02	5.87	11.55	28.04	106.63	7.46	27.64	47.5	53.19	156.59	293.07	329.84	341.51	251.48	226.54	244.57
DOCK2	612.11	113.56	7.75	27.84	273.37	13.42	12.64	1.2	23.59	31.9	54.33	17.64	6.26	7.4	181.28	117.6	81.14	41.52	25.17	4.94	353.59	68.55	13.12	50.27	5.96	49.91	164.42	134.3	92.7	33.06	134.3	15.56	46.84	63.89	231.32	25.72	108.9	40.07	703.28	30.34	17.64	24.46	22.75	169.07	20.26	7.51	14.78	72.52	38.4	73.03	5.15	17.38	88.26	39.22	85.22	15.68	7.57	67.59	45.85	241.19	119.26	17.77	32.13	118.43	575.03	44.57	5.87	8.13	32.36	154.42	13.42	51.71	69.03	53.57	224.97	409.15	58.3	974.5	258.57	156.59	204.07
EVI2A	563.18	143.01	10.71	24.11	314.17	16.39	7.34	2.07	13.72	51.71	63.0	28.65	11.13	12.83	206.94	187.71	117.6	49.91	16.03	3.79	366.09	68.55	8.32	40.36	12.18	43.94	146.03	158.79	94.67	55.89	166.73	11.04	71.5	96.68	325.29	30.34	131.51	40.64	743.43	26.47	24.46	24.11	35.76	185.11	14.67	5.36	12.93	81.71	33.3	108.9	4.24	14.67	128.79	36.01	98.73	12.0	7.88	55.1	82.87	242.88	134.3	13.32	45.21	204.07	679.29	44.89	3.66	11.64	47.17	198.47	19.25	61.68	120.94	72.52	217.27	373.81	59.13	656.11	599.49	111.99	236.21
EVI2B	780.44	201.25	8.65	32.82	503.95	18.29	18.56	8.38	14.14	37.32	79.45	28.65	9.85	9.06	297.17	145.02	111.99	72.01	24.11	5.82	500.46	118.43	23.93	57.89	15.56	83.45	246.28	122.64	152.28	60.39	186.4	14.67	72.52	98.04	429.54	44.25	157.68	50.98	1023.0	34.26	42.11	28.04	40.64	293.07	20.26	9.7	22.43	126.12	71.0	108.14	7.57	12.27	153.34	50.63	115.97	20.26	16.75	87.65	78.89	305.55	181.28	23.25	71.0	189.02	791.35	60.82	3.96	18.29	43.94	258.57	21.16	80.01	96.68	84.04	273.37	669.92	52.08	529.06	620.67	221.86	351.14
FAM78A	152.28	85.82	12.64	26.28	140.04	12.09	6.31	3.76	14.35	14.03	31.22	25.72	5.23	17.0	115.16	44.57	32.59	24.81	8.32	10.08	133.36	28.04	9.93	16.63	7.46	44.57	58.3	87.65	52.82	39.79	47.17	22.1	19.68	48.52	97.36	21.01	36.79	31.9	211.31	18.43	9.7	8.45	44.57	63.0	18.7	10.88	12.55	26.28	33.54	37.85	3.92	9.85	57.08	24.28	37.32	8.92	7.22	32.36	30.34	69.52	64.8	13.52	21.63	52.82	215.77	26.28	5.28	10.31	11.64	60.39	9.41	27.25	60.39	29.06	81.71	108.14	56.68	169.07	118.43	54.72	32.36
GPR34	132.44	56.28	3.29	9.2	70.01	8.19	6.67	1.48	7.22	17.9	37.05	19.39	3.63	7.63	119.26	42.71	38.12	25.17	8.06	3.79	152.28	7.94	7.57	8.92	2.53	28.86	53.19	63.45	20.11	21.47	85.82	4.03	26.28	57.89	164.42	9.93	87.03	15.45	135.24	12.09	10.39	4.39	36.53	73.54	15.45	3.79	10.39	35.25	9.7	35.0	3.03	10.55	31.0	26.47	81.14	3.72	2.97	19.97	12.09	36.79	30.78	8.78	6.73	76.17	819.3	44.25	2.81	1.33	17.51	40.64	29.48	21.16	59.97	42.11	759.08	860.08	620.67	1208.34	82.87	88.26	267.73
GPR65	126.12	72.52	1.2	35.5	78.89	1.99	3.0	2.32	7.17	14.89	21.32	8.65	1.0	2.46	65.72	57.08	32.13	13.52	9.85	1.46	94.67	19.11	3.44	9.2	16.27	16.51	38.95	48.87	47.84	12.64	36.53	1.85	21.01	31.67	69.52	8.25	38.12	10.39	150.17	6.21	12.74	5.45	16.51	40.07	10.96	1.58	6.41	21.01	7.4	24.81	1.83	3.08	20.71	18.7	23.42	6.73	3.92	15.68	14.03	81.14	46.5	7.82	11.13	48.18	185.11	13.93	2.78	6.73	11.91	36.01	5.5	13.12	18.7	13.62	134.3	137.14	28.45	258.57	139.07	46.5	28.24
IGSF6	228.13	218.79	13.93	29.91	236.21	19.53	23.08	6.67	28.04	31.67	62.56	17.0	10.79	24.28	287.01	94.67	87.65	55.49	15.11	6.94	87.65	19.53	16.39	52.45	7.46	95.34	65.72	71.0	43.32	20.71	301.33	20.11	46.18	71.0	205.5	25.35	177.53	33.3	303.44	10.24	21.47	21.47	59.55	148.09	64.34	7.51	14.35	73.03	30.34	70.51	8.71	10.88	129.69	52.45	91.41	12.0	25.35	135.24	37.05	215.77	175.07	20.41	15.0	173.85	854.13	41.81	5.02	13.22	66.18	78.89	57.49	35.0	62.56	45.85	409.15	860.08	118.43	269.6	214.27	32.82	142.01
IL10RA	842.36	264.03	10.16	41.22	363.56	27.44	46.84	17.64	19.25	61.68	90.77	32.82	17.38	10.96	249.73	214.27	110.43	68.07	18.03	13.93	450.94	64.34	17.25	59.13	7.88	81.14	244.57	260.38	148.09	93.35	166.73	18.43	88.88	108.14	412.0	40.36	147.06	75.64	902.89	32.59	40.36	24.81	39.79	273.37	19.97	11.91	30.12	94.01	42.41	99.43	12.36	30.56	152.28	60.82	158.79	18.56	10.55	74.06	92.7	332.14	201.25	15.8	52.08	129.69	954.43	40.36	8.99	20.56	43.32	163.28	37.05	81.71	89.51	77.79	403.5	728.11	104.42	540.19	470.14	277.2	248.0
IL18RAP	54.72	18.29	1.48	9.06	35.25	2.94	1.33	0.0	7.51	5.11	12.55	4.5	1.97	1.64	15.34	19.68	9.93	2.48	2.16	0.59	25.35	5.63	2.73	2.97	2.18	5.63	15.68	10.71	8.0	7.63	3.14	0.62	4.98	2.89	41.81	3.96	6.06	6.31	19.82	4.03	1.39	3.0	2.84	6.41	4.17	1.87	0.93	11.64	2.61	3.63	1.5	5.73	7.69	15.22	8.58	3.06	5.19	6.26	7.06	37.85	15.34	0.32	1.28	5.06	38.12	3.2	1.95	2.58	3.23	10.31	0.4	5.23	9.06	8.51	5.96	19.11	4.43	12.45	71.5	37.85	52.45
ITGAM	206.94	62.12	6.26	61.68	59.55	10.24	6.06	2.36	14.14	13.22	50.63	11.82	20.26	10.63	96.68	170.25	27.05	45.21	13.32	6.67	128.79	31.22	11.04	16.03	1.6	57.08	37.32	137.14	31.22	19.39	76.71	7.4	64.8	76.17	190.34	23.42	62.12	26.86	291.04	12.74	12.83	3.89	28.45	92.7	17.9	8.45	8.06	59.55	17.9	50.98	0.95	5.87	34.75	14.24	42.41	9.63	4.31	39.79	28.04	248.0	88.88	2.18	21.01	84.63	429.54	34.51	2.27	14.56	50.27	98.04	8.71	19.11	83.45	15.8	234.57	473.41	146.03	1151.06	633.73	249.73	220.32
ITGAX	122.64	190.34	6.62	21.47	157.68	40.07	16.63	0.92	32.82	37.05	129.69	40.36	10.88	18.03	125.24	218.79	54.33	57.49	13.72	8.99	172.65	28.04	14.45	105.15	6.01	113.56	133.36	241.19	80.57	42.71	161.02	21.16	53.57	150.17	318.57	41.22	83.45	44.25	450.94	55.49	59.97	13.93	47.17	165.57	38.4	8.51	10.24	120.1	48.87	57.49	3.99	9.27	72.52	39.5	46.5	24.11	3.35	95.34	99.43	325.29	140.04	6.73	35.5	122.64	289.02	48.87	9.27	13.93	147.06	115.16	66.18	53.57	138.1	37.32	151.22	346.29	54.33	77.25	198.47	55.89	130.6
LAIR1	848.22	336.79	16.51	85.82	379.04	40.64	105.89	17.13	48.52	98.73	186.4	62.56	26.86	26.47	579.04	336.79	241.19	73.54	40.36	12.55	759.08	118.43	26.28	124.37	10.71	171.45	253.23	435.55	140.04	69.52	409.15	52.82	118.43	283.05	497.0	77.25	351.14	64.34	941.27	43.94	47.17	31.0	136.19	414.87	87.03	18.16	22.26	223.41	54.33	171.45	9.7	22.26	186.4	100.83	228.13	35.5	19.11	180.02	120.1	651.58	314.17	28.86	56.68	412.0	2178.83	88.26	56.28	23.08	139.07	277.2	61.68	77.25	395.18	120.1	1870.53	1457.23	1268.46	3303.0	435.55	180.02	395.18
LAT2	463.65	218.79	20.71	38.67	265.87	28.04	38.4	13.93	47.5	63.45	78.34	44.25	18.03	36.27	181.28	172.65	69.03	61.68	40.64	17.38	412.0	80.01	26.47	59.55	16.51	102.97	162.14	241.19	127.0	61.68	194.36	19.82	69.03	78.89	221.86	60.39	153.34	59.55	684.02	51.35	47.17	19.11	65.72	204.07	46.5	65.26	27.84	124.37	38.95	114.36	14.45	30.12	88.88	47.17	140.04	27.05	14.78	92.7	56.68	281.09	157.68	44.25	67.12	198.47	444.72	76.71	21.32	28.04	61.68	189.02	40.64	62.12	129.69	82.87	314.17	249.73	61.68	460.44	305.55	85.22	211.31
LCP2	1159.07	332.14	37.59	134.3	450.94	39.22	45.21	11.38	41.52	88.26	136.19	66.65	24.28	54.72	368.65	301.33	275.28	120.94	50.98	23.42	480.04	152.28	46.18	104.42	24.63	151.22	267.73	297.17	318.57	114.36	361.04	59.55	98.73	187.71	559.28	62.56	246.28	131.51	656.11	41.52	84.63	59.13	165.57	309.83	71.0	30.34	36.53	194.36	105.89	162.14	20.56	127.89	279.14	142.01	170.25	52.08	33.54	186.4	191.67	518.15	412.0	43.63	70.51	264.03	1417.35	108.9	13.72	48.52	116.78	265.87	48.52	79.45	221.86	131.51	406.31	1199.98	218.79	1151.06	954.43	137.14	854.13
LILRA1	15.22	47.17	0.89	4.39	8.13	3.26	2.63	0.3	2.05	2.25	2.05	0.71	1.95	0.56	10.96	11.47	3.96	3.69	0.93	0.87	22.43	1.14	1.71	2.58	0.0	7.75	9.7	11.82	4.66	2.92	6.94	0.0	4.39	1.08	17.38	1.66	6.67	3.47	22.59	1.55	2.76	0.0	2.84	7.06	0.61	1.25	0.62	5.5	2.97	3.29	0.91	2.36	2.58	0.97	7.22	1.53	1.31	3.26	3.86	9.63	8.85	1.81	0.0	6.84	15.22	4.43	0.0	1.3	4.5	4.98	2.34	3.38	3.5	3.41	29.27	37.32	21.94	64.8	7.46	3.72	24.11
LILRA2	35.5	180.02	1.5	7.11	15.11	4.58	3.99	1.46	3.44	7.34	10.88	3.82	1.33	1.66	56.28	43.32	16.63	7.4	4.31	2.89	71.0	2.29	2.07	8.51	1.58	11.3	11.47	29.48	6.36	10.55	40.64	2.46	19.25	11.47	59.13	4.31	7.4	5.36	38.67	2.51	5.54	1.39	11.3	15.91	2.41	0.96	4.62	15.0	2.63	13.72	2.12	2.07	7.4	3.86	13.93	4.31	0.36	10.71	11.3	27.84	19.82	2.73	1.62	24.46	18.29	11.73	1.14	0.99	11.91	27.84	7.82	13.72	56.68	23.42	61.25	64.8	20.56	67.12	32.13	22.92	91.41
