	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.AA6T.01A.11R.A39I.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07
APLP2	2119.22	1991.0	3212.66	1540.37	1096.5	5479.15	4671.57	3742.05	5672.41	4575.41	3690.52	5479.15	2573.36	3589.58	5791.62	2758.13	5954.47	5517.27	7382.04	7230.1	7081.29	4358.66	5831.91	6840.04	4268.94	5751.61	5006.93	7537.18	5329.3	5831.91	6699.25	10959.3	8901.53	8134.41	3257.52	14163.58	4869.99	6121.9	9945.68	8778.97	10585.95	4152.18	11035.54	4607.24	10585.95	5219.6	4123.49	8840.04	4038.61	11112.3	8191.0	3491.39	6471.02	7589.61	3060.45	5517.27	363.56	1896.65	3349.13
AR	3.32	3.23	0.61	7.28	19.25	529.06	1.51	567.1	603.67	170.25	273.37	201.25	307.69	275.28	438.59	13.93	239.52	551.56	395.18	713.11	988.12	518.15	559.28	728.11	395.18	417.77	575.03	525.39	25.72	2104.58	1059.11	1388.16	1407.55	483.38	327.56	1757.34	70.01	466.88	1268.46	642.59	808.0	129.69	1467.37	20.11	1216.75	19.11	234.57	1540.37	665.29	2520.38	1378.57	896.64	884.29	638.15	7.82	0.0	0.22	38.95	3.14
ATP7B	18.03	30.12	26.86	62.12	4.5	198.47	18.29	218.79	132.44	55.1	85.82	177.53	143.01	133.36	197.09	19.53	127.89	136.19	158.79	249.73	275.28	164.42	150.17	293.07	151.22	171.45	140.04	262.2	42.41	234.57	529.06	346.29	226.54	251.48	204.07	353.59	50.63	356.05	223.41	303.44	381.68	136.19	356.05	44.89	361.04	12.74	40.36	264.03	163.28	271.48	295.11	161.02	218.79	373.81	84.04	0.0	0.35	10.55	27.44
BACE1	122.64	248.0	83.45	47.5	82.29	403.5	244.57	376.41	275.28	236.21	237.86	353.59	251.48	281.09	379.04	214.27	423.61	470.14	358.54	521.76	591.22	384.34	409.15	656.11	356.05	406.31	318.57	457.25	180.02	426.57	543.96	599.49	753.83	507.46	423.61	759.08	249.73	343.89	698.41	555.41	438.59	409.15	748.61	206.94	493.56	221.86	172.65	571.05	381.68	967.76	587.13	366.09	616.37	674.59	148.09	0.0	0.57	94.67	316.37
C11orf54	139.07	157.68	59.55	297.17	83.45	2303.12	125.24	665.29	2591.27	1519.15	825.0	1216.75	454.09	836.53	2485.67	106.63	1242.34	2591.27	1832.01	3212.66	2777.33	2255.7	2319.15	2816.11	1427.22	1697.45	2720.15	4298.64	854.13	3794.3	3820.7	3280.18	5479.15	2796.65	1250.98	5147.73	1183.45	1015.93	5076.84	6079.61	3901.01	624.99	5479.15	825.0	3639.7	748.61	1709.26	5112.16	1572.76	5441.3	5751.61	1769.57	1794.29	1733.13	567.1	0.0	0.27	403.5	167.9
C6	1.97	0.59	0.0	1.99	0.0	11189.6	0.0	3235.01	5219.6	4869.99	5791.62	4704.07	2739.08	1857.6	8022.41	4.17	3982.99	5995.9	8538.88	13033.07	16045.82	9151.82	8363.13	11664.82	8247.98	10154.69	10014.87	34158.52	1757.34	15607.02	36864.92	99333.0	52135.28	27745.15	9808.75	97288.74	5751.61	37639.55	43840.21	27938.14	55877.28	764.36	106462.55	1066.48	41475.31	1697.45	6607.01	53230.77	10883.59	52863.07	65082.31	12589.08	31432.17	38430.46	23.08	0.0	0.0	0.3	2.56
CNNM3	173.85	198.47	123.5	108.14	116.78	441.64	185.11	303.44	279.14	256.78	289.02	314.17	253.23	356.05	368.65	194.36	460.44	656.11	412.0	518.15	642.59	403.5	400.71	536.45	389.72	395.18	336.79	366.09	237.86	723.08	547.75	392.44	511.0	309.83	429.54	703.28	228.13	305.55	490.14	417.77	500.46	325.29	412.0	265.87	363.56	223.41	366.09	669.92	638.15	507.46	454.09	579.04	624.99	435.55	194.36	154.42	110.43	493.56	212.78
DCAF11	769.69	563.18	543.96	1044.52	620.67	3395.89	283.05	1594.73	3103.19	1340.84	1819.35	1605.83	947.83	988.12	2047.0	748.61	1572.76	2468.49	1896.65	3419.52	3955.48	3372.43	2701.35	3794.3	2400.97	2434.5	2255.7	3039.3	775.05	5076.84	4210.15	3716.2	5006.93	2468.49	2835.7	5183.54	1167.14	2591.27	5329.3	3467.27	2664.15	1199.98	5219.6	1167.14	3639.7	941.27	1794.29	3742.05	2255.7	7803.01	4038.61	3901.01	2739.08	2777.33	1081.39	0.0	0.32	343.89	563.18
DCLRE1A	47.84	50.63	63.45	82.87	47.17	75.11	70.01	72.52	49.91	54.33	71.5	70.51	59.13	69.52	117.6	52.45	78.34	69.52	94.67	102.25	120.1	82.29	100.83	113.56	71.0	81.71	95.34	71.0	49.91	137.14	94.67	159.9	145.02	74.58	83.45	194.36	82.29	84.04	118.43	98.04	144.01	60.82	145.02	54.33	161.02	47.5	79.45	112.77	66.65	144.01	163.28	76.71	121.79	133.36	49.56	0.0	0.0	55.89	42.41
DHCR24	6887.62	348.71	1096.5	387.02	6337.83	8658.09	1594.73	9409.14	4388.98	6381.92	9673.69	11504.21	7081.29	9740.98	9740.98	327.56	5517.27	13776.25	9279.58	12415.75	10585.95	9808.75	14765.09	13033.07	6699.25	10659.59	7857.29	11992.79	3325.99	18431.96	15075.35	15934.98	13872.08	7537.18	19214.73	24490.61	8840.04	13681.08	20881.4	10225.32	17317.18	7537.18	11035.54	2555.58	14663.09	5995.9	9945.68	13492.72	9409.14	18950.18	13872.08	9474.59	22072.07	12764.83	3325.99	0.0	0.0	947.83	373.81
DHTKD1	173.85	73.54	153.34	297.17	130.6	1883.54	73.54	599.49	1457.23	738.29	1250.98	1268.46	490.14	738.29	1733.13	63.0	860.08	1030.12	1143.1	1977.24	2119.22	1340.84	1407.55	1936.53	1250.98	1397.83	1286.18	1417.35	395.18	3349.13	2335.28	2018.8	3168.41	1561.89	688.78	4358.66	764.36	1457.23	3060.45	2627.46	1857.6	406.31	3018.3	591.22	1467.37	237.86	1295.13	2255.7	1044.52	2816.11	1709.26	1331.57	1369.04	2018.8	353.59	414.87	353.59	130.6	217.27
EVI5	33.06	42.71	28.45	87.65	26.1	130.6	55.1	95.34	116.78	62.56	55.1	73.03	46.84	87.03	129.69	106.63	128.79	204.07	128.79	191.67	283.05	120.1	131.51	154.42	99.43	175.07	111.99	113.56	54.72	258.57	146.03	190.34	170.25	139.07	87.65	232.94	58.3	180.02	155.5	173.85	177.53	101.54	234.57	60.39	173.85	85.82	110.43	154.42	126.12	206.94	224.97	161.02	133.36	132.44	54.33	0.0	0.37	39.22	85.22
GGCX	902.89	624.99	669.92	325.29	490.14	2645.74	551.56	1685.71	2075.59	1378.57	1477.58	1923.14	1135.2	1781.89	2555.58	872.1	1605.83	2895.31	1870.53	3716.2	2520.38	1806.78	2193.99	3060.45	1806.78	3081.75	1857.6	4239.45	1437.15	2255.7	2701.35	7032.37	4239.45	4298.64	2682.69	5555.65	1745.2	3212.66	3982.99	3794.3	4704.07	1769.57	5594.3	995.0	3742.05	1950.0	1233.75	2739.08	1388.16	5366.37	3955.48	3146.52	3018.3	4903.87	1697.45	764.36	61.25	860.08	595.34
GLYATL1	1.64	10.16	1.16	127.0	9.7	9474.59	0.0	1977.24	5913.33	4010.71	5183.54	1183.45	1427.22	1769.57	6607.01	5.19	3794.3	6471.02	5366.37	11827.67	12329.98	8963.45	10733.74	8538.88	8658.09	7032.37	8718.32	20451.65	128.79	25179.16	55491.3	11664.82	42054.3	14971.21	3564.78	67377.47	5292.48	7966.99	23169.48	28525.2	20451.65	167.9	46986.85	642.59	19754.96	287.01	14765.09	16843.62	4704.07	80683.28	35118.87	18052.61	21468.49	16960.78	37.32	0.0	0.16	6.01	3.03
GPR39	3.66	32.82	48.18	10.63	26.67	71.0	22.43	46.5	47.17	57.08	73.54	72.01	56.28	43.94	111.99	47.17	93.35	69.52	64.34	81.71	98.04	97.36	78.34	105.89	47.84	28.24	96.68	155.5	16.39	144.01	142.01	126.12	166.73	82.29	88.88	189.02	29.91	66.65	117.6	98.04	87.03	63.0	136.19	21.78	181.28	18.97	79.45	85.22	63.0	159.9	127.89	79.45	127.0	186.4	17.51	0.0	0.21	87.03	4.62
GYS2	0.33	0.0	0.58	0.99	0.8	1844.76	0.0	318.57	928.3	825.0	529.06	361.04	170.25	269.6	915.51	0.74	525.39	1208.34	555.41	1709.26	1857.6	2004.85	1529.73	1781.89	1331.57	1225.22	1477.58	2119.22	47.17	4450.27	3257.52	3982.99	6079.61	1794.29	281.09	9740.98	170.25	551.56	4736.79	2915.45	2367.9	4.17	2875.3	105.15	2520.38	10.88	620.67	4181.07	981.29	6294.04	2255.7	547.75	3955.48	1794.29	5.5	0.0	0.19	1.2	1.51
ITPR2	39.79	10.16	30.34	71.5	9.48	320.8	59.13	189.02	229.72	92.05	76.17	283.05	103.69	171.45	303.44	74.06	215.77	265.87	599.49	476.71	543.96	214.27	327.56	450.94	231.32	395.18	177.53	275.28	63.45	547.75	403.5	785.88	571.05	629.35	136.19	1883.54	81.14	140.04	780.44	470.14	802.41	101.54	708.18	63.0	587.13	119.26	71.5	808.0	128.79	1044.52	802.41	214.27	283.05	587.13	57.08	0.0	0.41	25.91	19.39
KIAA1161	38.67	69.52	36.27	10.0	36.53	587.13	32.13	275.28	406.31	162.14	376.41	529.06	215.77	275.28	603.67	40.36	353.59	339.14	540.19	967.76	563.18	493.56	748.61	612.11	483.38	583.07	435.55	591.22	161.02	1127.35	1304.15	723.08	995.0	532.74	470.14	1844.76	89.51	376.41	934.76	665.29	521.76	231.32	723.08	226.54	559.28	82.87	255.0	633.73	358.54	1540.37	567.1	748.61	688.78	854.13	231.32	27.25	53.19	21.47	56.28
L2HGDH	59.13	25.72	54.72	108.14	33.3	112.77	41.22	54.72	55.49	31.22	48.87	96.68	34.75	39.5	84.63	37.59	65.26	105.89	125.24	132.44	147.06	90.14	90.14	117.6	76.71	84.63	72.01	118.43	30.78	162.14	173.85	185.11	175.07	144.01	105.15	336.79	39.5	81.71	171.45	134.3	146.03	70.51	271.48	40.93	226.54	39.5	62.56	191.67	40.93	249.73	223.41	90.77	95.34	148.09	55.1	0.0	0.13	39.22	56.68
MAOB	61.68	74.06	120.1	51.35	15.68	4639.29	297.17	2451.44	3690.52	2956.17	3018.3	2609.3	4358.66	1991.0	3982.99	8.13	3325.99	3081.75	4181.07	5329.3	4543.8	4419.52	5831.91	4903.87	3874.05	3515.68	4671.57	5633.22	1037.29	6337.83	9474.59	7032.37	7180.15	5954.47	3443.31	10585.95	3212.66	4038.61	11424.74	7485.11	7130.55	2163.77	8778.97	1551.09	5441.3	780.44	3768.09	10225.32	2627.46	15824.9	5219.6	4736.79	7911.95	4704.07	77.79	0.0	0.55	684.02	463.65
MIA2	0.0	0.3	0.3	1.99	0.0	98.73	0.0	54.33	31.0	24.99	48.18	70.01	12.74	41.81	134.3	0.0	66.18	105.15	118.43	176.29	155.5	46.84	120.94	144.01	108.9	98.73	52.08	127.89	69.52	145.02	232.94	249.73	432.53	120.1	90.14	476.71	45.21	108.9	260.38	204.07	194.36	22.59	271.48	55.1	195.72	97.36	23.08	373.81	74.58	244.57	199.85	138.1	129.69	283.05	17.25	0.0	0.0	2.27	0.0
MMACHC	39.5	81.71	58.3	69.52	32.82	279.14	59.97	149.12	120.1	82.87	130.6	199.85	159.9	128.79	264.03	72.01	149.12	358.54	205.5	320.8	358.54	229.72	208.38	309.83	229.72	171.45	253.23	361.04	79.45	490.14	293.07	412.0	397.93	281.09	409.15	316.37	166.73	423.61	336.79	346.29	486.75	170.25	703.28	71.5	400.71	133.36	224.97	287.01	218.79	476.71	563.18	381.68	281.09	571.05	110.43	130.6	121.79	120.1	50.27
MPDZ	111.99	141.02	91.41	38.95	50.63	854.13	142.01	151.22	728.11	389.72	356.05	791.35	271.48	295.11	974.5	83.45	698.41	947.83	813.63	1059.11	1340.84	872.1	921.88	1051.79	718.08	547.75	775.05	1088.92	309.83	2287.2	848.22	813.63	1313.23	1331.57	285.03	1721.16	279.14	819.3	1216.75	1508.65	1757.34	221.86	1167.14	463.65	1295.13	206.94	392.44	1963.57	780.44	1594.73	1540.37	915.51	854.13	947.83	106.63	0.0	0.59	56.28	214.27
MUT	346.29	143.01	277.2	202.66	228.13	1769.57	190.34	316.37	1583.71	854.13	397.93	571.05	429.54	503.95	1417.35	206.94	890.44	1745.2	1233.75	1923.14	2163.77	1832.01	1583.71	2032.85	1529.73	1487.87	1857.6	1936.53	825.0	2609.3	2855.44	3103.19	3467.27	2520.38	1183.45	4704.07	1127.35	1051.79	3847.29	2976.74	2701.35	599.49	2855.44	791.35	2417.67	579.04	1487.87	3190.46	1066.48	4419.52	2645.74	1832.01	2555.58	2758.13	612.11	0.0	0.0	173.85	237.86
NNT	525.39	86.43	271.48	1059.11	237.86	2417.67	176.29	1313.23	2075.59	974.5	1143.1	1781.89	2193.99	775.05	2384.37	323.03	1529.73	1437.15	1467.37	2739.08	1870.53	1551.09	2816.11	1819.35	1388.16	2720.15	1950.0	3235.01	633.73	3614.55	1519.15	4903.87	4268.94	2976.74	1242.34	3690.52	748.61	1844.76	4210.15	5672.41	3280.18	1151.06	5672.41	854.13	1896.65	688.78	1277.29	2271.4	1378.57	3467.27	3146.52	1167.14	1844.76	2555.58	423.61	0.0	0.72	142.01	271.48
PCYOX1	327.56	209.84	301.33	242.88	136.19	1088.92	540.19	363.56	941.27	447.82	395.18	420.68	293.07	389.72	1088.92	426.57	651.58	1561.89	934.76	1709.26	1487.87	854.13	1081.39	1143.1	860.08	902.89	896.64	1111.82	312.0	1477.58	1216.75	1857.6	1651.0	988.12	872.1	2609.3	563.18	693.58	1923.14	1350.18	1216.75	376.41	1498.22	435.55	988.12	285.03	612.11	1304.15	974.5	2148.82	1088.92	866.07	1407.55	1477.58	239.52	293.07	53.57	221.86	346.29
PDP2	20.71	5.54	20.86	18.16	18.84	37.59	16.39	45.53	18.7	8.92	36.01	41.22	30.78	35.25	79.45	28.45	27.64	56.28	31.0	85.22	134.3	23.25	55.1	61.68	39.5	53.19	27.25	24.63	16.88	120.94	98.73	84.04	81.14	32.82	80.57	181.28	35.76	40.93	115.97	59.55	55.1	35.76	52.82	13.52	53.57	43.32	36.27	105.15	78.89	102.97	73.03	35.76	101.54	98.73	17.9	0.0	0.0	7.06	15.34
PDSS2	194.36	145.02	208.38	70.01	140.04	429.54	162.14	336.79	381.68	232.94	229.72	249.73	187.71	376.41	397.93	137.14	307.69	480.04	395.18	466.88	435.55	389.72	406.31	457.25	417.77	397.93	363.56	463.65	181.28	718.08	400.71	656.11	540.19	447.82	341.51	819.3	353.59	395.18	624.99	536.45	490.14	249.73	514.56	212.78	563.18	170.25	363.56	620.67	346.29	551.56	660.68	438.59	507.46	723.08	195.72	287.01	96.68	167.9	260.38
PGM1	738.29	629.35	1104.13	713.11	1183.45	4671.57	1104.13	1167.14	2915.45	2609.3	2148.82	2417.67	1286.18	1844.76	3280.18	988.12	2664.15	2537.92	3716.2	5441.3	4836.35	5329.3	4671.57	4736.79	3955.48	4038.61	3146.52	5751.61	1685.71	5479.15	9540.5	9088.59	11745.96	5751.61	5517.27	11345.82	1313.23	4481.23	12076.21	7589.61	5672.41	2573.36	7485.11	2163.77	6207.38	1769.57	3614.55	10084.54	2468.49	12244.81	6164.49	5441.3	5555.65	6561.36	1037.29	0.0	0.27	995.0	2271.4
PIPOX	11.73	4.9	9.78	5.92	7.11	7230.1	16.51	3212.66	5366.37	3820.7	3639.7	2468.49	3564.78	3039.3	6516.03	45.21	3395.89	5672.41	4769.75	8479.89	7280.4	7280.4	7857.29	7081.29	6471.02	4358.66	7230.1	17078.76	457.25	21172.91	26614.89	7966.99	28723.62	18052.61	8022.41	35118.87	2104.58	5751.61	26248.46	18052.61	16496.96	753.83	26986.43	1340.84	10733.74	392.44	3874.05	12943.04	3901.01	42054.3	18689.27	9945.68	9740.98	16269.83	41.22	0.0	0.17	728.11	43.02
PNPO	417.77	141.02	417.77	182.55	156.59	1572.76	161.02	1066.48	791.35	796.86	1051.79	1561.89	647.07	967.76	1794.29	193.01	1044.52	1745.2	1268.46	2119.22	1733.13	1143.1	1685.71	1628.26	1286.18	1583.71	961.07	1844.76	547.75	2895.31	2485.67	2255.7	2119.22	1508.65	1304.15	3768.09	947.83	1498.22	2835.7	1936.53	1936.53	954.43	2956.17	379.04	2133.97	460.44	1008.9	2645.74	647.07	4328.55	2976.74	1487.87	1844.76	2148.82	563.18	559.28	1417.35	163.28	175.07
PRG4	3.92	0.88	2.03	4.62	1.93	4543.8	6.41	2591.27	2537.92	1857.6	1340.84	279.14	1208.34	934.76	4575.41	4.54	921.88	5255.91	563.18	4181.07	3540.14	2682.69	4704.07	4419.52	3639.7	2875.3	3847.29	13492.72	1674.06	3874.05	17558.94	48307.85	14065.74	12589.08	2255.7	62431.08	4358.66	14561.8	18052.61	18819.27	39237.98	1037.29	79572.48	117.6	45701.96	2367.9	1551.09	22535.88	1583.71	40062.48	80125.95	7803.01	8363.13	26248.46	6516.03	0.0	0.27	1.28	4.35
