	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3489.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.ZYW4.1626.SM.5GIE6	GTEX.13OVL.2726.SM.5J2MP	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZYVF.2326.SM.5E44Z	GTEX.P78B.1126.SM.3P615	GTEX.ZAB4.1226.SM.5CVN5	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.XQ8I.1626.SM.4BOOI	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.148VJ.1126.SM.5NQBZ	GTEX.RWSA.1326.SM.47JX9	GTEX.ZA64.0526.SM.5HL9I	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13X6H.1626.SM.5Q5CT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ
ATXN2L	825.0	921.88	1143.1	1051.79	884.29	1001.93	1769.57	1268.46	1721.16	1583.71	961.07	2997.45	2224.63	1870.53	1498.22	2163.77	3235.01	2796.65	3419.52	3540.14	2335.28	2796.65	4010.71	3325.99	2701.35	3039.3	2758.13	1378.57	2935.74	2178.83	2835.7	3081.75	2816.11	2796.65	2555.58	2061.24	2502.97	2319.15	1896.65	1199.98	1008.9	967.76	1073.91	1081.39	791.35	954.43	1081.39	1340.84	1662.49	1991.0	1268.46	1388.16	872.1	1417.35	1208.34	915.51	1096.5	1477.58	2018.8
C19orf66	414.87	368.65	392.44	441.64	371.22	423.61	543.96	669.92	819.3	547.75	915.51	1104.13	723.08	954.43	638.15	769.69	1233.75	1104.13	1268.46	1487.87	961.07	1242.34	1233.75	1208.34	902.89	1191.69	1008.9	633.73	860.08	753.83	1159.07	947.83	1457.23	909.17	896.64	934.76	1001.93	1044.52	878.17	483.38	412.0	426.57	423.61	480.04	406.31	429.54	563.18	651.58	503.95	764.36	759.08	656.11	466.88	679.29	660.68	514.56	536.45	567.1	775.05
C3orf62	115.97	76.17	70.01	87.03	56.68	129.69	123.5	102.97	141.02	127.0	92.05	145.02	140.04	189.02	224.97	152.28	226.54	466.88	211.31	540.19	246.28	314.17	271.48	400.71	209.84	403.5	507.46	78.89	287.01	248.0	260.38	293.07	323.03	346.29	376.41	275.28	341.51	249.73	133.36	72.01	106.63	86.43	108.9	105.15	86.43	81.14	109.66	138.1	111.99	139.07	106.63	113.56	75.64	109.66	97.36	67.12	55.49	104.42	135.24
CARKD	441.64	698.41	599.49	708.18	551.56	718.08	1059.11	941.27	1008.9	934.76	890.44	587.13	674.59	1081.39	872.1	1277.29	2148.82	1295.13	1639.59	1447.15	1529.73	1769.57	1819.35	1467.37	1467.37	1340.84	1313.23	718.08	1950.0	1073.91	1447.15	1674.06	1529.73	1259.69	1304.15	848.22	2018.8	1487.87	1286.18	642.59	780.44	703.28	830.75	547.75	902.89	708.18	915.51	947.83	954.43	688.78	1639.59	974.5	476.71	921.88	688.78	708.18	551.56	934.76	1594.73
CCAR1	503.95	642.59	629.35	536.45	536.45	595.34	808.0	718.08	679.29	748.61	743.43	738.29	1008.9	808.0	830.75	954.43	1561.89	1096.5	1143.1	1295.13	708.18	1175.27	967.76	1417.35	1662.49	1081.39	1096.5	395.18	1059.11	909.17	1359.57	995.0	1008.9	764.36	866.07	909.17	1909.85	1191.69	1037.29	438.59	607.87	480.04	551.56	480.04	503.95	616.37	665.29	728.11	665.29	1015.93	466.88	500.46	371.22	647.07	327.56	444.72	497.0	579.04	698.41
CCDC14	137.14	175.07	163.28	171.45	105.15	153.34	497.0	435.55	447.82	633.73	275.28	591.22	684.02	688.78	400.71	571.05	961.07	1001.93	1167.14	1111.82	511.0	1044.52	1242.34	1250.98	941.27	1331.57	974.5	303.44	1388.16	708.18	1350.18	1233.75	1066.48	842.36	780.44	775.05	884.29	1015.93	633.73	199.85	165.57	202.66	242.88	169.07	147.06	127.89	579.04	529.06	660.68	392.44	332.14	381.68	90.77	438.59	104.42	78.89	162.14	251.48	420.68
CCDC66	76.17	165.57	169.07	201.25	105.89	204.07	242.88	186.4	248.0	186.4	166.73	122.64	214.27	343.89	197.09	323.03	620.67	353.59	476.71	444.72	182.55	426.57	483.38	435.55	525.39	376.41	295.11	175.07	447.82	392.44	587.13	339.14	518.15	336.79	332.14	316.37	514.56	332.14	368.65	172.65	237.86	153.34	106.63	162.14	80.57	180.02	199.85	279.14	146.03	260.38	237.86	221.86	94.67	212.78	62.56	96.68	131.51	100.13	253.23
CCS	890.44	928.3	878.17	1001.93	848.22	1015.93	1119.56	1417.35	1857.6	1259.69	1191.69	1191.69	1286.18	1159.07	1051.79	1143.1	2047.0	2537.92	2627.46	2555.58	2255.7	2133.97	2287.2	2664.15	1508.65	2645.74	2178.83	1096.5	2075.59	1397.83	2335.28	1991.0	2271.4	1883.54	2240.11	1923.14	1551.09	1651.0	1697.45	1233.75	808.0	961.07	934.76	1183.45	693.58	551.56	1286.18	1015.93	1127.35	1388.16	1477.58	981.29	764.36	961.07	708.18	884.29	624.99	995.0	1208.34
CENPT	490.14	540.19	457.25	503.95	450.94	540.19	890.44	796.86	1151.06	866.07	743.43	1457.23	819.3	1167.14	638.15	1167.14	2224.63	2591.27	2163.77	3235.01	2255.7	2400.97	2555.58	2627.46	1757.34	2645.74	2090.03	802.41	2163.77	1467.37	2047.0	2434.5	2645.74	1662.49	2193.99	1963.57	2061.24	1745.2	1477.58	543.96	563.18	525.39	351.14	595.34	406.31	395.18	723.08	753.83	813.63	808.0	1051.79	988.12	356.05	915.51	587.13	392.44	476.71	563.18	1008.9
CLASRP	529.06	497.0	575.03	579.04	607.87	518.15	902.89	813.63	988.12	1096.5	909.17	1427.22	1397.83	1628.26	941.27	2133.97	3257.52	2609.3	2997.45	3443.31	2555.58	2915.45	3589.58	2835.7	2351.53	2875.3	2255.7	1073.91	2682.69	1745.2	2591.27	2816.11	3103.19	1950.0	2090.03	2163.77	3039.3	2520.38	1963.57	638.15	483.38	708.18	500.46	647.07	414.87	583.07	860.08	1008.9	1059.11	1143.1	1073.91	974.5	363.56	854.13	571.05	409.15	417.77	470.14	902.89
CRAMP1L	80.01	162.14	189.02	229.72	140.04	182.55	285.03	195.72	260.38	209.84	140.04	361.04	309.83	454.09	285.03	341.51	612.11	336.79	603.67	463.65	253.23	435.55	493.56	571.05	473.41	567.1	381.68	193.01	412.0	327.56	444.72	358.54	454.09	470.14	327.56	269.6	532.74	373.81	371.22	133.36	187.71	135.24	131.51	136.19	112.77	100.13	152.28	249.73	249.73	208.38	226.54	251.48	156.59	242.88	199.85	138.1	156.59	234.57	351.14
CRTC2	412.0	476.71	551.56	708.18	379.04	486.75	775.05	723.08	775.05	748.61	679.29	1081.39	1073.91	981.29	698.41	954.43	1651.0	1225.22	1594.73	1572.76	1167.14	1268.46	1733.13	1369.04	1322.37	1216.75	1015.93	536.45	1295.13	854.13	1199.98	1135.2	1417.35	1233.75	1104.13	947.83	1477.58	1199.98	995.0	543.96	620.67	555.41	470.14	612.11	521.76	460.44	616.37	698.41	703.28	713.11	753.83	854.13	575.03	563.18	638.15	511.0	633.73	579.04	813.63
CSAD	149.12	199.85	132.44	183.82	147.06	176.29	368.65	371.22	708.18	503.95	262.2	733.19	723.08	1709.26	638.15	1745.2	4671.57	2193.99	3081.75	2627.46	1594.73	2627.46	3018.3	3303.0	2148.82	2591.27	2520.38	511.0	2384.37	1519.15	2796.65	2434.5	2895.31	2367.9	2133.97	1709.26	2178.83	1832.01	872.1	138.1	255.0	224.97	152.28	246.28	228.13	120.94	358.54	514.56	339.14	454.09	514.56	796.86	72.52	429.54	137.14	31.0	198.47	198.47	579.04
CSNK1E	808.0	1183.45	1350.18	1407.55	1551.09	1216.75	2255.7	1674.06	2335.28	1359.57	1250.98	3124.78	2875.3	2468.49	2209.26	2468.49	3168.41	3168.41	3081.75	2835.7	2271.4	3257.52	2895.31	3325.99	2701.35	3212.66	2682.69	1745.2	3081.75	2209.26	2915.45	2720.15	3372.43	3039.3	2485.67	2193.99	2400.97	2133.97	1757.34	1467.37	1617.0	1498.22	2047.0	1709.26	1268.46	1322.37	1617.0	1870.53	2090.03	2758.13	2303.12	2400.97	1322.37	954.43	1977.24	1508.65	1977.24	1277.29	1583.71
CTTN	2351.53	1781.89	1757.34	2090.03	1498.22	2682.69	3820.7	2739.08	2664.15	2835.7	2573.36	7537.18	5913.33	4066.71	2935.74	3614.55	7911.95	4038.61	7749.1	7280.4	4210.15	7485.11	10512.82	9151.82	5366.37	8598.28	5006.93	2758.13	9740.98	3742.05	7485.11	7749.1	10154.69	5517.27	4298.64	4066.71	6935.54	5872.48	3665.02	2018.8	2956.17	2701.35	2555.58	2777.33	1991.0	2303.12	2209.26	2758.13	3443.31	2047.0	1457.23	2351.53	1369.04	2400.97	1447.15	967.76	2193.99	1628.26	2609.3
DDX51	232.94	156.59	224.97	224.97	217.27	220.32	220.32	255.0	291.04	242.88	182.55	387.02	358.54	384.34	316.37	547.75	607.87	432.53	633.73	620.67	412.0	518.15	819.3	529.06	518.15	728.11	543.96	239.52	703.28	438.59	435.55	642.59	607.87	392.44	444.72	417.77	466.88	480.04	395.18	193.01	116.78	242.88	246.28	202.66	158.79	269.6	205.5	309.83	262.2	264.03	336.79	241.19	154.42	208.38	209.84	117.6	127.0	151.22	312.0
DDX55	229.72	186.4	214.27	223.41	164.42	229.72	277.2	229.72	281.09	248.0	293.07	327.56	392.44	309.83	249.73	318.57	441.64	406.31	444.72	438.59	251.48	547.75	387.02	476.71	414.87	503.95	395.18	248.0	571.05	264.03	389.72	379.04	497.0	307.69	420.68	358.54	389.72	307.69	291.04	161.02	129.69	204.07	197.09	237.86	185.11	267.73	293.07	341.51	232.94	255.0	176.29	187.71	96.68	150.17	153.34	130.6	147.06	175.07	161.02
DENND4B	358.54	275.28	353.59	297.17	244.57	239.52	507.46	397.93	493.56	444.72	348.71	660.68	723.08	1119.56	473.41	819.3	1417.35	796.86	1639.59	1199.98	941.27	1340.84	1605.83	1313.23	988.12	1397.83	1208.34	490.14	1447.15	1127.35	1073.91	1617.0	1529.73	1295.13	961.07	941.27	1030.12	791.35	748.61	283.05	180.02	226.54	258.57	253.23	177.53	193.01	348.71	384.34	476.71	409.15	303.44	392.44	260.38	536.45	309.83	239.52	255.0	432.53	647.07
DIP2A	164.42	201.25	193.01	246.28	218.79	199.85	460.44	320.8	450.94	435.55	193.01	295.11	466.88	583.07	476.71	532.74	967.76	836.53	1015.93	902.89	559.28	967.76	1008.9	1127.35	679.29	890.44	836.53	303.44	860.08	521.76	813.63	802.41	915.51	656.11	679.29	543.96	674.59	660.68	417.77	248.0	339.14	208.38	170.25	303.44	237.86	149.12	325.29	454.09	447.82	325.29	218.79	353.59	153.34	281.09	180.02	164.42	177.53	291.04	358.54
DLG4	275.28	358.54	329.84	309.83	309.83	299.25	466.88	595.34	785.88	441.64	336.79	490.14	624.99	954.43	718.08	708.18	813.63	796.86	1340.84	921.88	595.34	995.0	974.5	1143.1	563.18	802.41	703.28	343.89	669.92	575.03	733.19	872.1	896.64	796.86	769.69	441.64	753.83	551.56	486.75	208.38	143.01	194.36	239.52	199.85	171.45	134.3	363.56	656.11	470.14	738.29	669.92	493.56	334.46	583.07	387.02	417.77	260.38	536.45	638.15
DMTF1	291.04	271.48	373.81	381.68	358.54	414.87	928.3	708.18	860.08	830.75	780.44	1088.92	1427.22	1733.13	947.83	1594.73	2777.33	2090.03	3146.52	1936.53	915.51	2287.2	2417.67	2720.15	2133.97	2701.35	1883.54	802.41	2720.15	1909.85	2816.11	1977.24	3060.45	2133.97	1709.26	1508.65	2224.63	1870.53	1583.71	571.05	547.75	483.38	429.54	536.45	283.05	463.65	718.08	1051.79	679.29	665.29	599.49	769.69	329.84	878.17	320.8	241.19	457.25	698.41	1066.48
DPH7	314.17	199.85	228.13	299.25	172.65	371.22	559.28	470.14	532.74	518.15	493.56	518.15	486.75	629.35	397.93	688.78	1250.98	1407.55	1313.23	1844.76	1119.56	1477.58	1350.18	1519.15	1104.13	1697.45	1388.16	432.53	1498.22	830.75	1359.57	1208.34	1551.09	1088.92	1088.92	1127.35	1096.5	921.88	775.05	327.56	258.57	301.33	239.52	327.56	264.03	267.73	525.39	529.06	480.04	373.81	473.41	412.0	191.67	353.59	206.94	152.28	224.97	236.21	351.14
ECHDC2	1127.35	785.88	1037.29	1295.13	1175.27	1286.18	2555.58	2319.15	2777.33	2351.53	2287.2	1819.35	1674.06	4268.94	2591.27	5255.91	5913.33	8479.89	15180.22	13399.51	3955.48	9088.59	9344.14	11035.54	4388.98	10014.87	9409.14	2061.24	7966.99	4181.07	8963.45	8191.0	10084.54	8134.41	7857.29	5831.91	5292.48	5913.33	4328.55	2287.2	2240.11	2240.11	1844.76	2075.59	2090.03	1111.82	2502.97	2627.46	2104.58	2133.97	3589.58	2367.9	708.18	4358.66	974.5	848.22	967.76	2209.26	4736.79
EDC4	1051.79	780.44	785.88	819.3	529.06	624.99	1151.06	796.86	698.41	947.83	493.56	1143.1	808.0	1066.48	896.64	1143.1	1674.06	902.89	2061.24	1437.15	1208.34	1143.1	1605.83	1662.49	1407.55	1304.15	921.88	866.07	1111.82	1135.2	1242.34	1388.16	1268.46	1508.65	1096.5	1104.13	1350.18	1242.34	1135.2	486.75	507.46	651.58	642.59	547.75	540.19	674.59	447.82	665.29	934.76	674.59	796.86	780.44	426.57	921.88	679.29	376.41	591.22	713.11	769.69
EFCAB13	18.43	18.97	42.71	42.41	62.12	33.54	31.0	46.84	67.12	31.67	74.58	56.68	100.83	110.43	85.22	127.89	204.07	166.73	273.37	209.84	83.45	146.03	102.25	96.68	161.02	387.02	130.6	82.29	165.57	147.06	221.86	131.51	208.38	256.78	178.77	108.14	121.79	177.53	127.0	72.52	36.01	45.53	32.82	78.34	11.04	40.64	26.67	88.88	74.58	93.35	70.51	73.03	8.78	52.08	13.52	35.25	15.22	15.34	39.5
EIF2B5	693.58	511.0	633.73	688.78	511.0	656.11	1015.93	988.12	947.83	1127.35	981.29	1250.98	1417.35	1143.1	872.1	1199.98	2720.15	1242.34	1697.45	1769.57	1340.84	1844.76	2047.0	2004.85	2004.85	1709.26	1508.65	669.92	1963.57	1268.46	1674.06	1757.34	1781.89	1487.87	1191.69	1135.2	1757.34	1359.57	1268.46	728.11	656.11	791.35	808.0	753.83	808.0	780.44	988.12	921.88	1001.93	723.08	708.18	733.19	420.68	583.07	555.41	387.02	483.38	612.11	679.29
ENGASE	140.04	109.66	111.21	146.03	120.1	176.29	571.05	432.53	423.61	514.56	312.0	551.56	616.37	819.3	420.68	860.08	1447.15	981.29	2178.83	1407.55	902.89	941.27	1662.49	1369.04	974.5	1628.26	848.22	309.83	1685.71	1023.0	1277.29	1417.35	1199.98	1322.37	909.17	753.83	967.76	915.51	830.75	189.02	110.43	149.12	224.97	156.59	186.4	127.89	320.8	476.71	567.1	417.77	303.44	483.38	96.01	361.04	120.1	77.79	94.01	123.5	260.38
ENTHD2	127.0	104.42	201.25	139.07	119.26	212.78	363.56	346.29	339.14	358.54	265.87	934.76	651.58	660.68	351.14	728.11	1008.9	713.11	1437.15	995.0	595.34	738.29	1721.16	872.1	825.0	1295.13	902.89	312.0	1119.56	651.58	1001.93	836.53	995.0	1286.18	733.19	703.28	693.58	791.35	785.88	147.06	145.02	133.36	205.5	171.45	212.78	186.4	287.01	307.69	351.14	638.15	293.07	384.34	190.34	353.59	232.94	158.79	293.07	318.57	483.38
FAM160B2	693.58	660.68	836.53	967.76	679.29	1135.2	1208.34	896.64	1388.16	947.83	660.68	1896.65	1745.2	2319.15	1709.26	1769.57	2935.74	2032.85	3103.19	2956.17	2148.82	3168.41	2758.13	3018.3	2148.82	3168.41	2591.27	1477.58	2935.74	1950.0	2434.5	3303.0	2682.69	2591.27	2240.11	1977.24	2609.3	2209.26	1697.45	525.39	733.19	620.67	872.1	660.68	460.44	395.18	785.88	1127.35	1023.0	1745.2	1277.29	1407.55	476.71	896.64	1151.06	466.88	759.08	872.1	1340.84
FAM27E3	12.09	15.34	9.34	19.82	6.62	10.55	26.86	29.27	54.33	17.51	46.5	18.97	26.86	23.93	14.14	62.56	157.68	131.51	180.02	204.07	150.17	95.34	95.34	149.12	138.1	138.1	98.04	35.25	126.12	73.03	98.04	148.09	125.24	132.44	149.12	84.04	100.13	52.45	27.25	9.06	31.0	10.96	9.06	15.34	21.47	14.89	33.3	43.02	19.11	48.18	21.32	35.76	11.91	14.78	16.51	10.08	10.08	25.54	7.34
FLJ00104	20.11	21.94	20.71	17.77	13.22	24.99	53.19	40.64	45.21	24.99	27.05	47.5	35.76	57.08	45.85	67.12	119.26	73.03	135.24	102.25	53.57	111.99	130.6	84.04	96.68	116.78	95.34	26.67	102.25	59.55	86.43	132.44	111.21	134.3	98.04	66.18	80.57	75.11	44.25	13.12	12.93	11.73	16.51	15.91	16.27	15.8	33.78	51.35	43.94	41.52	35.76	27.84	10.71	18.16	12.55	7.17	13.32	10.96	34.75
