	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A2IR.01A.11R.A180.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.05.4424.01A.22R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.OOBK.0526.SM.2HMJJ	GTEX.RU1J.0126.SM.2TF6Y	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.U3ZN.0626.SM.3DB7U	GTEX.UJHI.0726.SM.3DB92	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.1211K.0826.SM.5FQUP	GTEX.PW2O.0526.SM.2I3DX	GTEX.QEG5.1126.SM.33HC2	TCGA.34.2608.01A.02R.0851.07	TCGA.60.2710.01A.01R.0851.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CD68	4869.99	260.38	175.07	2104.58	2434.5	3395.89	1769.57	3847.29	4268.94	1923.14	7537.18	3280.18	514.56	9606.86	28132.47	12329.98	30572.63	25887.07	37379.55	38697.77	29943.43	9409.14	19892.37	50011.46	15285.81	27938.14	19348.38	6935.54	6516.03	6426.31	4152.18	3665.02	3982.99	6037.61	4802.93	4671.57
CDH5	73.03	51.71	47.84	122.64	314.17	368.65	182.55	134.3	423.61	58.71	187.71	149.12	50.63	713.11	2573.36	1769.57	2287.2	1870.53	1088.92	2224.63	1268.46	854.13	6337.83	1936.53	1870.53	1397.83	723.08	318.57	299.25	79.45	277.2	147.06	162.14	74.58	92.05	75.64
CEBPE	0.0	0.35	0.0	0.55	1.06	0.91	0.6	0.0	0.0	0.0	2.58	1.06	0.0	2.97	13.32	3.2	12.18	8.38	10.39	8.51	11.38	2.61	97.36	7.28	5.59	14.35	3.14	4.54	1.13	9.78	0.0	0.25	3.59	0.0	0.0	0.0
CR1	0.66	0.0	0.52	3.99	12.64	41.22	3.44	1.73	6.36	17.77	12.0	19.39	0.46	68.55	130.6	91.41	115.16	50.63	194.36	105.89	141.02	64.34	246.28	218.79	162.14	62.56	60.39	24.63	39.22	25.72	1.39	5.19	3.89	2.84	1.93	2.34
CRTAM	7.4	0.22	0.33	5.5	7.06	11.82	7.34	3.99	2.29	4.1	15.22	3.23	1.35	39.5	18.56	38.95	98.04	115.97	135.24	136.19	226.54	39.79	309.83	26.47	14.56	107.38	107.38	31.67	26.47	60.39	26.86	19.11	22.59	2.94	0.0	2.89
CTSD	23169.48	3419.52	6037.61	9151.82	8718.32	11345.82	6381.92	5006.93	11745.96	6294.04	15824.9	7032.37	8840.04	32540.65	48982.22	27174.14	56657.31	54727.32	56265.94	54727.32	36864.92	27174.14	55491.3	88905.42	32994.92	71714.63	47974.16	23986.58	25005.23	23169.48	8778.97	8658.09	21172.91	10084.54	19214.73	11827.67
CTSS	620.67	118.43	237.86	591.22	808.0	1378.57	429.54	397.93	759.08	435.55	1350.18	368.65	58.71	4419.52	19754.96	8363.13	17681.08	18304.63	16960.78	25708.25	18819.27	4639.29	28723.62	29327.18	7230.1	16157.44	9215.48	4066.71	3467.27	8718.32	802.41	878.17	2163.77	551.56	1225.22	490.14
DNAJC5B	4.17	0.99	3.72	1.71	1.57	4.1	2.14	2.16	3.0	2.92	8.38	7.0	2.27	110.43	175.07	29.7	180.02	91.41	403.5	447.82	35.25	46.84	108.14	218.79	91.41	42.41	406.31	78.89	31.67	48.87	0.0	1.07	2.43	0.0	2.61	0.79
DOK2	51.35	17.77	12.55	69.52	125.24	142.01	80.57	78.34	120.1	65.26	325.29	89.51	12.27	269.6	1304.15	890.44	2935.74	3103.19	1909.85	915.51	1216.75	1143.1	4512.4	1781.89	414.87	2133.97	450.94	353.59	193.01	753.83	53.57	104.42	147.06	96.01	87.03	59.97
EMR1	2.86	0.82	0.0	2.16	4.21	6.73	2.16	2.66	3.23	2.34	17.77	1.14	0.77	87.03	151.22	126.12	651.58	246.28	217.27	61.25	98.73	325.29	94.01	86.43	58.3	76.71	40.36	39.22	15.0	7.0	0.0	1.43	3.89	12.45	4.35	0.0
FCGR1B	8.51	10.71	5.82	17.25	11.13	14.67	9.27	5.15	5.02	10.79	53.57	6.01	6.06	151.22	255.0	591.22	583.07	1001.93	579.04	170.25	514.56	186.4	403.5	567.1	271.48	403.5	106.63	159.9	94.01	166.73	19.53	24.11	21.47	28.45	5.15	7.75
FERMT3	65.72	61.68	62.56	157.68	228.13	878.17	166.73	130.6	262.2	220.32	591.22	215.77	81.14	684.02	2075.59	1697.45	1769.57	2502.97	2758.13	1437.15	1167.14	1685.71	2335.28	2400.97	1073.91	2627.46	728.11	830.75	703.28	660.68	77.25	127.0	265.87	275.28	75.64	62.56
FES	30.56	115.97	29.91	172.65	209.84	301.33	169.07	113.56	141.02	100.13	277.2	178.77	15.68	323.03	1008.9	343.89	629.35	460.44	447.82	1015.93	397.93	612.11	947.83	536.45	435.55	988.12	249.73	239.52	493.56	119.26	49.91	117.6	105.89	48.52	70.01	37.05
FFAR3	0.0	0.46	1.99	0.0	0.0	0.57	1.35	0.0	1.57	0.0	1.0	0.0	0.0	0.67	12.64	10.24	13.22	14.03	7.75	12.0	5.73	4.78	26.28	7.63	10.16	42.11	4.5	1.51	5.92	0.0	0.0	4.74	2.94	0.0	0.0	0.0
FOLR1	0.0	0.0	181.28	14.78	2.81	1.39	0.31	0.0	1.5	4.43	20.26	4.9	3.44	2417.67	56265.94	6121.9	45072.75	30572.63	14361.31	32092.64	4937.99	16611.71	79022.82	57448.23	2997.45	62865.33	2520.38	954.43	733.19	1.3	0.0	50.98	48.18	6.57	46.84	2.05
GMFG	94.67	100.83	71.5	312.0	435.55	718.08	348.71	307.69	543.96	414.87	947.83	371.22	217.27	1096.5	3467.27	1883.54	3257.52	3928.15	4736.79	5831.91	1208.34	1806.78	9151.82	4152.18	6935.54	2537.92	2434.5	1963.57	718.08	2351.53	309.83	493.56	490.14	417.77	185.11	314.17
GPR132	128.79	3.41	12.09	36.79	34.51	59.97	31.9	17.51	83.45	27.44	73.03	32.82	5.32	73.03	279.14	134.3	158.79	58.3	68.07	780.44	50.27	53.57	77.79	100.83	82.87	223.41	67.12	79.45	102.97	38.95	13.72	51.71	17.13	9.34	7.06	13.22
GUCY1A2	3.56	6.26	1.04	7.57	13.12	13.93	10.08	4.74	12.36	3.23	48.52	3.0	4.86	44.25	57.49	65.72	84.63	54.33	38.67	63.0	111.99	48.52	228.13	31.45	65.26	129.69	37.32	38.67	22.75	3.2	22.59	2.81	1.93	1.01	1.28	0.02
HGF	6.52	6.16	4.1	21.47	59.97	65.26	21.63	13.52	54.33	4.5	44.57	24.99	3.89	199.85	90.77	144.01	99.43	147.06	118.43	237.86	269.6	150.17	165.57	108.9	45.21	164.42	275.28	185.11	66.65	44.89	14.03	35.76	21.94	12.83	5.96	6.26
ICAM4	31.0	0.79	1.04	0.0	2.05	2.61	5.19	0.74	1.89	1.73	3.59	2.07	0.8	31.67	2555.58	83.45	791.35	1104.13	138.1	297.17	163.28	1697.45	802.41	209.84	74.06	3614.55	63.45	40.07	20.86	17.38	0.0	14.24	6.52	22.75	10.16	1.73
ITGB2	249.73	77.79	43.02	470.14	493.56	698.41	348.71	325.29	514.56	291.04	2148.82	339.14	84.04	3349.13	4836.35	5292.48	13492.72	5479.15	6983.79	11664.82	5076.84	2682.69	7485.11	9606.86	3190.46	8963.45	2240.11	1909.85	2255.7	2434.5	173.85	397.93	753.83	480.04	258.57	229.72
KIR2DL1	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	1.99	0.0	0.0	2.41	5.92	9.13	12.0	8.06	0.0	4.9	3.32	7.69	10.96	4.98	6.06	3.23	1.19	3.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIR3DL1	0.0	0.0	0.0	0.0	1.11	2.56	1.07	0.0	1.03	0.0	1.87	0.0	0.0	0.0	20.56	14.89	17.25	21.01	9.2	24.81	6.06	5.54	13.62	18.56	2.71	7.51	3.47	1.45	1.27	0.0	0.0	1.57	0.0	0.0	0.0	1.2
KRT4	3.697379928E7	64.8	0.0	1472666.19	1.810644424E7	2263304.65	6140819.49	2.276004283E7	3359929.59	2654482.97	1800541.22	3.109113511E7	0.84	403.5	128.79	134.3	2664.15	47.17	1175.27	591.22	954.43	92.05	872.1	403.5	231.32	2178.83	1.41	190.34	108.14	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LCP2	69.52	39.79	40.93	267.73	271.48	379.04	241.19	163.28	334.46	205.5	780.44	175.07	36.27	934.76	1977.24	860.08	1104.13	1225.22	842.36	825.0	1175.27	480.04	1350.18	775.05	728.11	1794.29	647.07	866.07	733.19	316.37	73.03	220.32	204.07	187.71	69.03	48.18
LILRA4	0.0	1.27	0.0	1.87	15.68	34.75	5.41	2.76	2.89	5.63	7.34	19.25	0.0	43.63	4.21	34.02	120.94	68.55	47.17	69.52	17.64	40.07	111.99	32.13	33.78	106.63	14.45	47.17	40.36	39.22	1.83	11.47	29.27	8.25	1.68	10.79
LITAF	688.78	2664.15	429.54	1277.29	1127.35	1250.98	2104.58	647.07	1088.92	1519.15	1757.34	693.58	1208.34	3982.99	10154.69	6294.04	4010.71	3847.29	5183.54	4328.55	5594.3	3540.14	4869.99	3303.0	4210.15	4450.27	3901.01	4639.29	3564.78	1674.06	511.0	1551.09	1883.54	1277.29	1605.83	764.36
LPL	21.32	3.29	22.92	514.56	40.64	17.13	9.85	6.11	58.71	17.38	1167.14	5.15	10.08	403.5	2682.69	483.38	20737.16	1781.89	4639.29	2777.33	902.89	2682.69	6792.79	493.56	1963.57	2004.85	4575.41	314.17	256.78	264.03	34.75	51.71	28.65	74.58	24.11	94.67
LRRC25	29.91	8.71	6.26	50.98	94.67	63.45	34.51	33.3	54.72	20.26	217.27	18.7	7.22	221.86	346.29	423.61	896.64	703.28	665.29	521.76	785.88	279.14	432.53	808.0	543.96	567.1	403.5	215.77	142.01	229.72	4.5	33.78	75.11	27.64	33.06	27.05
LRRC32	177.53	61.68	140.04	117.6	400.71	387.02	336.79	167.9	343.89	82.29	466.88	136.19	77.79	723.08	4769.75	2627.46	2434.5	1572.76	1639.59	1769.57	1066.48	1769.57	2335.28	1594.73	2351.53	1295.13	3212.66	842.36	483.38	493.56	287.01	514.56	155.5	151.22	144.01	173.85
MCOLN1	341.51	363.56	366.09	483.38	679.29	674.59	426.57	540.19	633.73	743.43	775.05	563.18	392.44	447.82	718.08	651.58	995.0	928.3	1059.11	1135.2	728.11	1359.57	1208.34	1378.57	802.41	1508.65	884.29	514.56	466.88	529.06	255.0	242.88	348.71	314.17	341.51	420.68
MPO	1.06	0.0	0.0	3.59	3.47	4.28	1.14	3.72	3.17	1.04	7.11	1.2	0.0	5.96	70.01	6.46	40.64	14.45	21.16	18.84	33.78	10.31	172.65	22.92	13.52	19.25	13.42	7.34	5.87	1.07	0.33	1.71	0.52	0.42	7.63	0.64
MRC1	2.78	2.36	0.39	0.0	52.08	23.42	9.27	0.0	16.63	2.29	7.11	6.11	0.0	366.09	2451.44	791.35	743.43	1936.53	180.02	4836.35	2720.15	23.08	1733.13	5441.3	571.05	271.48	2682.69	44.57	142.01	50.27	0.0	1.57	0.0	0.57	6.52	34.02
MS4A7	35.0	47.84	11.82	131.51	149.12	234.57	111.21	29.06	117.6	55.89	583.07	58.3	18.03	1286.18	1674.06	1268.46	4152.18	2502.97	3168.41	6745.86	3820.7	3665.02	3716.2	3690.52	813.63	6516.03	1769.57	928.3	470.14	444.72	22.26	118.43	140.04	36.01	37.32	60.39
MYO1G	55.89	8.19	7.82	66.18	85.22	176.29	78.34	48.18	84.04	103.69	198.47	104.42	8.71	173.85	215.77	503.95	511.0	543.96	551.56	457.25	368.65	460.44	486.75	457.25	189.02	559.28	348.71	194.36	218.79	165.57	65.72	175.07	63.89	110.43	21.32	23.08
NAGA	334.46	819.3	295.11	395.18	483.38	525.39	417.77	371.22	444.72	397.93	497.0	400.71	397.93	1001.93	878.17	866.07	1111.82	1447.15	830.75	1104.13	1081.39	603.67	1350.18	1407.55	529.06	981.29	775.05	860.08	764.36	642.59	389.72	264.03	497.0	318.57	395.18	239.52
NFAM1	9.85	5.5	2.01	16.27	36.79	37.05	24.81	17.38	32.59	10.31	96.68	15.56	2.43	132.44	420.68	220.32	728.11	305.55	351.14	902.89	297.17	209.84	279.14	295.11	332.14	356.05	204.07	110.43	105.89	64.34	13.12	18.56	32.59	22.43	13.72	16.51
NLRC4	5.02	3.06	4.13	11.21	10.55	13.52	10.0	7.75	9.56	5.59	42.41	5.92	2.34	64.34	262.2	167.9	426.57	339.14	480.04	275.28	285.03	177.53	368.65	417.77	249.73	251.48	108.14	41.22	27.25	34.02	3.2	8.71	10.24	6.31	5.11	8.13
NLRP12	0.73	0.0	0.0	1.97	1.81	3.41	3.0	0.91	2.48	1.93	2.97	0.87	0.0	8.38	58.3	75.64	147.06	65.26	113.56	52.45	54.72	28.45	42.41	68.07	154.42	54.33	7.57	5.36	4.13	6.84	0.0	0.6	2.97	0.0	0.84	0.14
NRGN	92.7	24.99	132.44	90.14	178.77	208.38	74.06	104.42	175.07	79.45	133.36	42.11	80.57	277.2	9409.14	4298.64	1572.76	5403.7	2956.17	4836.35	5076.84	2875.3	16157.44	2032.85	5006.93	9215.48	6561.36	334.46	579.04	63.45	122.64	98.73	50.27	54.72	47.84	70.01
NRP1	43.63	164.42	33.78	176.29	253.23	299.25	511.0	158.79	318.57	177.53	583.07	153.34	66.65	1051.79	2319.15	1277.29	854.13	1561.89	1151.06	1936.53	1832.01	551.56	3103.19	1685.71	764.36	2485.67	1594.73	921.88	412.0	353.59	529.06	397.93	242.88	206.94	175.07	193.01
NTNG1	27.25	0.0	1.53	0.35	3.2	2.66	43.32	2.43	0.0	1.08	14.35	7.17	0.0	130.6	45.85	47.5	22.59	126.12	19.68	93.35	60.82	16.75	447.82	26.1	11.82	147.06	129.69	11.47	5.68	1.81	3.0	1.93	0.57	1.25	0.0	0.0
NUCB1	2875.3	2796.65	2739.08	2915.45	4736.79	3982.99	5147.73	3639.7	4869.99	3039.3	5329.3	3716.2	1467.37	7966.99	8840.04	8022.41	8191.0	11584.24	8658.09	13968.57	5751.61	6887.62	12676.65	14765.09	6079.61	11035.54	9151.82	6699.25	5292.48	3325.99	2835.7	2895.31	3395.89	2816.11	3847.29	2664.15
PLEKHO2	220.32	142.01	60.39	159.9	379.04	334.46	224.97	175.07	336.79	162.14	624.99	223.41	104.42	620.67	3874.05	785.88	1447.15	1331.57	1199.98	1051.79	836.53	988.12	486.75	1037.29	748.61	2240.11	373.81	748.61	543.96	647.07	256.78	429.54	264.03	265.87	234.57	244.57
RASGRP4	4.17	2.14	1.43	18.29	47.84	37.85	31.0	21.63	38.12	10.31	52.82	35.0	2.71	62.56	234.57	164.42	379.04	237.86	283.05	199.85	325.29	229.72	239.52	195.72	371.22	206.94	102.25	61.68	31.9	43.32	9.13	14.45	13.22	16.39	10.08	10.88
RGS16	96.68	88.88	120.94	89.51	27.05	336.79	73.54	28.45	86.43	122.64	320.8	23.59	65.26	269.6	1697.45	1950.0	507.46	743.43	769.69	693.58	441.64	1001.93	1233.75	1870.53	1277.29	587.13	1745.2	381.68	332.14	167.9	104.42	255.0	80.01	397.93	59.55	81.71
S100Z	0.0	0.0	0.0	0.69	0.4	4.94	0.79	1.36	1.91	2.41	5.63	5.41	0.79	5.06	2.01	6.31	11.13	17.13	7.75	13.62	7.28	15.8	12.93	5.23	4.9	18.29	4.39	15.56	5.02	2.01	0.0	0.0	1.58	1.19	0.28	0.47
SELL	20.86	5.63	1.06	27.64	40.36	194.36	21.63	19.53	26.86	57.49	63.89	127.89	7.75	241.19	796.86	642.59	473.41	267.73	796.86	409.15	723.08	68.55	1151.06	769.69	902.89	198.47	633.73	363.56	277.2	127.89	18.7	129.69	37.59	56.28	6.11	14.78
SELPLG	133.36	28.24	42.11	100.83	151.22	264.03	106.63	75.64	152.28	88.88	327.56	115.16	37.59	511.0	2178.83	896.64	3349.13	2520.38	2178.83	2739.08	2032.85	830.75	2997.45	2400.97	1561.89	2384.37	915.51	591.22	412.0	435.55	69.03	297.17	211.31	156.59	89.51	112.77
SIGLEC5	2.89	2.18	0.0	6.89	5.87	26.28	4.24	5.28	8.25	14.45	27.64	8.06	0.0	12.09	214.27	74.06	8.65	95.34	182.55	33.3	119.26	31.45	214.27	106.63	132.44	81.14	28.04	32.36	15.11	17.9	0.0	7.22	10.08	1.79	4.5	0.83
SLC16A4	15.45	4.94	29.27	27.25	90.77	68.55	28.04	16.15	33.06	52.45	52.45	37.05	3.41	81.14	463.65	80.57	117.6	785.88	156.59	1936.53	98.73	143.01	3443.31	1487.87	59.13	575.03	180.02	177.53	61.68	52.08	15.45	23.93	32.59	7.51	8.13	6.41
SLC22A31	0.0	0.0	1.46	1.33	3.32	0.0	1.71	0.2	2.53	0.0	1.3	1.22	0.95	400.71	10440.2	13123.73	6079.61	17927.91	7911.95	7230.1	6037.61	13033.07	3515.68	16045.82	7180.15	7331.05	17681.08	363.56	417.77	0.0	4.78	4.66	2.61	2.43	2.03	0.39
SLC2A3	275.28	82.29	55.89	150.17	137.14	414.87	186.4	79.45	163.28	100.13	536.45	148.09	68.07	587.13	1870.53	1508.65	1051.79	775.05	1519.15	1295.13	1781.89	1417.35	6792.79	842.36	1617.0	2739.08	2319.15	447.82	759.08	211.31	616.37	514.56	72.01	118.43	60.82	99.43
SPI1	124.37	59.13	44.89	366.09	395.18	591.22	343.89	262.2	423.61	363.56	1697.45	312.0	41.22	1119.56	4095.0	2664.15	6935.54	4450.27	6426.31	3794.3	3303.0	3235.01	4543.8	3515.68	1794.29	4388.98	1757.34	1233.75	947.83	1519.15	299.25	201.25	490.14	373.81	197.09	228.13
SPN	74.06	2.76	11.3	38.12	57.89	98.73	73.03	38.67	47.84	32.13	161.02	70.01	14.45	208.38	1467.37	753.83	2796.65	1977.24	1498.22	1143.1	1447.15	1143.1	1467.37	371.22	94.01	5147.73	688.78	163.28	162.14	67.12	72.01	137.14	152.28	275.28	31.22	9.85
SPOCK2	38.67	19.53	18.03	120.1	97.36	193.01	85.82	56.28	74.06	103.69	208.38	118.43	20.11	529.06	4095.0	4328.55	7485.11	4736.79	2178.83	1583.71	2935.74	2178.83	6294.04	988.12	4239.45	6607.01	1167.14	325.29	312.0	9.78	71.5	493.56	86.43	89.51	36.27	35.25
ST6GALNAC5	2.97	5.73	3.11	6.31	43.32	18.97	21.01	2.66	1.91	6.16	82.29	23.08	14.35	63.0	271.48	303.44	587.13	563.18	153.34	229.72	332.14	152.28	642.59	171.45	197.09	395.18	72.01	98.04	37.59	22.59	0.17	1.58	13.03	4.58	1.75	0.0
SULT1A1	142.01	38.95	90.77	163.28	108.9	361.04	58.3	51.35	59.55	114.36	117.6	54.33	186.4	642.59	2609.3	1066.48	3124.78	8538.88	4210.15	3349.13	928.3	5791.62	3325.99	6471.02	1096.5	6699.25	3491.39	497.0	693.58	156.59	50.98	20.71	178.77	74.06	90.14	82.87
SULT1A2	10.0	0.59	6.94	5.32	9.7	41.81	1.99	0.0	3.08	7.57	6.94	2.01	0.0	217.27	507.46	141.02	860.08	1216.75	1427.22	1135.2	72.01	934.76	748.61	285.03	466.88	1030.12	242.88	49.91	32.82	7.0	5.54	10.0	16.15	6.16	9.41	7.63
TAGAP	28.24	3.72	1.45	41.52	38.95	72.52	32.36	15.0	48.52	27.44	58.3	43.63	14.45	127.89	150.17	126.12	175.07	224.97	110.43	142.01	198.47	141.02	684.02	119.26	88.88	361.04	172.65	144.01	123.5	58.3	21.94	68.55	52.08	84.63	17.13	3.17
THEMIS2	603.67	45.53	142.01	249.73	234.57	316.37	226.54	264.03	239.52	209.84	616.37	151.22	58.3	941.27	2255.7	1551.09	2573.36	2434.5	2609.3	6079.61	1175.27	3280.18	656.11	1397.83	1313.23	3794.3	4328.55	954.43	688.78	291.04	80.01	187.71	212.78	165.57	105.15	149.12
TM6SF1	17.64	53.95	39.5	64.34	56.28	61.25	57.49	63.0	42.11	51.35	129.69	53.57	34.02	177.53	221.86	178.77	435.55	366.09	412.0	493.56	503.95	199.85	503.95	293.07	281.09	309.83	244.57	173.85	141.02	140.04	52.45	44.25	73.54	37.32	41.81	52.82
