	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.EM.A2CS.01A.11R.A180.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.ET.A39S.01A.11R.A19O.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A3AR.01A.12R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
AXIN1	500.46	457.25	555.41	514.56	521.76	412.0	551.56	397.93	493.56	591.22	463.65	603.67	486.75	624.99	483.38	379.04	432.53	493.56	450.94	567.1	543.96	441.64	563.18	435.55	529.06	470.14	417.77	571.05	555.41	476.71	457.25	463.65	854.13	723.08	518.15	555.41	392.44	457.25	457.25	503.95	392.44	438.59	305.55	334.46	412.0	384.34	454.09	417.77	403.5	281.09	348.71	547.75	454.09	447.82	361.04	356.05	412.0	368.65	343.89	429.54	368.65	351.14	358.54	400.71	420.68	414.87	351.14	417.77	403.5	387.02	361.04	379.04	356.05	429.54	353.59	376.41	409.15	323.03	450.94	325.29	334.46	368.65	473.41	397.93	414.87	323.03	409.15	351.14	339.14	334.46	334.46	323.03	285.03	312.0	291.04	327.56	327.56	417.77	480.04	547.75	432.53	341.51	429.54
B4GALT6	159.9	215.77	120.1	143.01	111.21	212.78	169.07	106.63	137.14	88.26	106.63	204.07	94.01	366.09	127.0	33.54	152.28	115.97	99.43	127.89	177.53	70.51	237.86	185.11	215.77	58.71	186.4	237.86	140.04	83.45	60.82	76.17	84.63	49.56	92.05	251.48	123.5	159.9	105.15	47.84	47.5	63.0	37.59	34.26	29.91	11.91	26.1	76.71	31.0	26.67	44.57	24.99	39.22	11.55	32.36	63.0	54.72	27.84	45.53	26.67	44.89	65.26	34.26	32.82	40.93	19.97	44.25	38.95	23.08	52.82	15.11	25.91	70.01	12.45	12.45	48.87	36.27	59.55	29.91	11.73	44.25	43.94	61.68	10.24	19.68	55.49	14.89	19.53	30.34	7.57	33.06	21.78	30.56	49.21	17.9	29.27	32.59	47.17	31.22	23.08	44.89	38.12	36.79
BID	733.19	1066.48	1135.2	1001.93	981.29	1175.27	1081.39	1369.04	988.12	1369.04	1081.39	1250.98	447.82	723.08	1159.07	547.75	961.07	1183.45	1030.12	1295.13	1498.22	1051.79	1322.37	733.19	842.36	507.46	1111.82	1427.22	988.12	1199.98	974.5	256.78	954.43	1540.37	1250.98	1199.98	1407.55	476.71	1159.07	1119.56	642.59	154.42	154.42	120.94	201.25	126.12	69.03	161.02	105.89	279.14	135.24	72.01	137.14	169.07	158.79	107.38	182.55	123.5	205.5	115.16	182.55	98.04	159.9	156.59	101.54	127.0	186.4	258.57	143.01	131.51	170.25	228.13	159.9	346.29	197.09	144.01	112.77	117.6	389.72	169.07	105.89	172.65	118.43	137.14	65.26	142.01	307.69	299.25	102.97	180.02	50.63	229.72	137.14	78.34	103.69	156.59	90.77	109.66	111.21	555.41	111.99	88.26	71.5
BLOC1S2	1015.93	896.64	1135.2	1340.84	1216.75	1388.16	1104.13	934.76	791.35	1519.15	1081.39	813.63	1183.45	1037.29	1127.35	988.12	902.89	1216.75	1322.37	1051.79	1015.93	1216.75	1407.55	1023.0	1233.75	785.88	1167.14	1119.56	1427.22	1008.9	1369.04	1111.82	1127.35	1397.83	1259.69	1051.79	1183.45	1151.06	733.19	1119.56	921.88	620.67	525.39	1151.06	693.58	836.53	825.0	878.17	624.99	1037.29	1127.35	629.35	961.07	713.11	703.28	915.51	780.44	607.87	878.17	543.96	674.59	860.08	764.36	748.61	775.05	723.08	967.76	674.59	796.86	954.43	872.1	764.36	819.3	860.08	693.58	872.1	896.64	743.43	753.83	679.29	743.43	854.13	688.78	775.05	769.69	836.53	688.78	748.61	813.63	1015.93	884.29	684.02	669.92	860.08	813.63	848.22	656.11	878.17	1008.9	743.43	842.36	941.27	1151.06
BMP1	1167.14	1909.85	1359.57	1745.2	1183.45	1191.69	1259.69	1447.15	1769.57	1268.46	1467.37	1583.71	1242.34	1417.35	1685.71	954.43	1651.0	1437.15	1233.75	1151.06	1519.15	1208.34	1407.55	1487.87	1277.29	1259.69	1467.37	1832.01	1135.2	1250.98	1037.29	1059.11	1044.52	1199.98	1639.59	1457.23	1191.69	1111.82	1216.75	1199.98	796.86	480.04	323.03	226.54	351.14	339.14	540.19	244.57	463.65	759.08	356.05	316.37	417.77	339.14	503.95	607.87	651.58	483.38	493.56	583.07	529.06	403.5	460.44	555.41	480.04	514.56	547.75	371.22	325.29	429.54	571.05	441.64	551.56	480.04	493.56	476.71	466.88	409.15	536.45	327.56	454.09	497.0	629.35	559.28	470.14	529.06	384.34	339.14	423.61	353.59	361.04	708.18	318.57	612.11	289.02	397.93	389.72	363.56	547.75	1199.98	463.65	346.29	429.54
C19orf26	105.15	83.45	74.58	109.66	63.0	40.93	71.5	146.03	87.03	70.01	81.14	82.29	82.29	129.69	99.43	22.75	44.25	74.58	21.01	39.5	87.65	59.97	110.43	48.18	50.27	38.67	33.3	133.36	76.71	31.67	39.79	80.01	65.72	120.1	40.36	86.43	56.68	73.54	80.57	70.01	42.41	21.16	31.67	6.31	5.32	15.8	18.84	5.02	8.32	10.88	11.64	48.52	28.86	30.56	1.45	11.73	16.75	12.36	12.45	14.03	30.12	23.59	20.26	11.73	8.0	15.0	15.11	5.82	15.91	6.73	16.75	43.02	18.84	8.71	12.27	30.78	17.0	9.27	30.56	15.56	15.45	32.59	10.71	4.66	12.45	32.82	4.86	34.75	7.06	16.27	7.82	25.72	7.94	7.82	6.67	23.25	16.63	22.59	23.42	31.67	13.93	17.13	12.09
C1orf116	688.78	718.08	497.0	193.01	503.95	587.13	559.28	723.08	555.41	197.09	260.38	733.19	450.94	158.79	363.56	218.79	395.18	493.56	348.71	708.18	769.69	514.56	764.36	244.57	587.13	244.57	830.75	381.68	348.71	295.11	262.2	170.25	559.28	172.65	223.41	896.64	961.07	381.68	616.37	387.02	269.6	90.14	73.54	55.49	169.07	80.01	102.25	271.48	105.89	21.32	156.59	71.5	50.27	43.32	205.5	38.95	84.63	154.42	265.87	323.03	84.04	511.0	214.27	106.63	132.44	84.04	29.7	128.79	90.77	159.9	180.02	351.14	102.25	273.37	150.17	38.12	281.09	8.32	197.09	151.22	47.5	221.86	197.09	242.88	543.96	119.26	57.89	171.45	198.47	414.87	348.71	108.14	191.67	1529.73	142.01	242.88	327.56	30.78	123.5	231.32	88.88	133.36	32.82
C1orf170	100.83	145.02	142.01	205.5	181.28	118.43	176.29	115.16	53.19	122.64	78.89	59.13	67.59	94.01	191.67	47.5	113.56	82.87	161.02	123.5	84.63	77.25	211.31	96.01	108.9	69.52	151.22	150.17	175.07	55.1	90.14	40.36	153.34	59.97	151.22	65.72	90.14	59.13	100.13	175.07	56.28	11.21	4.31	21.47	3.03	6.94	9.78	2.18	5.5	36.53	2.18	2.39	2.76	12.55	12.0	2.97	20.41	4.82	7.46	5.02	3.08	8.0	6.06	10.31	18.29	8.85	8.38	4.46	2.81	7.51	2.27	2.61	6.16	11.55	50.27	7.4	4.35	4.5	30.56	7.88	7.63	5.28	18.7	2.56	11.91	11.82	3.06	6.73	2.03	11.21	6.73	3.82	7.0	3.2	4.46	3.08	3.06	18.16	15.45	47.84	11.21	1.16	3.89
C1orf85	1015.93	1268.46	1322.37	1437.15	1350.18	1359.57	1498.22	1233.75	1583.71	1794.29	1096.5	967.76	1709.26	1313.23	1081.39	1073.91	1477.58	1242.34	1167.14	1832.01	1397.83	1127.35	1697.45	1183.45	1151.06	1427.22	1628.26	1268.46	1617.0	842.36	1151.06	1304.15	1259.69	1519.15	1167.14	1127.35	954.43	1233.75	1397.83	1073.91	1111.82	842.36	934.76	1008.9	934.76	896.64	1208.34	1088.92	723.08	1175.27	764.36	759.08	836.53	532.74	830.75	1051.79	1119.56	967.76	1175.27	1044.52	1051.79	1417.35	1191.69	1540.37	995.0	1023.0	988.12	1037.29	693.58	1331.57	825.0	890.44	981.29	866.07	934.76	1143.1	1135.2	791.35	902.89	1159.07	981.29	1167.14	967.76	1088.92	1037.29	854.13	718.08	890.44	728.11	1277.29	1498.22	1037.29	1208.34	1498.22	647.07	967.76	1268.46	1104.13	1286.18	1151.06	1216.75	909.17	1023.0
C20orf112	323.03	470.14	483.38	473.41	403.5	438.59	507.46	412.0	429.54	483.38	316.37	624.99	403.5	738.29	563.18	312.0	532.74	454.09	470.14	403.5	500.46	400.71	444.72	371.22	463.65	353.59	447.82	547.75	507.46	559.28	332.14	363.56	493.56	389.72	432.53	480.04	490.14	397.93	379.04	368.65	271.48	273.37	197.09	202.66	189.02	166.73	181.28	157.68	199.85	258.57	193.01	303.44	165.57	204.07	253.23	265.87	253.23	199.85	175.07	150.17	193.01	205.5	220.32	182.55	271.48	117.6	212.78	273.37	147.06	156.59	171.45	138.1	309.83	197.09	151.22	217.27	148.09	269.6	258.57	177.53	218.79	189.02	242.88	157.68	148.09	323.03	154.42	260.38	197.09	142.01	159.9	206.94	236.21	153.34	153.34	176.29	185.11	177.53	185.11	223.41	215.77	201.25	236.21
