	GTEX.SE5C.1026.SM.4BRUG	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.RM2N.1126.SM.48FCY	GTEX.OOBK.2025.SM.3LK5S	GTEX.11P82.1126.SM.5BC5K	GTEX.1399T.1226.SM.5P9J5	GTEX.WK11.2626.SM.4OOSK	GTEX.11P7K.0626.SM.5985Z	GTEX.11EQ9.1726.SM.5HL6U	GTEX.11ZUS.2126.SM.5N9E6	GTEX.ZDYS.1226.SM.5IJF3	GTEX.12696.2226.SM.5EQ65	GTEX.13CF2.2426.SM.5LZYL	GTEX.S4Z8.1226.SM.4AD6W	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ
GRID2IP	0.36	0.45	2.63	0.0	1.17	16.88	4.54	10.24	3.79	5.92	3.56	2.27	15.56	10.47	3.2	13.22	5.11	7.88	8.06	3.23	0.0	0.0	0.87	0.0	3.96	1.81	1.83	0.85	0.0	0.0	0.0	0.0	0.0	0.88
GSTO2	34.26	8.38	26.86	3.26	309.83	1295.13	473.41	693.58	234.57	264.03	221.86	159.9	896.64	890.44	70.51	1001.93	518.15	1127.35	872.1	158.79	53.19	39.22	76.17	28.86	45.21	99.43	30.56	18.16	46.5	22.92	24.81	32.13	62.12	30.12
HPN	2.61	8.78	11.91	2.36	28.45	1322.37	457.25	813.63	305.55	127.0	289.02	189.02	902.89	733.19	108.14	1143.1	536.45	540.19	327.56	155.5	61.68	3.23	20.26	1.11	3.76	63.89	1.2	0.43	5.87	0.0	0.23	2.1	0.78	0.16
HSD17B12	460.44	967.76	947.83	764.36	1477.58	1529.73	1259.69	2240.11	1437.15	1781.89	1216.75	1508.65	2287.2	1331.57	1388.16	1745.2	1883.54	1183.45	1628.26	1844.76	1199.98	543.96	860.08	830.75	1233.75	1135.2	819.3	267.73	575.03	435.55	974.5	356.05	813.63	511.0
HSD17B8	400.71	253.23	314.17	212.78	486.75	902.89	540.19	547.75	429.54	872.1	291.04	476.71	981.29	854.13	473.41	607.87	733.19	791.35	638.15	379.04	1417.35	299.25	336.79	246.28	366.09	108.14	232.94	181.28	217.27	232.94	172.65	441.64	246.28	111.99
IRX2	0.0	0.0	1.06	0.0	43.02	87.03	71.5	181.28	90.14	110.43	63.45	81.14	190.34	90.14	6.36	295.11	59.13	57.49	119.26	208.38	31.67	2.61	41.52	1.87	2.81	19.82	0.26	0.23	7.22	1.79	0.84	0.04	1.58	1.73
IRX3	9.63	5.41	5.15	1.03	205.5	417.77	599.49	1417.35	137.14	262.2	476.71	392.44	647.07	423.61	104.42	1119.56	860.08	571.05	1199.98	180.02	285.03	14.35	37.85	10.16	9.63	40.64	7.63	3.82	13.72	6.52	5.32	3.32	11.04	4.9
KRTCAP3	34.26	18.29	4.43	0.0	248.0	2434.5	825.0	2047.0	612.11	796.86	693.58	753.83	1662.49	1066.48	156.59	1561.89	1088.92	1397.83	1721.16	406.31	80.01	70.51	129.69	47.5	90.77	231.32	63.89	43.63	108.14	38.4	61.68	72.52	43.94	49.21
LINGO4	0.33	0.0	0.22	0.0	5.73	25.91	2.97	22.1	4.94	4.24	8.0	6.84	8.13	20.71	1.71	24.46	18.03	11.64	39.22	6.52	42.41	1.27	0.0	1.22	0.0	0.87	0.0	0.85	0.0	0.0	0.87	0.87	0.47	0.0
MAP7	47.5	9.93	7.82	0.78	108.9	703.28	368.65	884.29	305.55	279.14	281.09	190.34	1059.11	356.05	171.45	669.92	414.87	373.81	665.29	223.41	105.15	29.7	85.82	44.25	52.82	133.36	62.56	31.45	41.81	31.9	47.5	54.72	49.56	29.48
MARVELD2	23.42	3.06	0.0	0.0	64.8	262.2	142.01	327.56	102.25	98.04	126.12	128.79	221.86	170.25	47.84	236.21	158.79	165.57	253.23	108.14	46.84	22.92	53.95	17.13	34.26	51.35	20.71	17.0	32.13	17.9	23.42	27.25	0.0	18.56
METTL10	125.24	177.53	273.37	169.07	305.55	607.87	309.83	339.14	293.07	343.89	289.02	267.73	353.59	435.55	454.09	255.0	291.04	414.87	283.05	438.59	260.38	202.66	316.37	189.02	285.03	307.69	237.86	164.42	152.28	143.01	170.25	231.32	194.36	214.27
MGMT	336.79	368.65	314.17	332.14	486.75	536.45	656.11	587.13	738.29	1001.93	432.53	493.56	769.69	1208.34	1322.37	607.87	708.18	571.05	599.49	444.72	660.68	423.61	674.59	221.86	718.08	187.71	229.72	177.53	269.6	414.87	363.56	351.14	376.41	208.38
MTHFS	543.96	406.31	327.56	237.86	941.27	3212.66	1127.35	1369.04	819.3	1498.22	1119.56	1167.14	1447.15	1781.89	1088.92	1745.2	1870.53	1757.34	1388.16	1096.5	318.57	229.72	447.82	412.0	603.67	197.09	379.04	190.34	463.65	423.61	389.72	312.0	177.53	255.0
NWD1	1.87	0.0	2.84	1.17	19.39	241.19	48.87	224.97	55.89	49.91	52.45	45.85	291.04	109.66	22.75	221.86	138.1	158.79	157.68	30.12	7.34	0.0	2.01	0.55	2.81	0.56	0.57	2.16	1.07	0.53	0.0	0.8	1.0	2.05
OAZ3	18.7	28.45	43.02	27.25	75.11	780.44	320.8	595.34	153.34	138.1	316.37	223.41	796.86	435.55	103.69	435.55	301.33	473.41	599.49	121.79	39.22	14.45	46.84	35.5	73.03	36.53	16.15	20.86	18.29	18.56	31.0	28.86	12.64	58.71
PEX11G	44.25	71.5	49.91	61.25	158.79	373.81	209.84	336.79	118.43	303.44	152.28	135.24	334.46	309.83	167.9	363.56	269.6	346.29	371.22	167.9	84.63	118.43	69.52	113.56	86.43	27.64	102.97	53.95	54.33	98.73	49.91	120.1	20.11	58.71
PEX7	100.13	136.19	98.04	59.55	229.72	521.76	211.31	444.72	327.56	412.0	202.66	277.2	460.44	417.77	299.25	473.41	384.34	277.2	376.41	470.14	204.07	80.01	96.01	124.37	138.1	128.79	134.3	84.63	88.26	105.15	102.97	106.63	67.59	76.71
PIGB	180.02	148.09	177.53	86.43	299.25	450.94	293.07	329.84	269.6	301.33	283.05	234.57	373.81	307.69	239.52	332.14	249.73	607.87	329.84	258.57	182.55	211.31	248.0	159.9	283.05	156.59	212.78	118.43	109.66	151.22	115.97	167.9	80.57	231.32
PIGN	86.43	69.03	127.0	39.5	143.01	688.78	332.14	476.71	229.72	249.73	148.09	320.8	651.58	275.28	161.02	555.41	187.71	277.2	406.31	351.14	153.34	135.24	115.97	159.9	114.36	159.9	131.51	81.14	100.13	97.36	112.77	80.01	64.8	152.28
PIGO	170.25	171.45	163.28	197.09	283.05	567.1	503.95	567.1	211.31	514.56	540.19	358.54	665.29	525.39	366.09	579.04	358.54	543.96	759.08	441.64	248.0	228.13	172.65	271.48	249.73	206.94	248.0	204.07	201.25	208.38	176.29	248.0	122.64	244.57
PPAPDC1B	318.57	356.05	318.57	379.04	780.44	6426.31	2178.83	5006.93	1628.26	1467.37	1991.0	1685.71	6887.62	2855.44	1304.15	3303.0	2384.37	2835.7	4239.45	1583.71	327.56	389.72	808.0	409.15	733.19	698.41	529.06	563.18	693.58	414.87	400.71	743.43	928.3	599.49
PPM1H	8.45	11.55	28.65	8.85	44.57	693.58	194.36	703.28	229.72	182.55	153.34	120.1	738.29	532.74	111.99	642.59	193.01	334.46	642.59	153.34	6.57	9.13	11.21	10.24	12.36	17.0	16.51	10.88	12.18	8.0	7.34	10.24	13.12	9.93
RABEP2	289.02	258.57	221.86	158.79	376.41	808.0	733.19	890.44	271.48	490.14	679.29	579.04	1216.75	1096.5	450.94	974.5	656.11	928.3	1594.73	346.29	320.8	275.28	148.09	173.85	191.67	103.69	132.44	187.71	163.28	164.42	175.07	165.57	94.01	232.94
RBBP8NL	2.32	0.47	0.0	0.0	7.51	52.45	28.24	36.01	16.03	34.75	36.27	42.71	114.36	82.29	15.0	84.04	40.07	105.89	76.71	13.62	49.91	2.84	8.99	0.0	2.12	3.44	0.0	0.0	2.84	0.0	0.0	0.0	0.0	3.5
RDH11	2133.97	1359.57	981.29	733.19	2367.9	32767.0	6887.62	31870.96	9808.75	6887.62	5255.91	2816.11	43840.21	12244.81	3982.99	27938.14	15392.14	7642.41	15934.98	5594.3	591.22	1806.78	1199.98	934.76	872.1	1119.56	934.76	1159.07	507.46	974.5	890.44	713.11	1388.16	1015.93
RHPN2	13.12	7.51	4.24	11.3	116.78	1806.78	769.69	1225.22	251.48	229.72	323.03	224.97	1225.22	521.76	138.1	872.1	299.25	381.68	915.51	283.05	28.86	33.54	77.79	27.05	95.34	273.37	96.68	29.48	82.87	28.04	39.22	41.22	62.56	33.3
RNF43	5.82	1.81	5.82	0.0	83.45	189.02	332.14	323.03	63.89	139.07	177.53	106.63	466.88	373.81	39.5	417.77	246.28	371.22	356.05	40.64	70.51	5.28	56.68	10.31	24.63	26.67	10.47	10.88	14.03	8.0	4.35	8.92	5.77	5.23
SEC11C	660.68	928.3	713.11	483.38	2451.44	20451.65	3419.52	16157.44	3847.29	4038.61	3794.3	2956.17	19214.73	8078.22	1936.53	13968.57	4543.8	3768.09	15934.98	4512.4	995.0	607.87	1081.39	1277.29	909.17	928.3	947.83	518.15	915.51	1159.07	769.69	591.22	633.73	759.08
SEC23B	392.44	248.0	163.28	73.03	351.14	1467.37	674.59	2133.97	813.63	928.3	1015.93	1135.2	2209.26	1008.9	583.07	1295.13	1066.48	866.07	1909.85	928.3	483.38	273.37	273.37	358.54	199.85	307.69	500.46	384.34	287.01	303.44	281.09	215.77	167.9	323.03
SLC35A3	119.26	205.5	112.77	167.9	265.87	842.36	406.31	647.07	293.07	454.09	307.69	285.03	928.3	366.09	395.18	583.07	363.56	351.14	595.34	620.67	180.02	204.07	186.4	185.11	228.13	567.1	237.86	159.9	150.17	186.4	232.94	231.32	125.24	150.17
SLC35F4	2.61	0.89	0.59	0.68	88.88	14.56	43.32	34.51	45.53	133.36	27.44	57.49	28.45	38.4	18.03	27.44	88.26	110.43	64.34	40.93	3.38	4.94	2.2	0.19	0.38	0.2	0.0	0.77	0.41	0.0	0.39	0.0	0.0	0.0
SLC39A9	403.5	420.68	381.68	267.73	507.46	1369.04	728.11	1088.92	493.56	595.34	825.0	603.67	1225.22	878.17	674.59	1001.93	642.59	896.64	1015.93	688.78	429.54	423.61	426.57	429.54	450.94	339.14	417.77	409.15	316.37	376.41	368.65	336.79	223.41	358.54
SLC44A4	6.67	2.76	12.83	0.16	860.08	6294.04	3081.75	4736.79	1745.2	1583.71	2075.59	1369.04	5791.62	3768.09	583.07	4239.45	2777.33	2287.2	6294.04	1104.13	12.18	32.59	129.69	14.35	129.69	620.67	127.89	6.94	166.73	9.78	43.32	13.52	8.85	27.64
SMPDL3A	156.59	159.9	68.07	91.41	759.08	981.29	511.0	633.73	830.75	1757.34	688.78	460.44	511.0	638.15	460.44	753.83	703.28	480.04	612.11	802.41	785.88	376.41	183.82	176.29	231.32	246.28	167.9	89.51	204.07	178.77	154.42	155.5	131.51	151.22
SORD	218.79	170.25	167.9	52.82	842.36	19082.0	3742.05	31215.04	7081.29	2895.31	3467.27	2935.74	12415.75	6381.92	1175.27	11189.6	4328.55	5479.15	17317.18	4937.99	486.75	205.5	262.2	231.32	217.27	147.06	132.44	186.4	181.28	178.77	183.82	149.12	105.89	144.01
SYNE4	10.0	18.16	16.63	9.56	57.08	532.74	231.32	559.28	170.25	205.5	234.57	269.6	555.41	497.0	105.15	563.18	305.55	480.04	595.34	161.02	7.88	18.7	24.63	2.89	13.72	5.02	1.75	11.21	8.92	1.13	0.04	12.74	23.42	4.7
SYTL1	87.65	3.56	3.08	0.0	329.84	4123.49	1259.69	1628.26	571.05	813.63	743.43	860.08	2835.7	2303.12	279.14	2485.67	1199.98	2468.49	1781.89	381.68	860.08	64.34	237.86	32.59	74.58	295.11	63.89	53.19	76.71	31.22	33.06	56.28	48.87	87.65
TIGD6	65.72	64.8	91.41	69.03	103.69	318.57	214.27	353.59	164.42	226.54	159.9	147.06	435.55	277.2	180.02	295.11	205.5	307.69	332.14	182.55	55.1	90.77	87.65	82.87	73.54	70.51	105.15	63.0	71.0	63.89	68.07	100.83	46.18	76.71
TRPV6	2.92	0.48	2.81	0.0	111.99	2104.58	872.1	961.07	381.68	384.34	312.0	318.57	1457.23	2209.26	183.82	1457.23	660.68	1001.93	1233.75	186.4	11.04	5.5	17.0	1.27	7.17	172.65	3.41	1.01	4.78	1.22	4.62	0.55	5.73	2.76
TSTD1	995.0	190.34	170.25	173.85	1417.35	9474.59	2645.74	5633.22	2915.45	2451.44	2004.85	2119.22	5479.15	4903.87	1674.06	4450.27	3874.05	4607.24	5219.6	2119.22	974.5	295.11	563.18	470.14	915.51	500.46	297.17	417.77	791.35	454.09	713.11	540.19	251.48	483.38
TTC23L	2.76	8.38	7.34	4.28	10.79	17.0	7.4	14.03	15.34	37.05	9.48	15.0	29.27	22.75	10.96	15.68	6.46	50.63	46.5	9.56	3.47	7.34	10.31	4.24	11.91	6.11	5.63	9.2	9.13	0.26	0.72	1.17	3.14	1.23
WWC1	33.3	2.23	1.93	2.73	86.43	693.58	389.72	1119.56	320.8	336.79	571.05	507.46	915.51	603.67	124.37	660.68	417.77	500.46	967.76	361.04	255.0	17.25	50.98	35.5	72.52	130.6	31.67	24.63	46.84	27.84	24.81	69.52	52.82	22.26
ZNF185	88.26	59.97	53.95	49.91	785.88	353.59	669.92	1397.83	629.35	2240.11	239.52	872.1	1151.06	1709.26	119.26	866.07	3349.13	3372.43	1037.29	339.14	2032.85	42.41	144.01	180.02	165.57	49.21	211.31	142.01	107.38	56.28	116.78	197.09	36.53	60.39
