	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A8WV.01A.11R.A37L.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.J9.A8CL.01A.11R.A352.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.V1D1.0926.SM.4JBHQ
BCS1L	0.0	0.0	660.68	1183.45	1183.45	595.34	718.08	896.64	1030.12	1066.48	1427.22	1104.13	460.44	954.43	624.99	1151.06	1037.29	830.75	1143.1	796.86	1199.98	813.63	1662.49	934.76	995.0	1096.5	1397.83	785.88	988.12	1151.06	791.35	1159.07	1015.93	1304.15	866.07	684.02	872.1	884.29	872.1	825.0	656.11	785.88	1088.92	848.22	1519.15	476.71	1685.71	1233.75	1208.34	1508.65	1191.69	1250.98	1674.06	819.3	947.83	1111.82	1407.55	759.08	1477.58	808.0	1167.14	684.02	878.17	825.0	1037.29	813.63	1216.75	529.06	1104.13	665.29	1175.27	1088.92	1191.69	1183.45	941.27	511.0	1096.5	1015.93	1030.12	536.45	1167.14	928.3	1378.57	1369.04	656.11	1540.37	928.3	1175.27	559.28	738.29	934.76	1030.12	785.88	1427.22	1529.73	1359.57	866.07	1037.29	1183.45	660.68	571.05	842.36	854.13	974.5	854.13	518.15	769.69	669.92	921.88	759.08	563.18	1397.83
BRICD5	0.0	1.2	33.3	134.3	115.16	37.85	91.41	48.52	37.32	183.82	155.5	151.22	30.56	29.06	53.57	166.73	115.16	44.25	99.43	25.17	125.24	169.07	193.01	84.04	35.76	96.01	253.23	19.68	73.03	62.12	18.56	92.05	63.89	58.71	39.5	52.08	80.01	19.68	71.0	68.07	26.67	30.78	72.52	214.27	194.36	43.32	217.27	115.97	78.89	92.7	85.82	55.1	262.2	62.56	122.64	114.36	262.2	70.51	438.59	20.56	157.68	47.84	58.3	31.45	63.45	92.05	163.28	13.32	52.82	68.55	89.51	111.21	88.88	135.24	23.08	22.26	171.45	83.45	50.27	17.9	131.51	43.32	279.14	88.88	34.51	279.14	23.76	63.45	15.56	53.19	52.45	118.43	48.52	199.85	346.29	177.53	58.71	75.11	118.43	39.22	16.63	25.72	31.0	191.67	48.52	43.63	32.13	24.63	155.5	14.89	23.08	316.37
C5orf56	0.0	0.38	146.03	158.79	199.85	94.67	85.82	131.51	107.38	314.17	155.5	226.54	121.79	183.82	165.57	476.71	202.66	119.26	253.23	105.15	241.19	177.53	206.94	165.57	162.14	241.19	256.78	145.02	180.02	113.56	80.57	167.9	162.14	162.14	152.28	150.17	126.12	137.14	141.02	83.45	82.87	108.9	255.0	228.13	332.14	303.44	248.0	190.34	231.32	343.89	150.17	178.77	336.79	90.14	198.47	212.78	208.38	116.78	460.44	115.97	223.41	101.54	120.94	104.42	212.78	125.24	205.5	138.1	177.53	100.13	177.53	358.54	172.65	246.28	122.64	137.14	186.4	171.45	141.02	127.0	187.71	131.51	269.6	182.55	93.35	334.46	144.01	195.72	111.21	102.97	97.36	348.71	118.43	201.25	277.2	260.38	162.14	145.02	194.36	199.85	123.5	195.72	173.85	320.8	264.03	111.21	159.9	130.6	258.57	112.77	158.79	665.29
C9orf96	0.0	0.17	34.51	59.55	70.01	48.18	40.36	58.3	69.52	72.01	101.54	65.72	45.53	65.72	49.56	62.56	58.71	38.4	66.18	51.71	78.89	76.17	57.08	64.34	67.59	93.35	80.01	51.35	47.84	66.65	50.63	55.1	75.11	68.07	43.94	34.75	72.52	56.28	44.25	40.07	64.8	45.85	62.56	79.45	100.83	42.11	57.49	66.65	34.26	85.22	57.49	62.56	164.42	37.85	29.91	100.83	102.25	35.0	191.67	24.63	73.03	57.08	60.82	59.97	74.58	41.81	127.0	61.25	45.21	22.43	73.03	76.17	63.89	102.97	50.98	57.49	67.12	54.33	90.77	35.5	73.03	53.19	82.87	98.73	67.12	98.04	38.67	41.81	24.99	39.79	61.25	99.43	55.1	93.35	104.42	87.03	49.91	84.04	88.26	29.91	45.53	40.93	71.5	78.89	74.58	30.78	31.9	21.94	63.45	63.89	44.57	127.0
CCDC130	0.0	1.19	387.02	669.92	769.69	454.09	432.53	559.28	518.15	928.3	748.61	1044.52	253.23	551.56	429.54	1388.16	616.37	559.28	1030.12	371.22	954.43	775.05	928.3	612.11	473.41	733.19	995.0	466.88	698.41	567.1	363.56	723.08	547.75	723.08	525.39	373.81	521.76	366.09	420.68	356.05	275.28	301.33	802.41	571.05	1030.12	371.22	836.53	698.41	791.35	1073.91	587.13	684.02	723.08	470.14	703.28	830.75	1167.14	368.65	713.11	493.56	780.44	358.54	497.0	316.37	642.59	591.22	836.53	414.87	555.41	423.61	620.67	764.36	559.28	921.88	466.88	293.07	974.5	651.58	674.59	346.29	915.51	493.56	872.1	780.44	392.44	954.43	460.44	743.43	285.03	444.72	423.61	1242.34	480.04	802.41	1073.91	1216.75	583.07	693.58	753.83	559.28	432.53	567.1	559.28	1119.56	438.59	438.59	441.64	381.68	743.43	414.87	414.87	1896.65
CCDC84	0.0	1.14	237.86	470.14	536.45	129.69	269.6	218.79	417.77	624.99	559.28	525.39	140.04	262.2	180.02	934.76	325.29	320.8	493.56	114.36	463.65	420.68	503.95	384.34	224.97	486.75	718.08	177.53	305.55	341.51	137.14	368.65	299.25	547.75	246.28	149.12	289.02	152.28	305.55	215.77	127.0	120.94	571.05	698.41	599.49	130.6	389.72	708.18	275.28	748.61	444.72	389.72	1167.14	267.73	384.34	551.56	753.83	154.42	629.35	190.34	521.76	214.27	329.84	141.02	392.44	314.17	679.29	115.16	384.34	217.27	429.54	563.18	555.41	607.87	217.27	217.27	607.87	363.56	329.84	185.11	571.05	269.6	860.08	563.18	148.09	543.96	256.78	334.46	89.51	155.5	205.5	866.07	206.94	674.59	1104.13	753.83	239.52	363.56	500.46	231.32	165.57	212.78	217.27	669.92	175.07	161.02	172.65	128.79	339.14	173.85	145.02	1001.93
CHKA	0.0	0.75	583.07	854.13	1295.13	708.18	693.58	934.76	830.75	1233.75	1498.22	1437.15	629.35	1008.9	669.92	1639.59	954.43	723.08	1183.45	674.59	1457.23	1268.46	3081.75	1151.06	743.43	1191.69	2119.22	954.43	808.0	802.41	555.41	1529.73	830.75	1709.26	1216.75	521.76	587.13	1059.11	909.17	981.29	638.15	1030.12	1594.73	1583.71	1427.22	941.27	1628.26	941.27	1143.1	2047.0	1697.45	1467.37	2682.69	995.0	802.41	1199.98	1322.37	988.12	1096.5	1073.91	1427.22	890.44	884.29	435.55	1806.78	1529.73	1081.39	1023.0	1508.65	387.02	1551.09	1015.93	2224.63	1540.37	780.44	947.83	1127.35	915.51	902.89	988.12	1467.37	1030.12	1519.15	1001.93	1151.06	1119.56	1104.13	1191.69	237.86	693.58	928.3	1208.34	1044.52	981.29	1617.0	1286.18	1378.57	1073.91	1295.13	759.08	769.69	961.07	842.36	1119.56	575.03	612.11	1008.9	759.08	1008.9	791.35	748.61	2935.74
CHTOP	0.0	0.79	1088.92	1447.15	1081.39	1250.98	1286.18	1191.69	1519.15	1498.22	1183.45	1427.22	995.0	1508.65	1044.52	1794.29	1437.15	1340.84	1304.15	974.5	1639.59	1709.26	1350.18	1250.98	1277.29	1304.15	1857.6	1487.87	1259.69	1498.22	1225.22	1540.37	1617.0	1259.69	1457.23	1088.92	1208.34	1008.9	1277.29	909.17	1127.35	1059.11	1417.35	1832.01	1870.53	1088.92	1540.37	1745.2	1651.0	1883.54	1268.46	1427.22	2148.82	1143.1	1447.15	2319.15	1806.78	974.5	2255.7	1135.2	1397.83	974.5	1313.23	1044.52	1551.09	1304.15	1745.2	1286.18	1081.39	1073.91	1143.1	1685.71	1407.55	1407.55	1199.98	1081.39	1572.76	1135.2	1477.58	1008.9	2178.83	1127.35	1508.65	1378.57	1191.69	1388.16	1216.75	1295.13	896.64	1104.13	1350.18	1508.65	1175.27	1617.0	2485.67	1508.65	1369.04	1407.55	1427.22	1175.27	1199.98	1540.37	1167.14	1407.55	1023.0	1359.57	1304.15	1119.56	1594.73	1447.15	1313.23	2468.49
CLASRP	0.0	1.5	679.29	902.89	1437.15	591.22	947.83	866.07	1023.0	2104.58	1617.0	1583.71	460.44	1119.56	802.41	2384.37	1350.18	669.92	1447.15	463.65	1844.76	1295.13	2240.11	1111.82	848.22	1359.57	2032.85	599.49	1088.92	1111.82	497.0	1369.04	1023.0	1457.23	780.44	480.04	878.17	575.03	872.1	688.78	387.02	563.18	1781.89	1519.15	2119.22	518.15	1594.73	1397.83	1030.12	2075.59	1295.13	1167.14	1498.22	967.76	1340.84	1745.2	2645.74	660.68	1674.06	748.61	1407.55	579.04	1250.98	571.05	1250.98	1295.13	1721.16	583.07	988.12	872.1	1313.23	1498.22	1447.15	1697.45	854.13	583.07	1697.45	1023.0	1037.29	759.08	2351.53	808.0	2178.83	1096.5	679.29	1651.0	791.35	1175.27	563.18	483.38	514.56	1794.29	698.41	1721.16	2855.44	2119.22	1127.35	1519.15	1844.76	723.08	633.73	813.63	872.1	2163.77	432.53	540.19	684.02	591.22	1277.29	470.14	507.46	1950.0
CLEC2D	0.0	0.58	93.35	52.82	106.63	71.5	36.53	68.55	100.13	182.55	77.79	161.02	70.01	149.12	105.89	493.56	123.5	79.45	202.66	29.7	189.02	60.82	221.86	97.36	95.34	135.24	137.14	40.36	117.6	97.36	37.05	88.26	48.18	92.05	81.14	86.43	107.38	95.34	85.22	52.45	108.14	50.63	94.67	249.73	165.57	150.17	147.06	124.37	59.13	392.44	108.9	151.22	150.17	53.19	43.02	180.02	185.11	33.06	249.73	55.89	204.07	71.0	55.49	41.52	91.41	106.63	143.01	39.79	74.06	49.21	62.56	123.5	143.01	264.03	36.53	82.87	107.38	74.58	43.94	92.7	124.37	87.03	249.73	157.68	36.79	119.26	86.43	138.1	63.45	47.17	31.9	228.13	73.54	165.57	173.85	206.94	103.69	73.54	67.12	119.26	62.56	64.34	101.54	253.23	87.03	42.41	56.28	64.34	119.26	72.01	78.89	231.32
CLHC1	0.0	0.36	138.1	77.79	140.04	131.51	126.12	91.41	103.69	164.42	127.0	303.44	130.6	163.28	140.04	242.88	177.53	61.68	157.68	65.72	237.86	232.94	181.28	303.44	85.22	134.3	218.79	68.55	140.04	119.26	77.25	141.02	138.1	194.36	177.53	61.25	147.06	63.89	127.0	136.19	82.29	147.06	241.19	229.72	249.73	104.42	341.51	155.5	123.5	271.48	138.1	202.66	142.01	132.44	125.24	193.01	283.05	75.11	181.28	90.77	217.27	151.22	154.42	134.3	127.0	127.0	387.02	98.73	149.12	138.1	190.34	166.73	246.28	429.54	150.17	155.5	279.14	141.02	189.02	148.09	173.85	113.56	187.71	157.68	116.78	234.57	105.15	153.34	77.25	129.69	50.27	249.73	88.88	198.47	237.86	320.8	190.34	162.14	229.72	123.5	131.51	117.6	117.6	202.66	136.19	56.68	87.03	120.1	198.47	69.52	98.04	341.51
CNTROB	0.0	0.77	466.88	563.18	575.03	511.0	540.19	733.19	540.19	728.11	603.67	753.83	265.87	563.18	514.56	733.19	603.67	607.87	825.0	540.19	684.02	575.03	665.29	651.58	463.65	591.22	764.36	497.0	373.81	529.06	532.74	567.1	642.59	624.99	392.44	679.29	642.59	703.28	607.87	412.0	351.14	583.07	587.13	1037.29	902.89	341.51	579.04	791.35	603.67	825.0	629.35	669.92	890.44	579.04	743.43	656.11	743.43	629.35	796.86	629.35	511.0	486.75	551.56	532.74	728.11	665.29	450.94	660.68	536.45	647.07	536.45	599.49	688.78	435.55	447.82	454.09	620.67	651.58	660.68	483.38	454.09	571.05	802.41	591.22	490.14	555.41	551.56	642.59	470.14	543.96	547.75	785.88	567.1	808.0	785.88	629.35	532.74	688.78	612.11	392.44	532.74	748.61	447.82	764.36	224.97	559.28	684.02	486.75	748.61	483.38	518.15	1268.46
COL11A2	0.0	0.71	6.26	7.46	9.93	5.02	14.35	8.13	4.24	28.86	19.25	19.53	3.23	13.32	7.57	38.95	12.64	5.54	17.0	2.73	18.84	20.11	9.41	10.16	4.06	21.01	26.47	3.86	11.3	11.82	4.54	11.3	7.34	11.73	10.24	7.69	7.82	6.78	6.16	4.86	3.79	3.66	9.93	16.75	25.35	2.07	35.25	14.67	8.19	26.28	10.63	8.58	98.73	5.5	26.47	25.17	63.89	2.68	30.78	5.92	31.22	4.7	8.25	4.1	33.06	10.96	41.52	1.69	6.94	5.06	10.96	13.12	14.35	16.88	3.08	6.73	16.15	7.82	7.75	3.26	18.7	4.74	19.68	14.14	3.2	31.67	5.11	16.75	3.76	9.06	3.2	31.67	7.57	10.24	40.64	22.92	9.27	25.91	15.11	10.55	3.89	6.16	8.92	39.79	6.57	4.1	4.39	3.08	21.94	6.73	9.41	368.65
COPS7B	0.0	0.57	497.0	583.07	708.18	684.02	616.37	753.83	518.15	941.27	665.29	813.63	563.18	688.78	656.11	961.07	759.08	551.56	884.29	521.76	854.13	595.34	733.19	713.11	559.28	660.68	825.0	713.11	647.07	547.75	629.35	603.67	656.11	555.41	497.0	563.18	708.18	551.56	684.02	414.87	466.88	536.45	555.41	693.58	753.83	466.88	934.76	764.36	669.92	915.51	567.1	733.19	1044.52	753.83	503.95	684.02	947.83	493.56	743.43	591.22	796.86	669.92	693.58	559.28	796.86	454.09	872.1	651.58	575.03	473.41	633.73	791.35	629.35	854.13	511.0	583.07	718.08	669.92	775.05	575.03	723.08	620.67	860.08	698.41	559.28	878.17	575.03	728.11	432.53	457.25	679.29	954.43	647.07	651.58	921.88	866.07	651.58	665.29	842.36	679.29	595.34	748.61	656.11	753.83	525.39	674.59	688.78	624.99	825.0	567.1	612.11	1127.35
CUZD1	0.0	0.3	7.94	6.73	14.56	9.27	1.46	8.71	9.34	14.67	21.63	16.15	9.78	10.55	7.34	21.78	9.48	15.0	13.52	7.06	18.84	6.16	11.38	15.22	7.11	6.26	22.92	7.28	8.65	3.63	6.67	9.06	6.67	20.86	2.84	6.06	5.77	8.45	8.71	10.88	4.86	8.19	7.82	29.06	15.91	4.35	20.86	19.11	9.48	27.44	7.34	18.97	29.06	8.85	12.93	11.13	25.54	6.41	3.69	9.56	17.64	7.34	8.38	8.92	27.25	7.75	8.45	9.7	12.36	12.83	13.83	13.03	11.47	16.03	14.24	7.0	7.4	8.38	4.9	5.73	9.93	6.57	19.39	4.21	3.38	10.63	12.09	10.39	6.11	3.82	7.34	27.64	7.75	12.64	23.59	17.9	9.34	10.39	13.12	14.45	9.41	15.68	9.56	9.41	15.91	10.88	12.83	8.51	16.15	10.0	4.24	21.63
DBF4B	0.0	0.57	101.54	68.07	85.82	63.45	82.29	96.68	66.18	198.47	102.25	123.5	69.03	115.16	44.25	159.9	85.82	67.59	169.07	71.0	111.21	79.45	136.19	115.97	86.43	143.01	186.4	88.26	103.69	58.71	55.49	140.04	105.15	100.13	66.65	65.26	92.05	98.73	32.13	52.08	40.64	98.73	125.24	140.04	154.42	55.1	139.07	145.02	67.59	177.53	80.57	112.77	145.02	82.29	91.41	102.25	180.02	74.06	173.85	90.77	127.0	76.17	83.45	70.51	61.68	100.83	85.82	49.56	108.14	74.58	108.9	138.1	161.02	87.65	25.17	80.01	81.14	76.71	87.03	88.26	127.0	85.82	128.79	112.77	37.59	163.28	96.01	77.25	81.71	60.39	89.51	212.78	72.01	108.9	223.41	161.02	126.12	79.45	63.0	71.0	69.52	109.66	69.52	130.6	66.18	61.68	94.01	84.63	87.65	52.82	99.43	297.17
DNAJC9	0.0	0.65	253.23	248.0	283.05	217.27	265.87	264.03	212.78	309.83	255.0	325.29	224.97	275.28	260.38	363.56	314.17	295.11	285.03	220.32	307.69	251.48	285.03	307.69	234.57	281.09	329.84	218.79	226.54	193.01	221.86	214.27	277.2	242.88	236.21	291.04	256.78	260.38	281.09	181.28	224.97	239.52	271.48	303.44	265.87	223.41	384.34	242.88	267.73	406.31	218.79	248.0	432.53	251.48	295.11	273.37	309.83	211.31	470.14	249.73	332.14	269.6	271.48	212.78	309.83	283.05	291.04	248.0	244.57	237.86	258.57	256.78	316.37	299.25	224.97	262.2	320.8	246.28	260.38	262.2	307.69	260.38	299.25	423.61	283.05	373.81	217.27	275.28	237.86	164.42	236.21	323.03	249.73	239.52	329.84	281.09	224.97	255.0	283.05	217.27	237.86	228.13	242.88	262.2	260.38	241.19	198.47	248.0	265.87	221.86	209.84	251.48
DPH7	0.0	0.93	334.46	656.11	878.17	371.22	595.34	476.71	532.74	854.13	909.17	872.1	255.0	525.39	441.64	1023.0	830.75	497.0	808.0	297.17	995.0	718.08	1191.69	785.88	503.95	616.37	947.83	323.03	633.73	507.46	366.09	723.08	616.37	921.88	470.14	316.37	603.67	353.59	591.22	438.59	283.05	336.79	723.08	1119.56	1225.22	318.57	1135.2	713.11	647.07	1721.16	733.19	624.99	842.36	500.46	567.1	665.29	1259.69	397.93	769.69	500.46	860.08	536.45	599.49	435.55	813.63	679.29	921.88	356.05	684.02	435.55	738.29	743.43	698.41	884.29	579.04	397.93	872.1	638.15	769.69	361.04	1183.45	532.74	872.1	909.17	420.68	813.63	500.46	647.07	239.52	376.41	336.79	995.0	381.68	819.3	1605.83	1159.07	483.38	947.83	1015.93	507.46	397.93	387.02	432.53	848.22	432.53	384.34	325.29	384.34	656.11	351.14	348.71	1081.39
ENTHD2	0.0	0.99	205.5	351.14	403.5	195.72	293.07	289.02	307.69	713.11	507.46	518.15	123.5	358.54	312.0	830.75	454.09	279.14	616.37	193.01	591.22	336.79	500.46	403.5	271.48	403.5	579.04	258.57	403.5	297.17	167.9	409.15	353.59	435.55	232.94	223.41	348.71	211.31	275.28	229.72	118.43	149.12	423.61	603.67	493.56	151.22	607.87	559.28	379.04	500.46	244.57	366.09	674.59	312.0	353.59	417.77	813.63	204.07	444.72	135.24	507.46	199.85	307.69	206.94	346.29	271.48	540.19	204.07	392.44	265.87	435.55	417.77	332.14	529.06	182.55	197.09	454.09	384.34	348.71	223.41	532.74	277.2	521.76	403.5	198.47	669.92	273.37	444.72	154.42	177.53	221.86	587.13	275.28	521.76	836.53	748.61	332.14	412.0	420.68	309.83	231.32	265.87	147.06	748.61	155.5	253.23	211.31	226.54	339.14	185.11	198.47	1111.82
EXOSC8	0.0	0.85	395.18	409.15	314.17	403.5	454.09	463.65	463.65	660.68	218.79	583.07	312.0	514.56	450.94	743.43	503.95	316.37	532.74	334.46	836.53	486.75	529.06	665.29	441.64	514.56	638.15	373.81	435.55	532.74	395.18	591.22	279.14	612.11	540.19	363.56	447.82	218.79	587.13	381.68	486.75	412.0	532.74	1242.34	785.88	361.04	353.59	320.8	493.56	669.92	423.61	341.51	791.35	320.8	543.96	651.58	669.92	293.07	500.46	303.44	603.67	371.22	325.29	376.41	693.58	555.41	529.06	384.34	412.0	444.72	371.22	607.87	500.46	483.38	633.73	435.55	738.29	486.75	656.11	571.05	559.28	309.83	703.28	536.45	426.57	497.0	406.31	426.57	295.11	229.72	295.11	813.63	325.29	733.19	842.36	591.22	503.95	579.04	733.19	579.04	454.09	435.55	483.38	633.73	748.61	406.31	379.04	438.59	660.68	435.55	395.18	1066.48
FAM193B	0.0	1.45	551.56	1183.45	1242.34	503.95	802.41	1216.75	808.0	2090.03	1844.76	1369.04	316.37	1059.11	703.28	2627.46	934.76	954.43	1870.53	616.37	1883.54	902.89	1819.35	1322.37	878.17	1350.18	2417.67	708.18	1081.39	1073.91	466.88	1191.69	1159.07	1519.15	813.63	514.56	974.5	713.11	738.29	775.05	291.04	559.28	1508.65	4181.07	2178.83	414.87	1745.2	1662.49	1088.92	2287.2	1304.15	1427.22	2573.36	629.35	902.89	988.12	2335.28	674.59	1457.23	836.53	1832.01	555.41	890.44	571.05	1051.79	669.92	1832.01	674.59	1127.35	660.68	1519.15	1685.71	1697.45	1572.76	825.0	651.58	1628.26	954.43	1111.82	432.53	1151.06	872.1	2935.74	1896.65	688.78	2520.38	802.41	1286.18	417.77	536.45	836.53	2502.97	660.68	2287.2	2875.3	2178.83	848.22	1096.5	1199.98	780.44	547.75	878.17	708.18	2240.11	473.41	595.34	872.1	698.41	1477.58	642.59	400.71	1909.85
FAM24B	0.0	0.68	33.3	37.32	76.71	50.27	19.82	38.4	54.33	99.43	72.52	133.36	39.22	61.25	49.21	156.59	63.89	52.08	80.01	33.78	119.26	52.08	95.34	77.25	72.01	50.98	127.0	29.27	41.22	43.94	64.34	90.14	64.34	112.77	33.06	39.79	47.84	42.41	36.53	56.28	24.63	45.21	77.25	198.47	92.7	46.84	146.03	99.43	77.79	217.27	47.5	98.04	157.68	48.18	127.0	92.7	100.83	15.45	16.75	33.3	144.01	54.33	44.89	37.59	102.97	84.04	78.34	40.93	86.43	65.26	82.87	81.71	51.71	100.13	99.43	53.95	82.29	58.71	27.25	32.59	73.03	40.07	163.28	29.48	29.27	73.54	63.0	87.65	42.11	32.82	41.52	153.34	44.57	96.68	112.77	96.68	63.89	87.03	96.68	63.0	47.17	77.79	50.63	63.45	57.89	20.56	41.22	37.05	105.15	63.0	19.11	90.14
HINFP	0.0	0.56	314.17	301.33	363.56	353.59	281.09	423.61	334.46	454.09	432.53	511.0	275.28	325.29	379.04	612.11	507.46	470.14	503.95	267.73	583.07	363.56	497.0	450.94	351.14	346.29	463.65	412.0	267.73	239.52	329.84	463.65	356.05	473.41	356.05	318.57	361.04	356.05	426.57	189.02	293.07	316.37	348.71	567.1	521.76	320.8	414.87	503.95	356.05	723.08	379.04	406.31	848.22	389.72	334.46	343.89	624.99	271.48	417.77	373.81	563.18	373.81	356.05	332.14	518.15	389.72	529.06	376.41	389.72	287.01	389.72	403.5	332.14	511.0	435.55	325.29	599.49	429.54	470.14	343.89	688.78	395.18	447.82	339.14	339.14	493.56	457.25	363.56	287.01	256.78	265.87	616.37	258.57	486.75	629.35	612.11	346.29	392.44	536.45	339.14	366.09	429.54	432.53	441.64	470.14	295.11	348.71	323.03	490.14	297.17	341.51	961.07
INHA	0.0	0.87	10.88	22.43	63.0	7.34	10.71	19.53	34.75	57.49	86.43	30.78	6.62	11.21	6.52	57.08	20.11	13.93	38.95	6.62	30.56	40.93	61.68	8.78	11.3	24.81	64.34	10.16	13.12	19.82	4.28	22.75	20.56	32.59	8.92	6.06	15.68	17.77	8.06	10.0	7.28	4.39	29.27	17.51	50.27	2.66	33.3	49.56	10.16	49.21	23.76	37.85	105.15	19.25	25.91	38.12	43.02	4.94	72.52	10.08	32.36	8.65	13.72	7.4	16.39	19.82	37.59	4.46	10.39	2.23	19.82	33.78	29.06	47.5	16.03	13.42	23.08	18.7	24.81	8.25	30.78	3.92	66.65	28.86	3.38	59.13	2.78	26.28	4.46	7.06	4.43	39.79	13.22	24.11	73.03	54.33	29.06	13.62	20.41	10.39	1.13	16.39	8.99	38.67	3.32	8.45	6.89	6.78	31.67	4.7	6.94	90.14
