	TCGA.LG.A9QC.01A.11R.A37K.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.BC.A10T.01A.11R.A131.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.LG.A6GG.01A.11R.A311.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.R53T.0326.SM.48FEC	TCGA.62.8395.01A.11R.2326.07	TCGA.73.7498.01A.12R.2187.07	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.D7.8574.01A.13R.2343.13
CEP250	170.25	208.38	198.47	309.83	145.02	297.17	99.43	106.63	301.33	214.27	162.14	176.29	144.01	185.11	194.36	218.79	53.95	212.78	133.36	358.54	172.65	265.87	255.0	379.04	217.27	157.68	132.44	343.89	166.73	206.94	287.01	368.65	50.63	52.45	43.63	70.01	84.63	27.25	25.54	55.49	96.68	93.35	107.38	63.45	54.72	117.6	100.83	53.57	71.0	42.11	29.06	67.59	303.44	312.0	764.36	532.74	384.34	470.14
CHST14	309.83	273.37	163.28	353.59	191.67	231.32	153.34	265.87	403.5	177.53	253.23	181.28	164.42	226.54	169.07	190.34	124.37	253.23	113.56	490.14	242.88	103.69	255.0	260.38	137.14	209.84	205.5	587.13	220.32	271.48	202.66	343.89	161.02	182.55	180.02	176.29	195.72	132.44	117.6	172.65	143.01	234.57	129.69	137.14	194.36	228.13	177.53	123.5	120.1	132.44	49.56	159.9	595.34	466.88	473.41	429.54	406.31	389.72
CRAMP1L	90.14	84.04	131.51	132.44	186.4	105.89	152.28	136.19	170.25	121.79	147.06	141.02	74.06	113.56	115.97	67.59	60.39	94.67	81.14	182.55	75.11	232.94	153.34	191.67	85.82	69.03	106.63	312.0	58.71	155.5	195.72	186.4	35.25	35.25	20.71	32.13	58.71	15.56	67.12	54.33	42.41	34.26	52.45	28.65	28.86	47.84	28.65	14.56	65.26	11.91	24.11	23.93	246.28	325.29	457.25	366.09	373.81	358.54
DSTYK	55.89	53.57	120.1	84.63	138.1	55.89	77.25	63.45	59.97	49.56	49.56	115.16	47.17	50.27	161.02	33.78	30.34	65.72	52.82	116.78	52.82	130.6	82.87	182.55	40.36	54.72	42.41	126.12	41.81	87.03	133.36	77.25	18.56	19.11	19.97	23.59	31.9	32.82	15.0	24.46	32.82	43.32	35.25	26.1	18.84	25.54	23.42	10.24	11.73	1.89	4.58	28.45	147.06	150.17	125.24	111.21	171.45	146.03
EP400	95.34	97.36	163.28	90.77	114.36	128.79	108.14	82.87	159.9	74.58	119.26	89.51	91.41	69.52	150.17	43.02	58.3	82.87	62.56	239.52	63.89	127.0	129.69	144.01	62.12	63.0	77.25	199.85	89.51	130.6	140.04	128.79	54.33	62.56	55.89	33.3	83.45	59.55	57.08	77.25	36.79	80.57	64.34	42.41	41.52	73.54	49.91	28.04	51.71	12.55	35.0	65.26	220.32	231.32	529.06	435.55	366.09	371.22
EPHX1	101420.22	116501.39	109455.64	75803.72	101420.22	107948.72	102125.66	109455.64	61146.25	190574.09	96616.71	100023.92	116501.39	135693.24	144427.91	159145.95	92040.7	73221.53	118127.7	20593.91	88291.3	127486.83	88291.3	108699.57	145432.49	89523.81	84109.6	11827.67	167058.21	98646.85	125731.67	42937.97	28525.2	75280.1	31870.96	89523.81	111755.56	165904.25	258533.99	104271.56	74760.09	84109.6	72213.45	169390.27	236256.4	97288.74	208544.12	147462.67	87681.42	21320.18	46662.28	506427.83	26248.46	29531.18	1617.0	1015.93	2367.9	1322.37
EXTL3	127.89	244.57	189.02	454.09	283.05	218.79	198.47	264.03	195.72	154.42	98.04	137.14	113.56	141.02	156.59	68.07	93.35	101.54	139.07	353.59	120.1	323.03	129.69	126.12	87.03	104.42	217.27	265.87	107.38	135.24	135.24	127.89	57.08	54.33	57.89	61.25	51.35	67.12	30.34	63.45	98.73	109.66	186.4	149.12	84.63	83.45	100.83	43.63	47.5	20.56	33.3	100.83	162.14	178.77	297.17	414.87	473.41	395.18
EZH1	299.25	339.14	368.65	384.34	318.57	264.03	312.0	253.23	361.04	358.54	234.57	409.15	164.42	301.33	334.46	412.0	164.42	281.09	218.79	255.0	258.57	356.05	305.55	334.46	260.38	204.07	229.72	836.53	205.5	336.79	543.96	603.67	94.01	145.02	71.5	242.88	180.02	102.97	88.26	119.26	212.78	224.97	320.8	115.16	130.6	170.25	158.79	205.5	199.85	112.77	33.78	157.68	507.46	599.49	872.1	848.22	866.07	769.69
FBRS	872.1	595.34	616.37	684.02	591.22	723.08	733.19	460.44	813.63	796.86	775.05	791.35	507.46	748.61	624.99	591.22	299.25	438.59	547.75	525.39	595.34	836.53	651.58	679.29	599.49	607.87	503.95	1242.34	525.39	819.3	629.35	890.44	358.54	426.57	420.68	323.03	518.15	206.94	397.93	551.56	373.81	438.59	363.56	267.73	493.56	463.65	264.03	379.04	392.44	187.71	309.83	339.14	1286.18	1437.15	2018.8	1883.54	1519.15	1674.06
FIGNL1	35.5	217.27	132.44	486.75	104.42	128.79	180.02	67.12	249.73	45.85	120.1	100.13	51.35	68.07	92.7	29.06	32.36	70.51	106.63	202.66	41.52	165.57	170.25	231.32	47.17	102.97	45.21	144.01	45.21	98.73	195.72	241.19	28.04	33.06	26.67	35.25	58.71	35.76	8.65	55.1	35.25	54.72	50.98	61.68	30.56	80.01	24.81	31.0	36.01	9.78	9.27	61.68	166.73	82.29	202.66	389.72	120.1	162.14
FKBP14	108.9	43.32	101.54	161.02	88.26	86.43	108.14	73.54	88.26	74.58	76.71	40.64	21.94	80.01	92.05	34.02	56.68	70.01	52.08	105.89	48.18	120.1	80.57	63.89	34.26	84.04	77.79	92.7	68.55	81.71	62.12	154.42	39.79	38.67	50.98	28.04	58.71	138.1	35.5	149.12	24.11	45.85	20.71	48.18	45.85	34.02	39.22	43.02	30.78	15.8	24.11	57.08	189.02	153.34	204.07	198.47	307.69	267.73
GGA3	397.93	361.04	493.56	536.45	285.03	599.49	368.65	237.86	579.04	403.5	341.51	283.05	246.28	320.8	563.18	379.04	177.53	441.64	229.72	921.88	206.94	500.46	346.29	406.31	275.28	176.29	376.41	854.13	212.78	417.77	567.1	684.02	120.94	178.77	217.27	159.9	299.25	190.34	206.94	279.14	193.01	307.69	242.88	111.21	126.12	295.11	201.25	140.04	214.27	58.3	128.79	189.02	703.28	842.36	1216.75	1794.29	808.0	878.17
GTPBP3	463.65	336.79	327.56	435.55	260.38	395.18	395.18	305.55	447.82	260.38	400.71	312.0	214.27	525.39	470.14	237.86	177.53	190.34	299.25	753.83	275.28	279.14	332.14	1199.98	262.2	246.28	181.28	616.37	379.04	329.84	470.14	486.75	140.04	202.66	157.68	126.12	279.14	79.45	251.48	253.23	145.02	104.42	244.57	241.19	204.07	183.82	139.07	101.54	180.02	82.87	149.12	182.55	466.88	361.04	490.14	620.67	480.04	384.34
HCFC1	381.68	728.11	599.49	547.75	476.71	497.0	521.76	414.87	559.28	389.72	387.02	514.56	450.94	438.59	616.37	334.46	237.86	361.04	392.44	775.05	444.72	612.11	579.04	775.05	567.1	323.03	454.09	988.12	368.65	463.65	738.29	575.03	214.27	205.5	187.71	166.73	251.48	231.32	271.48	218.79	249.73	258.57	249.73	152.28	244.57	293.07	212.78	194.36	143.01	98.73	312.0	271.48	884.29	733.19	1498.22	1923.14	1313.23	1286.18
HECTD4	295.11	358.54	251.48	872.1	320.8	314.17	447.82	260.38	332.14	198.47	201.25	164.42	228.13	241.19	381.68	183.82	371.22	423.61	361.04	540.19	246.28	395.18	536.45	323.03	197.09	305.55	199.85	603.67	314.17	281.09	409.15	412.0	178.77	206.94	162.14	241.19	208.38	90.77	158.79	275.28	197.09	242.88	329.84	169.07	209.84	214.27	202.66	185.11	214.27	206.94	136.19	149.12	525.39	490.14	848.22	693.58	808.0	688.78
INCENP	101.54	167.9	161.02	190.34	106.63	125.24	83.45	76.71	185.11	149.12	183.82	105.15	90.77	97.36	172.65	69.03	44.89	150.17	84.63	406.31	55.49	229.72	169.07	148.09	67.12	74.06	141.02	208.38	86.43	248.0	205.5	297.17	40.64	39.5	38.67	30.34	24.28	44.57	17.51	48.52	29.27	88.26	68.07	43.02	40.64	120.94	113.56	50.27	68.55	31.0	10.0	72.01	173.85	236.21	336.79	1030.12	325.29	332.14
INO80	269.6	170.25	279.14	217.27	170.25	236.21	142.01	177.53	189.02	224.97	164.42	158.79	153.34	142.01	206.94	175.07	75.64	135.24	82.87	273.37	164.42	187.71	234.57	199.85	198.47	92.7	208.38	309.83	182.55	229.72	305.55	211.31	153.34	118.43	106.63	80.01	156.59	121.79	120.1	134.3	81.71	96.68	114.36	74.06	108.9	129.69	111.21	146.03	152.28	57.08	177.53	95.34	260.38	327.56	638.15	500.46	406.31	368.65
IP6K1	262.2	351.14	473.41	708.18	450.94	301.33	277.2	329.84	483.38	473.41	348.71	463.65	395.18	339.14	441.64	312.0	231.32	412.0	283.05	579.04	423.61	915.51	371.22	454.09	406.31	271.48	409.15	825.0	248.0	417.77	480.04	547.75	212.78	136.19	198.47	118.43	197.09	164.42	137.14	181.28	170.25	255.0	241.19	206.94	223.41	170.25	211.31	116.78	123.5	154.42	133.36	256.78	500.46	507.46	620.67	759.08	684.02	728.11
ITGA2	98.73	35.5	77.25	205.5	81.71	80.57	50.27	40.07	42.41	8.85	17.38	42.71	10.96	13.62	92.7	1.97	8.99	44.57	60.39	95.34	5.77	102.97	57.89	34.75	6.16	24.11	18.84	71.0	2.27	61.25	67.12	28.65	44.25	5.45	8.06	3.47	5.11	9.93	6.31	16.88	4.24	22.43	2.05	2.94	6.21	4.03	2.34	11.55	7.88	1.79	4.39	3.26	343.89	121.79	205.5	305.55	155.5	202.66
KAZALD1	96.01	14.56	23.76	563.18	11.91	43.32	23.08	97.36	327.56	27.84	23.42	25.17	20.56	47.84	45.21	31.45	30.56	110.43	88.88	33.78	44.25	133.36	127.0	177.53	111.99	152.28	10.31	316.37	249.73	141.02	26.28	153.34	31.0	13.42	16.15	4.39	8.58	16.15	3.96	90.14	16.51	48.52	25.35	11.55	12.83	18.7	45.21	41.52	22.26	12.09	2.61	8.99	412.0	178.77	162.14	99.43	114.36	193.01
KIAA0556	109.66	84.63	161.02	141.02	112.77	92.7	98.04	162.14	258.57	155.5	126.12	96.01	98.73	113.56	102.97	78.89	42.41	57.49	64.34	103.69	49.56	214.27	131.51	94.01	84.63	81.14	232.94	199.85	92.7	108.14	120.94	164.42	55.1	36.01	33.3	68.07	56.68	24.46	14.14	57.08	41.52	97.36	75.64	65.26	58.3	114.36	59.13	40.93	44.89	21.78	12.0	44.25	269.6	258.57	316.37	684.02	348.71	356.05
KIAA1199	19.97	61.68	36.27	58.3	80.01	90.77	20.41	2.32	90.77	6.21	19.11	30.78	2.71	21.01	19.53	10.31	1.91	9.2	26.67	100.13	6.11	8.32	156.59	11.04	13.83	14.35	3.72	163.28	6.78	63.89	15.45	85.22	13.12	3.79	1.17	7.51	15.34	2.81	0.75	37.32	5.06	13.12	8.32	2.73	14.45	2.78	9.13	4.24	17.51	0.0	1.99	1.14	193.01	116.78	791.35	204.07	117.6	88.88
KMT2D	303.44	256.78	460.44	417.77	387.02	341.51	271.48	234.57	379.04	205.5	318.57	262.2	267.73	264.03	368.65	115.97	132.44	190.34	214.27	551.56	215.77	532.74	493.56	371.22	183.82	169.07	307.69	500.46	285.03	384.34	483.38	555.41	107.38	119.26	55.49	119.26	150.17	135.24	84.63	146.03	187.71	244.57	161.02	108.14	131.51	147.06	156.59	108.14	165.57	55.49	87.65	149.12	733.19	723.08	1242.34	1088.92	1037.29	1233.75
MAFG	305.55	277.2	514.56	521.76	397.93	177.53	483.38	119.26	229.72	153.34	159.9	334.46	139.07	144.01	441.64	249.73	77.25	80.57	82.87	221.86	185.11	656.11	182.55	329.84	295.11	141.02	277.2	267.73	73.03	194.36	503.95	376.41	90.14	69.52	37.05	62.12	260.38	34.75	67.12	46.5	44.25	72.01	95.34	98.04	112.77	159.9	62.12	63.89	51.71	31.0	36.27	126.12	356.05	400.71	303.44	791.35	423.61	575.03
MFAP1	432.53	463.65	403.5	438.59	384.34	450.94	281.09	323.03	470.14	307.69	341.51	426.57	305.55	267.73	353.59	323.03	273.37	343.89	289.02	460.44	293.07	444.72	381.68	361.04	327.56	307.69	307.69	511.0	325.29	447.82	518.15	559.28	368.65	224.97	343.89	228.13	231.32	392.44	223.41	366.09	232.94	420.68	301.33	175.07	255.0	332.14	376.41	239.52	220.32	138.1	214.27	389.72	808.0	514.56	543.96	376.41	503.95	423.61
NCAPD2	182.55	273.37	214.27	320.8	176.29	271.48	171.45	181.28	289.02	118.43	180.02	185.11	95.34	146.03	108.9	88.88	63.89	172.65	100.83	353.59	85.82	295.11	206.94	363.56	151.22	119.26	138.1	791.35	161.02	264.03	336.79	285.03	57.89	50.27	44.89	45.21	69.52	49.56	27.44	124.37	49.21	204.07	114.36	64.8	40.64	172.65	152.28	42.71	56.28	17.25	14.56	102.97	607.87	376.41	1104.13	1832.01	595.34	718.08
NDOR1	104.42	133.36	141.02	143.01	81.14	94.67	124.37	127.0	119.26	89.51	119.26	136.19	92.05	101.54	104.42	77.25	57.08	128.79	90.14	223.41	75.11	255.0	137.14	120.94	109.66	102.25	116.78	237.86	107.38	109.66	244.57	122.64	37.85	52.08	37.85	58.3	57.08	30.12	50.63	69.52	68.07	53.95	63.45	38.95	48.52	81.14	45.85	53.57	53.19	16.39	24.63	52.45	226.54	244.57	384.34	348.71	260.38	327.56
NISCH	555.41	698.41	703.28	1331.57	633.73	872.1	764.36	684.02	1059.11	1508.65	708.18	567.1	536.45	728.11	791.35	669.92	438.59	540.19	642.59	1216.75	429.54	1175.27	733.19	521.76	759.08	503.95	441.64	1417.35	497.0	780.44	743.43	961.07	316.37	400.71	246.28	420.68	457.25	289.02	339.14	417.77	447.82	591.22	575.03	403.5	432.53	507.46	435.55	363.56	547.75	220.32	202.66	423.61	1127.35	1216.75	1832.01	1268.46	1923.14	1923.14
PIP4K2B	293.07	397.93	406.31	698.41	409.15	325.29	258.57	314.17	486.75	358.54	297.17	327.56	289.02	217.27	346.29	327.56	166.73	283.05	312.0	563.18	262.2	559.28	363.56	426.57	307.69	251.48	229.72	688.78	236.21	373.81	503.95	395.18	164.42	146.03	143.01	138.1	162.14	130.6	105.89	182.55	228.13	258.57	339.14	201.25	171.45	194.36	251.48	172.65	123.5	67.59	96.68	323.03	551.56	599.49	688.78	1030.12	884.29	808.0
PLEKHA8	70.51	80.57	143.01	147.06	93.35	55.89	96.01	36.27	40.64	62.12	67.59	54.72	53.57	66.18	115.16	58.3	29.91	57.08	44.89	50.98	46.5	121.79	127.0	95.34	44.89	64.8	40.36	59.97	49.56	47.5	75.64	87.03	29.06	29.06	27.64	34.51	31.0	33.78	21.16	35.25	24.46	49.21	33.06	24.46	36.01	36.79	25.35	50.27	24.46	15.56	6.31	54.72	130.6	144.01	176.29	157.68	141.02	142.01
PTPRG	103.69	246.28	249.73	551.56	555.41	265.87	260.38	140.04	214.27	117.6	157.68	73.03	81.71	55.49	183.82	73.03	71.5	167.9	271.48	412.0	102.97	438.59	651.58	149.12	87.03	206.94	90.77	409.15	85.82	289.02	128.79	208.38	107.38	73.54	75.11	71.5	31.67	167.9	48.52	117.6	58.71	89.51	54.33	36.79	40.93	31.45	100.13	44.57	48.18	71.0	22.1	102.97	135.24	246.28	320.8	460.44	460.44	277.2
RAB11FIP2	144.01	116.78	142.01	264.03	295.11	88.88	74.58	49.21	108.14	53.57	94.01	42.11	55.89	55.1	137.14	56.28	36.01	127.0	100.83	91.41	51.35	176.29	181.28	111.99	35.25	88.88	52.82	130.6	38.67	108.14	181.28	99.43	39.79	46.18	62.56	61.25	62.12	151.22	34.51	77.25	39.22	76.71	77.25	41.52	43.63	29.27	42.41	35.0	38.67	22.1	22.26	96.68	149.12	98.04	267.73	217.27	327.56	205.5
RBM15B	111.21	325.29	279.14	457.25	244.57	237.86	206.94	256.78	299.25	285.03	212.78	299.25	314.17	154.42	201.25	236.21	128.79	205.5	211.31	521.76	271.48	320.8	242.88	228.13	267.73	248.0	191.67	432.53	202.66	212.78	187.71	289.02	171.45	162.14	189.02	120.1	198.47	115.16	158.79	198.47	167.9	194.36	182.55	146.03	173.85	201.25	182.55	112.77	87.03	77.79	223.41	215.77	361.04	473.41	460.44	738.29	540.19	587.13
RP11-1055B8.7	63.45	39.5	75.64	148.09	88.88	124.37	75.11	95.34	126.12	63.89	80.01	58.71	50.98	75.11	108.14	4.35	12.09	48.87	44.25	215.77	48.52	70.51	140.04	167.9	49.91	47.17	29.06	248.0	78.34	90.14	113.56	158.79	20.26	27.44	13.12	19.53	22.59	10.47	12.45	36.01	139.07	38.95	38.4	38.4	25.54	48.87	64.8	42.71	33.3	8.13	5.87	20.56	228.13	327.56	336.79	384.34	343.89	212.78
RTEL1-TNFRSF6B	87.65	39.5	25.91	82.87	37.85	64.34	85.82	45.21	69.52	71.0	38.67	26.67	31.45	40.36	48.52	39.22	47.5	35.76	35.0	133.36	42.41	43.02	53.95	45.21	65.72	42.41	44.89	141.02	62.12	44.57	67.12	101.54	25.91	20.56	12.74	14.78	30.34	11.91	26.47	50.98	29.06	9.48	15.56	37.32	22.75	17.64	8.78	22.26	28.04	10.63	13.52	14.03	119.26	176.29	346.29	325.29	223.41	173.85
SETD1A	208.38	166.73	163.28	212.78	166.73	181.28	156.59	136.19	249.73	211.31	162.14	189.02	129.69	156.59	145.02	135.24	57.49	120.1	146.03	183.82	149.12	277.2	212.78	470.14	144.01	157.68	121.79	309.83	152.28	152.28	199.85	224.97	108.14	106.63	102.97	73.03	148.09	72.01	128.79	111.21	105.89	103.69	120.1	62.12	68.55	159.9	92.05	59.97	78.34	37.59	126.12	103.69	248.0	242.88	595.34	830.75	450.94	555.41
