	GTEX.SE5C.1026.SM.4BRUG	TCGA.G4.6306.01A.11R.1774.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6293.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AZ.6601.01A.11R.1774.07	TCGA.CK.4950.01A.01R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.AA.3525.11A.01R.A32Z.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.14BMU.1326.SM.5RQIH	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.XUZC.1526.SM.4BRV4	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.X15G.1326.SM.4PQZJ	GTEX.ZZ64.0826.SM.5E449	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.YEC4.1926.SM.5IFHJ	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.111CU.1226.SM.5EGIN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.UJMC.1326.SM.4IHLS	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVT2.1926.SM.5GU5T	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.T6MO.0826.SM.4DM51	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.1399U.2226.SM.5KLZI	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.12WSL.1626.SM.5GCMU	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.ZTTD.2626.SM.57WEX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.Y114.1526.SM.4TT79	GTEX.13FH7.1626.SM.5J2O9	GTEX.ZV7C.1526.SM.5NQ72	GTEX.YF7O.1626.SM.5IFII	GTEX.Y3IK.1826.SM.4WWDS	GTEX.13FH7.1526.SM.5J2N6	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.WFG8.1726.SM.4LVM6	GTEX.ZLV1.1226.SM.4WWBX	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1211K.1326.SM.5FQV2	GTEX.XUZC.0326.SM.4BOO8	GTEX.1212Z.2026.SM.5N9EA	GTEX.132QS.1526.SM.5J2MV	TCGA.CG.5734.11A.01R.1602.13
ATP13A4	22.59	1.68	14.56	0.09	26.47	0.0	0.0	23.42	9.78	47.5	27.84	54.72	21.47	53.19	220.32	80.57	10.47	226.54	151.22	65.26	81.14	96.01	81.71	108.9	190.34	130.6	291.04	108.14	122.64	130.6	246.28	140.04	167.9	118.43	232.94	101.54	30.78	6.41	161.02	137.14	214.27	77.25	106.63	249.73	253.23	101.54	5.32	159.9	119.26	258.57	201.25	112.77	125.24	46.5	32.13	194.36	193.01	181.28	115.97	63.89	34.02	35.5	88.88	131.51	218.79	12.45	126.12	115.16	140.04	139.07	108.9	312.0	206.94	14.78	143.01	265.87	169.07	146.03	384.34	142.01	114.36	144.01	190.34	122.64	154.42	166.73	348.71	339.14	128.79	457.25	237.86	149.12	84.04	85.82	181.28	173.85	224.97	295.11	177.53	131.51	293.07	22.26	165.57	80.01	7.17	141.02	236.21	116.78	173.85	63.45	82.29	217.27	215.77	265.87	171.45	215.77	47.5	86.43	223.41	126.12	55.89	239.52	14.56	202.66	197.09	277.2	454.09	11.91	236.21	111.99	48.52	9.34	208.38	9.85	148.09	6.16	10.71	146.03	177.53	27.84	120.1	127.89	89.51	16.75	6.94	251.48	186.4	121.79	5.68	8.71	4.86	8.19	5.15	63.45
ATP7B	13.42	285.03	154.42	332.14	129.69	62.12	218.79	136.19	195.72	94.67	98.73	108.9	96.01	91.41	226.54	131.51	40.36	190.34	215.77	108.14	165.57	176.29	182.55	182.55	205.5	177.53	131.51	201.25	157.68	154.42	208.38	237.86	212.78	172.65	197.09	172.65	64.8	96.68	94.01	158.79	181.28	118.43	141.02	198.47	228.13	153.34	52.82	121.79	89.51	162.14	199.85	102.97	199.85	128.79	73.03	155.5	198.47	172.65	140.04	153.34	120.1	85.22	150.17	186.4	208.38	88.26	198.47	150.17	156.59	127.0	131.51	223.41	212.78	52.08	175.07	165.57	182.55	130.6	221.86	141.02	214.27	197.09	154.42	236.21	145.02	201.25	206.94	208.38	226.54	228.13	137.14	194.36	116.78	190.34	170.25	211.31	332.14	275.28	198.47	170.25	156.59	61.25	153.34	94.01	43.32	211.31	205.5	182.55	195.72	83.45	215.77	165.57	291.04	138.1	185.11	281.09	76.17	127.89	229.72	163.28	118.43	212.78	29.48	201.25	158.79	206.94	205.5	39.79	211.31	148.09	54.33	53.19	218.79	59.55	157.68	49.21	59.55	157.68	195.72	137.14	111.21	155.5	165.57	43.32	56.68	248.0	204.07	176.29	13.62	39.79	62.56	62.12	44.89	209.84
ATP8B1	167.9	177.53	1757.34	647.07	1936.53	189.02	420.68	1167.14	409.15	1233.75	1104.13	1295.13	954.43	1277.29	3018.3	2468.49	607.87	3349.13	3515.68	2351.53	3372.43	2451.44	3280.18	3491.39	2104.58	2796.65	2895.31	3081.75	3443.31	2956.17	4575.41	3564.78	4836.35	4268.94	4239.45	2384.37	1096.5	271.48	2609.3	1277.29	4010.71	1350.18	3491.39	3639.7	2468.49	3235.01	387.02	1977.24	1857.6	3349.13	4210.15	1806.78	2875.3	2835.7	1594.73	2976.74	4543.8	3235.01	2303.12	3874.05	4704.07	441.64	4575.41	4095.0	2400.97	363.56	3491.39	2664.15	3768.09	1447.15	5517.27	3928.15	1819.35	460.44	3372.43	3639.7	2609.3	2816.11	2997.45	981.29	3372.43	3589.58	5006.93	3847.29	2935.74	4066.71	4358.66	2240.11	4210.15	3419.52	3349.13	3589.58	1909.85	3982.99	3982.99	4123.49	3614.55	3955.48	3467.27	3280.18	3665.02	463.65	3146.52	2287.2	309.83	4450.27	3742.05	3665.02	3690.52	1857.6	4038.61	3928.15	2956.17	2287.2	3847.29	3589.58	395.18	753.83	3564.78	2537.92	3018.3	3847.29	457.25	3515.68	3614.55	4095.0	2682.69	262.2	3716.2	2520.38	444.72	395.18	3419.52	896.64	3443.31	633.73	1159.07	2451.44	3515.68	2609.3	3303.0	1977.24	3564.78	447.82	753.83	3614.55	3280.18	2895.31	88.26	226.54	190.34	197.09	161.02	669.92
B3GALT5	0.71	53.19	808.0	42.11	90.14	3.92	70.51	161.02	23.76	269.6	110.43	260.38	50.27	178.77	651.58	1769.57	65.26	2400.97	884.29	1135.2	1295.13	595.34	1151.06	1583.71	825.0	1304.15	543.96	1151.06	1417.35	1685.71	808.0	921.88	2119.22	1628.26	1781.89	1015.93	262.2	19.97	872.1	656.11	1950.0	612.11	995.0	1583.71	1857.6	1551.09	54.33	348.71	967.76	1151.06	1709.26	728.11	1769.57	571.05	395.18	878.17	1721.16	1304.15	540.19	1143.1	1175.27	54.72	743.43	2104.58	1313.23	69.03	1498.22	713.11	595.34	220.32	2287.2	1008.9	183.82	63.0	1709.26	1896.65	555.41	1015.93	1529.73	159.9	902.89	738.29	1225.22	1008.9	1870.53	2032.85	2004.85	733.19	1594.73	1832.01	796.86	674.59	571.05	1662.49	1963.57	1175.27	674.59	1111.82	1572.76	1001.93	669.92	64.34	1322.37	698.41	59.97	547.75	1572.76	748.61	1191.69	460.44	2209.26	599.49	1183.45	1183.45	1540.37	3716.2	52.45	674.59	1295.13	2777.33	336.79	1135.2	49.56	1096.5	642.59	791.35	860.08	50.63	708.18	995.0	74.06	50.98	1561.89	61.68	1191.69	44.57	8.92	796.86	1111.82	511.0	1639.59	567.1	1529.73	105.15	72.52	353.59	718.08	447.82	1.36	2.07	3.0	13.22	24.11	95.34
BCKDHB	224.97	264.03	497.0	607.87	708.18	181.28	329.84	299.25	273.37	432.53	417.77	366.09	275.28	454.09	748.61	406.31	305.55	728.11	728.11	567.1	551.56	629.35	603.67	483.38	500.46	674.59	525.39	647.07	753.83	397.93	872.1	718.08	656.11	656.11	796.86	813.63	332.14	314.17	583.07	363.56	921.88	397.93	532.74	909.17	647.07	567.1	327.56	500.46	395.18	769.69	595.34	406.31	490.14	314.17	301.33	483.38	902.89	769.69	514.56	836.53	743.43	633.73	551.56	688.78	595.34	444.72	679.29	563.18	624.99	571.05	483.38	769.69	679.29	303.44	587.13	842.36	426.57	518.15	591.22	351.14	647.07	848.22	743.43	954.43	708.18	638.15	915.51	551.56	651.58	743.43	759.08	629.35	381.68	629.35	536.45	780.44	703.28	1066.48	947.83	748.61	743.43	384.34	507.46	483.38	540.19	791.35	759.08	543.96	616.37	473.41	633.73	718.08	759.08	563.18	624.99	860.08	262.2	305.55	669.92	493.56	450.94	693.58	291.04	579.04	785.88	753.83	616.37	248.0	769.69	497.0	432.53	457.25	981.29	336.79	642.59	283.05	279.14	583.07	497.0	555.41	529.06	432.53	567.1	316.37	291.04	616.37	674.59	599.49	327.56	466.88	170.25	291.04	329.84	194.36
C11orf54	136.19	366.09	764.36	406.31	426.57	361.04	262.2	503.95	368.65	748.61	559.28	791.35	612.11	1104.13	995.0	967.76	842.36	1909.85	1540.37	743.43	1208.34	1044.52	1159.07	1551.09	703.28	1225.22	1250.98	1757.34	1151.06	1015.93	1519.15	1350.18	884.29	995.0	1369.04	669.92	543.96	743.43	764.36	567.1	1936.53	547.75	1487.87	1923.14	928.3	780.44	848.22	1073.91	848.22	928.3	1397.83	595.34	1088.92	808.0	775.05	1359.57	1977.24	1259.69	708.18	1259.69	1001.93	532.74	1628.26	1135.2	775.05	718.08	1216.75	1721.16	1551.09	780.44	1417.35	1697.45	947.83	497.0	1225.22	1208.34	1191.69	1477.58	1457.23	830.75	1477.58	1467.37	1175.27	1923.14	1175.27	1628.26	1991.0	1111.82	1407.55	1437.15	1191.69	1639.59	928.3	1437.15	1407.55	1572.76	1551.09	1378.57	2178.83	1378.57	1199.98	759.08	1605.83	825.0	575.03	1498.22	1313.23	1023.0	1417.35	1001.93	1709.26	1044.52	1519.15	836.53	1313.23	1662.49	780.44	866.07	1437.15	1111.82	743.43	1467.37	435.55	1639.59	1023.0	1794.29	1216.75	525.39	1225.22	1350.18	718.08	764.36	1832.01	633.73	1259.69	483.38	397.93	1081.39	1081.39	616.37	1104.13	854.13	1225.22	733.19	563.18	1896.65	1322.37	1015.93	283.05	450.94	387.02	249.73	447.82	647.07
CANT1	299.25	1225.22	2609.3	559.28	1268.46	1572.76	2777.33	2485.67	780.44	2163.77	2104.58	3081.75	1457.23	3081.75	5076.84	4937.99	1350.18	5255.91	4512.4	5872.48	4419.52	4543.8	4769.75	4419.52	3928.15	3742.05	4419.52	4903.87	4010.71	6337.83	4802.93	3491.39	4937.99	5479.15	3928.15	4972.34	2468.49	947.83	4481.23	2351.53	5479.15	3491.39	5041.77	4575.41	5441.3	4419.52	1119.56	3018.3	2384.37	4704.07	5255.91	3168.41	4607.24	4972.34	3124.78	3928.15	4903.87	7032.37	3564.78	4869.99	3847.29	1199.98	4937.99	5751.61	3690.52	890.44	4869.99	3443.31	4388.98	2739.08	6887.62	3419.52	3325.99	1191.69	3901.01	5913.33	4095.0	3820.7	4010.71	1794.29	4607.24	3665.02	3768.09	4450.27	5076.84	5954.47	5672.41	3690.52	5403.7	5076.84	4010.71	4769.75	4038.61	5555.65	6207.38	4607.24	4095.0	5366.37	4869.99	4181.07	5112.16	981.29	4836.35	3564.78	941.27	4419.52	5366.37	3874.05	4239.45	2193.99	4972.34	4972.34	4328.55	4038.61	4736.79	5219.6	1081.39	2209.26	5006.93	4937.99	4543.8	4543.8	1167.14	4388.98	4388.98	4419.52	3235.01	854.13	5219.6	3467.27	1023.0	1030.12	4639.29	928.3	5633.22	1119.56	1051.79	3768.09	5112.16	3955.48	4181.07	3018.3	5594.3	1111.82	1191.69	3955.48	3874.05	4419.52	387.02	409.15	423.61	307.69	353.59	1572.76
CASD1	108.9	108.9	189.02	148.09	223.41	82.29	133.36	181.28	264.03	343.89	318.57	392.44	325.29	343.89	426.57	460.44	289.02	587.13	713.11	395.18	669.92	470.14	384.34	660.68	642.59	571.05	563.18	738.29	514.56	466.88	583.07	688.78	866.07	486.75	698.41	532.74	409.15	409.15	395.18	480.04	698.41	400.71	638.15	836.53	698.41	389.72	275.28	460.44	463.65	607.87	674.59	381.68	624.99	441.64	242.88	518.15	713.11	693.58	503.95	521.76	412.0	371.22	665.29	540.19	511.0	299.25	633.73	660.68	599.49	334.46	543.96	718.08	414.87	262.2	389.72	638.15	607.87	651.58	753.83	269.6	791.35	656.11	463.65	808.0	403.5	698.41	1001.93	693.58	607.87	633.73	802.41	551.56	423.61	669.92	825.0	603.67	525.39	947.83	547.75	493.56	616.37	325.29	660.68	409.15	275.28	759.08	579.04	420.68	567.1	379.04	688.78	381.68	638.15	500.46	688.78	743.43	356.05	493.56	813.63	460.44	447.82	503.95	353.59	764.36	555.41	934.76	660.68	414.87	848.22	463.65	389.72	277.2	642.59	329.84	567.1	204.07	197.09	400.71	473.41	454.09	796.86	518.15	384.34	346.29	316.37	629.35	511.0	521.76	149.12	211.31	172.65	201.25	164.42	78.34
CASK	221.86	1104.13	366.09	503.95	1191.69	629.35	441.64	665.29	995.0	420.68	389.72	454.09	351.14	361.04	612.11	529.06	223.41	738.29	642.59	647.07	688.78	669.92	493.56	599.49	656.11	547.75	665.29	660.68	674.59	759.08	909.17	591.22	669.92	688.78	660.68	679.29	325.29	228.13	435.55	320.8	842.36	389.72	647.07	728.11	612.11	497.0	303.44	438.59	571.05	616.37	872.1	476.71	525.39	547.75	379.04	547.75	764.36	703.28	441.64	796.86	651.58	295.11	764.36	928.3	514.56	279.14	651.58	575.03	665.29	417.77	830.75	813.63	460.44	293.07	651.58	813.63	587.13	647.07	563.18	291.04	679.29	575.03	878.17	890.44	629.35	693.58	780.44	511.0	780.44	620.67	629.35	743.43	426.57	884.29	928.3	808.0	567.1	967.76	693.58	647.07	679.29	226.54	579.04	587.13	236.21	819.3	813.63	483.38	743.43	493.56	647.07	753.83	518.15	551.56	571.05	713.11	334.46	341.51	656.11	612.11	669.92	620.67	305.55	620.67	629.35	703.28	444.72	248.0	633.73	571.05	237.86	236.21	753.83	239.52	785.88	246.28	318.57	638.15	698.41	460.44	647.07	384.34	713.11	244.57	275.28	753.83	796.86	642.59	122.64	211.31	157.68	201.25	182.55	314.17
CASP3	246.28	612.11	660.68	412.0	748.61	647.07	587.13	599.49	305.55	902.89	842.36	547.75	406.31	543.96	1051.79	743.43	490.14	1119.56	896.64	909.17	921.88	848.22	909.17	890.44	842.36	860.08	915.51	995.0	988.12	902.89	1208.34	909.17	1208.34	1008.9	947.83	947.83	599.49	518.15	866.07	607.87	1135.2	616.37	1119.56	988.12	890.44	808.0	490.14	775.05	674.59	896.64	1059.11	629.35	890.44	854.13	728.11	775.05	1059.11	1369.04	954.43	1051.79	890.44	438.59	995.0	1167.14	819.3	511.0	884.29	854.13	974.5	669.92	1135.2	934.76	796.86	490.14	961.07	1051.79	808.0	854.13	902.89	595.34	981.29	915.51	915.51	1135.2	988.12	1208.34	1059.11	808.0	1135.2	1008.9	1096.5	1030.12	708.18	1001.93	1286.18	1008.9	915.51	1268.46	1096.5	902.89	1051.79	507.46	830.75	698.41	406.31	1143.1	1088.92	921.88	1030.12	620.67	974.5	1081.39	1015.93	796.86	1073.91	1044.52	497.0	563.18	902.89	921.88	1001.93	1104.13	381.68	941.27	988.12	974.5	825.0	521.76	988.12	796.86	463.65	497.0	1119.56	450.94	967.76	426.57	358.54	703.28	785.88	733.19	808.0	698.41	1159.07	551.56	603.67	967.76	866.07	988.12	217.27	258.57	172.65	205.5	253.23	420.68
CCDC125	38.95	102.97	142.01	125.24	127.89	67.12	93.35	97.36	58.3	152.28	112.77	106.63	115.16	114.36	204.07	204.07	105.15	228.13	193.01	181.28	159.9	204.07	202.66	158.79	255.0	183.82	153.34	185.11	267.73	218.79	249.73	217.27	226.54	175.07	271.48	183.82	123.5	77.79	159.9	143.01	256.78	117.6	226.54	260.38	303.44	151.22	73.54	149.12	126.12	167.9	279.14	138.1	205.5	115.97	115.97	185.11	283.05	325.29	176.29	152.28	130.6	106.63	236.21	249.73	211.31	96.68	220.32	158.79	232.94	121.79	285.03	237.86	214.27	57.49	249.73	265.87	256.78	189.02	204.07	97.36	234.57	215.77	221.86	224.97	248.0	316.37	329.84	170.25	231.32	205.5	171.45	214.27	115.97	209.84	287.01	237.86	287.01	387.02	223.41	212.78	214.27	67.12	176.29	177.53	54.72	239.52	241.19	241.19	231.32	125.24	211.31	246.28	205.5	156.59	299.25	239.52	83.45	141.02	208.38	171.45	199.85	285.03	111.21	167.9	202.66	180.02	187.71	69.52	248.0	150.17	87.03	76.17	239.52	79.45	242.88	73.03	65.26	151.22	295.11	134.3	202.66	162.14	202.66	69.52	96.68	224.97	273.37	215.77	48.18	42.71	40.64	66.65	45.85	134.3
CERS6	253.23	239.52	237.86	429.54	444.72	201.25	426.57	406.31	157.68	218.79	251.48	325.29	265.87	260.38	521.76	309.83	175.07	607.87	532.74	514.56	629.35	497.0	376.41	536.45	438.59	441.64	457.25	540.19	583.07	555.41	713.11	612.11	607.87	540.19	607.87	420.68	269.6	191.67	363.56	301.33	769.69	291.04	825.0	698.41	521.76	423.61	307.69	412.0	309.83	583.07	728.11	305.55	486.75	547.75	279.14	460.44	693.58	567.1	454.09	540.19	412.0	198.47	669.92	638.15	511.0	232.94	543.96	490.14	579.04	325.29	759.08	698.41	389.72	177.53	497.0	543.96	521.76	543.96	551.56	224.97	603.67	612.11	708.18	688.78	555.41	642.59	753.83	500.46	620.67	684.02	521.76	540.19	387.02	775.05	915.51	571.05	476.71	813.63	674.59	595.34	616.37	190.34	612.11	320.8	163.28	688.78	607.87	511.0	536.45	361.04	476.71	514.56	518.15	429.54	579.04	536.45	224.97	327.56	633.73	412.0	543.96	660.68	241.19	579.04	624.99	688.78	532.74	197.09	575.03	511.0	224.97	130.6	665.29	202.66	559.28	147.06	191.67	450.94	559.28	389.72	529.06	432.53	480.04	242.88	172.65	679.29	595.34	486.75	173.85	373.81	320.8	186.4	183.82	356.05
CMTM4	75.11	307.69	228.13	389.72	981.29	183.82	470.14	591.22	159.9	500.46	567.1	1044.52	583.07	612.11	1819.35	1340.84	373.81	1819.35	1745.2	1651.0	1628.26	1369.04	1225.22	1685.71	1551.09	1551.09	1369.04	1277.29	1583.71	1594.73	2119.22	1709.26	1923.14	1963.57	1936.53	1477.58	684.02	368.65	1159.07	1001.93	2148.82	802.41	1498.22	2104.58	1662.49	1073.91	384.34	1259.69	934.76	1819.35	2061.24	1008.9	1685.71	1498.22	866.07	1529.73	1963.57	1832.01	1340.84	1551.09	1295.13	417.77	1417.35	1745.2	1340.84	397.93	1674.06	1467.37	1721.16	967.76	1340.84	1709.26	1378.57	363.56	1216.75	1757.34	1096.5	1551.09	1651.0	860.08	1977.24	1605.83	1745.2	2148.82	1662.49	1697.45	2018.8	1540.37	1857.6	1870.53	1561.89	1757.34	1519.15	1781.89	1844.76	1963.57	1594.73	2090.03	1794.29	1605.83	1883.54	444.72	1605.83	981.29	332.14	2133.97	1628.26	1572.76	1721.16	915.51	1721.16	1519.15	1936.53	1216.75	1378.57	1819.35	438.59	693.58	1963.57	1519.15	1437.15	1651.0	368.65	1794.29	1709.26	1991.0	1628.26	373.81	1923.14	1417.35	371.22	301.33	1870.53	323.03	1427.22	334.46	323.03	1208.34	1397.83	1277.29	1407.55	1216.75	1378.57	426.57	387.02	1721.16	1519.15	1674.06	72.01	237.86	258.57	159.9	221.86	514.56
COG2	241.19	251.48	305.55	444.72	432.53	256.78	366.09	381.68	249.73	432.53	450.94	507.46	457.25	438.59	651.58	616.37	454.09	583.07	674.59	514.56	708.18	612.11	612.11	743.43	753.83	603.67	633.73	802.41	759.08	540.19	759.08	713.11	775.05	567.1	854.13	612.11	551.56	441.64	587.13	563.18	759.08	551.56	483.38	819.3	854.13	620.67	389.72	493.56	463.65	693.58	674.59	420.68	780.44	679.29	514.56	567.1	748.61	703.28	612.11	595.34	708.18	463.65	591.22	651.58	521.76	414.87	693.58	629.35	571.05	555.41	769.69	679.29	693.58	400.71	591.22	718.08	674.59	647.07	728.11	493.56	836.53	669.92	612.11	759.08	583.07	567.1	813.63	674.59	684.02	759.08	679.29	703.28	529.06	713.11	728.11	684.02	647.07	813.63	660.68	651.58	723.08	414.87	591.22	642.59	392.44	718.08	708.18	599.49	642.59	473.41	647.07	629.35	836.53	616.37	713.11	791.35	490.14	525.39	764.36	647.07	575.03	660.68	426.57	708.18	718.08	759.08	665.29	400.71	785.88	660.68	353.59	376.41	723.08	409.15	718.08	329.84	273.37	591.22	599.49	660.68	660.68	612.11	514.56	444.72	423.61	708.18	669.92	563.18	262.2	283.05	329.84	234.57	297.17	232.94
COG3	206.94	651.58	432.53	486.75	559.28	329.84	297.17	271.48	414.87	435.55	353.59	373.81	289.02	299.25	723.08	493.56	444.72	579.04	525.39	493.56	532.74	438.59	463.65	511.0	595.34	444.72	532.74	450.94	575.03	429.54	759.08	473.41	713.11	693.58	575.03	674.59	323.03	312.0	529.06	420.68	620.67	511.0	563.18	651.58	543.96	447.82	301.33	343.89	441.64	521.76	693.58	483.38	476.71	409.15	373.81	525.39	620.67	808.0	540.19	583.07	543.96	356.05	688.78	595.34	547.75	318.57	633.73	473.41	575.03	341.51	733.19	543.96	366.09	366.09	503.95	780.44	529.06	521.76	540.19	460.44	571.05	647.07	612.11	603.67	599.49	547.75	599.49	420.68	607.87	624.99	620.67	497.0	435.55	603.67	698.41	603.67	503.95	796.86	591.22	571.05	738.29	426.57	414.87	518.15	291.04	703.28	536.45	674.59	521.76	400.71	647.07	616.37	571.05	674.59	612.11	688.78	353.59	426.57	603.67	571.05	514.56	684.02	303.44	518.15	395.18	587.13	511.0	258.57	642.59	429.54	457.25	283.05	708.18	341.51	620.67	264.03	279.14	466.88	438.59	493.56	529.06	426.57	551.56	218.79	325.29	536.45	420.68	612.11	158.79	323.03	231.32	120.1	249.73	244.57
CROT	237.86	186.4	181.28	231.32	205.5	55.49	132.44	244.57	71.5	414.87	346.29	199.85	384.34	397.93	518.15	902.89	195.72	748.61	1001.93	341.51	403.5	368.65	463.65	651.58	414.87	633.73	256.78	332.14	633.73	316.37	698.41	551.56	395.18	532.74	543.96	429.54	251.48	202.66	500.46	260.38	529.06	426.57	612.11	738.29	543.96	223.41	189.02	343.89	384.34	273.37	728.11	291.04	457.25	447.82	307.69	571.05	1143.1	536.45	348.71	713.11	212.78	273.37	567.1	579.04	595.34	262.2	529.06	684.02	1037.29	361.04	1175.27	743.43	450.94	206.94	583.07	529.06	387.02	764.36	836.53	514.56	473.41	567.1	420.68	503.95	376.41	529.06	490.14	540.19	571.05	620.67	665.29	599.49	273.37	638.15	607.87	529.06	624.99	896.64	500.46	493.56	511.0	275.28	612.11	327.56	183.82	674.59	638.15	441.64	400.71	295.11	493.56	457.25	397.93	348.71	460.44	651.58	264.03	305.55	406.31	417.77	368.65	392.44	199.85	587.13	450.94	480.04	733.19	202.66	400.71	543.96	255.0	267.73	1508.65	253.23	483.38	197.09	146.03	460.44	400.71	253.23	674.59	361.04	339.14	249.73	218.79	769.69	476.71	447.82	144.01	173.85	143.01	138.1	182.55	314.17
