	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.ZYY3.0926.SM.5E454	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.111YS.0626.SM.5GZXV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.117YX.1326.SM.5H125	GTEX.YEC3.0226.SM.5IFJO	GTEX.11NV4.1126.SM.5HL6J	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.QESD.0626.SM.2I5G4	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.11P81.0226.SM.5HL5M	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11OF3.1126.SM.5986C	GTEX.RM2N.0426.SM.2TF4T	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57
C19orf40	63.89	49.21	38.12	50.98	43.63	5.92	11.64	29.7	52.08	13.62	61.68	74.06	11.64	48.18	12.55	39.22	14.24	6.06	49.56	64.34	29.7	36.01	27.44	38.67	51.35	15.45	33.06	34.26	65.72	49.56	20.71	13.32	22.59	9.85	43.94	46.18	51.35	49.91	19.97	54.72	84.04	75.11	39.22	100.13	33.54	85.82	71.0	40.93	36.01	64.8	31.67	79.45	13.42	40.64	23.25	25.17	35.5
C2CD5	476.71	376.41	221.86	583.07	343.89	130.6	195.72	384.34	447.82	126.12	457.25	514.56	146.03	595.34	166.73	307.69	131.51	248.0	555.41	466.88	119.26	381.68	291.04	507.46	480.04	64.34	221.86	199.85	503.95	521.76	341.51	190.34	228.13	107.38	563.18	420.68	441.64	612.11	128.79	392.44	733.19	848.22	325.29	473.41	351.14	571.05	438.59	463.65	571.05	563.18	480.04	518.15	84.63	318.57	102.25	173.85	400.71
C2orf43	246.28	193.01	223.41	291.04	182.55	48.52	44.25	190.34	224.97	93.35	323.03	249.73	104.42	237.86	65.26	145.02	121.79	111.99	301.33	262.2	59.13	189.02	118.43	248.0	212.78	24.11	158.79	125.24	353.59	231.32	208.38	75.64	136.19	85.82	267.73	241.19	279.14	279.14	115.16	260.38	175.07	392.44	195.72	206.94	201.25	351.14	224.97	262.2	281.09	264.03	307.69	291.04	57.89	223.41	41.52	137.14	190.34
C9orf85	148.09	180.02	105.89	325.29	146.03	58.3	67.12	165.57	183.82	77.25	195.72	241.19	144.01	172.65	127.89	79.45	65.26	145.02	195.72	198.47	75.11	156.59	120.94	234.57	154.42	62.56	125.24	142.01	155.5	209.84	124.37	130.6	149.12	72.01	271.48	223.41	204.07	223.41	92.7	159.9	176.29	480.04	153.34	281.09	108.14	251.48	199.85	237.86	204.07	185.11	172.65	183.82	78.34	105.15	86.43	113.56	147.06
CCDC132	320.8	287.01	189.02	334.46	236.21	47.5	109.66	211.31	262.2	128.79	332.14	241.19	107.38	366.09	71.5	220.32	108.9	137.14	395.18	279.14	124.37	241.19	171.45	287.01	271.48	46.84	195.72	97.36	341.51	309.83	206.94	108.14	187.71	99.43	363.56	265.87	283.05	246.28	121.79	255.0	348.71	529.06	234.57	256.78	172.65	314.17	258.57	279.14	379.04	287.01	376.41	267.73	81.71	248.0	70.51	175.07	187.71
CENPQ	77.79	139.07	36.79	123.5	63.0	33.54	37.59	93.35	124.37	14.14	111.21	146.03	49.56	134.3	24.81	75.11	34.02	32.82	130.6	102.25	18.16	132.44	32.82	147.06	102.97	11.13	83.45	39.22	182.55	102.25	59.97	34.02	80.57	34.02	136.19	87.03	139.07	120.94	31.0	95.34	144.01	189.02	75.11	175.07	73.54	215.77	83.45	80.01	141.02	94.67	57.49	102.97	37.59	132.44	18.29	61.25	83.45
CETN3	616.37	748.61	579.04	791.35	435.55	249.73	158.79	612.11	753.83	181.28	934.76	902.89	329.84	974.5	205.5	463.65	299.25	395.18	878.17	665.29	156.59	703.28	242.88	802.41	819.3	109.66	341.51	316.37	1111.82	813.63	514.56	265.87	353.59	172.65	848.22	698.41	688.78	571.05	241.19	808.0	693.58	819.3	476.71	1286.18	607.87	1111.82	703.28	642.59	884.29	612.11	616.37	529.06	109.66	441.64	110.43	395.18	397.93
CLNS1A	1806.78	1628.26	1745.2	1991.0	1167.14	728.11	603.67	1508.65	1844.76	878.17	1529.73	1832.01	1508.65	2255.7	780.44	1259.69	1378.57	1023.0	2609.3	1857.6	909.17	1540.37	1023.0	1662.49	1540.37	587.13	988.12	1397.83	2047.0	1561.89	1639.59	1991.0	1757.34	583.07	1963.57	1757.34	1923.14	1844.76	1388.16	1857.6	1498.22	3190.46	1498.22	2855.44	1437.15	2573.36	1709.26	1806.78	2133.97	1572.76	1950.0	1183.45	316.37	1477.58	1044.52	1096.5	1233.75
CNTLN	69.52	81.14	14.24	71.0	97.36	53.95	38.95	93.35	61.25	27.64	80.57	62.56	51.71	53.57	27.84	31.0	15.34	54.33	125.24	56.68	28.86	106.63	50.63	88.88	109.66	13.83	48.87	29.27	73.54	96.68	57.08	30.56	9.2	28.24	63.0	50.27	100.83	95.34	19.25	77.79	95.34	303.44	26.86	110.43	53.19	172.65	62.12	85.82	133.36	77.79	100.83	65.26	6.52	81.14	14.56	28.24	119.26
COG6	223.41	249.73	154.42	281.09	194.36	82.29	57.89	255.0	209.84	64.8	267.73	267.73	77.25	201.25	112.77	129.69	146.03	134.3	271.48	183.82	104.42	204.07	100.83	234.57	267.73	55.89	147.06	93.35	301.33	260.38	166.73	78.89	159.9	90.14	242.88	209.84	229.72	204.07	143.01	297.17	209.84	432.53	151.22	244.57	146.03	279.14	170.25	260.38	291.04	176.29	249.73	262.2	78.89	183.82	57.08	136.19	167.9
COMMD8	387.02	679.29	363.56	447.82	297.17	101.54	140.04	361.04	497.0	100.13	547.75	507.46	186.4	607.87	146.03	289.02	185.11	157.68	447.82	473.41	163.28	348.71	157.68	511.0	503.95	64.34	341.51	134.3	607.87	463.65	187.71	148.09	285.03	121.79	417.77	327.56	450.94	332.14	208.38	540.19	414.87	802.41	483.38	718.08	267.73	571.05	339.14	403.5	384.34	346.29	301.33	389.72	108.14	447.82	108.14	307.69	289.02
COQ5	559.28	651.58	665.29	612.11	447.82	177.53	175.07	555.41	518.15	226.54	743.43	753.83	242.88	698.41	249.73	463.65	283.05	234.57	819.3	753.83	273.37	591.22	301.33	660.68	583.07	107.38	470.14	358.54	688.78	651.58	426.57	249.73	265.87	205.5	764.36	674.59	563.18	532.74	249.73	769.69	647.07	890.44	587.13	842.36	547.75	728.11	633.73	713.11	785.88	595.34	656.11	571.05	127.89	555.41	164.42	444.72	435.55
CRIPT	182.55	232.94	146.03	258.57	214.27	111.21	59.97	239.52	212.78	87.03	237.86	249.73	206.94	295.11	113.56	201.25	109.66	123.5	395.18	281.09	106.63	224.97	81.71	256.78	229.72	77.79	161.02	96.68	363.56	251.48	136.19	104.42	125.24	95.34	289.02	189.02	260.38	224.97	81.71	215.77	191.67	409.15	198.47	336.79	204.07	332.14	212.78	189.02	463.65	202.66	265.87	307.69	111.21	244.57	95.34	158.79	138.1
CSF1R	1044.52	753.83	928.3	2240.11	633.73	118.43	277.2	693.58	595.34	660.68	1806.78	2119.22	105.89	780.44	198.47	1127.35	540.19	309.83	1081.39	1250.98	708.18	616.37	314.17	1304.15	2018.8	660.68	1437.15	251.48	543.96	599.49	420.68	332.14	713.11	285.03	1051.79	1331.57	1540.37	1467.37	595.34	547.75	2004.85	3419.52	2193.99	2682.69	152.28	1832.01	1963.57	796.86	2400.97	2335.28	3212.66	775.05	381.68	587.13	303.44	651.58	591.22
CYP2C18	138.1	49.56	16.51	75.64	52.45	2.68	15.45	40.93	111.99	1.39	46.84	249.73	10.47	144.01	2.56	48.18	9.63	3.63	72.52	90.14	10.0	119.26	6.52	16.88	191.67	2.41	30.34	5.59	23.25	84.63	31.0	13.52	17.9	3.59	2.56	29.06	105.89	131.51	16.27	45.21	28.65	269.6	28.24	147.06	74.06	91.41	226.54	218.79	232.94	42.71	205.5	323.03	9.34	55.49	11.38	46.84	71.0
DCK	283.05	514.56	156.59	423.61	371.22	98.04	120.94	305.55	387.02	78.89	406.31	392.44	165.57	303.44	149.12	241.19	147.06	208.38	343.89	279.14	127.89	417.77	180.02	684.02	400.71	115.16	265.87	161.02	599.49	420.68	155.5	55.89	103.69	105.15	376.41	262.2	460.44	409.15	150.17	555.41	351.14	703.28	329.84	500.46	182.55	575.03	371.22	409.15	406.31	387.02	309.83	343.89	212.78	392.44	115.16	187.71	291.04
EFCAB11	120.1	78.89	35.0	189.02	84.63	40.07	36.53	102.97	98.73	18.43	228.13	170.25	24.11	61.68	52.45	58.71	86.43	17.38	86.43	127.0	83.45	44.89	62.56	118.43	116.78	20.26	66.65	49.91	103.69	31.22	111.99	12.93	29.06	23.76	101.54	73.03	105.89	122.64	45.53	85.82	77.25	234.57	66.65	229.72	70.01	279.14	55.89	115.16	62.12	112.77	141.02	144.01	26.28	131.51	47.84	25.35	76.71
EFCAB7	106.63	98.04	86.43	128.79	90.77	29.7	82.29	89.51	112.77	42.41	145.02	111.21	35.25	104.42	18.7	85.82	47.84	48.87	118.43	132.44	22.92	111.21	71.0	90.14	102.25	11.91	81.14	39.79	124.37	127.0	123.5	58.71	98.04	48.52	103.69	105.89	98.73	105.89	45.21	88.88	129.69	169.07	53.95	111.99	112.77	155.5	114.36	101.54	132.44	104.42	99.43	105.89	18.16	102.25	28.65	35.25	79.45
EHHADH	131.51	149.12	107.38	169.07	198.47	40.93	19.68	133.36	144.01	47.17	176.29	164.42	35.76	165.57	14.78	117.6	60.82	37.05	239.52	242.88	33.78	161.02	55.89	155.5	151.22	5.82	75.11	75.11	155.5	157.68	94.67	48.52	66.65	37.59	163.28	162.14	187.71	180.02	47.17	128.79	208.38	246.28	116.78	211.31	122.64	224.97	215.77	176.29	258.57	176.29	162.14	165.57	24.11	147.06	28.45	88.88	86.43
ERI2	176.29	186.4	100.13	295.11	173.85	37.32	62.56	161.02	147.06	78.34	249.73	277.2	79.45	226.54	60.39	118.43	63.0	119.26	295.11	275.28	48.18	170.25	98.04	312.0	255.0	28.04	118.43	93.35	327.56	303.44	182.55	66.18	85.82	105.89	289.02	204.07	193.01	246.28	111.99	191.67	226.54	493.56	182.55	248.0	136.19	356.05	217.27	232.94	244.57	189.02	226.54	234.57	57.89	182.55	58.3	83.45	115.16
FAM21C	409.15	220.32	214.27	769.69	473.41	108.9	301.33	414.87	320.8	255.0	647.07	525.39	178.77	336.79	226.54	420.68	144.01	291.04	543.96	470.14	176.29	480.04	336.79	620.67	336.79	287.01	318.57	177.53	493.56	371.22	336.79	287.01	236.21	183.82	703.28	414.87	536.45	476.71	218.79	429.54	555.41	764.36	435.55	327.56	241.19	723.08	299.25	343.89	583.07	532.74	703.28	473.41	197.09	366.09	221.86	183.82	525.39
FGFR1OP	152.28	96.68	135.24	212.78	69.03	59.55	35.25	87.03	99.43	57.89	224.97	137.14	72.52	108.9	61.25	61.68	115.97	65.72	145.02	128.79	59.55	82.29	61.68	140.04	111.99	54.33	79.45	59.13	209.84	105.15	147.06	50.63	92.05	44.89	162.14	133.36	126.12	115.97	73.54	118.43	136.19	228.13	85.82	178.77	104.42	249.73	140.04	129.69	118.43	120.1	139.07	142.01	70.01	129.69	45.85	72.01	105.89
FPGT	303.44	215.77	173.85	309.83	197.09	70.51	50.98	125.24	142.01	101.54	307.69	256.78	97.36	237.86	56.68	169.07	63.45	110.43	314.17	234.57	68.07	125.24	127.0	185.11	214.27	52.82	204.07	96.68	218.79	281.09	109.66	71.0	87.03	87.65	323.03	186.4	262.2	265.87	77.25	229.72	220.32	514.56	206.94	277.2	112.77	299.25	190.34	239.52	293.07	191.67	202.66	260.38	43.32	134.3	97.36	87.03	176.29
GLYCTK	177.53	181.28	138.1	356.05	87.03	56.68	71.5	110.43	73.03	114.36	133.36	220.32	49.21	215.77	24.28	99.43	129.69	55.1	85.82	198.47	63.45	118.43	121.79	135.24	91.41	26.28	170.25	64.34	120.94	120.94	98.04	72.01	155.5	31.45	155.5	148.09	140.04	191.67	45.53	119.26	197.09	229.72	118.43	301.33	111.99	234.57	121.79	137.14	63.89	157.68	327.56	242.88	17.77	102.25	24.99	86.43	201.25
GSTZ1	532.74	532.74	368.65	583.07	503.95	102.25	256.78	540.19	423.61	145.02	389.72	988.12	181.28	651.58	145.02	426.57	371.22	135.24	551.56	954.43	255.0	341.51	163.28	384.34	490.14	187.71	457.25	260.38	718.08	583.07	251.48	190.34	154.42	149.12	371.22	420.68	450.94	708.18	246.28	555.41	595.34	1030.12	417.77	1096.5	329.84	1183.45	575.03	595.34	314.17	500.46	698.41	802.41	92.7	348.71	96.01	269.6	503.95
HARS2	507.46	299.25	217.27	656.11	229.72	202.66	195.72	209.84	363.56	202.66	486.75	441.64	239.52	540.19	228.13	373.81	189.02	356.05	470.14	444.72	242.88	346.29	463.65	361.04	363.56	176.29	358.54	208.38	447.82	559.28	346.29	264.03	339.14	316.37	718.08	417.77	447.82	406.31	265.87	409.15	543.96	728.11	423.61	358.54	244.57	587.13	334.46	325.29	325.29	371.22	341.51	423.61	185.11	323.03	212.78	234.57	361.04
HAUS1	289.02	483.38	318.57	579.04	387.02	89.51	329.84	525.39	457.25	139.07	403.5	728.11	161.02	575.03	136.19	412.0	275.28	253.23	624.99	518.15	159.9	460.44	232.94	497.0	486.75	76.71	387.02	281.09	974.5	435.55	244.57	191.67	460.44	105.15	633.73	361.04	525.39	587.13	283.05	447.82	559.28	1286.18	435.55	981.29	334.46	878.17	420.68	638.15	529.06	454.09	417.77	633.73	119.26	476.71	81.14	251.48	470.14
HDHD1	269.6	323.03	329.84	647.07	339.14	98.04	148.09	587.13	493.56	120.94	470.14	540.19	244.57	343.89	63.45	674.59	223.41	175.07	395.18	307.69	60.39	351.14	224.97	441.64	271.48	53.57	295.11	124.37	387.02	325.29	323.03	190.34	273.37	98.04	802.41	305.55	392.44	181.28	291.04	669.92	221.86	769.69	353.59	334.46	171.45	890.44	373.81	409.15	660.68	293.07	373.81	180.02	83.45	305.55	182.55	412.0	124.37
HLTF	183.82	147.06	132.44	229.72	190.34	43.02	43.63	109.66	178.77	19.97	204.07	215.77	102.97	180.02	80.01	137.14	66.18	177.53	182.55	264.03	68.07	126.12	98.04	157.68	211.31	36.27	98.04	73.03	361.04	204.07	118.43	36.27	60.39	50.27	206.94	236.21	143.01	155.5	62.56	194.36	246.28	587.13	66.65	191.67	107.38	341.51	177.53	201.25	193.01	169.07	242.88	234.57	36.79	151.22	42.11	131.51	96.01
IFT74	231.32	167.9	133.36	205.5	175.07	45.21	120.94	218.79	199.85	60.82	241.19	169.07	88.88	297.17	44.25	120.94	162.14	55.89	217.27	217.27	82.29	246.28	180.02	181.28	167.9	13.22	115.97	172.65	271.48	191.67	229.72	108.9	182.55	45.85	271.48	197.09	189.02	244.57	114.36	152.28	194.36	400.71	108.9	237.86	195.72	332.14	182.55	189.02	236.21	166.73	208.38	273.37	22.75	242.88	48.87	105.15	198.47
IFT80	361.04	503.95	303.44	872.1	320.8	151.22	145.02	660.68	400.71	135.24	791.35	674.59	176.29	638.15	149.12	376.41	299.25	295.11	669.92	521.76	157.68	412.0	265.87	507.46	587.13	67.59	297.17	248.0	723.08	493.56	480.04	173.85	190.34	99.43	738.29	543.96	490.14	473.41	244.57	343.89	651.58	1159.07	507.46	503.95	432.53	728.11	476.71	713.11	629.35	543.96	647.07	638.15	113.56	476.71	144.01	258.57	387.02
JRKL	121.79	120.94	84.63	173.85	96.68	47.84	16.51	92.05	129.69	46.5	190.34	151.22	81.71	141.02	70.51	75.64	73.03	94.01	199.85	132.44	28.45	104.42	48.87	157.68	142.01	24.63	90.77	28.04	169.07	182.55	92.05	45.85	72.52	52.08	185.11	170.25	139.07	67.59	40.64	165.57	108.14	273.37	98.73	162.14	65.72	182.55	131.51	68.07	194.36	105.89	136.19	125.24	51.71	101.54	44.25	100.83	43.94
KIAA1009	104.42	97.36	60.39	171.45	96.01	22.43	41.22	120.1	94.67	49.91	133.36	113.56	43.02	141.02	18.7	74.58	48.18	100.13	146.03	132.44	28.45	114.36	87.65	137.14	101.54	19.11	64.8	38.67	126.12	130.6	105.89	55.1	56.28	52.45	185.11	118.43	130.6	120.94	44.25	100.13	157.68	371.22	72.01	137.14	92.05	189.02	136.19	126.12	189.02	127.0	152.28	120.94	34.26	107.38	46.5	46.5	92.05
KLHL12	460.44	460.44	371.22	463.65	414.87	149.12	223.41	397.93	454.09	170.25	540.19	497.0	206.94	426.57	150.17	392.44	234.57	175.07	540.19	463.65	209.84	447.82	285.03	511.0	500.46	100.83	381.68	236.21	651.58	473.41	267.73	234.57	346.29	150.17	521.76	460.44	463.65	336.79	249.73	521.76	447.82	567.1	301.33	518.15	318.57	547.75	423.61	409.15	514.56	473.41	441.64	429.54	121.79	429.54	110.43	316.37	269.6
KLHL9	351.14	406.31	246.28	463.65	242.88	53.19	82.29	163.28	327.56	55.89	518.15	348.71	226.54	351.14	87.03	229.72	177.53	164.42	656.11	435.55	106.63	277.2	172.65	543.96	332.14	56.28	285.03	107.38	454.09	438.59	223.41	77.25	301.33	105.89	723.08	409.15	476.71	231.32	119.26	441.64	277.2	878.17	336.79	339.14	123.5	583.07	412.0	130.6	813.63	228.13	376.41	265.87	150.17	414.87	112.77	406.31	153.34
LIAS	183.82	190.34	86.43	218.79	111.99	44.89	53.95	163.28	176.29	53.95	147.06	211.31	105.89	194.36	49.21	104.42	59.97	95.34	223.41	228.13	62.56	98.73	100.13	134.3	159.9	53.95	77.79	88.88	211.31	218.79	111.99	67.59	80.57	42.11	177.53	137.14	137.14	202.66	63.89	128.79	206.94	363.56	124.37	237.86	126.12	223.41	170.25	211.31	186.4	209.84	140.04	194.36	23.25	152.28	53.95	73.54	127.89
LOXL3	139.07	71.0	96.68	381.68	117.6	55.1	17.51	80.57	54.33	63.89	130.6	226.54	35.0	150.17	38.67	115.16	15.0	81.14	125.24	226.54	47.17	62.56	53.57	62.12	169.07	37.85	95.34	55.89	72.52	71.5	68.55	34.75	18.7	61.68	181.28	127.89	92.7	153.34	48.18	61.25	218.79	264.03	67.59	255.0	48.87	176.29	191.67	176.29	198.47	253.23	220.32	162.14	41.81	115.16	35.76	75.11	122.64
LRRC28	206.94	229.72	163.28	346.29	285.03	180.02	100.13	346.29	327.56	262.2	444.72	376.41	185.11	178.77	178.77	224.97	163.28	205.5	348.71	221.86	105.15	264.03	101.54	287.01	191.67	114.36	273.37	182.55	376.41	307.69	279.14	138.1	139.07	141.02	320.8	249.73	353.59	255.0	121.79	368.65	237.86	674.59	202.66	312.0	351.14	343.89	265.87	371.22	320.8	295.11	307.69	420.68	156.59	255.0	140.04	172.65	323.03
