	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.C5.A1BE.01B.11R.A13Y.07	TCGA.D5.6929.01A.31R.1928.07	TCGA.DM.A28E.01A.11R.A32Y.07	TCGA.G4.6303.01A.11R.1774.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.60.2712.01A.01R.0851.07	TCGA.66.2788.01A.01R.0980.07	TCGA.22.4604.01A.01R.1201.07	TCGA.EI.6884.01A.11R.1928.07	TCGA.EI.6885.01A.11R.1928.07	TCGA.FL.A1YQ.11A.11R.A32Y.07
C3orf67	5219.6	1407.55	45.85	22.75	27.05	20.86	29.06	220.32	133.36	80.57	42.71	89.51	103.69	78.89	19.25	17.9
CERS3	875652.15	303217.87	651.58	2.58	2.03	2.58	0.0	555.41	669.92	753.83	43.94	373.81	234.57	1.0	0.0	4.39
CLCA2	3.801327429E7	3.15251512E7	3467.27	0.46	0.0	0.0	0.0	5594.3	3491.39	1832.01	76.17	3146.52	1322.37	0.24	1.07	0.48
CMPK2	2855.44	26.28	884.29	28.24	40.36	36.53	21.47	1250.98	414.87	279.14	128.79	301.33	162.14	45.85	41.52	45.53
CXCL9	7911.95	43.63	503.95	100.13	35.25	32.59	2.94	551.56	4181.07	753.83	2400.97	808.0	2976.74	127.89	275.28	116.78
CYSLTR2	28.86	3.5	6.46	2.46	0.71	1.46	0.16	20.26	82.29	17.25	25.91	17.38	30.56	4.82	3.23	3.69
DAPL1	397335.0	581732.96	12160.22	36.01	19.97	5.63	5.92	2935.74	1709.26	1519.15	536.45	4836.35	1397.83	30.56	7.22	91.41
DCTN2	5041.77	5831.91	4066.71	3467.27	2956.17	4239.45	2255.7	4575.41	4328.55	4769.75	5872.48	5633.22	6207.38	3820.7	3639.7	4450.27
DIRC2	656.11	483.38	291.04	55.89	60.82	97.36	55.1	343.89	500.46	603.67	226.54	289.02	325.29	132.44	129.69	117.6
DUOX1	74243.68	24153.43	872.1	16.63	52.45	38.67	28.45	316.37	620.67	934.76	186.4	532.74	518.15	105.89	13.62	120.1
DUOXA1	329517.51	181548.07	884.29	7.4	26.67	13.52	3.99	551.56	1008.9	1111.82	204.07	624.99	490.14	176.29	14.89	82.87
FBXO45	429.54	400.71	890.44	154.42	255.0	256.78	145.02	698.41	423.61	748.61	241.19	387.02	497.0	273.37	102.97	120.1
FOXN1	636586.81	394590.4	358.54	0.0	0.0	2.66	1.66	129.69	334.46	194.36	82.87	55.1	171.45	4.74	1.25	0.0
GJB6	6908781.2	5092701.46	759.08	6.01	1.14	6.26	0.0	157.68	1313.23	2240.11	571.05	1674.06	1216.75	1.79	2.56	206.94
GPNMB	4123.49	10154.69	19892.37	1250.98	42.11	884.29	41.81	38966.94	27745.15	5594.3	4358.66	8363.13	12676.65	819.3	1781.89	995.0
IFI44	13033.07	353.59	5441.3	265.87	87.03	118.43	229.72	2758.13	819.3	511.0	412.0	1977.24	400.71	242.88	348.71	332.14
IFI6	394590.4	808.0	62431.08	1617.0	872.1	651.58	915.51	27363.16	7911.95	4543.8	1427.22	19082.0	3103.19	988.12	1628.26	3103.19
IFIH1	3589.58	209.84	802.41	115.16	114.36	115.97	126.12	1151.06	583.07	285.03	483.38	397.93	189.02	177.53	157.68	148.09
IFIT1	20310.37	412.0	4704.07	80.01	24.11	44.57	50.98	4210.15	497.0	441.64	96.01	1268.46	260.38	77.25	99.43	309.83
IFIT3	5995.9	412.0	3303.0	132.44	73.03	117.6	98.04	3303.0	866.07	583.07	412.0	1073.91	575.03	201.25	265.87	275.28
IGFL1	7456151.83	492579.5	860.08	155.5	0.0	14.45	2.68	1008.9	120.1	547.75	13.22	176.29	229.72	6.11	36.27	0.0
IMP3	2976.74	1909.85	1467.37	1135.2	1001.93	665.29	571.05	1216.75	1417.35	1322.37	665.29	1183.45	1388.16	638.15	638.15	934.76
ISG15	313910.86	1457.23	26067.14	1883.54	348.71	432.53	1008.9	17927.91	3168.41	3168.41	698.41	5954.47	1388.16	896.64	890.44	2047.0
JAG1	2400.97	2664.15	1388.16	327.56	125.24	297.17	101.54	2319.15	3103.19	1857.6	1233.75	2119.22	2997.45	348.71	476.71	518.15
KPRP	4972.34	299.25	34.51	0.0	0.0	0.0	0.0	40.07	351.14	19.82	18.84	29.48	64.34	0.0	1.43	0.0
KRT13	6.69297277469E9	2.25424941211E9	49322.93	23.93	55.89	0.0	0.0	4607.24	18431.96	59063.35	878.17	21320.18	4038.61	7.51	20.86	177.53
KRT6A	2.01760973986E9	2.41604469791E9	131071.0	368.65	18.16	37.59	10.79	81244.48	91404.92	143430.26	14867.79	110216.97	71714.63	54.33	23.76	5.59
KRT78	164758.26	26614.89	49.91	0.0	0.0	0.0	0.0	389.72	647.07	1216.75	139.07	297.17	241.19	0.0	0.0	1.51
LCE3E	492579.5	26431.04	38.4	0.0	0.0	0.0	0.0	327.56	1008.9	403.5	109.66	44.89	289.02	0.0	0.0	0.0
LTB4R	18819.27	41188.81	1088.92	84.04	61.68	81.71	264.03	743.43	1008.9	854.13	312.0	878.17	1001.93	80.57	84.04	94.01
LTB4R2	5183.54	5555.65	463.65	26.47	0.0	24.28	26.86	323.03	529.06	503.95	101.54	400.71	376.41	4.54	6.31	10.71
LY6D	2.1503555688E8	6.17527469E7	11584.24	24.81	6.67	10.0	8.51	7230.1	2701.35	8363.13	3081.75	2997.45	12676.65	9.78	120.1	1.97
LYPD3	9975791.32	8330662.65	11189.6	39.22	25.91	29.27	46.18	9344.14	9673.69	5791.62	1001.93	2956.17	1883.54	48.52	53.19	37.32
MFSD5	1529.73	1127.35	842.36	728.11	384.34	400.71	351.14	866.07	769.69	1066.48	514.56	941.27	1104.13	460.44	447.82	563.18
MX1	41475.31	2835.7	11827.67	175.07	241.19	277.2	173.85	5831.91	2148.82	1923.14	688.78	1662.49	796.86	351.14	563.18	356.05
NFE2L2	8963.45	8901.53	6471.02	1111.82	1167.14	1322.37	1447.15	3768.09	10014.87	2997.45	1721.16	3280.18	3742.05	1151.06	1286.18	1745.2
NPL	239.52	2148.82	713.11	152.28	83.45	194.36	134.3	358.54	764.36	830.75	890.44	563.18	1322.37	204.07	181.28	64.8
OASL	17927.91	107.38	1167.14	22.26	21.78	3.76	16.03	1709.26	237.86	397.93	287.01	426.57	81.71	31.22	22.59	38.67
PAPL	420.68	27.25	27.64	1.62	0.72	0.73	0.0	52.45	126.12	72.52	3.79	25.72	135.24	0.0	0.0	0.43
PCYT1A	718.08	848.22	3395.89	470.14	543.96	518.15	279.14	2351.53	1639.59	1733.13	796.86	1250.98	1457.23	819.3	387.02	387.02
PGLYRP3	1212874.47	757033.75	753.83	1.68	0.82	2.48	0.0	713.11	547.75	395.18	307.69	66.18	497.0	0.0	0.0	1.04
PGLYRP4	127486.83	114897.47	66.18	1.75	0.39	1.23	0.37	93.35	189.02	93.35	176.29	55.89	173.85	1.93	1.51	0.0
PLCH2	37639.55	43236.64	679.29	40.07	39.5	45.85	16.39	567.1	872.1	151.22	473.41	327.56	389.72	82.87	13.22	10.16
PRDM1	4038.61	1745.2	327.56	98.73	38.67	112.77	3.89	665.29	575.03	543.96	967.76	438.59	536.45	193.01	206.94	400.71
PRRG4	9673.69	8022.41	708.18	40.93	113.56	182.55	64.34	397.93	733.19	669.92	131.51	525.39	170.25	166.73	1.58	37.32
RAB18	2855.44	2537.92	2018.8	753.83	866.07	571.05	483.38	2682.69	1551.09	5292.48	1477.58	2004.85	1819.35	1175.27	884.29	1304.15
RASSF5	6887.62	2178.83	441.64	108.14	16.39	84.63	12.0	532.74	836.53	791.35	890.44	540.19	603.67	129.69	194.36	68.07
RDH12	4095.0	3103.19	30.78	21.32	3.99	16.03	0.67	102.97	258.57	148.09	7.63	18.7	41.81	6.16	12.0	13.03
RHOV	64186.29	41475.31	2537.92	19.39	1.79	3.41	6.16	909.17	1991.0	1477.58	518.15	567.1	693.58	12.27	59.55	38.95
RNF168	947.83	476.71	2163.77	111.99	140.04	172.65	120.1	579.04	703.28	587.13	579.04	269.6	579.04	183.82	98.04	134.3
RPP25	571.05	684.02	1051.79	493.56	239.52	120.94	620.67	571.05	551.56	753.83	132.44	483.38	785.88	157.68	314.17	287.01
RSAD2	16611.71	40.93	1340.84	40.07	8.38	20.11	6.21	1651.0	395.18	283.05	101.54	329.84	157.68	31.0	31.9	54.33
SBSN	1.66613263E7	5057523.59	1369.04	66.18	3.06	28.65	0.0	14262.1	6079.61	4607.24	656.11	3303.0	1001.93	7.51	68.55	7.22
SCPEP1	5672.41	3564.78	2682.69	1081.39	264.03	599.49	332.14	3768.09	5183.54	2502.97	3928.15	5517.27	3928.15	769.69	1183.45	1183.45
SGK1	3419.52	16157.44	6207.38	281.09	38.67	139.07	50.63	5711.87	6294.04	4704.07	6037.61	1540.37	7485.11	387.02	703.28	954.43
SIAH2	1104.13	2104.58	961.07	384.34	460.44	483.38	346.29	934.76	1977.24	1561.89	1225.22	941.27	1628.26	836.53	318.57	759.08
SLC9A9	718.08	934.76	176.29	27.84	5.54	34.75	3.92	105.15	713.11	269.6	148.09	189.02	264.03	49.91	43.94	121.79
SOX2	8022.41	2835.7	4239.45	2.34	5.5	3.66	0.0	2004.85	3820.7	3103.19	166.73	493.56	3419.52	5.41	5.02	0.0
SOX21	139508.13	217400.14	295.11	0.39	0.0	0.0	0.0	201.25	450.94	743.43	15.34	105.15	234.57	0.0	0.39	0.61
SPRR1B	1.90877512245E9	1.6988697324E8	38430.46	124.37	0.0	35.25	0.0	85876.94	25005.23	57051.4	9740.98	24832.5	13586.57	77.25	0.0	0.0
SPRR2A	1.0677509839E8	2.356267404E7	12415.75	81.14	0.0	0.0	0.0	21468.49	17078.76	31870.96	9088.59	12589.08	10368.08	9.93	14.24	2.86
SPRR2D	6.572778255E7	2.525384881E7	5255.91	53.19	0.0	0.0	0.0	16843.62	12502.12	15715.58	5594.3	7280.4	7081.29	4.7	26.47	3.59
TBL1XR1	1350.18	947.83	4639.29	423.61	629.35	808.0	395.18	2400.97	1674.06	2720.15	974.5	1359.57	1991.0	836.53	420.68	463.65
THEM5	1208.34	2367.9	31.22	0.0	1.66	2.05	2.39	23.08	63.89	47.5	57.89	10.88	135.24	1.97	3.23	4.78
TMEM127	1073.91	860.08	733.19	521.76	466.88	633.73	327.56	1572.76	1286.18	1378.57	921.88	934.76	934.76	665.29	642.59	629.35
TMEM41A	915.51	1857.6	1857.6	575.03	473.41	450.94	273.37	902.89	718.08	1037.29	638.15	624.99	1044.52	567.1	334.46	249.73
TMTC3	206.94	273.37	397.93	64.34	63.45	78.34	61.25	629.35	525.39	656.11	165.57	348.71	318.57	66.65	105.89	112.77
TOX4	2032.85	1437.15	1023.0	559.28	353.59	967.76	435.55	1001.93	1151.06	1111.82	713.11	1561.89	1498.22	599.49	1030.12	612.11
TP63	3290783.22	3313672.43	4937.99	3.76	1.22	1.89	0.0	7589.61	5006.93	3874.05	1143.1	1605.83	2915.45	3.63	1.58	5.19
TPRXL	4038.61	4066.71	72.01	11.04	3.29	3.69	3.59	173.85	201.25	46.84	42.71	49.56	19.11	5.87	2.63	12.74
TPSD1	12.45	123.5	34.26	8.99	4.78	7.69	1.39	20.26	5.73	31.9	29.91	212.78	273.37	0.0	25.17	3.2
UGT1A1	218.79	842.36	41.52	0.0	0.0	0.0	0.0	13.83	2997.45	58.3	10.39	50.27	125.24	9.56	0.0	0.38
UGT1A6	65990.84	75803.72	435.55	4.7	4.43	6.62	5.36	135.24	620.67	511.0	193.01	1015.93	507.46	11.3	0.01	2.25
UPP1	11035.54	10512.82	1191.69	356.05	246.28	209.84	327.56	1498.22	1857.6	1883.54	890.44	3103.19	1709.26	409.15	503.95	289.02
WNT2B	103.69	323.03	348.71	15.8	17.13	62.12	18.97	100.13	329.84	251.48	47.84	162.14	228.13	101.54	33.78	54.33
