	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	GTEX.11ONC.2026.SM.5HL61	GTEX.14BMU.1326.SM.5RQIH	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.145MO.2626.SM.5QGPD	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WFG7.1626.SM.4LVMF	GTEX.XUZC.1526.SM.4BRV4	GTEX.Y3I4.1426.SM.4TT9C	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.13OW5.2826.SM.5KM1G	GTEX.13FTW.2126.SM.5K7YG	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUW1.1826.SM.4BOQD	GTEX.11ZTT.1626.SM.5EQKR	GTEX.RWS6.1826.SM.47JXX	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.Y3I4.1126.SM.4TT7Y	GTEX.11DXZ.1626.SM.5GIDI	GTEX.ZLV1.1326.SM.4WWER	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.139T6.1426.SM.5P9J7	GTEX.TKQ1.0626.SM.4DXTS	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.YEC4.1926.SM.5IFHJ	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.ZXES.1726.SM.5E43G	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.12WSD.2626.SM.5EGJE	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.11EQ9.1526.SM.5PNY7	GTEX.Z93S.2626.SM.57WBX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.WEY5.1426.SM.4LMJ3	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.1211K.1826.SM.5EGJ2	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.111YS.1826.SM.5GIEP	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.ZA64.1426.SM.5CVMC	GTEX.13X6K.2726.SM.5O9DG	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13PVR.1726.SM.5Q5EC	GTEX.Y114.1526.SM.4TT79	GTEX.ZVT2.1726.SM.51MRO	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.13FH7.1526.SM.5J2N6	GTEX.Y9LG.1326.SM.4VBQB	GTEX.XV7Q.2226.SM.4BRVY	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.11EM3.1626.SM.5N9CO	GTEX.132NY.2726.SM.5PNY2	GTEX.11EI6.2626.SM.5PNVT	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.13N2G.2226.SM.5IJCU	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.13NYB.1326.SM.5K7Y1	GTEX.WEY5.1126.SM.4LMIE	GTEX.145MF.1526.SM.5LU95	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11P81.1026.SM.5GU54	GTEX.XYKS.1026.SM.4BRVH	GTEX.XBEW.1526.SM.4AT4K	GTEX.14E7W.1926.SM.5S2R9	GTEX.13O21.0726.SM.5L3EG	GTEX.11NUK.1726.SM.5A5L2	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.V955.1026.SM.4JBHO	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.POMQ.0626.SM.3P61E	GTEX.12WSD.1926.SM.5GCOV	GTEX.T6MN.1526.SM.4DM5P	GTEX.QMRM.0926.SM.447BR	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.Q734.0826.SM.48U1G	GTEX.145MH.1226.SM.5RQJT	GTEX.ZEX8.1326.SM.4WWEW	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.13OW8.2226.SM.5K7Z4	GTEX.R55G.0926.SM.48FDN	GTEX.13U4I.1226.SM.5LU5M	GTEX.WZTO.1526.SM.4PQYQ	GTEX.13111.0926.SM.5DUVQ	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.V1D1.1926.SM.4JBGX	GTEX.13111.1326.SM.5GCNO	GTEX.YB5E.1826.SM.5IFI4	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.AF.5654.11A.11R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.FP.7735.11A.01R.2055.13	GTEX.13111.1226.SM.5GCNC	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145LT.1426.SM.5O9B3	GTEX.12WSD.2326.SM.59HKQ	GTEX.RTLS.2626.SM.46MUJ	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA	GTEX.R55G.1626.SM.48FF4
MUM1	435.55	525.39	703.28	521.76	470.14	500.46	825.0	703.28	651.58	854.13	647.07	616.37	473.41	647.07	463.65	490.14	400.71	748.61	400.71	423.61	665.29	500.46	595.34	532.74	587.13	679.29	791.35	460.44	915.51	490.14	612.11	733.19	974.5	500.46	532.74	813.63	438.59	540.19	563.18	435.55	665.29	775.05	525.39	555.41	493.56	656.11	769.69	521.76	723.08	529.06	665.29	441.64	460.44	842.36	460.44	688.78	780.44	647.07	599.49	579.04	532.74	470.14	595.34	728.11	403.5	764.36	743.43	769.69	616.37	400.71	420.68	638.15	620.67	483.38	595.34	351.14	511.0	514.56	567.1	1216.75	507.46	713.11	651.58	764.36	775.05	547.75	348.71	638.15	733.19	435.55	466.88	748.61	444.72	684.02	466.88	603.67	400.71	507.46	363.56	954.43	693.58	543.96	366.09	403.5	743.43	470.14	743.43	256.78	775.05	759.08	624.99	651.58	866.07	490.14	780.44	698.41	988.12	915.51	995.0	967.76	1151.06	1167.14	1073.91	769.69	1030.12	995.0	733.19	825.0	1295.13	825.0	688.78	872.1	1259.69	884.29	1030.12	1208.34	988.12	1088.92	684.02	679.29	1030.12	909.17	1119.56	1104.13	1081.39	1304.15	1143.1	915.51	902.89	1081.39	928.3	1175.27	638.15	808.0	1233.75	988.12	587.13	921.88	1030.12	988.12	1001.93	1119.56	1030.12	1340.84	878.17	769.69	1233.75	796.86	743.43	896.64	967.76	1051.79	1183.45	743.43	409.15	303.44	599.49	356.05	476.71	444.72	373.81	713.11	551.56	764.36	511.0	312.0	743.43	460.44	351.14	348.71	339.14	409.15	514.56	381.68	376.41	153.34	438.59	262.2	642.59
NAT9	412.0	325.29	674.59	463.65	389.72	409.15	518.15	450.94	660.68	775.05	708.18	543.96	507.46	854.13	480.04	397.93	559.28	547.75	483.38	358.54	454.09	583.07	395.18	234.57	409.15	780.44	656.11	371.22	669.92	417.77	379.04	483.38	703.28	381.68	525.39	536.45	260.38	507.46	571.05	353.59	460.44	753.83	339.14	384.34	551.56	633.73	521.76	612.11	547.75	500.46	435.55	366.09	500.46	599.49	412.0	507.46	785.88	723.08	647.07	620.67	423.61	373.81	376.41	460.44	438.59	981.29	738.29	748.61	480.04	303.44	332.14	343.89	497.0	392.44	376.41	432.53	457.25	669.92	438.59	860.08	420.68	921.88	486.75	775.05	842.36	486.75	384.34	563.18	967.76	511.0	432.53	536.45	483.38	587.13	343.89	353.59	486.75	336.79	460.44	616.37	563.18	327.56	466.88	708.18	476.71	450.94	629.35	441.64	603.67	679.29	341.51	450.94	723.08	669.92	642.59	688.78	934.76	830.75	928.3	819.3	748.61	1104.13	1151.06	660.68	954.43	665.29	547.75	603.67	1037.29	723.08	420.68	954.43	1175.27	1023.0	947.83	1143.1	981.29	679.29	988.12	688.78	642.59	1015.93	1277.29	1191.69	866.07	896.64	1081.39	733.19	738.29	1015.93	703.28	1066.48	529.06	825.0	1023.0	518.15	400.71	825.0	1127.35	1151.06	723.08	1250.98	1183.45	830.75	854.13	476.71	954.43	723.08	551.56	842.36	708.18	679.29	1044.52	603.67	444.72	529.06	1073.91	551.56	830.75	825.0	1159.07	493.56	514.56	607.87	432.53	309.83	426.57	303.44	373.81	229.72	297.17	264.03	279.14	265.87	237.86	244.57	273.37	323.03	447.82
ORAOV1	283.05	176.29	287.01	287.01	323.03	320.8	384.34	289.02	532.74	511.0	356.05	371.22	540.19	532.74	279.14	325.29	441.64	368.65	320.8	275.28	332.14	323.03	267.73	267.73	327.56	543.96	447.82	267.73	536.45	320.8	346.29	409.15	567.1	297.17	373.81	323.03	218.79	339.14	368.65	277.2	260.38	547.75	323.03	283.05	314.17	409.15	379.04	463.65	457.25	336.79	334.46	307.69	363.56	215.77	277.2	314.17	688.78	518.15	389.72	426.57	327.56	353.59	356.05	368.65	283.05	497.0	389.72	426.57	540.19	351.14	215.77	318.57	307.69	309.83	301.33	236.21	309.83	473.41	420.68	536.45	275.28	571.05	366.09	348.71	444.72	341.51	277.2	480.04	540.19	277.2	373.81	529.06	339.14	414.87	211.31	206.94	325.29	202.66	269.6	432.53	633.73	287.01	325.29	366.09	334.46	212.78	441.64	256.78	318.57	409.15	202.66	299.25	521.76	470.14	599.49	521.76	551.56	470.14	733.19	563.18	703.28	813.63	511.0	403.5	743.43	460.44	368.65	305.55	836.53	503.95	412.0	616.37	483.38	842.36	669.92	1369.04	480.04	656.11	395.18	860.08	371.22	842.36	1051.79	1143.1	665.29	660.68	1175.27	514.56	497.0	791.35	665.29	679.29	444.72	480.04	1081.39	529.06	303.44	819.3	947.83	890.44	293.07	764.36	1313.23	575.03	743.43	307.69	620.67	624.99	525.39	555.41	547.75	429.54	674.59	713.11	414.87	206.94	607.87	334.46	447.82	403.5	384.34	371.22	285.03	361.04	438.59	95.34	303.44	323.03	271.48	273.37	406.31	334.46	214.27	295.11	125.24	144.01	190.34	251.48	208.38
OVCH1	0.0	0.75	5.02	0.64	0.28	0.0	0.06	2.63	2.32	2.34	0.0	0.07	0.96	5.36	0.96	0.47	0.12	0.39	1.6	4.78	1.36	2.81	0.58	0.0	1.31	2.18	1.13	2.94	5.92	0.96	0.07	2.36	3.86	6.46	3.63	0.78	1.22	1.33	0.67	1.57	0.05	0.49	2.39	1.3	0.27	4.21	1.66	0.82	5.87	0.21	0.0	0.8	3.44	4.74	0.26	4.66	0.42	1.93	1.08	1.3	1.66	0.27	0.09	0.0	1.55	3.11	0.23	1.22	2.66	0.0	0.0	0.0	3.66	2.23	2.01	3.56	0.84	0.07	0.1	4.78	0.06	0.75	0.75	0.49	0.0	0.64	1.33	0.92	1.85	0.0	0.09	2.2	3.29	6.26	1.36	2.05	3.53	3.03	2.48	0.87	3.96	1.13	1.53	1.38	0.2	0.0	2.81	0.66	0.0	1.89	2.53	0.78	0.55	0.0	1.48	2.01	8.71	2.25	0.24	3.59	2.34	15.0	0.47	1.53	0.58	0.88	1.62	0.88	3.23	14.78	0.62	3.79	2.34	0.22	7.63	8.71	13.22	4.21	0.22	0.0	7.34	1.11	16.51	11.82	1.71	0.22	1.43	2.12	5.68	2.03	1.23	0.53	0.25	3.66	6.26	0.22	2.97	8.51	3.11	2.18	4.98	3.38	5.19	12.93	0.23	0.24	0.58	0.55	1.6	1.71	3.03	1.17	4.21	2.81	21.78	0.0	0.0	0.18	0.04	0.97	0.87	0.0	0.0	1.35	1.28	1.69	0.0	1.0	0.0	0.0	0.12	0.0	13.22	1.71	0.35	0.43	3.72	0.0	2.1
PAXBP1	275.28	144.01	403.5	332.14	366.09	223.41	463.65	279.14	420.68	329.84	307.69	307.69	329.84	571.05	555.41	476.71	368.65	454.09	279.14	249.73	339.14	287.01	293.07	193.01	332.14	507.46	511.0	329.84	633.73	255.0	166.73	514.56	607.87	358.54	503.95	423.61	339.14	376.41	332.14	273.37	329.84	395.18	295.11	320.8	325.29	511.0	409.15	463.65	503.95	318.57	341.51	193.01	387.02	507.46	271.48	244.57	291.04	476.71	348.71	366.09	299.25	356.05	273.37	353.59	387.02	599.49	356.05	438.59	269.6	361.04	221.86	255.0	387.02	249.73	316.37	215.77	343.89	379.04	289.02	457.25	518.15	376.41	466.88	277.2	511.0	267.73	271.48	400.71	567.1	444.72	334.46	447.82	536.45	429.54	358.54	363.56	353.59	511.0	273.37	379.04	389.72	318.57	221.86	486.75	353.59	107.38	361.04	255.0	262.2	356.05	343.89	384.34	454.09	325.29	397.93	536.45	525.39	660.68	624.99	759.08	575.03	698.41	743.43	441.64	518.15	476.71	476.71	395.18	693.58	412.0	470.14	967.76	470.14	669.92	854.13	703.28	633.73	473.41	395.18	406.31	830.75	759.08	813.63	743.43	791.35	651.58	785.88	543.96	607.87	733.19	483.38	775.05	256.78	708.18	819.3	802.41	547.75	575.03	915.51	902.89	435.55	647.07	764.36	587.13	470.14	412.0	1023.0	514.56	441.64	796.86	656.11	728.11	878.17	540.19	169.07	249.73	159.9	209.84	287.01	303.44	248.0	277.2	232.94	309.83	318.57	103.69	215.77	341.51	229.72	187.71	264.03	129.69	271.48	232.94	224.97	164.42	118.43	166.73	162.14
PCGF1	256.78	543.96	339.14	384.34	387.02	457.25	395.18	312.0	490.14	460.44	511.0	429.54	389.72	305.55	320.8	318.57	423.61	414.87	444.72	246.28	358.54	358.54	497.0	346.29	255.0	490.14	450.94	403.5	432.53	314.17	447.82	325.29	351.14	273.37	371.22	351.14	356.05	334.46	279.14	371.22	336.79	426.57	291.04	256.78	444.72	403.5	409.15	346.29	540.19	507.46	536.45	603.67	283.05	368.65	497.0	486.75	412.0	384.34	438.59	312.0	387.02	275.28	518.15	429.54	366.09	463.65	429.54	414.87	429.54	397.93	336.79	423.61	253.23	241.19	493.56	351.14	325.29	432.53	447.82	579.04	332.14	429.54	500.46	473.41	397.93	307.69	226.54	555.41	579.04	258.57	563.18	567.1	246.28	493.56	275.28	258.57	376.41	281.09	346.29	265.87	486.75	256.78	246.28	277.2	403.5	332.14	379.04	199.85	366.09	463.65	361.04	379.04	457.25	463.65	525.39	633.73	299.25	473.41	466.88	543.96	567.1	503.95	406.31	373.81	351.14	400.71	406.31	336.79	454.09	454.09	251.48	435.55	395.18	395.18	629.35	612.11	638.15	525.39	480.04	525.39	348.71	483.38	575.03	470.14	476.71	466.88	563.18	463.65	346.29	368.65	438.59	511.0	358.54	363.56	314.17	432.53	242.88	571.05	387.02	460.44	435.55	470.14	503.95	591.22	493.56	325.29	490.14	476.71	353.59	497.0	490.14	336.79	387.02	438.59	642.59	392.44	414.87	251.48	316.37	341.51	248.0	384.34	287.01	224.97	381.68	239.52	314.17	289.02	389.72	353.59	441.64	540.19	376.41	323.03	521.76	229.72	414.87	525.39	353.59
PCSK4	35.5	45.85	38.67	42.41	50.27	63.89	39.5	14.78	93.35	87.65	24.63	57.08	59.97	53.57	24.46	74.58	100.83	54.33	61.25	28.45	33.06	43.63	87.03	64.34	35.76	101.54	71.0	39.5	96.01	47.84	47.84	38.4	74.58	14.89	56.68	32.36	22.43	58.71	39.5	51.71	57.08	87.03	18.43	54.72	75.11	39.5	76.17	65.26	41.22	119.26	68.07	41.22	23.59	28.24	81.71	29.7	224.97	70.01	44.57	64.8	50.27	22.75	80.01	66.18	43.63	53.95	54.72	37.05	38.12	58.71	19.11	33.3	73.03	24.28	62.56	39.79	30.34	95.34	108.14	138.1	29.06	37.59	56.28	24.46	97.36	43.94	12.36	62.12	42.41	12.93	76.17	72.52	37.05	137.14	40.07	31.0	43.94	42.71	60.39	56.28	38.67	9.85	18.97	43.02	52.45	14.24	49.91	23.08	45.53	61.25	25.72	80.01	63.89	172.65	55.49	50.27	28.86	73.54	122.64	147.06	87.65	109.66	130.6	60.82	44.89	73.03	26.28	88.26	190.34	45.53	59.55	105.89	74.58	269.6	123.5	264.03	106.63	90.77	108.14	140.04	63.0	206.94	103.69	183.82	90.14	71.0	223.41	136.19	109.66	108.14	87.03	135.24	31.9	113.56	129.69	86.43	43.63	107.38	112.77	72.01	45.85	101.54	100.83	107.38	166.73	50.98	95.34	92.05	52.08	119.26	76.71	71.0	199.85	59.13	66.18	40.64	67.59	30.56	47.84	48.18	25.17	43.94	41.52	38.4	23.08	4.06	33.54	47.84	45.85	50.63	32.59	136.19	33.06	53.57	52.82	20.71	37.59	78.34	5.54
PDDC1	525.39	603.67	669.92	708.18	728.11	444.72	967.76	708.18	808.0	915.51	1008.9	612.11	988.12	819.3	616.37	848.22	743.43	620.67	620.67	679.29	785.88	525.39	603.67	325.29	753.83	872.1	738.29	616.37	1143.1	543.96	521.76	1015.93	1096.5	638.15	921.88	684.02	329.84	688.78	775.05	693.58	660.68	967.76	684.02	708.18	660.68	860.08	872.1	713.11	575.03	698.41	599.49	693.58	647.07	733.19	463.65	718.08	909.17	802.41	808.0	974.5	612.11	616.37	567.1	583.07	718.08	1242.34	988.12	733.19	785.88	518.15	674.59	785.88	848.22	423.61	679.29	551.56	483.38	854.13	616.37	1331.57	688.78	961.07	890.44	878.17	934.76	791.35	444.72	583.07	967.76	674.59	813.63	785.88	674.59	718.08	334.46	438.59	579.04	269.6	551.56	866.07	743.43	547.75	848.22	571.05	743.43	429.54	723.08	486.75	1023.0	718.08	536.45	616.37	1183.45	529.06	1111.82	791.35	1233.75	974.5	1259.69	1313.23	1216.75	1417.35	1111.82	884.29	1044.52	1397.83	713.11	981.29	1340.84	1167.14	423.61	1119.56	1216.75	791.35	796.86	1340.84	1331.57	1104.13	775.05	836.53	954.43	1167.14	1340.84	1313.23	1104.13	1819.35	1295.13	1295.13	830.75	1583.71	1191.69	1417.35	1030.12	1119.56	1015.93	1175.27	718.08	1081.39	1208.34	1096.5	1037.29	1397.83	1051.79	1037.29	1295.13	1008.9	988.12	1304.15	1044.52	836.53	1259.69	1191.69	981.29	1208.34	529.06	728.11	1199.98	1023.0	836.53	733.19	836.53	665.29	575.03	764.36	529.06	214.27	934.76	759.08	684.02	503.95	483.38	514.56	633.73	476.71	400.71	183.82	470.14	579.04	563.18
POLG2	84.63	72.52	178.77	145.02	142.01	163.28	281.09	139.07	244.57	214.27	237.86	154.42	226.54	215.77	165.57	206.94	220.32	273.37	128.79	84.63	124.37	114.36	147.06	103.69	105.89	199.85	195.72	178.77	229.72	114.36	112.77	248.0	287.01	121.79	161.02	152.28	118.43	121.79	151.22	132.44	145.02	260.38	124.37	163.28	169.07	258.57	201.25	189.02	232.94	236.21	167.9	144.01	166.73	239.52	109.66	134.3	244.57	204.07	260.38	193.01	194.36	177.53	199.85	148.09	142.01	334.46	223.41	195.72	205.5	159.9	88.88	153.34	166.73	78.89	155.5	83.45	172.65	183.82	212.78	291.04	150.17	265.87	198.47	214.27	255.0	151.22	78.89	312.0	182.55	138.1	232.94	228.13	185.11	197.09	116.78	120.94	108.9	108.9	88.88	166.73	262.2	151.22	133.36	131.51	236.21	86.43	197.09	87.03	206.94	197.09	77.25	246.28	248.0	217.27	271.48	218.79	231.32	246.28	202.66	348.71	264.03	277.2	269.6	172.65	169.07	253.23	316.37	214.27	361.04	312.0	217.27	318.57	256.78	229.72	316.37	318.57	295.11	309.83	132.44	202.66	232.94	246.28	277.2	293.07	309.83	353.59	336.79	215.77	218.79	218.79	171.45	351.14	144.01	269.6	329.84	191.67	130.6	256.78	363.56	295.11	215.77	275.28	323.03	463.65	295.11	172.65	214.27	255.0	169.07	323.03	249.73	356.05	327.56	223.41	87.03	87.03	153.34	145.02	123.5	142.01	135.24	147.06	94.67	148.09	138.1	97.36	94.01	149.12	138.1	110.43	95.34	90.77	126.12	97.36	102.97	80.57	66.18	109.66	122.64
POLN	33.3	13.22	29.06	18.97	10.24	6.06	23.93	22.75	34.26	16.63	29.48	11.47	38.12	25.54	35.25	23.93	5.59	13.62	15.34	14.56	16.03	32.59	5.54	7.4	24.11	35.5	23.08	35.5	39.22	16.51	11.47	11.3	35.25	18.7	19.25	36.27	13.12	22.26	24.99	19.11	17.25	22.59	20.26	24.28	25.91	25.17	7.4	27.05	18.43	28.45	12.0	17.0	19.97	26.67	16.51	18.56	15.0	25.35	31.45	32.13	10.96	23.08	2.1	17.13	17.64	40.64	31.22	31.22	65.26	5.36	8.71	17.9	27.44	19.39	9.63	14.03	20.71	6.89	5.92	44.89	20.71	14.67	28.24	17.77	27.64	23.76	9.34	45.85	48.87	19.53	13.62	51.71	28.45	24.11	13.12	25.17	14.89	10.63	9.06	45.21	37.59	13.03	6.11	15.0	26.28	22.1	16.27	12.93	13.72	22.1	30.34	18.16	31.45	17.9	37.85	70.51	52.45	30.12	52.08	64.8	72.01	44.89	38.95	22.59	33.06	76.71	17.9	39.22	64.34	71.5	33.54	30.12	94.67	87.65	59.97	71.0	113.56	47.84	40.07	108.14	42.41	53.95	87.65	105.15	56.68	20.71	81.71	50.98	54.72	61.25	60.82	53.95	12.36	40.36	100.83	31.67	30.34	65.26	28.86	59.13	23.93	93.35	77.79	61.25	68.07	33.06	28.04	65.26	21.47	33.3	59.97	47.5	77.79	25.54	10.08	32.13	95.34	20.71	92.05	81.14	39.5	6.67	12.74	17.13	16.63	24.46	15.45	16.51	10.79	1.19	16.51	4.82	13.12	16.88	16.39	7.82	17.77	7.34	37.32
PRDM15	41.22	50.63	69.03	40.07	68.55	73.54	56.28	54.72	49.91	77.25	62.56	72.52	69.03	64.8	57.08	55.49	77.25	82.87	55.1	41.52	68.55	75.64	48.52	49.56	88.26	85.82	73.54	64.34	86.43	77.25	71.0	83.45	122.64	52.82	67.59	85.22	36.27	71.0	52.82	57.89	75.64	53.19	68.07	43.63	36.27	63.0	74.58	59.13	63.0	51.35	107.38	37.32	48.87	56.28	53.95	60.39	68.55	84.63	48.52	91.41	74.58	49.21	40.64	87.65	43.63	62.12	99.43	75.11	64.34	58.71	43.63	41.81	70.51	46.18	67.12	26.28	50.63	65.72	74.06	114.36	82.29	76.71	58.3	60.82	107.38	55.49	59.13	41.52	87.03	46.18	87.65	82.29	68.07	65.26	43.32	39.5	58.3	57.49	63.0	90.77	65.26	51.71	56.28	58.3	54.72	31.9	92.7	33.78	48.87	84.63	44.25	56.28	90.14	108.14	83.45	65.26	58.3	87.65	81.14	64.8	115.97	111.21	116.78	54.72	75.64	59.13	73.54	68.55	99.43	72.01	87.03	130.6	103.69	82.87	108.9	90.14	142.01	126.12	68.55	90.77	85.22	90.77	114.36	157.68	84.63	118.43	94.01	138.1	148.09	88.88	85.22	130.6	52.08	91.41	101.54	98.04	71.5	98.73	150.17	132.44	117.6	91.41	95.34	79.45	137.14	68.07	105.15	87.03	52.45	101.54	86.43	77.79	123.5	79.45	55.1	24.28	59.55	37.59	77.25	53.19	74.58	88.88	60.39	63.45	66.65	54.33	48.52	48.87	59.55	54.33	50.63	52.82	51.35	56.28	31.0	81.14	50.98	46.18	47.5
