	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.RU1J.0126.SM.2TF6Y	GTEX.13OVH.1026.SM.5J2NP	GTEX.R55C.0526.SM.3GIKA	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.OHPL.0526.SM.3NM8U	GTEX.1122O.0126.SM.5GICA	GTEX.13VXT.1426.SM.5LU4B	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
BMI1	218.79	212.78	551.56	540.19	808.0	909.17	343.89	928.3	825.0	651.58	595.34	988.12	842.36	733.19	1540.37	242.88	463.65	974.5	629.35	954.43	567.1	665.29	791.35	339.14	503.95	1111.82	902.89	1508.65	753.83	1143.1	454.09
BRCC3	167.9	52.82	202.66	283.05	275.28	260.38	140.04	450.94	218.79	305.55	271.48	376.41	295.11	387.02	429.54	141.02	158.79	379.04	205.5	285.03	277.2	301.33	195.72	260.38	346.29	264.03	426.57	414.87	314.17	312.0	182.55
BRI3BP	91.41	71.0	98.73	85.82	89.51	132.44	31.67	128.79	82.87	133.36	90.77	135.24	140.04	134.3	175.07	26.28	37.05	152.28	72.01	121.79	79.45	88.26	65.72	59.97	119.26	93.35	120.1	178.77	104.42	90.77	90.77
BTBD10	267.73	77.25	397.93	262.2	591.22	454.09	135.24	679.29	400.71	368.65	447.82	470.14	423.61	612.11	825.0	214.27	173.85	444.72	450.94	368.65	376.41	320.8	275.28	432.53	417.77	463.65	432.53	674.59	521.76	624.99	521.76
C1GALT1C1	327.56	329.84	450.94	514.56	753.83	603.67	199.85	928.3	483.38	607.87	540.19	954.43	759.08	748.61	819.3	126.12	297.17	860.08	500.46	651.58	441.64	301.33	540.19	381.68	723.08	748.61	1023.0	941.27	647.07	647.07	486.75
C5orf24	115.16	258.57	463.65	583.07	728.11	947.83	289.02	1183.45	575.03	555.41	503.95	1259.69	1001.93	1111.82	1191.69	262.2	409.15	703.28	532.74	733.19	674.59	507.46	638.15	559.28	463.65	633.73	1369.04	947.83	743.43	775.05	698.41
C6orf120	114.36	187.71	303.44	215.77	480.04	301.33	221.86	529.06	256.78	283.05	395.18	591.22	420.68	363.56	612.11	100.13	237.86	429.54	221.86	289.02	289.02	239.52	260.38	277.2	320.8	224.97	551.56	525.39	314.17	438.59	221.86
C8orf37	8.0	12.27	16.63	24.46	40.64	37.32	19.39	48.52	51.71	37.05	22.92	40.36	30.78	48.18	61.25	5.15	20.26	37.85	35.25	49.21	22.26	23.25	35.25	13.93	31.67	42.71	45.85	49.91	49.91	51.35	23.76
CACNA2D1	23.93	6.16	38.95	29.06	36.27	44.89	20.41	239.52	42.41	21.94	18.29	242.88	69.52	66.18	125.24	45.85	63.89	96.01	15.8	31.22	19.25	38.67	19.11	56.28	13.83	61.68	161.02	206.94	65.72	111.99	53.19
CALM1	3665.02	1950.0	6935.54	10296.45	8598.28	8901.53	4607.24	13776.25	9279.58	12076.21	9088.59	12764.83	11827.67	13306.94	18689.27	8421.31	5672.41	10883.59	9025.81	11909.94	7433.4	6607.01	6337.83	6561.36	12676.65	10959.3	14262.1	12943.04	11827.67	8363.13	8134.41
CASC4	312.0	231.32	902.89	1313.23	981.29	1037.29	444.72	1745.2	842.36	1030.12	872.1	1685.71	1617.0	2148.82	1757.34	412.0	988.12	1199.98	825.0	1397.83	1208.34	909.17	954.43	1159.07	1008.9	1572.76	2193.99	1561.89	1225.22	1651.0	1286.18
CCDC122	12.0	13.32	46.84	178.77	134.3	57.08	48.18	183.82	64.8	111.99	87.03	120.1	127.89	117.6	135.24	8.19	59.13	137.14	67.59	104.42	53.57	34.51	59.55	44.89	152.28	85.22	165.57	172.65	135.24	95.34	58.71
CCDC90B	400.71	234.57	460.44	587.13	698.41	543.96	283.05	1111.82	480.04	1023.0	595.34	890.44	708.18	967.76	1268.46	111.21	309.83	884.29	518.15	665.29	334.46	540.19	400.71	291.04	723.08	1073.91	1225.22	954.43	638.15	764.36	353.59
CD164	1119.56	1936.53	3395.89	4450.27	3928.15	4419.52	1909.85	8191.0	2351.53	3690.52	3589.58	7433.4	5872.48	5751.61	7485.11	2193.99	4358.66	6079.61	2451.44	4066.71	3742.05	2796.65	3124.78	4123.49	5366.37	4298.64	10659.59	7803.01	5594.3	3901.01	3235.01
CDC40	105.89	106.63	165.57	194.36	251.48	224.97	156.59	540.19	256.78	253.23	295.11	406.31	258.57	351.14	435.55	69.52	177.53	358.54	208.38	291.04	226.54	193.01	253.23	209.84	279.14	256.78	414.87	441.64	343.89	423.61	220.32
CEP135	20.86	1.58	24.11	20.56	35.0	73.54	27.64	112.77	62.56	72.01	33.78	83.45	71.0	88.88	149.12	29.7	18.84	58.71	30.56	65.26	52.82	37.05	47.84	28.04	55.1	124.37	113.56	151.22	80.57	122.64	25.54
CEP290	20.86	2.86	60.39	61.25	73.54	64.34	68.55	165.57	98.73	95.34	72.52	150.17	92.05	132.44	187.71	37.05	52.45	98.04	66.65	190.34	87.65	115.16	89.51	62.12	73.03	119.26	176.29	101.54	105.89	128.79	48.87
CHM	64.34	42.71	183.82	198.47	389.72	246.28	105.89	432.53	236.21	291.04	224.97	500.46	316.37	334.46	529.06	74.58	129.69	291.04	249.73	239.52	231.32	264.03	130.6	157.68	217.27	312.0	400.71	305.55	221.86	423.61	195.72
CMPK1	769.69	1832.01	1781.89	2255.7	2682.69	2255.7	1096.5	5076.84	1572.76	1529.73	2018.8	5292.48	3742.05	3303.0	3146.52	775.05	2193.99	2502.97	1628.26	1950.0	2271.4	1674.06	1519.15	1806.78	2271.4	2627.46	4388.98	3665.02	2627.46	3614.55	2537.92
CNOT11	500.46	320.8	669.92	447.82	703.28	629.35	381.68	896.64	759.08	684.02	633.73	703.28	728.11	759.08	866.07	236.21	450.94	638.15	571.05	848.22	591.22	595.34	642.59	587.13	698.41	414.87	941.27	785.88	532.74	656.11	607.87
COG6	63.0	31.67	195.72	193.01	246.28	201.25	64.8	511.0	232.94	209.84	211.31	279.14	234.57	269.6	403.5	55.89	93.35	265.87	176.29	289.02	185.11	144.01	195.72	143.01	262.2	267.73	327.56	293.07	305.55	366.09	136.19
COPB1	514.56	490.14	1794.29	1135.2	1896.65	1757.34	785.88	3639.7	1259.69	1781.89	1605.83	3103.19	1662.49	2627.46	4450.27	813.63	1015.93	2367.9	954.43	1757.34	1674.06	1001.93	1529.73	1259.69	1896.65	1388.16	3874.05	2271.4	1883.54	1870.53	1745.2
CUL2	143.01	71.0	389.72	341.51	497.0	563.18	239.52	647.07	351.14	429.54	447.82	507.46	493.56	547.75	703.28	283.05	223.41	532.74	299.25	363.56	373.81	307.69	379.04	356.05	532.74	473.41	543.96	866.07	447.82	688.78	567.1
CUL4B	287.01	104.42	366.09	426.57	536.45	366.09	237.86	941.27	412.0	454.09	329.84	743.43	525.39	620.67	473.41	202.66	389.72	612.11	514.56	389.72	656.11	353.59	435.55	246.28	387.02	414.87	536.45	733.19	529.06	703.28	285.03
CYP20A1	84.63	102.25	239.52	258.57	358.54	281.09	115.16	406.31	269.6	289.02	334.46	373.81	376.41	368.65	463.65	92.05	170.25	265.87	275.28	356.05	275.28	228.13	295.11	172.65	334.46	271.48	476.71	361.04	285.03	403.5	277.2
DCUN1D1	82.29	125.24	353.59	214.27	309.83	376.41	249.73	669.92	182.55	221.86	256.78	808.0	848.22	1096.5	738.29	67.12	265.87	466.88	147.06	532.74	444.72	273.37	348.71	186.4	444.72	1119.56	872.1	1417.35	417.77	507.46	532.74
DDX52	114.36	60.39	255.0	187.71	221.86	262.2	182.55	392.44	236.21	264.03	305.55	438.59	275.28	343.89	358.54	69.52	166.73	301.33	231.32	269.6	283.05	246.28	269.6	234.57	265.87	339.14	373.81	395.18	309.83	363.56	218.79
DENR	547.75	212.78	500.46	473.41	633.73	603.67	287.01	836.53	500.46	603.67	532.74	642.59	529.06	599.49	872.1	182.55	258.57	651.58	432.53	551.56	417.77	444.72	543.96	450.94	591.22	575.03	769.69	723.08	620.67	688.78	466.88
DIP2B	127.0	77.79	271.48	194.36	190.34	253.23	185.11	518.15	172.65	181.28	189.02	273.37	356.05	249.73	371.22	194.36	232.94	220.32	135.24	116.78	138.1	81.14	208.38	197.09	221.86	291.04	395.18	480.04	273.37	376.41	279.14
DPY19L4	77.79	63.0	220.32	273.37	295.11	260.38	105.15	536.45	204.07	273.37	157.68	325.29	320.8	363.56	336.79	59.13	161.02	307.69	158.79	332.14	265.87	242.88	299.25	199.85	244.57	316.37	366.09	483.38	226.54	412.0	154.42
DTWD1	275.28	105.15	223.41	348.71	529.06	400.71	277.2	733.19	503.95	633.73	432.53	780.44	612.11	693.58	703.28	226.54	693.58	518.15	444.72	532.74	473.41	432.53	624.99	397.93	688.78	629.35	808.0	642.59	480.04	525.39	417.77
DUSP11	403.5	218.79	353.59	343.89	575.03	376.41	175.07	748.61	486.75	470.14	454.09	848.22	555.41	665.29	669.92	102.25	234.57	679.29	500.46	480.04	420.68	269.6	660.68	314.17	599.49	518.15	669.92	607.87	441.64	941.27	312.0
ENTPD5	82.29	1923.14	119.26	143.01	169.07	182.55	85.22	318.57	167.9	208.38	159.9	211.31	153.34	251.48	209.84	31.22	104.42	190.34	167.9	221.86	128.79	152.28	115.16	114.36	193.01	109.66	204.07	255.0	265.87	183.82	112.77
ERCC8	61.25	45.85	110.43	91.41	157.68	82.87	53.95	180.02	128.79	111.21	134.3	118.43	116.78	120.94	205.5	24.28	57.49	145.02	94.67	144.01	114.36	103.69	33.06	122.64	101.54	133.36	193.01	147.06	121.79	128.79	108.14
ERLIN2	291.04	387.02	454.09	780.44	483.38	902.89	137.14	1001.93	633.73	698.41	483.38	587.13	629.35	915.51	1015.93	55.49	323.03	748.61	373.81	780.44	409.15	444.72	305.55	279.14	579.04	551.56	796.86	878.17	988.12	836.53	395.18
EXTL2	71.0	40.64	110.43	141.02	197.09	197.09	68.55	473.41	155.5	256.78	167.9	312.0	209.84	251.48	327.56	82.87	53.95	253.23	148.09	256.78	149.12	176.29	130.6	102.97	206.94	211.31	366.09	409.15	146.03	242.88	155.5
FAM114A1	361.04	371.22	329.84	559.28	583.07	529.06	353.59	909.17	403.5	500.46	336.79	532.74	473.41	708.18	616.37	476.71	796.86	486.75	305.55	426.57	341.51	450.94	285.03	271.48	435.55	607.87	703.28	579.04	460.44	612.11	389.72
FAR1	72.01	9.56	291.04	197.09	356.05	441.64	291.04	1096.5	403.5	406.31	432.53	748.61	348.71	698.41	1096.5	162.14	295.11	587.13	255.0	346.29	341.51	241.19	303.44	423.61	368.65	733.19	995.0	679.29	651.58	587.13	316.37
FEZ2	312.0	293.07	738.29	1037.29	1369.04	1340.84	457.25	1685.71	1119.56	941.27	1081.39	1781.89	1175.27	1397.83	1950.0	511.0	638.15	1023.0	947.83	902.89	934.76	1096.5	947.83	954.43	1437.15	1437.15	1519.15	1651.0	1457.23	1277.29	1191.69
FNTA	802.41	293.07	559.28	753.83	1359.57	866.07	813.63	1487.87	981.29	1457.23	1044.52	2090.03	1819.35	1159.07	1870.53	698.41	872.1	1059.11	1191.69	1008.9	1073.91	785.88	1167.14	1242.34	1388.16	1447.15	1883.54	1950.0	1216.75	1487.87	780.44
FOPNL	275.28	265.87	409.15	392.44	753.83	981.29	182.55	921.88	638.15	708.18	656.11	1167.14	808.0	941.27	954.43	82.87	323.03	854.13	642.59	656.11	463.65	447.82	599.49	483.38	642.59	698.41	1304.15	1044.52	679.29	928.3	753.83
G2E3	22.43	13.93	110.43	29.48	108.14	107.38	84.04	314.17	67.59	120.94	121.79	269.6	107.38	229.72	198.47	40.36	105.15	120.94	82.87	52.45	134.3	94.67	115.16	127.0	122.64	147.06	264.03	226.54	120.94	178.77	102.25
GALNT7	100.83	6.94	234.57	237.86	260.38	353.59	80.01	466.88	172.65	246.28	273.37	457.25	463.65	309.83	616.37	18.16	180.02	223.41	183.82	249.73	303.44	341.51	371.22	85.22	251.48	450.94	409.15	536.45	361.04	371.22	187.71
GGPS1	460.44	209.84	616.37	387.02	633.73	660.68	412.0	961.07	599.49	629.35	642.59	842.36	866.07	941.27	1135.2	547.75	525.39	647.07	633.73	603.67	532.74	514.56	507.46	503.95	802.41	684.02	629.35	748.61	624.99	759.08	603.67
GMCL1	83.45	72.01	167.9	201.25	244.57	206.94	103.69	392.44	170.25	185.11	171.45	316.37	267.73	241.19	351.14	124.37	165.57	277.2	163.28	273.37	205.5	164.42	325.29	108.9	217.27	224.97	262.2	387.02	232.94	318.57	115.16
GNS	733.19	884.29	2537.92	3491.39	3103.19	2997.45	1427.22	3325.99	1583.71	2319.15	2335.28	4210.15	2485.67	3491.39	3018.3	1950.0	2075.59	3467.27	2104.58	2004.85	2591.27	1651.0	1487.87	2591.27	4736.79	2739.08	3820.7	4388.98	2758.13	3820.7	2335.28
GOPC	96.01	120.1	212.78	251.48	299.25	305.55	159.9	438.59	299.25	376.41	297.17	368.65	406.31	379.04	463.65	76.71	169.07	346.29	287.01	358.54	297.17	287.01	384.34	211.31	283.05	381.68	320.8	476.71	387.02	463.65	239.52
HAUS6	37.85	15.91	46.84	35.0	82.87	62.12	47.84	158.79	65.72	58.71	73.54	287.01	86.43	115.97	150.17	87.65	60.39	169.07	52.45	82.29	103.69	36.53	68.55	95.34	69.03	97.36	165.57	271.48	74.06	166.73	53.95
HIATL1	426.57	99.43	866.07	995.0	1417.35	1104.13	547.75	1639.59	633.73	813.63	934.76	1709.26	1923.14	1437.15	1561.89	480.04	872.1	1250.98	848.22	1059.11	791.35	866.07	599.49	1427.22	1051.79	928.3	1733.13	1167.14	1008.9	1277.29	1183.45
HLTF	79.45	54.33	132.44	172.65	173.85	215.77	19.97	348.71	140.04	285.03	204.07	341.51	157.68	244.57	368.65	36.27	73.03	283.05	115.16	209.84	119.26	94.01	145.02	62.56	159.9	267.73	376.41	351.14	221.86	206.94	131.51
IARS2	693.58	866.07	941.27	1286.18	1225.22	1151.06	271.48	1583.71	921.88	995.0	890.44	1605.83	1111.82	1159.07	1583.71	204.07	567.1	1199.98	878.17	1127.35	819.3	808.0	1001.93	753.83	1286.18	995.0	1540.37	1331.57	1119.56	1295.13	884.29
ICMT	579.04	291.04	693.58	872.1	808.0	954.43	228.13	995.0	753.83	769.69	825.0	954.43	947.83	1044.52	967.76	246.28	438.59	1135.2	738.29	872.1	679.29	669.92	543.96	684.02	995.0	708.18	974.5	1066.48	890.44	915.51	974.5
IFT74	77.79	18.7	146.03	237.86	202.66	120.94	60.82	293.07	239.52	301.33	169.07	201.25	181.28	323.03	387.02	13.22	172.65	189.02	167.9	318.57	155.5	167.9	191.67	114.36	215.77	223.41	339.14	325.29	297.17	281.09	105.15
IMPACT	161.02	190.34	493.56	743.43	521.76	432.53	144.01	616.37	379.04	412.0	511.0	587.13	665.29	543.96	551.56	58.3	209.84	450.94	339.14	392.44	264.03	262.2	265.87	316.37	420.68	327.56	728.11	559.28	599.49	612.11	432.53
INIP	175.07	90.14	316.37	237.86	361.04	215.77	162.14	318.57	457.25	429.54	305.55	289.02	395.18	497.0	547.75	92.05	211.31	339.14	295.11	376.41	265.87	228.13	323.03	253.23	334.46	312.0	507.46	289.02	351.14	387.02	297.17
IPO11	202.66	99.43	366.09	285.03	406.31	366.09	124.37	480.04	249.73	329.84	358.54	525.39	256.78	412.0	476.71	125.24	154.42	392.44	249.73	395.18	256.78	277.2	229.72	212.78	320.8	341.51	327.56	507.46	358.54	417.77	316.37
JKAMP	403.5	414.87	718.08	1104.13	1427.22	1044.52	361.04	1870.53	1066.48	1159.07	928.3	1769.57	1268.46	1427.22	1674.06	182.55	547.75	1151.06	1081.39	1151.06	967.76	915.51	1044.52	866.07	1397.83	1277.29	1583.71	1199.98	1183.45	1051.79	642.59
KAT7	346.29	204.07	318.57	447.82	483.38	334.46	204.07	669.92	447.82	466.88	366.09	466.88	486.75	500.46	723.08	214.27	363.56	476.71	480.04	647.07	387.02	305.55	483.38	305.55	438.59	669.92	674.59	688.78	669.92	698.41	305.55
KIAA0196	366.09	242.88	595.34	579.04	775.05	674.59	271.48	915.51	599.49	791.35	718.08	842.36	684.02	674.59	915.51	156.59	318.57	791.35	591.22	612.11	543.96	551.56	595.34	397.93	780.44	543.96	848.22	769.69	748.61	679.29	395.18
KPNA3	110.43	108.14	693.58	450.94	728.11	733.19	244.57	759.08	540.19	521.76	571.05	967.76	733.19	842.36	1183.45	138.1	281.09	642.59	420.68	518.15	620.67	540.19	450.94	567.1	616.37	551.56	1135.2	902.89	693.58	669.92	813.63
LAMTOR3	511.0	379.04	830.75	775.05	1529.73	1277.29	507.46	1844.76	1001.93	1191.69	1143.1	1977.24	1733.13	1617.0	1832.01	346.29	674.59	1331.57	1127.35	1066.48	988.12	674.59	1183.45	836.53	1340.84	1259.69	1883.54	1340.84	1457.23	1331.57	769.69
LCLAT1	73.54	66.65	105.89	123.5	131.51	115.97	65.72	186.4	118.43	118.43	108.14	158.79	110.43	153.34	152.28	42.41	58.71	149.12	66.18	166.73	110.43	85.82	61.25	70.51	231.32	104.42	135.24	153.34	127.0	139.07	97.36
LIN7C	77.79	136.19	177.53	127.0	178.77	255.0	226.54	287.01	194.36	208.38	214.27	246.28	232.94	236.21	299.25	80.01	126.12	229.72	185.11	199.85	183.82	110.43	157.68	190.34	193.01	211.31	376.41	420.68	236.21	348.71	147.06
LMBRD2	22.43	28.65	81.14	98.73	127.89	98.73	51.35	202.66	72.01	100.83	107.38	214.27	136.19	283.05	221.86	11.55	44.57	147.06	66.18	102.25	82.87	74.06	62.56	88.26	111.99	134.3	199.85	208.38	115.97	221.86	67.59
LTN1	37.85	33.54	157.68	99.43	148.09	189.02	57.89	379.04	189.02	124.37	178.77	283.05	159.9	194.36	297.17	67.59	80.01	229.72	107.38	181.28	199.85	136.19	202.66	111.99	129.69	153.34	189.02	273.37	217.27	291.04	121.79
LYPLA1	194.36	490.14	1111.82	872.1	1388.16	1447.15	447.82	2664.15	723.08	684.02	995.0	1977.24	1397.83	1745.2	2287.2	152.28	444.72	1540.37	642.59	1208.34	1030.12	679.29	575.03	1143.1	1259.69	1044.52	2701.35	1769.57	1508.65	1378.57	909.17
LYRM7	34.51	32.36	52.08	55.1	74.58	76.17	52.08	128.79	77.25	105.15	80.01	74.06	70.51	105.15	165.57	47.84	80.57	120.1	70.01	130.6	56.68	57.08	69.03	31.9	113.56	92.05	106.63	128.79	106.63	96.01	67.12
LZIC	387.02	191.67	389.72	529.06	438.59	583.07	176.29	629.35	379.04	551.56	532.74	660.68	435.55	698.41	842.36	111.99	309.83	559.28	332.14	575.03	368.65	395.18	379.04	262.2	616.37	723.08	543.96	775.05	638.15	529.06	409.15
MANEA	19.97	34.02	131.51	128.79	232.94	228.13	43.94	318.57	197.09	129.69	127.89	389.72	209.84	189.02	289.02	23.25	108.9	173.85	156.59	201.25	182.55	199.85	145.02	71.0	177.53	221.86	285.03	239.52	265.87	218.79	143.01
MBTPS2	72.52	162.14	134.3	193.01	211.31	178.77	75.11	260.38	154.42	153.34	166.73	285.03	205.5	212.78	297.17	30.34	140.04	234.57	125.24	155.5	121.79	124.37	166.73	162.14	197.09	137.14	289.02	239.52	237.86	221.86	167.9
METAP1	460.44	307.69	500.46	414.87	764.36	748.61	287.01	1191.69	438.59	543.96	647.07	961.07	890.44	624.99	1208.34	198.47	264.03	679.29	470.14	579.04	447.82	420.68	595.34	555.41	591.22	507.46	1259.69	764.36	802.41	738.29	514.56
MLH1	379.04	293.07	551.56	500.46	532.74	555.41	251.48	1001.93	532.74	660.68	511.0	718.08	575.03	748.61	769.69	217.27	329.84	753.83	473.41	633.73	493.56	486.75	368.65	271.48	642.59	441.64	684.02	693.58	693.58	536.45	429.54
MRPL42	320.8	518.15	483.38	723.08	884.29	693.58	796.86	1277.29	629.35	547.75	733.19	1119.56	872.1	902.89	1397.83	241.19	642.59	703.28	447.82	791.35	486.75	438.59	540.19	759.08	764.36	915.51	1437.15	1030.12	796.86	688.78	551.56
