	TCGA.BP.5178.01A.01R.1426.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.B8.5165.01A.01R.1420.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.B0.5691.01A.11R.1541.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.CJ.4643.01A.02R.1325.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
C15orf59	9.27	34.51	8.78	37.85	11.55	9.34	16.63	10.79	17.13	32.82	97.36	27.44	16.75	18.7	156.59	2.92	16.51	40.07	9.13	59.13	65.26	67.59	61.25	1.5	14.56	60.39	8.71	6.67	6.78	0.0	0.29
CCNYL1	175.07	373.81	223.41	343.89	226.54	189.02	305.55	214.27	138.1	417.77	406.31	152.28	334.46	232.94	307.69	113.56	260.38	363.56	343.89	301.33	353.59	426.57	147.06	271.48	384.34	275.28	102.25	99.43	112.77	0.0	0.01
CIRH1A	718.08	961.07	842.36	860.08	995.0	688.78	1001.93	718.08	743.43	1001.93	1605.83	665.29	890.44	536.45	1044.52	624.99	967.76	954.43	802.41	1350.18	974.5	1651.0	764.36	733.19	647.07	921.88	379.04	318.57	511.0	0.0	0.23
CIT	68.07	738.29	87.03	156.59	54.72	157.68	178.77	56.28	90.14	107.38	353.59	53.95	493.56	76.17	723.08	76.71	100.83	473.41	114.36	718.08	872.1	1159.07	53.57	59.55	50.27	198.47	17.51	48.87	32.36	120.94	43.94
CRIM1	1259.69	3081.75	1088.92	2163.77	1477.58	2645.74	2609.3	2351.53	1651.0	2976.74	3665.02	988.12	3039.3	1225.22	3039.3	575.03	5112.16	3794.3	1832.01	2193.99	2555.58	4181.07	1388.16	379.04	2468.49	2287.2	95.34	25.72	50.63	518.15	629.35
DCAF7	521.76	1008.9	429.54	780.44	620.67	854.13	825.0	684.02	371.22	759.08	1104.13	525.39	947.83	567.1	1242.34	775.05	878.17	791.35	748.61	1191.69	836.53	974.5	412.0	529.06	551.56	460.44	229.72	211.31	473.41	647.07	669.92
DOCK1	325.29	909.17	256.78	555.41	339.14	395.18	532.74	356.05	209.84	493.56	825.0	409.15	708.18	379.04	796.86	226.54	723.08	693.58	518.15	769.69	728.11	633.73	343.89	178.77	414.87	454.09	82.29	98.73	92.05	0.0	0.74
ELOVL7	144.01	1037.29	285.03	169.07	995.0	197.09	660.68	325.29	231.32	518.15	525.39	180.02	947.83	329.84	314.17	392.44	733.19	426.57	514.56	555.41	603.67	981.29	265.87	21.16	119.26	339.14	35.76	2.76	6.67	0.0	0.2
EXOC2	175.07	358.54	214.27	262.2	220.32	279.14	277.2	239.52	134.3	361.04	332.14	224.97	273.37	180.02	332.14	181.28	236.21	320.8	212.78	316.37	309.83	297.17	145.02	151.22	236.21	198.47	134.3	99.43	169.07	0.0	0.53
FBXL5	1819.35	4937.99	1685.71	2555.58	2915.45	2485.67	3491.39	1685.71	1870.53	5954.47	4671.57	3060.45	4543.8	3820.7	5366.37	1936.53	2855.44	4512.4	2777.33	5366.37	5292.48	5292.48	1628.26	2004.85	2400.97	4152.18	693.58	559.28	293.07	0.0	0.72
FBXO34	173.85	567.1	120.1	305.55	173.85	220.32	218.79	204.07	164.42	267.73	368.65	157.68	444.72	162.14	356.05	136.19	251.48	242.88	202.66	412.0	376.41	273.37	202.66	82.29	148.09	212.78	87.65	110.43	55.89	0.0	0.49
FRMD3	82.87	743.43	76.71	146.03	81.14	176.29	191.67	32.59	119.26	191.67	684.02	84.04	684.02	193.01	447.82	49.21	165.57	234.57	96.68	688.78	587.13	368.65	121.79	15.34	224.97	287.01	15.34	4.78	3.17	0.0	0.04
GARNL3	40.93	228.13	32.82	163.28	67.59	119.26	88.26	50.27	130.6	119.26	155.5	90.14	183.82	118.43	166.73	38.95	177.53	166.73	51.71	232.94	232.94	127.0	154.42	72.52	157.68	94.01	38.4	71.0	4.24	0.0	0.26
HECW2	149.12	529.06	59.97	163.28	151.22	166.73	241.19	81.14	23.93	397.93	591.22	111.99	211.31	92.05	297.17	91.41	229.72	285.03	149.12	426.57	373.81	529.06	125.24	14.03	283.05	177.53	26.28	12.27	2.43	0.0	0.31
IFIT1	255.0	1819.35	403.5	718.08	1350.18	381.68	1051.79	246.28	2537.92	2591.27	1721.16	583.07	1359.57	591.22	1794.29	275.28	1457.23	796.86	500.46	1467.37	1183.45	1369.04	323.03	1674.06	420.68	934.76	400.71	293.07	52.45	0.0	0.14
JMY	43.32	76.17	37.05	76.17	50.98	97.36	60.82	84.63	44.25	72.52	117.6	53.57	92.7	42.41	157.68	22.92	167.9	78.34	32.36	143.01	93.35	88.26	36.53	37.32	51.35	61.25	36.53	87.03	48.18	0.0	0.2
KIAA0232	224.97	559.28	112.77	217.27	221.86	253.23	264.03	226.54	152.28	305.55	339.14	186.4	305.55	251.48	409.15	218.79	226.54	389.72	193.01	353.59	366.09	409.15	125.24	182.55	242.88	281.09	142.01	87.03	110.43	0.0	0.48
KIAA0355	163.28	624.99	111.99	334.46	260.38	281.09	348.71	204.07	137.14	392.44	665.29	248.0	497.0	211.31	486.75	101.54	353.59	351.14	220.32	429.54	543.96	466.88	218.79	82.29	444.72	303.44	61.68	70.51	28.65	0.0	0.45
KIAA0430	336.79	769.69	353.59	703.28	599.49	547.75	642.59	595.34	397.93	708.18	1008.9	555.41	1023.0	511.0	1023.0	253.23	543.96	866.07	603.67	1119.56	759.08	791.35	429.54	316.37	607.87	620.67	208.38	228.13	106.63	0.0	0.6
KIF1B	158.79	547.75	169.07	260.38	205.5	226.54	231.32	249.73	165.57	277.2	441.64	223.41	454.09	303.44	450.94	265.87	239.52	426.57	314.17	450.94	353.59	361.04	156.59	223.41	267.73	226.54	121.79	97.36	177.53	115.16	114.36
KIF5B	525.39	1313.23	555.41	1051.79	665.29	860.08	1008.9	603.67	529.06	1059.11	1104.13	525.39	1008.9	860.08	1051.79	583.07	713.11	1135.2	909.17	954.43	1023.0	1159.07	351.14	334.46	1088.92	819.3	215.77	141.02	248.0	698.41	72.52
LIG4	47.84	143.01	58.71	124.37	68.07	86.43	98.73	66.65	96.01	105.15	98.04	75.64	127.89	83.45	146.03	44.89	66.18	127.89	87.03	86.43	122.64	112.77	72.52	49.21	142.01	116.78	81.14	28.24	54.72	0.0	0.39
LIMA1	470.14	1286.18	476.71	1127.35	1437.15	890.44	1096.5	441.64	579.04	1757.34	1208.34	642.59	1617.0	902.89	1096.5	444.72	995.0	1096.5	1216.75	1044.52	1378.57	1191.69	890.44	591.22	1551.09	1023.0	262.2	116.78	187.71	791.35	262.2
MAPT	73.03	1259.69	23.93	366.09	172.65	563.18	73.03	49.91	185.11	135.24	808.0	258.57	808.0	454.09	1447.15	76.17	154.42	361.04	346.29	1397.83	1191.69	896.64	202.66	49.21	166.73	368.65	49.56	7.06	309.83	0.0	0.13
MARCH7	387.02	1397.83	511.0	928.3	708.18	674.59	1191.69	733.19	483.38	1963.57	1233.75	698.41	1225.22	860.08	1268.46	438.59	759.08	1037.29	988.12	1225.22	1286.18	1286.18	480.04	665.29	1059.11	733.19	371.22	281.09	187.71	0.0	0.47
MAST4	212.78	438.59	139.07	206.94	218.79	193.01	277.2	144.01	412.0	248.0	435.55	187.71	463.65	358.54	447.82	86.43	293.07	358.54	277.2	387.02	457.25	409.15	256.78	124.37	211.31	277.2	135.24	82.87	20.56	53.19	291.04
MTMR10	249.73	738.29	195.72	447.82	376.41	392.44	395.18	387.02	249.73	629.35	529.06	336.79	780.44	381.68	688.78	181.28	348.71	612.11	444.72	599.49	660.68	733.19	309.83	215.77	486.75	409.15	186.4	314.17	127.89	0.0	0.58
NCR3LG1	10.24	149.12	4.82	29.48	14.24	21.32	31.45	37.32	33.54	7.69	63.45	5.15	94.01	9.34	66.65	7.69	30.12	87.65	19.82	127.0	135.24	89.51	9.48	1.41	30.56	37.32	1.6	2.76	2.2	0.0	0.36
NOSTRIN	669.92	808.0	208.38	616.37	423.61	651.58	435.55	356.05	802.41	1923.14	884.29	507.46	1427.22	780.44	708.18	341.51	764.36	684.02	480.04	1073.91	1143.1	1015.93	1015.93	307.69	1044.52	708.18	78.89	66.18	88.26	0.0	0.62
NPR3	76.71	3190.46	42.71	130.6	76.71	275.28	256.78	108.9	165.57	271.48	1447.15	22.26	2875.3	94.01	1225.22	258.57	429.54	1159.07	384.34	1757.34	2032.85	1745.2	150.17	13.22	647.07	866.07	15.8	85.22	1.17	0.0	0.24
OGDH	1295.13	2148.82	1151.06	1417.35	1757.34	2133.97	2319.15	1427.22	1617.0	1037.29	2537.92	1191.69	1806.78	2119.22	2976.74	1991.0	1259.69	2537.92	2351.53	2537.92	2384.37	2400.97	1447.15	1277.29	2075.59	1721.16	1037.29	1259.69	656.11	0.0	0.61
ORC4	316.37	753.83	486.75	540.19	536.45	543.96	633.73	353.59	400.71	1572.76	713.11	529.06	629.35	669.92	764.36	371.22	872.1	603.67	559.28	934.76	769.69	785.88	392.44	679.29	500.46	629.35	287.01	368.65	363.56	0.0	0.41
OTUD7A	9.85	37.32	7.06	23.08	12.36	14.24	18.03	9.78	8.71	26.1	42.71	8.78	27.84	15.56	40.07	1.41	49.91	36.01	21.63	66.18	37.85	40.64	8.58	8.71	9.85	12.18	3.96	14.78	7.34	0.0	0.27
PAIP2B	26.47	198.47	14.03	67.12	60.39	119.26	59.13	57.49	45.85	87.65	141.02	42.41	185.11	25.17	198.47	7.0	73.03	99.43	94.01	232.94	197.09	104.42	40.07	14.35	48.52	59.13	31.67	89.51	1.93	0.0	0.12
PDE12	85.82	162.14	98.04	158.79	157.68	111.99	122.64	115.16	80.01	97.36	162.14	81.14	147.06	112.77	228.13	82.87	100.83	130.6	127.0	126.12	166.73	167.9	68.55	92.7	121.79	140.04	90.77	64.34	98.04	0.0	0.04
PDE7B	43.63	195.72	26.86	77.79	37.05	76.17	86.43	19.97	16.75	115.16	218.79	47.17	137.14	40.64	182.55	35.0	65.26	88.88	43.02	163.28	187.71	181.28	100.83	5.63	66.18	79.45	5.28	3.38	4.21	0.0	0.09
PIK3C2A	178.77	909.17	172.65	312.0	397.93	376.41	470.14	273.37	209.84	674.59	1008.9	234.57	660.68	318.57	693.58	236.21	476.71	638.15	450.94	842.36	703.28	718.08	199.85	186.4	373.81	392.44	86.43	54.33	65.72	0.0	0.46
PLCL2	87.65	361.04	72.01	217.27	136.19	148.09	226.54	105.15	85.22	152.28	305.55	83.45	295.11	87.65	341.51	48.18	167.9	181.28	111.99	295.11	277.2	159.9	87.65	38.95	131.51	131.51	76.71	56.28	64.8	0.0	0.45
PPFIBP1	248.0	4038.61	403.5	1295.13	928.3	866.07	1388.16	669.92	476.71	728.11	2468.49	309.83	2193.99	802.41	1844.76	234.57	1088.92	1709.26	1127.35	2104.58	2520.38	1977.24	591.22	796.86	902.89	764.36	63.0	77.79	34.51	0.0	0.56
PPP1R16B	124.37	346.29	70.01	316.37	61.25	237.86	329.84	77.25	32.36	279.14	698.41	87.03	414.87	84.63	341.51	63.45	260.38	323.03	87.65	656.11	229.72	358.54	71.0	20.41	165.57	157.68	10.71	8.13	3.08	0.0	0.32
PREPL	514.56	1594.73	476.71	713.11	642.59	902.89	909.17	780.44	723.08	6337.83	1208.34	616.37	1286.18	954.43	1561.89	417.77	785.88	1388.16	1008.9	1508.65	1331.57	1268.46	476.71	583.07	748.61	974.5	125.24	139.07	107.38	0.0	0.48
PRKCE	94.01	231.32	95.34	144.01	177.53	291.04	112.77	64.8	38.67	167.9	191.67	111.21	239.52	97.36	237.86	61.25	171.45	198.47	206.94	217.27	244.57	217.27	120.94	129.69	125.24	159.9	63.45	42.11	20.86	0.0	0.02
PTAR1	81.71	703.28	113.56	277.2	189.02	279.14	348.71	239.52	198.47	343.89	595.34	122.64	679.29	204.07	457.25	128.79	271.48	301.33	224.97	624.99	543.96	591.22	128.79	84.63	256.78	249.73	76.17	50.98	36.27	0.0	0.52
PTGER3	1183.45	146.03	28.24	58.3	275.28	181.28	265.87	205.5	64.34	638.15	954.43	116.78	579.04	587.13	909.17	63.0	31.67	1001.93	206.94	802.41	1757.34	2875.3	36.27	8.38	170.25	395.18	16.75	3.69	0.47	0.0	0.13
PTPRB	285.03	1857.6	135.24	417.77	202.66	536.45	974.5	224.97	69.52	866.07	1832.01	204.07	1191.69	346.29	1295.13	96.68	884.29	769.69	305.55	1709.26	1051.79	1135.2	258.57	20.41	529.06	551.56	45.85	16.63	6.62	0.0	0.35
RANBP6	83.45	346.29	145.02	246.28	166.73	211.31	264.03	92.7	167.9	218.79	307.69	123.5	248.0	159.9	303.44	178.77	149.12	209.84	152.28	241.19	249.73	198.47	120.94	124.37	212.78	199.85	92.05	64.34	44.25	0.0	0.36
RAPGEF1	718.08	1733.13	438.59	1183.45	567.1	1001.93	1037.29	819.3	536.45	599.49	1583.71	638.15	1199.98	583.07	1322.37	759.08	902.89	1030.12	718.08	1322.37	1304.15	934.76	620.67	500.46	941.27	656.11	256.78	100.83	275.28	0.0	0.77
RAVER2	121.79	341.51	134.3	122.64	107.38	72.01	273.37	195.72	92.7	339.14	327.56	211.31	275.28	208.38	283.05	67.12	234.57	169.07	172.65	412.0	327.56	346.29	127.89	89.51	144.01	158.79	45.85	10.31	37.05	0.0	0.24
RBMS2	256.78	802.41	295.11	426.57	403.5	346.29	620.67	409.15	171.45	514.56	738.29	269.6	884.29	289.02	599.49	173.85	559.28	595.34	320.8	688.78	669.92	698.41	271.48	154.42	417.77	351.14	33.06	29.7	20.86	0.0	0.57
RGP1	146.03	525.39	155.5	346.29	202.66	255.0	346.29	234.57	165.57	208.38	503.95	135.24	514.56	185.11	532.74	131.51	309.83	327.56	220.32	591.22	426.57	348.71	142.01	111.99	262.2	301.33	101.54	70.01	127.89	0.0	0.52
RWDD2A	47.17	123.5	74.58	77.25	108.9	94.67	91.41	67.59	78.89	180.02	97.36	128.79	143.01	98.73	94.01	57.08	123.5	131.51	81.71	110.43	110.43	167.9	111.99	56.68	144.01	98.04	66.65	40.36	75.64	0.0	0.35
SEMA6A	244.57	743.43	68.55	346.29	507.46	305.55	255.0	193.01	417.77	178.77	454.09	126.12	988.12	723.08	775.05	27.64	2209.26	438.59	379.04	1008.9	733.19	1216.75	647.07	88.88	185.11	525.39	73.54	12.09	316.37	55.49	115.97
SENP8	74.06	126.12	49.21	65.26	77.79	80.01	80.57	43.63	92.05	142.01	121.79	57.49	127.89	85.22	108.9	47.5	106.63	90.14	81.71	161.02	80.57	148.09	41.52	77.25	68.07	102.25	13.72	43.32	22.75	0.0	0.0
SLC5A8	0.43	674.59	0.0	27.25	0.39	120.1	3.14	0.73	0.37	6.52	273.37	45.53	708.18	3.47	518.15	0.0	15.45	220.32	107.38	303.44	346.29	191.67	0.45	7.57	0.4	24.28	0.0	0.0	0.0	0.0	0.0
SMAD4	226.54	1857.6	518.15	1104.13	679.29	909.17	775.05	599.49	202.66	1397.83	1561.89	603.67	1268.46	684.02	1617.0	346.29	633.73	1183.45	967.76	2090.03	1551.09	1457.23	356.05	532.74	981.29	848.22	177.53	150.17	131.51	0.0	0.74
SPECC1L	217.27	647.07	161.02	392.44	237.86	329.84	361.04	244.57	275.28	297.17	567.1	289.02	490.14	309.83	536.45	169.07	283.05	476.71	384.34	500.46	447.82	480.04	198.47	258.57	417.77	366.09	153.34	134.3	159.9	0.0	0.55
SPTLC2	255.0	703.28	417.77	412.0	381.68	490.14	400.71	334.46	329.84	412.0	575.03	269.6	551.56	248.0	703.28	271.48	432.53	507.46	540.19	567.1	567.1	723.08	414.87	212.78	303.44	376.41	124.37	141.02	122.64	0.0	0.49
TAF1B	122.64	303.44	191.67	237.86	189.02	185.11	224.97	159.9	195.72	234.57	237.86	151.22	223.41	295.11	237.86	186.4	473.41	255.0	297.17	269.6	346.29	384.34	194.36	149.12	368.65	297.17	63.89	67.59	74.58	0.0	0.31
TGFBI	125731.67	1896.65	189257.69	343510.77	419990.32	205673.01	338781.54	186652.11	267651.2	242898.5	6840.04	248002.34	11584.24	419990.32	3515.68	301123.38	411347.03	114103.8	275175.93	2018.8	7081.29	14663.09	258533.99	236256.4	391864.76	294926.33	3690.52	5147.73	4481.23	0.0	0.83
TOPORS	143.01	379.04	120.94	226.54	155.5	178.77	198.47	120.1	140.04	223.41	332.14	84.04	297.17	151.22	316.37	94.67	165.57	178.77	139.07	309.83	301.33	241.19	117.6	69.03	197.09	201.25	63.89	57.89	57.89	0.0	0.38
TRIM10	17.25	98.04	9.7	10.79	10.55	3.41	21.78	36.01	31.22	43.02	36.53	23.25	63.89	10.24	31.45	6.01	29.27	23.42	32.59	53.19	64.34	59.97	18.16	11.3	7.17	34.02	18.03	25.91	20.56	0.0	0.23
TRIM13	361.04	591.22	366.09	497.0	241.19	395.18	412.0	239.52	612.11	693.58	698.41	244.57	624.99	497.0	693.58	253.23	444.72	429.54	417.77	674.59	728.11	748.61	381.68	194.36	511.0	400.71	231.32	111.99	97.36	0.0	0.44
TSGA10	58.71	126.12	50.63	73.03	90.77	141.02	82.87	41.52	70.01	117.6	85.22	57.49	98.73	124.37	126.12	14.35	132.44	65.72	81.71	98.04	80.01	105.89	91.41	70.51	84.63	75.11	33.78	59.55	68.07	0.0	0.0
TTC21B	120.94	343.89	84.63	167.9	153.34	237.86	147.06	163.28	118.43	287.01	195.72	166.73	291.04	206.94	234.57	123.5	154.42	323.03	228.13	295.11	463.65	236.21	161.02	178.77	191.67	126.12	52.82	68.55	33.78	0.0	0.33
USP7	642.59	1044.52	587.13	842.36	642.59	872.1	830.75	647.07	529.06	1175.27	941.27	638.15	890.44	693.58	1051.79	497.0	703.28	915.51	684.02	974.5	974.5	902.89	698.41	486.75	669.92	660.68	493.56	420.68	384.34	728.11	180.02
UTP14C	105.89	483.38	100.83	255.0	152.28	281.09	236.21	176.29	108.14	291.04	356.05	111.99	327.56	212.78	376.41	100.83	237.86	312.0	264.03	384.34	368.65	336.79	124.37	94.01	287.01	283.05	72.01	49.56	23.76	0.0	0.0
WDR31	13.52	93.35	5.5	62.12	19.39	38.4	38.4	28.86	51.71	27.05	71.5	33.3	106.63	31.0	104.42	32.13	43.94	69.03	56.28	161.02	70.01	67.59	21.78	24.11	81.71	33.06	9.06	3.89	11.64	0.0	0.0
ZCCHC14	98.04	329.84	95.34	295.11	269.6	187.71	231.32	145.02	195.72	167.9	368.65	178.77	334.46	122.64	417.77	125.24	195.72	279.14	163.28	490.14	309.83	214.27	194.36	67.59	253.23	206.94	157.68	120.94	95.34	80.57	173.85
ZNF136	63.45	204.07	69.52	167.9	109.66	128.79	140.04	110.43	95.34	151.22	205.5	96.01	204.07	134.3	197.09	55.1	173.85	148.09	122.64	223.41	180.02	176.29	104.42	85.22	164.42	113.56	31.0	19.11	14.14	0.0	0.32
ZNF189	220.32	1081.39	143.01	395.18	170.25	339.14	323.03	221.86	226.54	329.84	728.11	283.05	813.63	373.81	1088.92	190.34	1896.65	571.05	271.48	1073.91	688.78	1350.18	214.27	132.44	450.94	379.04	131.51	94.01	186.4	0.0	0.12
ZNF366	42.11	220.32	19.39	105.89	38.95	69.52	93.35	32.13	5.77	102.25	226.54	45.53	144.01	42.11	153.34	15.91	112.77	91.41	74.58	212.78	169.07	102.25	36.53	4.9	80.57	83.45	3.17	0.39	0.31	0.0	0.09
ZNF549	19.82	100.13	27.44	64.34	47.5	43.02	102.97	16.39	39.22	89.51	127.0	83.45	121.79	33.3	110.43	16.88	92.05	82.87	48.52	122.64	113.56	63.45	74.58	15.8	120.94	57.49	22.1	3.2	1.89	0.0	0.39
ZNF566	77.79	208.38	69.03	105.89	78.89	87.03	146.03	62.56	162.14	158.79	158.79	111.21	175.07	111.21	169.07	73.03	94.67	112.77	81.14	172.65	134.3	172.65	101.54	74.58	165.57	111.21	48.18	21.63	43.94	0.0	0.35
ZNF658	19.68	102.25	24.28	65.72	27.64	40.36	70.01	15.56	40.64	70.01	88.88	55.1	80.01	47.5	90.14	30.12	52.08	47.17	52.82	108.14	74.58	91.41	29.7	28.65	78.89	50.63	13.12	6.46	8.38	0.0	0.0
ZNF669	31.9	114.36	39.22	73.03	51.71	45.85	75.64	35.76	23.08	63.89	127.89	36.01	74.06	43.02	128.79	28.45	81.71	66.65	64.34	97.36	78.34	77.25	37.05	38.67	121.79	81.71	32.13	27.25	30.56	0.0	0.12
ZNF711	6.94	218.79	6.73	40.36	14.78	47.5	21.78	9.85	5.87	21.63	90.77	13.32	167.9	12.55	180.02	10.88	142.01	62.56	26.86	246.28	206.94	139.07	15.0	1.79	31.22	40.36	3.03	1.17	12.0	0.0	0.37
ZNF772	19.53	138.1	40.93	38.67	28.04	43.02	157.68	33.3	68.55	117.6	172.65	27.64	171.45	20.41	150.17	20.11	108.14	78.34	51.71	249.73	139.07	72.52	35.76	48.18	75.11	78.34	12.27	1.38	9.48	0.0	0.12
