	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.X4EO.1126.SM.4QARQ	GTEX.144GM.1326.SM.5LU5E	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.144GM.0826.SM.5O98R	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD
KIN	543.96	466.88	575.03	414.87	99.43	164.42	81.14	185.11	131.51	154.42	113.56	130.6	123.5	0.0	363.56	275.28	277.2	376.41	368.65	201.25	348.71	289.02	327.56	305.55	303.44	358.54	351.14	271.48	341.51	260.38	341.51	214.27	246.28	293.07	373.81	237.86	279.14	264.03	273.37	277.2	356.05	316.37	316.37	287.01
METTL18	303.44	299.25	336.79	303.44	66.18	40.64	39.79	66.18	58.3	55.89	89.51	26.67	34.75	0.0	158.79	208.38	194.36	229.72	206.94	136.19	134.3	212.78	162.14	157.68	165.57	141.02	197.09	194.36	215.77	148.09	218.79	94.67	153.34	102.97	161.02	146.03	140.04	87.03	92.05	142.01	144.01	142.01	103.69	120.1
METTL25	291.04	232.94	305.55	346.29	44.25	53.95	39.5	35.5	27.84	38.67	38.12	45.21	44.57	0.0	154.42	85.22	162.14	221.86	182.55	84.04	161.02	139.07	116.78	126.12	130.6	150.17	150.17	165.57	197.09	81.14	231.32	70.51	130.6	119.26	151.22	158.79	117.6	68.55	108.14	130.6	193.01	120.94	138.1	77.79
MITD1	1001.93	848.22	934.76	954.43	246.28	277.2	110.43	214.27	180.02	312.0	241.19	209.84	133.36	0.0	656.11	409.15	713.11	934.76	665.29	384.34	813.63	447.82	507.46	423.61	723.08	595.34	629.35	497.0	607.87	387.02	743.43	307.69	389.72	567.1	563.18	591.22	339.14	339.14	417.77	414.87	447.82	435.55	320.8	334.46
MSMB	25.91	24.81	1572.76	33.78	14.45	6.31	0.0	28.65	0.0	0.0	0.0	0.0	2.84	0.0	800198.39	894051.48	783730.52	253213.41	267651.2	711250.37	1019901.63	811368.76	778316.89	691801.16	845824.19	1212874.47	554180.87	778316.89	1264380.15	1308968.45	1139523.1	636586.81	1171559.48	919186.72	958220.73	577714.63	919186.72	716197.51	509950.32	1645391.11	894051.48	619179.28	654483.73	573724.06
MTBP	127.89	91.41	134.3	115.97	5.87	6.11	3.86	7.17	3.03	3.79	5.23	2.01	0.75	0.0	25.54	13.32	43.32	49.21	48.52	12.83	40.64	35.25	31.9	18.97	33.3	17.9	38.4	25.35	21.94	17.0	41.22	15.45	29.06	27.84	32.36	33.3	14.14	10.24	28.24	30.34	30.56	24.11	22.92	8.06
MTERF	447.82	368.65	371.22	320.8	97.36	98.04	75.64	131.51	92.05	113.56	98.73	41.52	31.22	0.0	217.27	143.01	212.78	236.21	206.94	107.38	172.65	220.32	187.71	139.07	155.5	161.02	172.65	165.57	214.27	144.01	256.78	107.38	133.36	148.09	191.67	194.36	137.14	121.79	120.94	116.78	158.79	169.07	98.04	127.0
NUP37	638.15	679.29	723.08	587.13	100.83	127.89	167.9	68.07	85.22	110.43	98.73	77.79	57.49	0.0	435.55	320.8	358.54	624.99	457.25	283.05	435.55	339.14	256.78	361.04	341.51	381.68	417.77	476.71	595.34	318.57	547.75	248.0	343.89	346.29	392.44	435.55	343.89	190.34	397.93	507.46	361.04	318.57	339.14	366.09
NUP54	1295.13	1467.37	860.08	928.3	289.02	242.88	99.43	289.02	255.0	231.32	309.83	287.01	253.23	0.0	503.95	339.14	599.49	629.35	624.99	336.79	563.18	551.56	514.56	511.0	579.04	366.09	703.28	547.75	791.35	426.57	748.61	444.72	521.76	529.06	559.28	595.34	426.57	441.64	500.46	441.64	587.13	466.88	348.71	358.54
OSGEPL1	363.56	336.79	273.37	346.29	57.49	45.53	80.01	32.36	61.68	74.58	42.41	20.41	30.34	0.0	138.1	113.56	155.5	211.31	187.71	83.45	187.71	144.01	120.1	143.01	126.12	152.28	163.28	132.44	181.28	108.9	187.71	92.7	126.12	134.3	142.01	182.55	85.22	58.3	123.5	125.24	143.01	130.6	131.51	79.45
PGBD1	85.22	251.48	329.84	136.19	18.16	10.16	13.03	21.63	11.04	13.52	10.47	6.06	12.0	0.0	75.64	46.18	63.0	81.71	70.51	51.35	74.06	80.01	78.89	48.87	70.01	48.18	55.89	62.12	55.1	45.85	60.39	53.19	54.33	66.18	75.11	64.34	53.19	28.04	44.57	56.28	62.12	71.5	41.81	42.71
POLE2	106.63	78.89	94.01	103.69	29.48	39.79	31.9	45.85	73.03	44.89	42.41	10.79	11.3	0.0	82.87	47.84	88.88	98.73	69.52	27.84	115.16	50.27	62.12	35.5	54.72	52.08	47.84	52.45	81.14	53.19	90.14	41.52	49.91	57.89	56.28	68.07	38.12	37.59	38.67	57.89	85.22	50.27	43.32	44.89
PRIMPOL	607.87	470.14	435.55	486.75	64.8	147.06	79.45	92.7	59.55	107.38	57.49	47.17	44.89	0.0	183.82	159.9	366.09	389.72	329.84	153.34	397.93	193.01	211.31	206.94	351.14	293.07	299.25	295.11	420.68	181.28	303.44	156.59	189.02	199.85	262.2	249.73	162.14	102.25	165.57	183.82	237.86	271.48	228.13	128.79
PRPSAP2	684.02	842.36	738.29	579.04	256.78	371.22	271.48	211.31	224.97	348.71	185.11	165.57	144.01	0.0	490.14	395.18	607.87	708.18	651.58	392.44	718.08	503.95	521.76	583.07	503.95	511.0	633.73	551.56	723.08	366.09	651.58	466.88	543.96	543.96	529.06	454.09	412.0	309.83	376.41	591.22	511.0	620.67	591.22	376.41
RBM22	1427.22	1359.57	1242.34	1159.07	329.84	351.14	323.03	387.02	312.0	318.57	307.69	260.38	483.38	0.0	633.73	629.35	738.29	808.0	743.43	563.18	688.78	723.08	684.02	733.19	679.29	503.95	764.36	733.19	791.35	624.99	733.19	624.99	660.68	665.29	703.28	791.35	620.67	583.07	607.87	669.92	743.43	603.67	518.15	575.03
RP11-111M22.2	94.67	110.43	119.26	73.54	3.53	6.11	8.99	9.48	4.62	3.11	3.89	5.15	0.55	0.0	20.41	16.15	40.07	53.19	33.3	15.22	56.28	29.91	9.56	26.67	30.12	12.0	24.81	29.06	31.45	14.45	24.81	14.67	12.45	19.82	21.94	29.7	11.47	3.72	16.03	21.78	23.59	16.51	13.22	9.41
RPP38	620.67	514.56	567.1	514.56	356.05	309.83	177.53	346.29	379.04	291.04	303.44	260.38	198.47	0.0	575.03	423.61	503.95	551.56	406.31	432.53	493.56	368.65	476.71	389.72	429.54	389.72	435.55	417.77	403.5	412.0	567.1	295.11	343.89	409.15	423.61	423.61	414.87	312.0	389.72	389.72	406.31	429.54	258.57	463.65
SASS6	153.34	132.44	76.71	106.63	9.48	7.4	4.98	10.96	7.11	11.13	9.06	14.24	3.5	0.0	66.65	31.9	43.63	60.82	96.01	32.36	65.26	69.52	55.49	43.02	46.84	42.71	57.08	48.87	43.63	32.13	50.27	24.46	41.22	44.25	35.0	45.53	29.27	19.53	32.59	38.12	49.56	33.78	36.27	21.78
SEC22A	612.11	567.1	400.71	447.82	159.9	175.07	183.82	190.34	206.94	175.07	178.77	228.13	145.02	0.0	258.57	228.13	291.04	309.83	373.81	236.21	297.17	397.93	368.65	309.83	316.37	228.13	387.02	371.22	490.14	208.38	514.56	277.2	293.07	279.14	341.51	309.83	249.73	264.03	295.11	339.14	376.41	312.0	299.25	279.14
SHQ1	368.65	432.53	400.71	389.72	108.9	88.88	87.03	92.7	109.66	71.0	63.45	156.59	56.28	0.0	201.25	193.01	146.03	232.94	229.72	139.07	189.02	187.71	194.36	157.68	167.9	131.51	211.31	215.77	229.72	147.06	175.07	133.36	201.25	171.45	155.5	194.36	189.02	193.01	165.57	191.67	205.5	147.06	119.26	208.38
SNRNP48	379.04	325.29	241.19	249.73	80.01	96.68	25.54	81.71	82.87	92.7	78.34	50.98	49.56	0.0	99.43	105.15	171.45	241.19	214.27	92.7	163.28	178.77	137.14	120.1	171.45	109.66	185.11	152.28	136.19	108.9	177.53	85.82	149.12	132.44	161.02	167.9	125.24	70.51	110.43	107.38	137.14	97.36	113.56	86.43
TAF5	88.88	96.01	91.41	107.38	23.76	27.44	20.86	30.56	21.94	28.86	21.01	15.0	8.19	0.0	48.52	53.19	52.45	55.89	54.72	28.04	43.02	34.51	34.02	40.36	38.12	29.91	48.52	34.26	25.72	50.98	33.54	37.85	29.91	33.78	41.52	44.25	43.02	31.0	21.63	24.28	41.22	32.59	31.67	33.54
TBC1D31	102.25	102.97	141.02	102.25	18.84	21.63	12.36	14.24	14.35	32.59	20.26	27.44	14.45	0.0	64.34	43.94	82.87	118.43	115.97	50.27	65.26	73.03	85.22	57.49	82.29	59.13	79.45	61.68	65.72	55.49	69.03	37.85	70.51	71.0	78.89	50.27	48.18	35.0	30.34	54.33	33.54	76.71	58.3	31.9
TEFM	460.44	438.59	316.37	460.44	119.26	152.28	106.63	115.97	103.69	147.06	111.21	79.45	49.91	0.0	224.97	180.02	262.2	277.2	289.02	132.44	244.57	208.38	229.72	189.02	232.94	248.0	217.27	299.25	356.05	175.07	414.87	147.06	231.32	198.47	217.27	248.0	158.79	141.02	176.29	197.09	201.25	218.79	149.12	146.03
THAP2	204.07	143.01	102.25	124.37	22.43	30.12	24.28	29.7	36.01	35.25	9.41	47.17	37.85	0.0	102.97	66.18	133.36	144.01	127.0	44.89	93.35	109.66	55.1	69.52	82.87	57.89	83.45	74.06	153.34	88.88	102.97	70.01	57.89	66.65	76.71	105.89	65.26	59.97	53.57	61.68	62.56	92.05	67.12	68.07
TIAL1	2417.67	1963.57	1883.54	1794.29	848.22	698.41	454.09	836.53	764.36	753.83	563.18	567.1	507.46	0.0	1216.75	1073.91	1781.89	2061.24	1844.76	915.51	1477.58	1487.87	1498.22	1183.45	1369.04	1268.46	1498.22	1369.04	1745.2	934.76	1745.2	988.12	1208.34	1304.15	1417.35	1437.15	1199.98	1051.79	967.76	825.0	1225.22	1023.0	1073.91	890.44
TRMT13	620.67	500.46	376.41	483.38	71.0	77.25	11.55	57.08	46.5	80.01	80.57	28.24	33.54	0.0	197.09	113.56	305.55	265.87	285.03	105.15	224.97	258.57	193.01	130.6	220.32	189.02	241.19	194.36	237.86	138.1	299.25	110.43	185.11	185.11	177.53	224.97	152.28	99.43	143.01	172.65	195.72	112.77	143.01	92.7
TRMT61B	532.74	511.0	336.79	403.5	177.53	236.21	123.5	152.28	122.64	187.71	198.47	56.28	96.01	0.0	343.89	237.86	341.51	444.72	400.71	223.41	420.68	389.72	381.68	435.55	376.41	226.54	329.84	323.03	555.41	271.48	435.55	265.87	318.57	341.51	339.14	277.2	271.48	193.01	320.8	242.88	323.03	271.48	255.0	323.03
TTC9C	708.18	813.63	669.92	902.89	221.86	277.2	260.38	258.57	242.88	299.25	244.57	187.71	171.45	0.0	567.1	616.37	638.15	620.67	591.22	476.71	595.34	435.55	358.54	525.39	536.45	417.77	555.41	599.49	651.58	532.74	555.41	395.18	460.44	540.19	559.28	733.19	392.44	395.18	486.75	450.94	536.45	518.15	432.53	387.02
UBE3D	124.37	92.05	73.54	101.54	21.78	24.63	28.45	17.77	19.39	31.22	10.39	8.85	20.11	0.0	79.45	27.44	59.13	83.45	59.97	41.81	96.68	41.22	37.85	58.71	44.89	32.36	62.12	50.63	57.49	45.21	66.18	45.21	28.24	64.8	45.85	32.13	55.49	24.28	24.28	31.0	27.05	45.21	34.02	33.06
WDR5B	221.86	204.07	220.32	202.66	36.79	43.63	33.78	40.93	29.91	45.53	25.54	25.91	19.39	0.0	86.43	127.0	164.42	175.07	208.38	86.43	186.4	138.1	116.78	124.37	118.43	128.79	156.59	111.99	127.0	102.97	153.34	65.26	130.6	108.9	129.69	146.03	109.66	63.89	97.36	104.42	126.12	110.43	89.51	86.43
XPA	525.39	753.83	603.67	579.04	223.41	351.14	187.71	249.73	199.85	255.0	264.03	176.29	127.89	0.0	429.54	312.0	497.0	603.67	429.54	435.55	536.45	536.45	460.44	441.64	543.96	406.31	483.38	376.41	454.09	343.89	500.46	420.68	397.93	532.74	536.45	423.61	432.53	339.14	356.05	293.07	403.5	417.77	412.0	358.54
ZBTB26	255.0	205.5	208.38	180.02	13.93	9.7	8.85	17.51	15.56	17.13	14.56	9.93	6.06	0.0	94.67	89.51	127.0	146.03	162.14	65.72	117.6	108.9	106.63	95.34	107.38	78.89	135.24	118.43	136.19	85.82	146.03	72.01	100.13	100.13	116.78	138.1	107.38	91.41	81.14	75.64	155.5	76.71	60.82	57.08
ZNF182	140.04	191.67	181.28	181.28	30.34	28.45	8.71	36.27	27.64	31.22	37.32	28.04	23.76	0.0	67.59	56.28	99.43	152.28	100.13	57.89	108.9	76.71	72.01	70.51	81.71	58.3	99.43	79.45	57.49	54.72	79.45	52.82	68.55	75.11	86.43	93.35	50.27	53.57	53.19	53.57	84.63	68.55	70.51	50.27
ZNF2	74.06	91.41	133.36	127.0	22.1	18.03	9.13	17.13	25.72	20.41	17.64	24.11	12.18	31.22	60.82	48.18	56.68	75.11	72.01	50.27	61.68	52.08	44.25	55.1	52.08	43.94	59.97	54.72	45.85	44.57	52.82	40.07	57.08	50.63	53.95	69.52	41.22	39.22	45.85	63.0	62.12	48.87	39.22	59.97
ZNF280D	1331.57	1286.18	860.08	1001.93	262.2	220.32	148.09	244.57	194.36	258.57	138.1	149.12	111.99	0.0	389.72	426.57	518.15	684.02	587.13	312.0	476.71	497.0	447.82	414.87	525.39	432.53	571.05	529.06	435.55	316.37	583.07	273.37	426.57	423.61	503.95	454.09	379.04	281.09	351.14	389.72	403.5	356.05	409.15	323.03
ZNF443	135.24	191.67	180.02	129.69	27.25	29.91	7.82	28.65	25.35	19.39	36.01	10.47	43.02	0.0	71.5	73.54	108.14	148.09	134.3	61.68	67.59	66.18	82.29	56.68	68.55	40.93	70.51	85.82	85.82	75.64	85.22	55.1	59.55	56.28	82.29	97.36	58.71	33.3	49.91	70.51	72.52	70.51	57.08	54.33
ZNF558	454.09	620.67	490.14	376.41	88.26	82.87	33.3	84.04	68.55	71.5	73.54	36.53	48.18	0.0	193.01	171.45	303.44	368.65	371.22	167.9	363.56	265.87	224.97	171.45	291.04	197.09	277.2	309.83	269.6	171.45	289.02	150.17	236.21	277.2	212.78	316.37	161.02	183.82	185.11	169.07	256.78	205.5	195.72	161.02
ZNF607	136.19	231.32	199.85	152.28	4.5	6.46	2.03	9.78	2.16	4.13	19.68	0.39	3.2	0.0	73.03	98.04	86.43	82.87	114.36	63.0	88.26	106.63	56.28	79.45	84.04	69.03	90.77	103.69	65.72	80.01	68.55	60.39	86.43	76.71	88.88	91.41	52.45	35.25	53.95	67.12	70.01	93.35	84.63	53.19
ZNF681	90.77	111.99	117.6	90.14	0.6	0.58	0.56	5.11	0.6	1.16	1.0	0.0	0.0	0.0	27.44	26.1	34.02	44.89	74.06	22.59	64.8	53.95	18.43	32.13	18.7	22.26	32.82	43.94	47.84	20.41	42.71	10.71	31.0	23.76	30.56	29.27	20.11	13.52	17.38	16.75	26.1	15.68	14.03	18.43
ZNF738	170.25	312.0	226.54	135.24	12.09	5.32	6.67	8.0	0.0	5.82	11.13	3.03	5.68	177.53	100.83	105.15	108.14	205.5	206.94	71.5	158.79	62.56	103.69	95.34	112.77	140.04	111.21	91.41	122.64	85.82	151.22	57.08	98.73	115.97	114.36	104.42	63.45	68.55	88.88	96.68	100.13	81.71	68.07	44.89
ZNF799	167.9	187.71	381.68	176.29	39.5	36.53	17.51	37.05	45.21	27.05	58.3	22.1	56.68	0.0	87.65	84.04	99.43	132.44	118.43	74.06	58.71	81.71	90.77	76.71	58.3	59.97	75.11	98.04	118.43	62.56	135.24	74.06	68.07	65.72	87.03	88.88	65.72	64.34	56.68	67.59	98.04	70.51	48.52	63.45
