	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.P4QT.1426.SM.3NMCX	GTEX.147F3.1926.SM.5SIB9	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.13S86.1626.SM.5Q5C5	GTEX.ZYWO.1626.SM.5E44H	GTEX.1211K.1726.SM.5FQUJ	GTEX.132AR.2726.SM.5PNVN	GTEX.11EM3.1526.SM.5A5KN	GTEX.139YR.2126.SM.5KM11	GTEX.S4UY.0826.SM.4AD4Z	GTEX.11DXZ.1726.SM.5H12M	GTEX.WOFM.2026.SM.4OOSQ	GTEX.QCQG.1626.SM.48U26	GTEX.PX3G.1426.SM.48U1J	GTEX.ZT9W.1826.SM.51MQX	GTEX.ZYW4.1626.SM.5GIE6	GTEX.148VI.1226.SM.5RQJR	GTEX.12696.1526.SM.5EGL6	GTEX.ZAB4.1226.SM.5CVN5	TCGA.CN.4726.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.12KS4.1326.SM.5LUB3	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.2426.SM.4BRV8
C7orf55-LUC7L2	1359.57	813.63	723.08	1001.93	981.29	1417.35	674.59	1191.69	1685.71	1175.27	860.08	684.02	854.13	708.18	764.36	1977.24	928.3	961.07	753.83	995.0	1242.34	1447.15	1151.06	1216.75	902.89	2075.59	2664.15	1950.0	1628.26	629.35	669.92	417.77	376.41	532.74	454.09	656.11	351.14	1044.52	214.27	511.0
CCDC84	507.46	209.84	236.21	366.09	397.93	579.04	189.02	301.33	547.75	400.71	289.02	346.29	228.13	162.14	191.67	514.56	150.17	246.28	186.4	400.71	368.65	348.71	273.37	403.5	507.46	1572.76	1651.0	1832.01	1674.06	110.43	64.8	297.17	108.14	232.94	221.86	400.71	126.12	0.0	1.14	82.29
CCT6B	57.49	4.82	3.41	16.39	31.0	38.95	5.32	37.32	57.89	49.91	10.79	19.53	9.41	3.79	8.65	43.32	1.5	35.5	14.24	27.84	36.79	46.5	29.06	30.56	28.65	102.25	105.89	139.07	75.64	12.83	6.89	88.88	126.12	81.71	17.9	55.49	8.0	0.0	0.0	7.06
CEP95	723.08	420.68	325.29	447.82	429.54	780.44	429.54	532.74	791.35	775.05	314.17	387.02	403.5	258.57	307.69	848.22	316.37	575.03	361.04	521.76	497.0	638.15	567.1	547.75	563.18	1457.23	1159.07	1051.79	1477.58	116.78	164.42	277.2	103.69	151.22	237.86	173.85	121.79	0.0	0.78	164.42
CIRBP	5954.47	3982.99	2976.74	3982.99	4607.24	6250.56	2434.5	4268.94	7130.55	5555.65	5041.77	3257.52	2319.15	2319.15	3168.41	7382.04	1909.85	4937.99	2816.11	4736.79	5751.61	6337.83	5183.54	7642.41	4010.71	16157.44	16045.82	15934.98	13306.94	1697.45	1697.45	2502.97	2485.67	3235.01	2384.37	3235.01	1073.91	0.0	0.75	1268.46
CNBD2	5.15	2.16	0.59	0.66	2.12	1.43	2.07	1.97	3.38	4.13	0.0	0.72	1.64	1.62	0.65	2.56	0.0	4.28	0.0	3.69	1.58	3.99	4.7	5.45	1.57	3.2	7.63	2.01	3.0	1.16	0.0	4.28	0.91	1.75	0.65	3.38	1.14	0.0	0.0	0.51
CORO7	830.75	543.96	665.29	780.44	878.17	808.0	463.65	665.29	866.07	836.53	624.99	559.28	656.11	332.14	567.1	872.1	307.69	819.3	563.18	819.3	733.19	947.83	775.05	819.3	723.08	1151.06	995.0	974.5	854.13	389.72	363.56	309.83	111.21	159.9	273.37	260.38	152.28	0.0	0.83	432.53
CXorf40B	1199.98	624.99	656.11	642.59	915.51	848.22	543.96	954.43	1477.58	866.07	780.44	866.07	536.45	529.06	620.67	1135.2	591.22	866.07	607.87	866.07	1001.93	988.12	708.18	954.43	921.88	1037.29	981.29	1208.34	620.67	703.28	429.54	693.58	571.05	403.5	507.46	669.92	473.41	0.0	0.77	417.77
DHRS12	603.67	195.72	234.57	295.11	518.15	555.41	206.94	432.53	575.03	665.29	223.41	447.82	195.72	142.01	125.24	518.15	55.1	420.68	237.86	559.28	450.94	514.56	457.25	547.75	423.61	616.37	500.46	674.59	785.88	277.2	98.04	1628.26	575.03	1008.9	500.46	860.08	229.72	0.0	0.3	94.67
DMRTC1B	12.64	6.52	5.36	7.82	4.7	17.25	12.36	0.99	5.02	39.22	3.92	0.36	8.06	2.61	0.03	14.24	0.28	1.22	3.11	6.57	5.92	19.11	15.8	25.35	8.85	15.45	84.63	82.87	22.43	2.68	1.01	0.0	3.2	2.53	0.0	4.62	1.89	0.0	0.0	3.29
DMTN	941.27	743.43	555.41	947.83	1286.18	543.96	575.03	638.15	1066.48	1030.12	688.78	279.14	688.78	1111.82	381.68	718.08	379.04	571.05	934.76	802.41	934.76	748.61	1066.48	1529.73	624.99	1923.14	1806.78	2004.85	1277.29	14.45	497.0	193.01	480.04	25.91	571.05	764.36	1088.92	0.0	0.57	58.71
DNTTIP1	733.19	612.11	866.07	743.43	1059.11	1066.48	559.28	473.41	934.76	1781.89	890.44	507.46	473.41	629.35	483.38	878.17	503.95	1340.84	703.28	947.83	514.56	1832.01	1096.5	567.1	1088.92	796.86	825.0	1096.5	718.08	529.06	511.0	567.1	656.11	371.22	669.92	575.03	423.61	0.0	0.85	480.04
ERMN	42.71	5.54	7.63	9.85	19.53	36.01	2.32	33.06	34.75	14.45	6.89	4.5	14.67	1.19	3.66	25.17	3.35	34.26	9.2	11.04	12.93	34.02	13.32	24.99	29.7	9.78	13.22	13.72	17.64	1.17	0.72	12.36	0.59	5.96	0.28	0.0	0.11	0.0	0.39	0.32
FABP1	614902.29	925580.18	2011721.67	726195.27	1085552.95	453265.5	925580.18	1412675.8	370726.6	389157.95	1070607.81	1070607.81	851707.37	919186.72	1155430.26	258533.99	951601.81	1078054.48	1019901.63	736332.6	1093103.58	741454.2	706337.4	336441.4	1273174.62	49.21	59.55	2.66	15.22	14.89	0.0	2599854.48	2201414.44	2845004.48	311742.51	5420519.65	623486.02	0.0	0.0	3.0
FAM209B	16.88	3.82	6.06	6.73	4.9	7.82	6.16	4.86	10.96	13.93	0.67	7.17	5.15	0.0	4.9	6.84	4.86	8.99	3.69	7.22	12.09	4.58	7.22	7.51	11.55	9.85	35.25	37.05	8.06	3.47	0.0	8.06	1.3	5.82	3.69	2.2	1.36	0.0	0.39	3.69
GPR150	9.41	5.96	6.78	8.71	11.38	28.24	3.41	7.0	23.25	29.27	4.5	7.63	5.11	0.0	5.41	16.75	2.27	18.03	5.77	16.75	13.12	25.91	30.12	15.34	6.62	7.75	17.77	7.0	16.39	0.96	0.96	0.05	2.94	0.93	0.0	0.0	0.0	0.0	0.02	1.64
GRM2	4.46	0.54	0.0	0.04	0.67	8.78	0.34	1.5	4.21	6.31	1.68	1.58	0.75	1.03	0.99	7.75	0.0	6.06	0.0	2.43	1.36	6.26	3.2	6.36	2.53	8.65	48.87	33.78	8.78	0.54	2.25	3.66	0.25	0.3	0.33	1.71	0.01	0.0	0.23	3.66
GTF2IRD2	409.15	180.02	171.45	255.0	376.41	444.72	112.77	226.54	450.94	339.14	206.94	206.94	82.87	195.72	152.28	426.57	125.24	373.81	214.27	366.09	429.54	305.55	493.56	457.25	327.56	723.08	753.83	1081.39	1081.39	47.84	111.99	409.15	141.02	339.14	229.72	429.54	251.48	0.0	0.39	42.41
HESX1	22.92	11.21	5.77	9.2	8.78	34.75	14.78	5.77	28.86	16.63	19.11	8.13	11.04	1.6	6.67	36.01	3.47	21.16	18.16	16.15	27.44	30.12	20.71	37.05	10.63	33.54	41.52	30.78	75.64	5.82	4.66	50.27	17.9	63.0	15.91	43.63	4.98	0.0	0.16	5.92
HGSNAT	743.43	348.71	151.22	503.95	624.99	896.64	358.54	624.99	967.76	974.5	466.88	325.29	363.56	138.1	363.56	1081.39	156.59	591.22	356.05	842.36	808.0	688.78	633.73	995.0	483.38	2004.85	2502.97	2319.15	1651.0	209.84	536.45	480.04	164.42	318.57	171.45	316.37	185.11	0.0	0.77	124.37
HYKK	124.37	76.17	82.87	84.63	181.28	70.01	36.01	102.25	124.37	120.1	141.02	51.71	87.03	43.32	47.17	90.14	26.67	114.36	57.89	93.35	55.89	95.34	128.79	158.79	60.82	193.01	217.27	214.27	138.1	52.45	13.52	237.86	150.17	73.54	38.12	169.07	47.84	0.0	0.18	35.76
KANSL3	547.75	429.54	211.31	435.55	543.96	612.11	384.34	426.57	603.67	624.99	320.8	314.17	460.44	389.72	341.51	624.99	303.44	395.18	417.77	493.56	555.41	529.06	536.45	607.87	412.0	928.3	1015.93	902.89	1023.0	155.5	253.23	135.24	108.9	156.59	181.28	215.77	155.5	343.89	228.13	131.51
KCNH8	8.0	4.03	1.5	4.39	7.82	8.65	2.07	8.92	20.11	11.55	6.36	2.63	6.57	3.32	1.95	16.51	1.04	9.7	5.28	8.92	8.32	15.34	11.64	25.91	5.87	50.27	54.33	29.7	46.5	0.0	0.0	9.27	0.0	3.0	0.04	6.26	3.76	0.0	0.21	0.0
L3HYPDH	312.0	153.34	39.79	224.97	183.82	356.05	84.04	251.48	403.5	633.73	197.09	41.81	175.07	122.64	127.0	316.37	82.29	85.82	113.56	214.27	351.14	400.71	299.25	373.81	218.79	830.75	921.88	708.18	688.78	241.19	108.9	190.34	563.18	417.77	267.73	205.5	87.65	0.0	0.91	39.22
LRRC39	13.12	4.7	1.36	4.46	12.93	22.59	2.41	9.41	14.89	19.68	7.82	8.85	1.69	5.06	3.79	25.17	2.27	11.13	3.59	12.36	6.01	15.0	8.51	10.08	17.38	65.72	111.21	132.44	84.04	9.85	9.13	15.11	1.08	7.11	1.79	12.09	5.68	0.0	0.56	212.78
LY6G5B	221.86	108.9	70.51	148.09	153.34	242.88	73.03	137.14	295.11	248.0	130.6	47.84	67.59	77.25	65.72	320.8	56.68	234.57	93.35	162.14	223.41	251.48	156.59	178.77	185.11	1250.98	1674.06	967.76	679.29	2.61	25.54	40.36	17.64	27.25	36.27	28.45	17.13	0.0	1.23	9.27
MATN2	718.08	825.0	567.1	708.18	2384.37	2148.82	1295.13	1175.27	928.3	1369.04	836.53	301.33	1697.45	591.22	389.72	890.44	642.59	1268.46	2255.7	1008.9	785.88	698.41	1295.13	1540.37	241.19	866.07	2351.53	1540.37	2163.77	262.2	151.22	1199.98	277.2	156.59	432.53	392.44	679.29	0.0	0.39	202.66
MTA1	1322.37	954.43	518.15	848.22	808.0	1066.48	688.78	764.36	1467.37	1104.13	909.17	529.06	647.07	575.03	599.49	1340.84	218.79	796.86	638.15	981.29	902.89	1066.48	961.07	1331.57	684.02	3018.3	2502.97	2720.15	2287.2	253.23	511.0	423.61	241.19	503.95	356.05	521.76	379.04	0.0	1.33	444.72
NDUFAF5	775.05	403.5	389.72	521.76	555.41	555.41	265.87	521.76	1073.91	1059.11	493.56	341.51	373.81	463.65	348.71	679.29	318.57	813.63	447.82	403.5	603.67	575.03	603.67	486.75	599.49	854.13	708.18	638.15	703.28	283.05	226.54	351.14	389.72	291.04	264.03	480.04	291.04	0.0	0.6	353.59
NSMCE4A	1662.49	791.35	759.08	1127.35	1529.73	1769.57	665.29	1104.13	1529.73	1540.37	961.07	967.76	902.89	928.3	791.35	1605.83	483.38	866.07	1001.93	1044.52	1806.78	1059.11	1378.57	1674.06	1081.39	3235.01	3257.52	2701.35	2682.69	540.19	149.12	947.83	536.45	878.17	591.22	728.11	429.54	0.0	0.74	251.48
OCRL	567.1	339.14	237.86	406.31	463.65	414.87	264.03	616.37	591.22	679.29	356.05	258.57	358.54	309.83	417.77	583.07	334.46	514.56	387.02	470.14	511.0	358.54	435.55	507.46	457.25	1081.39	860.08	1023.0	748.61	244.57	172.65	147.06	77.79	74.58	59.13	112.77	54.72	0.0	0.74	237.86
OR1L8	0.0	0.89	0.58	1.31	3.03	3.11	0.85	2.94	0.77	3.66	1.25	0.0	0.0	1.01	0.65	3.14	0.0	0.69	0.0	0.89	2.36	2.32	0.95	4.31	1.46	13.12	5.41	12.09	8.13	0.0	0.56	1.25	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.03
ORMDL1	1304.15	647.07	559.28	1051.79	1250.98	1551.09	607.87	1259.69	1561.89	1628.26	836.53	769.69	842.36	638.15	718.08	1870.53	563.18	915.51	743.43	1096.5	1233.75	1369.04	1191.69	1199.98	1175.27	1467.37	2119.22	2047.0	1896.65	426.57	325.29	493.56	607.87	547.75	660.68	679.29	532.74	0.0	0.38	223.41
OSGEP	1088.92	698.41	693.58	842.36	830.75	1051.79	579.04	890.44	1066.48	909.17	995.0	521.76	769.69	463.65	483.38	1127.35	460.44	723.08	532.74	884.29	1015.93	890.44	884.29	988.12	743.43	896.64	1359.57	1313.23	915.51	260.38	220.32	563.18	356.05	320.8	341.51	620.67	236.21	0.0	0.65	158.79
PAGE2B	8.65	4.78	1.35	4.74	2.51	4.03	0.0	0.0	8.06	5.06	1.23	0.0	0.0	0.0	0.0	5.63	0.0	2.07	2.07	4.21	6.01	3.14	6.73	4.82	5.06	7.75	0.0	3.59	13.42	0.0	0.0	4.7	0.37	2.1	1.57	0.84	0.0	0.0	0.27	0.0
PHF7	336.79	171.45	155.5	305.55	339.14	426.57	169.07	255.0	514.56	444.72	186.4	241.19	190.34	87.65	158.79	500.46	127.89	348.71	195.72	325.29	371.22	373.81	412.0	309.83	301.33	267.73	389.72	239.52	264.03	71.5	47.84	253.23	65.72	163.28	48.87	157.68	87.65	0.0	0.15	36.53
PIGL	563.18	258.57	211.31	285.03	575.03	511.0	232.94	414.87	698.41	743.43	358.54	303.44	281.09	221.86	363.56	854.13	206.94	397.93	343.89	460.44	620.67	529.06	366.09	713.11	441.64	1447.15	1250.98	961.07	988.12	166.73	158.79	193.01	126.12	221.86	137.14	242.88	181.28	0.0	0.53	43.02
RCOR3	373.81	395.18	190.34	486.75	450.94	575.03	301.33	447.82	563.18	718.08	291.04	260.38	358.54	251.48	400.71	796.86	275.28	373.81	432.53	426.57	575.03	612.11	466.88	638.15	409.15	1183.45	1216.75	1277.29	1008.9	253.23	244.57	273.37	121.79	143.01	123.5	260.38	220.32	429.54	642.59	155.5
REXO1	813.63	647.07	642.59	599.49	733.19	909.17	595.34	616.37	988.12	988.12	543.96	441.64	409.15	647.07	559.28	981.29	559.28	981.29	575.03	638.15	684.02	860.08	684.02	559.28	759.08	802.41	928.3	769.69	629.35	90.14	444.72	281.09	131.51	248.0	260.38	255.0	242.88	753.83	208.38	403.5
RNASE13	5.5	0.33	2.76	1.95	1.55	2.56	0.0	3.32	3.89	2.73	1.68	1.89	1.28	0.0	0.32	3.14	0.54	5.28	0.32	1.2	1.99	6.21	3.76	2.63	2.56	1.43	5.32	4.03	5.54	0.0	0.0	4.82	1.11	4.13	0.54	1.01	0.0	0.0	0.14	0.0
RP11-1105G2.3	67.59	9.78	17.0	21.63	35.5	64.8	6.16	6.94	36.01	58.3	15.56	7.82	14.24	7.46	4.54	79.45	6.94	27.64	14.14	18.7	26.28	37.05	9.48	17.51	27.05	96.68	50.98	23.08	38.67	1.5	1.06	12.0	5.19	9.48	5.23	9.41	1.33	0.0	0.52	3.23
RSPH4A	7.4	2.71	0.95	4.43	6.21	7.06	3.03	4.66	10.08	10.96	2.76	2.14	1.43	0.29	2.86	7.17	1.95	4.7	1.95	4.5	5.68	3.99	6.52	4.66	12.27	14.89	38.4	40.07	8.78	0.0	0.49	3.32	0.95	0.1	1.36	2.92	0.71	0.0	0.0	0.53
SPATA20	2209.26	1015.93	1167.14	1044.52	1936.53	1350.18	1081.39	1088.92	2537.92	1896.65	1529.73	1447.15	1199.98	780.44	1015.93	1977.24	808.0	1259.69	1015.93	1697.45	1909.85	2018.8	1427.22	1870.53	1268.46	1883.54	2335.28	2417.67	2119.22	105.89	195.72	988.12	392.44	1242.34	423.61	1233.75	432.53	0.0	0.61	217.27
SPG7	2090.03	1023.0	1175.27	1447.15	1819.35	1721.16	981.29	1487.87	2090.03	1697.45	1331.57	1447.15	1081.39	902.89	1191.69	2468.49	674.59	1073.91	1183.45	1331.57	1757.34	1457.23	1923.14	1594.73	2335.28	2485.67	3794.3	3124.78	2502.97	633.73	444.72	1037.29	536.45	1259.69	775.05	1051.79	703.28	0.0	0.95	438.59
TBRG1	607.87	463.65	392.44	559.28	669.92	688.78	460.44	490.14	728.11	718.08	480.04	575.03	429.54	450.94	466.88	703.28	376.41	480.04	540.19	532.74	684.02	540.19	543.96	603.67	612.11	1295.13	1208.34	1529.73	981.29	323.03	185.11	348.71	285.03	406.31	316.37	329.84	318.57	329.84	118.43	279.14
TMEM89	28.65	3.35	6.31	4.78	13.12	9.78	0.0	11.04	41.81	33.78	5.5	15.11	1.66	4.06	2.86	35.76	1.95	27.84	0.0	10.31	15.34	23.59	22.43	10.08	20.86	6.78	24.28	12.18	3.66	0.0	0.91	2.32	2.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM66	124.37	59.55	31.0	76.71	75.11	76.71	64.34	72.52	96.68	108.9	60.39	61.68	46.84	20.11	52.08	182.55	48.87	77.25	84.04	136.19	104.42	117.6	145.02	94.01	64.8	149.12	253.23	87.65	143.01	13.42	6.52	32.59	18.03	34.51	30.56	32.13	27.25	0.0	0.51	11.64
TTC32	265.87	155.5	58.71	231.32	212.78	389.72	121.79	217.27	387.02	358.54	149.12	181.28	135.24	73.54	150.17	507.46	114.36	301.33	170.25	289.02	381.68	251.48	409.15	293.07	241.19	753.83	684.02	647.07	791.35	88.26	45.85	368.65	148.09	260.38	107.38	616.37	43.32	0.0	0.48	35.0
TTC34	6.84	1.17	1.73	4.06	5.23	6.06	1.31	5.23	9.2	14.78	3.26	2.16	4.13	1.22	1.95	10.63	1.33	5.02	1.93	5.41	7.46	8.0	8.19	7.0	5.5	25.54	31.45	21.32	15.68	0.64	0.0	0.59	0.0	1.14	0.23	3.96	0.31	0.0	0.25	0.54
ZNF554	94.67	48.18	35.76	77.79	70.51	71.0	49.56	61.25	87.65	108.14	65.72	72.01	37.85	46.18	32.13	81.14	29.48	70.51	37.85	66.18	86.43	82.87	59.55	92.05	59.55	150.17	164.42	166.73	137.14	12.09	25.54	34.26	31.67	38.67	20.86	49.91	43.32	0.0	0.01	11.38
ZNF7	406.31	212.78	154.42	249.73	228.13	392.44	194.36	303.44	409.15	366.09	246.28	204.07	256.78	209.84	187.71	473.41	186.4	334.46	201.25	368.65	368.65	371.22	368.65	412.0	329.84	651.58	808.0	665.29	679.29	289.02	361.04	189.02	118.43	157.68	190.34	241.19	78.89	0.0	0.54	149.12
ZNF747	212.78	164.42	148.09	176.29	177.53	204.07	141.02	181.28	187.71	237.86	161.02	114.36	178.77	105.15	124.37	204.07	157.68	120.1	157.68	214.27	182.55	197.09	206.94	232.94	152.28	260.38	275.28	297.17	221.86	53.95	63.0	148.09	218.79	271.48	153.34	275.28	122.64	0.0	0.21	67.12
