	TCGA.DK.A2I2.01A.11R.A180.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DS.A3LQ.01A.21R.A21T.07	TCGA.VS.A9UU.01A.11R.A42T.07	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.LN.A7HW.01A.22R.A354.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CN.6988.01A.11R.1915.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13CF3.0426.SM.5IJEU	TCGA.33.4589.01A.01R.1443.07	GTEX.12WSL.2126.SM.5GCNG
C1orf147	5.45	4.13	1.22	2.61	43.02	51.71	17.38	10.63	10.0	24.28	5.28	10.0	21.94	10.71	3.35	6.16	7.34	1.79	1.07	0.0	0.0	0.2	4.35	0.0	2.36
C1orf63	651.58	698.41	395.18	1167.14	2451.44	1769.57	1304.15	2417.67	2468.49	1806.78	2384.37	2193.99	2573.36	1651.0	1250.98	2061.24	915.51	665.29	674.59	231.32	92.7	275.28	293.07	150.17	909.17
C7orf26	480.04	229.72	332.14	432.53	775.05	599.49	575.03	688.78	638.15	866.07	642.59	583.07	708.18	555.41	525.39	406.31	159.9	312.0	373.81	339.14	307.69	171.45	429.54	127.89	435.55
C7orf55-LUC7L2	981.29	791.35	1015.93	1059.11	1151.06	1143.1	1628.26	1605.83	1896.65	1175.27	872.1	1628.26	1447.15	1407.55	1350.18	693.58	669.92	878.17	738.29	409.15	358.54	376.41	688.78	271.48	791.35
CCDC130	384.34	309.83	392.44	796.86	1127.35	1225.22	1051.79	1081.39	1519.15	1447.15	988.12	1359.57	1359.57	1119.56	1008.9	470.14	559.28	665.29	381.68	301.33	279.14	180.02	521.76	161.02	500.46
CDK13	339.14	325.29	256.78	334.46	896.64	878.17	417.77	624.99	587.13	775.05	995.0	669.92	825.0	532.74	466.88	603.67	358.54	381.68	384.34	221.86	124.37	165.57	256.78	141.02	463.65
CEP135	40.93	73.03	25.91	48.18	211.31	97.36	88.88	77.25	141.02	142.01	86.43	124.37	122.64	53.19	38.67	49.56	37.59	59.13	52.08	7.88	1.58	8.45	43.32	18.16	59.97
CKAP5	780.44	896.64	607.87	463.65	954.43	981.29	1242.34	1304.15	1167.14	1037.29	1199.98	1127.35	1066.48	934.76	493.56	470.14	420.68	1066.48	454.09	511.0	334.46	476.71	348.71	183.82	435.55
CNOT2	629.35	738.29	872.1	607.87	1135.2	1001.93	934.76	848.22	954.43	1143.1	1208.34	1233.75	1066.48	1111.82	796.86	808.0	713.11	669.92	500.46	318.57	260.38	400.71	486.75	483.38	665.29
DCAF17	138.1	94.67	126.12	127.89	287.01	236.21	193.01	232.94	265.87	229.72	170.25	287.01	221.86	175.07	161.02	155.5	59.13	106.63	71.5	40.36	29.27	27.44	80.57	52.45	145.02
DCP1A	120.94	85.22	116.78	133.36	229.72	154.42	153.34	166.73	194.36	269.6	141.02	232.94	255.0	149.12	236.21	112.77	99.43	96.68	56.28	52.08	48.52	32.13	176.29	55.1	139.07
DGKH	24.28	48.18	31.45	57.08	158.79	170.25	255.0	249.73	199.85	251.48	147.06	236.21	236.21	255.0	144.01	79.45	39.22	33.78	44.25	3.2	1.99	2.39	23.42	16.39	70.01
DOCK1	159.9	173.85	234.57	177.53	698.41	426.57	429.54	493.56	525.39	555.41	318.57	713.11	376.41	441.64	503.95	271.48	217.27	329.84	135.24	136.19	140.04	172.65	249.73	130.6	480.04
DYNC1LI2	748.61	785.88	629.35	954.43	1447.15	1127.35	1561.89	1119.56	1225.22	1498.22	909.17	1745.2	1242.34	1066.48	1030.12	941.27	728.11	909.17	500.46	205.5	187.71	193.01	928.3	234.57	1015.93
E2F4	1322.37	1331.57	928.3	1295.13	2255.7	2090.03	2835.7	2303.12	2178.83	2520.38	1605.83	1870.53	2178.83	2502.97	2061.24	1268.46	860.08	1477.58	1605.83	295.11	307.69	400.71	1936.53	780.44	954.43
ELF2	189.02	309.83	323.03	476.71	567.1	490.14	555.41	500.46	651.58	583.07	363.56	480.04	457.25	447.82	423.61	454.09	226.54	320.8	237.86	206.94	125.24	149.12	406.31	157.68	547.75
EP400	95.34	127.0	171.45	130.6	351.14	249.73	265.87	202.66	283.05	297.17	173.85	325.29	249.73	253.23	231.32	164.42	101.54	143.01	110.43	47.5	36.53	38.12	145.02	16.51	182.55
EP400NL	99.43	53.19	126.12	68.07	228.13	166.73	175.07	151.22	191.67	237.86	124.37	281.09	251.48	260.38	126.12	96.01	75.11	134.3	125.24	124.37	83.45	75.64	115.97	43.32	48.18
GATAD2B	117.6	139.07	155.5	198.47	236.21	287.01	226.54	256.78	285.03	287.01	234.57	269.6	246.28	281.09	165.57	150.17	98.04	102.25	98.73	58.3	59.97	39.79	158.79	40.36	171.45
GORASP1	392.44	318.57	325.29	476.71	819.3	718.08	674.59	738.29	723.08	1111.82	669.92	1037.29	1088.92	616.37	974.5	616.37	723.08	536.45	279.14	514.56	463.65	389.72	1001.93	181.28	1001.93
GPALPP1	186.4	186.4	166.73	149.12	251.48	232.94	316.37	312.0	392.44	269.6	194.36	334.46	323.03	260.38	197.09	194.36	100.13	167.9	183.82	126.12	78.89	120.94	146.03	111.99	199.85
GTPBP1	199.85	529.06	473.41	480.04	1030.12	612.11	934.76	647.07	884.29	1008.9	703.28	928.3	878.17	612.11	612.11	529.06	688.78	361.04	214.27	255.0	239.52	165.57	595.34	104.42	579.04
HEATR2	518.15	346.29	185.11	264.03	830.75	703.28	514.56	575.03	607.87	785.88	563.18	514.56	688.78	607.87	423.61	555.41	135.24	441.64	358.54	114.36	189.02	218.79	381.68	241.19	525.39
HEATR6	190.34	137.14	218.79	172.65	295.11	318.57	384.34	400.71	384.34	265.87	255.0	289.02	293.07	293.07	220.32	232.94	147.06	131.51	138.1	38.95	55.1	59.55	149.12	102.25	167.9
HECTD4	248.0	237.86	221.86	265.87	708.18	463.65	444.72	423.61	466.88	571.05	397.93	688.78	642.59	387.02	450.94	297.17	435.55	303.44	239.52	249.73	138.1	116.78	172.65	32.59	281.09
HKR1	78.89	279.14	173.85	208.38	836.53	412.0	497.0	423.61	595.34	738.29	371.22	684.02	438.59	500.46	392.44	314.17	59.13	32.36	197.09	180.02	105.15	57.49	138.1	66.65	258.57
HMGCS1	518.15	693.58	1081.39	1008.9	2417.67	1437.15	3443.31	1487.87	3540.14	3564.78	2468.49	2664.15	4181.07	368.65	3443.31	1757.34	4639.29	1685.71	473.41	723.08	660.68	2209.26	1037.29	348.71	1208.34
HPS4	217.27	299.25	353.59	460.44	660.68	435.55	567.1	591.22	684.02	529.06	403.5	599.49	414.87	476.71	521.76	412.0	493.56	423.61	295.11	172.65	189.02	126.12	232.94	151.22	242.88
IL17D	147.06	21.32	97.36	84.04	426.57	353.59	291.04	376.41	323.03	438.59	215.77	265.87	476.71	316.37	175.07	151.22	57.08	79.45	63.89	7.94	6.21	18.97	120.94	67.12	96.01
INO80	130.6	215.77	236.21	287.01	397.93	400.71	368.65	363.56	400.71	486.75	339.14	432.53	361.04	368.65	353.59	389.72	119.26	229.72	116.78	96.01	80.57	85.82	379.04	51.35	226.54
INO80D	45.53	69.03	24.46	40.64	164.42	104.42	57.89	75.64	109.66	116.78	108.9	120.94	98.73	78.89	84.63	75.11	58.3	34.75	21.94	22.75	8.19	9.2	39.5	9.63	64.8
IPO5	947.83	934.76	444.72	514.56	1199.98	1066.48	1388.16	1143.1	1388.16	1388.16	974.5	1340.84	1313.23	842.36	1191.69	629.35	363.56	830.75	521.76	483.38	351.14	507.46	813.63	457.25	1242.34
ISL2	8.06	27.44	27.84	36.79	175.07	10.79	115.97	120.1	70.51	88.88	5.92	81.14	206.94	144.01	100.83	35.76	6.06	22.59	10.08	0.0	0.0	0.75	15.22	4.58	13.12
KBTBD2	567.1	205.5	339.14	297.17	808.0	819.3	507.46	633.73	669.92	713.11	1008.9	616.37	669.92	521.76	384.34	438.59	231.32	376.41	351.14	226.54	152.28	281.09	571.05	279.14	392.44
KCTD20	223.41	244.57	480.04	264.03	591.22	486.75	651.58	878.17	429.54	633.73	368.65	748.61	713.11	551.56	444.72	346.29	444.72	307.69	229.72	297.17	256.78	507.46	511.0	104.42	420.68
KIAA0907	327.56	316.37	450.94	490.14	1250.98	1167.14	813.63	1135.2	1088.92	1183.45	1397.83	1183.45	1350.18	1023.0	518.15	587.13	327.56	309.83	387.02	113.56	80.57	115.16	157.68	59.13	314.17
KMT2B	43.94	94.01	92.05	120.1	381.68	191.67	185.11	164.42	195.72	228.13	172.65	232.94	208.38	193.01	147.06	144.01	90.14	102.97	59.55	31.22	32.59	16.15	147.06	6.52	116.78
LATS2	87.65	159.9	81.14	37.85	307.69	134.3	232.94	307.69	258.57	334.46	170.25	318.57	305.55	204.07	103.69	155.5	110.43	87.65	59.13	115.97	92.7	154.42	202.66	18.43	187.71
LPGAT1	199.85	265.87	205.5	83.45	1437.15	351.14	356.05	384.34	379.04	540.19	186.4	540.19	490.14	376.41	185.11	139.07	115.16	69.52	98.04	348.71	148.09	748.61	221.86	113.56	228.13
LPIN1	61.25	60.82	232.94	149.12	555.41	629.35	612.11	429.54	559.28	1008.9	295.11	836.53	1331.57	229.72	733.19	248.0	142.01	50.27	43.63	180.02	209.84	92.05	127.89	41.22	743.43
MADD	289.02	185.11	271.48	303.44	1008.9	341.51	540.19	483.38	540.19	684.02	358.54	775.05	616.37	476.71	426.57	271.48	316.37	343.89	129.69	197.09	193.01	111.21	341.51	39.79	457.25
MAP3K3	125.24	131.51	265.87	205.5	293.07	480.04	441.64	361.04	450.94	343.89	234.57	595.34	336.79	297.17	348.71	199.85	165.57	228.13	126.12	92.7	118.43	102.97	429.54	38.67	414.87
MAU2	215.77	341.51	403.5	507.46	941.27	607.87	896.64	921.88	1119.56	1001.93	796.86	1023.0	884.29	890.44	813.63	543.96	514.56	441.64	191.67	173.85	170.25	83.45	420.68	95.34	629.35
MCF2L	43.63	15.45	260.38	190.34	438.59	199.85	353.59	366.09	406.31	460.44	251.48	785.88	915.51	246.28	281.09	59.13	24.28	142.01	67.12	87.03	96.68	56.68	226.54	6.36	493.56
MCM9	71.5	108.9	96.68	83.45	218.79	176.29	248.0	181.28	199.85	228.13	211.31	224.97	177.53	334.46	206.94	136.19	84.63	120.1	68.07	47.5	36.79	47.84	103.69	61.25	149.12
MDM4	133.36	105.89	41.22	161.02	567.1	283.05	206.94	265.87	343.89	361.04	269.6	373.81	237.86	299.25	201.25	186.4	99.43	54.33	124.37	59.97	32.59	20.86	145.02	37.85	166.73
MED20	197.09	241.19	264.03	218.79	363.56	332.14	406.31	529.06	395.18	612.11	215.77	587.13	414.87	403.5	236.21	438.59	183.82	295.11	277.2	103.69	101.54	146.03	221.86	295.11	262.2
MED23	100.13	176.29	171.45	135.24	511.0	287.01	287.01	277.2	387.02	412.0	348.71	483.38	473.41	299.25	246.28	201.25	166.73	155.5	127.0	72.52	74.06	68.07	161.02	127.89	265.87
MRI1	262.2	361.04	395.18	567.1	563.18	651.58	642.59	791.35	775.05	764.36	514.56	563.18	420.68	836.53	796.86	536.45	400.71	567.1	217.27	267.73	151.22	163.28	211.31	151.22	318.57
NEURL2	30.78	34.26	27.84	63.45	460.44	186.4	73.54	56.68	100.13	157.68	68.55	193.01	127.89	99.43	45.21	64.8	13.32	27.25	17.0	76.71	65.72	55.89	60.39	28.04	39.79
NHLRC2	23.25	66.65	58.71	52.08	183.82	110.43	101.54	69.03	109.66	135.24	66.65	130.6	103.69	72.52	65.72	77.25	55.49	62.56	33.78	48.87	34.75	60.82	51.35	54.72	130.6
NRIP2	7.11	2.71	8.85	7.17	37.05	26.67	23.42	15.91	38.12	56.28	22.26	82.87	28.65	26.86	19.53	14.14	2.25	6.67	5.5	4.66	6.78	2.97	25.35	1.55	11.73
NSMF	665.29	825.0	507.46	651.58	836.53	1073.91	1806.78	2351.53	1794.29	2119.22	373.81	1073.91	1617.0	1259.69	2148.82	791.35	293.07	1498.22	423.61	291.04	665.29	201.25	769.69	181.28	674.59
NUP160	363.56	323.03	303.44	214.27	723.08	460.44	514.56	514.56	693.58	629.35	414.87	587.13	547.75	387.02	312.0	249.73	144.01	353.59	141.02	152.28	115.16	269.6	269.6	381.68	275.28
OCLM	5.15	3.86	2.25	8.45	57.08	28.65	13.72	16.39	35.5	42.71	28.45	21.47	30.78	17.13	9.06	15.0	1.97	1.57	3.86	2.66	0.0	0.35	6.21	0.0	2.86
ORC2	241.19	241.19	201.25	208.38	624.99	363.56	547.75	417.77	409.15	555.41	287.01	480.04	543.96	332.14	295.11	251.48	116.78	187.71	100.83	80.57	32.13	52.45	175.07	108.14	217.27
PBX2	884.29	1183.45	728.11	486.75	2875.3	1594.73	1605.83	1651.0	1467.37	1322.37	1331.57	1529.73	1397.83	1331.57	1268.46	665.29	651.58	1030.12	961.07	392.44	346.29	255.0	1340.84	208.38	947.83
PCID2	409.15	493.56	414.87	559.28	902.89	753.83	1008.9	1259.69	1051.79	1096.5	796.86	921.88	1191.69	860.08	854.13	454.09	332.14	1044.52	536.45	400.71	309.83	295.11	679.29	656.11	718.08
PDPR	101.54	58.3	125.24	158.79	444.72	159.9	403.5	301.33	320.8	366.09	75.11	400.71	191.67	234.57	320.8	172.65	42.71	111.99	90.14	38.12	34.51	19.97	167.9	16.39	147.06
PHF19	723.08	1008.9	647.07	1088.92	1225.22	1242.34	1963.57	1923.14	1127.35	1111.82	525.39	1167.14	1540.37	896.64	769.69	447.82	128.79	503.95	371.22	28.86	65.72	201.25	158.79	981.29	289.02
PI3	581732.96	863596.77	450134.56	527933.71	5403.7	1364554.84	443937.41	242898.5	284880.02	682276.92	2864793.06	4802.93	265802.39	3454390.1	5272295.22	531605.79	1903204.61	619179.28	706337.4	3.89	3.76	3.23	2442622.37	97965.44	2326934.84
PKP4	759.08	490.14	703.28	384.34	1540.37	1417.35	1322.37	1417.35	1467.37	1242.34	775.05	1757.34	1388.16	878.17	651.58	860.08	356.05	583.07	447.82	343.89	376.41	373.81	420.68	140.04	947.83
POGZ	246.28	221.86	351.14	454.09	1417.35	974.5	532.74	941.27	1295.13	1388.16	555.41	1378.57	1008.9	934.76	493.56	371.22	297.17	217.27	191.67	175.07	158.79	98.73	256.78	58.3	376.41
POU2F1	124.37	148.09	95.34	52.82	218.79	130.6	150.17	123.5	161.02	205.5	142.01	277.2	239.52	162.14	99.43	74.06	43.02	36.53	66.18	26.67	13.52	23.42	66.65	21.16	55.89
PRDM10	34.02	75.11	47.5	63.45	120.94	54.33	94.01	96.01	102.25	117.6	86.43	96.01	92.7	78.89	84.04	92.05	55.49	59.13	28.04	17.0	14.14	24.28	38.4	22.43	58.3
PROSER1	244.57	392.44	368.65	289.02	579.04	400.71	571.05	624.99	518.15	684.02	447.82	543.96	723.08	381.68	309.83	275.28	291.04	299.25	215.77	46.18	77.25	43.32	376.41	52.08	293.07
PTCD3	563.18	579.04	532.74	532.74	1639.59	1540.37	1143.1	1388.16	1447.15	1781.89	1286.18	1259.69	1540.37	1175.27	860.08	1008.9	363.56	860.08	381.68	454.09	379.04	624.99	444.72	429.54	708.18
PTPN23	228.13	215.77	339.14	366.09	629.35	563.18	543.96	616.37	563.18	688.78	571.05	647.07	708.18	587.13	660.68	400.71	429.54	397.93	312.0	162.14	249.73	169.07	536.45	73.54	559.28
PURB	395.18	262.2	209.84	314.17	460.44	620.67	353.59	426.57	497.0	480.04	555.41	392.44	412.0	392.44	312.0	384.34	307.69	229.72	269.6	92.05	37.32	57.08	205.5	165.57	441.64
QRICH1	476.71	384.34	665.29	796.86	1059.11	981.29	988.12	1030.12	1008.9	1286.18	1151.06	1143.1	1183.45	941.27	1175.27	656.11	723.08	638.15	450.94	318.57	358.54	473.41	909.17	167.9	830.75
RAPGEF5	133.36	96.68	162.14	92.05	728.11	412.0	397.93	307.69	285.03	624.99	866.07	444.72	444.72	204.07	228.13	142.01	118.43	108.9	90.77	54.72	106.63	84.04	267.73	66.18	420.68
RC3H1	64.8	128.79	74.58	99.43	195.72	153.34	132.44	121.79	162.14	177.53	155.5	205.5	171.45	171.45	134.3	127.0	96.01	74.58	56.68	72.01	25.91	56.68	94.01	22.26	265.87
REXO1	432.53	420.68	363.56	470.14	1111.82	921.88	674.59	775.05	842.36	1001.93	728.11	902.89	718.08	934.76	954.43	379.04	371.22	320.8	348.71	295.11	271.48	131.51	420.68	131.51	389.72
RTEL1	71.5	157.68	96.68	231.32	384.34	435.55	348.71	299.25	463.65	733.19	283.05	389.72	693.58	170.25	228.13	177.53	124.37	121.79	171.45	120.1	120.94	76.71	307.69	53.19	194.36
RXRB	400.71	376.41	426.57	540.19	1143.1	921.88	808.0	974.5	1096.5	1044.52	642.59	1350.18	1540.37	872.1	753.83	559.28	289.02	447.82	493.56	417.77	409.15	297.17	532.74	176.29	591.22
SEPN1	651.58	708.18	587.13	392.44	1030.12	638.15	941.27	1135.2	1135.2	848.22	312.0	1407.55	1199.98	703.28	890.44	529.06	412.0	633.73	547.75	136.19	327.56	397.93	1407.55	125.24	1119.56
SFSWAP	376.41	423.61	665.29	497.0	947.83	708.18	802.41	656.11	854.13	915.51	698.41	915.51	796.86	928.3	684.02	493.56	432.53	591.22	547.75	191.67	142.01	104.42	406.31	94.67	438.59
SHPRH	21.01	46.5	74.06	32.13	129.69	86.43	87.03	75.11	108.14	115.16	89.51	133.36	111.99	78.89	76.71	57.49	34.26	54.72	22.43	16.15	5.23	14.45	48.87	11.3	96.68
SKAP2	376.41	237.86	166.73	124.37	909.17	571.05	454.09	532.74	688.78	808.0	909.17	791.35	638.15	271.48	231.32	368.65	181.28	126.12	215.77	37.85	35.25	145.02	500.46	299.25	153.34
SLC7A6OS	212.78	164.42	139.07	223.41	314.17	309.83	395.18	273.37	307.69	318.57	177.53	341.51	281.09	242.88	217.27	197.09	110.43	202.66	162.14	48.18	51.35	49.21	165.57	170.25	117.6
SOD3	291.04	98.73	208.38	73.54	1304.15	351.14	842.36	575.03	723.08	890.44	246.28	4328.55	2148.82	848.22	2047.0	82.29	53.19	209.84	87.03	70.01	197.09	102.25	1685.71	41.52	153.34
STK36	201.25	102.25	181.28	327.56	1286.18	802.41	389.72	819.3	1199.98	1167.14	860.08	934.76	981.29	543.96	406.31	392.44	182.55	258.57	190.34	186.4	107.38	49.91	255.0	53.95	379.04
SUGP1	543.96	620.67	571.05	669.92	633.73	470.14	848.22	769.69	878.17	684.02	698.41	728.11	738.29	974.5	708.18	490.14	563.18	665.29	476.71	514.56	497.0	381.68	500.46	205.5	559.28
TCF7L2	59.13	178.77	154.42	120.1	947.83	334.46	457.25	303.44	500.46	616.37	334.46	579.04	599.49	281.09	182.55	136.19	84.04	187.71	63.0	193.01	178.77	156.59	287.01	98.04	305.55
TGDS	158.79	143.01	64.34	118.43	271.48	185.11	242.88	249.73	305.55	264.03	171.45	221.86	303.44	167.9	170.25	139.07	96.68	134.3	89.51	406.31	98.73	181.28	181.28	159.9	99.43
THUMPD2	226.54	143.01	212.78	146.03	438.59	417.77	287.01	323.03	363.56	343.89	285.03	368.65	521.76	346.29	334.46	232.94	198.47	183.82	217.27	110.43	22.75	74.58	111.99	121.79	139.07
TMEM63A	156.59	454.09	205.5	172.65	1617.0	595.34	620.67	518.15	830.75	1950.0	460.44	2148.82	1733.13	571.05	423.61	314.17	262.2	146.03	105.15	450.94	819.3	218.79	303.44	69.03	587.13
TNRC18	457.25	483.38	438.59	536.45	3372.43	1378.57	1023.0	1397.83	1733.13	4239.45	1111.82	2591.27	2209.26	848.22	941.27	1340.84	353.59	540.19	616.37	242.88	275.28	93.35	748.61	94.67	769.69
TPP2	441.64	497.0	246.28	267.73	616.37	525.39	497.0	607.87	616.37	688.78	571.05	642.59	759.08	444.72	346.29	334.46	412.0	336.79	320.8	348.71	195.72	507.46	291.04	165.57	346.29
TRIM13	283.05	361.04	190.34	256.78	426.57	412.0	525.39	497.0	579.04	414.87	466.88	507.46	457.25	743.43	785.88	248.0	543.96	303.44	265.87	143.01	128.79	167.9	473.41	299.25	483.38
TRIP10	2335.28	2104.58	896.64	1073.91	3768.09	3419.52	3325.99	3325.99	4419.52	6037.61	8718.32	4543.8	4512.4	4010.71	7081.29	2956.17	3564.78	825.0	1561.89	143.01	119.26	120.94	1487.87	529.06	2720.15
TRMT11	262.2	163.28	133.36	120.1	397.93	289.02	285.03	348.71	432.53	559.28	265.87	423.61	476.71	420.68	305.55	170.25	112.77	262.2	169.07	246.28	158.79	228.13	204.07	169.07	231.32
TTC17	579.04	536.45	343.89	432.53	1037.29	733.19	819.3	1199.98	1151.06	921.88	651.58	1088.92	896.64	819.3	708.18	447.82	483.38	381.68	373.81	780.44	371.22	406.31	429.54	264.03	854.13
TUBGCP3	148.09	258.57	157.68	267.73	460.44	358.54	511.0	536.45	591.22	500.46	348.71	497.0	555.41	387.02	312.0	195.72	108.14	253.23	173.85	163.28	155.5	148.09	226.54	89.51	170.25
USP42	110.43	108.9	65.26	77.79	226.54	205.5	153.34	170.25	190.34	271.48	275.28	172.65	209.84	152.28	108.9	132.44	60.82	108.9	82.29	40.36	38.67	23.25	67.12	34.51	103.69
UVSSA	46.5	49.56	29.91	69.52	277.2	140.04	121.79	137.14	146.03	185.11	102.25	169.07	140.04	164.42	173.85	126.12	115.97	70.51	57.08	26.28	15.56	22.1	201.25	16.39	69.03
VMP1	2434.5	3303.0	2664.15	1896.65	8658.09	2739.08	5219.6	6745.86	6745.86	4704.07	10733.74	4937.99	9876.98	5219.6	2367.9	3639.7	5292.48	2682.69	2178.83	1551.09	718.08	1685.71	3018.3	2915.45	2090.03
VPS36	264.03	438.59	111.21	260.38	698.41	759.08	540.19	769.69	665.29	713.11	587.13	780.44	743.43	529.06	441.64	366.09	616.37	293.07	279.14	214.27	180.02	199.85	295.11	246.28	348.71
WIZ	341.51	511.0	808.0	518.15	753.83	713.11	1508.65	1183.45	1073.91	1167.14	825.0	769.69	743.43	974.5	947.83	525.39	426.57	703.28	392.44	246.28	249.73	201.25	518.15	74.58	514.56
XPO4	74.58	121.79	109.66	72.01	218.79	162.14	206.94	191.67	180.02	217.27	111.21	215.77	231.32	181.28	143.01	87.03	54.33	77.79	42.11	33.06	37.32	62.56	131.51	31.67	131.51
ZBTB7A	242.88	559.28	323.03	457.25	759.08	921.88	607.87	679.29	684.02	909.17	928.3	651.58	764.36	674.59	1135.2	733.19	536.45	329.84	255.0	178.77	108.9	141.02	423.61	101.54	463.65
ZC3HAV1L	43.02	36.01	57.89	38.12	141.02	129.69	190.34	234.57	115.16	115.97	40.93	117.6	153.34	159.9	103.69	48.18	12.93	34.02	37.59	1.3	0.0	5.5	19.11	5.54	15.8
ZMIZ2	909.17	536.45	460.44	836.53	2777.33	2148.82	1572.76	1769.57	1963.57	3589.58	3081.75	2609.3	3081.75	1135.2	1225.22	1096.5	1066.48	1104.13	543.96	279.14	332.14	144.01	896.64	182.55	1044.52
ZNF106	82.87	130.6	171.45	193.01	633.73	232.94	543.96	301.33	346.29	435.55	87.65	819.3	281.09	158.79	164.42	281.09	92.7	138.1	88.26	75.11	49.56	100.13	221.86	34.02	450.94
ZNF12	236.21	198.47	140.04	156.59	432.53	417.77	363.56	356.05	403.5	426.57	518.15	387.02	400.71	327.56	265.87	363.56	159.9	108.9	220.32	136.19	55.1	60.82	145.02	165.57	356.05
ZNF248	56.68	46.5	64.8	96.68	348.71	142.01	118.43	150.17	182.55	157.68	67.59	206.94	187.71	87.03	139.07	115.97	41.22	92.7	48.18	33.06	22.43	30.12	67.59	28.24	81.14
ZNF292	58.71	129.69	73.54	60.82	237.86	173.85	155.5	122.64	214.27	255.0	176.29	406.31	201.25	136.19	139.07	125.24	109.66	70.01	53.57	25.54	6.06	16.27	167.9	31.22	169.07
