	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A7CK.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.CV.5439.01A.01R.1686.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.HD.7753.01A.11R.2081.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.QK.A8ZB.01A.11R.A39I.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.5436.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7236.01A.11R.2016.07	TCGA.CQ.A4C6.01A.11R.A24Z.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CN.A6V3.01A.12R.A34R.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.77.8130.01A.11R.2247.07
C9orf64	75.11	228.13	114.36	208.38	201.25	144.01	363.56	201.25	318.57	212.78	186.4	273.37	381.68	239.52	64.34	158.79	102.97	228.13	120.94	57.89	116.78	162.14	281.09	125.24	217.27	229.72	201.25	90.14	98.73	316.37	48.52	198.47	103.69	175.07	120.1	113.56	264.03	91.41	163.28	143.01	103.69	361.04	281.09	220.32	733.19	346.29	116.78	132.44	120.1	301.33	148.09	218.79	214.27	277.2	164.42	163.28	189.02	187.71	119.26	312.0	309.83	147.06	301.33	26.47	69.52	305.55	161.02	161.02	470.14	120.94	105.15	215.77	110.43	155.5
C9orf69	332.14	1950.0	836.53	1628.26	785.88	540.19	819.3	1561.89	1529.73	1359.57	1175.27	1745.2	1378.57	1896.65	651.58	941.27	638.15	1159.07	780.44	525.39	921.88	595.34	1295.13	928.3	921.88	1059.11	1359.57	450.94	733.19	1216.75	591.22	629.35	769.69	842.36	688.78	819.3	1508.65	406.31	728.11	836.53	559.28	909.17	1277.29	808.0	1561.89	1369.04	660.68	638.15	703.28	728.11	808.0	703.28	785.88	1104.13	974.5	703.28	890.44	981.29	825.0	1407.55	1304.15	743.43	1030.12	575.03	563.18	1135.2	1277.29	878.17	1208.34	836.53	1023.0	236.21	248.0	674.59
C9orf78	848.22	2018.8	1733.13	2417.67	1030.12	928.3	2133.97	1870.53	1733.13	2335.28	2240.11	2400.97	2468.49	2417.67	974.5	884.29	1225.22	1259.69	1051.79	954.43	1096.5	988.12	2758.13	1191.69	1561.89	1199.98	1909.85	759.08	1088.92	2047.0	764.36	842.36	1369.04	1304.15	1037.29	1286.18	1369.04	866.07	961.07	1794.29	1594.73	1832.01	1417.35	1286.18	2645.74	2573.36	1199.98	872.1	1561.89	1909.85	941.27	1350.18	1832.01	3794.3	1167.14	1508.65	1175.27	1417.35	896.64	1977.24	2287.2	954.43	1662.49	866.07	902.89	2335.28	1467.37	1151.06	1457.23	1135.2	1286.18	1037.29	559.28	1127.35
C9orf89	688.78	511.0	748.61	1583.71	981.29	346.29	1551.09	1268.46	995.0	1268.46	1963.57	2502.97	1923.14	3742.05	420.68	1023.0	884.29	1331.57	368.65	497.0	563.18	713.11	2303.12	921.88	896.64	583.07	1096.5	457.25	567.1	813.63	493.56	599.49	1037.29	928.3	813.63	543.96	1819.35	529.06	457.25	981.29	796.86	974.5	1001.93	1037.29	2018.8	1313.23	551.56	688.78	1030.12	1369.04	688.78	878.17	1199.98	2075.59	830.75	728.11	703.28	1015.93	642.59	1477.58	1662.49	2133.97	1081.39	1119.56	633.73	1313.23	836.53	866.07	2451.44	624.99	813.63	234.57	426.57	764.36
C9orf91	40.93	255.0	161.02	258.57	208.38	199.85	334.46	97.36	143.01	100.13	127.0	178.77	249.73	242.88	141.02	78.89	139.07	389.72	49.21	60.82	108.9	121.79	303.44	190.34	155.5	132.44	138.1	76.71	75.64	123.5	122.64	144.01	89.51	170.25	123.5	72.52	193.01	137.14	92.7	131.51	86.43	211.31	189.02	149.12	660.68	420.68	84.63	87.03	59.13	265.87	130.6	214.27	316.37	248.0	244.57	242.88	154.42	137.14	161.02	226.54	353.59	181.28	194.36	108.14	87.03	466.88	165.57	128.79	438.59	56.68	84.04	38.4	70.01	118.43
CDK5RAP2	228.13	796.86	679.29	995.0	426.57	412.0	1088.92	848.22	555.41	921.88	728.11	638.15	764.36	698.41	463.65	253.23	329.84	603.67	356.05	241.19	599.49	336.79	941.27	532.74	473.41	438.59	703.28	253.23	503.95	536.45	591.22	273.37	629.35	392.44	414.87	624.99	688.78	291.04	363.56	480.04	587.13	656.11	503.95	525.39	2047.0	974.5	412.0	536.45	575.03	808.0	432.53	457.25	500.46	1883.54	444.72	343.89	409.15	629.35	460.44	819.3	674.59	10014.87	587.13	432.53	473.41	813.63	529.06	518.15	1216.75	371.22	521.76	323.03	470.14	336.79
CDK9	759.08	1745.2	1313.23	1733.13	1359.57	830.75	1963.57	2119.22	1819.35	1697.45	3794.3	3443.31	2976.74	2835.7	1427.22	988.12	1167.14	1639.59	1015.93	967.76	1175.27	651.58	1923.14	1594.73	1388.16	981.29	1551.09	836.53	1183.45	1662.49	1059.11	813.63	1832.01	1794.29	1208.34	896.64	1794.29	1059.11	941.27	1037.29	1023.0	1709.26	1605.83	1208.34	2835.7	2682.69	1242.34	1073.91	1191.69	1594.73	1477.58	1295.13	1350.18	1963.57	1407.55	1350.18	1417.35	1757.34	1304.15	2075.59	2384.37	860.08	2075.59	884.29	1175.27	2271.4	1697.45	1340.84	1757.34	1417.35	1159.07	1066.48	547.75	866.07
CEP78	74.06	441.64	171.45	231.32	173.85	128.79	633.73	323.03	503.95	406.31	208.38	490.14	285.03	339.14	98.73	111.99	115.97	164.42	109.66	85.82	175.07	92.05	201.25	145.02	191.67	221.86	156.59	98.04	90.77	206.94	67.12	125.24	159.9	111.21	120.94	124.37	180.02	78.89	143.01	80.57	134.3	229.72	211.31	154.42	457.25	212.78	88.88	141.02	129.69	239.52	96.01	212.78	190.34	197.09	112.77	125.24	164.42	92.7	123.5	277.2	277.2	154.42	165.57	82.87	75.64	226.54	173.85	171.45	497.0	152.28	102.97	51.35	47.84	127.0
CIZ1	848.22	2895.31	2047.0	3540.14	1519.15	884.29	2935.74	2682.69	1909.85	2434.5	2895.31	3955.48	4038.61	3235.01	1350.18	651.58	1407.55	1498.22	1199.98	1096.5	1508.65	1073.91	2451.44	1733.13	1745.2	1963.57	2303.12	961.07	1233.75	2163.77	961.07	1457.23	1304.15	1457.23	2004.85	1508.65	1883.54	995.0	1350.18	1572.76	1268.46	2855.44	2271.4	1794.29	2777.33	3060.45	1407.55	1127.35	1617.0	2520.38	1674.06	1350.18	1388.16	2004.85	1268.46	1286.18	1378.57	2148.82	981.29	1991.0	2271.4	1498.22	1639.59	1259.69	1073.91	2591.27	1208.34	1427.22	2485.67	1242.34	1286.18	480.04	529.06	1159.07
CKS2	1277.29	5255.91	2935.74	5672.41	2976.74	1991.0	7382.04	3564.78	3639.7	4038.61	4152.18	12676.65	6294.04	23986.58	748.61	1331.57	2351.53	2148.82	819.3	1008.9	1909.85	2224.63	2997.45	1551.09	4066.71	2875.3	5076.84	1477.58	1127.35	2537.92	438.59	1417.35	1794.29	1437.15	1378.57	1127.35	3443.31	791.35	961.07	1378.57	2090.03	2367.9	4575.41	2609.3	8247.98	2895.31	909.17	1685.71	2004.85	4972.34	1304.15	2178.83	3742.05	4181.07	1167.14	1806.78	2047.0	1794.29	1844.76	2537.92	3443.31	2090.03	2148.82	1844.76	733.19	3716.2	1844.76	3742.05	6792.79	1427.22	1977.24	368.65	813.63	1081.39
CNTRL	68.07	177.53	128.79	125.24	123.5	74.06	301.33	212.78	239.52	281.09	162.14	438.59	318.57	236.21	105.15	28.45	77.79	172.65	36.01	50.63	85.82	53.57	175.07	104.42	143.01	138.1	177.53	81.71	56.28	140.04	42.11	88.26	106.63	102.25	69.03	58.71	171.45	64.34	57.49	68.55	77.25	176.29	121.79	146.03	441.64	178.77	73.03	82.87	85.82	232.94	39.5	150.17	164.42	217.27	74.06	129.69	122.64	132.44	107.38	166.73	214.27	92.7	156.59	39.5	35.0	223.41	85.82	100.83	329.84	104.42	63.89	29.27	43.02	74.58
DAB2IP	351.14	447.82	638.15	791.35	316.37	262.2	1081.39	1030.12	896.64	802.41	1096.5	947.83	1857.6	947.83	287.01	239.52	543.96	1159.07	674.59	289.02	587.13	409.15	1437.15	426.57	738.29	647.07	389.72	397.93	483.38	947.83	575.03	480.04	1674.06	1250.98	723.08	647.07	947.83	285.03	540.19	723.08	281.09	878.17	934.76	432.53	2047.0	2004.85	450.94	708.18	379.04	1417.35	540.19	642.59	830.75	1286.18	802.41	660.68	759.08	941.27	713.11	1519.15	1350.18	1242.34	1268.46	429.54	825.0	1001.93	229.72	764.36	1628.26	674.59	224.97	144.01	181.28	406.31
DDX31	76.71	334.46	201.25	327.56	155.5	122.64	299.25	248.0	234.57	249.73	214.27	420.68	348.71	348.71	193.01	105.89	166.73	217.27	136.19	137.14	221.86	100.83	246.28	142.01	166.73	224.97	253.23	105.89	167.9	265.87	117.6	114.36	185.11	150.17	189.02	155.5	258.57	125.24	122.64	173.85	204.07	269.6	312.0	232.94	514.56	423.61	109.66	152.28	197.09	283.05	129.69	151.22	191.67	256.78	144.01	221.86	146.03	199.85	144.01	307.69	356.05	119.26	277.2	103.69	92.7	323.03	191.67	197.09	334.46	183.82	211.31	121.79	106.63	86.43
DENND1A	79.45	1111.82	163.28	872.1	406.31	39.79	318.57	281.09	312.0	218.79	389.72	607.87	547.75	400.71	244.57	131.51	271.48	285.03	412.0	191.67	463.65	189.02	450.94	486.75	249.73	447.82	346.29	132.44	301.33	514.56	208.38	305.55	316.37	486.75	406.31	356.05	432.53	176.29	229.72	260.38	748.61	688.78	400.71	218.79	674.59	450.94	400.71	356.05	244.57	642.59	314.17	384.34	457.25	441.64	239.52	341.51	536.45	339.14	384.34	389.72	397.93	291.04	314.17	201.25	307.69	457.25	432.53	429.54	698.41	198.47	371.22	194.36	139.07	237.86
DOLPP1	220.32	603.67	460.44	775.05	376.41	409.15	595.34	693.58	587.13	698.41	612.11	988.12	1104.13	1111.82	277.2	334.46	363.56	435.55	283.05	195.72	490.14	241.19	1096.5	339.14	423.61	351.14	674.59	287.01	450.94	796.86	217.27	273.37	567.1	307.69	283.05	438.59	638.15	220.32	320.8	343.89	303.44	587.13	532.74	346.29	1437.15	981.29	409.15	323.03	389.72	624.99	463.65	299.25	563.18	769.69	420.68	457.25	693.58	591.22	368.65	748.61	995.0	441.64	555.41	193.01	229.72	591.22	414.87	289.02	616.37	265.87	387.02	189.02	220.32	223.41
DPM2	866.07	1977.24	1359.57	2956.17	808.0	1008.9	1529.73	1923.14	1662.49	2075.59	1697.45	1322.37	1250.98	1781.89	967.76	941.27	1225.22	1111.82	884.29	830.75	1051.79	860.08	1697.45	1378.57	1757.34	1295.13	1991.0	684.02	915.51	2451.44	656.11	693.58	1159.07	1127.35	1008.9	878.17	1540.37	688.78	909.17	1427.22	1135.2	1628.26	1651.0	1199.98	3018.3	2417.67	693.58	974.5	1388.16	1594.73	1073.91	1073.91	1991.0	1561.89	1096.5	1015.93	1304.15	1397.83	947.83	1806.78	2240.11	764.36	1331.57	947.83	802.41	1242.34	981.29	988.12	1369.04	1119.56	1183.45	353.59	743.43	842.36
EHMT1	358.54	1331.57	555.41	603.67	400.71	708.18	1159.07	825.0	738.29	669.92	1023.0	1447.15	1233.75	1030.12	476.71	232.94	417.77	830.75	460.44	353.59	575.03	269.6	759.08	723.08	460.44	674.59	612.11	309.83	559.28	656.11	476.71	450.94	698.41	748.61	660.68	563.18	674.59	395.18	486.75	507.46	473.41	1008.9	624.99	642.59	1250.98	1096.5	480.04	497.0	441.64	902.89	511.0	679.29	450.94	1111.82	563.18	571.05	543.96	718.08	490.14	967.76	909.17	616.37	738.29	406.31	514.56	878.17	780.44	616.37	1001.93	579.04	432.53	325.29	297.17	423.61
EXOSC2	177.53	1250.98	567.1	1059.11	490.14	295.11	1295.13	934.76	860.08	813.63	748.61	1030.12	1051.79	974.5	429.54	287.01	497.0	493.56	293.07	316.37	387.02	320.8	490.14	525.39	607.87	647.07	723.08	327.56	447.82	723.08	127.0	336.79	599.49	525.39	497.0	403.5	733.19	403.5	363.56	343.89	423.61	884.29	947.83	406.31	1923.14	1023.0	348.71	426.57	503.95	1059.11	373.81	514.56	808.0	1135.2	323.03	521.76	555.41	660.68	327.56	759.08	842.36	366.09	638.15	414.87	186.4	921.88	435.55	536.45	941.27	473.41	379.04	201.25	269.6	285.03
FAM120A	743.43	2119.22	1769.57	1709.26	1508.65	836.53	2555.58	1651.0	1674.06	1909.85	1369.04	2255.7	2400.97	1923.14	825.0	1183.45	974.5	1617.0	1369.04	915.51	1183.45	1001.93	2287.2	1350.18	1073.91	1923.14	1119.56	1096.5	1183.45	1794.29	748.61	1529.73	1685.71	961.07	1529.73	1427.22	1605.83	848.22	1447.15	954.43	1023.0	2855.44	1594.73	981.29	2997.45	2351.53	1175.27	1183.45	1073.91	2047.0	1651.0	1508.65	1268.46	1662.49	1651.0	1259.69	1498.22	2004.85	1208.34	2434.5	2032.85	1551.09	1733.13	660.68	1073.91	2384.37	1674.06	1250.98	2468.49	1225.22	988.12	825.0	642.59	825.0
FAM206A	140.04	571.05	620.67	591.22	281.09	358.54	738.29	406.31	507.46	571.05	305.55	830.75	698.41	679.29	363.56	339.14	297.17	314.17	271.48	194.36	429.54	277.2	356.05	457.25	397.93	318.57	381.68	135.24	297.17	775.05	289.02	275.28	450.94	392.44	387.02	348.71	624.99	206.94	183.82	305.55	237.86	403.5	368.65	253.23	753.83	503.95	239.52	332.14	334.46	490.14	356.05	327.56	412.0	381.68	279.14	346.29	289.02	525.39	291.04	579.04	595.34	236.21	457.25	197.09	206.94	447.82	366.09	320.8	693.58	334.46	339.14	143.01	99.43	169.07
FANCC	28.45	229.72	114.36	164.42	82.87	100.83	412.0	307.69	239.52	221.86	131.51	327.56	303.44	223.41	38.4	76.71	60.82	116.78	51.35	64.34	77.79	63.0	181.28	69.03	96.01	166.73	137.14	74.58	80.57	115.16	36.79	98.04	123.5	114.36	90.14	78.34	125.24	47.17	101.54	49.56	65.26	144.01	111.21	115.97	532.74	159.9	60.39	75.11	70.01	150.17	61.25	151.22	80.57	120.94	90.77	85.82	98.04	144.01	83.45	186.4	169.07	111.21	120.94	30.78	34.26	133.36	120.94	113.56	356.05	78.89	79.45	16.27	41.81	47.84
FBXO5	57.08	293.07	147.06	205.5	112.77	102.97	447.82	269.6	246.28	255.0	297.17	384.34	583.07	341.51	108.9	82.87	110.43	136.19	82.29	56.68	133.36	164.42	120.94	143.01	195.72	234.57	126.12	132.44	74.58	177.53	35.0	175.07	90.77	105.89	142.01	76.71	173.85	96.01	159.9	102.25	64.34	199.85	255.0	135.24	339.14	356.05	38.4	128.79	128.79	277.2	109.66	180.02	242.88	202.66	164.42	172.65	133.36	77.79	76.17	193.01	226.54	143.01	173.85	116.78	61.25	204.07	125.24	181.28	490.14	169.07	170.25	27.84	29.7	63.0
