	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.LN.A7HW.01A.22R.A354.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.LN.A4MQ.01A.11R.A28J.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3YA.01A.11R.A24K.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CN.6988.01A.11R.1915.07	TCGA.UF.A71D.01A.12R.A34R.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.F7.A61V.01A.11R.A28V.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.CV.7250.01A.11R.2016.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.14C38.1526.SM.5RQJ7	GTEX.13CF3.0426.SM.5IJEU	TCGA.43.6143.01A.11R.1820.07	GTEX.12WSL.2126.SM.5GCNG
HNRNPL	5366.37	6079.61	7485.11	7081.29	7433.4	6699.25	6935.54	5292.48	7230.1	6935.54	6745.86	7032.37	4388.98	4769.75	4903.87	3235.01	6079.61	4388.98	5555.65	5517.27	4123.49	4210.15	1857.6	3690.52	10084.54	5594.3
KCTD18	208.38	231.32	299.25	258.57	285.03	295.11	166.73	128.79	265.87	334.46	267.73	275.28	258.57	264.03	220.32	170.25	128.79	137.14	183.82	239.52	82.87	182.55	93.35	237.86	281.09	387.02
LRCH3	92.7	647.07	525.39	679.29	884.29	928.3	327.56	417.77	1111.82	813.63	384.34	785.88	248.0	269.6	209.84	182.55	336.79	131.51	152.28	371.22	289.02	218.79	275.28	127.89	583.07	264.03
MED13L	231.32	441.64	368.65	500.46	753.83	775.05	432.53	299.25	1135.2	1044.52	320.8	616.37	363.56	295.11	283.05	246.28	164.42	181.28	193.01	198.47	134.3	356.05	76.71	301.33	660.68	532.74
MPHOSPH9	199.85	366.09	341.51	417.77	412.0	638.15	332.14	123.5	547.75	674.59	279.14	490.14	108.14	101.54	244.57	91.41	181.28	120.94	127.89	111.99	145.02	52.08	139.07	56.68	395.18	81.14
MTR	57.08	190.34	217.27	314.17	197.09	423.61	226.54	81.14	264.03	500.46	124.37	253.23	117.6	105.15	104.42	31.45	70.01	56.28	71.5	110.43	61.25	37.32	31.45	120.1	262.2	86.43
NEDD1	241.19	279.14	325.29	336.79	332.14	435.55	251.48	172.65	417.77	366.09	251.48	351.14	133.36	201.25	232.94	120.94	175.07	193.01	262.2	249.73	172.65	215.77	62.12	118.43	363.56	186.4
NUP62	684.02	995.0	1340.84	1340.84	1662.49	1417.35	1388.16	909.17	1119.56	1225.22	1216.75	1397.83	791.35	1073.91	497.0	435.55	860.08	753.83	1191.69	1044.52	825.0	536.45	642.59	1242.34	2400.97	878.17
PARP2	305.55	583.07	928.3	759.08	1081.39	842.36	713.11	624.99	723.08	1191.69	473.41	860.08	384.34	366.09	314.17	169.07	435.55	392.44	591.22	269.6	212.78	151.22	182.55	295.11	1143.1	181.28
PHF2	185.11	348.71	674.59	417.77	764.36	642.59	358.54	267.73	559.28	753.83	397.93	463.65	417.77	493.56	351.14	214.27	255.0	164.42	277.2	358.54	198.47	246.28	129.69	249.73	417.77	480.04
PI3	1656835.72	1364554.84	443937.41	242898.5	284880.02	11.3	682276.92	2864793.06	55491.3	1359.57	3454390.1	12943.04	5272295.22	531605.79	204252.32	1903204.61	139508.13	619179.28	1070607.81	207103.59	706337.4	517068.97	199.85	2442622.37	242.88	2326934.84
PI4KA	476.71	599.49	1135.2	848.22	1167.14	1242.34	808.0	450.94	1135.2	1350.18	612.11	1015.93	764.36	713.11	493.56	529.06	543.96	780.44	660.68	764.36	361.04	511.0	616.37	796.86	1639.59	842.36
PIP4K2B	124.37	571.05	563.18	486.75	656.11	791.35	343.89	361.04	796.86	500.46	575.03	599.49	473.41	363.56	273.37	123.5	303.44	291.04	218.79	476.71	327.56	199.85	142.01	426.57	703.28	363.56
PRKD1	1.22	21.94	176.29	120.1	152.28	132.44	23.59	17.38	66.65	111.21	34.51	130.6	56.28	8.38	3.63	2.39	13.12	16.63	6.84	96.01	13.32	16.88	35.25	84.04	108.9	25.72
PTAR1	99.43	224.97	387.02	195.72	409.15	343.89	283.05	144.01	327.56	432.53	189.02	269.6	182.55	146.03	126.12	80.57	95.34	61.68	92.7	153.34	53.19	99.43	112.77	100.83	246.28	220.32
RAB2B	135.24	346.29	318.57	358.54	500.46	480.04	236.21	289.02	305.55	320.8	260.38	432.53	221.86	334.46	185.11	186.4	217.27	199.85	251.48	334.46	100.13	170.25	128.79	185.11	595.34	199.85
RBM12B	50.63	199.85	205.5	165.57	323.03	234.57	162.14	78.89	387.02	275.28	102.25	201.25	92.7	161.02	114.36	30.12	56.68	76.71	110.43	96.68	66.65	52.82	47.5	86.43	409.15	138.1
RHBDL3	1.79	12.45	22.75	21.63	68.07	8.0	4.43	5.23	45.21	34.26	13.03	13.62	9.78	9.27	3.99	0.0	10.39	1.85	12.0	1.43	9.13	3.99	1.25	0.62	11.55	1.73
RRAGB	118.43	204.07	265.87	277.2	423.61	470.14	234.57	273.37	332.14	412.0	353.59	389.72	186.4	228.13	143.01	96.01	126.12	204.07	205.5	165.57	84.63	87.03	62.56	212.78	204.07	127.0
SLC25A12	228.13	583.07	579.04	483.38	599.49	813.63	236.21	332.14	674.59	450.94	473.41	587.13	647.07	277.2	251.48	126.12	361.04	191.67	265.87	429.54	244.57	162.14	107.38	226.54	470.14	607.87
SMAD4	223.41	660.68	571.05	836.53	1277.29	796.86	813.63	438.59	1015.93	620.67	753.83	941.27	620.67	532.74	463.65	198.47	371.22	525.39	320.8	567.1	164.42	291.04	201.25	571.05	2400.97	660.68
SMAD9	1.89	10.55	34.26	35.25	41.52	371.22	18.43	8.85	84.04	62.12	58.71	234.57	35.25	9.34	6.06	3.86	14.24	7.22	8.99	14.78	12.55	11.13	8.06	19.25	63.0	25.54
SP3	693.58	896.64	1331.57	1208.34	1167.14	1044.52	693.58	684.02	1313.23	1081.39	819.3	974.5	713.11	656.11	665.29	379.04	603.67	575.03	775.05	780.44	473.41	480.04	198.47	540.19	1806.78	633.73
SPECC1L	262.2	334.46	638.15	503.95	567.1	830.75	371.22	244.57	599.49	518.15	351.14	693.58	417.77	389.72	191.67	187.71	144.01	244.57	275.28	336.79	107.38	164.42	185.11	204.07	412.0	320.8
TAB1	183.82	271.48	368.65	435.55	642.59	559.28	403.5	186.4	514.56	612.11	429.54	536.45	351.14	301.33	239.52	118.43	269.6	260.38	236.21	281.09	204.07	191.67	204.07	251.48	599.49	314.17
TANC1	426.57	559.28	583.07	503.95	688.78	743.43	483.38	423.61	808.0	759.08	656.11	587.13	599.49	450.94	414.87	208.38	248.0	189.02	447.82	400.71	159.9	264.03	93.35	237.86	693.58	346.29
TFRC	473.41	1806.78	6426.31	6887.62	5913.33	1923.14	2739.08	1104.13	7081.29	8247.98	3146.52	5041.77	591.22	1369.04	909.17	211.31	2163.77	796.86	607.87	2255.7	1051.79	497.0	583.07	2434.5	7130.55	647.07
TTC21B	81.14	94.01	153.34	157.68	191.67	253.23	146.03	82.87	318.57	195.72	90.77	191.67	64.8	81.71	54.72	18.16	58.71	41.52	36.01	86.43	41.22	21.94	35.76	103.69	177.53	74.58
TYW5	46.84	116.78	161.02	120.1	178.77	152.28	102.97	110.43	145.02	137.14	108.14	106.63	74.06	99.43	86.43	62.12	45.53	53.95	63.0	104.42	34.51	39.5	86.43	60.39	141.02	85.22
VEZF1	371.22	595.34	713.11	718.08	1268.46	1111.82	660.68	214.27	1081.39	1111.82	480.04	1159.07	470.14	511.0	417.77	71.5	305.55	267.73	379.04	521.76	177.53	182.55	295.11	444.72	1331.57	624.99
XPO1	1277.29	2384.37	2004.85	2018.8	2609.3	3103.19	1806.78	1477.58	3982.99	3515.68	1268.46	2119.22	1096.5	1639.59	1286.18	860.08	1167.14	1081.39	1340.84	1427.22	1143.1	753.83	493.56	921.88	2303.12	1104.13
ZBTB26	35.5	129.69	271.48	147.06	193.01	176.29	114.36	72.52	133.36	253.23	106.63	105.15	61.68	88.26	63.45	29.06	43.94	22.43	45.85	49.56	28.65	16.88	22.92	39.79	77.79	66.18
ZFP14	56.28	42.11	39.5	50.98	61.25	61.25	42.71	22.59	55.49	60.39	29.06	59.13	27.25	40.07	18.16	7.57	12.83	3.23	9.63	26.67	9.63	13.52	15.8	17.64	100.13	32.36
ZFX	60.82	143.01	204.07	244.57	228.13	260.38	164.42	90.77	400.71	414.87	256.78	183.82	209.84	96.68	134.3	69.03	83.45	63.0	83.45	105.89	75.11	88.88	52.82	193.01	329.84	157.68
ZKSCAN8	28.45	143.01	152.28	190.34	417.77	307.69	212.78	59.13	470.14	507.46	180.02	316.37	118.43	95.34	83.45	32.36	65.72	45.85	57.49	85.82	50.63	40.64	48.87	68.07	392.44	98.04
ZNF496	64.34	198.47	336.79	444.72	521.76	441.64	435.55	60.39	483.38	447.82	450.94	389.72	262.2	142.01	183.82	68.07	140.04	118.43	127.89	246.28	94.01	78.34	63.89	72.01	583.07	209.84
