	TCGA.A2.A0EP.01A.52R.A22U.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.XX.A899.01A.11R.A36F.07	TCGA.A2.A0CO.01A.13R.A22K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.Q734.0626.SM.2I3EF
DNAL4	423.61	854.13	854.13	785.88	412.0	603.67	890.44	241.19	173.85	120.1	202.66	121.79	56.68	127.0	48.52	130.6	285.03	76.71	127.0	86.43	108.9	118.43	107.38	234.57	134.3	98.04	125.24	872.1
DUSP2	1457.23	116.78	116.78	183.82	651.58	353.59	1457.23	466.88	86.43	8.58	102.97	111.21	62.12	64.8	28.04	31.45	295.11	49.56	58.3	22.92	25.54	46.18	140.04	417.77	62.56	43.94	156.59	460.44
ELAVL4	5.92	4.98	4.98	4.13	7.94	3.0	5.54	4.9	0.0	0.0	0.61	8.71	0.0	0.65	2.36	0.73	4.94	0.68	0.0	1.81	0.0	9.63	1.75	3.69	0.69	0.0	0.74	9.48
EMCN	848.22	420.68	420.68	518.15	571.05	599.49	1199.98	341.51	241.19	101.54	128.79	71.0	167.9	94.01	98.04	78.89	176.29	62.12	110.43	75.64	140.04	49.56	47.17	105.15	34.02	53.95	21.78	1044.52
EXOC7	1268.46	1286.18	1286.18	1781.89	1467.37	1447.15	1605.83	921.88	599.49	343.89	764.36	547.75	536.45	616.37	583.07	656.11	1073.91	521.76	848.22	660.68	693.58	480.04	591.22	591.22	591.22	529.06	373.81	3372.43
F2RL2	232.94	529.06	529.06	329.84	860.08	848.22	312.0	61.68	20.56	40.93	9.2	35.76	32.36	25.17	10.79	12.45	51.71	13.03	23.76	17.0	28.65	7.0	33.54	48.52	16.15	12.18	1.13	2.46
FAM120B	339.14	356.05	356.05	493.56	329.84	438.59	423.61	309.83	264.03	162.14	264.03	189.02	148.09	170.25	198.47	202.66	346.29	133.36	248.0	181.28	223.41	133.36	142.01	305.55	201.25	131.51	82.87	486.75
FAM122B	466.88	406.31	406.31	463.65	563.18	551.56	454.09	232.94	137.14	95.34	142.01	175.07	115.97	136.19	75.11	134.3	157.68	123.5	172.65	158.79	147.06	101.54	90.77	248.0	130.6	111.21	59.97	493.56
FAM228B	277.2	182.55	182.55	332.14	175.07	130.6	223.41	102.25	14.35	26.86	71.0	49.91	40.64	45.53	28.24	78.89	125.24	23.08	76.71	50.98	36.79	29.27	51.71	102.97	20.86	57.49	68.07	457.25
FAM229A	104.42	29.27	29.27	159.9	111.21	163.28	155.5	43.32	23.93	19.39	18.7	40.07	12.09	28.04	8.71	27.64	46.84	16.27	32.82	33.54	35.5	34.26	20.56	59.97	23.25	22.75	39.5	52.08
FAM26F	934.76	669.92	669.92	314.17	1417.35	486.75	348.71	2502.97	236.21	190.34	371.22	283.05	256.78	332.14	587.13	214.27	2224.63	129.69	1313.23	239.52	101.54	525.39	273.37	759.08	52.08	62.56	24.11	2417.67
FAM43B	43.63	20.41	20.41	12.55	29.7	21.63	16.15	12.18	8.25	5.82	5.77	31.45	14.24	11.47	22.26	2.78	45.85	1.87	10.79	11.38	0.74	13.12	1.14	31.45	0.75	1.87	2.16	5.96
FAM89B	1685.71	1175.27	1175.27	1088.92	1037.29	748.61	1498.22	780.44	384.34	409.15	511.0	409.15	356.05	547.75	297.17	486.75	728.11	316.37	473.41	438.59	353.59	620.67	395.18	607.87	379.04	373.81	543.96	1313.23
FAM90A1	6.89	57.49	57.49	8.51	13.62	5.59	23.25	10.96	3.08	6.57	1.1	4.5	0.0	0.0	0.0	5.59	3.08	0.73	0.8	1.3	0.0	0.89	0.66	9.85	0.74	0.0	0.0	309.83
FBXO42	353.59	318.57	318.57	351.14	387.02	329.84	400.71	226.54	165.57	117.6	218.79	150.17	118.43	150.17	167.9	164.42	217.27	152.28	161.02	123.5	149.12	158.79	166.73	312.0	152.28	118.43	205.5	473.41
FCRLB	40.93	17.0	17.0	31.45	20.11	24.99	38.12	46.18	6.31	27.44	11.73	21.78	3.82	4.1	7.82	27.05	16.51	5.15	9.48	26.86	15.11	15.91	24.46	49.21	0.21	4.03	1.69	57.89
FLT3LG	819.3	532.74	532.74	395.18	759.08	466.88	620.67	271.48	78.34	60.39	143.01	146.03	35.76	69.03	182.55	157.68	154.42	55.89	115.97	75.64	80.01	94.67	55.1	409.15	57.08	36.79	85.22	819.3
FUT7	115.97	25.91	25.91	27.84	40.64	43.94	29.06	15.22	2.92	3.03	8.13	4.06	8.51	4.24	4.5	17.25	30.78	2.46	5.87	1.69	5.5	9.2	2.94	21.01	0.0	12.27	2.71	51.71
FUT8	599.49	967.76	967.76	1250.98	432.53	507.46	379.04	242.88	108.9	50.27	58.71	71.0	45.85	44.89	32.36	100.83	132.44	10.24	43.32	82.29	35.76	43.63	23.59	120.94	18.7	43.32	27.64	1096.5
GEM	1844.76	775.05	775.05	1008.9	1457.23	974.5	2303.12	1199.98	22.75	43.94	363.56	53.57	65.26	104.42	50.98	38.12	518.15	34.75	178.77	83.45	30.12	10.16	54.72	842.36	90.14	44.57	226.54	1605.83
GZMA	872.1	371.22	371.22	275.28	1378.57	351.14	447.82	698.41	142.01	10.96	185.11	269.6	36.27	46.5	417.77	297.17	387.02	47.17	473.41	44.25	38.12	135.24	103.69	483.38	85.22	94.01	49.56	5183.54
GZMK	791.35	295.11	295.11	253.23	1268.46	403.5	500.46	409.15	66.18	4.28	121.79	194.36	38.95	55.1	100.13	79.45	253.23	41.52	339.14	37.05	35.5	125.24	102.97	327.56	19.97	40.07	78.34	1175.27
HCG27	69.03	21.94	21.94	60.39	132.44	68.55	68.55	18.29	14.89	5.73	2.68	19.53	2.1	7.82	9.2	7.06	12.36	5.63	10.96	5.15	14.67	4.74	8.06	21.94	4.31	1.51	12.18	44.89
HES5	9.56	1.11	1.11	3.03	2.92	0.75	0.74	3.82	2.27	0.73	3.5	2.2	0.73	3.5	1.22	0.0	4.17	0.37	3.14	0.93	0.68	6.11	0.0	6.52	0.0	0.0	0.0	4.9
HIST2H3PS2	2.86	17.25	17.25	10.88	0.0	26.86	16.51	20.11	9.78	3.08	0.0	0.0	0.0	5.45	0.0	5.5	13.03	6.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.56
HLA-DQB2	633.73	186.4	186.4	540.19	1183.45	669.92	400.71	241.19	71.0	15.0	117.6	12.09	46.18	89.51	70.01	144.01	157.68	0.0	0.0	5.28	14.14	24.46	56.28	124.37	16.63	0.0	0.0	713.11
HOXB7	400.71	201.25	201.25	395.18	221.86	186.4	429.54	94.67	19.53	14.89	36.53	23.59	0.0	21.78	23.76	25.35	64.34	1.85	13.12	21.94	7.82	45.85	79.45	61.68	17.25	0.0	5.63	153.34
HP	624.99	134.3	134.3	35.25	3.35	1832.01	132.44	6183532.28	3028138.0	6014443.23	5972898.43	1.307221145E7	3.671840259E7	6536105.23	3049200.37	3.174442598E7	1.410789979E7	1.533154663E7	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	2186208.16	1.325469274E7	1.512047268E7	2.614442391E7	6121.9
HRK	4.5	3.66	3.66	11.13	8.85	2.68	5.54	3.5	0.0	0.0	0.0	1.27	1.35	0.0	0.0	0.0	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	4.17
IGFN1	18.03	10.24	10.24	15.0	36.79	8.0	36.27	8.19	0.0	0.61	0.56	1.06	0.0	2.1	0.0	0.0	6.89	0.0	0.22	2.03	2.39	5.73	1.5	5.82	0.0	0.0	0.0	5.28
IL23A	57.08	14.67	14.67	31.22	35.0	31.67	27.05	27.05	8.38	5.11	13.12	15.11	1.01	13.83	5.5	3.86	37.05	10.16	7.63	4.78	6.26	7.46	17.64	16.75	8.45	20.26	6.57	39.79
IL34	273.37	175.07	175.07	351.14	435.55	194.36	466.88	158.79	41.52	15.8	46.84	48.18	14.03	24.99	30.12	30.78	60.39	13.83	88.26	48.52	40.64	62.56	18.7	35.0	13.52	4.06	14.35	180.02
IRF9	2193.99	5872.48	5872.48	1378.57	6426.31	2384.37	3928.15	2148.82	1066.48	511.0	1561.89	1277.29	785.88	1477.58	974.5	1295.13	2303.12	769.69	1111.82	1417.35	967.76	967.76	947.83	1529.73	748.61	769.69	764.36	4450.27
ITGA3	420.68	624.99	624.99	1340.84	1268.46	954.43	1242.34	435.55	209.84	38.4	808.0	50.27	16.27	73.03	12.93	21.47	93.35	9.56	76.71	180.02	130.6	72.52	22.26	417.77	14.24	77.79	29.06	1857.6
KIAA0895L	289.02	89.51	89.51	269.6	457.25	279.14	197.09	194.36	51.35	13.72	55.1	96.68	16.39	64.8	22.59	33.06	90.14	51.35	94.01	86.43	54.72	66.18	23.93	128.79	49.21	45.85	22.26	521.76
KIAA1324	1167.14	4066.71	4066.71	3928.15	1923.14	1883.54	2303.12	20.71	4.13	0.51	1.08	28.24	2.48	0.06	7.28	16.51	69.03	3.47	16.39	4.74	2.84	27.64	2.43	29.27	7.94	6.78	2.61	559.28
KLK14	35.76	5.11	5.11	9.41	20.26	10.79	89.51	3.99	2.78	0.0	1.97	0.47	0.0	0.84	0.0	1.27	2.89	0.79	2.92	0.58	0.0	2.78	2.03	1.99	1.53	1.14	0.0	108.9
LAT	1268.46	275.28	275.28	490.14	1015.93	514.56	665.29	136.19	96.01	24.28	75.64	102.97	16.75	24.46	29.48	56.28	93.35	72.01	111.99	52.45	80.57	89.51	18.84	194.36	77.79	43.32	27.05	1175.27
LPAR6	1233.75	995.0	995.0	981.29	1143.1	866.07	785.88	748.61	384.34	183.82	171.45	236.21	101.54	55.49	193.01	236.21	348.71	57.89	149.12	131.51	117.6	77.79	94.67	332.14	77.25	89.51	101.54	674.59
LPCAT4	915.51	406.31	406.31	540.19	620.67	684.02	759.08	444.72	124.37	24.63	78.89	88.88	36.01	40.36	27.05	107.38	231.32	18.7	85.82	35.5	49.56	113.56	9.2	293.07	31.9	34.26	22.59	1216.75
LRRC14	343.89	974.5	974.5	454.09	555.41	713.11	493.56	218.79	175.07	190.34	138.1	202.66	91.41	178.77	101.54	194.36	181.28	146.03	136.19	138.1	201.25	169.07	119.26	279.14	144.01	102.97	70.51	693.58
LY6G5C	106.63	59.97	59.97	109.66	134.3	62.56	130.6	110.43	36.01	48.52	53.57	80.57	13.42	88.26	23.42	72.52	120.1	6.52	45.85	54.33	32.82	39.5	39.5	94.01	37.59	44.89	15.68	309.83
MAP4K1	902.89	231.32	231.32	392.44	909.17	432.53	486.75	206.94	51.71	9.2	73.54	134.3	12.27	50.98	19.97	135.24	150.17	20.11	118.43	80.57	62.56	152.28	44.89	152.28	26.47	71.5	132.44	988.12
MARCH9	441.64	281.09	281.09	356.05	353.59	325.29	435.55	185.11	85.22	39.79	86.43	176.29	14.45	63.45	28.04	59.55	154.42	15.22	54.72	82.29	60.82	73.54	27.64	55.89	102.25	41.22	74.06	336.79
MARK2	420.68	723.08	723.08	616.37	607.87	620.67	629.35	314.17	176.29	75.64	420.68	132.44	141.02	90.77	90.14	103.69	249.73	241.19	110.43	260.38	141.02	165.57	135.24	339.14	152.28	136.19	49.21	896.64
MDFI	860.08	1378.57	1378.57	511.0	287.01	325.29	1015.93	124.37	42.11	4.39	133.36	33.3	7.11	3.53	2.89	5.96	17.13	0.96	28.04	23.42	0.0	10.39	3.2	112.77	2.66	2.58	2.94	500.46
MEX3B	79.45	35.76	35.76	49.21	46.5	52.08	47.84	35.25	5.96	2.78	33.3	9.2	1.1	4.58	2.36	3.72	7.57	2.78	4.03	19.82	5.11	4.03	2.27	24.81	3.47	4.06	2.78	62.12
MRAS	579.04	339.14	339.14	343.89	303.44	363.56	389.72	189.02	70.51	32.13	264.03	65.72	40.93	78.34	25.91	50.63	100.83	31.9	70.01	86.43	43.63	31.22	42.11	171.45	32.36	33.3	38.4	320.8
MUC19	96.01	10.63	10.63	3.29	114.36	8.32	31.67	7.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.47	0.0	0.0	0.0	2.89	4.9	0.0	0.0	0.0	0.0	0.0	7.11
NECAB1	10.71	8.19	8.19	19.82	11.82	14.56	12.0	14.89	1.97	2.66	5.19	4.1	4.31	2.68	0.02	1.23	4.82	2.36	0.62	2.23	1.71	4.82	3.5	8.71	1.73	3.08	1.97	218.79
NELFA	514.56	555.41	555.41	679.29	612.11	665.29	688.78	316.37	251.48	163.28	241.19	190.34	131.51	148.09	156.59	206.94	248.0	224.97	262.2	145.02	211.31	127.0	153.34	260.38	242.88	180.02	118.43	616.37
NNAT	764.36	43.94	43.94	37.85	26.47	29.7	271.48	15.34	3.03	0.68	4.21	5.63	3.79	1.1	3.08	6.11	12.45	7.06	4.86	8.92	7.17	1.66	0.36	13.52	3.47	5.5	0.74	242.88
NOTCH4	575.03	271.48	271.48	409.15	514.56	341.51	638.15	412.0	198.47	124.37	173.85	208.38	178.77	177.53	135.24	195.72	236.21	136.19	148.09	166.73	158.79	211.31	123.5	314.17	153.34	151.22	80.57	1008.9
NOVA1	106.63	221.86	221.86	285.03	64.34	98.73	532.74	116.78	10.0	3.63	41.52	33.54	19.68	9.27	3.76	6.62	299.25	1.68	0.14	6.06	5.92	9.2	9.63	46.18	111.99	7.82	11.04	79.45
NRF1	217.27	229.72	229.72	295.11	320.8	293.07	289.02	111.21	77.79	52.08	119.26	47.5	45.53	52.08	77.79	88.26	105.15	68.55	80.01	65.72	65.26	84.04	59.13	88.26	58.3	32.13	36.27	329.84
NUMBL	341.51	224.97	224.97	289.02	463.65	507.46	376.41	148.09	47.5	13.32	90.14	57.49	37.05	38.67	11.64	49.21	283.05	63.0	91.41	48.18	35.76	53.57	18.29	191.67	38.4	52.82	24.99	277.2
NUTM2G	6.62	2.14	2.14	2.58	5.28	5.28	6.21	2.73	1.95	0.0	0.0	3.11	0.0	0.0	0.0	0.69	1.31	0.33	0.08	1.14	2.12	0.78	0.01	2.53	1.53	0.0	0.4	7.94
OTUD5	1183.45	981.29	981.29	1073.91	1199.98	1191.69	1044.52	1044.52	713.11	599.49	703.28	921.88	571.05	595.34	381.68	723.08	934.76	665.29	836.53	753.83	665.29	713.11	813.63	775.05	660.68	503.95	647.07	1733.13
PGF	460.44	231.32	231.32	373.81	397.93	346.29	532.74	211.31	108.14	16.88	63.89	138.1	105.89	127.0	53.19	50.27	285.03	81.71	68.07	84.04	45.21	237.86	94.67	242.88	27.25	61.25	21.94	131.51
PGS1	547.75	341.51	341.51	599.49	723.08	759.08	785.88	406.31	234.57	82.87	255.0	206.94	94.01	158.79	144.01	205.5	309.83	157.68	194.36	180.02	173.85	152.28	146.03	420.68	95.34	108.14	94.67	941.27
PIP	7966.99	684.02	684.02	26248.46	236.21	2178.83	17078.76	16.15	0.36	0.07	0.0	24.81	7.88	0.27	1.08	0.0	32.36	1.75	0.0	0.31	4.24	7.63	0.16	0.66	0.0	0.0	0.0	921.88
PLAC9	1331.57	429.54	429.54	854.13	764.36	457.25	947.83	463.65	109.66	44.57	164.42	93.35	35.0	108.9	80.57	61.68	231.32	84.63	115.97	63.0	60.39	79.45	25.35	309.83	37.05	12.36	53.57	417.77
PLCG1	1088.92	698.41	698.41	1015.93	2061.24	1183.45	1008.9	417.77	224.97	77.79	211.31	178.77	102.25	112.77	205.5	193.01	158.79	111.99	163.28	165.57	124.37	277.2	115.97	329.84	178.77	85.22	93.35	1437.15
PLXNA1	432.53	206.94	206.94	325.29	343.89	409.15	366.09	96.01	52.82	16.39	74.58	47.17	21.32	40.64	30.78	43.02	75.11	30.78	46.18	52.08	33.54	34.02	31.0	169.07	21.47	23.93	1.64	825.0
PRICKLE2	154.42	125.24	125.24	172.65	182.55	171.45	115.16	141.02	12.64	23.59	24.28	34.75	28.65	25.72	20.56	36.79	142.01	51.71	41.22	81.71	66.65	49.91	7.82	59.97	12.93	17.51	11.38	336.79
PROCA1	83.45	49.56	49.56	57.08	115.16	68.07	80.57	42.71	13.83	4.5	10.16	19.53	7.34	6.26	4.24	9.27	37.05	2.86	6.94	12.18	8.25	16.03	6.73	21.63	11.82	2.34	7.51	193.01
PTPN14	107.38	175.07	175.07	146.03	141.02	163.28	128.79	78.89	17.51	7.22	36.79	18.29	10.79	15.22	5.36	4.9	87.03	8.0	8.85	21.94	5.77	9.93	7.17	36.01	2.07	10.47	1.83	153.34
RAPGEF3	954.43	141.02	141.02	934.76	412.0	703.28	995.0	131.51	56.28	13.12	82.87	59.13	30.34	21.78	12.0	40.07	56.28	21.63	45.21	26.1	24.28	59.55	17.77	113.56	33.54	27.05	16.51	285.03
RGS1	6164.49	1819.35	1819.35	3742.05	11345.82	6079.61	3190.46	4181.07	1651.0	30.78	389.72	117.6	127.0	228.13	83.45	295.11	3124.78	113.56	363.56	116.78	221.86	111.99	941.27	4639.29	780.44	190.34	353.59	5479.15
