	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.PWOO.0726.SM.2I3EB	TCGA.N5.A59F.01A.11R.A28V.07
CAPN10	500.46	435.55	351.14	190.34	341.51	202.66	579.04	285.03	348.71	172.65	420.68	249.73	447.82	234.57	579.04	316.37	642.59	258.57	536.45	366.09	145.02	228.13	36.53	85.22	157.68	83.45	220.32	145.02	92.7	135.24	157.68	100.83	121.79	79.45	89.51	0.0	555.41	163.28	283.05	403.5	1119.56
CCDC130	813.63	497.0	669.92	417.77	358.54	307.69	525.39	785.88	733.19	281.09	981.29	785.88	438.59	450.94	1268.46	460.44	1199.98	723.08	791.35	571.05	312.0	493.56	176.29	195.72	497.0	409.15	693.58	336.79	221.86	366.09	264.03	181.28	248.0	193.01	189.02	0.0	387.02	309.83	514.56	723.08	1151.06
CCDC61	289.02	208.38	392.44	287.01	363.56	258.57	366.09	429.54	371.22	129.69	314.17	389.72	579.04	191.67	547.75	255.0	320.8	248.0	656.11	356.05	139.07	193.01	95.34	92.05	165.57	189.02	356.05	129.69	117.6	158.79	223.41	190.34	172.65	103.69	141.02	0.0	293.07	136.19	318.57	325.29	348.71
CCDC97	318.57	426.57	275.28	500.46	327.56	255.0	441.64	426.57	256.78	204.07	447.82	460.44	620.67	224.97	555.41	320.8	361.04	525.39	1008.9	460.44	138.1	177.53	123.5	137.14	48.18	147.06	232.94	120.1	204.07	138.1	186.4	201.25	217.27	70.51	135.24	0.0	866.07	409.15	599.49	603.67	669.92
CHKB	1295.13	669.92	1286.18	915.51	1175.27	813.63	2090.03	1407.55	1628.26	525.39	2835.7	656.11	1225.22	674.59	1487.87	1044.52	1508.65	490.14	1529.73	1304.15	669.92	854.13	348.71	267.73	748.61	575.03	536.45	441.64	295.11	808.0	551.56	258.57	511.0	356.05	351.14	0.0	1167.14	884.29	1277.29	1923.14	2400.97
CHTOP	1183.45	1167.14	1477.58	1159.07	1551.09	825.0	1936.53	1594.73	1572.76	620.67	1388.16	1059.11	1896.65	1277.29	2520.38	1685.71	1819.35	1697.45	2384.37	1331.57	718.08	764.36	890.44	555.41	591.22	656.11	941.27	651.58	547.75	703.28	830.75	571.05	656.11	540.19	435.55	0.0	1733.13	915.51	1639.59	1167.14	1977.24
CIC	738.29	723.08	995.0	981.29	703.28	457.25	733.19	698.41	532.74	323.03	769.69	674.59	1135.2	723.08	1030.12	457.25	819.3	961.07	1819.35	733.19	460.44	486.75	255.0	406.31	591.22	248.0	432.53	293.07	289.02	387.02	353.59	262.2	368.65	409.15	339.14	0.0	703.28	500.46	571.05	941.27	1769.57
CLASRP	1081.39	651.58	1242.34	1331.57	684.02	500.46	2351.53	1175.27	860.08	353.59	1427.22	1963.57	2271.4	860.08	1572.76	629.35	1572.76	1417.35	2193.99	934.76	633.73	1051.79	307.69	251.48	902.89	684.02	521.76	463.65	314.17	674.59	665.29	441.64	511.0	291.04	473.41	0.0	1369.04	397.93	1015.93	1216.75	2004.85
CLK2	884.29	629.35	1119.56	733.19	591.22	299.25	1073.91	1594.73	802.41	269.6	1397.83	1331.57	1359.57	665.29	2209.26	521.76	1015.93	1304.15	1388.16	708.18	438.59	723.08	232.94	169.07	316.37	438.59	660.68	346.29	277.2	366.09	457.25	275.28	521.76	87.65	242.88	0.0	909.17	336.79	860.08	693.58	1096.5
CNBD2	7.22	4.98	1.48	3.2	2.43	2.73	8.38	10.0	2.01	2.29	9.13	14.14	14.67	3.79	14.14	2.25	6.31	5.87	48.52	5.06	1.19	0.0	3.06	0.32	1.0	4.28	2.94	1.06	1.73	1.75	1.39	2.18	0.0	1.28	0.23	0.0	3.79	1.1	0.0	1.27	4.31
COPS7B	511.0	529.06	503.95	651.58	532.74	341.51	1066.48	620.67	432.53	244.57	796.86	688.78	830.75	480.04	753.83	587.13	967.76	748.61	1143.1	607.87	283.05	409.15	194.36	112.77	323.03	295.11	460.44	376.41	303.44	426.57	403.5	277.2	457.25	211.31	277.2	0.0	915.51	470.14	571.05	432.53	974.5
CSNK2B-LY6G5B-1181	44.25	41.52	41.52	57.08	53.95	26.28	277.2	60.82	68.55	9.41	105.15	147.06	137.14	41.22	104.42	66.18	209.84	51.35	182.55	42.71	12.93	30.34	9.48	12.0	43.94	19.39	25.91	10.16	9.85	24.99	13.42	10.16	2.27	3.86	12.55	0.0	90.14	17.51	28.24	62.56	249.73
CYTH2	1143.1	1030.12	954.43	1104.13	1268.46	624.99	753.83	454.09	854.13	432.53	420.68	759.08	1447.15	872.1	2047.0	813.63	624.99	1208.34	1199.98	884.29	493.56	532.74	309.83	406.31	476.71	172.65	470.14	303.44	457.25	426.57	563.18	420.68	1051.79	356.05	406.31	0.0	1769.57	830.75	1135.2	890.44	1769.57
DCAF15	616.37	490.14	476.71	231.32	363.56	346.29	532.74	679.29	575.03	171.45	429.54	703.28	559.28	447.82	854.13	295.11	915.51	420.68	642.59	486.75	260.38	303.44	93.35	165.57	323.03	224.97	384.34	155.5	212.78	291.04	255.0	178.77	177.53	115.16	155.5	0.0	351.14	361.04	563.18	656.11	1857.6
DDAH2	2777.33	3103.19	674.59	1111.82	1242.34	684.02	2303.12	1233.75	1216.75	256.78	759.08	3901.01	6699.25	1104.13	2855.44	2148.82	3103.19	4038.61	4736.79	1378.57	796.86	540.19	348.71	500.46	607.87	723.08	334.46	656.11	1066.48	1199.98	1594.73	1322.37	1313.23	988.12	571.05	0.0	3325.99	1540.37	2855.44	1397.83	8421.31
DHX34	275.28	218.79	332.14	599.49	343.89	195.72	698.41	497.0	480.04	214.27	409.15	414.87	591.22	287.01	543.96	384.34	981.29	511.0	1350.18	309.83	126.12	353.59	60.82	66.18	104.42	84.04	165.57	81.14	76.71	128.79	165.57	96.68	269.6	50.98	104.42	0.0	878.17	105.89	262.2	271.48	764.36
DPH7	463.65	356.05	536.45	514.56	260.38	215.77	759.08	457.25	384.34	131.51	688.78	438.59	733.19	283.05	808.0	371.22	780.44	371.22	902.89	486.75	156.59	265.87	111.99	85.22	223.41	218.79	194.36	237.86	116.78	241.19	159.9	112.77	214.27	103.69	119.26	0.0	579.04	356.05	543.96	389.72	902.89
DYNLRB1	10084.54	6516.03	3190.46	3928.15	6471.02	3103.19	6745.86	5403.7	3614.55	3060.45	3257.52	6935.54	6840.04	4358.66	8901.53	5672.41	6164.49	7749.1	8078.22	4836.35	2816.11	3212.66	2739.08	2163.77	2555.58	2627.46	9409.14	3491.39	2835.7	3614.55	3690.52	3168.41	4239.45	2032.85	3103.19	0.0	5441.3	5366.37	3419.52	5517.27	11664.82
EFNA4	232.94	166.73	348.71	305.55	642.59	111.21	503.95	406.31	154.42	152.28	283.05	249.73	447.82	309.83	1286.18	514.56	373.81	769.69	1066.48	232.94	74.58	150.17	73.03	44.57	20.86	90.77	108.9	61.25	125.24	155.5	106.63	112.77	135.24	27.44	95.34	0.0	518.15	172.65	293.07	358.54	1119.56
EGLN2	1304.15	1909.85	1529.73	1427.22	2018.8	1216.75	3665.02	1225.22	2451.44	915.51	2468.49	2502.97	2777.33	1794.29	2240.11	2351.53	2796.65	1111.82	2701.35	2255.7	1350.18	1572.76	567.1	854.13	947.83	1183.45	1135.2	674.59	1143.1	1870.53	1378.57	860.08	1175.27	813.63	1127.35	0.0	4419.52	2384.37	1540.37	3124.78	2976.74
FAM189B	486.75	466.88	420.68	500.46	540.19	237.86	921.88	540.19	392.44	334.46	759.08	693.58	775.05	460.44	1407.55	483.38	1331.57	1037.29	1073.91	525.39	141.02	205.5	37.32	116.78	74.06	133.36	154.42	134.3	137.14	277.2	214.27	128.79	242.88	80.57	218.79	0.0	693.58	267.73	607.87	866.07	1159.07
FAM193B	1066.48	629.35	1216.75	791.35	651.58	351.14	1304.15	860.08	866.07	215.77	1519.15	1662.49	1233.75	854.13	1519.15	961.07	1709.26	928.3	1001.93	1044.52	579.04	1008.9	244.57	409.15	703.28	323.03	698.41	463.65	273.37	575.03	463.65	323.03	612.11	295.11	297.17	0.0	521.76	325.29	497.0	1104.13	2319.15
FAM222A	33.3	17.13	231.32	141.02	90.77	97.36	165.57	248.0	199.85	8.85	176.29	201.25	299.25	88.26	395.18	187.71	406.31	54.33	301.33	94.67	32.59	9.41	15.91	38.95	17.51	92.7	58.71	25.54	31.0	28.86	54.72	33.54	70.51	29.7	56.68	0.0	24.46	16.27	71.0	11.04	118.43
FLVCR1	38.12	139.07	180.02	392.44	95.34	113.56	417.77	343.89	86.43	102.25	98.04	395.18	514.56	258.57	551.56	217.27	353.59	293.07	277.2	285.03	50.63	42.71	33.3	56.28	34.75	10.96	34.26	15.91	46.5	12.27	13.52	13.22	32.13	6.94	21.47	181.28	279.14	53.95	49.21	90.14	249.73
FTL	1422501.74	1355129.16	1123834.93	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	1055868.42	706337.4	1514068.5	1100706.72	912837.43	932018.1	223512.12	1493223.86	546551.29	992012.34	527933.71	881742.8	581732.96	2294899.22	193234.41	131071.0	1179708.33	919186.72	1327240.99	1147449.11	443937.41	1374046.07	1055868.42	1131651.83	925580.18	290865.98	2326934.84	143430.26	1273174.62	1204496.53	1336472.68	1327240.99	110216.97
GLTSCR1	105.15	132.44	237.86	129.69	119.26	137.14	130.6	169.07	127.89	47.84	136.19	114.36	208.38	103.69	195.72	60.82	175.07	150.17	351.14	144.01	92.7	117.6	42.71	72.52	84.63	78.89	100.13	50.63	44.25	69.03	83.45	52.08	108.9	57.49	47.17	0.0	353.59	98.04	122.64	283.05	291.04
GPATCH1	127.89	117.6	94.01	190.34	105.15	77.79	142.01	164.42	113.56	68.55	129.69	239.52	277.2	109.66	231.32	92.05	215.77	176.29	228.13	111.99	77.79	77.25	87.65	47.84	98.04	74.06	97.36	55.89	73.54	63.45	84.63	49.21	57.89	35.76	41.52	0.0	279.14	63.45	139.07	85.82	211.31
GSK3A	995.0	981.29	1104.13	1350.18	1369.04	743.43	1331.57	1015.93	1191.69	753.83	995.0	1191.69	1594.73	974.5	1561.89	915.51	1883.54	1127.35	2178.83	1167.14	759.08	830.75	571.05	775.05	1008.9	429.54	813.63	507.46	713.11	785.88	679.29	525.39	647.07	466.88	603.67	0.0	2895.31	866.07	1794.29	1151.06	2434.5
HIST2H2AC	22.92	54.33	77.79	78.34	34.75	109.66	285.03	241.19	171.45	34.02	67.12	221.86	226.54	87.03	426.57	61.68	111.99	42.11	287.01	49.56	30.12	152.28	11.64	16.15	11.47	78.34	88.26	132.44	24.99	34.26	52.08	21.32	12.83	39.5	36.53	0.0	53.95	38.12	28.86	27.25	587.13
ILF3	1721.16	1594.73	1508.65	1051.79	1457.23	1127.35	1781.89	1857.6	1369.04	915.51	1844.76	2163.77	2758.13	1199.98	2915.45	1721.16	3124.78	2075.59	2573.36	1721.16	629.35	1259.69	638.15	603.67	1127.35	836.53	928.3	493.56	435.55	595.34	884.29	463.65	583.07	260.38	507.46	0.0	2032.85	1225.22	1936.53	1721.16	5076.84
IRGQ	191.67	197.09	234.57	297.17	195.72	139.07	234.57	199.85	262.2	117.6	198.47	384.34	470.14	141.02	376.41	170.25	256.78	239.52	607.87	191.67	64.8	122.64	46.84	101.54	68.07	95.34	94.01	112.77	53.19	112.77	80.57	74.06	121.79	42.41	96.68	47.5	400.71	122.64	293.07	178.77	403.5
KIAA0907	384.34	190.34	450.94	457.25	265.87	151.22	656.11	708.18	271.48	218.79	713.11	490.14	518.15	327.56	743.43	348.71	1216.75	703.28	890.44	438.59	152.28	303.44	110.43	94.67	195.72	199.85	194.36	138.1	127.89	206.94	175.07	110.43	209.84	58.71	134.3	0.0	703.28	190.34	429.54	253.23	1044.52
LENG1	221.86	346.29	186.4	205.5	234.57	144.01	318.57	273.37	260.38	138.1	183.82	239.52	332.14	232.94	384.34	211.31	197.09	301.33	381.68	249.73	153.34	236.21	109.66	251.48	172.65	148.09	253.23	175.07	187.71	217.27	231.32	166.73	187.71	169.07	118.43	0.0	473.41	180.02	339.14	242.88	384.34
LIN37	197.09	297.17	376.41	480.04	447.82	301.33	595.34	426.57	395.18	187.71	400.71	521.76	507.46	409.15	642.59	301.33	1030.12	432.53	633.73	363.56	161.02	356.05	85.82	129.69	241.19	170.25	339.14	136.19	96.01	256.78	205.5	125.24	241.19	125.24	102.97	0.0	642.59	165.57	267.73	251.48	791.35
MED25	684.02	723.08	447.82	521.76	579.04	414.87	500.46	521.76	579.04	339.14	470.14	1081.39	813.63	454.09	1015.93	532.74	915.51	802.41	1225.22	723.08	299.25	353.59	125.24	237.86	271.48	287.01	460.44	258.57	371.22	460.44	406.31	287.01	503.95	273.37	314.17	0.0	1088.92	543.96	642.59	1551.09	2047.0
MEX3A	33.78	13.42	69.52	24.99	182.55	10.0	281.09	18.97	33.06	14.24	49.21	44.25	214.27	85.82	490.14	123.5	138.1	47.5	379.04	51.71	10.63	27.84	4.94	10.71	17.38	24.11	24.63	13.22	7.75	42.41	24.99	8.06	36.79	2.58	28.04	0.0	144.01	7.46	54.33	18.16	928.3
MORC2	334.46	363.56	595.34	571.05	620.67	480.04	884.29	497.0	656.11	303.44	813.63	647.07	981.29	638.15	1277.29	587.13	1037.29	896.64	1159.07	583.07	336.79	543.96	267.73	190.34	339.14	244.57	171.45	299.25	226.54	351.14	356.05	226.54	291.04	229.72	255.0	0.0	1216.75	231.32	836.53	490.14	1769.57
MRGBP	460.44	371.22	409.15	406.31	483.38	429.54	563.18	532.74	356.05	400.71	647.07	476.71	808.0	312.0	836.53	638.15	638.15	503.95	1268.46	447.82	221.86	305.55	107.38	88.26	187.71	148.09	224.97	155.5	158.79	248.0	206.94	98.73	137.14	124.37	148.09	0.0	656.11	241.19	387.02	153.34	1151.06
MRPL55	2367.9	1950.0	4038.61	4450.27	4639.29	2193.99	4769.75	5872.48	4038.61	1572.76	3303.0	4095.0	4239.45	6792.79	6792.79	5555.65	5831.91	5555.65	5872.48	3124.78	1909.85	2835.7	1127.35	981.29	2555.58	2777.33	3419.52	2777.33	1561.89	3168.41	2032.85	1662.49	1073.91	2520.38	1529.73	2956.17	1794.29	1437.15	1427.22	1498.22	3467.27
MSI1	3.35	9.2	185.11	29.7	76.17	3.72	157.68	248.0	198.47	2.03	2.78	279.14	198.47	112.77	559.28	58.3	72.01	0.59	224.97	121.79	3.66	8.78	5.5	8.38	1.1	78.89	47.5	1.91	0.26	3.17	13.42	0.88	15.0	1.73	0.0	37.85	25.54	5.96	14.56	0.66	571.05
MSS51	13.62	7.4	24.28	15.11	15.68	6.73	38.4	30.78	4.82	5.45	12.55	22.59	25.91	13.52	27.64	15.68	34.51	11.04	46.18	12.74	4.82	9.7	2.61	0.91	3.76	9.56	5.11	9.63	2.97	11.82	6.94	2.68	11.21	0.95	3.38	0.0	15.91	16.15	23.76	21.78	50.98
NELFA	521.76	397.93	329.84	305.55	392.44	194.36	555.41	616.37	351.14	279.14	400.71	507.46	466.88	301.33	563.18	387.02	540.19	400.71	409.15	387.02	244.57	339.14	108.14	131.51	232.94	201.25	293.07	249.73	206.94	329.84	201.25	176.29	236.21	118.43	139.07	0.0	384.34	309.83	387.02	363.56	842.36
NENF	2720.15	3235.01	2875.3	2835.7	3716.2	1457.23	2895.31	3395.89	3614.55	1508.65	4671.57	3419.52	3146.52	3212.66	4639.29	2976.74	3690.52	4358.66	3103.19	2451.44	1662.49	1757.34	607.87	642.59	1277.29	2451.44	1487.87	2163.77	1388.16	2119.22	1794.29	1745.2	1709.26	1844.76	1340.84	0.0	1909.85	2400.97	2417.67	2701.35	3768.09
NOSIP	1551.09	2351.53	1350.18	2240.11	1417.35	1259.69	2875.3	1883.54	1477.58	1066.48	1388.16	2627.46	2875.3	1794.29	2976.74	2193.99	2502.97	1639.59	4210.15	1870.53	954.43	1331.57	470.14	819.3	890.44	1359.57	1322.37	1191.69	1119.56	1662.49	1378.57	1044.52	1259.69	738.29	878.17	0.0	3372.43	1427.22	1369.04	1857.6	3982.99
NPFF	19.82	32.59	71.0	0.0	9.56	27.44	91.41	62.56	29.48	2.1	30.78	94.01	54.33	15.91	28.04	35.76	71.5	13.93	104.42	59.55	19.53	30.78	6.11	6.73	8.99	29.7	14.14	11.38	7.57	18.7	30.56	18.7	20.56	0.0	11.64	0.0	32.36	19.68	38.67	57.08	94.01
NPIPA7	708.18	796.86	343.89	470.14	753.83	441.64	1119.56	249.73	1304.15	113.56	1340.84	1104.13	587.13	693.58	1208.34	1216.75	2004.85	921.88	808.0	392.44	221.86	348.71	131.51	64.34	733.19	733.19	825.0	551.56	325.29	279.14	551.56	162.14	343.89	56.28	269.6	242.88	1030.12	50.98	127.0	848.22	2739.08
PGBD1	23.93	55.49	57.49	62.56	52.08	13.72	92.05	154.42	40.93	28.24	52.08	211.31	156.59	31.67	161.02	24.28	63.45	142.01	143.01	44.89	21.01	22.26	57.08	5.59	10.47	21.63	23.25	21.94	10.55	23.76	19.68	28.45	47.84	5.15	22.59	0.0	26.28	34.75	117.6	31.45	150.17
PIGT	4210.15	2915.45	1936.53	2485.67	4066.71	1487.87	2591.27	1991.0	2468.49	2240.11	2224.63	1417.35	3614.55	2384.37	3901.01	1331.57	2255.7	2209.26	3349.13	1844.76	1183.45	872.1	1143.1	1467.37	866.07	1119.56	2502.97	1519.15	1794.29	1159.07	1250.98	1769.57	1883.54	1250.98	1508.65	0.0	2915.45	1896.65	1832.01	3419.52	3820.7
PIH1D1	1561.89	1936.53	1909.85	2351.53	2240.11	1733.13	3235.01	2816.11	2255.7	1286.18	1857.6	3742.05	3639.7	2090.03	3103.19	1806.78	2417.67	2335.28	4704.07	1923.14	1008.9	1991.0	890.44	954.43	1259.69	1477.58	1295.13	1242.34	967.76	1498.22	1651.0	1030.12	1388.16	785.88	890.44	0.0	2796.65	1233.75	1561.89	2178.83	4388.98
PPIL2	753.83	620.67	808.0	785.88	633.73	466.88	1008.9	988.12	718.08	348.71	1233.75	624.99	1023.0	463.65	1023.0	669.92	934.76	688.78	1487.87	651.58	497.0	420.68	348.71	267.73	607.87	438.59	808.0	563.18	373.81	412.0	432.53	351.14	334.46	400.71	279.14	0.0	1023.0	389.72	547.75	629.35	1044.52
PPOX	642.59	423.61	575.03	536.45	567.1	226.54	759.08	759.08	547.75	204.07	753.83	941.27	665.29	551.56	1304.15	547.75	733.19	902.89	1159.07	511.0	244.57	281.09	102.97	96.68	150.17	246.28	307.69	314.17	197.09	312.0	291.04	167.9	198.47	163.28	189.02	0.0	612.11	273.37	316.37	500.46	1096.5
PPP1R12C	1769.57	2075.59	1857.6	2119.22	1268.46	934.76	1844.76	1733.13	1498.22	698.41	1697.45	2502.97	1936.53	1216.75	2224.63	961.07	2032.85	1594.73	3060.45	2104.58	1051.79	1322.37	358.54	647.07	1151.06	902.89	1167.14	688.78	536.45	1037.29	860.08	575.03	748.61	473.41	567.1	0.0	1685.71	909.17	1806.78	1870.53	2537.92
PPP2R1A	4869.99	7485.11	4903.87	5555.65	6935.54	3564.78	5594.3	3820.7	5041.77	2335.28	3794.3	5555.65	8134.41	4298.64	6935.54	4639.29	4607.24	4869.99	7433.4	5479.15	2434.5	2520.38	1819.35	1651.0	3103.19	2720.15	7180.15	2133.97	1870.53	2997.45	2664.15	2835.7	4181.07	3039.3	2148.82	0.0	7642.41	3820.7	8247.98	10368.08	10512.82
PRR24	339.14	497.0	361.04	320.8	438.59	190.34	507.46	376.41	470.14	105.89	521.76	698.41	624.99	500.46	529.06	381.68	497.0	397.93	796.86	441.64	277.2	283.05	91.41	159.9	406.31	183.82	205.5	271.48	151.22	314.17	167.9	139.07	346.29	287.01	104.42	0.0	420.68	248.0	559.28	698.41	1350.18
PTOV1	3103.19	2895.31	3146.52	3303.0	3491.39	3639.7	4419.52	3168.41	3491.39	1721.16	3060.45	5711.87	7382.04	3039.3	6516.03	4388.98	3372.43	4210.15	6983.79	3639.7	2739.08	3742.05	1268.46	1529.73	2485.67	2351.53	2075.59	2573.36	2004.85	3124.78	3589.58	2319.15	3690.52	1977.24	2956.17	0.0	3665.02	1540.37	2935.74	3614.55	8963.45
PYGO2	457.25	540.19	624.99	521.76	713.11	289.02	1111.82	947.83	387.02	273.37	866.07	1037.29	884.29	624.99	1519.15	612.11	896.64	1225.22	1844.76	603.67	253.23	366.09	107.38	114.36	229.72	356.05	265.87	205.5	271.48	441.64	277.2	236.21	441.64	171.45	251.48	0.0	743.43	381.68	616.37	503.95	995.0
