	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A18V.01A.11R.A12D.07	TCGA.AQ.A04J.01A.02R.A034.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.XOT4.0726.SM.4GIAW	GTEX.14AS3.1626.SM.5S2OY	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.12696.0826.SM.5EGGE
C17orf53	57.89	36.79	69.52	81.71	27.64	41.81	54.72	87.65	34.75	27.84	177.53	74.06	57.49	33.54	41.22	31.45	28.24	25.54	38.4	55.1	53.19	36.79	41.81	4.74
CASC5	32.82	27.44	74.06	112.77	5.45	73.54	39.5	95.34	13.52	11.04	373.81	94.01	161.02	58.3	3.08	21.78	4.98	5.32	7.4	47.5	5.15	3.69	5.92	12.83
CCNB2	205.5	208.38	384.34	1044.52	30.12	325.29	162.14	775.05	93.35	55.1	2451.44	1378.57	775.05	269.6	9.06	146.03	38.67	51.35	96.01	361.04	72.01	15.45	105.15	3.79
CDC20	420.68	267.73	607.87	1001.93	82.87	381.68	171.45	239.52	146.03	89.51	1870.53	2061.24	785.88	339.14	15.11	305.55	33.54	72.01	137.14	525.39	59.13	27.25	106.63	7.57
CDC45	131.51	95.34	148.09	180.02	34.75	124.37	182.55	323.03	31.45	29.91	444.72	583.07	299.25	87.65	2.1	108.14	12.0	22.26	68.07	295.11	43.94	7.4	46.5	17.38
CDCA3	279.14	221.86	371.22	890.44	65.72	190.34	202.66	397.93	155.5	59.97	1111.82	884.29	473.41	144.01	17.13	205.5	42.11	37.05	87.03	253.23	77.25	11.64	49.91	9.41
CDCA5	202.66	134.3	275.28	878.17	40.64	176.29	204.07	511.0	102.25	50.98	1529.73	743.43	518.15	147.06	26.86	96.01	25.91	33.06	64.8	336.79	52.08	46.84	86.43	9.93
CDCA8	214.27	131.51	275.28	503.95	35.0	166.73	145.02	251.48	65.72	46.5	1030.12	679.29	316.37	159.9	13.72	89.51	32.59	39.22	46.84	223.41	75.11	30.12	55.1	10.88
CENPF	796.86	171.45	591.22	651.58	35.25	543.96	163.28	591.22	186.4	65.72	1991.0	1127.35	981.29	412.0	2.41	224.97	50.27	74.58	161.02	470.14	90.77	26.86	111.99	2.78
CEP55	205.5	108.14	201.25	567.1	10.55	223.41	197.09	379.04	63.89	24.11	1745.2	457.25	463.65	164.42	4.62	81.71	13.03	17.51	47.17	128.79	22.43	18.43	70.51	4.74
CHEK1	125.24	122.64	204.07	591.22	64.8	92.05	305.55	323.03	170.25	83.45	540.19	571.05	420.68	147.06	66.65	135.24	57.08	59.97	128.79	258.57	206.94	104.42	97.36	17.0
CKAP2L	100.83	44.25	113.56	237.86	3.79	104.42	74.06	447.82	26.47	17.13	511.0	249.73	159.9	68.55	5.96	28.86	6.06	6.41	18.03	51.71	20.86	0.0	8.0	0.0
CLSPN	56.68	29.91	77.79	353.59	2.41	77.25	69.52	158.79	7.17	6.01	373.81	118.43	146.03	47.5	6.73	21.01	2.61	4.58	12.45	51.71	2.51	12.09	18.16	0.0
CSMD2	3.41	2.78	12.27	21.94	1.6	3.5	7.75	3.92	4.9	1.79	17.25	15.8	7.51	9.7	1.81	5.02	2.1	4.17	3.17	5.59	0.71	2.12	0.16	0.31
DEPDC1	38.12	31.0	75.11	267.73	7.17	70.01	54.33	82.29	25.54	10.55	244.57	253.23	202.66	55.49	4.31	26.47	5.45	7.4	12.27	85.22	9.13	4.24	21.01	0.0
DEPDC1B	78.34	17.13	135.24	151.22	4.03	48.18	35.76	161.02	27.44	5.11	248.0	121.79	206.94	66.18	1.04	36.01	5.63	5.63	10.96	70.51	11.04	1.58	9.06	1.07
DIAPH3	80.01	28.86	64.8	92.05	8.51	57.08	73.03	197.09	27.05	8.78	967.76	171.45	132.44	53.57	9.56	40.64	8.58	15.22	12.83	127.0	20.86	9.63	21.63	0.97
DLGAP5	152.28	63.89	105.89	384.34	7.82	181.28	69.52	281.09	58.3	9.93	438.59	540.19	397.93	137.14	1.6	43.02	5.36	12.09	32.13	122.64	23.25	2.92	23.93	3.32
DNA2	81.71	37.05	65.72	151.22	28.04	61.68	64.34	199.85	36.53	32.36	133.36	79.45	126.12	49.56	8.13	43.02	15.8	19.68	17.9	53.19	10.0	8.78	8.06	19.82
E2F2	22.92	19.39	55.1	110.43	5.23	20.86	46.18	55.1	9.78	12.09	381.68	50.98	96.01	21.78	1.39	21.94	2.68	9.56	13.32	36.79	25.91	9.27	9.7	0.66
E2F7	23.59	6.41	18.56	30.34	1.91	22.75	20.11	82.29	10.24	3.14	61.68	31.0	46.5	9.56	0.0	17.25	5.36	5.68	3.76	18.7	2.34	0.46	3.03	0.0
E2F8	46.84	10.16	50.63	95.34	1.83	50.27	32.59	68.07	8.13	2.36	190.34	86.43	129.69	18.29	0.67	16.51	1.64	2.29	9.63	26.28	5.45	1.01	10.24	0.27
ECT2	860.08	305.55	620.67	819.3	175.07	612.11	366.09	1183.45	299.25	124.37	1437.15	688.78	2209.26	536.45	59.97	293.07	214.27	199.85	158.79	733.19	148.09	234.57	397.93	26.67
EXO1	152.28	29.06	164.42	208.38	6.89	103.69	91.41	267.73	90.14	21.16	316.37	379.04	214.27	80.57	1.35	56.28	7.46	12.36	23.25	98.73	13.83	13.93	11.64	0.6
FAM64A	98.04	31.45	70.01	285.03	11.55	96.01	48.87	208.38	80.01	31.0	231.32	246.28	269.6	102.25	4.46	45.85	6.62	17.38	31.45	127.0	18.56	20.86	37.59	0.0
FANCA	158.79	285.03	281.09	353.59	90.14	66.65	212.78	178.77	205.5	57.49	1397.83	500.46	320.8	107.38	31.9	177.53	53.57	75.64	67.12	316.37	92.05	55.1	45.85	124.37
FANCI	211.31	177.53	460.44	830.75	98.04	414.87	387.02	1250.98	127.0	141.02	1594.73	1340.84	921.88	336.79	33.54	185.11	122.64	144.01	146.03	470.14	122.64	22.59	77.79	51.71
FOXM1	318.57	144.01	486.75	2271.4	56.68	343.89	255.0	669.92	187.71	45.85	3467.27	1963.57	819.3	305.55	10.08	228.13	22.26	44.57	84.04	356.05	56.28	14.56	32.13	25.54
FXR1	3081.75	1651.0	2417.67	2816.11	1594.73	2720.15	2720.15	2047.0	1794.29	2061.24	3982.99	2434.5	4268.94	2271.4	1844.76	2255.7	2255.7	2224.63	2004.85	3467.27	2104.58	1277.29	1304.15	748.61
GAS2L3	97.36	31.0	71.0	204.07	8.71	90.77	33.54	214.27	40.93	19.11	102.25	99.43	189.02	26.28	10.96	69.03	15.34	28.04	19.25	151.22	30.12	24.28	28.65	9.85
GSG2	22.59	6.36	17.0	69.03	3.11	34.02	24.46	55.89	15.91	3.44	93.35	57.08	48.52	20.56	3.17	16.03	3.76	7.46	8.58	42.11	3.76	5.32	4.74	0.16
GTSE1	152.28	28.45	46.84	135.24	12.36	108.9	75.64	86.43	27.44	10.31	567.1	271.48	329.84	64.34	18.16	52.82	6.78	18.84	26.1	100.13	18.84	10.0	16.03	0.58
HELLS	146.03	54.33	102.25	264.03	28.86	161.02	176.29	579.04	121.79	60.39	181.28	400.71	232.94	135.24	3.69	140.04	53.57	84.63	63.45	220.32	85.22	44.89	54.72	13.22
HIST1H2BJ	23.93	96.68	134.3	150.17	38.4	116.78	97.36	51.35	111.21	62.12	587.13	995.0	400.71	67.59	34.26	61.68	27.25	78.89	34.75	130.6	9.56	33.3	23.42	0.0
HJURP	159.9	55.1	102.97	142.01	6.94	140.04	94.01	228.13	45.53	23.93	738.29	226.54	303.44	63.45	2.05	37.85	4.62	11.21	23.08	76.17	13.62	5.28	43.32	1.89
HMMR	126.12	109.66	201.25	202.66	18.16	132.44	122.64	420.68	77.79	9.13	381.68	198.47	271.48	147.06	6.01	54.72	5.77	12.83	33.3	176.29	22.43	7.34	52.08	3.72
IDI1	624.99	896.64	780.44	1331.57	718.08	1340.84	947.83	1651.0	616.37	743.43	2240.11	1936.53	1709.26	921.88	551.56	947.83	595.34	703.28	934.76	1467.37	854.13	1081.39	796.86	669.92
INCENP	312.0	175.07	348.71	525.39	183.82	358.54	256.78	500.46	190.34	231.32	967.76	563.18	612.11	273.37	126.12	249.73	251.48	253.23	150.17	575.03	241.19	96.01	104.42	57.89
IQGAP3	197.09	39.5	107.38	176.29	8.06	99.43	87.65	163.28	64.8	25.54	1159.07	339.14	323.03	110.43	1.35	74.06	3.29	10.96	23.08	116.78	27.84	0.0	12.55	2.71
KIF11	204.07	108.14	176.29	339.14	25.72	309.83	149.12	620.67	78.89	41.52	802.41	457.25	314.17	194.36	9.2	95.34	33.54	37.85	51.35	208.38	58.71	21.47	46.5	5.73
KIF14	48.18	8.32	48.18	100.83	1.6	31.9	11.04	81.14	22.1	2.78	112.77	128.79	155.5	25.54	0.34	12.27	0.99	2.63	4.94	60.39	6.21	1.2	6.52	1.73
KIF15	74.58	28.86	77.79	249.73	16.63	88.88	67.12	265.87	38.4	14.14	387.02	161.02	172.65	45.53	14.67	30.12	21.01	13.22	22.92	76.71	24.11	4.13	33.3	1.0
KIF18B	67.59	27.44	88.88	158.79	5.41	51.35	71.5	85.82	22.1	3.99	379.04	133.36	80.57	22.1	0.0	31.22	6.94	5.32	13.12	63.89	9.34	2.71	4.13	0.0
KIF20A	232.94	100.83	303.44	507.46	12.74	199.85	82.87	327.56	85.22	27.84	616.37	473.41	808.0	140.04	6.67	139.07	11.64	18.03	46.5	201.25	16.51	7.69	37.59	0.0
KIF23	144.01	123.5	307.69	441.64	41.22	264.03	170.25	392.44	59.13	56.68	1277.29	595.34	532.74	177.53	5.54	111.99	90.14	50.98	88.26	199.85	99.43	10.39	72.52	3.66
KIF24	44.25	27.25	47.17	50.63	18.97	52.45	54.72	99.43	43.32	39.22	65.72	63.45	59.55	49.21	4.17	45.85	17.64	24.28	28.86	55.89	48.52	14.56	21.78	0.02
KIF2C	201.25	110.43	346.29	470.14	21.01	177.53	107.38	221.86	57.49	47.5	866.07	493.56	409.15	134.3	3.26	88.26	25.35	27.84	49.56	228.13	69.03	6.57	46.84	1.22
KIF4A	154.42	54.72	199.85	511.0	8.99	161.02	102.25	293.07	47.5	14.24	571.05	381.68	480.04	125.24	1.66	41.52	4.17	6.73	18.97	125.24	10.39	5.5	20.86	0.0
KIFC1	323.03	120.94	363.56	688.78	88.26	269.6	283.05	438.59	84.63	60.39	2240.11	802.41	688.78	173.85	10.16	163.28	43.02	79.45	106.63	161.02	40.07	30.56	61.25	1.69
LCLAT1	197.09	99.43	215.77	175.07	88.26	224.97	104.42	389.72	156.59	108.14	297.17	237.86	205.5	186.4	62.56	110.43	108.14	120.1	111.21	234.57	135.24	74.58	111.21	74.06
MAPK9	759.08	563.18	872.1	947.83	466.88	587.13	836.53	1208.34	693.58	540.19	1023.0	551.56	1832.01	738.29	412.0	507.46	476.71	460.44	457.25	842.36	490.14	316.37	529.06	195.72
MASTL	242.88	170.25	234.57	249.73	90.77	239.52	153.34	397.93	142.01	115.16	476.71	277.2	480.04	139.07	54.72	182.55	143.01	113.56	114.36	269.6	191.67	48.18	74.58	46.84
MCM6	612.11	305.55	587.13	842.36	142.01	536.45	612.11	728.11	293.07	260.38	1605.83	884.29	769.69	403.5	239.52	332.14	229.72	283.05	403.5	483.38	379.04	412.0	167.9	69.03
MELK	215.77	90.14	237.86	63.89	10.24	150.17	145.02	612.11	102.25	16.27	1583.71	587.13	713.11	155.5	1.68	100.83	10.31	12.93	30.78	262.2	31.22	4.46	19.97	0.96
MGP	485798.0	998912.34	1139523.1	659036.03	386469.83	736332.6	577714.63	466008.55	1196176.45	623486.02	236256.4	179048.63	98646.85	459592.86	43840.21	462789.59	408505.64	800198.39	509950.32	598087.73	1524599.69	1100706.72	1308968.45	87.03
MKI67	256.78	60.82	134.3	414.87	14.03	231.32	138.1	579.04	92.7	21.01	848.22	759.08	514.56	183.82	3.56	68.55	8.78	27.44	44.57	295.11	38.4	8.19	25.35	1.19
MKLN1	417.77	279.14	420.68	854.13	325.29	525.39	669.92	854.13	514.56	366.09	579.04	642.59	759.08	660.68	269.6	466.88	423.61	381.68	379.04	1216.75	426.57	154.42	351.14	301.33
MLF1IP	392.44	368.65	521.76	376.41	97.36	656.11	460.44	921.88	232.94	129.69	981.29	575.03	1477.58	503.95	48.87	148.09	110.43	158.79	209.84	575.03	208.38	35.0	128.79	35.5
MND1	93.35	37.32	146.03	229.72	20.71	82.29	84.04	239.52	33.06	20.71	723.08	371.22	239.52	67.59	4.06	47.5	14.03	14.03	41.52	109.66	39.5	58.71	57.08	4.5
NCAPG	117.6	59.97	182.55	327.56	9.85	87.65	73.03	358.54	48.52	19.97	476.71	289.02	285.03	137.14	4.35	53.57	7.75	17.13	23.08	122.64	27.84	9.2	16.75	2.32
NCAPH	190.34	80.01	246.28	334.46	18.29	126.12	143.01	371.22	54.33	49.56	665.29	514.56	420.68	109.66	4.94	70.01	18.43	26.28	44.25	115.97	39.5	13.93	65.26	3.96
NDC80	172.65	101.54	239.52	860.08	9.93	178.77	119.26	171.45	35.25	22.75	543.96	500.46	470.14	157.68	5.92	77.79	13.32	19.25	40.36	181.28	13.93	17.25	33.78	8.19
NEIL3	30.12	19.53	42.71	44.57	2.1	35.5	26.47	115.16	6.52	1.68	49.91	82.29	75.11	18.03	0.0	11.82	0.3	3.53	4.54	37.59	4.35	0.0	5.5	0.0
NET1	4181.07	3325.99	3614.55	3018.3	447.82	2796.65	1977.24	5711.87	2855.44	1044.52	2351.53	2627.46	4769.75	2119.22	1350.18	1023.0	1437.15	974.5	836.53	3768.09	2287.2	1096.5	525.39	412.0
NUF2	264.03	77.25	177.53	277.2	14.89	185.11	100.83	409.15	127.0	19.53	947.83	343.89	1277.29	147.06	3.53	102.25	12.74	14.78	48.18	175.07	16.15	12.36	21.32	13.32
NUSAP1	412.0	353.59	836.53	1135.2	53.19	738.29	547.75	796.86	166.73	76.71	2451.44	796.86	1572.76	620.67	11.64	234.57	52.08	78.34	138.1	497.0	110.43	35.25	80.57	50.27
ORC1	43.32	23.42	62.56	105.89	12.83	47.17	53.95	62.12	10.47	6.01	193.01	113.56	75.64	27.64	2.53	22.59	9.13	12.09	19.53	79.45	14.89	12.27	15.8	4.17
ORC6	80.57	137.14	242.88	248.0	27.64	52.45	136.19	171.45	77.79	30.12	785.88	262.2	201.25	32.36	14.03	115.16	26.28	30.78	47.84	220.32	67.59	29.7	50.98	8.65
PAQR4	381.68	275.28	387.02	441.64	171.45	551.56	312.0	1151.06	236.21	366.09	620.67	1001.93	947.83	616.37	88.26	273.37	127.0	175.07	187.71	447.82	299.25	336.79	180.02	21.16
PBK	146.03	77.79	234.57	718.08	8.0	116.78	186.4	532.74	113.56	27.64	339.14	447.82	450.94	170.25	3.89	39.5	3.44	17.38	40.64	204.07	22.92	10.39	69.52	3.89
PCNA	2758.13	2956.17	3280.18	3212.66	1350.18	2193.99	2434.5	5913.33	1923.14	1769.57	2434.5	5872.48	6121.9	1896.65	909.17	1936.53	1378.57	1697.45	1697.45	2645.74	1313.23	4298.64	4239.45	728.11
PLK4	133.36	68.55	81.14	199.85	40.93	130.6	128.79	299.25	82.29	81.14	255.0	303.44	242.88	78.34	19.53	60.39	74.06	33.06	62.12	142.01	89.51	22.75	22.92	10.16
POLA2	473.41	336.79	341.51	679.29	221.86	336.79	373.81	728.11	303.44	217.27	1001.93	595.34	507.46	318.57	246.28	275.28	262.2	277.2	242.88	511.0	414.87	105.89	241.19	190.34
POLQ	38.12	7.63	27.25	62.56	5.5	18.7	32.13	35.5	10.08	10.39	138.1	57.49	78.34	13.03	0.0	13.93	2.34	3.66	10.71	34.02	4.9	1.03	5.11	0.36
PRC1	409.15	412.0	854.13	1781.89	111.21	723.08	698.41	2090.03	209.84	167.9	6079.61	1662.49	1529.73	543.96	64.34	395.18	115.16	144.01	212.78	775.05	301.33	111.99	159.9	22.92
PRR11	110.43	59.55	208.38	353.59	11.47	111.99	75.64	327.56	47.84	24.81	723.08	521.76	29943.43	65.72	5.59	96.68	18.43	21.63	35.76	102.25	21.01	11.64	26.1	4.43
RAD51AP1	265.87	137.14	395.18	769.69	42.71	183.82	166.73	743.43	112.77	42.71	775.05	521.76	297.17	159.9	13.62	185.11	52.08	59.55	68.07	295.11	134.3	34.75	58.3	7.94
RAD54L	130.6	63.89	70.51	204.07	21.47	70.01	92.7	109.66	16.15	31.9	297.17	265.87	115.16	59.13	9.7	56.28	20.11	23.25	24.81	127.0	36.01	38.95	10.39	5.15
SGOL1	46.18	32.36	85.82	214.27	4.21	69.03	39.5	260.38	36.53	10.88	387.02	131.51	176.29	50.27	2.01	31.0	4.86	13.83	14.03	81.14	26.28	3.79	29.91	7.11
SHCBP1	42.11	156.59	173.85	208.38	25.35	85.22	94.01	152.28	95.34	20.41	620.67	289.02	318.57	57.08	13.72	43.94	7.57	17.38	35.25	80.57	19.97	19.82	16.63	0.39
SKA1	79.45	45.53	63.45	102.25	4.31	69.03	50.98	120.1	18.03	9.06	194.36	66.65	152.28	55.1	1.69	33.78	5.87	8.13	17.9	70.51	11.64	19.97	21.94	0.0
SKA3	58.3	47.17	37.32	127.0	10.24	91.41	65.72	204.07	52.82	16.15	438.59	199.85	177.53	91.41	4.66	37.05	6.11	15.22	19.97	115.16	12.09	12.83	21.94	5.11
SPC24	180.02	46.84	92.7	125.24	15.11	98.73	118.43	135.24	97.36	33.78	371.22	397.93	271.48	60.82	24.46	47.84	11.64	13.32	50.63	99.43	14.14	5.63	26.47	10.63
TCF19	297.17	121.79	301.33	525.39	78.89	281.09	329.84	642.59	125.24	157.68	1477.58	825.0	547.75	220.32	101.54	287.01	157.68	175.07	158.79	454.09	356.05	336.79	241.19	20.11
TOP2A	769.69	633.73	1096.5	1733.13	71.0	866.07	703.28	2573.36	291.04	108.14	2319.15	1639.59	1378.57	603.67	6.36	248.0	40.36	73.54	156.59	921.88	110.43	31.9	229.72	2.18
TPX2	341.51	223.41	575.03	514.56	31.67	414.87	255.0	866.07	204.07	61.68	2758.13	1268.46	1277.29	303.44	23.59	202.66	24.99	43.94	92.7	500.46	65.26	15.34	51.35	36.53
TRAPPC3L	2.63	3.0	1.73	2.78	0.29	2.36	0.95	2.2	0.3	0.0	3.32	2.92	1.22	1.83	1.39	3.53	0.66	1.35	0.67	4.06	0.71	0.0	1.06	0.0
TRIP13	244.57	129.69	239.52	629.35	41.22	133.36	100.13	563.18	111.99	34.51	1832.01	287.01	571.05	133.36	16.63	92.7	27.64	83.45	70.01	138.1	41.22	28.45	49.21	7.75
TROAP	249.73	95.34	325.29	215.77	20.56	131.51	115.97	339.14	112.77	58.3	547.75	409.15	441.64	120.94	1.16	85.82	16.27	28.45	50.27	234.57	39.22	34.51	72.01	14.14
TTK	122.64	64.34	99.43	441.64	17.64	80.01	71.5	297.17	38.4	17.9	607.87	473.41	297.17	104.42	5.41	74.06	23.76	20.71	27.44	141.02	36.27	32.36	41.52	3.32
WDHD1	189.02	59.13	178.77	361.04	48.87	145.02	109.66	336.79	73.54	52.45	260.38	435.55	229.72	123.5	21.16	70.01	55.89	63.45	52.08	155.5	121.79	40.93	22.1	8.38
WDR62	54.72	25.91	72.52	134.3	22.92	54.33	64.34	67.59	15.56	16.27	186.4	67.12	77.25	41.81	3.03	24.99	9.85	12.64	20.41	65.26	21.94	7.0	13.32	15.45
WHSC1	753.83	244.57	518.15	1001.93	325.29	764.36	698.41	1322.37	249.73	358.54	1096.5	514.56	902.89	466.88	157.68	379.04	307.69	320.8	277.2	616.37	389.72	75.64	221.86	172.65
