	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A2MX.11C.11R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.ZV6S.0226.SM.59HJT	GTEX.SUCS.0226.SM.32PLQ	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.Q2AI.0326.SM.2I3EK	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.V955.0426.SM.3GAEL	GTEX.X5EB.0726.SM.46MVR	GTEX.PX3G.2626.SM.2I3EG	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
CAPZA2	1183.45	1350.18	1487.87	1487.87	1572.76	1551.09	1295.13	2090.03	1322.37	1268.46	2502.97	1225.22	1781.89	2520.38	3257.52	2502.97	2018.8	2255.7	2400.97	2935.74	2271.4	3419.52	1572.76	4419.52	2609.3	2193.99	2178.83	1832.01	3303.0	1909.85	2061.24	2163.77	2004.85	2935.74	2255.7	1769.57	1519.15	2271.4	2271.4	1977.24	2485.67	1467.37	2701.35	2777.33	3665.02	3018.3	4543.8	1950.0	2303.12	2240.11	3146.52	2178.83	2367.9	2032.85	2537.92	2502.97	1909.85	2591.27	2875.3	2104.58	1628.26	2758.13	1909.85	2367.9	1572.76	2193.99	2047.0	3039.3	2537.92	2287.2	2018.8	1733.13	1991.0	2193.99	2777.33
CLCN3	262.2	214.27	309.83	273.37	275.28	341.51	265.87	334.46	273.37	212.78	293.07	271.48	277.2	555.41	583.07	473.41	429.54	503.95	466.88	500.46	507.46	525.39	232.94	698.41	441.64	381.68	381.68	346.29	642.59	435.55	429.54	457.25	400.71	514.56	493.56	420.68	361.04	239.52	529.06	454.09	480.04	271.48	486.75	511.0	684.02	660.68	660.68	366.09	392.44	438.59	616.37	389.72	470.14	466.88	429.54	559.28	450.94	400.71	486.75	412.0	323.03	525.39	353.59	486.75	212.78	518.15	397.93	525.39	525.39	323.03	376.41	329.84	376.41	503.95	563.18
CLP1	152.28	158.79	122.64	94.67	180.02	74.06	178.77	158.79	115.16	83.45	197.09	104.42	158.79	264.03	180.02	244.57	241.19	256.78	218.79	285.03	289.02	115.16	163.28	297.17	221.86	140.04	198.47	206.94	264.03	289.02	260.38	241.19	281.09	329.84	307.69	166.73	135.24	166.73	256.78	111.21	289.02	199.85	314.17	262.2	244.57	181.28	291.04	228.13	220.32	253.23	246.28	255.0	273.37	208.38	265.87	237.86	262.2	267.73	320.8	139.07	253.23	312.0	267.73	248.0	202.66	221.86	281.09	262.2	283.05	137.14	144.01	223.41	181.28	246.28	305.55
CMTM6	642.59	872.1	759.08	785.88	825.0	1104.13	688.78	872.1	988.12	967.76	483.38	780.44	759.08	1242.34	1427.22	1143.1	785.88	988.12	854.13	1143.1	1015.93	1322.37	1242.34	1819.35	1059.11	688.78	733.19	521.76	1208.34	748.61	802.41	842.36	651.58	1104.13	748.61	660.68	629.35	616.37	921.88	1143.1	1015.93	769.69	884.29	995.0	1295.13	1745.2	1388.16	633.73	785.88	796.86	1175.27	866.07	860.08	1037.29	961.07	1259.69	808.0	1030.12	1023.0	785.88	575.03	1111.82	954.43	967.76	866.07	1001.93	854.13	1143.1	842.36	854.13	896.64	567.1	612.11	961.07	1119.56
COG5	307.69	189.02	323.03	297.17	305.55	318.57	285.03	348.71	273.37	255.0	432.53	314.17	368.65	567.1	679.29	457.25	320.8	543.96	493.56	395.18	490.14	529.06	454.09	674.59	476.71	392.44	381.68	435.55	563.18	476.71	629.35	497.0	480.04	575.03	532.74	283.05	366.09	264.03	536.45	483.38	555.41	307.69	454.09	387.02	802.41	733.19	1127.35	406.31	358.54	463.65	567.1	397.93	612.11	423.61	406.31	612.11	607.87	420.68	432.53	620.67	392.44	612.11	392.44	463.65	299.25	490.14	341.51	536.45	432.53	466.88	366.09	366.09	356.05	620.67	633.73
COX10	144.01	108.14	132.44	135.24	124.37	117.6	146.03	154.42	120.94	106.63	155.5	167.9	214.27	234.57	214.27	171.45	163.28	187.71	209.84	183.82	193.01	251.48	82.87	277.2	228.13	231.32	205.5	185.11	199.85	202.66	244.57	212.78	181.28	255.0	224.97	185.11	139.07	159.9	228.13	208.38	234.57	159.9	244.57	244.57	267.73	325.29	366.09	169.07	262.2	173.85	239.52	159.9	303.44	180.02	220.32	253.23	181.28	171.45	197.09	218.79	185.11	212.78	187.71	237.86	133.36	226.54	197.09	295.11	242.88	228.13	172.65	156.59	161.02	206.94	260.38
CSE1L	536.45	454.09	470.14	518.15	480.04	555.41	532.74	366.09	493.56	518.15	490.14	463.65	490.14	723.08	638.15	647.07	490.14	518.15	591.22	587.13	521.76	547.75	480.04	1008.9	759.08	551.56	525.39	503.95	543.96	591.22	547.75	656.11	587.13	607.87	941.27	463.65	463.65	490.14	718.08	660.68	624.99	470.14	599.49	620.67	674.59	836.53	848.22	547.75	536.45	473.41	769.69	599.49	748.61	575.03	551.56	665.29	454.09	529.06	764.36	525.39	583.07	728.11	563.18	503.95	356.05	674.59	466.88	819.3	555.41	583.07	603.67	555.41	500.46	633.73	629.35
CSTF2T	194.36	190.34	202.66	164.42	147.06	152.28	117.6	157.68	173.85	120.94	215.77	199.85	244.57	400.71	283.05	279.14	309.83	312.0	271.48	384.34	379.04	190.34	150.17	329.84	327.56	189.02	244.57	279.14	320.8	299.25	323.03	305.55	316.37	511.0	444.72	223.41	285.03	237.86	366.09	214.27	387.02	209.84	403.5	289.02	389.72	271.48	381.68	255.0	217.27	277.2	348.71	281.09	373.81	303.44	253.23	320.8	323.03	336.79	346.29	181.28	334.46	376.41	224.97	271.48	248.0	307.69	314.17	318.57	358.54	221.86	202.66	256.78	256.78	316.37	379.04
CWC27	336.79	295.11	242.88	253.23	287.01	305.55	224.97	293.07	332.14	303.44	287.01	309.83	371.22	358.54	414.87	358.54	323.03	318.57	329.84	387.02	376.41	447.82	221.86	460.44	395.18	373.81	307.69	301.33	470.14	289.02	395.18	363.56	366.09	363.56	341.51	346.29	307.69	301.33	381.68	432.53	470.14	291.04	384.34	332.14	447.82	559.28	438.59	307.69	412.0	348.71	400.71	267.73	334.46	356.05	341.51	351.14	346.29	327.56	387.02	384.34	285.03	339.14	348.71	289.02	248.0	312.0	283.05	450.94	339.14	371.22	320.8	325.29	400.71	392.44	395.18
DCTPP1	486.75	507.46	486.75	412.0	497.0	363.56	379.04	669.92	373.81	279.14	954.43	525.39	555.41	921.88	890.44	642.59	540.19	651.58	620.67	733.19	624.99	669.92	323.03	791.35	775.05	860.08	679.29	587.13	854.13	669.92	941.27	825.0	723.08	802.41	934.76	624.99	616.37	616.37	921.88	753.83	928.3	497.0	819.3	748.61	679.29	753.83	764.36	518.15	723.08	507.46	842.36	521.76	902.89	599.49	830.75	909.17	703.28	629.35	1066.48	521.76	860.08	802.41	769.69	466.88	336.79	483.38	521.76	967.76	669.92	612.11	718.08	638.15	660.68	607.87	921.88
DERL1	591.22	796.86	684.02	718.08	775.05	684.02	836.53	884.29	723.08	748.61	915.51	819.3	718.08	1030.12	1023.0	961.07	813.63	791.35	878.17	915.51	902.89	854.13	684.02	1397.83	921.88	656.11	866.07	830.75	1073.91	988.12	1127.35	967.76	878.17	1159.07	1081.39	728.11	733.19	547.75	1059.11	688.78	1135.2	733.19	995.0	1030.12	1508.65	1208.34	1096.5	674.59	848.22	878.17	1467.37	638.15	909.17	813.63	941.27	1111.82	842.36	974.5	1104.13	791.35	791.35	1242.34	1066.48	947.83	723.08	941.27	848.22	1286.18	902.89	791.35	723.08	575.03	703.28	1159.07	1066.48
DPH3	134.3	181.28	246.28	285.03	191.67	228.13	137.14	255.0	201.25	241.19	109.66	287.01	269.6	329.84	403.5	220.32	228.13	293.07	239.52	275.28	223.41	450.94	164.42	303.44	312.0	232.94	255.0	246.28	376.41	226.54	271.48	325.29	241.19	329.84	381.68	264.03	215.77	356.05	318.57	271.48	316.37	177.53	323.03	255.0	312.0	351.14	417.77	224.97	246.28	226.54	316.37	303.44	341.51	242.88	309.83	299.25	248.0	297.17	341.51	251.48	246.28	444.72	301.33	244.57	277.2	239.52	287.01	409.15	289.02	260.38	381.68	226.54	228.13	269.6	299.25
EIF4E	457.25	435.55	688.78	591.22	607.87	507.46	587.13	813.63	412.0	392.44	599.49	674.59	748.61	1407.55	1721.16	1369.04	1096.5	1135.2	1467.37	1477.58	1487.87	1639.59	1023.0	2178.83	1096.5	954.43	1037.29	796.86	1340.84	1225.22	1233.75	1111.82	1051.79	1721.16	1369.04	791.35	748.61	624.99	1322.37	775.05	1529.73	665.29	1844.76	1044.52	1883.54	1498.22	1781.89	1008.9	981.29	1208.34	1407.55	981.29	1268.46	1023.0	1104.13	1551.09	1183.45	1199.98	1216.75	981.29	848.22	1295.13	860.08	1250.98	921.88	1143.1	1225.22	1519.15	1388.16	981.29	808.0	974.5	1023.0	1127.35	1662.49
ENOX2	83.45	55.1	65.72	62.12	75.11	71.0	83.45	90.14	81.14	92.7	41.22	62.12	109.66	141.02	159.9	145.02	119.26	132.44	133.36	170.25	169.07	191.67	58.3	212.78	143.01	177.53	111.99	127.0	164.42	129.69	124.37	161.02	144.01	149.12	202.66	150.17	163.28	105.15	121.79	133.36	167.9	96.68	175.07	197.09	199.85	162.14	138.1	124.37	80.01	139.07	171.45	103.69	127.89	104.42	115.97	115.16	138.1	140.04	153.34	120.1	134.3	136.19	96.01	150.17	65.26	135.24	116.78	171.45	159.9	113.56	100.13	108.9	190.34	127.0	148.09
ERC1	221.86	135.24	186.4	195.72	183.82	169.07	144.01	209.84	161.02	143.01	205.5	153.34	185.11	325.29	409.15	329.84	229.72	334.46	379.04	392.44	417.77	301.33	273.37	392.44	303.44	239.52	258.57	264.03	312.0	358.54	262.2	256.78	271.48	373.81	379.04	260.38	212.78	150.17	454.09	269.6	356.05	191.67	299.25	379.04	463.65	287.01	381.68	258.57	234.57	281.09	444.72	320.8	384.34	275.28	220.32	273.37	303.44	281.09	265.87	249.73	336.79	348.71	186.4	285.03	223.41	303.44	236.21	273.37	309.83	260.38	239.52	255.0	246.28	429.54	339.14
FAIM	525.39	346.29	339.14	423.61	447.82	432.53	392.44	343.89	547.75	466.88	612.11	532.74	679.29	595.34	872.1	624.99	466.88	665.29	563.18	543.96	603.67	791.35	312.0	961.07	708.18	656.11	551.56	450.94	703.28	426.57	543.96	854.13	620.67	791.35	493.56	638.15	450.94	470.14	620.67	703.28	860.08	429.54	563.18	603.67	638.15	836.53	967.76	483.38	703.28	647.07	718.08	612.11	669.92	583.07	713.11	723.08	620.67	518.15	624.99	571.05	325.29	620.67	532.74	842.36	376.41	669.92	483.38	909.17	563.18	532.74	441.64	547.75	532.74	575.03	688.78
G3BP1	480.04	563.18	563.18	612.11	536.45	567.1	470.14	599.49	483.38	497.0	536.45	555.41	679.29	1467.37	1104.13	988.12	909.17	941.27	896.64	1088.92	1066.48	748.61	540.19	1350.18	1081.39	616.37	713.11	872.1	988.12	902.89	995.0	1023.0	909.17	1427.22	1583.71	642.59	638.15	583.07	1216.75	698.41	1242.34	642.59	1023.0	981.29	1561.89	1250.98	1331.57	753.83	785.88	902.89	1127.35	866.07	1199.98	928.3	848.22	1127.35	713.11	802.41	1023.0	808.0	848.22	1277.29	743.43	769.69	660.68	830.75	961.07	1208.34	1088.92	947.83	616.37	728.11	775.05	1051.79	1277.29
GDI2	2271.4	1896.65	1950.0	2032.85	2119.22	1674.06	1896.65	2351.53	1519.15	1487.87	2537.92	2018.8	1950.0	3018.3	2915.45	2468.49	2573.36	2816.11	2627.46	2664.15	2739.08	2701.35	1561.89	3235.01	2935.74	1883.54	2384.37	2090.03	2956.17	2555.58	3443.31	2664.15	2468.49	3325.99	3742.05	2520.38	2133.97	2502.97	2915.45	2645.74	2739.08	1709.26	2935.74	2609.3	3212.66	3168.41	3794.3	2271.4	2468.49	2434.5	3419.52	2133.97	3039.3	2351.53	2468.49	3257.52	2240.11	2502.97	3124.78	2004.85	3018.3	3639.7	2591.27	2720.15	1437.15	2163.77	2451.44	3639.7	2434.5	2032.85	2739.08	2148.82	2224.63	3103.19	3349.13
GNAI3	403.5	392.44	503.95	521.76	543.96	551.56	423.61	540.19	450.94	493.56	463.65	392.44	463.65	559.28	785.88	629.35	525.39	669.92	620.67	651.58	559.28	698.41	281.09	791.35	713.11	547.75	518.15	454.09	733.19	540.19	612.11	603.67	624.99	791.35	703.28	497.0	483.38	511.0	616.37	583.07	703.28	376.41	698.41	651.58	780.44	819.3	753.83	490.14	607.87	607.87	785.88	583.07	708.18	591.22	620.67	629.35	525.39	679.29	693.58	620.67	575.03	921.88	551.56	665.29	507.46	540.19	591.22	915.51	624.99	587.13	521.76	529.06	521.76	647.07	759.08
GOLIM4	307.69	140.04	212.78	271.48	224.97	241.19	205.5	242.88	329.84	265.87	420.68	249.73	334.46	591.22	583.07	450.94	291.04	371.22	356.05	808.0	373.81	642.59	343.89	748.61	426.57	441.64	285.03	376.41	543.96	493.56	429.54	379.04	412.0	656.11	723.08	417.77	361.04	217.27	629.35	529.06	599.49	214.27	463.65	490.14	1088.92	679.29	503.95	470.14	269.6	387.02	447.82	376.41	555.41	395.18	303.44	503.95	358.54	343.89	507.46	381.68	480.04	555.41	232.94	297.17	255.0	320.8	271.48	414.87	514.56	435.55	273.37	285.03	316.37	563.18	460.44
GRSF1	848.22	941.27	967.76	1008.9	1037.29	1051.79	1030.12	1225.22	928.3	860.08	1159.07	884.29	878.17	1135.2	1508.65	1277.29	1175.27	1268.46	1127.35	1167.14	1199.98	1313.23	1295.13	1498.22	1286.18	988.12	1127.35	967.76	1233.75	1059.11	1216.75	1051.79	1119.56	1397.83	1295.13	947.83	921.88	884.29	1037.29	1151.06	1551.09	961.07	1250.98	1295.13	1397.83	1651.0	1407.55	967.76	1073.91	1081.39	1447.15	1030.12	1088.92	1081.39	1143.1	1259.69	1037.29	1191.69	1088.92	1051.79	1008.9	1359.57	1143.1	1340.84	967.76	1015.93	1135.2	1674.06	1259.69	1081.39	1159.07	1081.39	1111.82	1191.69	1331.57
HBS1L	368.65	387.02	511.0	389.72	432.53	414.87	299.25	616.37	358.54	332.14	368.65	417.77	466.88	825.0	836.53	674.59	624.99	651.58	748.61	738.29	674.59	934.76	563.18	1008.9	633.73	490.14	518.15	525.39	738.29	633.73	642.59	547.75	620.67	769.69	802.41	595.34	595.34	432.53	902.89	743.43	872.1	432.53	802.41	759.08	1037.29	1277.29	1023.0	591.22	447.82	651.58	808.0	629.35	708.18	665.29	454.09	728.11	791.35	713.11	808.0	688.78	563.18	884.29	460.44	656.11	511.0	860.08	679.29	1081.39	629.35	656.11	532.74	480.04	536.45	775.05	684.02
