	TCGA.A8.A08B.01A.11R.A00Z.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AR.A1AS.01A.11R.A12P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.RU72.0626.SM.46MUI	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07
CCDC50	236.21	353.59	351.14	616.37	738.29	339.14	273.37	444.72	376.41	511.0	397.93	503.95	339.14	463.65	368.65	414.87	162.14	417.77	392.44	363.56	567.1	567.1	329.84	723.08	620.67	536.45	830.75	126.12	205.5	412.0	1051.79	1119.56	928.3	902.89	884.29	974.5	872.1	1216.75	1037.29	1208.34	1697.45	1044.52	842.36	2303.12	1745.2	1561.89	0.0
CDH8	0.0	12.0	12.74	6.41	53.19	1.87	2.58	6.84	17.25	6.46	10.88	3.06	15.56	14.03	25.17	6.84	0.97	1.77	1.99	17.51	6.84	11.13	1.33	49.21	10.31	4.21	3.56	5.68	7.11	2.92	60.39	54.33	13.12	37.85	13.03	19.97	25.54	19.97	18.03	28.45	42.71	28.24	26.47	94.01	49.91	8.06	0.0
CHST9	3.29	0.0	8.92	21.63	44.89	0.71	1.17	31.45	0.61	15.8	3.56	6.31	1.22	27.05	0.3	1.2	0.0	3.72	0.88	15.45	16.75	2.18	1.39	74.06	1.1	0.0	42.11	7.4	2.2	2.01	104.42	136.19	95.34	53.95	130.6	187.71	208.38	214.27	237.86	190.34	89.51	23.76	96.01	363.56	218.79	193.01	0.0
CLDN11	9.93	26.28	190.34	287.01	486.75	10.24	33.3	579.04	31.0	124.37	293.07	69.52	120.94	177.53	79.45	31.22	15.8	137.14	13.32	56.28	195.72	28.04	16.03	567.1	57.89	25.91	80.01	117.6	79.45	30.78	1477.58	808.0	1225.22	571.05	1030.12	791.35	1304.15	1059.11	2682.69	633.73	718.08	287.01	470.14	1757.34	1977.24	1143.1	16.88
CLDN8	51.71	4.17	164.42	84.04	218.79	70.01	125.24	246.28	39.79	36.79	135.24	14.67	3.14	136.19	5.41	412.0	4.86	0.0	69.03	175.07	92.05	38.95	34.26	414.87	536.45	32.36	2032.85	13.32	17.64	15.34	961.07	878.17	579.04	305.55	1896.65	1111.82	1073.91	1447.15	1159.07	1191.69	1417.35	165.57	830.75	1806.78	1119.56	934.76	0.0
CLIP4	77.25	69.03	67.59	139.07	175.07	6.21	39.79	183.82	55.49	80.01	112.77	163.28	22.26	107.38	105.89	25.17	1.36	56.28	13.72	40.36	118.43	40.93	35.5	248.0	98.04	81.71	420.68	43.94	37.85	195.72	866.07	638.15	358.54	389.72	551.56	567.1	412.0	791.35	1175.27	2537.92	660.68	137.14	669.92	1437.15	2468.49	1059.11	0.0
COL17A1	51.35	3.35	260.38	1277.29	1233.75	22.59	111.21	1151.06	81.71	206.94	587.13	181.28	21.63	638.15	36.27	4.74	1.39	248.0	15.34	486.75	629.35	4.24	90.77	3168.41	178.77	57.89	81.71	264.03	157.68	104.42	4038.61	3280.18	2835.7	2555.58	2796.65	3820.7	3614.55	1883.54	5255.91	5555.65	2224.63	961.07	2468.49	2609.3	4512.4	4152.18	0.0
CPEB4	124.37	171.45	155.5	336.79	289.02	71.0	79.45	279.14	314.17	490.14	237.86	447.82	432.53	414.87	356.05	363.56	75.11	463.65	265.87	267.73	193.01	209.84	146.03	743.43	503.95	275.28	563.18	256.78	1059.11	318.57	599.49	555.41	358.54	476.71	409.15	414.87	281.09	547.75	503.95	1066.48	332.14	567.1	595.34	1322.37	607.87	1143.1	0.0
CRIM1	356.05	1081.39	738.29	915.51	642.59	21.94	98.73	921.88	1378.57	1066.48	941.27	728.11	1551.09	1447.15	1008.9	532.74	400.71	1225.22	389.72	860.08	753.83	1769.57	241.19	2758.13	836.53	1519.15	1167.14	161.02	1977.24	336.79	3190.46	2915.45	2627.46	3060.45	1977.24	2591.27	2240.11	3081.75	1225.22	1977.24	4903.87	1936.53	1519.15	4937.99	3349.13	5555.65	518.15
CRY2	420.68	587.13	536.45	642.59	483.38	454.09	314.17	813.63	341.51	579.04	708.18	397.93	392.44	624.99	791.35	417.77	400.71	529.06	981.29	255.0	567.1	507.46	283.05	620.67	389.72	599.49	361.04	454.09	318.57	403.5	884.29	791.35	1088.92	967.76	555.41	988.12	808.0	866.07	1268.46	1225.22	1199.98	1119.56	1477.58	1685.71	1477.58	1023.0	0.0
CYP7B1	147.06	122.64	42.11	209.84	100.13	35.76	24.63	96.01	58.71	121.79	145.02	76.71	23.42	99.43	171.45	110.43	8.99	33.3	5.82	155.5	162.14	60.82	56.28	181.28	143.01	75.11	285.03	44.25	49.21	43.02	318.57	336.79	161.02	264.03	228.13	269.6	194.36	273.37	167.9	228.13	180.02	387.02	100.83	1059.11	232.94	616.37	0.0
DMD	11.3	28.04	39.22	147.06	175.07	22.43	23.42	117.6	69.52	97.36	110.43	42.41	38.67	122.64	55.49	54.33	6.89	46.84	21.94	145.02	122.64	57.89	14.45	381.68	53.19	111.99	693.58	35.0	43.02	71.5	860.08	738.29	423.61	503.95	547.75	665.29	647.07	842.36	1104.13	1757.34	651.58	1498.22	624.99	1250.98	1561.89	2104.58	0.0
DNAJB4	149.12	327.56	204.07	457.25	336.79	79.45	118.43	529.06	334.46	397.93	269.6	234.57	253.23	299.25	223.41	242.88	113.56	323.03	305.55	255.0	314.17	242.88	120.1	656.11	273.37	293.07	363.56	218.79	156.59	486.75	947.83	1151.06	1104.13	1151.06	1159.07	1111.82	547.75	1233.75	1242.34	1183.45	1119.56	1331.57	884.29	1832.01	1617.0	1806.78	0.0
DPP6	3.29	0.84	1.11	1.07	2.81	0.0	0.27	2.41	0.6	0.6	1.75	0.0	0.27	0.3	0.64	0.88	0.0	0.91	0.87	6.26	2.76	3.11	2.81	34.26	1.46	0.33	1.45	0.59	2.51	3.0	36.01	11.64	19.11	17.51	17.25	72.01	32.36	34.26	4.39	13.52	36.79	16.15	28.04	67.12	31.0	14.24	0.0
DPYSL2	620.67	878.17	241.19	860.08	607.87	59.55	262.2	728.11	579.04	429.54	665.29	293.07	277.2	679.29	532.74	392.44	63.89	351.14	305.55	420.68	802.41	356.05	201.25	1369.04	480.04	463.65	3124.78	665.29	221.86	438.59	2555.58	1477.58	1883.54	1709.26	1605.83	1572.76	1159.07	2255.7	934.76	2148.82	2133.97	2018.8	1733.13	3103.19	1757.34	2335.28	529.06
DSC1	0.0	0.0	3.53	6.26	5.77	0.0	0.23	8.65	0.56	3.89	3.72	2.39	0.0	3.76	0.26	0.0	0.0	0.84	5.96	1.46	1.97	0.24	0.77	21.01	1.03	0.0	0.0	0.24	1.46	0.59	69.52	53.19	31.0	9.48	45.85	30.78	38.95	37.85	65.26	40.93	13.93	20.56	13.22	62.12	57.08	33.78	0.0
DSC2	124.37	90.14	87.03	187.71	387.02	190.34	123.5	351.14	223.41	63.89	102.25	40.36	12.27	201.25	26.1	82.29	3.53	65.72	253.23	297.17	234.57	40.07	353.59	432.53	497.0	87.65	1183.45	217.27	88.26	76.17	753.83	1199.98	438.59	336.79	665.29	902.89	1066.48	967.76	2209.26	1662.49	447.82	78.89	289.02	1617.0	759.08	2004.85	301.33
DST	1127.35	947.83	503.95	2720.15	2796.65	753.83	2224.63	1745.2	1674.06	2047.0	2163.77	1628.26	1127.35	1295.13	1143.1	2417.67	738.29	1745.2	1119.56	2047.0	3540.14	1662.49	698.41	7180.15	1051.79	2875.3	2255.7	1991.0	1044.52	1769.57	9279.58	8538.88	6250.56	4543.8	5517.27	10959.3	5831.91	9344.14	12076.21	5995.9	4010.71	3768.09	8840.04	8598.28	16045.82	8134.41	0.0
EGFR	15.22	18.7	40.93	205.5	156.59	12.18	11.91	194.36	38.95	98.04	176.29	63.45	23.76	147.06	52.08	27.64	1.33	42.11	15.8	72.52	123.5	38.67	29.7	591.22	193.01	64.8	476.71	33.06	41.22	92.7	1088.92	1001.93	660.68	679.29	476.71	785.88	775.05	728.11	409.15	587.13	232.94	267.73	366.09	1417.35	764.36	265.87	0.0
EID3	9.78	31.45	79.45	40.64	23.42	2.76	17.77	24.11	34.75	22.75	37.05	9.93	15.22	31.0	17.64	8.58	3.53	10.71	8.13	14.89	39.79	45.85	8.0	53.19	38.12	8.99	27.25	3.76	60.82	18.43	61.68	81.14	58.71	28.86	70.01	82.87	38.4	73.03	101.54	77.79	77.25	86.43	95.34	156.59	87.03	58.71	0.0
EPHB1	3.29	5.23	7.17	31.45	63.89	8.32	6.52	37.85	17.13	14.45	19.97	15.45	7.69	24.11	14.89	7.57	2.89	13.62	1.77	20.26	22.26	23.25	8.19	111.21	12.74	5.02	12.55	10.47	12.64	11.82	237.86	159.9	167.9	162.14	176.29	305.55	291.04	149.12	251.48	239.52	176.29	119.26	172.65	273.37	181.28	301.33	0.0
FAM122A	152.28	157.68	154.42	244.57	237.86	148.09	172.65	255.0	236.21	363.56	251.48	197.09	229.72	217.27	271.48	264.03	90.14	231.32	224.97	173.85	241.19	199.85	139.07	363.56	161.02	202.66	346.29	194.36	164.42	132.44	514.56	435.55	414.87	325.29	406.31	403.5	417.77	507.46	579.04	351.14	503.95	318.57	343.89	470.14	603.67	651.58	0.0
FAM126A	37.59	48.52	80.01	212.78	236.21	17.64	28.86	129.69	135.24	173.85	156.59	81.71	36.53	167.9	84.04	71.0	9.56	67.59	32.59	108.9	231.32	127.89	37.05	435.55	114.36	75.11	120.94	35.25	52.08	71.0	825.0	620.67	497.0	400.71	575.03	679.29	559.28	595.34	915.51	397.93	209.84	947.83	341.51	1594.73	884.29	595.34	267.73
FAM135A	32.36	72.01	21.63	71.5	72.52	21.47	78.89	91.41	133.36	79.45	93.35	37.59	20.26	72.52	32.59	52.82	4.94	31.0	23.25	21.47	75.64	62.12	16.51	105.89	101.54	96.68	187.71	32.36	143.01	45.53	217.27	224.97	176.29	96.01	170.25	154.42	151.22	297.17	217.27	186.4	162.14	220.32	131.51	493.56	314.17	325.29	0.0
FAM196B	0.25	8.45	1.08	18.43	15.45	0.2	0.0	12.18	3.06	3.35	4.86	1.51	0.0	27.84	0.0	0.85	0.21	3.29	0.25	12.83	7.75	2.12	0.23	80.57	0.69	1.36	6.11	0.26	1.83	0.95	57.08	24.28	107.38	26.86	82.29	71.0	327.56	54.33	170.25	34.75	76.17	28.65	74.06	153.34	307.69	332.14	0.0
FAM49A	76.17	74.58	24.11	175.07	124.37	17.38	68.07	111.99	122.64	111.21	172.65	72.01	38.4	129.69	73.03	61.25	11.13	67.59	46.18	43.63	165.57	106.63	27.84	209.84	212.78	94.67	281.09	45.85	83.45	78.89	387.02	400.71	371.22	271.48	303.44	384.34	303.44	435.55	559.28	289.02	890.44	320.8	158.79	1044.52	514.56	743.43	156.59
FMO2	35.25	128.79	102.25	346.29	470.14	4.5	82.87	346.29	50.27	151.22	163.28	77.79	19.25	327.56	111.99	48.87	3.96	80.01	8.38	120.1	151.22	111.21	3.32	693.58	113.56	483.38	177.53	82.87	72.52	23.76	1819.35	3901.01	1378.57	2018.8	1208.34	1225.22	3303.0	1709.26	3614.55	651.58	2915.45	260.38	3928.15	5479.15	6983.79	4388.98	0.0
FRMPD1	1.2	23.08	2.01	9.93	2.16	0.73	2.71	7.75	2.89	6.36	3.59	5.41	0.61	4.7	13.32	0.6	0.25	1.55	7.82	4.46	0.34	0.3	1.13	8.71	13.62	14.45	0.0	1.85	6.41	22.75	23.93	4.06	22.43	24.63	11.3	34.51	21.63	4.58	46.5	11.21	25.17	7.11	38.67	72.01	42.71	24.81	0.0
GPR125	115.97	116.78	269.6	277.2	158.79	117.6	136.19	193.01	87.65	186.4	180.02	221.86	132.44	258.57	110.43	115.16	48.18	104.42	10.71	231.32	186.4	29.06	81.14	409.15	191.67	260.38	341.51	169.07	105.89	312.0	563.18	587.13	400.71	540.19	441.64	629.35	633.73	493.56	1111.82	603.67	309.83	155.5	490.14	748.61	521.76	698.41	0.0
ID4	57.49	177.53	218.79	232.94	368.65	8.58	102.97	417.77	40.64	178.77	363.56	76.71	44.89	450.94	102.25	43.63	13.03	50.98	13.62	72.52	232.94	76.17	16.63	679.29	1313.23	185.11	669.92	41.22	50.27	78.34	2367.9	1896.65	1322.37	1233.75	1437.15	2004.85	1819.35	1896.65	2976.74	3794.3	6164.49	1628.26	1745.2	3018.3	5831.91	4543.8	0.0
IFFO2	150.17	59.55	115.97	127.0	205.5	18.56	63.89	129.69	92.7	107.38	170.25	84.04	57.49	161.02	120.94	48.52	69.52	49.91	26.28	92.05	163.28	94.67	55.1	466.88	177.53	64.8	231.32	64.8	114.36	55.49	981.29	753.83	708.18	429.54	536.45	2287.2	703.28	583.07	884.29	1127.35	480.04	616.37	961.07	575.03	1709.26	450.94	176.29
IFRD1	713.11	559.28	190.34	285.03	674.59	265.87	185.11	412.0	289.02	403.5	679.29	363.56	253.23	244.57	297.17	567.1	228.13	283.05	733.19	185.11	511.0	420.68	234.57	629.35	1216.75	543.96	417.77	226.54	142.01	269.6	947.83	1233.75	728.11	620.67	791.35	1427.22	909.17	1883.54	1540.37	2004.85	2240.11	1259.69	1225.22	2468.49	2573.36	1977.24	1023.0
IGSF10	2.03	14.89	13.22	43.02	56.28	2.46	5.82	29.7	12.27	67.12	60.39	21.01	6.36	57.08	24.99	4.35	0.95	11.64	5.54	27.05	95.34	7.46	6.78	129.69	15.22	7.4	30.34	6.01	16.51	8.38	392.44	961.07	397.93	395.18	435.55	387.02	224.97	555.41	1561.89	146.03	295.11	684.02	323.03	473.41	299.25	457.25	0.0
ISM1	76.17	32.36	80.57	384.34	323.03	1.97	45.21	279.14	77.79	129.69	156.59	89.51	129.69	392.44	99.43	43.63	25.91	76.71	6.57	205.5	164.42	54.33	47.84	563.18	260.38	12.83	86.43	32.59	58.71	105.89	679.29	551.56	842.36	825.0	708.18	1233.75	738.29	575.03	1331.57	591.22	1081.39	231.32	665.29	2018.8	915.51	866.07	0.0
ITPRIPL1	0.0	6.94	7.69	24.46	38.12	4.1	8.92	23.59	14.56	15.68	32.36	9.78	4.21	27.05	5.82	8.45	1.69	8.32	8.92	26.86	22.92	16.27	9.06	89.51	20.11	13.93	41.81	10.47	9.13	7.0	149.12	151.22	84.04	87.03	172.65	134.3	162.14	90.14	195.72	334.46	147.06	67.59	52.45	113.56	214.27	305.55	0.0
JRKL	189.02	158.79	43.32	161.02	173.85	50.27	69.03	123.5	76.17	183.82	199.85	121.79	61.25	92.7	108.14	102.25	23.59	92.05	366.09	59.97	198.47	87.65	20.86	185.11	234.57	42.11	178.77	21.94	60.82	127.0	314.17	314.17	232.94	198.47	329.84	231.32	303.44	279.14	629.35	293.07	204.07	178.77	162.14	624.99	403.5	460.44	0.0
KANSL1L	251.48	101.54	57.89	105.89	127.89	50.63	64.34	108.14	100.83	100.13	94.01	70.51	63.45	109.66	67.12	53.57	30.12	93.35	55.49	38.12	102.97	70.51	69.52	215.77	123.5	98.73	95.34	39.22	69.03	108.14	297.17	336.79	224.97	212.78	293.07	248.0	281.09	309.83	381.68	249.73	249.73	206.94	403.5	389.72	540.19	153.34	68.55
KCNMB1	10.16	26.86	21.94	65.26	92.7	4.66	19.68	74.58	35.76	20.86	64.8	21.16	16.27	35.0	30.34	14.67	14.45	34.75	8.78	42.71	84.04	28.65	11.04	228.13	29.48	22.26	50.98	48.18	25.91	20.26	309.83	199.85	283.05	221.86	329.84	500.46	283.05	194.36	217.27	438.59	241.19	120.94	295.11	417.77	397.93	187.71	0.0
KCTD9	177.53	435.55	312.0	316.37	563.18	283.05	214.27	473.41	536.45	441.64	450.94	417.77	444.72	414.87	420.68	518.15	209.84	435.55	368.65	271.48	414.87	536.45	158.79	660.68	366.09	303.44	540.19	255.0	249.73	466.88	872.1	934.76	743.43	620.67	830.75	1268.46	764.36	1191.69	1697.45	1242.34	780.44	713.11	928.3	2224.63	1268.46	921.88	0.0
KLF5	126.12	24.81	183.82	170.25	208.38	74.06	87.03	334.46	14.35	54.33	264.03	54.33	39.79	327.56	87.65	21.78	3.96	77.79	339.14	115.16	117.6	28.65	66.18	426.57	353.59	7.94	616.37	85.22	54.33	152.28	536.45	511.0	497.0	211.31	429.54	764.36	1151.06	780.44	2255.7	2400.97	633.73	318.57	209.84	1936.53	1551.09	1208.34	0.0
LEPR	30.12	41.81	58.3	75.64	166.73	6.41	19.25	547.75	50.27	115.97	157.68	85.22	11.3	76.71	53.19	25.54	22.75	71.5	28.86	53.19	109.66	50.63	45.53	457.25	57.89	102.97	133.36	39.5	63.89	96.68	1832.01	1119.56	1001.93	785.88	878.17	785.88	291.04	1583.71	1883.54	376.41	624.99	1023.0	511.0	1832.01	1023.0	1073.91	0.0
LINGO2	0.0	0.57	0.85	4.78	1.43	0.0	0.0	1.04	0.95	0.61	2.16	0.95	0.29	0.0	0.31	0.0	0.25	0.0	0.0	1.91	1.75	0.0	0.0	4.9	0.36	0.35	2.23	0.6	0.62	0.66	14.03	12.45	0.0	2.12	0.71	6.16	0.0	9.06	0.96	13.83	6.36	2.1	11.21	13.72	2.01	9.48	0.0
LRRIQ1	33.06	2.36	20.41	25.91	42.71	0.25	0.3	2.12	1.62	9.7	3.26	1.6	0.0	10.24	0.34	43.94	0.0	5.32	4.5	2.89	37.32	0.0	3.44	26.1	6.78	1.83	1.13	0.32	0.0	5.11	60.82	92.7	11.73	16.15	35.0	34.02	12.45	50.27	84.63	131.51	16.75	36.01	46.18	115.16	92.7	83.45	0.0
MAGI1	54.72	105.89	164.42	208.38	291.04	209.84	82.87	343.89	303.44	397.93	318.57	297.17	279.14	376.41	450.94	267.73	63.45	351.14	205.5	193.01	215.77	271.48	169.07	583.07	253.23	312.0	236.21	323.03	187.71	172.65	713.11	642.59	579.04	612.11	483.38	633.73	796.86	490.14	878.17	703.28	1199.98	733.19	775.05	1225.22	1059.11	1295.13	56.68
MAMDC2	11.13	24.46	22.92	147.06	87.65	1.91	5.77	80.01	44.57	36.53	57.49	26.28	22.43	82.87	29.7	6.52	11.47	38.67	3.26	47.5	105.89	24.11	26.67	417.77	32.59	27.64	228.13	25.91	40.07	50.63	483.38	616.37	536.45	341.51	371.22	450.94	353.59	633.73	629.35	150.17	224.97	277.2	473.41	1617.0	435.55	595.34	0.0
MAML2	18.56	35.76	38.95	202.66	185.11	8.25	39.79	146.03	94.01	94.67	189.02	100.13	50.27	106.63	69.52	35.5	6.67	63.89	46.5	71.0	148.09	82.87	29.7	267.73	119.26	70.51	323.03	34.51	53.95	84.63	599.49	579.04	480.04	346.29	450.94	490.14	620.67	555.41	1023.0	928.3	656.11	220.32	559.28	1208.34	796.86	1008.9	39.5
MCTP2	31.9	3.92	3.26	88.26	51.35	29.7	14.24	25.17	14.89	16.39	44.57	44.57	10.16	215.77	12.64	5.41	1.85	19.82	6.31	119.26	45.21	19.68	6.89	115.16	212.78	12.55	140.04	3.14	6.01	86.43	148.09	137.14	118.43	94.67	99.43	129.69	158.79	111.21	217.27	193.01	228.13	80.01	223.41	172.65	279.14	189.02	0.0
MICU3	3.14	11.82	7.06	82.29	21.63	5.23	12.45	28.86	21.94	25.35	51.71	7.75	6.57	37.05	21.01	6.46	1.6	10.96	3.76	18.16	27.05	12.45	1.39	57.89	10.31	26.67	38.12	4.9	9.13	21.47	108.14	150.17	115.97	94.01	115.16	102.25	100.13	159.9	265.87	127.0	121.79	195.72	72.52	186.4	183.82	156.59	0.0
