	GTEX.13O3P.2726.SM.5KM2R	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.147F4.0926.SM.5Q5EO	GTEX.11WQC.0626.SM.5EQMF	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.N7MS.0926.SM.2HMIZ	GTEX.11OF3.1126.SM.5986C	TCGA.BR.8590.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6453.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.WFG8.1326.SM.4LVN3	GTEX.13N1W.2026.SM.5K7YU
BOLA2	193.01	0.0	0.29	81.14	75.64	72.52	75.11	73.03	98.04	147.06	262.2	0.0	748.61	525.39	150.17	348.71	242.88	198.47	503.95	262.2	791.35	346.29	521.76	579.04	368.65	915.51	728.11	26.86	441.64	52.82
C14orf1	217.27	0.0	0.0	441.64	353.59	241.19	246.28	275.28	281.09	305.55	429.54	334.46	486.75	325.29	309.83	438.59	356.05	265.87	503.95	426.57	638.15	490.14	567.1	497.0	595.34	836.53	638.15	540.19	775.05	215.77
C19orf77	0.0	0.0	0.0	73.54	9.13	0.0	36.79	11.64	9.34	12.55	1151.06	3081.75	30785.28	9945.68	5872.48	3443.31	5791.62	713.11	32315.87	15607.02	32767.0	44761.41	9540.5	26614.89	11267.44	25005.23	9606.86	7485.11	5366.37	0.0
C6orf132	33.78	332.14	265.87	136.19	111.99	50.98	134.3	66.65	170.25	198.47	791.35	878.17	713.11	1936.53	842.36	764.36	497.0	271.48	3372.43	1844.76	2148.82	1561.89	713.11	1870.53	1697.45	2090.03	2163.77	921.88	2400.97	24.28
CENPV	599.49	0.0	0.88	176.29	178.77	273.37	202.66	334.46	1111.82	74.06	669.92	1594.73	497.0	2303.12	1088.92	921.88	571.05	348.71	1651.0	1427.22	1685.71	1467.37	1225.22	1304.15	1923.14	2384.37	1594.73	967.76	2133.97	249.73
CHMP2A	2591.27	0.0	1.01	2935.74	2384.37	1674.06	2591.27	2133.97	1936.53	1529.73	2287.2	2935.74	5954.47	3690.52	3124.78	2956.17	3540.14	2209.26	5441.3	4181.07	5076.84	4736.79	4010.71	6079.61	4358.66	6935.54	6294.04	4388.98	7230.1	2758.13
CHPT1	1508.65	0.0	0.68	1295.13	1119.56	769.69	607.87	733.19	1322.37	1417.35	1030.12	1832.01	2133.97	1733.13	2018.8	796.86	878.17	1066.48	2104.58	1794.29	2502.97	2209.26	1605.83	1977.24	1883.54	3665.02	2224.63	1674.06	1540.37	1167.14
CISD3	854.13	0.0	0.38	346.29	215.77	289.02	279.14	384.34	521.76	320.8	595.34	954.43	1963.57	1832.01	1259.69	1159.07	775.05	470.14	2739.08	1378.57	2777.33	2209.26	1697.45	2004.85	2163.77	3874.05	2468.49	1457.23	2384.37	376.41
COMMD4	660.68	2351.53	1008.9	995.0	575.03	733.19	665.29	775.05	934.76	536.45	1051.79	1639.59	1844.76	1709.26	1498.22	1832.01	1191.69	1369.04	2335.28	1487.87	2061.24	1477.58	2163.77	2485.67	2384.37	2303.12	2451.44	2351.53	3124.78	753.83
COMTD1	400.71	802.41	518.15	223.41	111.99	155.5	180.02	429.54	209.84	143.01	802.41	1081.39	518.15	1806.78	429.54	896.64	237.86	237.86	2104.58	1119.56	1551.09	1216.75	1175.27	1628.26	2148.82	2935.74	1745.2	1167.14	2240.11	84.63
COX6B1	4937.99	0.0	1.14	3768.09	1709.26	1407.55	1991.0	2796.65	2682.69	1991.0	4607.24	7081.29	12589.08	10585.95	5633.22	10733.74	7485.11	4543.8	17437.64	8247.98	21320.18	11909.94	14663.09	14663.09	11745.96	35609.13	28525.2	15285.81	17804.06	7966.99
CYB5D2	104.42	0.0	0.1	265.87	255.0	134.3	151.22	211.31	237.86	167.9	246.28	334.46	246.28	269.6	293.07	239.52	189.02	265.87	521.76	563.18	348.71	483.38	417.77	595.34	444.72	651.58	387.02	532.74	470.14	181.28
CYBA	961.07	0.0	0.96	5831.91	2701.35	5555.65	4123.49	4869.99	2895.31	3901.01	6337.83	8840.04	9151.82	10585.95	4543.8	13215.02	3515.68	4512.4	14163.58	10225.32	14065.74	9279.58	20030.74	20030.74	20170.07	11112.3	15392.14	18431.96	30572.63	1216.75
CYC1	2335.28	0.0	1.03	612.11	660.68	612.11	1015.93	884.29	878.17	718.08	5041.77	2997.45	2816.11	5441.3	2956.17	5594.3	2032.85	2018.8	7081.29	3103.19	6121.9	5183.54	4869.99	4671.57	7280.4	8191.0	5403.7	5791.62	7642.41	2468.49
DCAF6	1066.48	0.0	0.73	1322.37	1175.27	748.61	679.29	684.02	780.44	1397.83	753.83	884.29	1832.01	1199.98	878.17	1135.2	718.08	961.07	1709.26	1044.52	1806.78	1457.23	1572.76	1870.53	2061.24	2915.45	1819.35	1407.55	1286.18	1175.27
DESI1	651.58	0.0	0.6	234.57	329.84	178.77	387.02	376.41	490.14	251.48	764.36	759.08	995.0	884.29	339.14	679.29	629.35	441.64	981.29	748.61	1191.69	854.13	1088.92	872.1	941.27	1143.1	1159.07	819.3	1407.55	830.75
DHRS4L2	503.95	0.0	0.42	547.75	215.77	148.09	177.53	291.04	329.84	285.03	429.54	500.46	563.18	503.95	323.03	551.56	271.48	368.65	753.83	559.28	796.86	854.13	629.35	583.07	525.39	878.17	981.29	624.99	954.43	432.53
DNAJC17	265.87	0.0	0.59	248.0	111.99	214.27	218.79	228.13	432.53	187.71	293.07	334.46	329.84	363.56	423.61	307.69	220.32	329.84	381.68	387.02	356.05	323.03	460.44	426.57	397.93	642.59	400.71	435.55	688.78	206.94
EMC10	713.11	0.0	0.78	1008.9	796.86	967.76	759.08	1295.13	928.3	503.95	2303.12	1721.16	3419.52	3395.89	1331.57	2701.35	1651.0	2384.37	3419.52	2485.67	3081.75	2976.74	2591.27	3491.39	2976.74	3190.46	3124.78	3103.19	4123.49	947.83
ENDOG	232.94	0.0	0.16	116.78	88.26	71.0	83.45	97.36	75.11	109.66	400.71	248.0	406.31	723.08	142.01	587.13	175.07	285.03	791.35	429.54	733.19	603.67	447.82	603.67	748.61	785.88	629.35	559.28	684.02	96.01
ENPP6	15.91	0.0	0.0	0.24	9.56	9.93	3.0	2.86	5.59	2.36	5.54	26.1	5.96	16.15	18.03	2.66	11.73	0.17	30.56	42.11	22.1	38.67	15.45	26.28	24.46	26.86	18.7	26.86	53.19	8.85
FAM195A	733.19	0.0	0.52	224.97	122.64	189.02	143.01	226.54	131.51	283.05	1030.12	902.89	1857.6	1369.04	612.11	1242.34	226.54	435.55	1477.58	872.1	1806.78	1216.75	1467.37	1208.34	1583.71	3081.75	1662.49	1183.45	1674.06	363.56
FCGRT	1819.35	0.0	0.95	4181.07	1268.46	5913.33	3212.66	3419.52	3928.15	2835.7	2758.13	3614.55	8134.41	3280.18	4066.71	4210.15	3614.55	3280.18	8191.0	4769.75	9215.48	10512.82	5366.37	6652.97	4123.49	6337.83	3901.01	4704.07	8022.41	2895.31
FMO4	33.78	0.0	0.08	60.82	66.18	45.21	12.18	14.67	32.82	11.21	120.94	150.17	185.11	70.51	239.52	53.19	159.9	54.33	152.28	269.6	169.07	281.09	139.07	199.85	95.34	100.13	158.79	120.94	154.42	10.31
FUCA1	195.72	0.0	0.18	432.53	234.57	514.56	234.57	363.56	309.83	371.22	1498.22	1617.0	1572.76	1143.1	1605.83	1073.91	1605.83	426.57	1733.13	1794.29	1769.57	2434.5	2573.36	1806.78	1508.65	1674.06	2502.97	1519.15	1745.2	256.78
GAL3ST1	34.75	0.0	0.28	21.01	4.82	17.9	7.69	8.65	124.37	26.1	153.34	141.02	587.13	293.07	158.79	181.28	264.03	42.41	500.46	384.34	432.53	503.95	221.86	432.53	346.29	420.68	361.04	217.27	346.29	74.06
GSTK1	2400.97	0.0	1.06	2335.28	1242.34	2400.97	2104.58	2835.7	3060.45	988.12	4481.23	5329.3	7857.29	3742.05	5872.48	4543.8	2018.8	2209.26	8078.22	6381.92	9673.69	8778.97	7081.29	7485.11	6337.83	10733.74	6607.01	6935.54	11664.82	2271.4
GSTZ1	92.7	0.0	0.0	195.72	145.02	90.14	149.12	105.89	164.42	92.7	309.83	551.56	318.57	483.38	289.02	529.06	343.89	403.5	1088.92	688.78	651.58	796.86	647.07	878.17	941.27	974.5	674.59	981.29	1167.14	125.24
HEBP2	1268.46	0.0	0.82	651.58	493.56	299.25	412.0	555.41	400.71	450.94	1233.75	1295.13	2209.26	1519.15	688.78	1883.54	1870.53	934.76	1794.29	1437.15	2075.59	1417.35	1806.78	2287.2	2004.85	4239.45	2367.9	1709.26	3060.45	1286.18
HERPUD1	1388.16	0.0	0.67	1208.34	3665.02	1594.73	2895.31	3146.52	1540.37	1806.78	3768.09	7911.95	4671.57	7331.05	3716.2	3060.45	4512.4	3146.52	8247.98	12764.83	6121.9	11424.74	10014.87	10733.74	11584.24	6337.83	7803.01	10014.87	6516.03	3982.99
HMGCL	483.38	0.0	0.31	285.03	264.03	325.29	412.0	460.44	387.02	205.5	693.58	748.61	981.29	1001.93	967.76	896.64	529.06	387.02	1397.83	1529.73	884.29	1350.18	1127.35	1331.57	1350.18	1519.15	1340.84	1111.82	2133.97	444.72
IMP3	392.44	0.0	0.0	575.03	616.37	536.45	325.29	295.11	521.76	733.19	947.83	1119.56	1369.04	2209.26	1001.93	1295.13	713.11	624.99	2209.26	1508.65	1870.53	1662.49	2104.58	2255.7	2351.53	3349.13	2148.82	2384.37	1923.14	348.71
IMPA2	1233.75	0.0	0.89	1119.56	412.0	1685.71	4639.29	1628.26	1350.18	603.67	785.88	1628.26	3901.01	2758.13	2303.12	1127.35	1331.57	629.35	2104.58	3443.31	1709.26	1651.0	1844.76	3589.58	2682.69	3901.01	3515.68	1923.14	4298.64	723.08
ISOC2	769.69	0.0	0.34	607.87	414.87	669.92	769.69	974.5	543.96	536.45	1594.73	842.36	1769.57	1936.53	775.05	1508.65	764.36	642.59	1769.57	1143.1	1896.65	1639.59	1769.57	1781.89	2104.58	1832.01	1313.23	1870.53	2796.65	961.07
LRRC28	351.14	0.0	0.54	231.32	178.77	161.02	141.02	190.34	242.88	156.59	348.71	438.59	536.45	406.31	514.56	426.57	532.74	392.44	599.49	444.72	647.07	660.68	470.14	470.14	450.94	587.13	420.68	444.72	325.29	406.31
LSM4	1331.57	0.0	0.85	1059.11	674.59	1143.1	1313.23	1233.75	1191.69	802.41	1896.65	2119.22	4512.4	3349.13	1277.29	3564.78	1199.98	1208.34	3540.14	2468.49	3235.01	2555.58	3303.0	3419.52	3467.27	5594.3	3901.01	3874.05	4481.23	967.76
MGMT	63.45	0.0	0.53	314.17	78.89	291.04	89.51	320.8	400.71	194.36	417.77	351.14	473.41	412.0	301.33	269.6	307.69	147.06	447.82	426.57	473.41	312.0	521.76	543.96	450.94	603.67	529.06	426.57	698.41	376.41
MGST2	896.64	0.0	0.52	1001.93	507.46	802.41	470.14	603.67	896.64	412.0	1096.5	1651.0	1662.49	2287.2	1437.15	2148.82	1088.92	733.19	3419.52	1806.78	5006.93	2758.13	2271.4	2796.65	2682.69	8840.04	3190.46	2384.37	5954.47	1119.56
MPST	769.69	0.0	0.43	813.63	325.29	651.58	447.82	1015.93	633.73	417.77	1313.23	1819.35	4123.49	1769.57	351.14	1963.57	780.44	890.44	4639.29	2163.77	3349.13	4152.18	2104.58	3349.13	2777.33	3589.58	2591.27	1950.0	5751.61	511.0
MRPL28	915.51	0.0	0.89	607.87	521.76	665.29	1167.14	872.1	780.44	603.67	1051.79	1001.93	1709.26	1175.27	896.64	1037.29	819.3	890.44	1685.71	1151.06	1388.16	1304.15	1709.26	1709.26	1467.37	1977.24	1617.0	2018.8	2701.35	669.92
NDUFA9	896.64	0.0	0.64	551.56	426.57	334.46	674.59	620.67	848.22	336.79	1183.45	1340.84	1487.87	1977.24	1427.22	2018.8	1183.45	1457.23	2351.53	1685.71	2271.4	1832.01	1896.65	1250.98	1977.24	2816.11	2855.44	1745.2	2520.38	974.5
NDUFB11	1923.14	0.0	0.82	1135.2	753.83	743.43	780.44	1096.5	808.0	1044.52	1111.82	2178.83	3257.52	2895.31	2018.8	2178.83	1551.09	1135.2	3589.58	2609.3	3901.01	2796.65	4671.57	4512.4	3847.29	6037.61	5872.48	4836.35	5219.6	1950.0
NSDHL	228.13	0.0	0.0	224.97	181.28	148.09	149.12	195.72	220.32	209.84	255.0	307.69	616.37	507.46	287.01	327.56	343.89	215.77	483.38	366.09	547.75	454.09	379.04	441.64	743.43	503.95	674.59	463.65	785.88	152.28
PEX11G	26.1	0.0	0.0	69.52	33.78	27.84	56.68	40.36	35.5	27.64	46.18	76.17	147.06	74.06	53.95	71.5	27.25	83.45	267.73	194.36	150.17	199.85	128.79	234.57	144.01	237.86	141.02	105.15	441.64	20.11
PGA4	39.5	0.0	0.0	0.0	5.45	24.28	23.93	16.27	0.0	3.08	143430.26	2263304.65	5235876.81	4987895.16	2111737.85	6581567.44	9569418.63	577714.63	887875.81	1.835920079E7	1462493.73	5128124.01	3028138.0	6446120.72	1131651.83	627822.72	1.138002091E7	9179599.9	55877.28	99.43
POLD4	1806.78	0.0	0.91	1378.57	974.5	1583.71	1322.37	1936.53	1378.57	988.12	2400.97	2816.11	3081.75	4328.55	1936.53	1721.16	2319.15	1651.0	7180.15	4038.61	5292.48	4704.07	5219.6	6164.49	3955.48	6887.62	6516.03	6037.61	10154.69	1304.15
PPCDC	175.07	0.0	0.38	287.01	199.85	143.01	255.0	291.04	170.25	153.34	285.03	283.05	271.48	389.72	251.48	242.88	264.03	169.07	607.87	305.55	283.05	269.6	476.71	412.0	503.95	607.87	438.59	454.09	551.56	123.5
PPIB	7130.55	0.0	0.68	6294.04	9409.14	6164.49	7695.57	8598.28	6471.02	6121.9	6607.01	10084.54	11345.82	17681.08	9673.69	13033.07	10084.54	12329.98	12244.81	11664.82	14663.09	11345.82	16045.82	15607.02	17197.56	18431.96	16960.78	17437.64	14867.79	6516.03
PPP1R16A	620.67	0.0	0.78	409.15	155.5	287.01	307.69	379.04	384.34	264.03	1467.37	909.17	1073.91	1628.26	909.17	1277.29	521.76	620.67	3665.02	1883.54	3325.99	2701.35	1697.45	2104.58	1963.57	2520.38	2303.12	1551.09	2855.44	339.14
PPP1R7	1427.22	1073.91	571.05	1073.91	981.29	743.43	1030.12	967.76	1216.75	866.07	1378.57	1540.37	1594.73	1651.0	1159.07	1583.71	1721.16	934.76	1457.23	1870.53	1498.22	1508.65	2224.63	1883.54	1745.2	1991.0	1991.0	2047.0	2090.03	988.12
PRRG2	26.67	0.0	0.0	76.71	70.51	51.71	81.71	79.45	111.21	82.29	108.9	156.59	341.51	381.68	150.17	159.9	228.13	71.0	708.18	543.96	414.87	647.07	299.25	624.99	511.0	660.68	400.71	316.37	371.22	28.24
QDPR	366.09	0.0	0.2	525.39	371.22	299.25	297.17	346.29	470.14	387.02	529.06	525.39	555.41	397.93	480.04	480.04	417.77	215.77	825.0	543.96	896.64	567.1	775.05	802.41	669.92	848.22	902.89	1023.0	540.19	368.65
RAB4B	607.87	0.0	0.68	603.67	198.47	1233.75	665.29	718.08	620.67	214.27	470.14	921.88	1331.57	1059.11	612.11	620.67	660.68	665.29	1651.0	1096.5	1388.16	1208.34	1745.2	1674.06	1407.55	1388.16	1685.71	2004.85	2739.08	389.72
RER1	2591.27	0.0	0.69	1639.59	1111.82	1447.15	1135.2	1427.22	1651.0	1104.13	2664.15	3103.19	3212.66	4671.57	4736.79	2895.31	3665.02	2319.15	4450.27	3742.05	4869.99	4419.52	4038.61	4388.98	5831.91	6164.49	4419.52	4210.15	5913.33	1662.49
RP11-162A12.2	10.08	0.0	0.04	6.26	5.82	3.14	4.9	2.27	8.78	2.03	10.79	19.82	29.06	15.0	4.86	29.7	2.25	13.52	25.72	6.31	9.63	17.0	29.06	23.25	13.42	24.46	14.67	27.64	12.18	2.18
SLC25A5	7695.57	0.0	0.62	5672.41	7803.01	3212.66	7130.55	4869.99	4239.45	11584.24	8247.98	9151.82	11112.3	14262.1	10154.69	11584.24	9606.86	3847.29	21768.19	10883.59	20310.37	23169.48	13399.51	14163.58	17317.18	24490.61	21919.61	16269.83	13492.72	5791.62
SLC50A1	738.29	0.0	0.73	842.36	866.07	1135.2	1806.78	860.08	543.96	579.04	1295.13	1119.56	1259.69	2335.28	1519.15	1477.58	780.44	414.87	2303.12	2287.2	1950.0	1909.85	1896.65	2400.97	3018.3	3874.05	3443.31	1950.0	2520.38	429.54
SLX1A	412.0	0.0	0.34	463.65	209.84	371.22	339.14	368.65	224.97	262.2	287.01	1437.15	1605.83	2193.99	514.56	934.76	796.86	441.64	2956.17	1498.22	3081.75	2335.28	1628.26	3103.19	2400.97	2720.15	2956.17	1304.15	2682.69	301.33
SPATA33	124.37	0.0	0.23	173.85	89.51	149.12	108.9	132.44	172.65	169.07	112.77	193.01	291.04	221.86	128.79	234.57	141.02	115.97	224.97	169.07	221.86	130.6	228.13	209.84	190.34	307.69	476.71	214.27	212.78	48.87
SPHK2	164.42	0.0	0.16	105.15	96.01	90.14	72.52	114.36	91.41	77.79	480.04	320.8	796.86	532.74	265.87	283.05	131.51	242.88	775.05	521.76	713.11	728.11	397.93	551.56	457.25	202.66	607.87	318.57	769.69	167.9
STRA13	1081.39	0.0	0.85	616.37	336.79	490.14	356.05	441.64	444.72	551.56	1340.84	1551.09	2287.2	3212.66	1216.75	2255.7	884.29	1044.52	2664.15	1697.45	2351.53	1697.45	2502.97	2537.92	3589.58	6887.62	4268.94	2915.45	4419.52	587.13
SULT1B1	4.35	0.0	0.21	15.22	4.24	5.41	0.75	5.11	5.77	2.94	325.29	318.57	514.56	384.34	656.11	232.94	796.86	96.01	775.05	1250.98	988.12	1709.26	318.57	775.05	616.37	525.39	674.59	395.18	878.17	2.56
TALDO1	3081.75	0.0	1.01	3372.43	1477.58	1447.15	2075.59	1977.24	1594.73	3716.2	4210.15	4639.29	3018.3	4836.35	2935.74	4038.61	4388.98	2701.35	5517.27	4038.61	4481.23	4038.61	4704.07	6745.86	5831.91	5479.15	7803.01	5112.16	7537.18	1806.78
TCN2	358.54	0.0	0.42	444.72	318.57	432.53	361.04	242.88	343.89	206.94	486.75	327.56	1119.56	379.04	507.46	376.41	591.22	476.71	612.11	638.15	780.44	1322.37	595.34	769.69	547.75	423.61	497.0	547.75	612.11	106.63
TFPT	293.07	0.0	0.46	409.15	158.79	285.03	267.73	208.38	339.14	239.52	397.93	368.65	961.07	665.29	291.04	336.79	575.03	435.55	591.22	575.03	563.18	435.55	684.02	679.29	511.0	1023.0	842.36	830.75	1259.69	159.9
TIMM13	1225.22	0.0	0.48	684.02	307.69	616.37	490.14	693.58	633.73	698.41	1498.22	1477.58	3515.68	2777.33	902.89	2400.97	1023.0	1073.91	2451.44	1572.76	2701.35	1417.35	2240.11	2178.83	2485.67	3716.2	2816.11	1883.54	3257.52	490.14
TMEM160	181.28	0.0	0.0	389.72	101.54	214.27	226.54	466.88	141.02	356.05	555.41	713.11	1340.84	718.08	279.14	575.03	255.0	318.57	688.78	607.87	842.36	507.46	934.76	981.29	825.0	1583.71	1051.79	967.76	941.27	255.0
TMEM208	769.69	0.0	0.48	713.11	764.36	514.56	902.89	854.13	583.07	860.08	1175.27	1369.04	1806.78	1950.0	928.3	1417.35	1359.57	1127.35	2047.0	1508.65	2090.03	1508.65	1936.53	2178.83	2555.58	3395.89	2417.67	2004.85	2520.38	454.09
TMEM54	1628.26	0.0	0.43	738.29	497.0	547.75	1051.79	1030.12	813.63	612.11	1685.71	2935.74	8658.09	6516.03	2855.44	3372.43	1721.16	1250.98	9151.82	5872.48	7081.29	6337.83	4038.61	10154.69	8363.13	8479.89	8363.13	4481.23	15715.58	1127.35
TPGS1	182.55	0.0	0.58	120.1	58.71	60.39	90.14	131.51	29.06	112.77	141.02	255.0	414.87	305.55	73.54	303.44	62.56	299.25	327.56	249.73	291.04	297.17	503.95	373.81	358.54	400.71	356.05	547.75	366.09	209.84
TRAPPC5	988.12	0.0	0.49	1498.22	651.58	1088.92	1277.29	2018.8	684.02	1498.22	967.76	1487.87	4298.64	2645.74	1295.13	1769.57	1388.16	1208.34	3325.99	2400.97	3540.14	2287.2	3690.52	3443.31	3589.58	6250.56	4210.15	3491.39	3874.05	1304.15
TSG101	1242.34	0.0	0.79	1167.14	1225.22	775.05	1268.46	1044.52	1111.82	995.0	1304.15	1529.73	1437.15	2178.83	1819.35	1199.98	2520.38	1119.56	2240.11	1551.09	2303.12	2004.85	1844.76	2209.26	2682.69	2935.74	2384.37	2537.92	1991.0	988.12
TSPO	2485.67	0.0	0.79	3349.13	1498.22	2255.7	2997.45	2777.33	1685.71	3443.31	4298.64	5006.93	7280.4	9409.14	2434.5	6745.86	2468.49	2609.3	9344.14	7966.99	8421.31	5006.93	6887.62	10296.45	15392.14	18560.17	10733.74	8718.32	21320.18	2047.0
TSSC1	178.77	0.0	0.22	147.06	100.83	108.14	155.5	136.19	176.29	88.88	366.09	348.71	647.07	547.75	373.81	423.61	490.14	275.28	511.0	400.71	583.07	435.55	529.06	429.54	521.76	543.96	490.14	476.71	642.59	185.11
TST	339.14	0.0	0.0	406.31	185.11	187.71	197.09	283.05	239.52	142.01	1119.56	2417.67	2609.3	4704.07	414.87	2271.4	1208.34	466.88	6516.03	5112.16	5041.77	6250.56	2573.36	6426.31	5219.6	7230.1	6561.36	2384.37	10512.82	186.4
UQCR10	1819.35	0.0	0.56	1781.89	961.07	1304.15	1286.18	1388.16	1143.1	1551.09	1651.0	3280.18	5479.15	4704.07	2520.38	3564.78	2451.44	1295.13	6652.97	4095.0	7485.11	4671.57	6516.03	6037.61	6164.49	16496.96	11504.21	5831.91	6792.79	1794.29
YIF1A	1242.34	2796.65	2133.97	819.3	775.05	616.37	954.43	1242.34	813.63	518.15	1819.35	1674.06	2163.77	3124.78	1709.26	2287.2	1651.0	1909.85	3419.52	2417.67	3540.14	3081.75	2451.44	3491.39	3564.78	4512.4	3168.41	2956.17	4210.15	915.51
ZNF524	363.56	0.0	0.29	206.94	108.14	241.19	191.67	223.41	205.5	124.37	500.46	624.99	1167.14	796.86	229.72	521.76	195.72	336.79	860.08	769.69	860.08	698.41	1088.92	1457.23	1066.48	1427.22	1059.11	1008.9	1259.69	208.38
ZNHIT1	1096.5	0.0	0.85	1208.34	483.38	813.63	934.76	703.28	1088.92	551.56	1508.65	1359.57	3639.7	2417.67	1378.57	1745.2	854.13	1096.5	2895.31	2335.28	3742.05	2384.37	2875.3	3467.27	3212.66	8479.89	4066.71	3372.43	3614.55	854.13
