	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.N7MS.1626.SM.3LK5F	GTEX.1497J.0826.SM.5NQAJ	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.12WSG.0826.SM.5EQ5A	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CZ.5468.11A.01R.1503.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.13O3P.1026.SM.5N9E7	GTEX.148VJ.0826.SM.5LU8V	TCGA.BJ.A0ZC.01A.12R.A13Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.S4Q7.0326.SM.3K2B1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.P4QS.2626.SM.2I3EV	GTEX.11EI6.0726.SM.59866	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.145MH.0426.SM.5LU8T	GTEX.1399U.0326.SM.5P9G5	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OOBK.2626.SM.2HMKY	GTEX.OXRK.0626.SM.2HMJ5	GTEX.XMK1.0626.SM.4B65A	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S	GTEX.12696.0326.SM.5EGL4	GTEX.13FTW.0626.SM.5IFEX	TCGA.A5.A3LP.01A.11R.A22K.07
C2orf47	208.38	273.37	713.11	775.05	1233.75	612.11	503.95	775.05	775.05	1023.0	607.87	1467.37	759.08	595.34	848.22	1313.23	759.08	583.07	708.18	665.29	529.06	1037.29	1015.93	785.88	454.09	457.25	748.61	830.75	753.83	1051.79	878.17	1015.93	896.64	616.37	1225.22	995.0	802.41	995.0	802.41	808.0	890.44	1096.5	872.1	896.64	420.68	967.76	612.11	909.17	842.36	237.86	373.81	251.48	884.29	921.88	753.83	1191.69	836.53	934.76	808.0	1023.0	1001.93	1135.2	866.07	842.36	825.0	921.88	183.82	218.79	371.22	332.14	295.11	291.04	327.56	373.81	332.14	314.17	226.54	329.84	320.8	334.46	327.56	387.02	262.2	356.05	253.23	287.01	348.71	343.89	651.58	356.05	395.18	316.37	389.72	229.72	329.84	320.8	376.41	327.56	480.04	543.96
CASC5	155.5	82.87	119.26	75.64	361.04	70.01	51.71	104.42	73.54	185.11	24.99	329.84	33.78	28.45	75.64	295.11	95.34	11.91	24.81	6.46	55.89	316.37	178.77	149.12	8.58	15.68	273.37	152.28	120.1	214.27	141.02	119.26	135.24	14.14	320.8	262.2	135.24	146.03	147.06	129.69	191.67	316.37	197.09	236.21	23.93	93.35	62.12	145.02	195.72	4.86	11.04	5.23	86.43	86.43	162.14	231.32	107.38	69.52	94.67	215.77	138.1	297.17	108.14	77.25	167.9	155.5	3.5	17.38	3.41	5.5	7.94	5.96	9.85	11.21	8.06	29.91	19.68	8.32	4.21	6.78	12.64	17.25	5.45	5.54	32.59	9.85	6.89	4.28	5.23	6.21	9.2	18.43	10.39	30.56	3.29	4.98	12.45	8.19	9.2	52.82
CCBE1	2.1	0.0	95.34	77.79	46.84	86.43	15.56	77.25	98.73	63.0	38.12	83.45	5.15	25.17	22.59	22.1	7.06	115.16	57.89	3.47	0.35	63.45	147.06	153.34	19.25	50.27	158.79	141.02	61.68	67.12	85.82	94.67	87.03	27.05	71.0	83.45	96.68	99.43	144.01	108.14	122.64	42.71	111.21	79.45	21.78	85.82	161.02	138.1	114.36	1.0	0.31	1.48	46.18	146.03	135.24	86.43	59.55	84.04	103.69	63.45	74.06	102.97	80.57	101.54	105.89	90.77	119.26	13.72	1.79	2.76	4.24	0.0	12.83	21.63	18.84	16.27	3.99	9.93	4.31	9.34	12.0	10.31	10.47	4.31	3.2	2.78	8.0	6.62	3.17	19.25	4.24	24.81	2.53	9.48	15.45	4.1	2.58	0.43	8.32	19.25
DDC	0.0	1.36	6164.49	7537.18	17927.91	2032.85	620.67	7537.18	7589.61	10084.54	703.28	47313.67	3928.15	5872.48	5219.6	20310.37	3589.58	1572.76	4066.71	444.72	3257.52	14361.31	14065.74	6983.79	126.12	122.64	7749.1	8022.41	7230.1	11035.54	11909.94	11745.96	10296.45	351.14	16157.44	10225.32	7695.57	9945.68	9474.59	10808.41	10440.2	11345.82	10084.54	9876.98	87.03	7857.29	5366.37	9025.81	10585.95	295.11	444.72	954.43	7180.15	7642.41	8479.89	15607.02	7857.29	10154.69	6561.36	11424.74	16045.82	13399.51	7433.4	7331.05	14461.21	13033.07	1.79	51.71	0.23	0.0	30.78	2.25	31.9	9.13	0.0	3.29	0.0	0.0	4.39	10.96	6.21	3.76	4.17	8.32	10.24	2.61	1.73	4.21	0.0	1.77	0.0	8.85	27.64	4.46	4.98	0.0	8.38	8.71	0.0	217.27
DMGDH	7.46	10.39	2664.15	2004.85	3847.29	915.51	764.36	2367.9	2018.8	2163.77	830.75	7803.01	2018.8	1268.46	1617.0	10585.95	1639.59	490.14	2335.28	1096.5	967.76	4298.64	4298.64	1651.0	571.05	1277.29	2004.85	1832.01	2148.82	3690.52	4671.57	3540.14	2816.11	1059.11	2555.58	5751.61	2520.38	2609.3	2287.2	2720.15	3280.18	4736.79	3515.68	2319.15	825.0	3235.01	1119.56	2758.13	3794.3	258.57	316.37	297.17	1870.53	2351.53	2701.35	2367.9	2303.12	3742.05	2271.4	4181.07	3955.48	4095.0	2720.15	2209.26	3349.13	4038.61	2.56	10.39	198.47	111.21	100.83	42.41	102.97	84.63	181.28	85.82	145.02	135.24	124.37	62.12	117.6	145.02	111.99	161.02	110.43	162.14	88.26	187.71	45.53	78.34	129.69	105.15	96.68	145.02	100.83	100.83	175.07	101.54	202.66	94.01
ECI2	231.32	638.15	4152.18	5594.3	8963.45	4038.61	2895.31	4419.52	4903.87	6337.83	3325.99	10959.3	2956.17	4358.66	3847.29	9344.14	3820.7	3395.89	2816.11	3690.52	2148.82	6207.38	6792.79	4607.24	2520.38	3039.3	5517.27	4671.57	3955.48	6561.36	5872.48	6745.86	6381.92	3190.46	7130.55	6699.25	5006.93	5672.41	5872.48	5147.73	5219.6	8134.41	5517.27	4181.07	2555.58	5183.54	3146.52	5517.27	5672.41	753.83	1651.0	1023.0	5672.41	5183.54	4328.55	8363.13	5183.54	5791.62	4123.49	5913.33	8840.04	6840.04	4704.07	4010.71	5791.62	6607.01	842.36	466.88	1286.18	974.5	872.1	1447.15	1225.22	1250.98	1572.76	1143.1	1008.9	1127.35	1286.18	1051.79	1322.37	1378.57	1331.57	1519.15	1277.29	1551.09	872.1	1104.13	1427.22	1437.15	1183.45	1286.18	1111.82	1304.15	1044.52	1216.75	1331.57	1151.06	1427.22	813.63
EHHADH	96.01	205.5	2645.74	2018.8	3820.7	872.1	718.08	2303.12	2148.82	1977.24	595.34	5555.65	2609.3	1651.0	2895.31	5872.48	3768.09	595.34	1883.54	1369.04	3349.13	5403.7	6164.49	2032.85	555.41	928.3	2287.2	2319.15	3081.75	4671.57	5076.84	4639.29	3443.31	802.41	3955.48	5517.27	3395.89	4123.49	3303.0	3639.7	3395.89	3716.2	4481.23	3146.52	559.28	4210.15	1883.54	3018.3	3847.29	665.29	447.82	376.41	1781.89	2720.15	2777.33	4239.45	2627.46	4328.55	2502.97	4268.94	4903.87	4972.34	2739.08	2895.31	3928.15	4181.07	52.82	57.49	218.79	139.07	145.02	81.14	134.3	212.78	232.94	150.17	125.24	125.24	98.04	133.36	123.5	124.37	164.42	133.36	162.14	170.25	112.77	133.36	429.54	153.34	124.37	147.06	190.34	103.69	138.1	107.38	147.06	133.36	176.29	90.77
ENPP6	3.06	0.35	514.56	329.84	791.35	65.72	49.56	521.76	368.65	511.0	32.82	961.07	291.04	348.71	209.84	616.37	253.23	21.94	297.17	4.46	7.69	1037.29	1008.9	366.09	14.78	16.88	325.29	291.04	444.72	1487.87	785.88	684.02	738.29	36.01	802.41	1159.07	540.19	642.59	438.59	503.95	463.65	1059.11	633.73	532.74	8.85	503.95	289.02	642.59	579.04	1.97	2.39	0.29	341.51	620.67	579.04	802.41	409.15	1088.92	780.44	1225.22	921.88	1662.49	525.39	802.41	1216.75	866.07	1.75	0.72	0.57	0.91	2.34	0.0	16.03	3.47	2.71	3.08	1.04	2.12	2.1	2.36	1.36	1.85	6.89	2.94	1.38	10.0	2.39	1.55	3.29	7.82	1.04	2.2	3.23	1.45	1.36	0.69	2.66	2.25	1.39	5.41
EPHX2	197.09	111.99	4038.61	5006.93	6381.92	3614.55	2935.74	4181.07	4239.45	5403.7	2835.7	12244.81	3874.05	4181.07	4607.24	11267.44	3768.09	1923.14	3168.41	3690.52	1096.5	5594.3	5711.87	3716.2	1909.85	2739.08	3716.2	4152.18	2758.13	5555.65	4769.75	6207.38	4358.66	3124.78	5041.77	6079.61	6121.9	6652.97	5711.87	3768.09	4704.07	5366.37	6250.56	3847.29	2351.53	3874.05	2645.74	3564.78	4575.41	848.22	1225.22	1417.35	4066.71	4769.75	3982.99	6792.79	5076.84	6471.02	4328.55	8022.41	7081.29	8022.41	4210.15	3794.3	7331.05	5995.9	218.79	63.0	1572.76	961.07	896.64	149.12	961.07	1151.06	1208.34	830.75	748.61	921.88	830.75	961.07	764.36	733.19	1175.27	1417.35	1277.29	1259.69	669.92	981.29	1417.35	819.3	708.18	1023.0	1081.39	713.11	688.78	688.78	1015.93	559.28	941.27	204.07
GALM	1066.48	764.36	2335.28	2335.28	2915.45	1268.46	1199.98	2133.97	2148.82	2255.7	713.11	4010.71	1605.83	1477.58	1923.14	3820.7	1936.53	884.29	1819.35	1111.82	759.08	3303.0	3325.99	1745.2	679.29	1175.27	1870.53	1963.57	1950.0	3235.01	3303.0	3257.52	2502.97	860.08	2915.45	3190.46	2816.11	2434.5	2645.74	2468.49	2701.35	3190.46	2796.65	1870.53	1066.48	2664.15	1119.56	2520.38	2816.11	529.06	708.18	460.44	2032.85	2271.4	2573.36	3847.29	2720.15	3589.58	2104.58	3419.52	3742.05	3716.2	2400.97	1662.49	3280.18	3690.52	152.28	175.07	371.22	555.41	343.89	647.07	457.25	441.64	723.08	387.02	289.02	417.77	379.04	397.93	409.15	371.22	547.75	486.75	507.46	620.67	281.09	379.04	483.38	397.93	343.89	441.64	466.88	384.34	325.29	389.72	432.53	384.34	417.77	444.72
