	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.145MO.2326.SM.5NQ9K	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.6342.11A.02R.1965.07
DYNLL2	429.54	551.56	460.44	624.99	591.22	563.18	412.0	587.13	64.34	1127.35	915.51	1340.84	995.0	967.76	1313.23	1277.29	1037.29	1467.37	1529.73	1304.15	1023.0	1037.29	934.76	1135.2	1242.34	1322.37	1037.29	1104.13	1519.15	1015.93	1073.91	1030.12	1378.57	1167.14	1417.35	1066.48	1216.75	1225.22	1242.34	1051.79
EDA	3.32	44.25	34.75	6.46	22.59	13.03	9.93	0.0	0.34	147.06	212.78	368.65	73.54	176.29	70.01	112.77	85.22	71.5	60.39	105.15	34.02	83.45	76.17	115.97	206.94	41.81	155.5	127.0	120.94	221.86	145.02	42.71	29.91	209.84	148.09	170.25	81.71	133.36	44.57	93.35
EPN2	132.44	180.02	112.77	149.12	87.65	155.5	108.14	0.0	0.56	780.44	493.56	1350.18	486.75	629.35	624.99	665.29	511.0	444.72	500.46	521.76	406.31	463.65	555.41	587.13	511.0	511.0	693.58	555.41	616.37	591.22	463.65	457.25	348.71	703.28	518.15	529.06	660.68	728.11	529.06	466.88
FAM151B	14.78	21.94	11.13	7.46	8.78	10.0	13.72	0.0	0.16	63.45	29.06	102.25	26.67	32.13	65.72	34.26	31.9	24.11	33.78	43.32	33.54	24.63	33.54	26.67	57.08	32.59	43.32	34.26	41.81	57.89	30.34	32.36	17.13	36.01	41.52	36.01	43.63	27.05	23.42	25.17
FARP2	163.28	153.34	212.78	312.0	170.25	239.52	253.23	193.01	69.52	466.88	258.57	830.75	281.09	291.04	403.5	265.87	206.94	376.41	271.48	297.17	299.25	228.13	262.2	423.61	483.38	332.14	447.82	409.15	346.29	438.59	283.05	454.09	320.8	291.04	466.88	341.51	395.18	500.46	246.28	198.47
FKBP15	209.84	85.22	171.45	172.65	154.42	166.73	116.78	0.0	0.49	412.0	291.04	444.72	285.03	323.03	403.5	356.05	285.03	305.55	353.59	316.37	287.01	224.97	275.28	353.59	334.46	327.56	389.72	392.44	366.09	323.03	249.73	334.46	262.2	392.44	361.04	346.29	356.05	312.0	343.89	291.04
FZD6	93.35	31.9	110.43	46.18	16.39	22.92	17.13	0.0	0.44	409.15	146.03	423.61	255.0	269.6	237.86	293.07	202.66	251.48	231.32	339.14	136.19	208.38	248.0	403.5	267.73	273.37	444.72	503.95	389.72	279.14	178.77	289.02	177.53	320.8	389.72	299.25	334.46	438.59	145.02	314.17
GYS1	124.37	187.71	202.66	144.01	163.28	115.97	138.1	0.0	0.39	1199.98	1037.29	1487.87	796.86	1030.12	961.07	1242.34	961.07	1001.93	825.0	909.17	791.35	954.43	854.13	825.0	669.92	890.44	1250.98	497.0	769.69	866.07	967.76	808.0	890.44	988.12	974.5	860.08	1059.11	1073.91	723.08	860.08
HAUS3	72.01	63.45	70.01	71.5	20.26	48.87	60.82	0.0	0.43	191.67	111.21	384.34	127.0	141.02	223.41	183.82	140.04	110.43	166.73	241.19	120.94	187.71	139.07	182.55	132.44	167.9	158.79	182.55	244.57	262.2	120.1	190.34	132.44	218.79	147.06	148.09	242.88	165.57	116.78	119.26
INPP4A	38.4	35.25	51.35	26.86	43.32	39.5	45.21	0.0	0.6	180.02	61.68	208.38	65.72	85.82	137.14	89.51	74.06	72.52	80.01	115.97	69.03	70.51	63.45	169.07	144.01	113.56	214.27	131.51	127.0	107.38	61.68	121.79	67.12	136.19	106.63	95.34	121.79	119.26	53.57	66.65
IQCH	9.63	10.0	9.13	9.2	9.06	10.24	6.46	0.0	0.0	35.25	25.35	81.14	11.55	18.29	18.97	32.36	30.12	30.34	35.5	27.84	13.93	7.46	22.26	21.32	23.08	19.82	27.25	24.81	41.22	37.32	20.11	56.28	14.78	42.41	24.28	27.64	36.53	26.86	11.21	19.97
KDM3B	154.42	113.56	163.28	153.34	136.19	134.3	75.64	0.0	0.54	854.13	373.81	660.68	486.75	470.14	595.34	660.68	395.18	551.56	591.22	688.78	323.03	332.14	480.04	633.73	480.04	525.39	703.28	713.11	1051.79	748.61	379.04	595.34	275.28	656.11	684.02	540.19	748.61	603.67	460.44	503.95
KIAA0355	58.71	70.51	47.84	78.89	66.18	87.03	135.24	0.0	0.45	366.09	106.63	423.61	176.29	166.73	220.32	175.07	191.67	169.07	185.11	215.77	108.14	161.02	157.68	249.73	204.07	236.21	339.14	373.81	301.33	297.17	109.66	242.88	138.1	281.09	318.57	165.57	223.41	246.28	182.55	133.36
KIF3A	20.11	24.81	24.81	12.27	9.13	16.75	13.32	0.0	0.2	169.07	59.13	214.27	84.63	117.6	122.64	101.54	63.89	74.58	89.51	96.68	35.76	63.45	61.25	112.77	136.19	82.87	194.36	140.04	187.71	116.78	74.06	86.43	31.45	120.1	96.01	111.99	121.79	100.83	52.45	77.25
KLK3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	772940.66	1345768.59	726195.27	1212874.47	1163466.92	1116072.03	1063212.58	1255646.43	1187913.85	1139523.1	1327240.99	1147449.11	978355.0	1412675.8	1238359.56	1327240.99	1196176.45	851707.37	985160.01	767601.56	1063212.58	1212874.47	1238359.56	985160.01	751804.53	1048575.0	1345768.59	711250.37	1472666.19	1229805.58	1063212.58
LATS2	90.77	38.95	47.17	68.55	92.7	75.11	167.9	0.0	0.39	336.79	100.13	493.56	234.57	291.04	258.57	130.6	148.09	211.31	123.5	224.97	81.71	201.25	151.22	145.02	193.01	177.53	353.59	202.66	194.36	135.24	120.94	129.69	106.63	228.13	223.41	159.9	182.55	195.72	94.01	151.22
MBOAT2	18.56	4.13	7.75	9.93	18.29	20.71	57.89	555.41	289.02	2664.15	2591.27	2319.15	1733.13	2627.46	1605.83	1225.22	1896.65	1467.37	1519.15	1594.73	1127.35	1617.0	1794.29	1540.37	1709.26	1059.11	1757.34	2075.59	1819.35	1896.65	1923.14	1819.35	1073.91	1561.89	1936.53	1350.18	2193.99	2047.0	1498.22	1111.82
MTPN	173.85	127.0	185.11	170.25	239.52	246.28	329.84	0.0	0.6	1508.65	226.54	1447.15	679.29	579.04	808.0	698.41	518.15	723.08	575.03	1088.92	246.28	387.02	358.54	759.08	629.35	785.88	1286.18	1059.11	1359.57	723.08	441.64	599.49	555.41	988.12	1044.52	480.04	909.17	825.0	460.44	688.78
NDRG3	104.42	133.36	198.47	112.77	115.16	108.9	80.57	0.0	0.19	3103.19	2209.26	6561.36	1923.14	1457.23	1477.58	764.36	432.53	1628.26	813.63	1088.92	1487.87	713.11	1477.58	2367.9	2520.38	785.88	2555.58	3168.41	1819.35	3060.45	2193.99	1572.76	2915.45	1350.18	3614.55	5555.65	1745.2	1963.57	1167.14	3039.3
NEK1	34.51	29.48	30.34	32.59	19.53	40.07	36.27	0.0	0.27	190.34	94.01	228.13	103.69	96.01	194.36	145.02	108.14	105.89	143.01	212.78	99.43	77.25	127.89	189.02	218.79	145.02	361.04	197.09	173.85	148.09	80.57	155.5	145.02	180.02	158.79	88.88	170.25	208.38	82.87	94.01
NFYA	142.01	120.94	127.89	117.6	104.42	108.14	85.22	0.0	0.39	409.15	177.53	466.88	262.2	384.34	420.68	320.8	260.38	293.07	269.6	356.05	183.82	164.42	267.73	444.72	271.48	348.71	366.09	435.55	339.14	414.87	229.72	287.01	293.07	293.07	389.72	301.33	336.79	412.0	229.72	249.73
NOTCH2	165.57	81.14	122.64	134.3	147.06	155.5	66.18	0.0	0.8	1023.0	281.09	2032.85	392.44	358.54	532.74	660.68	260.38	466.88	447.82	633.73	237.86	287.01	460.44	547.75	305.55	293.07	1225.22	780.44	866.07	536.45	320.8	713.11	420.68	764.36	603.67	351.14	830.75	723.08	303.44	460.44
NSD1	105.15	80.01	73.03	70.01	57.08	61.25	50.63	0.0	0.54	289.02	98.04	379.04	211.31	167.9	251.48	197.09	142.01	206.94	136.19	206.94	115.97	100.13	164.42	234.57	145.02	155.5	297.17	285.03	371.22	249.73	150.17	234.57	176.29	283.05	251.48	194.36	297.17	239.52	117.6	159.9
PDPK1	215.77	226.54	186.4	127.0	105.89	90.77	64.34	0.0	0.47	563.18	171.45	769.69	332.14	379.04	450.94	373.81	226.54	356.05	217.27	429.54	153.34	137.14	285.03	363.56	305.55	239.52	642.59	638.15	656.11	343.89	218.79	447.82	256.78	575.03	497.0	289.02	629.35	511.0	211.31	232.94
PIK3C2A	102.25	54.33	79.45	98.73	23.93	97.36	87.03	0.0	0.46	684.02	115.97	490.14	260.38	206.94	358.54	279.14	220.32	204.07	305.55	400.71	111.21	178.77	120.1	309.83	260.38	264.03	551.56	457.25	559.28	314.17	134.3	303.44	189.02	457.25	332.14	236.21	507.46	314.17	166.73	194.36
PIP4K2B	166.73	181.28	178.77	163.28	148.09	141.02	135.24	0.0	0.39	567.1	392.44	759.08	444.72	460.44	579.04	500.46	341.51	540.19	368.65	490.14	379.04	358.54	423.61	583.07	447.82	423.61	587.13	543.96	665.29	536.45	392.44	497.0	441.64	579.04	507.46	450.94	575.03	575.03	381.68	493.56
PREPL	171.45	139.07	136.19	214.27	197.09	191.67	177.53	0.0	0.48	915.51	420.68	872.1	547.75	503.95	599.49	679.29	363.56	493.56	563.18	819.3	275.28	447.82	291.04	808.0	629.35	514.56	1175.27	764.36	928.3	738.29	363.56	555.41	521.76	808.0	559.28	684.02	825.0	738.29	376.41	595.34
RAB5B	366.09	303.44	334.46	432.53	660.68	493.56	341.51	0.0	0.68	2537.92	854.13	2816.11	1896.65	1745.2	1936.53	2004.85	1369.04	1733.13	1806.78	2018.8	713.11	1059.11	1304.15	1832.01	1806.78	1674.06	2287.2	2224.63	2075.59	1977.24	1104.13	2209.26	1617.0	2090.03	2400.97	1572.76	2104.58	1977.24	1709.26	1540.37
RAPGEF2	163.28	137.14	110.43	169.07	242.88	209.84	154.42	0.0	0.56	703.28	141.02	825.0	198.47	220.32	417.77	376.41	256.78	287.01	363.56	323.03	98.04	167.9	163.28	409.15	414.87	253.23	642.59	540.19	395.18	450.94	163.28	353.59	162.14	511.0	395.18	251.48	486.75	389.72	172.65	142.01
RECK	61.25	6.89	79.45	27.44	22.43	43.63	26.86	0.0	0.45	194.36	44.89	239.52	110.43	102.25	144.01	97.36	123.5	86.43	90.14	139.07	57.89	146.03	204.07	123.5	156.59	127.89	154.42	132.44	161.02	98.73	70.51	85.82	44.57	178.77	98.04	50.63	88.26	82.29	88.88	110.43
SEC24C	802.41	536.45	954.43	633.73	665.29	698.41	591.22	988.12	136.19	1709.26	1286.18	1794.29	1313.23	1135.2	1594.73	1781.89	1286.18	1551.09	1331.57	1498.22	1119.56	1037.29	1781.89	1745.2	1233.75	1457.23	1832.01	1769.57	1477.58	1651.0	1388.16	1605.83	1359.57	1757.34	1457.23	1369.04	1662.49	1487.87	1447.15	1242.34
SEMA4A	14.35	11.82	6.41	15.91	28.04	17.9	25.72	0.0	0.39	759.08	866.07	2400.97	974.5	1167.14	529.06	1066.48	928.3	547.75	813.63	555.41	490.14	339.14	1208.34	961.07	769.69	785.88	1119.56	878.17	733.19	974.5	728.11	947.83	607.87	890.44	836.53	656.11	684.02	1023.0	647.07	890.44
SKI	249.73	173.85	195.72	279.14	466.88	249.73	215.77	293.07	80.57	813.63	307.69	1359.57	473.41	669.92	684.02	473.41	395.18	543.96	500.46	571.05	400.71	343.89	426.57	624.99	656.11	555.41	764.36	693.58	603.67	583.07	420.68	466.88	493.56	698.41	656.11	540.19	603.67	536.45	441.64	423.61
SMC2	33.06	13.22	30.12	26.1	15.45	33.3	20.11	0.0	0.15	144.01	37.05	127.89	52.45	53.95	59.13	63.45	32.59	56.68	54.72	100.13	39.79	52.45	60.39	96.01	67.12	62.12	138.1	119.26	118.43	107.38	50.63	85.82	59.13	83.45	90.77	67.59	98.04	94.01	38.4	63.0
SPDL1	55.1	37.32	37.32	38.12	13.62	22.59	15.56	0.0	0.01	102.97	56.68	341.51	55.1	60.82	75.11	70.01	75.11	74.58	63.0	102.97	63.45	62.56	56.68	96.01	73.03	61.25	76.71	115.16	87.65	97.36	61.68	90.77	71.0	79.45	78.34	72.01	100.83	65.26	58.3	59.13
TBL1Y	0.0	0.0	9.48	0.0	6.67	4.5	3.59	0.0	0.0	62.12	58.71	111.99	24.11	53.95	26.47	114.36	53.57	36.53	62.12	26.67	34.51	28.65	12.18	63.0	62.12	38.67	86.43	59.13	38.67	36.27	40.07	35.25	19.25	85.82	48.87	42.41	69.03	87.03	10.71	41.22
TDRP	110.43	208.38	95.34	162.14	87.03	150.17	100.83	0.0	0.57	620.67	423.61	656.11	397.93	432.53	316.37	507.46	351.14	457.25	525.39	547.75	353.59	187.71	486.75	323.03	480.04	366.09	426.57	248.0	476.71	551.56	246.28	587.13	379.04	595.34	336.79	656.11	438.59	463.65	497.0	429.54
TMEM254	961.07	607.87	620.67	1030.12	1073.91	802.41	733.19	0.0	0.0	2119.22	1286.18	2645.74	2351.53	1605.83	1350.18	1628.26	1561.89	1991.0	1832.01	2224.63	1159.07	1350.18	2075.59	2061.24	1467.37	1088.92	1977.24	2032.85	2627.46	2335.28	1561.89	2178.83	2178.83	1685.71	2163.77	1819.35	1733.13	2119.22	1844.76	2287.2
TMF1	89.51	40.93	58.3	87.65	35.76	102.25	117.6	0.0	0.48	555.41	144.01	358.54	260.38	237.86	341.51	358.54	251.48	206.94	277.2	403.5	119.26	180.02	206.94	332.14	285.03	339.14	571.05	412.0	483.38	403.5	130.6	291.04	95.34	406.31	351.14	320.8	466.88	358.54	170.25	215.77
TTC3	281.09	312.0	271.48	334.46	82.87	435.55	255.0	0.0	0.79	2555.58	1104.13	2133.97	1199.98	1167.14	1819.35	1605.83	1044.52	1447.15	1388.16	1561.89	785.88	921.88	1304.15	1844.76	1111.82	1233.75	2796.65	2075.59	2148.82	1697.45	974.5	1909.85	1508.65	2075.59	1977.24	1397.83	2240.11	1697.45	915.51	1023.0
TVP23C	36.01	19.25	25.17	47.17	26.47	70.51	44.25	0.0	0.41	110.43	117.6	371.22	119.26	171.45	218.79	100.83	120.1	119.26	107.38	139.07	74.58	118.43	209.84	123.5	87.65	193.01	244.57	110.43	215.77	120.94	98.04	146.03	128.79	114.36	139.07	130.6	217.27	242.88	45.53	44.25
ULK2	11.73	2.46	53.19	41.52	48.52	48.18	17.25	0.0	0.37	299.25	118.43	642.59	157.68	194.36	384.34	156.59	169.07	167.9	165.57	166.73	181.28	154.42	139.07	295.11	258.57	190.34	363.56	265.87	256.78	226.54	205.5	220.32	105.89	262.2	249.73	186.4	242.88	201.25	117.6	142.01
WHSC1	82.87	58.3	79.45	78.89	50.98	76.17	38.95	0.0	0.77	316.37	162.14	547.75	204.07	281.09	299.25	236.21	209.84	217.27	236.21	217.27	163.28	169.07	205.5	336.79	236.21	202.66	376.41	264.03	291.04	320.8	226.54	253.23	194.36	320.8	258.57	248.0	341.51	244.57	159.9	170.25
YY2	15.68	3.47	13.62	16.15	18.84	14.14	7.94	0.0	0.31	37.85	12.74	112.77	35.25	38.95	13.42	29.06	17.25	16.51	15.45	20.41	19.39	20.26	34.26	31.0	34.51	21.32	22.75	21.94	36.79	32.36	29.27	24.28	40.64	23.08	23.93	46.84	40.07	24.81	14.67	21.32
ZDHHC21	25.17	10.0	15.91	29.06	7.75	25.17	23.42	0.0	0.58	153.34	68.07	152.28	99.43	120.1	132.44	127.0	88.88	88.88	95.34	84.63	71.0	85.22	67.12	127.89	117.6	111.99	130.6	144.01	197.09	126.12	78.89	102.25	73.03	147.06	137.14	145.02	167.9	123.5	68.07	67.59
ZNF117	28.45	8.99	12.27	19.25	4.46	15.56	8.65	0.0	0.88	105.15	31.45	151.22	63.89	60.82	62.12	48.18	53.95	56.68	50.98	58.3	40.93	56.28	82.29	104.42	76.17	62.12	115.16	54.72	99.43	88.88	60.82	73.54	40.36	74.58	55.49	103.69	85.22	75.64	49.56	80.57
ZNF136	38.4	19.11	14.14	49.21	18.16	30.56	27.05	0.0	0.32	172.65	70.51	218.79	122.64	121.79	146.03	123.5	77.25	93.35	106.63	162.14	71.5	104.42	118.43	134.3	109.66	163.28	140.04	163.28	171.45	147.06	67.12	124.37	123.5	147.06	155.5	119.26	162.14	136.19	81.71	105.89
ZNF441	39.5	27.05	25.72	37.85	2.84	20.86	29.7	0.0	0.15	114.36	53.57	120.94	55.89	61.68	82.29	80.01	38.95	43.94	64.8	70.51	34.02	59.97	78.34	91.41	84.04	67.12	74.58	110.43	107.38	102.25	37.59	73.54	39.22	97.36	92.05	53.95	92.05	70.01	46.18	48.52
ZNF445	32.59	28.65	29.27	37.32	22.1	26.86	23.42	0.0	0.49	155.5	54.72	136.19	78.89	89.51	114.36	115.16	67.59	93.35	91.41	103.69	56.28	57.89	75.11	105.15	87.65	89.51	131.51	127.0	136.19	113.56	59.55	101.54	71.5	132.44	107.38	84.63	140.04	98.04	57.08	72.52
ZNF45	38.12	11.04	26.47	35.5	18.84	34.75	24.28	0.0	0.08	197.09	87.65	228.13	96.68	96.68	142.01	147.06	80.57	127.89	146.03	139.07	80.57	94.01	85.82	171.45	115.97	119.26	172.65	180.02	151.22	156.59	80.01	157.68	89.51	176.29	147.06	132.44	185.11	136.19	86.43	111.99
ZNF507	43.32	63.0	37.32	64.34	30.12	56.28	49.21	0.0	0.49	236.21	63.45	253.23	102.25	102.25	166.73	154.42	95.34	115.97	127.0	166.73	72.01	111.99	81.71	142.01	96.68	148.09	173.85	228.13	220.32	194.36	88.88	150.17	99.43	189.02	145.02	148.09	209.84	131.51	83.45	114.36
ZNF532	25.35	7.82	25.72	28.04	10.55	23.08	17.25	389.72	77.25	1769.57	339.14	2645.74	1135.2	878.17	988.12	1066.48	595.34	796.86	872.1	743.43	785.88	616.37	497.0	1199.98	674.59	780.44	1844.76	1487.87	2335.28	1628.26	500.46	603.67	473.41	1498.22	1159.07	728.11	1674.06	1583.71	708.18	1216.75
ZNF565	23.42	30.56	35.0	31.0	25.17	31.9	37.59	0.0	0.33	78.34	74.58	127.89	73.54	63.0	78.89	93.35	59.55	53.95	61.68	63.0	40.64	61.25	69.52	70.51	75.11	67.12	77.25	87.03	74.06	89.51	57.89	78.34	52.82	96.01	96.01	61.25	102.25	74.58	63.89	61.25
ZNF596	26.86	26.28	20.86	37.59	13.62	32.36	28.45	0.0	0.52	82.29	38.12	170.25	56.68	57.49	74.06	71.5	38.67	37.32	73.54	55.49	38.12	63.45	35.0	59.13	100.83	44.57	71.0	60.39	94.01	122.64	69.52	92.05	26.28	85.82	42.41	83.45	105.89	87.65	71.0	40.36
ZNF70	2.61	5.36	3.66	6.94	5.82	6.57	2.76	0.0	0.13	45.85	13.83	52.45	28.04	25.54	38.12	36.53	15.91	27.84	28.04	29.06	12.0	12.74	16.39	39.5	24.28	20.71	48.18	47.84	40.64	49.21	13.52	41.22	19.53	49.56	33.54	15.0	51.71	38.95	18.7	19.68
ZNF778	31.45	22.59	34.51	9.93	27.44	26.47	18.56	0.0	0.24	113.56	22.59	253.23	36.01	56.28	97.36	51.71	78.89	52.45	36.01	70.01	18.97	66.18	57.49	74.06	36.27	47.17	113.56	119.26	131.51	32.36	43.94	68.07	38.67	123.5	60.39	25.17	88.26	84.63	20.11	32.59
ZNF792	11.38	15.56	21.63	15.45	12.93	12.93	4.62	0.0	0.39	71.5	36.27	234.57	52.82	26.28	83.45	67.12	22.59	86.43	74.06	64.8	46.5	56.68	76.17	72.01	59.97	70.01	41.52	68.07	66.65	89.51	32.36	87.03	51.71	76.17	67.59	46.5	96.68	57.49	59.55	57.89
