	TCGA.T9.A92H.01A.11R.A37K.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.CA.6715.01A.21R.1839.07	TCGA.5M.AAT4.01A.11R.A41B.07	TCGA.QG.A5YW.01A.11R.A28H.07	TCGA.QG.A5YX.01A.11R.A28H.07	TCGA.AY.6386.01A.21R.1723.07	TCGA.AM.5821.01A.01R.1653.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.13S86.1626.SM.5Q5C5	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.YEC3.2426.SM.5IFJR	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.117YW.1826.SM.5PNY5	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.O5YT.1426.SM.3MJHC	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.13OW6.2126.SM.5N9GL	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.144GN.1126.SM.5LU33	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.12KS4.1326.SM.5LUB3	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AH.6897.01A.11R.1928.07	GTEX.QXCU.1926.SM.48FE4	GTEX.Q2AI.0826.SM.48TZO
ATP8A1	211.31	137.14	18.97	194.36	96.01	131.51	133.36	14.67	718.08	540.19	890.44	277.2	825.0	371.22	525.39	583.07	579.04	638.15	620.67	403.5	1104.13	543.96	587.13	361.04	447.82	974.5	1023.0	1066.48	669.92	620.67	323.03	642.59	988.12	633.73	480.04	748.61	575.03	1151.06	884.29	265.87	995.0	854.13	665.29	1008.9	723.08	325.29	212.78	878.17	441.64	651.58	764.36	343.89	457.25	890.44	733.19	791.35	1322.37	674.59	733.19	603.67	400.71	915.51	371.22	559.28	780.44	297.17	642.59	703.28	830.75	476.71	406.31	607.87	872.1	376.41	547.75	536.45	540.19	728.11	988.12	563.18	277.2	791.35	521.76	1225.22	660.68	15.91	38.4	6.06	88.88	43.02	42.41	47.5	36.79	17.9	23.93	62.12	10.63	0.0	0.49	51.35	234.57	223.41
BAHD1	177.53	283.05	281.09	260.38	163.28	287.01	316.37	163.28	575.03	575.03	571.05	579.04	521.76	409.15	656.11	629.35	417.77	389.72	497.0	575.03	796.86	307.69	507.46	457.25	432.53	547.75	438.59	529.06	647.07	463.65	503.95	525.39	412.0	417.77	307.69	476.71	583.07	591.22	575.03	389.72	583.07	563.18	450.94	463.65	476.71	426.57	242.88	457.25	543.96	575.03	438.59	389.72	246.28	529.06	518.15	547.75	555.41	647.07	470.14	551.56	536.45	579.04	269.6	483.38	555.41	387.02	583.07	423.61	665.29	265.87	460.44	514.56	567.1	301.33	435.55	406.31	381.68	400.71	503.95	343.89	460.44	470.14	470.14	629.35	460.44	136.19	178.77	94.67	265.87	150.17	177.53	117.6	224.97	173.85	232.94	176.29	149.12	0.0	0.58	244.57	234.57	444.72
BCMO1	33.3	18.97	26.1	26.47	23.08	45.85	53.57	14.67	73.03	69.52	141.02	59.97	45.53	57.08	78.89	47.84	59.13	100.83	98.04	146.03	56.68	85.22	51.35	55.89	30.34	122.64	163.28	66.65	56.28	110.43	24.46	52.82	126.12	106.63	69.52	105.89	100.13	82.87	103.69	58.71	87.65	77.25	164.42	84.63	63.0	28.86	96.01	68.55	59.97	120.94	176.29	60.82	11.91	124.37	113.56	94.67	132.44	59.55	68.55	67.12	30.56	139.07	28.04	66.18	98.73	45.53	135.24	104.42	130.6	11.04	75.11	80.01	37.32	75.11	28.04	64.8	120.1	83.45	54.72	88.26	85.22	54.33	74.58	66.65	40.93	43.63	3.0	28.24	3.26	15.45	4.28	5.36	4.9	3.96	18.03	13.52	34.02	0.0	0.0	8.71	31.22	36.79
BRPF3	293.07	316.37	454.09	309.83	551.56	373.81	305.55	96.01	967.76	1015.93	1119.56	769.69	1183.45	884.29	1001.93	981.29	902.89	878.17	1023.0	872.1	947.83	1199.98	1175.27	836.53	819.3	1259.69	921.88	1417.35	1111.82	1225.22	1259.69	884.29	1167.14	860.08	748.61	1008.9	928.3	1487.87	988.12	571.05	1183.45	1135.2	954.43	1286.18	854.13	698.41	620.67	1143.1	470.14	884.29	1208.34	616.37	547.75	1167.14	1322.37	1183.45	1313.23	1037.29	1191.69	1167.14	860.08	1030.12	656.11	785.88	1119.56	785.88	1250.98	1175.27	1268.46	470.14	723.08	1030.12	1216.75	769.69	934.76	796.86	890.44	1059.11	1250.98	866.07	785.88	1096.5	878.17	1295.13	941.27	258.57	293.07	389.72	277.2	121.79	271.48	135.24	185.11	248.0	334.46	228.13	149.12	0.0	0.68	334.46	414.87	540.19
C1QTNF1-AS1	3.86	12.64	9.63	5.15	0.0	6.78	1.48	4.78	43.94	5.45	145.02	14.89	4.62	14.45	21.94	63.89	14.14	5.36	50.63	23.42	40.36	32.82	46.5	8.99	21.32	0.0	64.8	5.68	0.0	6.11	0.0	22.92	11.04	7.63	0.0	12.36	16.51	62.56	23.93	0.0	10.71	164.42	47.17	52.45	37.32	12.0	12.83	15.68	12.83	82.87	72.01	17.9	0.0	18.7	21.94	21.63	52.08	33.06	30.56	10.63	24.81	35.0	8.25	9.2	29.06	18.97	57.89	28.04	120.94	0.0	8.32	49.21	27.44	5.23	0.0	40.93	8.85	0.0	109.66	0.0	0.0	14.67	8.71	14.67	43.94	37.32	2.05	14.03	2.61	0.0	0.0	0.0	18.29	0.0	1.87	17.64	0.0	0.0	0.01	10.47	0.0	5.73
C1orf115	13.12	65.26	217.27	43.02	177.53	307.69	244.57	15.11	1769.57	1277.29	2468.49	2485.67	1794.29	1183.45	2004.85	1923.14	872.1	1561.89	2609.3	1950.0	2701.35	1044.52	2193.99	902.89	995.0	3372.43	4836.35	2591.27	1066.48	1259.69	769.69	1963.57	2032.85	1963.57	567.1	2591.27	2032.85	2915.45	2664.15	660.68	3955.48	2163.77	1757.34	2875.3	1819.35	612.11	616.37	1857.6	656.11	2209.26	3742.05	1359.57	836.53	2384.37	1896.65	1844.76	4210.15	3103.19	1909.85	2351.53	988.12	2119.22	532.74	974.5	2701.35	878.17	1977.24	3039.3	2367.9	633.73	1277.29	3018.3	2090.03	825.0	842.36	1378.57	1407.55	995.0	2835.7	1259.69	599.49	1259.69	1350.18	2739.08	2384.37	1030.12	2451.44	1191.69	2682.69	3039.3	2701.35	878.17	1844.76	2384.37	2148.82	1277.29	406.31	0.0	0.44	189.02	253.23	490.14
C2orf68	450.94	529.06	878.17	376.41	669.92	808.0	444.72	423.61	583.07	733.19	753.83	688.78	718.08	674.59	785.88	842.36	571.05	813.63	665.29	733.19	620.67	559.28	638.15	633.73	486.75	693.58	753.83	796.86	612.11	633.73	591.22	674.59	743.43	507.46	579.04	813.63	733.19	718.08	791.35	432.53	703.28	825.0	559.28	587.13	616.37	551.56	607.87	738.29	181.28	698.41	830.75	612.11	591.22	866.07	764.36	693.58	748.61	647.07	612.11	713.11	536.45	759.08	723.08	555.41	718.08	486.75	703.28	708.18	941.27	511.0	567.1	785.88	872.1	447.82	759.08	551.56	733.19	669.92	830.75	748.61	466.88	764.36	728.11	775.05	583.07	473.41	529.06	473.41	483.38	603.67	579.04	366.09	447.82	435.55	473.41	708.18	145.02	332.14	7695.57	674.59	334.46	599.49
C2orf88	24.63	14.67	45.85	16.75	70.01	180.02	165.57	9.48	2555.58	1733.13	3589.58	3190.46	2664.15	1697.45	2875.3	2555.58	1529.73	2976.74	3190.46	1923.14	2956.17	3372.43	4802.93	1322.37	2090.03	5479.15	10585.95	4450.27	1044.52	2163.77	1096.5	2119.22	3419.52	3124.78	902.89	3564.78	3039.3	4358.66	4328.55	708.18	3982.99	2758.13	1844.76	4736.79	3212.66	866.07	866.07	4450.27	1447.15	4512.4	4010.71	1769.57	1088.92	3124.78	3190.46	2915.45	5479.15	3372.43	3146.52	3372.43	1268.46	3018.3	819.3	1594.73	3467.27	1277.29	4268.94	5292.48	2976.74	563.18	1757.34	2701.35	4038.61	1417.35	896.64	1936.53	2193.99	1216.75	4181.07	2384.37	1322.37	2520.38	2224.63	4328.55	3212.66	775.05	205.5	133.36	89.51	61.25	19.97	46.5	320.8	34.51	105.89	297.17	16.88	0.0	0.28	38.12	175.07	195.72
C9orf173	4.31	7.11	3.82	9.06	8.45	6.26	1.22	1.2	10.08	2.92	13.12	9.13	4.03	4.66	13.83	7.06	1.81	23.93	8.25	5.28	5.63	1.41	6.01	6.62	4.1	6.73	11.21	8.99	2.68	5.32	0.49	12.36	10.39	4.06	3.86	3.32	4.31	9.41	14.89	4.06	3.92	19.53	9.06	7.88	13.52	3.92	6.06	5.45	1.46	19.97	21.32	12.36	1.08	13.52	4.39	14.56	27.25	13.52	5.82	5.06	6.57	9.56	3.5	7.34	11.3	2.92	11.82	8.06	13.12	0.35	4.17	15.91	11.55	7.69	3.47	10.08	11.55	10.63	14.78	10.55	0.32	1.99	9.56	10.88	5.63	0.95	3.99	1.95	24.11	8.92	5.54	5.73	1.55	13.62	17.0	8.58	0.6	0.0	0.31	3.14	2.48	0.54
CACNA2D4	34.75	52.08	52.45	102.25	30.56	63.45	33.54	1487.87	226.54	182.55	316.37	102.25	258.57	139.07	204.07	201.25	128.79	189.02	155.5	131.51	241.19	149.12	212.78	118.43	77.79	248.0	195.72	212.78	127.89	162.14	75.64	267.73	339.14	140.04	186.4	125.24	176.29	204.07	277.2	124.37	122.64	441.64	211.31	155.5	234.57	152.28	152.28	273.37	65.72	218.79	269.6	138.1	104.42	373.81	159.9	253.23	291.04	248.0	198.47	158.79	126.12	242.88	164.42	229.72	180.02	164.42	194.36	265.87	366.09	226.54	90.14	258.57	237.86	163.28	135.24	166.73	182.55	241.19	429.54	209.84	122.64	180.02	169.07	273.37	194.36	35.25	36.27	44.57	101.54	52.08	12.64	34.51	55.89	12.83	49.56	28.45	2.29	0.0	0.51	39.79	21.47	32.82
CAMK2N1	775.05	540.19	1250.98	486.75	289.02	1447.15	703.28	1268.46	5041.77	3443.31	6164.49	3515.68	4010.71	3467.27	4836.35	4388.98	4543.8	5366.37	5517.27	4575.41	5791.62	2875.3	4704.07	2400.97	4239.45	7130.55	8421.31	6699.25	3039.3	3491.39	4358.66	4358.66	5872.48	4481.23	1870.53	3982.99	3372.43	6699.25	5872.48	2758.13	4575.41	5255.91	4095.0	5672.41	4607.24	3212.66	1340.84	6935.54	7081.29	7433.4	5791.62	2434.5	2133.97	4736.79	6037.61	5594.3	10659.59	4802.93	4607.24	5954.47	3124.78	4836.35	1991.0	3491.39	4388.98	2956.17	6207.38	5183.54	7032.37	1322.37	2682.69	4972.34	4972.34	4358.66	3955.48	3716.2	2400.97	3372.43	6561.36	3982.99	2627.46	3540.14	4481.23	5633.22	5672.41	1572.76	1242.34	473.41	1397.83	1216.75	1572.76	1844.76	2875.3	1175.27	1870.53	967.76	500.46	1936.53	4358.66	1023.0	791.35	265.87
