	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.BH.A0B0.01A.21R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A1XM.01A.21R.A14M.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.D8.A141.01A.11R.A115.07	TCGA.E2.A1IN.01A.11R.A13Q.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	GTEX.S4UY.1426.SM.4AD6Y	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	TCGA.44.6774.01A.21R.1858.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.NA.A4QV.01A.11R.A28V.07	GTEX.T2IS.2226.SM.4DM65
EFCAB7	28.86	85.82	69.52	141.02	185.11	70.51	65.72	218.79	106.63	82.87	78.89	172.65	150.17	113.56	117.6	60.39	175.07	83.45	105.89	78.89	204.07	78.89	93.35	98.04	97.36	151.22	143.01	150.17	119.26	69.52	85.82	181.28	96.68	159.9	209.84	119.26	178.77	126.12	116.78	101.54	99.43	94.67	72.52	144.01	102.97	258.57	87.03	131.51	164.42	81.14	67.59	84.63	73.03	59.97	35.5	12.64	25.35	14.56	15.68	23.08	16.75	23.42	26.28	10.79	53.19	73.54	105.89	156.59	124.37
EFTUD2	1225.22	928.3	1037.29	1806.78	1088.92	1059.11	1051.79	1388.16	1167.14	995.0	947.83	1397.83	3018.3	1639.59	1175.27	1427.22	1870.53	1519.15	1104.13	1909.85	2573.36	1477.58	2835.7	1359.57	1268.46	1781.89	1594.73	1963.57	1594.73	1151.06	1304.15	1870.53	878.17	2018.8	2303.12	995.0	2609.3	1551.09	1529.73	1709.26	1250.98	1709.26	1639.59	1216.75	1088.92	1508.65	981.29	616.37	718.08	1199.98	1199.98	1175.27	1023.0	1216.75	587.13	988.12	728.11	656.11	633.73	660.68	579.04	688.78	656.11	521.76	1617.0	1529.73	1023.0	1277.29	967.76
EIF4G3	395.18	595.34	642.59	703.28	995.0	674.59	480.04	836.53	525.39	769.69	466.88	808.0	860.08	669.92	669.92	500.46	842.36	567.1	642.59	525.39	633.73	305.55	559.28	529.06	693.58	679.29	884.29	1001.93	521.76	802.41	571.05	909.17	629.35	633.73	738.29	703.28	860.08	753.83	780.44	651.58	890.44	808.0	450.94	802.41	836.53	954.43	1104.13	693.58	688.78	521.76	480.04	336.79	511.0	743.43	384.34	130.6	151.22	103.69	71.0	140.04	181.28	229.72	159.9	108.9	780.44	684.02	947.83	624.99	575.03
EPC2	170.25	343.89	291.04	392.44	521.76	406.31	275.28	525.39	323.03	381.68	249.73	466.88	450.94	341.51	329.84	275.28	486.75	287.01	346.29	348.71	507.46	137.14	152.28	444.72	334.46	450.94	490.14	507.46	309.83	316.37	301.33	356.05	314.17	363.56	432.53	327.56	466.88	454.09	341.51	309.83	457.25	329.84	241.19	269.6	429.54	656.11	241.19	493.56	595.34	180.02	163.28	316.37	242.88	285.03	87.65	80.57	121.79	89.51	55.1	105.15	117.6	102.97	115.16	57.89	334.46	361.04	376.41	540.19	289.02
EXOC1	289.02	336.79	320.8	473.41	540.19	412.0	395.18	507.46	303.44	599.49	368.65	435.55	629.35	291.04	521.76	293.07	599.49	332.14	460.44	417.77	703.28	237.86	204.07	633.73	409.15	583.07	571.05	547.75	612.11	470.14	414.87	555.41	473.41	460.44	728.11	400.71	536.45	473.41	457.25	432.53	473.41	287.01	325.29	307.69	493.56	713.11	532.74	470.14	395.18	341.51	551.56	379.04	303.44	361.04	95.34	108.9	120.94	99.43	44.57	115.97	82.87	120.1	123.5	38.95	389.72	463.65	476.71	511.0	363.56
FAM126B	51.35	75.11	55.1	59.97	132.44	61.25	56.28	132.44	63.89	72.52	57.89	175.07	176.29	118.43	90.14	55.1	132.44	53.57	96.01	103.69	155.5	36.53	39.79	138.1	57.89	120.94	163.28	201.25	96.01	75.11	64.8	127.89	52.45	133.36	120.1	72.52	141.02	153.34	84.04	70.51	173.85	83.45	86.43	75.64	103.69	177.53	62.56	44.57	56.68	79.45	69.52	45.53	34.51	68.07	21.01	22.26	53.19	44.57	30.34	62.12	50.27	39.79	46.18	54.33	102.25	115.97	118.43	77.79	48.87
FAM134C	454.09	981.29	660.68	1242.34	854.13	1304.15	638.15	1119.56	723.08	830.75	684.02	988.12	1437.15	529.06	872.1	769.69	1233.75	921.88	651.58	1498.22	1594.73	961.07	830.75	1081.39	819.3	1059.11	884.29	1073.91	1674.06	708.18	698.41	1030.12	723.08	1369.04	1477.58	607.87	1529.73	1119.56	842.36	884.29	819.3	988.12	1286.18	836.53	878.17	1477.58	967.76	813.63	624.99	884.29	890.44	703.28	693.58	723.08	351.14	591.22	785.88	595.34	583.07	738.29	463.65	575.03	591.22	532.74	775.05	854.13	656.11	703.28	563.18
FAM222B	120.94	409.15	279.14	457.25	470.14	414.87	444.72	389.72	318.57	325.29	206.94	493.56	480.04	246.28	323.03	289.02	540.19	358.54	486.75	320.8	363.56	363.56	157.68	540.19	366.09	392.44	356.05	457.25	540.19	295.11	183.82	532.74	262.2	320.8	583.07	327.56	620.67	368.65	341.51	320.8	316.37	392.44	277.2	346.29	336.79	521.76	297.17	232.94	231.32	454.09	301.33	201.25	155.5	283.05	194.36	103.69	126.12	107.38	113.56	120.94	121.79	100.83	125.24	46.5	403.5	417.77	435.55	287.01	334.46
FBXW7	223.41	223.41	187.71	165.57	387.02	251.48	291.04	309.83	147.06	265.87	182.55	148.09	273.37	177.53	253.23	208.38	371.22	183.82	267.73	218.79	341.51	81.14	108.9	258.57	155.5	289.02	212.78	287.01	195.72	318.57	255.0	264.03	193.01	220.32	303.44	201.25	271.48	262.2	248.0	232.94	351.14	221.86	123.5	214.27	255.0	775.05	348.71	279.14	190.34	221.86	208.38	161.02	131.51	197.09	91.41	130.6	150.17	115.97	56.68	158.79	135.24	126.12	109.66	75.64	309.83	381.68	275.28	130.6	137.14
FCHSD2	423.61	384.34	305.55	379.04	514.56	305.55	351.14	473.41	400.71	397.93	376.41	303.44	426.57	412.0	343.89	312.0	480.04	366.09	674.59	327.56	819.3	221.86	231.32	525.39	450.94	466.88	551.56	607.87	486.75	497.0	473.41	423.61	267.73	753.83	395.18	348.71	497.0	420.68	389.72	351.14	503.95	423.61	211.31	258.57	567.1	368.65	197.09	473.41	500.46	320.8	220.32	167.9	234.57	381.68	202.66	116.78	139.07	142.01	90.77	190.34	114.36	152.28	187.71	149.12	748.61	483.38	444.72	217.27	271.48
GCC2	155.5	220.32	221.86	239.52	825.0	248.0	182.55	688.78	283.05	353.59	189.02	483.38	540.19	332.14	366.09	339.14	759.08	220.32	400.71	283.05	775.05	136.19	123.5	490.14	285.03	460.44	389.72	633.73	447.82	279.14	202.66	363.56	191.67	409.15	490.14	260.38	718.08	497.0	400.71	239.52	543.96	273.37	197.09	397.93	368.65	909.17	307.69	312.0	381.68	159.9	115.97	139.07	118.43	244.57	56.68	78.89	115.16	123.5	21.63	103.69	105.15	107.38	100.83	107.38	303.44	358.54	543.96	242.88	120.1
GGNBP2	802.41	842.36	1096.5	1051.79	981.29	860.08	708.18	1183.45	753.83	872.1	743.43	1242.34	1447.15	607.87	981.29	819.3	1250.98	854.13	1081.39	808.0	995.0	791.35	684.02	1183.45	698.41	1135.2	947.83	1104.13	1437.15	1001.93	941.27	1015.93	825.0	1331.57	1605.83	743.43	1286.18	1096.5	947.83	902.89	902.89	928.3	1111.82	928.3	928.3	1304.15	1037.29	836.53	813.63	819.3	651.58	620.67	780.44	708.18	389.72	780.44	591.22	567.1	253.23	493.56	738.29	429.54	540.19	363.56	890.44	854.13	921.88	995.0	575.03
GIGYF2	267.73	373.81	376.41	607.87	808.0	647.07	480.04	915.51	514.56	540.19	426.57	902.89	1066.48	684.02	583.07	728.11	961.07	514.56	684.02	583.07	941.27	444.72	214.27	896.64	693.58	872.1	842.36	974.5	872.1	511.0	486.75	872.1	435.55	775.05	669.92	336.79	1023.0	1030.12	703.28	511.0	791.35	684.02	532.74	476.71	514.56	1340.84	486.75	291.04	567.1	423.61	332.14	480.04	281.09	490.14	190.34	148.09	198.47	158.79	155.5	193.01	195.72	193.01	190.34	98.04	536.45	620.67	591.22	591.22	291.04
GOSR1	406.31	400.71	392.44	575.03	915.51	674.59	1397.83	684.02	518.15	551.56	395.18	995.0	1268.46	483.38	511.0	860.08	1066.48	575.03	460.44	728.11	1073.91	555.41	334.46	1001.93	669.92	1015.93	743.43	1044.52	1313.23	1529.73	483.38	884.29	441.64	1051.79	1167.14	507.46	1350.18	884.29	620.67	647.07	842.36	674.59	775.05	518.15	616.37	1127.35	567.1	358.54	476.71	381.68	303.44	785.88	507.46	438.59	403.5	332.14	260.38	273.37	287.01	258.57	332.14	316.37	361.04	214.27	571.05	559.28	656.11	679.29	351.14
GOSR2	808.0	1001.93	819.3	1487.87	1277.29	902.89	713.11	1001.93	981.29	1397.83	860.08	1417.35	1709.26	974.5	1066.48	1044.52	1322.37	981.29	974.5	1519.15	2133.97	813.63	1088.92	1417.35	1183.45	1359.57	1340.84	1268.46	1936.53	1233.75	1322.37	1250.98	1268.46	1397.83	1529.73	1119.56	1359.57	1277.29	1191.69	1167.14	1350.18	1331.57	1127.35	866.07	1096.5	1081.39	1001.93	1331.57	738.29	954.43	733.19	2193.99	1388.16	1159.07	473.41	595.34	450.94	409.15	647.07	429.54	497.0	629.35	688.78	438.59	1487.87	1268.46	967.76	1242.34	1044.52
GPATCH8	89.51	212.78	161.02	409.15	497.0	260.38	176.29	511.0	208.38	325.29	195.72	363.56	567.1	258.57	392.44	194.36	476.71	303.44	279.14	384.34	412.0	162.14	136.19	406.31	285.03	450.94	414.87	497.0	438.59	316.37	281.09	470.14	181.28	480.04	473.41	228.13	536.45	454.09	339.14	275.28	420.68	403.5	187.71	389.72	320.8	660.68	334.46	229.72	277.2	262.2	181.28	167.9	146.03	289.02	57.49	59.97	66.65	46.18	51.71	72.52	67.12	56.28	80.01	37.85	381.68	412.0	358.54	297.17	195.72
HEATR5A	190.34	285.03	244.57	316.37	389.72	287.01	368.65	460.44	180.02	1819.35	190.34	341.51	361.04	363.56	275.28	103.69	412.0	220.32	267.73	309.83	454.09	211.31	197.09	265.87	291.04	332.14	503.95	420.68	412.0	796.86	265.87	361.04	332.14	470.14	381.68	224.97	500.46	341.51	307.69	244.57	334.46	312.0	279.14	420.68	265.87	406.31	346.29	400.71	248.0	162.14	231.32	153.34	332.14	353.59	214.27	231.32	122.64	98.04	69.52	166.73	127.0	163.28	167.9	137.14	392.44	334.46	441.64	183.82	285.03
IFT81	70.01	169.07	262.2	181.28	289.02	129.69	182.55	351.14	130.6	173.85	149.12	403.5	299.25	264.03	180.02	169.07	332.14	172.65	249.73	152.28	429.54	271.48	156.59	289.02	123.5	334.46	198.47	346.29	172.65	275.28	201.25	358.54	137.14	336.79	500.46	159.9	432.53	281.09	198.47	249.73	198.47	181.28	215.77	224.97	201.25	325.29	229.72	251.48	265.87	68.55	133.36	127.0	133.36	104.42	57.08	60.82	47.17	44.89	9.93	54.72	42.11	41.52	33.78	21.47	166.73	133.36	204.07	264.03	170.25
ING3	130.6	189.02	129.69	195.72	307.69	194.36	176.29	231.32	150.17	246.28	177.53	177.53	150.17	182.55	236.21	112.77	251.48	180.02	206.94	185.11	220.32	113.56	215.77	232.94	164.42	251.48	297.17	251.48	198.47	223.41	208.38	175.07	180.02	118.43	236.21	185.11	186.4	224.97	158.79	148.09	223.41	154.42	120.94	211.31	269.6	361.04	341.51	187.71	180.02	77.25	125.24	87.03	126.12	112.77	95.34	103.69	99.43	96.01	36.53	131.51	65.26	83.45	119.26	90.77	241.19	153.34	215.77	218.79	199.85
KANSL1	209.84	387.02	287.01	728.11	813.63	473.41	275.28	842.36	366.09	470.14	466.88	780.44	1119.56	638.15	825.0	351.14	1037.29	466.88	624.99	669.92	830.75	447.82	303.44	967.76	432.53	1015.93	848.22	902.89	733.19	476.71	423.61	890.44	395.18	872.1	1277.29	521.76	1225.22	743.43	688.78	591.22	785.88	579.04	403.5	713.11	599.49	1183.45	647.07	575.03	780.44	450.94	366.09	215.77	248.0	429.54	106.63	176.29	187.71	150.17	111.99	204.07	164.42	161.02	134.3	85.22	647.07	836.53	607.87	698.41	532.74
KIAA1279	376.41	417.77	223.41	603.67	466.88	420.68	780.44	693.58	603.67	432.53	470.14	947.83	753.83	500.46	403.5	723.08	583.07	441.64	457.25	493.56	583.07	612.11	258.57	555.41	575.03	624.99	460.44	612.11	713.11	595.34	420.68	518.15	540.19	909.17	753.83	521.76	595.34	579.04	511.0	486.75	536.45	493.56	441.64	406.31	612.11	583.07	607.87	460.44	417.77	417.77	291.04	325.29	336.79	529.06	90.14	137.14	148.09	122.64	107.38	111.99	147.06	132.44	154.42	91.41	463.65	450.94	518.15	218.79	366.09
KIAA2026	79.45	152.28	154.42	217.27	327.56	177.53	127.89	334.46	197.09	231.32	135.24	503.95	312.0	242.88	246.28	139.07	358.54	189.02	229.72	253.23	392.44	175.07	57.49	336.79	211.31	264.03	332.14	403.5	256.78	229.72	211.31	305.55	170.25	255.0	327.56	187.71	289.02	336.79	291.04	217.27	275.28	185.11	88.26	185.11	271.48	514.56	175.07	221.86	258.57	156.59	156.59	80.01	105.15	177.53	43.32	29.06	56.28	50.27	17.51	63.45	42.71	59.97	57.89	21.16	186.4	186.4	305.55	99.43	206.94
KMT2E	191.67	384.34	348.71	500.46	878.17	476.71	409.15	703.28	466.88	599.49	348.71	575.03	493.56	624.99	633.73	441.64	1081.39	486.75	651.58	624.99	651.58	379.04	183.82	860.08	551.56	733.19	947.83	988.12	753.83	406.31	476.71	738.29	406.31	624.99	656.11	490.14	866.07	928.3	633.73	599.49	599.49	791.35	305.55	718.08	651.58	1111.82	353.59	529.06	669.92	435.55	293.07	309.83	273.37	348.71	133.36	85.82	134.3	84.04	46.18	120.1	132.44	86.43	143.01	44.25	647.07	684.02	753.83	348.71	303.44
LANCL1	167.9	376.41	376.41	532.74	890.44	412.0	514.56	981.29	521.76	521.76	334.46	1023.0	954.43	607.87	507.46	743.43	934.76	708.18	620.67	713.11	890.44	532.74	178.77	1015.93	703.28	674.59	1051.79	1073.91	723.08	500.46	384.34	785.88	358.54	674.59	759.08	587.13	1037.29	896.64	500.46	595.34	769.69	753.83	1037.29	599.49	559.28	1388.16	947.83	743.43	688.78	432.53	301.33	180.02	215.77	358.54	119.26	136.19	145.02	163.28	191.67	164.42	158.79	187.71	214.27	186.4	323.03	571.05	473.41	612.11	543.96
LATS1	75.64	137.14	102.97	234.57	432.53	153.34	144.01	195.72	111.21	231.32	153.34	255.0	307.69	267.73	194.36	226.54	389.72	176.29	158.79	267.73	351.14	134.3	100.13	234.57	255.0	190.34	258.57	387.02	287.01	211.31	186.4	301.33	173.85	241.19	223.41	221.86	255.0	244.57	239.52	217.27	271.48	189.02	114.36	212.78	271.48	406.31	223.41	190.34	208.38	149.12	102.25	159.9	132.44	258.57	44.89	27.64	68.07	46.18	43.02	56.28	65.72	46.5	55.1	35.76	191.67	242.88	341.51	171.45	144.01
LIG3	109.66	224.97	551.56	309.83	511.0	293.07	223.41	376.41	273.37	204.07	224.97	466.88	660.68	343.89	361.04	941.27	688.78	334.46	536.45	483.38	607.87	403.5	206.94	638.15	483.38	555.41	366.09	974.5	796.86	332.14	220.32	769.69	195.72	607.87	665.29	237.86	669.92	547.75	429.54	371.22	507.46	476.71	392.44	397.93	309.83	389.72	305.55	269.6	220.32	206.94	229.72	146.03	395.18	229.72	100.83	108.9	93.35	89.51	132.44	95.34	176.29	120.94	123.5	116.78	392.44	299.25	269.6	529.06	320.8
LRRC37A	26.67	18.43	30.12	15.0	41.22	8.45	11.47	41.22	12.64	29.27	13.83	32.13	54.33	16.27	75.64	32.13	68.55	24.11	45.21	26.28	22.1	7.22	7.51	55.89	29.7	95.34	45.21	78.89	22.92	27.84	22.75	67.59	28.24	40.07	116.78	52.08	57.08	49.21	34.75	20.41	58.71	86.43	23.42	23.08	57.49	58.3	24.99	23.76	21.16	17.38	19.97	3.66	19.11	8.85	5.45	4.62	5.77	7.57	6.67	15.45	8.51	11.13	10.39	7.17	40.07	48.18	35.25	32.59	13.52
LRRC37A2	181.28	141.02	182.55	211.31	220.32	115.16	78.89	293.07	190.34	169.07	140.04	211.31	420.68	142.01	420.68	96.01	423.61	134.3	260.38	141.02	239.52	158.79	116.78	295.11	155.5	555.41	242.88	476.71	169.07	221.86	193.01	341.51	195.72	256.78	559.28	269.6	366.09	273.37	358.54	164.42	318.57	318.57	175.07	193.01	320.8	457.25	253.23	224.97	191.67	87.03	209.84	45.21	154.42	117.6	37.32	53.19	98.04	49.21	53.19	92.7	44.25	115.97	103.69	49.21	167.9	251.48	178.77	204.07	253.23
LSM12	825.0	507.46	624.99	1313.23	693.58	1936.53	967.76	988.12	791.35	764.36	660.68	1191.69	1628.26	684.02	651.58	961.07	1023.0	830.75	638.15	1208.34	1697.45	1225.22	854.13	1044.52	759.08	1159.07	890.44	1111.82	1233.75	854.13	928.3	830.75	842.36	1119.56	1572.76	780.44	1457.23	928.3	1135.2	1135.2	780.44	915.51	884.29	995.0	1088.92	698.41	1151.06	559.28	595.34	669.92	684.02	934.76	718.08	698.41	318.57	466.88	444.72	457.25	371.22	403.5	441.64	447.82	480.04	299.25	934.76	733.19	909.17	1096.5	775.05
LTN1	56.28	90.77	96.01	150.17	336.79	130.6	166.73	244.57	136.19	155.5	102.97	273.37	297.17	279.14	181.28	146.03	297.17	170.25	220.32	186.4	297.17	99.43	62.12	265.87	165.57	265.87	283.05	309.83	212.78	241.19	138.1	202.66	118.43	204.07	265.87	132.44	343.89	314.17	205.5	157.68	211.31	172.65	161.02	161.02	167.9	490.14	204.07	171.45	112.77	118.43	96.68	155.5	86.43	141.02	54.33	41.22	73.03	60.82	33.54	61.68	66.18	64.34	80.57	29.91	183.82	186.4	228.13	102.25	85.22
MBD5	115.16	251.48	221.86	242.88	363.56	226.54	202.66	435.55	159.9	325.29	189.02	397.93	426.57	256.78	316.37	220.32	432.53	264.03	305.55	334.46	417.77	178.77	111.99	454.09	293.07	316.37	429.54	551.56	291.04	228.13	253.23	332.14	169.07	325.29	244.57	239.52	334.46	395.18	255.0	167.9	353.59	287.01	206.94	397.93	262.2	497.0	217.27	244.57	187.71	253.23	108.9	255.0	141.02	271.48	126.12	59.13	78.89	103.69	98.04	123.5	122.64	100.13	140.04	202.66	260.38	336.79	320.8	323.03	130.6
MCM9	58.3	102.97	142.01	173.85	320.8	115.97	120.1	128.79	110.43	145.02	124.37	197.09	173.85	212.78	208.38	119.26	242.88	134.3	154.42	229.72	271.48	102.25	120.1	223.41	178.77	195.72	327.56	275.28	329.84	220.32	159.9	212.78	120.1	206.94	212.78	138.1	186.4	186.4	215.77	224.97	199.85	130.6	92.7	186.4	190.34	412.0	189.02	132.44	155.5	95.34	90.77	113.56	88.26	159.9	43.94	20.86	75.64	47.5	36.79	57.49	44.25	55.49	52.82	33.54	100.83	197.09	190.34	131.51	92.7
MED1	220.32	277.2	198.47	529.06	507.46	397.93	291.04	571.05	297.17	379.04	211.31	660.68	974.5	301.33	414.87	341.51	693.58	412.0	476.71	579.04	785.88	307.69	291.04	532.74	412.0	651.58	547.75	884.29	995.0	698.41	366.09	753.83	343.89	698.41	791.35	329.84	848.22	684.02	435.55	423.61	490.14	511.0	486.75	371.22	417.77	988.12	361.04	371.22	343.89	293.07	220.32	283.05	234.57	329.84	80.01	109.66	118.43	98.73	81.14	113.56	102.25	102.25	125.24	23.76	379.04	400.71	414.87	392.44	341.51
MGA	52.45	96.68	72.01	145.02	293.07	151.22	116.78	164.42	141.02	149.12	105.15	204.07	244.57	134.3	144.01	92.05	224.97	124.37	220.32	165.57	251.48	74.06	75.64	161.02	149.12	277.2	180.02	358.54	178.77	131.51	128.79	279.14	126.12	136.19	206.94	136.19	229.72	241.19	194.36	167.9	220.32	150.17	116.78	152.28	145.02	409.15	130.6	132.44	148.09	49.56	73.03	82.29	56.68	127.0	38.95	30.34	33.78	29.7	16.63	36.27	28.65	35.0	36.53	9.7	162.14	206.94	178.77	145.02	85.82
MKL2	111.99	133.36	87.65	262.2	808.0	231.32	208.38	665.29	305.55	239.52	126.12	988.12	733.19	493.56	480.04	339.14	688.78	423.61	323.03	476.71	1167.14	256.78	63.45	529.06	503.95	559.28	612.11	638.15	633.73	194.36	131.51	866.07	148.09	387.02	483.38	224.97	961.07	616.37	351.14	389.72	759.08	463.65	281.09	267.73	279.14	830.75	255.0	162.14	255.0	166.73	107.38	115.16	69.03	223.41	55.89	28.65	33.78	24.46	39.79	35.0	39.22	34.02	59.13	42.41	212.78	275.28	400.71	120.94	107.38
MSANTD4	98.73	136.19	176.29	141.02	258.57	159.9	163.28	211.31	180.02	256.78	102.97	221.86	223.41	226.54	181.28	150.17	163.28	154.42	260.38	100.13	226.54	152.28	85.22	100.13	95.34	161.02	163.28	223.41	295.11	217.27	217.27	151.22	165.57	181.28	249.73	140.04	217.27	197.09	129.69	110.43	249.73	145.02	85.82	117.6	159.9	271.48	341.51	299.25	205.5	135.24	89.51	144.01	63.0	195.72	29.27	38.95	44.25	55.89	34.51	46.18	66.18	57.49	62.56	6.89	301.33	215.77	214.27	220.32	177.53
MTX3	8.65	44.89	27.05	105.15	206.94	59.13	37.05	246.28	77.25	72.52	31.67	183.82	175.07	111.99	117.6	50.27	206.94	89.51	93.35	111.99	267.73	30.12	10.71	152.28	68.55	171.45	264.03	181.28	75.11	120.1	59.97	214.27	48.18	173.85	115.16	62.12	232.94	169.07	100.83	82.87	154.42	116.78	78.89	144.01	72.01	281.09	157.68	39.22	40.93	76.71	50.98	30.78	12.93	83.45	10.79	5.41	8.13	5.41	4.7	12.45	16.51	10.08	23.08	5.41	53.95	137.14	108.14	94.01	23.76
NF1	115.97	299.25	229.72	376.41	438.59	273.37	444.72	583.07	212.78	312.0	125.24	647.07	791.35	239.52	279.14	329.84	595.34	318.57	381.68	551.56	603.67	287.01	91.41	480.04	312.0	547.75	511.0	620.67	507.46	329.84	265.87	497.0	215.77	551.56	638.15	256.78	909.17	490.14	343.89	251.48	450.94	356.05	271.48	381.68	318.57	599.49	348.71	189.02	242.88	206.94	194.36	191.67	244.57	242.88	133.36	65.26	93.35	75.64	52.08	115.16	78.34	89.51	118.43	53.57	376.41	395.18	435.55	223.41	153.34
NPEPPS	620.67	1183.45	532.74	1183.45	1268.46	620.67	507.46	1806.78	819.3	796.86	493.56	2090.03	3325.99	1111.82	1151.06	1073.91	2287.2	1059.11	1104.13	1674.06	2400.97	1044.52	660.68	1561.89	1030.12	2061.24	1322.37	1794.29	3564.78	753.83	759.08	1594.73	934.76	1896.65	2956.17	934.76	4937.99	1832.01	1331.57	954.43	1081.39	974.5	1023.0	1104.13	753.83	2997.45	954.43	559.28	848.22	748.61	473.41	500.46	723.08	688.78	218.79	251.48	260.38	239.52	267.73	309.83	255.0	309.83	316.37	229.72	1268.46	1397.83	1322.37	769.69	395.18
NSF	241.19	381.68	307.69	842.36	785.88	463.65	547.75	780.44	612.11	536.45	299.25	1088.92	1561.89	1008.9	490.14	571.05	1208.34	536.45	612.11	1015.93	1498.22	669.92	384.34	775.05	813.63	947.83	1023.0	1044.52	1757.34	540.19	384.34	665.29	728.11	967.76	1359.57	521.76	1151.06	902.89	638.15	633.73	825.0	743.43	947.83	476.71	583.07	1008.9	457.25	490.14	403.5	336.79	301.33	260.38	336.79	366.09	149.12	199.85	139.07	119.26	211.31	158.79	191.67	217.27	186.4	217.27	915.51	567.1	518.15	444.72	358.54
NSRP1	450.94	536.45	536.45	684.02	890.44	665.29	1159.07	679.29	381.68	595.34	429.54	836.53	1143.1	323.03	607.87	830.75	921.88	616.37	764.36	525.39	981.29	669.92	397.93	743.43	507.46	764.36	587.13	575.03	1286.18	1977.24	698.41	878.17	583.07	1044.52	988.12	547.75	1322.37	769.69	638.15	603.67	660.68	603.67	547.75	441.64	723.08	718.08	612.11	583.07	612.11	470.14	414.87	450.94	563.18	426.57	323.03	256.78	303.44	256.78	84.63	281.09	309.83	291.04	264.03	189.02	543.96	525.39	878.17	607.87	518.15
NUFIP2	264.03	299.25	256.78	473.41	559.28	336.79	660.68	551.56	246.28	312.0	197.09	703.28	866.07	353.59	417.77	379.04	642.59	514.56	642.59	397.93	728.11	289.02	116.78	551.56	318.57	693.58	540.19	860.08	693.58	463.65	438.59	559.28	309.83	629.35	708.18	368.65	1268.46	607.87	429.54	316.37	536.45	332.14	466.88	287.01	395.18	532.74	312.0	228.13	150.17	336.79	178.77	373.81	242.88	291.04	170.25	152.28	177.53	169.07	107.38	125.24	267.73	133.36	163.28	120.94	480.04	473.41	493.56	341.51	169.07
