	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.TML8.0726.SM.4DXTT	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.BR.A4IZ.01A.32R.A251.31
BCORL1	111.99	61.68	28.65	108.14	47.5	65.72	72.01	198.47	197.09	146.03	134.3	381.68	173.85	125.24	208.38	224.97	202.66	226.54
BTAF1	112.77	41.81	44.57	173.85	49.91	46.84	116.78	397.93	206.94	291.04	339.14	460.44	105.89	101.54	236.21	351.14	303.44	353.59
C22orf29	149.12	114.36	92.7	92.05	123.5	103.69	145.02	293.07	262.2	176.29	303.44	356.05	299.25	140.04	366.09	269.6	255.0	301.33
CASP7	329.84	341.51	447.82	521.76	381.68	651.58	514.56	444.72	563.18	1001.93	540.19	497.0	785.88	423.61	981.29	1104.13	878.17	698.41
CCDC117	172.65	98.73	110.43	226.54	121.79	191.67	262.2	384.34	490.14	371.22	353.59	808.0	457.25	366.09	651.58	379.04	262.2	363.56
CDC42BPB	551.56	403.5	571.05	1008.9	432.53	329.84	1127.35	1322.37	1151.06	860.08	1216.75	1191.69	647.07	624.99	1322.37	1225.22	1073.91	1225.22
CELF1	332.14	339.14	226.54	599.49	426.57	351.14	444.72	941.27	780.44	738.29	909.17	1208.34	633.73	420.68	1059.11	872.1	988.12	947.83
CEP68	329.84	70.51	171.45	209.84	122.64	159.9	150.17	486.75	226.54	182.55	341.51	579.04	587.13	176.29	253.23	361.04	223.41	412.0
CHD3	1183.45	738.29	808.0	2148.82	961.07	540.19	764.36	1674.06	1709.26	1417.35	1639.59	2104.58	5076.84	1437.15	1819.35	1896.65	1628.26	2384.37
CHD9	115.97	92.05	80.01	249.73	121.79	75.11	138.1	583.07	273.37	299.25	381.68	620.67	273.37	117.6	275.28	332.14	248.0	450.94
CLASP1	125.24	100.83	114.36	329.84	110.43	86.43	163.28	460.44	353.59	267.73	381.68	616.37	412.0	211.31	381.68	591.22	420.68	389.72
CNOT6L	177.53	64.8	74.58	169.07	125.24	101.54	197.09	518.15	363.56	212.78	438.59	389.72	177.53	113.56	267.73	379.04	269.6	269.6
COL1A1	244588.0	4769.75	17558.94	405683.88	34158.52	22850.48	49666.0	152662.96	284880.02	189257.69	254974.66	79022.82	485798.0	598087.73	324980.94	208544.12	163620.18	345900.08
CSNK2A3	3.11	5.63	2.1	8.92	1.68	0.0	15.68	42.41	18.97	9.7	31.0	26.47	10.31	10.08	32.82	26.47	27.25	20.26
CX3CL1	281.09	18.56	470.14	363.56	1733.13	177.53	189.02	896.64	450.94	802.41	1651.0	2976.74	2417.67	142.01	1199.98	1529.73	559.28	395.18
DAAM1	119.26	172.65	77.79	194.36	65.72	114.36	497.0	551.56	301.33	281.09	547.75	708.18	271.48	214.27	688.78	540.19	490.14	287.01
DCAF5	356.05	167.9	255.0	616.37	269.6	447.82	463.65	713.11	753.83	674.59	785.88	941.27	563.18	476.71	819.3	941.27	728.11	764.36
DDX6	139.07	108.14	91.41	426.57	94.01	85.82	441.64	1733.13	954.43	497.0	1059.11	1923.14	769.69	170.25	1073.91	896.64	575.03	813.63
EFR3A	293.07	432.53	186.4	599.49	277.2	366.09	301.33	743.43	1051.79	679.29	819.3	884.29	363.56	612.11	819.3	738.29	638.15	532.74
EHBP1	346.29	133.36	170.25	457.25	228.13	197.09	246.28	563.18	441.64	395.18	579.04	1191.69	785.88	567.1	651.58	780.44	693.58	457.25
EIF4ENIF1	264.03	163.28	100.13	312.0	173.85	190.34	318.57	480.04	429.54	361.04	373.81	624.99	409.15	275.28	470.14	460.44	366.09	343.89
ELMSAN1	176.29	80.57	96.68	256.78	105.15	197.09	265.87	808.0	525.39	339.14	642.59	587.13	293.07	256.78	603.67	603.67	392.44	842.36
EP300	109.66	88.88	65.72	295.11	83.45	130.6	253.23	624.99	532.74	299.25	529.06	981.29	356.05	191.67	543.96	638.15	476.71	547.75
EXOC5	223.41	158.79	255.0	373.81	202.66	236.21	450.94	748.61	642.59	450.94	723.08	599.49	503.95	295.11	603.67	543.96	460.44	389.72
FAM193A	226.54	128.79	106.63	303.44	151.22	125.24	208.38	460.44	366.09	271.48	480.04	656.11	323.03	177.53	336.79	395.18	329.84	463.65
FAM53C	260.38	133.36	131.51	249.73	193.01	232.94	211.31	529.06	271.48	353.59	423.61	728.11	381.68	173.85	376.41	536.45	312.0	470.14
FOXN3	444.72	95.34	107.38	612.11	224.97	185.11	358.54	759.08	825.0	595.34	934.76	620.67	447.82	480.04	902.89	791.35	612.11	974.5
FTO	303.44	120.94	99.43	728.11	123.5	116.78	432.53	2664.15	1250.98	559.28	1030.12	9215.48	1498.22	532.74	954.43	854.13	723.08	928.3
GEMIN4	307.69	177.53	226.54	161.02	371.22	178.77	131.51	325.29	189.02	253.23	264.03	728.11	253.23	166.73	303.44	312.0	256.78	389.72
GLI2	36.27	0.59	14.14	124.37	18.84	10.55	43.94	162.14	109.66	81.14	107.38	142.01	255.0	65.72	89.51	137.14	85.82	775.05
GLI3	88.88	9.13	33.3	339.14	23.08	92.7	91.41	480.04	373.81	329.84	460.44	995.0	151.22	157.68	698.41	307.69	366.09	954.43
GOLPH3	1008.9	848.22	1081.39	1388.16	1340.84	896.64	1639.59	2255.7	1909.85	1427.22	1745.2	1639.59	1277.29	775.05	2777.33	1388.16	1233.75	1674.06
GPAM	135.24	25.35	53.95	65.26	24.63	11.55	46.18	285.03	112.77	63.89	3395.89	808.0	92.7	53.19	109.66	93.35	80.57	269.6
GTPBP1	368.65	208.38	202.66	376.41	346.29	258.57	438.59	595.34	371.22	463.65	540.19	555.41	460.44	400.71	607.87	759.08	813.63	555.41
HNRNPUL2-BSCL2	447.82	511.0	532.74	665.29	567.1	483.38	555.41	713.11	785.88	599.49	703.28	1331.57	775.05	521.76	884.29	656.11	665.29	616.37
INO80	149.12	100.13	74.58	253.23	145.02	161.02	201.25	307.69	285.03	246.28	316.37	363.56	341.51	150.17	217.27	327.56	260.38	256.78
JAK1	1407.55	518.15	941.27	1340.84	854.13	551.56	1304.15	2148.82	1583.71	1551.09	1991.0	2384.37	1540.37	1242.34	2104.58	1697.45	1594.73	1794.29
KCTD21	112.77	84.04	66.65	154.42	98.73	88.26	109.66	175.07	204.07	171.45	172.65	231.32	228.13	115.16	211.31	211.31	125.24	201.25
KDM6B	860.08	56.68	77.79	214.27	183.82	87.03	187.71	329.84	186.4	221.86	291.04	371.22	265.87	237.86	518.15	543.96	366.09	518.15
KHSRP	1963.57	1295.13	1950.0	3018.3	2537.92	2303.12	2485.67	3303.0	3540.14	2758.13	3874.05	3589.58	4328.55	2255.7	3589.58	2875.3	2777.33	3589.58
KIDINS220	195.72	140.04	105.15	532.74	116.78	163.28	325.29	961.07	738.29	480.04	599.49	1151.06	483.38	329.84	518.15	836.53	612.11	638.15
KRIT1	208.38	170.25	167.9	307.69	156.59	142.01	301.33	603.67	406.31	368.65	514.56	1159.07	447.82	262.2	1096.5	551.56	368.65	521.76
LATS1	75.64	50.98	29.48	137.14	78.89	59.55	124.37	432.53	267.73	186.4	271.48	406.31	190.34	132.44	258.57	242.88	226.54	341.51
LNX2	44.89	21.16	72.01	129.69	66.18	66.65	132.44	209.84	289.02	105.89	289.02	303.44	77.79	54.72	236.21	206.94	128.79	139.07
MAP3K2	120.1	77.25	61.25	212.78	88.88	77.79	132.44	406.31	356.05	237.86	429.54	384.34	172.65	198.47	450.94	403.5	351.14	363.56
MAPK1	518.15	281.09	314.17	854.13	379.04	567.1	866.07	1721.16	1561.89	988.12	1551.09	2104.58	656.11	503.95	2061.24	1397.83	1781.89	1295.13
MAPK14	441.64	262.2	503.95	733.19	325.29	320.8	536.45	728.11	665.29	629.35	684.02	638.15	511.0	403.5	674.59	915.51	842.36	921.88
MBD5	115.16	87.03	84.04	251.48	70.51	91.41	105.89	363.56	334.46	253.23	353.59	497.0	244.57	141.02	271.48	336.79	267.73	320.8
MED13L	191.67	85.22	37.05	295.11	132.44	98.04	231.32	954.43	669.92	334.46	698.41	825.0	149.12	206.94	392.44	638.15	432.53	511.0
MGA	52.45	33.78	30.34	96.68	40.64	42.41	59.55	293.07	165.57	128.79	220.32	409.15	132.44	56.68	127.0	206.94	129.69	178.77
MIEF1	180.02	181.28	100.83	181.28	119.26	163.28	244.57	476.71	423.61	297.17	406.31	387.02	269.6	260.38	486.75	368.65	403.5	301.33
MTF2	85.82	125.24	90.77	170.25	135.24	99.43	163.28	291.04	248.0	206.94	249.73	368.65	201.25	195.72	273.37	267.73	253.23	248.0
MTMR10	173.85	63.0	82.29	150.17	104.42	109.66	141.02	420.68	237.86	241.19	309.83	563.18	343.89	111.99	181.28	273.37	198.47	336.79
MTMR3	212.78	121.79	108.9	320.8	117.6	108.14	297.17	599.49	423.61	343.89	521.76	674.59	426.57	318.57	587.13	647.07	764.36	363.56
NAPEPLD	90.14	65.72	51.71	163.28	66.65	66.18	125.24	291.04	218.79	149.12	221.86	426.57	358.54	86.43	224.97	185.11	131.51	450.94
NHSL1	58.71	14.35	42.71	108.14	40.07	69.03	78.34	149.12	95.34	74.58	183.82	420.68	39.5	47.84	177.53	212.78	164.42	460.44
NLRP14	0.0	0.0	0.3	0.0	0.66	0.31	0.35	1.48	0.39	0.38	0.8	2.34	1.01	0.0	1.35	0.71	0.68	1.2
NUP160	190.34	164.42	101.54	314.17	202.66	139.07	193.01	500.46	387.02	368.65	454.09	764.36	269.6	194.36	616.37	480.04	406.31	503.95
PEX1	76.17	81.14	142.01	127.0	99.43	95.34	318.57	353.59	273.37	159.9	281.09	493.56	202.66	102.97	371.22	172.65	224.97	232.94
PEX26	157.68	83.45	105.89	297.17	132.44	193.01	190.34	429.54	450.94	273.37	463.65	273.37	293.07	190.34	432.53	387.02	361.04	441.64
PHF20L1	236.21	297.17	90.77	361.04	126.12	223.41	130.6	511.0	460.44	339.14	389.72	563.18	176.29	297.17	529.06	559.28	414.87	441.64
PI4KA	583.07	480.04	579.04	698.41	703.28	723.08	728.11	974.5	780.44	728.11	836.53	1104.13	555.41	759.08	1073.91	981.29	995.0	1073.91
PIK3CA	181.28	154.42	78.34	325.29	94.67	119.26	265.87	571.05	493.56	229.72	470.14	358.54	122.64	234.57	483.38	368.65	389.72	246.28
POLDIP3	555.41	651.58	460.44	748.61	595.34	547.75	684.02	1233.75	941.27	825.0	1030.12	1561.89	1417.35	878.17	1208.34	1259.69	860.08	1059.11
POLR2A	688.78	305.55	339.14	842.36	961.07	392.44	819.3	1819.35	1167.14	1030.12	1427.22	2976.74	2777.33	915.51	2255.7	1794.29	1844.76	1674.06
POLR2M	289.02	236.21	169.07	536.45	201.25	341.51	346.29	872.1	543.96	403.5	620.67	583.07	775.05	299.25	406.31	480.04	450.94	688.78
PRDM10	23.76	28.65	18.43	55.49	23.25	18.7	43.63	120.1	57.89	57.08	108.14	98.73	45.85	34.02	74.58	89.51	79.45	71.5
PRKAA1	269.6	242.88	182.55	406.31	343.89	218.79	476.71	954.43	748.61	595.34	921.88	947.83	486.75	356.05	1096.5	743.43	703.28	825.0
PRR14L	104.42	86.43	102.25	158.79	114.36	191.67	176.29	341.51	285.03	209.84	291.04	387.02	133.36	161.02	339.14	303.44	299.25	303.44
PURB	187.71	178.77	117.6	190.34	153.34	182.55	199.85	460.44	307.69	275.28	332.14	507.46	236.21	176.29	423.61	316.37	429.54	395.18
QSER1	87.03	53.19	52.82	130.6	91.41	78.89	105.89	271.48	271.48	166.73	289.02	466.88	145.02	108.14	194.36	195.72	180.02	358.54
RICTOR	43.32	38.12	50.27	98.04	104.42	60.82	115.97	305.55	159.9	149.12	161.02	265.87	63.45	75.64	277.2	151.22	164.42	199.85
RNF185	371.22	318.57	262.2	457.25	323.03	525.39	543.96	988.12	872.1	647.07	753.83	759.08	620.67	567.1	780.44	660.68	688.78	567.1
RNF4	1167.14	607.87	483.38	738.29	612.11	521.76	688.78	1199.98	896.64	796.86	1208.34	1143.1	1340.84	684.02	1111.82	947.83	878.17	1104.13
RSPRY1	327.56	134.3	127.89	432.53	148.09	262.2	312.0	633.73	559.28	497.0	454.09	718.08	444.72	450.94	595.34	591.22	447.82	587.13
SCAF8	182.55	99.43	94.67	258.57	151.22	107.38	244.57	688.78	532.74	305.55	563.18	718.08	368.65	189.02	417.77	417.77	373.81	507.46
SEC23IP	450.94	211.31	202.66	403.5	197.09	264.03	356.05	629.35	642.59	514.56	693.58	759.08	483.38	454.09	607.87	559.28	587.13	647.07
SF3A1	693.58	483.38	409.15	1286.18	669.92	518.15	1295.13	1963.57	1457.23	1051.79	2061.24	2956.17	1662.49	1191.69	2319.15	1806.78	2193.99	2148.82
SLC30A7	172.65	156.59	88.88	161.02	148.09	95.34	214.27	406.31	356.05	279.14	441.64	221.86	131.51	215.77	314.17	279.14	316.37	441.64
SMCHD1	193.01	111.99	142.01	217.27	141.02	163.28	316.37	470.14	271.48	221.86	389.72	400.71	183.82	101.54	363.56	351.14	246.28	412.0
SNX19	305.55	202.66	234.57	511.0	178.77	100.13	463.65	808.0	642.59	753.83	808.0	1498.22	303.44	301.33	934.76	693.58	595.34	753.83
SPECC1L	197.09	195.72	102.97	366.09	170.25	171.45	371.22	656.11	647.07	447.82	660.68	947.83	299.25	376.41	571.05	612.11	447.82	450.94
SPIRE1	148.09	74.06	79.45	149.12	110.43	220.32	98.73	536.45	281.09	277.2	271.48	223.41	82.29	198.47	283.05	289.02	205.5	208.38
TAF2	115.97	231.32	105.89	217.27	89.51	180.02	122.64	420.68	351.14	258.57	327.56	559.28	237.86	239.52	356.05	379.04	356.05	363.56
TBC1D22B	103.69	76.71	131.51	197.09	101.54	96.68	158.79	171.45	140.04	172.65	190.34	208.38	132.44	176.29	260.38	229.72	241.19	135.24
TBCEL	90.14	63.89	51.35	145.02	71.0	46.84	189.02	353.59	185.11	185.11	336.79	323.03	202.66	110.43	297.17	215.77	195.72	246.28
TCF12	305.55	143.01	105.89	1073.91	165.57	277.2	486.75	1135.2	1111.82	1111.82	1250.98	1250.98	1268.46	579.04	1540.37	1594.73	961.07	1369.04
TCF7L2	149.12	40.93	145.02	299.25	71.5	133.36	187.71	738.29	743.43	334.46	674.59	1697.45	624.99	218.79	376.41	612.11	376.41	599.49
TEAD2	780.44	450.94	217.27	728.11	246.28	780.44	255.0	769.69	878.17	1183.45	947.83	1159.07	2133.97	896.64	1519.15	1457.23	878.17	921.88
TIPARP	1135.2	72.01	187.71	236.21	217.27	148.09	237.86	486.75	291.04	161.02	947.83	473.41	157.68	281.09	620.67	656.11	409.15	493.56
TNRC6B	33.78	36.01	37.85	57.89	57.49	53.57	50.27	130.6	108.14	72.01	142.01	183.82	88.26	84.63	154.42	134.3	161.02	241.19
TOX4	733.19	353.59	603.67	660.68	728.11	743.43	1001.93	1216.75	1151.06	866.07	981.29	1378.57	1023.0	713.11	1437.15	1088.92	819.3	669.92
TRAF6	61.68	25.35	33.54	105.89	62.12	40.93	69.52	173.85	151.22	114.36	173.85	237.86	112.77	68.07	111.21	151.22	138.1	181.28
TRIP11	134.3	99.43	132.44	177.53	110.43	143.01	172.65	493.56	373.81	220.32	503.95	651.58	157.68	163.28	400.71	325.29	242.88	297.17
TTBK2	27.25	19.39	13.42	64.8	27.25	19.82	38.12	140.04	108.14	63.45	119.26	119.26	81.71	46.5	76.71	105.15	97.36	123.5
TTC17	651.58	341.51	258.57	629.35	460.44	334.46	603.67	961.07	961.07	669.92	1023.0	1844.76	954.43	353.59	947.83	1059.11	884.29	1051.79
TTPAL	122.64	95.34	74.06	96.68	88.88	120.1	96.01	183.82	170.25	171.45	198.47	129.69	111.21	117.6	246.28	260.38	273.37	157.68
UBFD1	384.34	351.14	341.51	599.49	307.69	229.72	346.29	693.58	624.99	647.07	656.11	759.08	703.28	575.03	753.83	698.41	718.08	941.27
UBR1	94.67	49.56	72.01	150.17	54.72	70.01	113.56	287.01	275.28	159.9	271.48	287.01	149.12	76.17	180.02	209.84	201.25	228.13
UBR2	100.13	71.5	167.9	187.71	154.42	579.04	172.65	392.44	285.03	202.66	314.17	454.09	220.32	128.79	303.44	363.56	264.03	242.88
UBXN7	72.52	73.54	76.71	148.09	105.89	72.01	146.03	351.14	327.56	167.9	269.6	486.75	162.14	142.01	376.41	264.03	218.79	236.21
USP28	88.26	143.01	71.0	150.17	103.69	58.3	231.32	285.03	198.47	191.67	242.88	438.59	183.82	133.36	279.14	289.02	289.02	194.36
VPS13B	146.03	87.65	83.45	253.23	102.97	130.6	148.09	381.68	299.25	217.27	287.01	371.22	341.51	223.41	307.69	334.46	231.32	320.8
WDR47	96.01	82.87	36.01	127.89	68.55	124.37	114.36	234.57	158.79	163.28	167.9	323.03	277.2	112.77	220.32	231.32	195.72	180.02
ZC3H4	139.07	149.12	172.65	429.54	256.78	198.47	351.14	595.34	559.28	353.59	532.74	703.28	497.0	178.77	486.75	441.64	295.11	503.95
ZC3H7B	379.04	361.04	182.55	624.99	334.46	255.0	444.72	1151.06	934.76	713.11	872.1	1135.2	842.36	660.68	1088.92	1151.06	884.29	825.0
ZFP90	126.12	178.77	114.36	289.02	109.66	182.55	173.85	473.41	334.46	351.14	334.46	633.73	343.89	175.07	329.84	423.61	267.73	406.31
ZFPM1	51.35	43.63	31.9	163.28	39.79	56.28	53.19	53.95	58.3	96.68	50.98	69.03	231.32	39.79	115.97	100.83	76.71	463.65
ZFR	409.15	511.0	346.29	753.83	511.0	395.18	633.73	1388.16	890.44	808.0	1023.0	1551.09	738.29	420.68	1015.93	1044.52	796.86	961.07
ZMYM6	85.22	89.51	37.59	135.24	73.54	57.89	100.13	262.2	193.01	198.47	195.72	246.28	136.19	144.01	211.31	212.78	195.72	262.2
ZNF106	223.41	78.34	53.57	181.28	86.43	72.52	191.67	612.11	395.18	239.52	723.08	866.07	229.72	118.43	265.87	371.22	329.84	540.19
ZNF260	54.33	58.71	46.84	102.97	57.89	78.34	199.85	241.19	201.25	147.06	267.73	343.89	114.36	61.68	165.57	170.25	115.97	201.25
ZNF3	208.38	154.42	242.88	376.41	224.97	260.38	486.75	647.07	579.04	406.31	483.38	743.43	728.11	295.11	733.19	500.46	348.71	409.15
ZNF462	53.95	30.78	30.12	84.63	88.88	53.95	84.63	215.77	98.73	108.9	221.86	185.11	241.19	104.42	162.14	212.78	102.25	198.47
ZNF589	59.97	38.67	56.28	75.11	82.29	64.8	73.03	151.22	63.89	90.77	127.89	209.84	95.34	38.4	100.13	147.06	98.73	111.21
ZNF623	64.34	143.01	69.52	171.45	81.14	154.42	106.63	256.78	341.51	194.36	267.73	426.57	169.07	139.07	291.04	312.0	224.97	229.72
ZNF697	67.59	31.22	22.59	122.64	48.18	54.72	31.45	264.03	105.15	193.01	109.66	92.05	67.12	144.01	202.66	151.22	147.06	177.53
ZNF70	12.45	8.78	6.26	44.89	12.64	12.45	25.72	79.45	53.95	43.94	75.64	109.66	57.49	29.7	104.42	80.57	66.18	156.59
ZNF740	137.14	94.67	94.67	253.23	236.21	94.01	202.66	536.45	291.04	307.69	457.25	674.59	287.01	190.34	275.28	351.14	341.51	305.55
ZNF770	59.13	25.54	17.64	129.69	25.91	52.45	148.09	466.88	267.73	173.85	353.59	651.58	162.14	64.8	429.54	307.69	384.34	318.57
ZNF827	40.93	27.44	18.84	209.84	23.76	78.89	85.82	358.54	214.27	173.85	267.73	521.76	103.69	101.54	212.78	194.36	172.65	226.54
ZSCAN23	0.0	0.31	2.41	12.83	0.37	2.2	3.82	57.08	29.7	23.59	20.41	173.85	115.16	6.62	34.26	37.05	19.53	27.64
ZSCAN25	90.14	41.52	48.52	102.25	77.25	42.71	126.12	295.11	163.28	190.34	232.94	289.02	155.5	96.01	234.57	169.07	127.89	156.59
