	GTEX.ZF2S.2026.SM.5E461	TCGA.38.4626.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.WFJO.0326.SM.3GIL3	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZH.0526.SM.3DB75	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU
CSRP2BP	450.94	98.73	100.83	180.02	191.67	164.42	61.68	105.15	122.64	36.27	140.04	103.69	226.54	52.82	169.07	221.86	334.46	262.2	55.89	147.06	275.28	49.91	43.63	267.73	303.44	34.26	92.05	201.25	43.94	234.57	169.07	215.77	221.86	89.51	253.23	95.34	241.19	185.11	205.5	256.78	244.57	183.82	229.72	236.21	35.76	88.88	53.57	128.79	100.83	82.87	95.34	144.01	68.07
CTCF	974.5	371.22	395.18	591.22	543.96	447.82	195.72	325.29	591.22	279.14	309.83	234.57	713.11	195.72	457.25	571.05	521.76	607.87	242.88	406.31	775.05	318.57	346.29	718.08	764.36	258.57	244.57	532.74	224.97	723.08	420.68	514.56	457.25	303.44	674.59	287.01	713.11	769.69	500.46	579.04	738.29	764.36	514.56	759.08	444.72	358.54	420.68	301.33	334.46	318.57	260.38	511.0	281.09
CYB561D1	271.48	61.25	41.52	153.34	223.41	66.18	31.0	81.71	141.02	32.82	96.01	62.56	248.0	30.12	84.04	204.07	195.72	341.51	36.79	134.3	66.65	92.7	39.79	123.5	212.78	32.36	48.18	194.36	43.02	277.2	120.1	197.09	108.14	44.89	204.07	62.56	154.42	98.73	217.27	239.52	193.01	124.37	204.07	244.57	38.67	55.1	23.93	60.39	66.18	54.72	40.36	125.24	55.89
DET1	309.83	68.07	49.21	91.41	139.07	53.57	23.59	39.79	90.77	29.06	99.43	26.67	152.28	20.41	31.45	125.24	103.69	130.6	30.34	77.25	177.53	25.91	45.53	147.06	151.22	7.82	31.9	123.5	31.9	126.12	48.87	127.0	77.25	69.03	157.68	38.4	155.5	104.42	123.5	111.99	120.1	136.19	98.04	105.15	36.79	45.21	10.31	47.17	37.05	28.86	17.38	85.82	40.07
DHFRL1	301.33	49.91	38.95	115.97	123.5	53.57	32.13	59.97	106.63	14.78	71.0	25.91	123.5	28.45	57.08	127.0	140.04	134.3	26.1	99.43	229.72	32.82	43.02	162.14	104.42	16.75	32.82	134.3	44.57	143.01	47.5	161.02	74.58	54.33	166.73	43.02	190.34	116.78	161.02	156.59	186.4	113.56	92.7	165.57	35.5	43.32	18.84	53.19	26.28	66.65	42.41	90.77	24.81
DIEXF	172.65	36.79	36.01	90.14	75.64	49.21	32.59	54.72	38.95	26.67	68.55	37.32	85.22	24.11	55.89	84.04	99.43	98.73	24.81	73.03	89.51	22.1	54.72	98.04	94.67	20.71	34.02	100.83	39.79	102.97	35.5	93.35	56.68	49.21	90.77	23.42	72.52	59.97	96.01	73.54	111.21	75.11	86.43	94.01	29.7	31.45	29.06	31.9	37.85	29.27	28.24	92.7	20.26
DIS3L	941.27	214.27	148.09	339.14	441.64	267.73	65.26	258.57	303.44	107.38	186.4	146.03	470.14	137.14	234.57	361.04	490.14	497.0	108.14	285.03	497.0	69.03	159.9	432.53	532.74	97.36	182.55	346.29	127.0	521.76	244.57	353.59	353.59	208.38	583.07	158.79	454.09	312.0	334.46	466.88	463.65	371.22	368.65	511.0	148.09	90.77	126.12	269.6	105.89	162.14	183.82	301.33	132.44
DPF2	1225.22	624.99	341.51	878.17	1111.82	819.3	371.22	559.28	909.17	295.11	713.11	743.43	1322.37	503.95	547.75	1233.75	988.12	1639.59	348.71	813.63	825.0	848.22	392.44	1183.45	1167.14	638.15	595.34	813.63	389.72	1088.92	802.41	1059.11	769.69	343.89	743.43	507.46	1143.1	796.86	961.07	1397.83	1135.2	1175.27	802.41	1216.75	429.54	780.44	769.69	567.1	651.58	507.46	559.28	764.36	486.75
EIF2B1	954.43	656.11	463.65	884.29	928.3	559.28	332.14	529.06	713.11	246.28	647.07	426.57	1015.93	264.03	567.1	830.75	785.88	947.83	397.93	595.34	1001.93	262.2	432.53	819.3	1119.56	165.57	447.82	854.13	316.37	941.27	466.88	860.08	674.59	540.19	872.1	470.14	848.22	674.59	785.88	825.0	974.5	884.29	769.69	934.76	358.54	293.07	165.57	551.56	358.54	368.65	320.8	759.08	348.71
ENTPD5	3018.3	147.06	55.1	190.34	156.59	112.77	127.0	142.01	148.09	25.72	185.11	85.22	217.27	46.5	101.54	178.77	194.36	271.48	62.56	133.36	204.07	70.51	61.68	273.37	307.69	31.22	104.42	190.34	117.6	147.06	142.01	228.13	214.27	135.24	212.78	152.28	194.36	109.66	206.94	253.23	148.09	142.01	172.65	255.0	64.34	76.71	27.05	115.97	79.45	73.54	38.67	133.36	94.67
ERCC4	175.07	44.89	45.85	105.15	77.79	44.89	44.57	53.95	41.81	30.34	53.19	22.43	79.45	22.59	48.18	73.03	88.88	120.1	56.28	88.88	114.36	23.59	23.76	74.58	120.1	16.27	31.67	85.82	48.87	93.35	57.08	123.5	83.45	67.12	76.71	65.26	82.29	65.26	109.66	104.42	76.71	55.1	102.25	136.19	30.34	28.65	19.39	69.03	33.54	37.85	22.1	61.68	29.27
ERI2	791.35	142.01	78.34	186.4	295.11	156.59	66.18	135.24	214.27	37.32	202.66	78.34	256.78	60.39	152.28	242.88	295.11	248.0	48.18	151.22	273.37	105.89	65.26	285.03	376.41	28.04	93.35	221.86	121.79	323.03	195.72	281.09	189.02	185.11	493.56	115.16	239.52	327.56	228.13	217.27	172.65	289.02	189.02	293.07	111.99	86.43	57.89	102.97	80.57	94.67	58.3	205.5	149.12
EXOC1	713.11	379.04	206.94	493.56	708.18	366.09	154.42	432.53	361.04	159.9	540.19	172.65	638.15	194.36	432.53	583.07	669.92	591.22	242.88	403.5	665.29	275.28	275.28	555.41	1135.2	142.01	181.28	460.44	209.84	483.38	366.09	607.87	417.77	373.81	921.88	480.04	529.06	486.75	450.94	426.57	379.04	450.94	476.71	708.18	208.38	432.53	92.05	376.41	275.28	239.52	198.47	563.18	256.78
FAM200A	281.09	96.68	41.22	118.43	152.28	95.34	33.3	85.82	118.43	24.99	98.73	54.33	113.56	38.4	79.45	148.09	155.5	143.01	28.65	100.13	127.0	38.95	50.27	151.22	154.42	23.93	40.64	110.43	42.41	150.17	68.07	137.14	110.43	63.45	167.9	52.82	173.85	112.77	127.0	104.42	131.51	140.04	121.79	177.53	46.84	52.45	22.75	72.52	56.68	39.5	41.81	111.21	27.25
FAM208A	1427.22	500.46	341.51	723.08	785.88	656.11	389.72	503.95	647.07	258.57	507.46	351.14	934.76	346.29	603.67	674.59	1001.93	974.5	334.46	599.49	967.76	486.75	373.81	780.44	1225.22	237.86	480.04	909.17	336.79	954.43	759.08	915.51	559.28	563.18	1313.23	587.13	748.61	769.69	738.29	830.75	872.1	693.58	718.08	1037.29	353.59	460.44	329.84	547.75	371.22	400.71	607.87	802.41	476.71
FBXL14	295.11	176.29	76.17	193.01	151.22	191.67	77.79	76.71	275.28	53.57	164.42	61.68	228.13	77.25	74.06	186.4	161.02	339.14	81.71	171.45	197.09	125.24	54.72	246.28	195.72	80.57	92.7	228.13	133.36	318.57	195.72	253.23	190.34	180.02	316.37	64.8	194.36	583.07	231.32	309.83	143.01	305.55	212.78	206.94	117.6	148.09	115.16	108.14	143.01	98.73	127.0	193.01	119.26
GABPB2	189.02	95.34	70.51	90.77	148.09	68.07	46.5	111.21	166.73	80.57	72.52	50.27	152.28	66.18	73.54	115.16	102.25	159.9	76.71	144.01	214.27	69.52	85.22	119.26	229.72	23.42	72.52	89.51	108.14	164.42	62.12	73.54	142.01	92.7	141.02	70.51	153.34	170.25	98.73	167.9	80.57	125.24	110.43	195.72	107.38	44.57	35.5	100.13	59.55	109.66	40.07	113.56	56.28
GOLPH3L	1457.23	476.71	275.28	647.07	575.03	571.05	299.25	318.57	473.41	94.67	620.67	204.07	607.87	212.78	273.37	591.22	813.63	896.64	186.4	409.15	507.46	348.71	110.43	629.35	688.78	166.73	291.04	616.37	190.34	961.07	551.56	802.41	264.03	921.88	521.76	175.07	551.56	854.13	961.07	802.41	830.75	368.65	603.67	902.89	183.82	295.11	248.0	299.25	279.14	161.02	301.33	665.29	470.14
GOPC	866.07	178.77	170.25	356.05	444.72	215.77	145.02	217.27	341.51	90.77	234.57	159.9	423.61	120.94	193.01	323.03	426.57	457.25	100.83	265.87	490.14	127.0	138.1	346.29	620.67	76.71	169.07	346.29	139.07	476.71	264.03	343.89	279.14	237.86	511.0	172.65	376.41	381.68	309.83	316.37	305.55	339.14	339.14	476.71	129.69	186.4	111.21	241.19	172.65	161.02	143.01	346.29	154.42
GTF3C3	733.19	214.27	120.1	273.37	371.22	246.28	112.77	220.32	202.66	98.04	255.0	138.1	295.11	120.1	262.2	309.83	395.18	332.14	139.07	264.03	460.44	121.79	149.12	343.89	403.5	40.64	185.11	285.03	221.86	432.53	236.21	363.56	275.28	346.29	507.46	131.51	285.03	379.04	336.79	289.02	289.02	289.02	318.57	447.82	92.7	138.1	49.91	224.97	172.65	133.36	108.14	293.07	162.14
HELQ	356.05	189.02	100.83	186.4	242.88	126.12	88.26	140.04	181.28	70.01	193.01	93.35	223.41	79.45	136.19	246.28	223.41	255.0	36.79	212.78	295.11	95.34	88.26	295.11	262.2	45.21	111.99	195.72	114.36	215.77	131.51	221.86	164.42	116.78	323.03	127.0	283.05	265.87	202.66	190.34	201.25	248.0	223.41	293.07	100.13	139.07	112.77	152.28	122.64	96.01	88.88	189.02	83.45
HLA-DRA	21320.18	114897.47	164758.26	251464.33	165904.25	569761.05	154794.07	606436.73	253213.41	77396.54	258533.99	110216.97	163620.18	82951.62	269512.87	202841.44	165904.25	195931.88	275175.93	181548.07	170568.48	341137.96	156954.93	208544.12	65535.0	341137.96	194578.47	215898.44	466008.55	133825.1	233003.78	211455.3	668235.84	378516.38	345900.08	417089.23	208544.12	215898.44	212926.09	198667.0	318292.9	205673.01	263966.36	132900.7	248002.34	129266.49	211455.3	1085552.95	273275.14	645473.24	76330.98	299043.36	327241.36
HNRNPA1L2	361.04	87.03	84.63	156.59	201.25	134.3	52.82	122.64	92.05	45.53	152.28	63.45	271.48	68.07	145.02	265.87	226.54	353.59	63.0	99.43	202.66	66.65	96.68	289.02	307.69	32.36	69.03	165.57	89.51	176.29	109.66	208.38	172.65	129.69	260.38	67.59	341.51	142.01	204.07	185.11	214.27	173.85	244.57	157.68	48.18	128.79	43.94	134.3	98.04	71.0	67.12	98.73	54.72
HNRNPUL2	1561.89	603.67	497.0	825.0	785.88	599.49	366.09	575.03	1175.27	295.11	723.08	299.25	1359.57	612.11	791.35	1104.13	1286.18	1242.34	368.65	638.15	1001.93	435.55	435.55	1242.34	2193.99	307.69	217.27	928.3	336.79	1304.15	1104.13	1037.29	748.61	476.71	1540.37	612.11	825.0	1096.5	713.11	1143.1	967.76	1008.9	848.22	1936.53	607.87	417.77	463.65	579.04	660.68	571.05	503.95	1015.93	490.14
JRKL	363.56	70.01	56.68	120.94	173.85	56.28	72.01	115.16	178.77	47.84	143.01	46.5	236.21	70.51	115.16	169.07	199.85	166.73	28.45	111.21	150.17	65.72	83.45	163.28	231.32	24.63	28.04	193.01	54.33	248.0	81.71	141.02	85.22	70.51	273.37	48.18	182.55	201.25	152.28	131.51	127.0	194.36	105.89	231.32	92.05	65.72	51.71	30.56	62.56	64.34	44.25	185.11	50.27
KRBA2	193.01	12.93	14.56	19.25	67.12	26.47	7.57	19.53	43.94	19.39	23.76	7.11	88.26	4.86	22.1	52.45	55.89	57.49	15.91	35.0	80.01	19.39	11.04	44.89	73.54	9.41	10.24	38.95	10.31	88.88	44.89	33.54	37.32	6.84	90.77	6.21	57.89	78.34	35.0	53.57	33.06	43.94	32.13	49.91	23.93	13.42	5.77	9.7	22.1	20.56	18.03	26.67	12.55
LARS	1639.59	563.18	896.64	723.08	825.0	583.07	466.88	483.38	713.11	432.53	708.18	555.41	854.13	356.05	780.44	902.89	1001.93	819.3	255.0	551.56	921.88	503.95	540.19	738.29	1183.45	166.73	450.94	1037.29	334.46	854.13	432.53	764.36	503.95	775.05	854.13	444.72	764.36	665.29	802.41	785.88	1037.29	738.29	866.07	941.27	575.03	497.0	307.69	567.1	409.15	529.06	400.71	1111.82	423.61
LTN1	490.14	86.43	55.49	128.79	175.07	81.14	127.89	96.01	149.12	60.82	110.43	57.89	194.36	87.03	96.68	104.42	211.31	161.02	81.14	115.16	314.17	71.0	72.01	167.9	226.54	67.59	80.01	229.72	95.34	180.02	131.51	258.57	142.01	107.38	260.38	98.73	150.17	153.34	176.29	159.9	136.19	139.07	136.19	273.37	97.36	75.11	123.5	99.43	72.52	94.01	95.34	130.6	86.43
MAGEE1	186.4	16.27	8.85	31.9	72.01	24.28	19.39	16.63	63.89	5.41	17.9	7.17	127.0	17.77	17.13	57.89	38.95	86.43	25.35	45.21	166.73	12.55	4.31	63.89	121.79	9.93	45.85	71.5	12.74	155.5	71.0	96.68	64.8	31.45	136.19	16.27	93.35	98.04	74.06	80.57	77.25	96.01	43.94	120.94	22.26	43.02	21.78	27.05	45.53	19.97	8.71	64.34	20.11
MMS19	1216.75	802.41	616.37	708.18	1286.18	1119.56	450.94	764.36	1081.39	432.53	995.0	688.78	1685.71	497.0	842.36	1111.82	1437.15	1447.15	463.65	1044.52	1151.06	902.89	536.45	1159.07	1397.83	571.05	884.29	1051.79	511.0	1175.27	1487.87	1277.29	1135.2	466.88	1199.98	665.29	1359.57	890.44	909.17	1295.13	967.76	1277.29	1369.04	1096.5	954.43	961.07	647.07	988.12	753.83	748.61	808.0	941.27	638.15
MTBP	134.3	14.45	6.62	29.91	38.4	17.38	4.43	9.06	21.16	4.13	23.93	4.39	63.89	7.4	16.03	29.06	40.93	49.56	2.86	19.68	64.34	10.47	6.16	60.39	62.56	1.43	6.78	36.53	5.45	52.45	14.56	27.84	28.86	19.68	67.59	19.11	48.52	27.05	29.06	34.51	21.47	43.63	31.67	37.05	10.63	6.57	3.35	20.26	4.86	21.16	3.76	55.89	5.82
MTHFSD	497.0	146.03	118.43	204.07	406.31	204.07	60.82	125.24	176.29	63.45	220.32	121.79	301.33	56.28	120.94	351.14	277.2	291.04	95.34	273.37	277.2	117.6	102.25	299.25	389.72	18.7	131.51	229.72	100.13	275.28	120.1	256.78	211.31	176.29	785.88	148.09	279.14	208.38	291.04	267.73	236.21	299.25	341.51	275.28	77.25	149.12	59.97	182.55	86.43	93.35	53.57	264.03	94.67
NEDD1	454.09	122.64	105.15	212.78	169.07	139.07	197.09	164.42	273.37	101.54	218.79	33.78	327.56	101.54	111.21	155.5	242.88	218.79	121.79	217.27	389.72	71.5	77.79	237.86	366.09	31.0	98.04	253.23	120.1	260.38	231.32	204.07	180.02	269.6	368.65	148.09	332.14	253.23	164.42	189.02	260.38	176.29	161.02	392.44	163.28	145.02	93.35	95.34	140.04	100.13	88.88	283.05	112.77
NEK4	497.0	165.57	116.78	171.45	223.41	119.26	172.65	148.09	218.79	71.5	231.32	88.26	224.97	100.13	202.66	181.28	209.84	271.48	94.67	158.79	269.6	115.16	154.42	241.19	237.86	47.5	111.21	169.07	140.04	299.25	131.51	249.73	172.65	255.0	265.87	82.29	277.2	343.89	228.13	262.2	148.09	242.88	148.09	264.03	139.07	121.79	122.64	138.1	150.17	82.29	115.97	231.32	73.54
NUDCD3	2303.12	872.1	1143.1	934.76	1313.23	1388.16	353.59	813.63	1477.58	483.38	1096.5	830.75	1628.26	403.5	825.0	1037.29	1832.01	1662.49	444.72	1447.15	1427.22	674.59	567.1	2468.49	1467.37	361.04	1397.83	1781.89	454.09	1519.15	1519.15	2384.37	1331.57	708.18	1183.45	525.39	1313.23	1467.37	1963.57	2796.65	1519.15	1519.15	1350.18	2148.82	842.36	981.29	387.02	1044.52	934.76	728.11	563.18	1225.22	703.28
NUP133	638.15	283.05	301.33	406.31	490.14	406.31	169.07	301.33	389.72	123.5	476.71	189.02	579.04	180.02	332.14	463.65	563.18	432.53	341.51	358.54	703.28	209.84	144.01	532.74	813.63	96.68	379.04	507.46	223.41	470.14	423.61	423.61	379.04	356.05	444.72	358.54	361.04	361.04	540.19	423.61	493.56	397.93	429.54	679.29	234.57	417.77	74.06	708.18	244.57	220.32	237.86	521.76	271.48
NUP43	743.43	109.66	98.73	205.5	244.57	248.0	139.07	135.24	186.4	120.1	229.72	113.56	366.09	143.01	191.67	271.48	264.03	334.46	130.6	177.53	275.28	164.42	99.43	297.17	483.38	82.29	114.36	218.79	118.43	256.78	325.29	253.23	234.57	123.5	358.54	269.6	232.94	206.94	267.73	291.04	123.5	206.94	175.07	412.0	161.02	161.02	102.97	336.79	181.28	189.02	133.36	267.73	157.68
OSGEPL1	273.37	86.43	43.02	141.02	166.73	63.0	28.86	53.19	119.26	35.76	83.45	40.64	178.77	24.11	70.51	173.85	161.02	191.67	42.11	110.43	202.66	46.84	41.22	143.01	215.77	23.08	46.84	131.51	48.18	178.77	74.06	143.01	121.79	58.71	202.66	71.5	172.65	123.5	148.09	166.73	169.07	141.02	150.17	195.72	46.5	60.82	34.02	78.34	55.49	57.08	31.45	128.79	54.72
PARG	381.68	127.89	143.01	171.45	181.28	165.57	140.04	140.04	186.4	47.84	189.02	82.87	303.44	84.04	146.03	173.85	181.28	190.34	108.14	153.34	253.23	80.57	88.88	211.31	295.11	29.48	108.9	215.77	115.16	215.77	156.59	226.54	155.5	198.47	242.88	111.99	195.72	237.86	208.38	178.77	178.77	190.34	189.02	258.57	92.05	89.51	43.32	176.29	92.05	112.77	85.22	255.0	82.87
