	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.RVPV.1726.SM.5SI8C	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12584.0826.SM.5FQSK	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.WWYW.0826.SM.3NB2X	GTEX.REY6.0526.SM.2TF5M	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.TSE9.0626.SM.3DB8B	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
CISD3	156.59	171.45	348.71	1674.06	1745.2	1909.85	2090.03	1977.24	1605.83	2047.0	1819.35	3168.41	1127.35	674.59	896.64	483.38	1769.57	1295.13	819.3	1331.57	1662.49	1519.15	450.94	884.29	1322.37	607.87	934.76	1199.98	1015.93	738.29	551.56	759.08	1427.22	1437.15	1369.04	1250.98	490.14	1870.53	1467.37	1662.49	995.0	1216.75	1151.06	1159.07	1397.83	1721.16	1397.83	1015.93	1721.16	1268.46	2335.28	1073.91	1331.57	2434.5	1857.6	1088.92	1388.16	1111.82	2104.58	1030.12	995.0	1151.06	2520.38	1477.58	1709.26	808.0	1191.69	647.07	1295.13	1151.06	1127.35	2287.2	1023.0	1111.82	1369.04	1359.57
CLPP	297.17	476.71	713.11	1697.45	1806.78	1977.24	1359.57	1540.37	1508.65	1709.26	1617.0	2255.7	1199.98	748.61	1001.93	1023.0	1806.78	1295.13	738.29	1119.56	1388.16	1313.23	753.83	961.07	1340.84	759.08	1208.34	1313.23	1030.12	1015.93	780.44	988.12	1225.22	1378.57	1340.84	1467.37	909.17	1769.57	1519.15	1369.04	1388.16	1407.55	1242.34	1175.27	1286.18	1467.37	1378.57	1175.27	1605.83	1259.69	1447.15	1359.57	1104.13	1583.71	1388.16	961.07	1519.15	1225.22	1709.26	1208.34	1199.98	1119.56	1685.71	1167.14	1757.34	1081.39	1225.22	1008.9	1427.22	1073.91	1096.5	1407.55	1088.92	1487.87	1175.27	1225.22
CNPY2	1651.0	2417.67	1081.39	5441.3	6516.03	3794.3	4095.0	5006.93	4836.35	4639.29	3955.48	6607.01	3716.2	3690.52	3146.52	3665.02	4903.87	4038.61	2133.97	3540.14	3540.14	3349.13	2434.5	3124.78	4152.18	3395.89	3124.78	3874.05	3690.52	3103.19	2400.97	3491.39	4095.0	3665.02	3955.48	4298.64	2163.77	5555.65	4066.71	3690.52	3614.55	4575.41	3901.01	3847.29	4038.61	5255.91	4419.52	3395.89	4639.29	3349.13	4607.24	4239.45	4066.71	5112.16	5403.7	3540.14	3982.99	3690.52	4481.23	3768.09	2997.45	4419.52	4836.35	4123.49	5751.61	4210.15	4181.07	2451.44	4298.64	3690.52	3928.15	4181.07	2997.45	3794.3	3742.05	4123.49
COPE	1685.71	651.58	1697.45	5954.47	6607.01	9151.82	9088.59	5995.9	7130.55	7130.55	6935.54	8963.45	4010.71	1832.01	3039.3	2915.45	6121.9	4481.23	3257.52	4903.87	4802.93	5403.7	2758.13	3768.09	4481.23	2682.69	4607.24	5872.48	3540.14	3847.29	2351.53	3257.52	5479.15	4388.98	6037.61	5041.77	3419.52	6745.86	5517.27	4937.99	4671.57	5831.91	4239.45	5403.7	4972.34	6983.79	5366.37	4239.45	5872.48	4095.0	7749.1	4972.34	4481.23	6294.04	7230.1	4123.49	4481.23	4736.79	6426.31	4869.99	4358.66	5041.77	9088.59	5112.16	6037.61	2351.53	4802.93	2997.45	5183.54	5255.91	4181.07	5633.22	3742.05	5517.27	4736.79	4972.34
COX14	323.03	1331.57	656.11	3982.99	5329.3	3768.09	3874.05	3820.7	2875.3	4607.24	5594.3	6250.56	2209.26	2319.15	2335.28	1529.73	3372.43	2997.45	1498.22	2255.7	3467.27	2835.7	1572.76	1651.0	2935.74	1639.59	2004.85	2335.28	1417.35	2434.5	1242.34	1950.0	3018.3	2287.2	3443.31	3039.3	2240.11	3257.52	2664.15	3515.68	2609.3	3146.52	1923.14	2417.67	2303.12	2720.15	3235.01	2555.58	3349.13	2468.49	3982.99	2591.27	1909.85	3928.15	3928.15	2502.97	3081.75	2816.11	4268.94	2133.97	2537.92	2271.4	3874.05	3874.05	3768.09	2178.83	2468.49	860.08	2720.15	2609.3	2367.9	3742.05	2400.97	3349.13	2451.44	3372.43
COX5B	693.58	1277.29	1936.53	10808.41	10585.95	11504.21	11112.3	10368.08	10440.2	8305.36	12415.75	9740.98	4903.87	4123.49	3901.01	2855.44	9540.5	6250.56	3955.48	6079.61	7130.55	7180.15	3124.78	4268.94	7537.18	2816.11	4769.75	6652.97	3665.02	3716.2	2104.58	4010.71	7589.61	5441.3	7695.57	7230.1	3303.0	9673.69	6840.04	5751.61	5995.9	7966.99	5292.48	6935.54	4639.29	6887.62	5292.48	5255.91	9606.86	7433.4	15715.58	6792.79	4607.24	13215.02	11267.44	4869.99	5633.22	5041.77	9474.59	5329.3	4298.64	5479.15	13681.08	9344.14	9673.69	3039.3	5479.15	2119.22	9808.75	6337.83	5913.33	8421.31	4038.61	7537.18	6294.04	7857.29
DDX49	486.75	241.19	351.14	866.07	1407.55	1617.0	1159.07	1001.93	1127.35	1023.0	941.27	1104.13	819.3	447.82	563.18	733.19	872.1	660.68	387.02	743.43	656.11	842.36	612.11	703.28	543.96	612.11	450.94	890.44	563.18	791.35	616.37	480.04	878.17	785.88	961.07	796.86	497.0	848.22	1059.11	819.3	718.08	921.88	921.88	679.29	915.51	1111.82	872.1	830.75	796.86	738.29	974.5	642.59	733.19	785.88	928.3	607.87	802.41	688.78	947.83	583.07	575.03	599.49	1183.45	753.83	995.0	373.81	693.58	693.58	878.17	748.61	688.78	759.08	463.65	878.17	842.36	1081.39
EMC10	1096.5	660.68	1051.79	5913.33	9344.14	7589.61	11035.54	7589.61	5913.33	7130.55	5183.54	3901.01	3768.09	2209.26	3589.58	3395.89	8078.22	5183.54	3540.14	4543.8	5292.48	4038.61	2417.67	3874.05	5076.84	3639.7	6337.83	4836.35	3847.29	3491.39	1991.0	2997.45	4639.29	4607.24	5711.87	5913.33	4419.52	4802.93	5913.33	6037.61	4704.07	4704.07	6037.61	5555.65	4095.0	4836.35	7695.57	4328.55	4038.61	5255.91	5633.22	4903.87	5913.33	5872.48	5672.41	4836.35	4671.57	4481.23	6250.56	4358.66	4450.27	5255.91	6337.83	7537.18	5555.65	3372.43	4575.41	3280.18	4450.27	4328.55	3982.99	6887.62	4575.41	6079.61	3955.48	4836.35
ENDOG	16.88	24.99	124.37	409.15	332.14	934.76	454.09	543.96	728.11	547.75	669.92	1037.29	400.71	211.31	122.64	94.01	356.05	218.79	177.53	379.04	379.04	460.44	208.38	215.77	379.04	93.35	155.5	223.41	291.04	197.09	185.11	237.86	351.14	476.71	480.04	525.39	118.43	567.1	293.07	387.02	312.0	473.41	291.04	197.09	376.41	633.73	164.42	309.83	775.05	403.5	693.58	351.14	255.0	723.08	532.74	332.14	334.46	432.53	796.86	289.02	309.83	376.41	703.28	285.03	665.29	96.68	336.79	159.9	500.46	341.51	242.88	312.0	152.28	312.0	295.11	265.87
FAM58A	363.56	358.54	154.42	738.29	688.78	934.76	591.22	599.49	693.58	753.83	656.11	1111.82	432.53	361.04	356.05	334.46	616.37	540.19	255.0	559.28	518.15	559.28	327.56	409.15	575.03	265.87	358.54	529.06	444.72	283.05	299.25	389.72	525.39	536.45	603.67	547.75	281.09	629.35	579.04	612.11	529.06	555.41	500.46	420.68	500.46	674.59	466.88	483.38	624.99	476.71	616.37	591.22	567.1	819.3	669.92	379.04	497.0	463.65	698.41	412.0	525.39	518.15	785.88	642.59	647.07	291.04	587.13	348.71	500.46	414.87	403.5	607.87	397.93	497.0	529.06	595.34
FIBP	587.13	1268.46	884.29	2271.4	2468.49	3124.78	2956.17	2018.8	3060.45	2520.38	2351.53	2193.99	1519.15	1378.57	961.07	1427.22	2178.83	1769.57	967.76	1350.18	1769.57	1628.26	909.17	1183.45	1617.0	1225.22	902.89	1819.35	1250.98	1096.5	1119.56	934.76	2104.58	1457.23	1781.89	1437.15	961.07	2004.85	2240.11	1857.6	1304.15	1551.09	1685.71	1594.73	1844.76	1977.24	1832.01	1277.29	1781.89	1369.04	2104.58	1369.04	1857.6	1909.85	2193.99	1477.58	1519.15	1268.46	1896.65	1685.71	1388.16	1359.57	2018.8	1417.35	1870.53	1135.2	1242.34	1295.13	1745.2	1477.58	1572.76	1639.59	1208.34	1685.71	1977.24	1896.65
G6PC3	1233.75	457.25	620.67	3955.48	5403.7	5441.3	4769.75	3794.3	2935.74	4239.45	4066.71	4836.35	2485.67	1583.71	1832.01	1794.29	2997.45	2720.15	1896.65	2701.35	3395.89	3190.46	1322.37	2255.7	2434.5	2209.26	2816.11	2591.27	2468.49	1313.23	1135.2	2148.82	2384.37	2335.28	2935.74	2720.15	1437.15	4543.8	2855.44	3060.45	2682.69	3190.46	2193.99	1950.0	2739.08	3847.29	3103.19	2777.33	3491.39	2271.4	4769.75	3190.46	2287.2	4095.0	4512.4	2627.46	2537.92	2520.38	3060.45	2758.13	2591.27	2591.27	4358.66	3303.0	3146.52	1388.16	2609.3	1208.34	3614.55	3146.52	2895.31	2956.17	1721.16	1909.85	3443.31	3168.41
GADD45GIP1	316.37	293.07	665.29	3716.2	2915.45	3982.99	2895.31	3982.99	4736.79	3614.55	4639.29	4388.98	1733.13	808.0	1551.09	1250.98	3081.75	1733.13	1304.15	2018.8	1313.23	2090.03	1225.22	1498.22	2119.22	909.17	1467.37	2090.03	1388.16	2287.2	872.1	1572.76	2287.2	2451.44	2209.26	1909.85	1369.04	2417.67	2193.99	2255.7	1757.34	2209.26	2061.24	2555.58	2075.59	3146.52	2047.0	2047.0	3146.52	1781.89	3540.14	1857.6	1950.0	3212.66	2417.67	1639.59	1883.54	1651.0	3515.68	1923.14	1304.15	1697.45	3665.02	1757.34	3303.0	1037.29	1963.57	1059.11	1963.57	1519.15	1844.76	2287.2	1628.26	2875.3	2451.44	2018.8
GPX1	860.08	1923.14	3540.14	11035.54	15715.58	10296.45	8191.0	8479.89	11745.96	12676.65	12943.04	11035.54	3103.19	1923.14	2875.3	3280.18	5292.48	4388.98	2018.8	3589.58	4298.64	3349.13	1883.54	2451.44	4152.18	2148.82	2915.45	3847.29	2537.92	2997.45	2224.63	2255.7	6250.56	5006.93	3874.05	4210.15	2758.13	4575.41	5006.93	4512.4	3303.0	4010.71	3690.52	4010.71	4123.49	5147.73	4802.93	2875.3	5633.22	4937.99	6887.62	4095.0	3955.48	5441.3	4481.23	3212.66	3690.52	2400.97	7382.04	2895.31	3235.01	2796.65	7749.1	3081.75	8305.36	2193.99	3039.3	2451.44	4181.07	3146.52	3419.52	4704.07	2287.2	6426.31	4575.41	6250.56
LSM10	237.86	633.73	567.1	1857.6	1605.83	1857.6	1870.53	1572.76	1407.55	1977.24	1844.76	1250.98	825.0	525.39	825.0	620.67	1651.0	1159.07	638.15	967.76	1135.2	974.5	587.13	698.41	1331.57	543.96	688.78	1183.45	915.51	1044.52	486.75	612.11	1322.37	1151.06	1250.98	954.43	830.75	1216.75	1369.04	961.07	915.51	1081.39	1104.13	934.76	1143.1	1437.15	941.27	884.29	1350.18	808.0	1277.29	1059.11	1199.98	1259.69	1277.29	713.11	1119.56	819.3	1208.34	743.43	860.08	961.07	1540.37	1001.93	1268.46	738.29	961.07	738.29	1127.35	769.69	808.0	1369.04	947.83	1167.14	1073.91	1487.87
LSM4	656.11	665.29	660.68	3768.09	3665.02	4481.23	3589.58	2796.65	4152.18	3768.09	4450.27	7081.29	2351.53	1487.87	1487.87	1639.59	3395.89	2645.74	1277.29	2193.99	2287.2	2335.28	1233.75	1819.35	2720.15	1388.16	1721.16	2645.74	1769.57	1551.09	1096.5	1378.57	2835.7	2271.4	2935.74	1950.0	1268.46	3039.3	2976.74	2682.69	2018.8	2468.49	2075.59	2417.67	2335.28	2875.3	2417.67	2090.03	2777.33	2090.03	3146.52	2271.4	2240.11	3303.0	2915.45	2319.15	2240.11	1923.14	3349.13	2255.7	1806.78	2555.58	3325.99	2520.38	3103.19	1378.57	2224.63	1119.56	2502.97	2303.12	2384.37	2956.17	1617.0	2609.3	2451.44	2915.45
LSMD1	299.25	825.0	884.29	5183.54	5954.47	6164.49	7081.29	4543.8	5403.7	6294.04	5329.3	4937.99	2537.92	1015.93	1628.26	2075.59	4671.57	2855.44	2075.59	3589.58	3060.45	3716.2	1259.69	2485.67	3665.02	2061.24	2047.0	3443.31	2895.31	1605.83	848.22	1639.59	3874.05	3235.01	3589.58	3280.18	1159.07	4450.27	4181.07	4210.15	2895.31	3081.75	2915.45	3395.89	3901.01	5076.84	3614.55	2400.97	4704.07	2758.13	5791.62	3039.3	3515.68	6471.02	4575.41	2468.49	3146.52	2240.11	6207.38	3280.18	2133.97	2573.36	6652.97	3103.19	4802.93	1674.06	3168.41	1295.13	4123.49	3060.45	2573.36	3372.43	1909.85	3491.39	3212.66	3955.48
MIEN1	587.13	281.09	551.56	2739.08	3589.58	3039.3	3325.99	2701.35	2976.74	2555.58	2701.35	2384.37	1378.57	1104.13	909.17	759.08	1806.78	1359.57	1030.12	1259.69	1909.85	1529.73	909.17	1331.57	1605.83	860.08	967.76	1277.29	1561.89	1225.22	825.0	860.08	1628.26	1572.76	1781.89	1594.73	819.3	1844.76	1628.26	1697.45	1096.5	1594.73	1662.49	1268.46	1757.34	2004.85	1605.83	1674.06	1529.73	1286.18	2796.65	1437.15	1561.89	2287.2	1487.87	1191.69	1561.89	1295.13	2104.58	1417.35	1498.22	1378.57	2133.97	1639.59	2335.28	1175.27	1313.23	1037.29	1369.04	1378.57	1437.15	1991.0	1487.87	2163.77	1331.57	1651.0
