	TCGA.W5.AA2Q.11A.11R.A41I.07	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.CV.6939.01A.11R.1915.07	TCGA.CR.7385.01A.11R.2016.07	TCGA.DQ.7595.01A.11R.2232.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.145MO.2326.SM.5NQ9K	TCGA.77.6844.01A.11R.1949.07	TCGA.22.5472.01A.01R.1635.07	GTEX.13QJC.2326.SM.5Q5CD
HDAC2	480.04	1259.69	1199.98	2485.67	2255.7	2537.92	915.51	473.41	381.68	291.04	441.64	591.22	420.68	2573.36	1896.65	1183.45
HEATR1	61.25	234.57	195.72	295.11	215.77	346.29	116.78	53.19	37.59	32.13	37.05	78.34	33.78	486.75	234.57	244.57
HIF1AN	104.42	366.09	348.71	381.68	497.0	575.03	191.67	58.3	73.54	116.78	94.01	172.65	71.5	713.11	395.18	423.61
HNRNPA1	10440.2	17558.94	18950.18	30361.44	30999.42	29327.18	16269.83	8421.31	6294.04	6294.04	6699.25	11827.67	6471.02	25708.25	20593.91	22692.63
ICK	84.04	130.6	131.51	234.57	224.97	301.33	118.43	86.43	72.52	34.75	88.26	116.78	98.04	363.56	269.6	202.66
IGSF3	7.57	417.77	591.22	1044.52	860.08	1340.84	83.45	4.74	4.1	4.86	7.0	29.27	1.39	866.07	633.73	426.57
IL10RB	591.22	836.53	647.07	995.0	866.07	1088.92	748.61	583.07	507.46	532.74	629.35	791.35	387.02	974.5	1119.56	665.29
ISY1	376.41	269.6	514.56	1151.06	1369.04	1295.13	473.41	248.0	297.17	299.25	348.71	397.93	231.32	1081.39	1111.82	587.13
ITGA6	140.04	988.12	759.08	2915.45	2434.5	4268.94	329.84	115.97	46.84	63.89	98.04	256.78	47.5	2502.97	2178.83	2075.59
KAT6B	72.01	162.14	214.27	167.9	191.67	228.13	88.26	48.87	30.12	32.13	38.67	84.04	66.18	305.55	229.72	159.9
KIAA0586	121.79	109.66	176.29	171.45	214.27	223.41	130.6	95.34	67.12	22.75	135.24	130.6	154.42	208.38	217.27	165.57
LRRC42	368.65	595.34	403.5	1008.9	743.43	988.12	607.87	253.23	314.17	264.03	312.0	454.09	209.84	981.29	802.41	567.1
LUZP1	46.5	218.79	186.4	363.56	249.73	543.96	97.36	24.81	17.13	20.11	24.11	70.01	22.75	281.09	348.71	189.02
MREG	102.25	629.35	363.56	507.46	406.31	473.41	74.58	48.87	48.87	14.14	38.4	102.97	20.41	384.34	441.64	249.73
MSL2	183.82	244.57	218.79	483.38	521.76	536.45	206.94	153.34	128.79	80.57	120.94	181.28	73.54	444.72	395.18	237.86
MUC6	78.34	4.13103505E7	2.782734531E7	0.39	2.41	123.5	327.56	39.79	12.55	57.49	140.04	164.42	28.45	0.39	0.39	0.09
NCOA5	242.88	466.88	551.56	629.35	599.49	595.34	297.17	190.34	175.07	100.83	143.01	264.03	121.79	718.08	587.13	379.04
NFATC3	180.02	178.77	175.07	447.82	389.72	384.34	144.01	108.9	123.5	82.29	119.26	186.4	163.28	332.14	412.0	154.42
NFYC	988.12	728.11	1407.55	1183.45	1467.37	1175.27	928.3	733.19	563.18	718.08	500.46	915.51	497.0	1551.09	1051.79	1277.29
NOC3L	70.01	201.25	193.01	307.69	229.72	244.57	138.1	78.89	71.5	17.38	80.57	107.38	76.71	277.2	175.07	191.67
NOLC1	507.46	1175.27	890.44	1950.0	1529.73	1769.57	928.3	358.54	423.61	371.22	454.09	583.07	698.41	1936.53	1216.75	981.29
NRAS	249.73	423.61	273.37	974.5	708.18	780.44	423.61	187.71	180.02	181.28	186.4	291.04	144.01	693.58	567.1	373.81
NSUN4	186.4	283.05	312.0	376.41	291.04	460.44	221.86	133.36	175.07	165.57	183.82	232.94	212.78	426.57	371.22	301.33
NUP50	262.2	693.58	536.45	866.07	995.0	723.08	289.02	237.86	277.2	108.9	242.88	297.17	444.72	669.92	780.44	476.71
OOEP	11.04	8.58	8.65	65.72	76.71	85.82	15.22	0.0	3.06	14.24	13.22	3.69	1.22	63.45	47.17	61.68
OSBPL8	129.69	334.46	220.32	567.1	473.41	417.77	197.09	93.35	103.69	26.86	91.41	189.02	82.87	406.31	379.04	371.22
PAPOLG	64.34	108.14	102.97	258.57	193.01	199.85	91.41	52.82	34.75	25.17	44.57	78.34	64.8	173.85	189.02	150.17
PGAP1	12.83	81.14	108.9	165.57	63.89	171.45	18.84	15.45	9.27	7.4	15.22	20.26	14.89	185.11	199.85	83.45
PGBD2	75.64	149.12	146.03	102.97	104.42	127.89	106.63	77.79	60.39	34.02	56.28	91.41	48.87	141.02	161.02	70.51
PHIP	64.8	157.68	161.02	497.0	299.25	231.32	93.35	48.52	33.06	9.63	34.51	78.34	26.67	239.52	217.27	223.41
PIWIL4	27.84	281.09	128.79	51.35	24.81	155.5	96.68	4.5	5.59	4.35	13.03	29.06	4.7	35.0	37.85	36.27
PKN2	223.41	547.75	529.06	595.34	463.65	480.04	205.5	137.14	134.3	65.72	115.16	204.07	105.15	435.55	412.0	379.04
PPHLN1	384.34	638.15	703.28	1233.75	1023.0	1030.12	669.92	368.65	346.29	363.56	312.0	476.71	417.77	954.43	928.3	872.1
PRDM11	30.56	115.16	159.9	180.02	85.82	221.86	60.39	24.11	17.25	30.34	25.54	30.78	22.75	242.88	209.84	78.89
PRIM2	33.78	62.12	51.71	279.14	293.07	244.57	56.28	16.63	31.0	41.52	18.84	31.0	15.34	186.4	173.85	40.07
PTPRK	406.31	363.56	217.27	813.63	656.11	1037.29	555.41	301.33	346.29	341.51	336.79	460.44	299.25	647.07	679.29	454.09
RAB21	466.88	884.29	575.03	1151.06	1104.13	1242.34	591.22	361.04	387.02	287.01	412.0	454.09	435.55	1066.48	1073.91	866.07
RAP1B	1572.76	1457.23	1268.46	3349.13	2224.63	2075.59	2119.22	967.76	1044.52	890.44	1331.57	1457.23	1551.09	2018.8	2875.3	2240.11
RBBP4	954.43	1225.22	1733.13	3443.31	4607.24	3589.58	1322.37	563.18	457.25	780.44	791.35	1001.93	575.03	3614.55	2555.58	1674.06
RFWD3	66.18	224.97	291.04	780.44	612.11	441.64	145.02	55.1	55.49	45.85	57.49	108.14	32.36	400.71	414.87	198.47
RMI2	51.35	97.36	275.28	591.22	1745.2	1277.29	111.21	32.13	15.22	97.36	13.32	77.79	10.47	1268.46	480.04	118.43
RNF19B	144.01	1044.52	463.65	2018.8	1551.09	651.58	283.05	108.9	150.17	115.16	183.82	229.72	107.38	693.58	878.17	723.08
RNF2	94.01	172.65	205.5	403.5	400.71	521.76	143.01	63.89	43.32	39.5	85.22	133.36	75.11	480.04	387.02	279.14
RP11-293I14.2	0.0	0.0	0.0	23.59	87.03	97.36	15.11	0.0	11.82	17.0	0.0	3.29	0.0	59.13	51.71	0.0
RPAP2	131.51	260.38	299.25	343.89	275.28	307.69	201.25	111.21	91.41	26.47	101.54	155.5	126.12	285.03	248.0	232.94
RPUSD1	262.2	426.57	665.29	563.18	454.09	514.56	275.28	161.02	164.42	246.28	186.4	229.72	137.14	591.22	583.07	567.1
SERBP1	2384.37	3768.09	4210.15	6983.79	6840.04	6250.56	2875.3	2061.24	2133.97	1896.65	2287.2	2796.65	2915.45	6471.02	4869.99	4095.0
SF3A3	480.04	808.0	934.76	1407.55	1628.26	1583.71	769.69	454.09	429.54	470.14	493.56	647.07	403.5	1487.87	1151.06	878.17
SGPP2	3.2	624.99	738.29	1369.04	753.83	941.27	36.53	1.91	4.46	6.06	2.86	9.27	0.0	1015.93	638.15	412.0
SLC5A3	44.89	42.41	16.03	68.07	105.15	138.1	17.51	42.41	42.11	18.03	40.07	18.56	9.7	116.78	85.82	46.18
SMAD5	153.34	291.04	264.03	547.75	559.28	470.14	318.57	127.89	178.77	84.63	208.38	220.32	229.72	420.68	336.79	389.72
SMARCE1	1277.29	1397.83	1378.57	2855.44	2555.58	3540.14	1757.34	1008.9	808.0	559.28	866.07	1407.55	1159.07	3639.7	2061.24	1697.45
SMC6	154.42	353.59	260.38	830.75	825.0	480.04	191.67	139.07	82.87	49.56	125.24	194.36	136.19	866.07	412.0	450.94
SNRNP40	447.82	620.67	616.37	1216.75	1159.07	1437.15	551.56	318.57	332.14	255.0	314.17	486.75	305.55	1340.84	1037.29	651.58
SREBF2	1059.11	2193.99	2303.12	1551.09	3018.3	2047.0	698.41	417.77	587.13	718.08	441.64	1066.48	688.78	2645.74	1617.0	1745.2
SRSF3	1417.35	2209.26	2875.3	4704.07	3955.48	2485.67	2682.69	1519.15	1605.83	769.69	1397.83	1909.85	1467.37	4358.66	3280.18	3690.52
SSH1	113.56	214.27	161.02	412.0	223.41	249.73	223.41	76.71	56.68	71.5	58.71	142.01	59.97	287.01	305.55	189.02
STOX2	24.81	94.67	77.25	191.67	133.36	183.82	22.1	18.43	10.24	4.78	16.27	21.94	14.45	144.01	46.84	100.83
SUMO3	1208.34	1397.83	1417.35	1806.78	3742.05	4388.98	1191.69	1030.12	934.76	1208.34	1023.0	1159.07	909.17	4298.64	3039.3	1407.55
SYNCRIP	575.03	1286.18	1268.46	2287.2	2400.97	2271.4	866.07	511.0	463.65	438.59	500.46	753.83	708.18	2240.11	1757.34	1259.69
TAF9B	181.28	205.5	208.38	497.0	476.71	796.86	217.27	175.07	136.19	81.14	150.17	202.66	90.14	473.41	423.61	253.23
TBPL1	493.56	334.46	414.87	769.69	759.08	921.88	616.37	429.54	363.56	215.77	325.29	543.96	486.75	1001.93	723.08	547.75
TCF20	134.3	409.15	305.55	738.29	674.59	575.03	209.84	96.01	108.14	67.12	99.43	143.01	82.87	536.45	507.46	414.87
TDP1	83.45	177.53	197.09	256.78	334.46	316.37	145.02	63.0	49.56	75.64	62.12	108.9	55.89	291.04	287.01	265.87
TET3	28.04	209.84	185.11	183.82	231.32	320.8	49.21	34.51	23.42	10.88	18.43	52.08	9.48	327.56	195.72	167.9
TFDP2	273.37	244.57	305.55	743.43	1191.69	1183.45	249.73	172.65	214.27	190.34	271.48	236.21	255.0	743.43	656.11	260.38
THRAP3	813.63	1216.75	947.83	1639.59	1617.0	1617.0	934.76	575.03	599.49	571.05	595.34	753.83	529.06	1583.71	1259.69	1159.07
TLR5	18.43	169.07	141.02	384.34	376.41	258.57	52.82	11.13	14.45	13.52	19.97	50.63	26.1	460.44	384.34	249.73
TMEM194B	53.95	58.3	38.12	208.38	122.64	115.97	73.03	27.05	25.54	39.79	35.76	50.63	24.99	130.6	90.77	119.26
TMEM216	124.37	366.09	341.51	287.01	366.09	660.68	173.85	111.21	99.43	60.39	96.01	169.07	93.35	624.99	591.22	217.27
TMPRSS11F	0.0	165.57	147.06	14.67	120.1	46.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.55	40.36	20.41
TMTC3	73.03	85.82	124.37	511.0	423.61	555.41	80.01	71.5	63.45	21.47	65.26	78.34	81.14	329.84	232.94	167.9
TPR	483.38	796.86	954.43	954.43	890.44	819.3	575.03	409.15	305.55	99.43	325.29	511.0	293.07	921.88	854.13	665.29
TRAF7	854.13	1208.34	1936.53	1936.53	2997.45	2133.97	1066.48	466.88	575.03	819.3	599.49	791.35	669.92	2777.33	2417.67	1417.35
TRAPPC3	961.07	1388.16	1487.87	1870.53	1651.0	2004.85	1277.29	981.29	1030.12	1331.57	1143.1	1216.75	1015.93	1594.73	1583.71	1651.0
TUBD1	124.37	175.07	299.25	229.72	351.14	316.37	97.36	103.69	98.73	40.64	85.22	146.03	63.45	267.73	156.59	246.28
TWSG1	139.07	209.84	232.94	684.02	432.53	551.56	205.5	74.58	51.35	44.25	99.43	142.01	70.01	376.41	281.09	220.32
USP39	426.57	708.18	753.83	1286.18	1127.35	1806.78	607.87	432.53	348.71	363.56	303.44	503.95	281.09	1322.37	1340.84	743.43
VANGL1	40.64	197.09	173.85	299.25	314.17	336.79	54.72	23.93	19.11	27.84	20.41	47.5	27.84	314.17	258.57	120.94
VEZF1	226.54	583.07	497.0	961.07	872.1	1096.5	409.15	144.01	147.06	72.01	164.42	281.09	105.89	819.3	733.19	536.45
VHLL	0.0	1.33	0.0	0.0	1.36	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	0.0
VTA1	387.02	733.19	529.06	1030.12	1208.34	1427.22	543.96	363.56	356.05	346.29	400.71	571.05	323.03	954.43	860.08	791.35
WARS2	136.19	165.57	153.34	256.78	251.48	255.0	189.02	87.03	140.04	89.51	169.07	143.01	144.01	395.18	289.02	258.57
WBP11	612.11	743.43	884.29	1477.58	1844.76	1447.15	769.69	503.95	470.14	514.56	441.64	603.67	490.14	1457.23	1242.34	878.17
WDFY1	209.84	392.44	356.05	753.83	748.61	612.11	346.29	147.06	150.17	137.14	180.02	316.37	186.4	616.37	624.99	387.02
WDR3	93.35	293.07	185.11	392.44	334.46	563.18	155.5	59.55	79.45	158.79	106.63	204.07	121.79	819.3	336.79	161.02
XRN2	476.71	698.41	587.13	1617.0	872.1	1340.84	738.29	289.02	379.04	297.17	429.54	616.37	414.87	1183.45	1216.75	647.07
ZBED4	53.19	182.55	150.17	187.71	171.45	241.19	79.45	44.89	43.94	31.45	35.0	64.34	27.84	223.41	181.28	147.06
ZC3H4	209.84	295.11	420.68	493.56	819.3	575.03	220.32	149.12	130.6	130.6	102.97	206.94	170.25	555.41	543.96	426.57
ZNF260	59.13	70.01	68.55	193.01	140.04	195.72	84.04	59.13	37.05	10.79	28.04	74.06	43.63	162.14	129.69	76.17
ZNF318	90.77	124.37	140.04	269.6	205.5	249.73	127.89	84.63	72.52	47.84	54.72	138.1	45.53	256.78	212.78	158.79
ZNF410	381.68	684.02	775.05	595.34	902.89	890.44	616.37	246.28	460.44	218.79	426.57	441.64	532.74	830.75	941.27	780.44
ZNF670	24.28	39.5	50.63	60.39	57.08	89.51	42.41	35.0	24.28	13.32	25.54	53.19	24.28	73.03	58.71	28.04
ZNF808	43.63	119.26	115.97	100.13	117.6	59.13	39.5	33.06	27.05	8.13	26.67	55.1	14.56	91.41	82.87	99.43
ZNF845	28.65	76.17	72.01	139.07	126.12	115.97	46.18	18.29	7.94	3.08	13.12	25.91	29.48	87.03	100.13	36.27
