	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.DK.A3IM.01A.11R.A20F.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A1M6.01A.11R.A13Y.07	TCGA.EX.A1H5.01A.31R.A13Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.EA.A5ZF.01A.11R.A28H.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.5367.01A.01R.1436.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.11WQK.2926.SM.5EQKT
CASC3	825.0	896.64	525.39	1286.18	1143.1	679.29	947.83	1605.83	708.18	483.38	432.53	620.67	536.45	647.07	616.37	830.75	435.55	693.58	493.56	642.59	587.13	403.5	500.46
CCNB2	1572.76	1233.75	500.46	1572.76	1896.65	1388.16	1183.45	1199.98	1350.18	400.71	275.28	435.55	334.46	813.63	463.65	559.28	93.35	389.72	412.0	251.48	1059.11	181.28	112.77
CENPBD1	283.05	201.25	131.51	208.38	211.31	176.29	182.55	320.8	165.57	70.01	42.41	96.68	60.82	180.02	114.36	301.33	35.5	57.89	42.71	86.43	146.03	64.34	94.01
CENPF	1963.57	1030.12	435.55	1199.98	1697.45	647.07	1044.52	1519.15	915.51	101.54	234.57	309.83	202.66	974.5	214.27	260.38	47.5	239.52	277.2	205.5	563.18	159.9	38.12
CEP104	466.88	521.76	217.27	536.45	480.04	395.18	384.34	540.19	334.46	237.86	293.07	305.55	323.03	476.71	293.07	246.28	159.9	376.41	234.57	373.81	438.59	226.54	265.87
CEP85	460.44	327.56	392.44	327.56	567.1	224.97	480.04	343.89	197.09	138.1	93.35	148.09	79.45	334.46	197.09	264.03	81.14	149.12	142.01	140.04	205.5	80.57	177.53
CKLF	1617.0	1259.69	1037.29	2701.35	2148.82	1111.82	1936.53	2915.45	1073.91	753.83	536.45	457.25	693.58	1073.91	476.71	921.88	316.37	708.18	429.54	373.81	438.59	351.14	825.0
COA5	1119.56	647.07	334.46	1295.13	988.12	848.22	616.37	961.07	1175.27	444.72	291.04	403.5	348.71	432.53	403.5	703.28	253.23	409.15	384.34	295.11	441.64	260.38	194.36
COQ9	2209.26	1191.69	1250.98	1417.35	1378.57	1159.07	1350.18	1733.13	1447.15	638.15	607.87	1135.2	575.03	1066.48	1304.15	1447.15	595.34	921.88	909.17	679.29	995.0	536.45	679.29
DMC1	583.07	61.25	98.73	129.69	518.15	96.01	269.6	497.0	87.03	3.86	13.72	5.23	20.26	44.57	4.31	11.04	4.94	4.1	4.28	3.5	42.71	5.73	0.67
DNAJC11	693.58	988.12	323.03	791.35	825.0	703.28	830.75	753.83	748.61	303.44	521.76	656.11	397.93	703.28	902.89	603.67	346.29	612.11	660.68	591.22	591.22	406.31	397.93
DSN1	470.14	764.36	414.87	954.43	1023.0	718.08	780.44	1977.24	748.61	164.42	175.07	303.44	139.07	339.14	256.78	417.77	130.6	186.4	220.32	172.65	211.31	98.04	36.79
E2F1	733.19	470.14	373.81	1119.56	633.73	493.56	486.75	1745.2	480.04	79.45	75.64	178.77	109.66	299.25	199.85	206.94	70.01	76.17	118.43	96.68	123.5	74.06	16.63
EME1	158.79	187.71	100.83	346.29	255.0	187.71	323.03	269.6	211.31	14.24	21.32	63.0	24.81	109.66	38.67	85.82	18.84	28.86	58.3	32.82	80.01	28.86	4.21
FAM192A	3690.52	1909.85	1651.0	3018.3	2682.69	2384.37	2018.8	3467.27	2835.7	872.1	1008.9	1709.26	1111.82	1286.18	1561.89	2739.08	961.07	1322.37	1151.06	1304.15	1388.16	896.64	633.73
FAM72A	363.56	1378.57	103.69	217.27	241.19	142.01	185.11	273.37	175.07	39.79	23.76	72.01	45.21	95.34	45.53	59.55	19.39	40.07	50.63	39.79	92.05	20.26	8.13
FANCL	1111.82	759.08	417.77	1447.15	1242.34	669.92	733.19	1088.92	934.76	163.28	88.26	291.04	110.43	299.25	178.77	244.57	177.53	182.55	289.02	189.02	186.4	111.99	81.71
FOPNL	1477.58	674.59	842.36	791.35	802.41	633.73	780.44	967.76	660.68	647.07	387.02	591.22	395.18	447.82	748.61	941.27	327.56	435.55	463.65	381.68	514.56	373.81	486.75
FOXD2	31.67	12.0	0.0	18.43	17.9	11.21	9.48	25.54	8.51	5.5	2.1	2.73	5.06	10.0	5.96	5.59	3.03	7.4	4.7	5.87	5.36	4.24	1.57
GINS2	1143.1	457.25	318.57	785.88	1369.04	441.64	607.87	1044.52	423.61	84.04	106.63	120.1	80.57	214.27	118.43	237.86	39.79	105.15	130.6	92.7	215.77	66.65	25.35
HELLS	397.93	397.93	236.21	753.83	432.53	420.68	563.18	753.83	525.39	106.63	101.54	136.19	60.39	145.02	120.94	127.89	54.72	73.54	173.85	97.36	138.1	62.12	17.9
HIRIP3	1044.52	211.31	177.53	444.72	928.3	529.06	423.61	967.76	493.56	66.65	148.09	194.36	104.42	239.52	152.28	297.17	62.12	189.02	205.5	137.14	327.56	115.97	29.06
HMGN2	52135.28	20737.16	10659.59	33688.23	38966.94	8718.32	19482.97	34635.37	8598.28	4972.34	5555.65	7966.99	5751.61	17078.76	6121.9	11035.54	3847.29	7485.11	6935.54	4328.55	8191.0	5255.91	1498.22
ITGB3BP	967.76	1268.46	450.94	703.28	1540.37	872.1	728.11	813.63	1175.27	265.87	277.2	384.34	139.07	583.07	356.05	532.74	124.37	255.0	325.29	165.57	303.44	190.34	120.1
KHDC1	432.53	125.24	40.64	277.2	166.73	62.12	118.43	81.71	80.01	34.26	11.21	34.51	21.01	109.66	42.41	96.68	23.08	31.22	47.84	33.06	21.32	28.86	14.56
KIF22	4328.55	1467.37	1457.23	1407.55	2502.97	1498.22	1529.73	3564.78	1487.87	361.04	529.06	915.51	423.61	1561.89	909.17	1397.83	389.72	547.75	713.11	559.28	934.76	384.34	123.5
KIF2C	1183.45	961.07	406.31	819.3	1135.2	848.22	764.36	796.86	733.19	172.65	127.89	275.28	167.9	575.03	255.0	283.05	55.49	204.07	231.32	226.54	444.72	108.9	30.34
KRT17	35.25	381149.17	4953441.24	19618.49	34158.52	462789.59	104271.56	9215.48	402881.61	475800.4	971597.0	542775.98	462789.59	309589.14	466008.55	716197.51	701458.36	524287.0	645473.24	368165.8	632189.57	912837.43	472513.8
LRRC47	1923.14	1023.0	490.14	1104.13	1066.48	802.41	884.29	974.5	713.11	490.14	607.87	775.05	409.15	896.64	878.17	915.51	514.56	674.59	693.58	848.22	791.35	599.49	656.11
MXD3	575.03	199.85	234.57	389.72	551.56	389.72	264.03	647.07	301.33	96.68	39.22	154.42	88.88	149.12	93.35	108.9	77.25	110.43	106.63	60.82	122.64	74.06	194.36
NASP	10225.32	5329.3	1950.0	9025.81	7966.99	4358.66	4095.0	5366.37	4836.35	808.0	1225.22	1697.45	947.83	3124.78	1651.0	1427.22	1001.93	1104.13	1745.2	780.44	1594.73	974.5	2090.03
NCAPH	638.15	559.28	258.57	718.08	693.58	532.74	547.75	603.67	532.74	112.77	159.9	231.32	189.02	476.71	187.71	249.73	64.34	171.45	232.94	224.97	291.04	79.45	34.75
NOL9	251.48	214.27	72.52	208.38	173.85	161.02	155.5	201.25	132.44	62.12	101.54	147.06	63.45	220.32	153.34	161.02	85.82	150.17	142.01	108.14	128.79	77.79	137.14
NPHP4	141.02	249.73	66.18	130.6	106.63	140.04	126.12	183.82	99.43	67.12	71.0	108.14	76.17	114.36	103.69	97.36	55.49	96.68	69.03	80.57	89.51	61.68	52.08
PARN	1127.35	890.44	470.14	896.64	872.1	688.78	647.07	748.61	780.44	438.59	368.65	500.46	403.5	791.35	420.68	743.43	241.19	480.04	376.41	555.41	547.75	392.44	155.5
PPIH	4152.18	2287.2	1427.22	2573.36	2224.63	2075.59	1977.24	1159.07	2835.7	624.99	718.08	902.89	540.19	1407.55	1059.11	836.53	470.14	854.13	928.3	674.59	1008.9	693.58	212.78
PSMC3IP	860.08	351.14	234.57	1088.92	1073.91	334.46	579.04	708.18	429.54	70.51	122.64	197.09	96.68	277.2	132.44	332.14	44.25	108.14	166.73	120.94	224.97	63.89	18.03
RAD51C	872.1	748.61	543.96	1572.76	1151.06	583.07	674.59	1508.65	769.69	271.48	218.79	351.14	162.14	460.44	327.56	363.56	119.26	241.19	277.2	152.28	285.03	232.94	125.24
RAD54L	733.19	381.68	236.21	441.64	547.75	457.25	463.65	543.96	392.44	40.64	67.12	161.02	78.89	305.55	164.42	106.63	68.07	64.8	144.01	84.04	122.64	63.45	43.02
RFC4	2739.08	1883.54	497.0	3614.55	2875.3	1199.98	1977.24	4010.71	1313.23	366.09	248.0	547.75	312.0	1143.1	332.14	743.43	145.02	255.0	414.87	567.1	473.41	197.09	148.09
RIBC2	132.44	158.79	303.44	329.84	708.18	99.43	197.09	743.43	111.99	7.75	3.11	17.64	13.03	82.29	14.35	31.0	5.23	13.72	18.43	11.64	10.39	5.54	6.62
RMI2	3303.0	1008.9	974.5	11035.54	2609.3	1081.39	1059.11	1832.01	1127.35	95.34	183.82	264.03	155.5	791.35	191.67	246.28	92.05	136.19	172.65	181.28	329.84	101.54	42.41
RPA2	2104.58	1519.15	1605.83	1594.73	2555.58	638.15	1857.6	1427.22	660.68	629.35	341.51	624.99	376.41	1175.27	583.07	854.13	490.14	660.68	412.0	406.31	603.67	289.02	212.78
SLFN13	279.14	343.89	158.79	60.82	1216.75	693.58	780.44	460.44	660.68	43.02	29.48	76.71	53.95	242.88	72.52	134.3	56.68	39.22	9.41	25.72	42.11	30.56	59.13
SNRNP40	1685.71	1685.71	476.71	1662.49	1909.85	1143.1	1407.55	1529.73	1159.07	813.63	728.11	769.69	607.87	1167.14	753.83	1104.13	429.54	802.41	665.29	571.05	785.88	551.56	928.3
SPATA33	854.13	265.87	170.25	361.04	363.56	119.26	149.12	603.67	178.77	89.51	75.64	149.12	62.56	158.79	115.97	234.57	55.1	94.67	100.83	80.57	126.12	53.57	32.59
SPINK2	88.88	9.13	253.23	78.34	18.7	8.45	18.03	35.0	12.0	5.63	3.66	2.41	9.7	39.22	6.57	9.27	0.0	1.19	11.13	1.46	9.41	1.77	5.15
STMN1	64186.29	13123.73	6699.25	24153.43	33455.53	3639.7	8718.32	25179.16	3928.15	2915.45	2061.24	1745.2	1883.54	12502.12	1572.76	3146.52	693.58	1119.56	2502.97	2240.11	4419.52	1745.2	947.83
TARS2	587.13	1304.15	679.29	669.92	684.02	616.37	718.08	738.29	656.11	164.42	329.84	392.44	211.31	603.67	363.56	318.57	175.07	348.71	351.14	295.11	480.04	264.03	164.42
TMEM201	571.05	497.0	120.94	387.02	281.09	262.2	316.37	341.51	255.0	88.26	127.0	163.28	114.36	329.84	204.07	149.12	42.41	165.57	158.79	155.5	183.82	103.69	301.33
TPX2	2240.11	1883.54	698.41	1397.83	1639.59	1030.12	1242.34	2573.36	1037.29	234.57	314.17	536.45	400.71	1023.0	543.96	693.58	76.17	376.41	412.0	457.25	854.13	206.94	93.35
TROAP	1081.39	1447.15	366.09	1199.98	1733.13	802.41	848.22	1350.18	890.44	110.43	231.32	441.64	181.28	629.35	325.29	500.46	111.21	229.72	236.21	212.78	728.11	187.71	48.87
UBE2T	1963.57	941.27	521.76	1529.73	2240.11	1030.12	1427.22	2319.15	1304.15	281.09	181.28	371.22	172.65	842.36	234.57	397.93	111.99	193.01	289.02	212.78	363.56	148.09	93.35
UBIAD1	420.68	212.78	83.45	307.69	236.21	221.86	260.38	221.86	244.57	115.16	127.0	125.24	138.1	387.02	156.59	159.9	56.68	215.77	140.04	99.43	183.82	87.65	156.59
WDR34	3690.52	3280.18	2701.35	3325.99	3235.01	3419.52	2193.99	3690.52	2855.44	567.1	733.19	915.51	460.44	1233.75	698.41	1350.18	486.75	775.05	860.08	423.61	1561.89	507.46	246.28
YBX2	579.04	15.34	120.94	206.94	332.14	16.63	215.77	273.37	20.11	3.47	0.0	5.45	7.57	33.3	7.57	7.88	0.0	2.97	4.39	8.78	5.06	4.21	3.03
