	TCGA.XF.AAMW.01A.11R.A42T.07	TCGA.ZF.AA58.01A.12R.A42T.07	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.HD.7229.01A.11R.2016.07	TCGA.DQ.5624.01A.01R.1873.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CV.7102.01A.11R.2016.07	TCGA.P3.A5QA.01A.11R.A28V.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.D6.6517.01A.11R.1873.07	TCGA.CQ.A4C7.01A.11R.A24Z.07	TCGA.B2.5641.01A.01R.1541.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.DV.5574.01A.01R.1541.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.4865.01A.02R.1503.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CW.5590.01A.01R.1541.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.5P.A9JV.01A.12R.A42S.07	TCGA.A4.7288.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
C11orf54	90.77	97.36	165.57	217.27	102.97	291.04	239.52	156.59	58.3	128.79	107.38	208.38	43.32	279.14	152.28	4419.52	1883.54	642.59	660.68	1295.13	1781.89	3716.2	1721.16	2627.46	1639.59	2664.15	825.0	575.03	3614.55	3847.29	1359.57	915.51	3168.41	2271.4	3018.3	490.14	1135.2	3060.45	2895.31	954.43	1467.37	688.78	1167.14	3742.05	4543.8	1467.37	1151.06	1088.92	1551.09	954.43	483.38	2739.08	473.41	1417.35	2485.67	2417.67	3847.29	3716.2	3768.09	2739.08	0.0	0.27
CASC1	0.0	2.1	0.44	1.46	2.51	5.96	2.32	1.23	1.41	5.82	4.74	0.0	1.58	4.43	0.77	47.84	100.83	12.83	11.04	32.82	72.01	96.01	52.45	93.35	56.68	40.93	49.56	3.66	102.25	89.51	33.54	32.36	64.34	49.56	53.57	3.14	49.56	63.45	64.8	24.11	28.24	24.99	82.87	116.78	64.34	25.54	17.38	31.45	47.17	49.91	21.47	53.57	9.2	64.8	42.41	49.91	44.57	67.59	64.34	96.68	0.0	0.0
CLCN5	18.43	15.56	41.22	66.65	47.17	45.53	52.08	29.48	8.51	90.14	31.0	43.94	45.85	17.77	20.26	473.41	190.34	68.07	71.5	53.57	258.57	180.02	74.06	164.42	195.72	163.28	91.41	32.13	279.14	123.5	143.01	275.28	381.68	93.35	172.65	172.65	59.13	108.9	305.55	64.8	72.01	28.86	132.44	285.03	232.94	96.01	70.01	111.99	267.73	94.01	46.5	299.25	53.57	70.51	130.6	193.01	376.41	206.94	1628.26	575.03	0.0	0.43
COX15	281.09	409.15	339.14	314.17	450.94	409.15	376.41	334.46	283.05	271.48	343.89	329.84	209.84	397.93	647.07	796.86	791.35	414.87	373.81	638.15	507.46	620.67	536.45	825.0	563.18	397.93	532.74	454.09	764.36	703.28	647.07	583.07	791.35	493.56	638.15	323.03	633.73	791.35	718.08	638.15	518.15	559.28	587.13	785.88	543.96	665.29	583.07	438.59	547.75	693.58	368.65	684.02	373.81	698.41	441.64	698.41	575.03	642.59	1127.35	1001.93	476.71	327.56
DDC	0.0	0.0	0.96	79.45	1.07	1.55	0.0	0.69	0.0	0.0	1.43	2.97	3.38	3.66	5.41	1304.15	387.02	348.71	246.28	307.69	1015.93	3190.46	251.48	555.41	414.87	1977.24	206.94	93.35	1733.13	890.44	656.11	148.09	1583.71	223.41	2835.7	1286.18	152.28	258.57	708.18	21.16	642.59	3.63	438.59	2502.97	2384.37	156.59	163.28	1909.85	1096.5	127.89	447.82	3419.52	104.42	30.78	1104.13	1519.15	2209.26	1350.18	2303.12	3515.68	0.0	0.0
DLD	1104.13	825.0	775.05	1081.39	1001.93	866.07	954.43	872.1	575.03	961.07	872.1	1008.9	842.36	860.08	703.28	1697.45	1427.22	981.29	974.5	995.0	1487.87	1397.83	878.17	1617.0	1051.79	665.29	1073.91	1030.12	1508.65	1844.76	1733.13	759.08	1001.93	1233.75	1697.45	1378.57	1135.2	854.13	1832.01	748.61	830.75	769.69	1397.83	1950.0	1832.01	860.08	1051.79	753.83	1397.83	1199.98	947.83	2032.85	764.36	1340.84	1572.76	1447.15	1286.18	1467.37	3716.2	5711.87	1135.2	229.72
DPP4	140.04	48.87	16.51	191.67	84.04	11.38	55.1	444.72	4.43	73.54	134.3	129.69	47.84	64.34	63.89	3614.55	2400.97	2193.99	947.83	497.0	775.05	1572.76	2319.15	981.29	780.44	281.09	412.0	3168.41	3018.3	2739.08	1225.22	3257.52	1832.01	3235.01	1295.13	1313.23	1651.0	1594.73	836.53	521.76	1350.18	974.5	555.41	1051.79	1709.26	181.28	1709.26	285.03	1378.57	836.53	1225.22	2209.26	175.07	728.11	660.68	1199.98	384.34	1015.93	4575.41	2796.65	463.65	85.22
ECI2	660.68	1191.69	318.57	198.47	264.03	511.0	241.19	395.18	866.07	348.71	1208.34	769.69	620.67	1151.06	1008.9	1963.57	1081.39	1733.13	2367.9	866.07	1963.57	2240.11	1407.55	1844.76	1111.82	1437.15	1844.76	1870.53	2875.3	2133.97	1359.57	1447.15	2351.53	1167.14	2047.0	1498.22	1268.46	1225.22	1651.0	878.17	1605.83	1015.93	1073.91	1806.78	1529.73	1175.27	1617.0	1051.79	1457.23	1250.98	830.75	1662.49	872.1	2148.82	1498.22	1322.37	2384.37	3124.78	1662.49	2796.65	0.0	0.67
EHHADH	118.43	74.58	47.84	71.0	70.01	49.91	265.87	175.07	120.1	212.78	101.54	108.9	119.26	309.83	118.43	3257.52	1617.0	493.56	283.05	543.96	1143.1	1104.13	954.43	1457.23	1583.71	599.49	500.46	480.04	2047.0	759.08	669.92	854.13	1572.76	384.34	1745.2	1037.29	854.13	1519.15	1437.15	163.28	497.0	373.81	507.46	3235.01	1225.22	896.64	497.0	708.18	1159.07	890.44	262.2	1417.35	142.01	738.29	1037.29	1447.15	2335.28	1583.71	2573.36	2520.38	0.0	0.0
ENPP5	66.18	26.28	0.35	1.53	22.43	8.71	9.27	22.43	0.0	0.0	25.54	4.78	36.79	6.78	6.62	743.43	423.61	36.01	67.59	107.38	285.03	320.8	248.0	309.83	90.77	234.57	78.34	162.14	540.19	426.57	165.57	157.68	435.55	154.42	392.44	7.75	187.71	660.68	279.14	91.41	500.46	93.35	193.01	551.56	260.38	220.32	185.11	167.9	205.5	316.37	141.02	343.89	82.29	201.25	299.25	307.69	387.02	400.71	575.03	1051.79	0.0	0.29
ERCC2	267.73	457.25	232.94	249.73	381.68	293.07	145.02	234.57	336.79	139.07	384.34	503.95	239.52	208.38	332.14	514.56	460.44	336.79	287.01	327.56	376.41	441.64	309.83	358.54	271.48	450.94	490.14	241.19	514.56	309.83	343.89	295.11	420.68	285.03	435.55	236.21	334.46	486.75	454.09	281.09	348.71	242.88	343.89	395.18	466.88	389.72	316.37	314.17	473.41	473.41	341.51	633.73	307.69	273.37	406.31	423.61	356.05	514.56	647.07	567.1	0.0	0.4
FAHD1	325.29	414.87	669.92	271.48	642.59	514.56	423.61	567.1	320.8	260.38	318.57	309.83	486.75	684.02	603.67	1407.55	1407.55	884.29	967.76	647.07	860.08	1605.83	647.07	1259.69	1208.34	1081.39	848.22	486.75	2591.27	1407.55	866.07	759.08	1923.14	748.61	2133.97	825.0	656.11	2018.8	995.0	521.76	1551.09	426.57	1015.93	1781.89	981.29	860.08	1059.11	1572.76	1551.09	1175.27	563.18	1183.45	629.35	2018.8	599.49	1447.15	1359.57	2090.03	3081.75	3515.68	444.72	1183.45
FZD1	106.63	92.7	180.02	122.64	251.48	220.32	52.08	299.25	80.57	72.01	232.94	248.0	120.94	121.79	253.23	1295.13	1359.57	890.44	713.11	599.49	1167.14	854.13	909.17	1909.85	1388.16	1023.0	909.17	878.17	1331.57	1199.98	1540.37	974.5	1397.83	974.5	1572.76	890.44	728.11	669.92	1023.0	540.19	890.44	981.29	1832.01	981.29	1143.1	909.17	813.63	896.64	1159.07	1111.82	287.01	1508.65	674.59	1437.15	1096.5	1350.18	1199.98	1477.58	3982.99	3768.09	0.0	0.37
GLYAT	0.0	0.0	1.83	0.0	0.0	0.0	2.2	0.0	0.0	2.92	3.14	0.0	5.28	1.81	0.66	1135.2	1991.0	1167.14	603.67	638.15	1697.45	2193.99	775.05	665.29	947.83	3349.13	525.39	389.72	3190.46	3928.15	896.64	2178.83	2004.85	872.1	2816.11	2018.8	273.37	1540.37	2367.9	76.17	1350.18	32.13	1191.69	4095.0	3467.27	1340.84	759.08	1745.2	1081.39	967.76	137.14	3349.13	239.52	1340.84	713.11	2148.82	2915.45	2193.99	8022.41	9088.59	0.0	0.0
GOT1	785.88	988.12	525.39	660.68	616.37	1127.35	563.18	836.53	420.68	567.1	1008.9	780.44	470.14	878.17	988.12	1508.65	1529.73	848.22	743.43	1008.9	825.0	1551.09	1233.75	1088.92	728.11	599.49	1191.69	961.07	2664.15	1991.0	1225.22	884.29	1909.85	547.75	1769.57	660.68	1977.24	1757.34	2061.24	612.11	1498.22	842.36	1295.13	2061.24	974.5	603.67	934.76	514.56	1721.16	633.73	642.59	2875.3	521.76	1250.98	713.11	1651.0	1359.57	1909.85	2777.33	3614.55	0.0	0.11
IFT140	122.64	141.02	102.25	98.73	187.71	112.77	212.78	143.01	108.9	84.63	100.83	104.42	145.02	173.85	173.85	381.68	450.94	193.01	198.47	271.48	368.65	289.02	325.29	327.56	486.75	511.0	332.14	84.04	483.38	258.57	162.14	332.14	291.04	371.22	248.0	157.68	224.97	307.69	400.71	242.88	301.33	316.37	387.02	392.44	454.09	297.17	214.27	457.25	438.59	353.59	412.0	343.89	218.79	341.51	244.57	267.73	293.07	373.81	954.43	616.37	0.0	0.39
KL	3.32	3.0	0.0	0.0	0.0	2.63	1.66	4.74	0.47	0.89	5.28	3.82	0.52	3.5	3.2	693.58	265.87	236.21	177.53	197.09	323.03	346.29	185.11	633.73	406.31	106.63	236.21	55.1	579.04	591.22	518.15	202.66	934.76	312.0	698.41	127.0	180.02	579.04	536.45	136.19	204.07	267.73	536.45	733.19	473.41	122.64	211.31	88.88	497.0	713.11	31.67	231.32	125.24	299.25	503.95	633.73	651.58	423.61	860.08	638.15	0.0	0.07
LRP2	0.35	0.0	0.0	0.0	0.87	0.0	0.68	0.0	0.3	0.0	1.45	0.34	0.69	0.34	0.0	8778.97	1685.71	301.33	260.38	1111.82	1883.54	3540.14	909.17	1617.0	525.39	1757.34	438.59	532.74	3639.7	2976.74	703.28	1322.37	3820.7	466.88	1819.35	18.7	713.11	1757.34	2720.15	129.69	660.68	21.16	1151.06	4769.75	3982.99	1199.98	642.59	1208.34	2047.0	1447.15	124.37	4328.55	121.79	514.56	1709.26	2133.97	3190.46	2796.65	6652.97	6887.62	0.0	0.0
LRRK2	33.3	27.84	197.09	66.18	33.54	281.09	9.7	15.22	4.31	6.62	31.22	5.11	43.02	10.71	11.13	1268.46	836.53	204.07	199.85	529.06	642.59	559.28	251.48	1104.13	769.69	463.65	323.03	90.14	1259.69	759.08	339.14	684.02	836.53	629.35	486.75	532.74	366.09	332.14	854.13	281.09	218.79	301.33	607.87	988.12	813.63	412.0	229.72	208.38	555.41	460.44	191.67	688.78	111.21	353.59	271.48	476.71	444.72	511.0	2915.45	2018.8	0.0	0.11
LYG1	19.11	15.56	19.39	18.7	36.79	14.78	11.3	4.31	9.7	2.46	7.11	30.78	27.44	3.76	17.38	2485.67	2645.74	314.17	101.54	205.5	813.63	353.59	267.73	1331.57	353.59	2935.74	813.63	31.9	1008.9	693.58	353.59	70.01	915.51	309.83	688.78	18.03	88.26	154.42	995.0	52.45	633.73	55.1	796.86	309.83	356.05	132.44	356.05	409.15	275.28	146.03	50.98	1397.83	156.59	718.08	435.55	1674.06	417.77	854.13	1447.15	3146.52	0.0	0.72
MPPE1	620.67	947.83	595.34	450.94	703.28	620.67	836.53	808.0	429.54	454.09	660.68	441.64	808.0	400.71	454.09	802.41	1135.2	1081.39	921.88	753.83	1088.92	1044.52	743.43	738.29	748.61	723.08	1001.93	934.76	1697.45	698.41	842.36	764.36	1159.07	674.59	1286.18	890.44	642.59	612.11	1104.13	693.58	802.41	764.36	1059.11	1388.16	1340.84	723.08	679.29	896.64	1023.0	896.64	1183.45	1313.23	684.02	532.74	1225.22	1286.18	909.17	1519.15	1551.09	1322.37	0.0	0.47
MYOM3	45.53	16.88	269.6	52.82	98.73	5.36	80.01	287.01	76.17	90.77	318.57	135.24	26.1	163.28	205.5	591.22	854.13	96.01	273.37	129.69	384.34	143.01	41.81	540.19	414.87	896.64	231.32	49.91	698.41	139.07	176.29	81.14	647.07	403.5	423.61	161.02	80.01	171.45	486.75	46.18	476.71	170.25	400.71	334.46	366.09	155.5	169.07	239.52	825.0	228.13	77.25	476.71	53.19	525.39	202.66	236.21	366.09	775.05	1295.13	1044.52	0.0	0.23
PHYHIPL	2.94	21.63	1.13	3.89	2.16	2.68	1.38	3.03	1.23	1.75	1.03	5.96	1.79	2.53	5.5	320.8	152.28	12.27	56.68	190.34	157.68	171.45	58.3	223.41	61.68	125.24	113.56	16.75	547.75	529.06	86.43	43.32	395.18	95.34	273.37	29.7	30.34	205.5	463.65	51.71	48.87	6.11	236.21	532.74	387.02	79.45	51.71	129.69	108.14	36.01	22.1	387.02	12.09	96.01	99.43	329.84	149.12	190.34	2701.35	1397.83	0.0	0.21
PKHD1	0.35	1.51	0.0	0.0	0.0	0.0	0.0	3.82	0.0	0.0	6.36	0.37	2.76	0.0	0.0	105.15	44.57	1.91	11.13	13.03	54.72	58.3	75.64	73.03	21.16	95.34	88.88	2.66	140.04	50.63	59.55	16.63	143.01	16.03	115.16	0.39	8.58	19.97	105.89	14.03	33.78	6.11	90.14	65.26	106.63	9.2	27.25	59.55	76.71	38.67	0.74	107.38	16.63	46.18	74.58	90.14	87.03	211.31	409.15	273.37	0.0	0.0
PRKAA2	2.32	1.51	0.0	5.41	43.32	90.14	3.11	9.06	0.47	0.51	21.78	14.89	8.19	1.99	6.41	285.03	351.14	88.26	69.52	124.37	199.85	159.9	267.73	218.79	157.68	143.01	65.26	74.58	206.94	381.68	104.42	176.29	255.0	165.57	136.19	68.07	125.24	152.28	285.03	129.69	129.69	148.09	153.34	237.86	269.6	167.9	132.44	123.5	169.07	140.04	96.68	228.13	44.25	143.01	215.77	255.0	273.37	180.02	199.85	169.07	0.0	0.36
PTH2R	0.0	0.32	0.0	1.2	1.77	0.42	0.0	31.9	0.0	0.0	0.0	1.17	0.0	0.0	0.0	289.02	348.71	51.35	108.14	112.77	273.37	166.73	98.73	327.56	234.57	353.59	253.23	23.93	387.02	547.75	218.79	128.79	583.07	159.9	241.19	2.23	53.95	83.45	409.15	57.49	218.79	136.19	414.87	423.61	387.02	134.3	47.84	246.28	332.14	114.36	14.67	271.48	107.38	161.02	187.71	186.4	435.55	842.36	599.49	1059.11	0.0	0.0
RAB11FIP5	620.67	312.0	423.61	363.56	400.71	476.71	866.07	961.07	450.94	660.68	698.41	902.89	507.46	915.51	511.0	1397.83	1295.13	624.99	708.18	656.11	1304.15	688.78	1143.1	1508.65	1639.59	1467.37	921.88	518.15	1639.59	1066.48	866.07	884.29	1199.98	1030.12	1572.76	854.13	571.05	1467.37	1216.75	796.86	1030.12	748.61	1088.92	988.12	1233.75	854.13	981.29	718.08	1359.57	1225.22	764.36	1883.54	563.18	830.75	603.67	909.17	1081.39	1963.57	1233.75	1159.07	0.0	0.62
RAB21	571.05	460.44	723.08	981.29	947.83	842.36	866.07	995.0	743.43	638.15	1059.11	759.08	642.59	981.29	713.11	1359.57	1457.23	866.07	796.86	1191.69	1268.46	1286.18	1572.76	1594.73	1233.75	693.58	1037.29	791.35	1844.76	1870.53	1225.22	830.75	1437.15	1135.2	1233.75	759.08	1529.73	1030.12	1561.89	1216.75	802.41	825.0	1295.13	1685.71	1369.04	1151.06	1088.92	753.83	1208.34	1135.2	674.59	1259.69	934.76	1127.35	909.17	1295.13	2047.0	928.3	1259.69	1697.45	718.08	836.53
RAB3IP	307.69	417.77	281.09	325.29	265.87	108.14	61.25	271.48	134.3	138.1	214.27	384.34	195.72	231.32	214.27	660.68	1208.34	229.72	185.11	361.04	599.49	384.34	830.75	356.05	209.84	198.47	236.21	156.59	896.64	435.55	429.54	325.29	934.76	185.11	703.28	171.45	361.04	299.25	723.08	358.54	543.96	379.04	607.87	567.1	318.57	341.51	265.87	229.72	444.72	202.66	92.7	620.67	103.69	551.56	217.27	473.41	366.09	759.08	1832.01	1457.23	0.0	0.61
SLC13A1	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	249.73	17.51	0.75	18.97	0.78	18.16	1.57	21.78	8.65	2.2	0.38	2.53	0.0	120.94	84.04	79.45	1.85	169.07	1.97	124.37	0.0	0.4	0.79	85.22	1.66	7.22	0.38	69.52	212.78	34.26	42.41	16.63	1.38	91.41	27.25	0.0	193.01	0.79	2.25	5.15	74.58	65.72	86.43	5403.7	4419.52	0.0	0.0
SLC25A11	679.29	1225.22	1111.82	555.41	1073.91	1037.29	791.35	1183.45	1127.35	595.34	836.53	848.22	1208.34	1369.04	1175.27	2271.4	1540.37	1159.07	1340.84	1277.29	1304.15	1143.1	1030.12	1277.29	1583.71	1508.65	1268.46	954.43	1950.0	1250.98	1199.98	1175.27	1697.45	1417.35	1583.71	954.43	1175.27	1242.34	1662.49	1151.06	1628.26	1044.52	1794.29	1407.55	1794.29	1119.56	1331.57	1175.27	1685.71	1286.18	1427.22	2400.97	1487.87	1674.06	1088.92	1417.35	1183.45	2090.03	3146.52	3955.48	0.0	0.0
