	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8432.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KN.8435.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KN.8429.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.B2.3923.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1
CCDC132	339.14	202.66	249.73	185.11	358.54	264.03	305.55	195.72	463.65	426.57	423.61	363.56	412.0	403.5	301.33	239.52	351.14	234.57	412.0	275.28	361.04	341.51	258.57	258.57	336.79	293.07	295.11	438.59	153.34	503.95	185.11	866.07	214.27	122.64	212.78	122.64	163.28	220.32	137.14	120.94	88.88	102.25	117.6	47.84	95.34
CCNT1	114.36	134.3	234.57	134.3	186.4	209.84	148.09	104.42	285.03	164.42	231.32	177.53	209.84	228.13	183.82	158.79	181.28	201.25	303.44	154.42	299.25	128.79	92.7	153.34	217.27	105.15	325.29	287.01	127.0	341.51	43.94	397.93	120.94	48.18	76.17	69.52	90.77	76.71	59.97	62.56	54.72	55.89	56.68	38.67	49.91
CEP44	82.29	145.02	217.27	116.78	231.32	163.28	171.45	86.43	275.28	180.02	256.78	141.02	234.57	181.28	111.99	130.6	162.14	149.12	289.02	145.02	341.51	153.34	51.71	132.44	197.09	206.94	226.54	281.09	77.79	356.05	97.36	351.14	82.29	32.82	32.59	51.71	62.12	63.0	40.07	38.95	46.18	59.97	43.94	13.32	41.22
CNOT4	256.78	186.4	226.54	198.47	332.14	277.2	295.11	303.44	423.61	320.8	314.17	320.8	389.72	303.44	258.57	249.73	281.09	204.07	376.41	312.0	397.93	215.77	316.37	305.55	329.84	164.42	435.55	457.25	190.34	441.64	62.56	169.07	176.29	115.97	159.9	180.02	161.02	176.29	95.34	90.77	107.38	118.43	96.01	59.97	125.24
COBLL1	2417.67	738.29	848.22	599.49	1066.48	878.17	967.76	1896.65	2004.85	1242.34	1340.84	1073.91	1277.29	866.07	559.28	981.29	909.17	759.08	1427.22	1225.22	1242.34	4450.27	3168.41	848.22	954.43	583.07	1617.0	1540.37	283.05	2119.22	181.28	1498.22	476.71	629.35	981.29	624.99	450.94	454.09	540.19	202.66	234.57	236.21	239.52	503.95	316.37
DCAF16	239.52	316.37	363.56	384.34	607.87	447.82	363.56	151.22	651.58	536.45	603.67	450.94	587.13	587.13	426.57	353.59	466.88	305.55	813.63	435.55	1001.93	256.78	167.9	379.04	753.83	348.71	490.14	669.92	148.09	684.02	120.1	842.36	121.79	87.03	98.73	111.21	156.59	142.01	137.14	55.1	24.63	44.89	43.63	32.82	38.95
DENND4C	229.72	242.88	327.56	97.36	389.72	441.64	305.55	159.9	559.28	412.0	497.0	423.61	476.71	518.15	336.79	361.04	381.68	224.97	607.87	297.17	571.05	246.28	142.01	265.87	387.02	163.28	387.02	607.87	182.55	612.11	145.02	1135.2	212.78	193.01	206.94	163.28	145.02	161.02	138.1	60.82	41.81	74.58	68.07	69.03	90.77
ERBB2IP	612.11	460.44	896.64	287.01	703.28	693.58	796.86	444.72	988.12	802.41	1167.14	802.41	866.07	848.22	684.02	981.29	947.83	633.73	921.88	583.07	1208.34	559.28	476.71	591.22	591.22	246.28	733.19	1023.0	432.53	693.58	194.36	1427.22	551.56	353.59	444.72	417.77	316.37	291.04	194.36	177.53	163.28	175.07	181.28	89.51	387.02
ERCC6L2	158.79	244.57	376.41	90.14	476.71	366.09	403.5	82.29	563.18	543.96	629.35	441.64	587.13	624.99	194.36	358.54	381.68	199.85	830.75	379.04	718.08	289.02	202.66	307.69	536.45	199.85	500.46	723.08	183.82	842.36	49.56	1639.59	181.28	39.22	126.12	104.42	156.59	81.14	69.52	45.85	28.04	36.27	69.52	25.91	72.52
FAM63B	226.54	490.14	480.04	185.11	733.19	607.87	397.93	211.31	974.5	796.86	995.0	579.04	642.59	633.73	301.33	454.09	525.39	351.14	785.88	420.68	813.63	395.18	273.37	363.56	348.71	291.04	567.1	995.0	104.42	988.12	201.25	1096.5	93.35	46.18	47.17	76.71	105.89	95.34	47.17	19.25	16.27	20.26	23.93	7.34	67.12
FAN1	181.28	397.93	450.94	271.48	708.18	587.13	507.46	217.27	490.14	457.25	791.35	555.41	567.1	559.28	599.49	323.03	607.87	353.59	718.08	341.51	743.43	514.56	332.14	426.57	426.57	275.28	432.53	669.92	251.48	595.34	142.01	813.63	166.73	82.87	76.71	102.25	159.9	176.29	132.44	69.03	161.02	105.89	78.34	103.69	92.7
FSD1L	59.97	84.63	55.1	47.5	96.68	113.56	57.08	25.17	115.97	92.7	82.87	56.68	97.36	113.56	57.49	65.26	57.89	58.71	75.11	32.59	76.17	23.59	26.47	78.89	65.26	64.8	50.27	229.72	29.27	77.25	198.47	291.04	32.59	23.76	25.35	35.76	28.86	48.18	12.64	12.45	5.5	13.32	8.13	4.06	11.73
FXYD2	368165.8	225066.78	195931.88	223512.12	244588.0	327241.36	221968.2	397335.0	90146.51	163620.18	253213.41	290865.98	249727.34	159145.95	269512.87	301123.38	248002.34	284880.02	200048.85	246289.25	162489.97	520665.48	851707.37	292889.12	378516.38	520665.48	331809.5	170568.48	263966.36	131071.0	627822.72	197294.7	167058.21	102125.66	189257.69	93325.55	51417.5	133825.1	234624.45	11.04	0.0	3589.58	151.22	3901.01	593956.43
G2E3	55.1	72.01	85.22	48.52	120.94	115.97	91.41	45.85	175.07	98.04	105.15	107.38	130.6	129.69	73.03	82.29	84.04	74.58	165.57	61.25	142.01	113.56	43.32	67.59	143.01	63.0	137.14	206.94	47.84	224.97	45.21	299.25	67.59	25.91	44.57	35.5	42.71	39.5	16.63	36.53	28.45	28.65	33.06	13.93	39.5
GATAD1	389.72	813.63	860.08	656.11	954.43	884.29	775.05	532.74	934.76	878.17	954.43	759.08	884.29	921.88	819.3	603.67	934.76	995.0	1104.13	693.58	1066.48	387.02	500.46	902.89	947.83	493.56	748.61	954.43	497.0	1143.1	161.02	848.22	414.87	341.51	346.29	395.18	423.61	417.77	518.15	269.6	379.04	201.25	199.85	152.28	246.28
ING3	176.29	177.53	209.84	199.85	358.54	237.86	234.57	145.02	361.04	329.84	316.37	182.55	217.27	285.03	164.42	258.57	185.11	156.59	285.03	232.94	532.74	251.48	92.05	228.13	211.31	339.14	269.6	363.56	156.59	412.0	108.14	571.05	105.15	63.89	117.6	121.79	115.16	143.01	68.07	81.71	73.03	75.64	57.49	36.53	73.03
KIAA0947	264.03	123.5	281.09	136.19	358.54	277.2	305.55	150.17	361.04	291.04	361.04	323.03	414.87	387.02	287.01	269.6	341.51	214.27	260.38	291.04	444.72	361.04	316.37	248.0	199.85	109.66	381.68	454.09	153.34	267.73	92.05	599.49	221.86	102.97	132.44	90.77	101.54	130.6	78.34	51.35	85.82	62.12	50.63	29.7	55.89
KLHL9	332.14	297.17	444.72	137.14	450.94	379.04	358.54	208.38	808.0	490.14	688.78	511.0	591.22	703.28	400.71	444.72	567.1	323.03	551.56	343.89	764.36	312.0	249.73	327.56	616.37	348.71	583.07	738.29	279.14	842.36	218.79	860.08	334.46	194.36	256.78	187.71	202.66	221.86	161.02	65.72	46.18	71.0	98.04	86.43	139.07
KMT2A	113.56	122.64	187.71	182.55	218.79	232.94	161.02	84.63	307.69	231.32	234.57	223.41	285.03	218.79	150.17	137.14	220.32	151.22	287.01	190.34	329.84	205.5	205.5	128.79	165.57	44.57	158.79	229.72	97.36	334.46	12.45	209.84	186.4	80.01	90.14	73.54	67.59	120.1	65.26	44.57	48.87	36.79	45.53	38.67	27.64
KRIT1	356.05	395.18	486.75	403.5	684.02	493.56	490.14	387.02	974.5	595.34	599.49	525.39	656.11	748.61	525.39	387.02	547.75	466.88	802.41	476.71	860.08	348.71	381.68	476.71	587.13	420.68	599.49	651.58	435.55	775.05	146.03	1104.13	312.0	105.89	339.14	201.25	309.83	332.14	131.51	156.59	204.07	163.28	114.36	57.89	148.09
LMTK2	234.57	189.02	242.88	186.4	217.27	197.09	218.79	106.63	348.71	262.2	234.57	289.02	285.03	299.25	248.0	239.52	267.73	256.78	325.29	209.84	215.77	165.57	45.21	202.66	214.27	51.35	183.82	255.0	141.02	291.04	19.53	289.02	269.6	163.28	127.89	111.21	119.26	153.34	115.97	72.01	71.5	86.43	83.45	63.89	73.03
MED13L	212.78	293.07	480.04	299.25	417.77	400.71	287.01	181.28	540.19	384.34	379.04	341.51	412.0	373.81	285.03	275.28	297.17	400.71	429.54	287.01	435.55	248.0	104.42	229.72	264.03	85.22	323.03	426.57	198.47	547.75	21.01	583.07	208.38	120.1	127.89	145.02	127.0	162.14	81.14	60.82	58.71	67.12	43.63	49.91	130.6
MED14	271.48	281.09	348.71	232.94	325.29	373.81	316.37	208.38	514.56	379.04	441.64	429.54	414.87	493.56	318.57	314.17	353.59	356.05	473.41	457.25	532.74	314.17	172.65	346.29	507.46	163.28	368.65	536.45	218.79	490.14	81.71	314.17	287.01	177.53	229.72	157.68	339.14	212.78	163.28	116.78	151.22	111.21	92.7	129.69	124.37
MIER3	74.58	72.01	154.42	73.03	134.3	127.0	113.56	80.57	214.27	153.34	175.07	134.3	165.57	182.55	134.3	127.89	142.01	121.79	214.27	105.89	269.6	141.02	50.27	140.04	147.06	141.02	190.34	223.41	92.7	144.01	77.25	368.65	144.01	53.57	68.55	71.0	57.89	77.25	29.7	55.49	92.05	55.49	60.82	49.56	59.97
NFAT5	102.25	122.64	226.54	111.99	205.5	271.48	303.44	49.56	728.11	371.22	277.2	341.51	271.48	432.53	197.09	295.11	237.86	258.57	583.07	183.82	753.83	197.09	132.44	293.07	165.57	50.98	163.28	679.29	46.5	802.41	14.67	684.02	128.79	98.04	153.34	47.84	29.7	162.14	38.95	5.02	5.41	10.08	10.71	12.09	23.76
OTUD4	182.55	232.94	336.79	205.5	273.37	316.37	269.6	158.79	409.15	336.79	334.46	325.29	316.37	379.04	312.0	323.03	248.0	299.25	371.22	253.23	309.83	307.69	163.28	241.19	356.05	113.56	244.57	543.96	144.01	444.72	53.95	629.35	139.07	114.36	119.26	142.01	87.03	154.42	91.41	63.89	61.68	86.43	94.67	102.97	139.07
PAXIP1-AS2	182.55	127.0	199.85	116.78	281.09	234.57	177.53	135.24	265.87	236.21	264.03	244.57	356.05	264.03	122.64	121.79	144.01	136.19	373.81	167.9	366.09	141.02	316.37	143.01	204.07	101.54	193.01	417.77	90.14	285.03	22.59	299.25	113.56	45.53	62.56	55.89	68.07	81.71	27.84	71.5	45.85	27.05	59.13	16.51	22.92
PCMTD2	819.3	507.46	718.08	723.08	802.41	476.71	1388.16	389.72	2090.03	1295.13	1199.98	921.88	1059.11	1088.92	934.76	1111.82	1313.23	1477.58	1477.58	775.05	1819.35	909.17	476.71	1044.52	1340.84	780.44	748.61	1183.45	536.45	1745.2	295.11	1268.46	299.25	223.41	305.55	248.0	366.09	376.41	264.03	217.27	215.77	224.97	246.28	193.01	191.67
PDPR	297.17	212.78	295.11	251.48	417.77	332.14	217.27	77.79	555.41	206.94	447.82	301.33	320.8	267.73	134.3	132.44	297.17	231.32	414.87	127.89	334.46	224.97	169.07	165.57	248.0	35.76	265.87	361.04	139.07	423.61	26.28	195.72	193.01	232.94	285.03	149.12	88.26	187.71	87.65	23.59	21.94	39.79	30.78	34.51	36.79
PIAS1	312.0	220.32	334.46	205.5	397.93	361.04	325.29	353.59	656.11	559.28	490.14	457.25	536.45	503.95	297.17	429.54	336.79	275.28	656.11	409.15	713.11	256.78	145.02	295.11	540.19	164.42	348.71	909.17	255.0	555.41	113.56	738.29	293.07	167.9	187.71	173.85	142.01	166.73	125.24	77.79	138.1	82.29	108.9	106.63	145.02
PPIP5K1	329.84	356.05	457.25	389.72	587.13	579.04	532.74	236.21	995.0	684.02	571.05	595.34	633.73	490.14	463.65	376.41	486.75	490.14	651.58	490.14	764.36	237.86	80.57	529.06	287.01	129.69	414.87	733.19	176.29	612.11	106.63	921.88	264.03	275.28	212.78	142.01	120.1	231.32	139.07	64.34	58.3	114.36	100.83	57.08	82.87
PPP1R12A	356.05	271.48	258.57	220.32	387.02	303.44	320.8	217.27	500.46	366.09	366.09	406.31	387.02	466.88	297.17	265.87	379.04	248.0	567.1	265.87	529.06	256.78	244.57	323.03	426.57	175.07	287.01	551.56	241.19	525.39	94.67	974.5	246.28	85.82	164.42	208.38	185.11	186.4	86.43	87.65	84.63	75.11	91.41	30.34	115.97
PPP1R9A	101.54	82.87	123.5	128.79	127.0	142.01	127.89	57.89	231.32	177.53	156.59	187.71	158.79	193.01	102.25	138.1	154.42	90.77	124.37	116.78	277.2	148.09	34.02	124.37	88.26	46.84	114.36	277.2	120.94	209.84	20.71	616.37	80.57	34.02	79.45	52.82	65.26	100.83	55.1	1.08	1.46	0.66	7.22	1.69	9.2
RABGEF1	363.56	395.18	444.72	329.84	633.73	591.22	414.87	414.87	575.03	420.68	507.46	473.41	507.46	435.55	336.79	514.56	500.46	336.79	674.59	420.68	480.04	830.75	656.11	371.22	551.56	480.04	587.13	620.67	371.22	607.87	258.57	620.67	297.17	265.87	234.57	297.17	409.15	277.2	182.55	155.5	314.17	132.44	143.01	185.11	217.27
RALGPS2	88.88	142.01	159.9	102.25	221.86	89.51	73.54	70.01	293.07	334.46	228.13	167.9	183.82	209.84	87.03	115.97	201.25	147.06	195.72	126.12	265.87	115.16	107.38	103.69	204.07	88.88	172.65	356.05	81.14	297.17	62.56	466.88	66.65	41.22	47.84	49.91	57.89	57.89	26.67	79.45	68.07	76.17	76.17	60.82	141.02
RBL2	540.19	718.08	860.08	563.18	1304.15	974.5	1023.0	373.81	1870.53	1487.87	1397.83	1096.5	1340.84	1757.34	915.51	1037.29	1015.93	753.83	1794.29	947.83	1832.01	1151.06	629.35	860.08	1721.16	575.03	1051.79	2032.85	444.72	2163.77	205.5	2163.77	503.95	555.41	616.37	395.18	295.11	514.56	291.04	336.79	173.85	267.73	208.38	249.73	162.14
RP11-287D1.3	3.08	2.25	3.79	1.13	7.63	11.64	6.36	6.62	9.78	2.81	0.78	10.31	4.06	5.11	4.74	3.53	5.15	5.15	4.82	4.28	11.47	3.29	2.41	4.35	4.58	0.0	6.67	5.06	0.71	8.32	0.39	15.56	0.0	0.0	0.42	0.0	0.41	1.31	0.0	0.0	0.82	0.0	0.0	0.52	0.28
SCAF11	595.34	638.15	723.08	529.06	967.76	928.3	764.36	460.44	1313.23	802.41	921.88	872.1	995.0	1151.06	599.49	651.58	941.27	591.22	1175.27	693.58	1225.22	665.29	514.56	693.58	728.11	341.51	1015.93	1447.15	536.45	1519.15	329.84	2133.97	599.49	162.14	287.01	450.94	420.68	395.18	172.65	241.19	318.57	287.01	289.02	117.6	395.18
SENP1	76.71	102.25	111.21	87.65	115.97	84.04	130.6	81.14	151.22	103.69	117.6	131.51	149.12	143.01	90.14	106.63	98.73	110.43	175.07	84.63	164.42	103.69	91.41	79.45	120.94	88.88	112.77	162.14	78.34	145.02	41.81	205.5	82.29	44.57	48.18	44.89	64.8	68.55	47.17	41.81	42.41	27.25	30.12	22.59	51.35
SLX4IP	43.32	14.56	23.08	25.54	43.63	27.05	22.26	14.45	58.3	53.57	43.32	31.67	39.79	45.85	16.03	19.68	25.35	8.71	71.5	17.77	66.18	26.86	68.07	24.28	39.22	22.43	31.45	64.34	13.62	101.54	10.24	134.3	10.08	3.44	13.52	12.45	9.27	10.0	6.26	13.22	4.62	6.41	12.0	10.63	2.36
SMARCAD1	224.97	141.02	199.85	133.36	241.19	163.28	195.72	133.36	287.01	277.2	295.11	209.84	251.48	255.0	209.84	202.66	237.86	191.67	283.05	123.5	320.8	242.88	100.13	152.28	228.13	167.9	176.29	329.84	172.65	341.51	82.87	463.65	197.09	82.29	186.4	127.89	157.68	112.77	83.45	37.85	47.17	36.27	67.12	34.26	73.03
SMARCC2	656.11	563.18	599.49	743.43	796.86	713.11	819.3	521.76	1119.56	733.19	733.19	791.35	947.83	713.11	780.44	620.67	684.02	603.67	954.43	769.69	961.07	620.67	420.68	624.99	791.35	244.57	599.49	1030.12	595.34	1015.93	64.8	603.67	759.08	507.46	463.65	400.71	414.87	674.59	351.14	195.72	136.19	171.45	204.07	275.28	231.32
SPOPL	132.44	161.02	181.28	95.34	246.28	309.83	194.36	80.01	366.09	271.48	279.14	279.14	260.38	351.14	199.85	279.14	232.94	124.37	511.0	152.28	329.84	161.02	285.03	123.5	246.28	144.01	189.02	536.45	108.9	327.56	107.38	607.87	166.73	85.82	99.43	103.69	94.67	111.21	55.89	96.01	49.56	70.51	63.89	50.63	133.36
TJP2	791.35	872.1	733.19	447.82	1369.04	1143.1	974.5	400.71	1923.14	1594.73	1233.75	1583.71	1519.15	1628.26	1111.82	1322.37	1697.45	1183.45	1487.87	848.22	1896.65	412.0	775.05	860.08	1304.15	223.41	1073.91	1551.09	466.88	1508.65	281.09	1709.26	915.51	698.41	669.92	591.22	220.32	785.88	665.29	299.25	198.47	409.15	483.38	595.34	307.69
TWISTNB	138.1	202.66	226.54	155.5	232.94	170.25	209.84	115.97	325.29	228.13	242.88	172.65	287.01	231.32	182.55	206.94	193.01	167.9	229.72	172.65	307.69	152.28	132.44	187.71	224.97	339.14	291.04	271.48	105.89	320.8	102.25	334.46	115.16	79.45	98.04	87.65	115.97	130.6	79.45	101.54	96.68	49.56	59.13	34.75	96.01
UBE3A	607.87	575.03	591.22	368.65	708.18	669.92	555.41	389.72	842.36	698.41	723.08	603.67	769.69	769.69	547.75	567.1	599.49	525.39	947.83	540.19	872.1	660.68	384.34	490.14	808.0	441.64	651.58	902.89	379.04	1037.29	265.87	1119.56	521.76	232.94	223.41	368.65	368.65	351.14	277.2	187.71	255.0	249.73	251.48	134.3	231.32
UBE4A	287.01	239.52	264.03	167.9	441.64	384.34	291.04	147.06	511.0	406.31	503.95	358.54	373.81	555.41	155.5	262.2	447.82	237.86	656.11	255.0	514.56	320.8	101.54	264.03	329.84	133.36	384.34	718.08	163.28	507.46	91.41	780.44	269.6	135.24	190.34	138.1	149.12	149.12	75.64	141.02	143.01	122.64	84.04	163.28	241.19
VPS41	381.68	447.82	543.96	258.57	665.29	563.18	473.41	277.2	1066.48	738.29	647.07	796.86	629.35	860.08	486.75	540.19	441.64	384.34	1167.14	366.09	836.53	1104.13	684.02	323.03	713.11	426.57	665.29	1135.2	400.71	728.11	181.28	1304.15	376.41	297.17	511.0	285.03	559.28	281.09	438.59	189.02	229.72	265.87	133.36	201.25	241.19
WASL	603.67	764.36	830.75	583.07	785.88	665.29	693.58	511.0	1295.13	902.89	884.29	813.63	1001.93	1208.34	551.56	796.86	713.11	656.11	981.29	872.1	1066.48	890.44	1407.55	872.1	1304.15	974.5	1008.9	1457.23	612.11	1151.06	848.22	547.75	684.02	429.54	616.37	591.22	450.94	633.73	483.38	423.61	486.75	323.03	368.65	258.57	318.57
ZNF112	55.1	50.27	73.03	44.25	90.14	64.8	63.45	83.45	129.69	85.22	90.77	61.25	96.68	70.01	64.34	57.08	53.57	49.91	85.82	50.63	118.43	47.5	28.04	63.89	63.45	17.0	76.71	102.25	37.05	100.13	17.38	150.17	31.67	10.47	32.82	27.44	37.32	42.71	21.94	4.9	1.45	5.32	9.56	3.96	14.03
ZNF136	96.01	132.44	143.01	94.67	209.84	164.42	127.0	82.29	223.41	159.9	224.97	142.01	249.73	197.09	164.42	151.22	141.02	97.36	258.57	123.5	264.03	171.45	135.24	132.44	191.67	127.89	226.54	220.32	102.97	327.56	53.19	429.54	55.89	40.07	59.13	62.56	68.55	51.71	43.02	22.26	19.11	14.14	18.56	18.16	36.79
ZNF347	51.35	44.25	46.18	55.1	69.52	77.79	66.18	28.86	122.64	86.43	71.5	82.29	103.69	74.06	68.07	64.8	62.12	54.33	87.65	49.56	120.1	57.89	39.22	58.3	103.69	50.27	76.17	95.34	48.18	141.02	11.55	198.47	25.35	13.93	20.86	20.71	32.82	28.24	24.28	5.45	3.69	2.07	5.5	4.1	13.32
ZNF41	92.05	101.54	158.79	117.6	150.17	142.01	105.15	82.29	198.47	159.9	228.13	145.02	215.77	152.28	111.21	126.12	140.04	145.02	201.25	127.89	205.5	97.36	57.89	137.14	170.25	53.95	173.85	237.86	74.06	217.27	28.45	251.48	70.51	32.59	72.01	39.79	48.18	55.1	23.42	19.25	20.86	14.35	18.56	13.52	54.33
