	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.ZF29.2026.SM.4WWB7	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.RNOR.0926.SM.2TF56	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
CDC16	728.11	511.0	441.64	684.02	612.11	511.0	708.18	460.44	0.0	961.07	1225.22	1119.56	1378.57	1059.11	1225.22	1225.22	1127.35	974.5	1030.12	961.07	1119.56	1322.37	1322.37	1151.06	1259.69	1104.13	1001.93	1096.5	1350.18	1015.93	974.5	1340.84
CEP164	96.01	65.72	60.82	50.98	76.17	82.87	65.72	32.36	183.82	307.69	403.5	346.29	466.88	381.68	320.8	379.04	420.68	384.34	343.89	373.81	232.94	591.22	346.29	260.38	373.81	371.22	195.72	334.46	559.28	253.23	251.48	460.44
CUL9	351.14	329.84	231.32	212.78	316.37	363.56	234.57	99.43	0.0	555.41	909.17	483.38	1066.48	679.29	813.63	802.41	1001.93	909.17	808.0	909.17	599.49	961.07	954.43	780.44	769.69	571.05	743.43	713.11	1378.57	753.83	723.08	1023.0
DMXL2	178.77	93.35	66.65	65.72	152.28	142.01	90.14	49.21	0.0	224.97	269.6	178.77	403.5	224.97	412.0	307.69	486.75	417.77	199.85	435.55	231.32	460.44	480.04	412.0	275.28	214.27	260.38	307.69	660.68	316.37	307.69	379.04
DNM3	8.71	4.82	2.68	5.5	6.26	5.82	4.13	9.85	0.0	26.28	59.97	26.47	97.36	43.63	78.89	62.12	80.01	39.5	43.32	68.07	58.71	71.0	85.22	79.45	50.27	49.56	66.18	40.64	135.24	58.71	43.32	50.63
DPH7	209.84	135.24	111.21	150.17	156.59	204.07	94.67	103.69	0.0	397.93	454.09	483.38	890.44	400.71	511.0	486.75	825.0	769.69	555.41	563.18	400.71	836.53	660.68	373.81	392.44	406.31	358.54	441.64	1059.11	423.61	599.49	836.53
DRAM2	466.88	620.67	633.73	409.15	435.55	536.45	629.35	651.58	0.0	660.68	688.78	669.92	961.07	647.07	808.0	802.41	1015.93	974.5	961.07	878.17	791.35	1498.22	1096.5	890.44	743.43	769.69	723.08	748.61	988.12	638.15	961.07	1023.0
DTWD1	214.27	191.67	105.15	195.72	195.72	209.84	217.27	127.89	0.0	473.41	500.46	543.96	743.43	547.75	769.69	629.35	688.78	679.29	698.41	748.61	642.59	954.43	808.0	587.13	480.04	447.82	486.75	547.75	753.83	525.39	624.99	575.03
DUSP28	67.59	71.0	36.79	38.12	66.18	53.95	34.51	67.59	0.0	143.01	143.01	129.69	237.86	78.34	159.9	140.04	165.57	158.79	163.28	182.55	125.24	191.67	193.01	171.45	116.78	98.73	148.09	130.6	176.29	105.15	129.69	193.01
ELMOD3	181.28	175.07	148.09	153.34	202.66	223.41	110.43	130.6	0.0	325.29	470.14	318.57	633.73	403.5	518.15	536.45	595.34	540.19	555.41	497.0	307.69	575.03	698.41	373.81	412.0	316.37	301.33	470.14	603.67	432.53	540.19	595.34
ENDOV	215.77	269.6	389.72	204.07	226.54	312.0	205.5	177.53	0.0	497.0	514.56	595.34	718.08	389.72	444.72	507.46	660.68	607.87	466.88	587.13	356.05	629.35	563.18	497.0	432.53	470.14	599.49	426.57	753.83	420.68	395.18	532.74
FAM200A	45.85	40.07	12.64	32.13	31.67	44.89	16.63	34.02	0.0	147.06	106.63	77.25	185.11	111.21	148.09	140.04	178.77	137.14	198.47	151.22	128.79	198.47	231.32	141.02	126.12	120.94	105.15	152.28	199.85	120.1	159.9	187.71
FANCL	289.02	273.37	104.42	157.68	334.46	239.52	105.89	162.14	0.0	358.54	339.14	412.0	607.87	341.51	511.0	392.44	454.09	555.41	441.64	503.95	384.34	603.67	642.59	518.15	400.71	316.37	384.34	420.68	769.69	373.81	486.75	559.28
FHOD3	27.05	6.06	12.36	16.27	23.08	18.84	7.06	1.73	0.0	67.59	58.3	187.71	221.86	73.03	212.78	144.01	198.47	90.14	123.5	178.77	102.25	171.45	183.82	94.01	88.88	106.63	109.66	50.98	273.37	111.99	72.01	242.88
FNTA	733.19	559.28	293.07	718.08	759.08	651.58	486.75	264.03	0.0	928.3	934.76	1015.93	1277.29	764.36	1111.82	974.5	1242.34	1322.37	1233.75	1199.98	954.43	1233.75	1605.83	1104.13	988.12	1175.27	995.0	1008.9	1540.37	872.1	1216.75	1216.75
GPATCH1	73.03	63.89	51.35	44.25	77.79	49.56	50.63	35.76	0.0	155.5	152.28	159.9	187.71	149.12	173.85	178.77	172.65	128.79	147.06	141.02	107.38	176.29	148.09	130.6	139.07	150.17	116.78	157.68	271.48	170.25	102.97	212.78
HKR1	237.86	180.02	105.15	121.79	144.01	193.01	94.67	132.44	0.0	890.44	1001.93	1159.07	1268.46	854.13	954.43	884.29	1167.14	1143.1	1104.13	934.76	693.58	1397.83	1051.79	928.3	954.43	780.44	961.07	1015.93	1467.37	995.0	842.36	1286.18
INTS8	208.38	159.9	98.73	144.01	178.77	205.5	85.82	96.01	0.0	376.41	483.38	420.68	713.11	429.54	406.31	587.13	507.46	389.72	587.13	420.68	473.41	802.41	511.0	503.95	599.49	423.61	429.54	480.04	723.08	454.09	476.71	775.05
KCTD6	117.6	130.6	89.51	236.21	191.67	126.12	71.5	33.54	0.0	264.03	256.78	166.73	336.79	214.27	295.11	256.78	303.44	395.18	253.23	289.02	223.41	397.93	381.68	299.25	221.86	251.48	295.11	334.46	400.71	262.2	351.14	343.89
KIAA1009	47.5	25.17	3.41	18.84	26.47	26.47	23.93	18.7	0.0	102.97	128.79	85.22	231.32	102.25	175.07	145.02	201.25	148.09	167.9	149.12	107.38	221.86	226.54	145.02	129.69	138.1	129.69	155.5	334.46	106.63	186.4	189.02
KLHDC9	131.51	180.02	123.5	71.5	122.64	167.9	60.39	201.25	0.0	373.81	518.15	341.51	941.27	376.41	769.69	567.1	947.83	934.76	713.11	848.22	547.75	961.07	1015.93	629.35	470.14	412.0	457.25	514.56	1044.52	438.59	642.59	947.83
LETMD1	813.63	769.69	808.0	733.19	579.04	733.19	381.68	575.03	878.17	1359.57	1540.37	1685.71	2335.28	1397.83	1721.16	1617.0	2591.27	2451.44	1583.71	2090.03	1143.1	3018.3	2209.26	1191.69	1304.15	1561.89	1015.93	1674.06	2163.77	1295.13	1977.24	2193.99
LRRC27	52.08	52.45	111.21	84.04	102.97	119.26	94.01	70.01	0.0	285.03	341.51	454.09	444.72	307.69	334.46	363.56	325.29	332.14	371.22	397.93	351.14	476.71	447.82	353.59	384.34	361.04	387.02	363.56	438.59	305.55	320.8	444.72
MAX	525.39	426.57	466.88	518.15	529.06	507.46	351.14	387.02	0.0	1242.34	1023.0	1199.98	1304.15	1111.82	1073.91	1259.69	1286.18	1457.23	1388.16	1051.79	1208.34	1350.18	1572.76	1104.13	1104.13	1277.29	1001.93	1286.18	1572.76	1295.13	1331.57	1233.75
METTL16	137.14	180.02	101.54	127.89	221.86	139.07	101.54	64.34	199.85	409.15	406.31	536.45	543.96	371.22	507.46	460.44	460.44	470.14	518.15	647.07	373.81	532.74	450.94	470.14	351.14	555.41	791.35	497.0	642.59	343.89	486.75	525.39
MSS51	7.06	8.92	2.92	8.51	4.82	2.39	1.16	0.95	0.0	14.35	15.8	4.86	14.14	13.12	16.63	16.51	13.42	8.51	23.42	10.16	10.24	20.56	19.68	18.84	10.47	10.63	11.91	16.88	58.71	10.08	18.29	25.54
MTHFSD	134.3	104.42	127.0	87.65	93.35	115.97	119.26	52.08	0.0	303.44	320.8	242.88	318.57	316.37	400.71	339.14	307.69	303.44	366.09	279.14	277.2	438.59	246.28	283.05	299.25	320.8	208.38	293.07	444.72	339.14	205.5	361.04
MTRF1	140.04	142.01	67.12	76.71	129.69	108.14	82.29	79.45	0.0	140.04	172.65	111.99	198.47	119.26	144.01	163.28	195.72	171.45	172.65	164.42	126.12	229.72	229.72	191.67	169.07	140.04	156.59	163.28	258.57	193.01	131.51	189.02
MUTYH	190.34	190.34	165.57	130.6	171.45	176.29	146.03	71.5	0.0	470.14	529.06	426.57	728.11	507.46	567.1	454.09	579.04	703.28	620.67	432.53	389.72	688.78	532.74	595.34	450.94	426.57	423.61	389.72	890.44	444.72	447.82	733.19
N6AMT1	77.25	45.21	61.25	53.19	63.45	60.82	33.3	29.06	0.0	127.89	152.28	148.09	232.94	117.6	176.29	158.79	223.41	173.85	163.28	201.25	121.79	242.88	183.82	152.28	158.79	105.15	118.43	130.6	237.86	158.79	157.68	234.57
NAE1	518.15	332.14	237.86	287.01	447.82	363.56	432.53	175.07	0.0	616.37	703.28	808.0	981.29	559.28	941.27	775.05	753.83	890.44	660.68	791.35	759.08	836.53	934.76	830.75	633.73	791.35	703.28	698.41	1066.48	769.69	921.88	902.89
NME9	0.0	1.04	2.2	0.0	3.06	1.11	3.17	1.41	0.0	16.88	42.71	31.0	52.82	37.85	64.34	46.5	31.45	81.14	43.94	57.08	36.53	62.12	125.24	41.81	54.33	37.85	39.22	40.93	84.04	67.59	36.27	50.27
NVL	150.17	101.54	104.42	137.14	130.6	127.89	80.01	45.85	0.0	287.01	361.04	201.25	395.18	228.13	343.89	316.37	392.44	368.65	334.46	379.04	293.07	470.14	412.0	303.44	283.05	287.01	346.29	323.03	529.06	295.11	332.14	371.22
OARD1	616.37	638.15	638.15	633.73	698.41	665.29	633.73	497.0	0.0	896.64	854.13	647.07	1268.46	769.69	1001.93	1037.29	1268.46	974.5	1088.92	1119.56	915.51	1199.98	1407.55	947.83	1001.93	981.29	698.41	1023.0	1088.92	854.13	1143.1	1277.29
PAAF1	228.13	316.37	371.22	228.13	279.14	305.55	205.5	343.89	0.0	420.68	379.04	624.99	563.18	460.44	490.14	507.46	514.56	579.04	500.46	518.15	273.37	753.83	547.75	432.53	503.95	486.75	423.61	500.46	543.96	429.54	441.64	563.18
PALB2	47.5	64.34	57.08	92.7	100.83	106.63	85.22	59.55	0.0	116.78	123.5	115.97	117.6	100.83	141.02	181.28	181.28	159.9	140.04	169.07	140.04	166.73	169.07	180.02	127.0	109.66	198.47	145.02	165.57	161.02	149.12	142.01
PCID2	400.71	400.71	309.83	336.79	318.57	334.46	217.27	205.5	0.0	647.07	764.36	743.43	872.1	629.35	679.29	708.18	728.11	848.22	775.05	599.49	738.29	733.19	902.89	860.08	728.11	684.02	723.08	660.68	1015.93	802.41	703.28	842.36
PCMTD2	438.59	325.29	193.01	281.09	447.82	299.25	241.19	215.77	447.82	466.88	629.35	358.54	872.1	532.74	684.02	651.58	842.36	718.08	872.1	674.59	579.04	1001.93	830.75	579.04	665.29	493.56	384.34	642.59	802.41	629.35	612.11	802.41
PIP4K2B	154.42	149.12	148.09	117.6	146.03	141.02	129.69	67.59	0.0	466.88	587.13	409.15	674.59	476.71	563.18	476.71	638.15	493.56	669.92	575.03	466.88	802.41	713.11	493.56	525.39	555.41	376.41	438.59	679.29	551.56	426.57	728.11
POLD1	214.27	209.84	285.03	158.79	147.06	246.28	217.27	100.83	0.0	283.05	366.09	381.68	356.05	301.33	334.46	318.57	486.75	493.56	438.59	438.59	325.29	353.59	417.77	476.71	279.14	423.61	480.04	295.11	497.0	334.46	547.75	460.44
PPIL3	450.94	205.5	154.42	189.02	500.46	384.34	195.72	295.11	0.0	587.13	583.07	507.46	1151.06	764.36	842.36	708.18	497.0	780.44	551.56	674.59	473.41	1037.29	1359.57	612.11	603.67	269.6	457.25	518.15	1119.56	470.14	738.29	921.88
PPOX	234.57	229.72	201.25	148.09	244.57	236.21	162.14	163.28	0.0	441.64	476.71	486.75	854.13	366.09	612.11	507.46	738.29	842.36	457.25	579.04	358.54	866.07	941.27	521.76	435.55	457.25	470.14	521.76	1127.35	454.09	612.11	791.35
PPP1R3E	126.12	157.68	105.89	66.65	142.01	140.04	52.08	147.06	0.0	229.72	511.0	348.71	1066.48	299.25	503.95	426.57	872.1	1044.52	543.96	633.73	241.19	1119.56	660.68	432.53	327.56	353.59	361.04	392.44	1151.06	299.25	559.28	860.08
PRR14	351.14	420.68	403.5	480.04	518.15	450.94	236.21	279.14	0.0	728.11	836.53	633.73	866.07	642.59	753.83	733.19	836.53	775.05	890.44	679.29	607.87	872.1	813.63	974.5	723.08	620.67	802.41	780.44	1135.2	607.87	928.3	1037.29
RBM48	106.63	97.36	54.72	107.38	73.03	85.22	65.72	56.28	0.0	209.84	223.41	208.38	277.2	173.85	236.21	249.73	279.14	223.41	323.03	217.27	249.73	291.04	341.51	253.23	287.01	215.77	206.94	242.88	255.0	221.86	173.85	262.2
RP11-166B2.1	40.07	21.47	6.11	21.47	38.95	12.55	27.64	4.5	0.0	163.28	176.29	244.57	414.87	108.9	181.28	53.57	104.42	463.65	212.78	334.46	61.68	351.14	172.65	58.71	137.14	97.36	111.99	202.66	1216.75	98.04	212.78	258.57
RRNAD1	555.41	684.02	775.05	543.96	518.15	612.11	373.81	555.41	0.0	813.63	1233.75	1023.0	1313.23	915.51	1159.07	1059.11	1304.15	1467.37	1268.46	1119.56	902.89	1529.73	1167.14	1250.98	791.35	1286.18	1001.93	909.17	1832.01	934.76	1119.56	1286.18
S100PBP	77.25	69.03	30.78	83.45	91.41	81.71	35.0	65.26	0.0	260.38	295.11	289.02	480.04	248.0	258.57	275.28	346.29	325.29	332.14	303.44	205.5	480.04	420.68	305.55	241.19	295.11	172.65	318.57	521.76	204.07	301.33	406.31
SETD4	90.14	78.89	105.15	87.65	92.7	107.38	59.97	37.59	0.0	295.11	426.57	356.05	500.46	376.41	356.05	332.14	363.56	412.0	368.65	314.17	258.57	571.05	547.75	336.79	373.81	348.71	275.28	323.03	543.96	366.09	363.56	470.14
SLC25A21-AS1	10.16	9.78	7.69	9.48	7.88	8.06	10.31	3.0	0.0	87.03	85.22	139.07	172.65	73.03	158.79	133.36	170.25	167.9	122.64	138.1	90.77	232.94	197.09	94.01	69.03	151.22	104.42	120.1	182.55	85.82	181.28	178.77
SLC35E2B	185.11	194.36	109.66	86.43	129.69	149.12	154.42	95.34	0.0	463.65	764.36	587.13	733.19	490.14	532.74	674.59	647.07	543.96	764.36	665.29	447.82	836.53	780.44	599.49	638.15	450.94	420.68	693.58	921.88	599.49	718.08	769.69
STAMBP	400.71	336.79	246.28	267.73	373.81	366.09	392.44	264.03	0.0	579.04	575.03	395.18	656.11	480.04	583.07	591.22	647.07	591.22	688.78	638.15	503.95	718.08	802.41	620.67	587.13	567.1	525.39	583.07	656.11	518.15	595.34	607.87
SUPT7L	332.14	299.25	281.09	277.2	301.33	277.2	246.28	164.42	0.0	620.67	591.22	483.38	759.08	579.04	599.49	607.87	616.37	718.08	633.73	583.07	567.1	698.41	674.59	624.99	642.59	490.14	536.45	571.05	928.3	651.58	679.29	647.07
TBCK	175.07	120.1	107.38	94.67	144.01	145.02	59.55	64.34	0.0	283.05	341.51	277.2	540.19	305.55	420.68	363.56	406.31	371.22	429.54	366.09	287.01	486.75	493.56	384.34	332.14	318.57	251.48	379.04	567.1	341.51	373.81	409.15
TG	13.62	21.32	197.09	10.31	16.51	22.59	16.75	5.45	0.0	2247670.86	2126426.15	2111737.85	1622738.51	1997825.68	1984025.69	1997825.68	1984025.69	2986448.72	2025714.3	2425749.94	1929772.37	1034138.94	1589343.01	2636147.11	2263304.65	2111737.85	3178687.03	3886391.01	789181.81	2263304.65	2672946.37	1864037.21
THEM4	195.72	241.19	138.1	155.5	220.32	169.07	147.06	101.54	255.0	339.14	476.71	329.84	633.73	329.84	444.72	356.05	571.05	583.07	511.0	480.04	351.14	647.07	603.67	476.71	447.82	363.56	323.03	361.04	620.67	387.02	460.44	583.07
TMEM128	336.79	356.05	305.55	232.94	273.37	312.0	320.8	214.27	0.0	974.5	941.27	743.43	934.76	679.29	961.07	981.29	1135.2	974.5	802.41	1216.75	961.07	1037.29	1388.16	988.12	708.18	1151.06	848.22	1015.93	988.12	830.75	1051.79	1073.91
TMEM260	130.6	108.14	57.49	85.82	110.43	94.67	48.52	62.56	0.0	181.28	197.09	167.9	271.48	185.11	246.28	236.21	281.09	220.32	271.48	273.37	166.73	314.17	283.05	189.02	202.66	194.36	162.14	212.78	305.55	214.27	221.86	260.38
TPK1	71.0	37.05	60.39	53.57	72.01	61.68	78.34	58.71	0.0	84.04	81.14	63.0	155.5	104.42	93.35	104.42	115.97	117.6	87.65	99.43	110.43	93.35	127.0	72.01	92.05	106.63	122.64	67.59	185.11	105.15	97.36	113.56
TTC18	45.53	33.78	13.32	20.26	37.05	33.3	4.94	18.03	0.0	106.63	73.03	327.56	607.87	55.89	242.88	206.94	500.46	356.05	170.25	395.18	43.02	473.41	392.44	197.09	48.18	105.89	103.69	139.07	860.08	153.34	180.02	426.57
TTC21A	47.5	24.99	17.77	21.78	39.5	25.17	17.0	7.46	0.0	133.36	231.32	132.44	190.34	114.36	212.78	169.07	173.85	195.72	159.9	147.06	107.38	320.8	273.37	140.04	99.43	124.37	122.64	211.31	368.65	152.28	116.78	279.14
VEGFC	33.3	16.75	34.02	45.53	81.14	64.8	23.42	57.08	0.0	819.3	688.78	651.58	1286.18	854.13	1096.5	848.22	1001.93	1015.93	1111.82	988.12	961.07	1023.0	1369.04	819.3	743.43	988.12	934.76	1073.91	947.83	848.22	819.3	1119.56
XRCC1	246.28	150.17	277.2	194.36	177.53	204.07	236.21	246.28	0.0	674.59	748.61	1030.12	796.86	723.08	860.08	718.08	1104.13	1096.5	947.83	928.3	703.28	1096.5	842.36	660.68	708.18	860.08	775.05	785.88	759.08	728.11	836.53	928.3
ZFP2	9.7	9.78	1.41	10.16	8.19	4.1	3.47	3.89	0.0	45.85	61.25	32.13	110.43	43.94	68.55	49.21	103.69	80.57	76.71	103.69	43.63	147.06	106.63	59.97	47.17	61.68	55.1	66.65	139.07	55.1	62.56	107.38
ZFP82	12.55	3.38	6.11	6.57	8.85	10.55	1.13	2.1	0.0	105.15	110.43	83.45	121.79	58.3	111.99	80.01	136.19	94.67	122.64	102.25	89.51	142.01	181.28	135.24	107.38	108.14	97.36	94.67	140.04	104.42	94.01	158.79
ZNF334	37.05	21.47	6.94	21.63	35.0	19.97	5.06	4.66	0.0	152.28	223.41	124.37	400.71	115.16	218.79	177.53	329.84	460.44	146.03	253.23	115.97	450.94	348.71	162.14	170.25	127.89	102.25	126.12	575.03	151.22	187.71	269.6
ZNF365	1.16	0.0	0.49	0.0	0.56	0.0	1.36	0.0	0.0	3.53	3.14	8.32	10.88	5.87	24.63	11.47	12.83	6.67	7.82	15.0	10.79	17.51	4.21	44.57	6.52	11.91	7.51	8.06	17.51	12.0	4.13	12.0
ZNF410	466.88	460.44	218.79	555.41	463.65	426.57	397.93	444.72	0.0	624.99	587.13	647.07	854.13	656.11	753.83	674.59	698.41	769.69	723.08	775.05	693.58	974.5	967.76	642.59	587.13	738.29	728.11	612.11	819.3	656.11	785.88	764.36
ZNF439	13.03	2.34	2.86	4.28	6.94	12.0	4.28	3.5	0.0	161.02	172.65	102.97	223.41	102.97	166.73	148.09	129.69	118.43	146.03	159.9	135.24	181.28	178.77	206.94	155.5	127.89	166.73	157.68	195.72	183.82	127.0	187.71
ZNF446	134.3	92.05	84.04	152.28	96.68	133.36	84.04	63.0	0.0	307.69	318.57	323.03	329.84	293.07	341.51	339.14	351.14	320.8	316.37	363.56	336.79	400.71	368.65	309.83	279.14	366.09	397.93	327.56	363.56	305.55	351.14	450.94
ZNF491	12.64	7.0	13.62	3.47	4.9	12.27	6.94	7.28	0.0	44.25	25.54	17.77	56.28	37.32	41.22	30.34	24.28	29.06	28.04	24.28	22.92	35.25	47.5	29.06	22.59	20.56	31.22	26.47	49.21	30.34	19.82	38.4
ZNF500	59.97	65.26	48.52	43.02	45.21	69.03	47.5	30.34	0.0	163.28	195.72	221.86	218.79	165.57	202.66	185.11	273.37	169.07	248.0	255.0	193.01	305.55	303.44	169.07	178.77	206.94	195.72	190.34	273.37	177.53	170.25	249.73
ZNF517	59.13	89.51	43.32	57.49	80.01	44.89	39.22	36.79	0.0	177.53	173.85	187.71	283.05	175.07	281.09	186.4	303.44	221.86	265.87	264.03	175.07	329.84	281.09	223.41	144.01	246.28	198.47	186.4	336.79	159.9	253.23	287.01
ZNF681	2.94	0.58	0.56	0.6	1.14	1.16	0.02	0.73	0.0	24.81	23.93	14.78	31.0	14.45	18.29	21.32	29.7	22.59	36.79	17.0	14.24	43.63	45.53	24.28	32.36	28.45	19.82	23.42	56.68	20.86	22.1	24.11
