	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A3.3362.01A.02R.1325.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.B4.5844.01A.11R.1672.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.6028.01A.11R.1672.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.B8.5549.01A.01R.1541.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.B8.5552.11A.01R.1672.07
CCDC61	136.19	191.67	151.22	150.17	156.59	249.73	336.79	92.7	150.17	70.51	157.68	100.83	164.42	232.94	241.19	162.14	281.09	171.45	98.04	195.72	217.27	209.84	89.51	165.57	295.11	264.03	249.73	211.31	170.25	140.04	206.94	169.07	161.02	147.06	253.23	281.09	135.24	161.02	176.29	279.14	249.73	123.5
CCDC84	356.05	518.15	139.07	155.5	525.39	624.99	693.58	75.11	185.11	75.64	253.23	129.69	107.38	1286.18	1304.15	99.43	426.57	152.28	130.6	1183.45	583.07	500.46	38.12	420.68	698.41	1378.57	1322.37	214.27	139.07	166.73	1015.93	178.77	121.79	129.69	915.51	836.53	90.77	158.79	595.34	896.64	392.44	96.01
CDK10	684.02	2193.99	1059.11	1175.27	2319.15	1359.57	1745.2	647.07	1135.2	397.93	1008.9	497.0	1199.98	3146.52	3081.75	909.17	2271.4	1322.37	420.68	2119.22	1936.53	2502.97	738.29	2148.82	2915.45	3820.7	4512.4	1857.6	1143.1	651.58	2400.97	1572.76	1378.57	1259.69	2417.67	2796.65	764.36	1662.49	1896.65	3280.18	1857.6	373.81
CLCN2	34.26	95.34	56.68	63.45	100.13	81.14	115.16	39.5	64.8	17.0	42.71	52.08	70.01	180.02	142.01	32.59	94.67	84.63	35.5	129.69	94.01	114.36	61.68	123.5	145.02	185.11	120.94	73.54	50.63	54.33	109.66	73.03	27.84	59.55	167.9	133.36	72.01	67.12	93.35	127.0	54.72	25.72
CNTROB	571.05	551.56	435.55	466.88	555.41	961.07	607.87	289.02	493.56	224.97	514.56	371.22	483.38	748.61	842.36	379.04	674.59	536.45	285.03	738.29	665.29	660.68	490.14	647.07	830.75	693.58	1023.0	665.29	571.05	483.38	860.08	511.0	297.17	567.1	738.29	1001.93	361.04	547.75	830.75	866.07	607.87	275.28
CORT	10.24	16.27	2.12	3.32	7.22	10.55	18.29	1.22	3.89	0.0	5.82	1.62	5.28	7.57	22.26	7.11	6.46	11.13	1.6	18.16	12.0	17.51	4.06	17.13	20.86	24.11	19.82	11.64	5.41	2.16	17.0	7.75	5.19	13.12	26.28	20.11	2.76	3.76	7.06	17.25	7.82	6.16
CSNK1G2	1487.87	872.1	723.08	684.02	915.51	1216.75	1096.5	764.36	599.49	429.54	591.22	624.99	587.13	1066.48	842.36	536.45	854.13	780.44	579.04	1135.2	808.0	1111.82	854.13	808.0	1151.06	1233.75	947.83	708.18	547.75	514.56	890.44	1051.79	624.99	808.0	1127.35	1044.52	599.49	607.87	1059.11	921.88	1135.2	420.68
CYHR1	753.83	902.89	575.03	860.08	1135.2	1051.79	1407.55	595.34	703.28	476.71	738.29	490.14	511.0	1259.69	1167.14	718.08	1023.0	860.08	629.35	967.76	813.63	1119.56	412.0	988.12	1044.52	947.83	995.0	941.27	500.46	518.15	808.0	796.86	638.15	698.41	1572.76	1313.23	607.87	718.08	1313.23	1498.22	836.53	457.25
DENND6B	96.01	312.0	169.07	339.14	457.25	400.71	473.41	98.04	156.59	59.13	201.25	95.34	175.07	638.15	698.41	220.32	351.14	293.07	105.89	420.68	312.0	426.57	151.22	301.33	417.77	500.46	536.45	305.55	221.86	84.04	285.03	260.38	212.78	241.19	583.07	743.43	208.38	170.25	403.5	587.13	228.13	83.45
DHX34	206.94	218.79	110.43	110.43	204.07	269.6	202.66	50.27	95.34	49.56	115.97	141.02	121.79	309.83	351.14	98.04	253.23	195.72	83.45	234.57	191.67	267.73	97.36	202.66	269.6	327.56	305.55	153.34	118.43	115.16	293.07	181.28	58.71	124.37	281.09	297.17	99.43	130.6	312.0	361.04	209.84	73.54
DVL1	1127.35	571.05	281.09	497.0	651.58	796.86	633.73	149.12	397.93	78.89	307.69	363.56	379.04	878.17	902.89	432.53	872.1	483.38	231.32	698.41	599.49	915.51	197.09	624.99	819.3	571.05	679.29	769.69	381.68	351.14	713.11	283.05	406.31	529.06	1030.12	1208.34	293.07	511.0	563.18	1233.75	698.41	163.28
ENKD1	164.42	547.75	373.81	332.14	723.08	684.02	802.41	309.83	366.09	162.14	915.51	154.42	348.71	728.11	1030.12	307.69	656.11	583.07	214.27	775.05	620.67	902.89	143.01	941.27	934.76	819.3	1015.93	764.36	329.84	217.27	830.75	703.28	373.81	435.55	1096.5	1447.15	332.14	473.41	796.86	915.51	1023.0	157.68
ENTHD2	218.79	287.01	123.5	126.12	363.56	460.44	303.44	96.68	124.37	73.03	157.68	115.16	141.02	447.82	500.46	120.1	441.64	157.68	136.19	529.06	314.17	376.41	74.58	279.14	358.54	629.35	698.41	156.59	135.24	109.66	521.76	155.5	87.65	149.12	432.53	490.14	113.56	120.1	450.94	559.28	206.94	86.43
FAM211B	583.07	1127.35	842.36	753.83	1806.78	1991.0	796.86	723.08	1111.82	175.07	1119.56	244.57	1088.92	1233.75	1340.84	358.54	733.19	941.27	170.25	1617.0	684.02	1909.85	414.87	1857.6	1832.01	3280.18	1977.24	759.08	723.08	825.0	819.3	1277.29	450.94	1111.82	1127.35	1477.58	693.58	579.04	1331.57	1175.27	301.33	75.64
FAM3A	808.0	974.5	796.86	902.89	1044.52	1059.11	1977.24	813.63	733.19	567.1	1923.14	796.86	638.15	1286.18	1437.15	743.43	842.36	1059.11	503.95	988.12	981.29	1313.23	624.99	1498.22	1639.59	909.17	1143.1	1216.75	575.03	1135.2	1950.0	947.83	660.68	1295.13	1487.87	1572.76	848.22	884.29	934.76	1304.15	1199.98	339.14
FLYWCH1	591.22	647.07	353.59	414.87	532.74	642.59	507.46	314.17	332.14	193.01	629.35	351.14	389.72	665.29	928.3	379.04	450.94	432.53	242.88	733.19	567.1	743.43	480.04	547.75	775.05	1030.12	507.46	616.37	299.25	281.09	540.19	460.44	406.31	409.15	854.13	988.12	320.8	447.82	708.18	616.37	503.95	176.29
GTPBP6	201.25	480.04	301.33	414.87	447.82	480.04	373.81	327.56	327.56	214.27	293.07	264.03	236.21	647.07	353.59	323.03	493.56	432.53	208.38	444.72	591.22	698.41	255.0	525.39	624.99	536.45	540.19	400.71	343.89	389.72	450.94	414.87	429.54	381.68	559.28	825.0	297.17	450.94	547.75	426.57	379.04	140.04
HDAC10	480.04	595.34	332.14	356.05	796.86	698.41	693.58	239.52	297.17	91.41	547.75	214.27	336.79	1135.2	842.36	260.38	813.63	412.0	228.13	796.86	536.45	713.11	177.53	693.58	723.08	1331.57	1259.69	429.54	346.29	198.47	878.17	473.41	309.83	429.54	928.3	1051.79	303.44	293.07	878.17	1350.18	314.17	129.69
HOXC9	0.0	275.28	107.38	228.13	209.84	551.56	193.01	37.05	133.36	108.9	143.01	74.06	154.42	269.6	490.14	283.05	228.13	199.85	178.77	291.04	309.83	318.57	186.4	376.41	511.0	470.14	483.38	201.25	181.28	177.53	242.88	265.87	253.23	262.2	543.96	540.19	137.14	329.84	376.41	237.86	299.25	172.65
KLHDC4	341.51	470.14	299.25	435.55	450.94	551.56	435.55	130.6	271.48	202.66	444.72	356.05	397.93	599.49	595.34	432.53	629.35	336.79	273.37	426.57	454.09	603.67	334.46	285.03	571.05	813.63	540.19	616.37	325.29	358.54	703.28	547.75	279.14	432.53	708.18	941.27	379.04	567.1	698.41	507.46	497.0	182.55
LZTS2	384.34	921.88	571.05	723.08	974.5	1397.83	848.22	373.81	848.22	376.41	1721.16	460.44	612.11	1216.75	825.0	713.11	866.07	612.11	529.06	1044.52	872.1	1268.46	457.25	1151.06	1199.98	1183.45	1135.2	884.29	599.49	896.64	1037.29	934.76	612.11	1088.92	1322.37	1359.57	483.38	728.11	1008.9	842.36	954.43	438.59
MUTYH	361.04	303.44	151.22	187.71	318.57	441.64	293.07	83.45	134.3	147.06	123.5	105.15	152.28	507.46	567.1	113.56	299.25	146.03	153.34	497.0	285.03	348.71	78.34	379.04	409.15	521.76	540.19	244.57	118.43	159.9	473.41	209.84	100.83	154.42	624.99	432.53	111.21	172.65	363.56	351.14	316.37	94.67
MVD	5555.65	503.95	316.37	381.68	497.0	500.46	470.14	185.11	351.14	180.02	454.09	147.06	316.37	493.56	660.68	426.57	490.14	444.72	332.14	466.88	441.64	802.41	152.28	403.5	620.67	518.15	583.07	708.18	287.01	325.29	703.28	447.82	426.57	450.94	603.67	624.99	332.14	441.64	559.28	536.45	536.45	239.52
MZF1	239.52	397.93	136.19	131.51	379.04	387.02	403.5	71.5	141.02	53.95	130.6	115.16	148.09	620.67	490.14	78.89	473.41	148.09	93.35	525.39	438.59	466.88	82.29	389.72	417.77	728.11	591.22	154.42	143.01	112.77	447.82	158.79	91.41	125.24	441.64	551.56	114.36	182.55	543.96	400.71	314.17	77.25
NDUFA4L2	327241.36	59474.18	66449.85	59887.86	124000.67	93325.55	96616.71	68793.23	48982.22	16045.82	120609.84	28723.62	51062.33	77396.54	91404.92	70238.75	102836.01	59474.18	34158.52	71714.63	72715.74	167058.21	42937.97	162489.97	97288.74	93974.69	75280.1	95286.54	43840.21	109455.64	96616.71	81809.59	95949.32	73221.53	65535.0	97288.74	56265.94	92040.7	88905.42	124000.67	90773.53	297.17
NELFA	1127.35	441.64	305.55	400.71	656.11	620.67	376.41	341.51	307.69	147.06	255.0	256.78	314.17	591.22	551.56	384.34	620.67	417.77	273.37	518.15	529.06	587.13	271.48	555.41	651.58	470.14	620.67	403.5	348.71	547.75	473.41	629.35	325.29	381.68	540.19	743.43	281.09	454.09	607.87	679.29	567.1	289.02
ODF3B	4512.4	848.22	872.1	1119.56	1331.57	1963.57	1572.76	684.02	656.11	346.29	878.17	289.02	417.77	2417.67	2287.2	830.75	1397.83	1037.29	387.02	1605.83	1369.04	1498.22	297.17	3124.78	2319.15	1857.6	3874.05	1216.75	599.49	214.27	1159.07	1745.2	780.44	642.59	3955.48	2720.15	890.44	603.67	1662.49	1304.15	1001.93	52.45
PIH1D1	1896.65	1697.45	1529.73	1427.22	1936.53	2119.22	2287.2	1359.57	1457.23	1183.45	1322.37	1111.82	1447.15	1896.65	2384.37	1369.04	1844.76	1551.09	1030.12	1936.53	1896.65	1769.57	1066.48	2047.0	2502.97	2384.37	2163.77	1697.45	1322.37	1322.37	1697.45	1977.24	1745.2	1991.0	2319.15	2271.4	1015.93	1340.84	2255.7	2075.59	1991.0	909.17
PPP6R2	567.1	860.08	490.14	497.0	825.0	612.11	785.88	341.51	543.96	223.41	497.0	358.54	536.45	961.07	890.44	414.87	718.08	575.03	363.56	921.88	660.68	808.0	476.71	698.41	842.36	1350.18	1259.69	543.96	403.5	327.56	674.59	599.49	429.54	547.75	808.0	836.53	395.18	507.46	860.08	890.44	665.29	267.73
PRPF40B	287.01	314.17	155.5	113.56	226.54	271.48	226.54	232.94	145.02	58.71	208.38	102.97	131.51	490.14	379.04	120.94	368.65	138.1	162.14	351.14	273.37	389.72	64.8	351.14	309.83	595.34	470.14	156.59	116.78	255.0	368.65	164.42	136.19	120.1	379.04	397.93	75.11	146.03	432.53	559.28	301.33	209.84
PRR14	503.95	764.36	536.45	638.15	728.11	1135.2	802.41	392.44	603.67	262.2	669.92	563.18	607.87	934.76	1250.98	476.71	738.29	733.19	403.5	1030.12	753.83	890.44	334.46	703.28	1159.07	1023.0	1175.27	915.51	444.72	283.05	974.5	743.43	435.55	551.56	1135.2	1199.98	441.64	540.19	1001.93	796.86	769.69	251.48
RASSF7	3395.89	941.27	463.65	819.3	1806.78	1313.23	1388.16	466.88	429.54	214.27	928.3	466.88	343.89	1950.0	3146.52	599.49	1628.26	785.88	339.14	1242.34	1594.73	2915.45	341.51	2468.49	1015.93	1175.27	1674.06	651.58	579.04	525.39	679.29	1477.58	463.65	444.72	2855.44	1857.6	473.41	759.08	1286.18	1991.0	1508.65	329.84
RFNG	406.31	836.53	638.15	703.28	830.75	830.75	1119.56	412.0	529.06	414.87	595.34	571.05	665.29	1073.91	1175.27	713.11	1233.75	808.0	483.38	941.27	785.88	1191.69	651.58	1159.07	1119.56	1051.79	1159.07	1066.48	607.87	438.59	928.3	693.58	551.56	854.13	1242.34	1781.89	624.99	698.41	780.44	1540.37	764.36	251.48
RHPN1	135.24	180.02	62.12	92.7	191.67	193.01	384.34	116.78	75.64	21.63	101.54	32.82	55.49	470.14	351.14	66.18	348.71	100.13	90.14	361.04	142.01	325.29	54.33	547.75	166.73	447.82	348.71	150.17	55.89	92.7	297.17	358.54	63.45	71.0	476.71	253.23	48.18	43.63	579.04	1498.22	217.27	108.9
RPS6KB2	1991.0	693.58	660.68	708.18	995.0	866.07	1208.34	497.0	559.28	392.44	688.78	591.22	463.65	884.29	1225.22	579.04	713.11	954.43	476.71	878.17	674.59	1023.0	412.0	961.07	995.0	733.19	866.07	638.15	599.49	500.46	1066.48	738.29	703.28	759.08	1001.93	1151.06	599.49	543.96	954.43	909.17	743.43	228.13
RRNAD1	607.87	733.19	397.93	536.45	656.11	878.17	884.29	212.78	521.76	314.17	698.41	454.09	483.38	884.29	995.0	466.88	693.58	525.39	295.11	802.41	684.02	555.41	325.29	890.44	796.86	947.83	1216.75	693.58	457.25	291.04	769.69	647.07	356.05	466.88	738.29	909.17	417.77	543.96	591.22	813.63	525.39	366.09
SELO	403.5	507.46	194.36	248.0	529.06	500.46	389.72	312.0	264.03	100.83	412.0	146.03	273.37	591.22	473.41	215.77	490.14	297.17	178.77	532.74	395.18	684.02	170.25	483.38	536.45	775.05	633.73	305.55	182.55	140.04	454.09	460.44	283.05	400.71	703.28	529.06	260.38	283.05	432.53	532.74	320.8	102.25
SH2B1	444.72	718.08	379.04	438.59	848.22	688.78	583.07	175.07	466.88	191.67	490.14	327.56	392.44	1081.39	1191.69	339.14	775.05	559.28	195.72	921.88	842.36	791.35	447.82	928.3	902.89	1250.98	1277.29	688.78	366.09	273.37	1066.48	575.03	363.56	480.04	1304.15	1350.18	395.18	567.1	1015.93	684.02	872.1	273.37
SPSB3	1721.16	884.29	493.56	759.08	1119.56	1066.48	848.22	669.92	591.22	423.61	571.05	463.65	612.11	1313.23	1286.18	665.29	1447.15	764.36	353.59	1111.82	1044.52	1388.16	291.04	995.0	1498.22	1350.18	1639.59	1175.27	587.13	341.51	1199.98	878.17	738.29	769.69	1487.87	1540.37	624.99	1008.9	915.51	1529.73	1096.5	325.29
TAZ	414.87	540.19	343.89	336.79	651.58	723.08	813.63	224.97	384.34	363.56	679.29	366.09	258.57	836.53	1183.45	353.59	567.1	392.44	283.05	902.89	540.19	543.96	211.31	629.35	688.78	1159.07	1286.18	470.14	318.57	432.53	995.0	450.94	277.2	343.89	1001.93	836.53	271.48	242.88	769.69	988.12	503.95	147.06
TELO2	571.05	486.75	229.72	273.37	563.18	624.99	571.05	253.23	249.73	177.53	420.68	208.38	258.57	674.59	753.83	260.38	642.59	426.57	264.03	708.18	500.46	563.18	187.71	480.04	591.22	819.3	1081.39	432.53	224.97	293.07	1001.93	460.44	267.73	316.37	769.69	995.0	241.19	269.6	909.17	723.08	563.18	129.69
THAP3	339.14	400.71	327.56	395.18	486.75	511.0	376.41	151.22	314.17	199.85	346.29	226.54	239.52	559.28	607.87	320.8	518.15	376.41	221.86	454.09	480.04	571.05	172.65	432.53	713.11	435.55	612.11	400.71	305.55	217.27	500.46	361.04	314.17	392.44	693.58	733.19	295.11	309.83	532.74	780.44	612.11	108.9
THOC6	420.68	612.11	423.61	559.28	780.44	1135.2	896.64	414.87	529.06	363.56	854.13	500.46	507.46	780.44	1073.91	642.59	928.3	703.28	423.61	890.44	532.74	921.88	297.17	1304.15	791.35	753.83	808.0	1127.35	429.54	327.56	1417.35	967.76	547.75	679.29	967.76	1143.1	420.68	490.14	860.08	1268.46	1143.1	275.28
TMEM234	221.86	493.56	503.95	400.71	603.67	441.64	476.71	177.53	316.37	376.41	226.54	202.66	293.07	612.11	656.11	323.03	507.46	514.56	358.54	748.61	674.59	563.18	314.17	1081.39	633.73	651.58	743.43	373.81	368.65	480.04	723.08	493.56	389.72	426.57	775.05	633.73	318.57	500.46	764.36	713.11	693.58	165.57
TRABD	860.08	507.46	343.89	343.89	660.68	543.96	591.22	529.06	248.0	161.02	432.53	273.37	293.07	603.67	571.05	271.48	579.04	432.53	336.79	518.15	409.15	860.08	204.07	825.0	507.46	775.05	748.61	392.44	291.04	251.48	480.04	713.11	329.84	420.68	830.75	665.29	312.0	248.0	860.08	896.64	507.46	212.78
TRMT1	251.48	503.95	289.02	325.29	660.68	775.05	848.22	267.73	307.69	215.77	373.81	329.84	299.25	967.76	995.0	395.18	878.17	389.72	258.57	848.22	612.11	684.02	248.0	669.92	785.88	1111.82	1015.93	543.96	336.79	162.14	954.43	392.44	285.03	353.59	981.29	995.0	327.56	412.0	698.41	915.51	536.45	177.53
TRMT2A	379.04	743.43	384.34	503.95	878.17	981.29	769.69	518.15	303.44	336.79	571.05	361.04	379.04	1059.11	1023.0	397.93	915.51	511.0	265.87	878.17	791.35	1023.0	343.89	1529.73	1023.0	1313.23	1447.15	624.99	633.73	289.02	1119.56	934.76	327.56	441.64	1378.57	1561.89	366.09	435.55	1417.35	1628.26	909.17	223.41
TSSC4	358.54	571.05	432.53	507.46	909.17	808.0	1250.98	403.5	612.11	379.04	660.68	297.17	423.61	759.08	825.0	660.68	753.83	738.29	384.34	759.08	684.02	902.89	206.94	884.29	791.35	2271.4	698.41	743.43	500.46	414.87	1216.75	708.18	444.72	563.18	1073.91	743.43	358.54	559.28	974.5	791.35	785.88	395.18
UBXN11	181.28	708.18	341.51	490.14	941.27	629.35	928.3	684.02	224.97	103.69	490.14	218.79	314.17	1030.12	1529.73	303.44	1073.91	490.14	228.13	854.13	981.29	785.88	191.67	1639.59	995.0	1143.1	1467.37	525.39	457.25	221.86	1159.07	450.94	543.96	309.83	1388.16	954.43	265.87	412.0	1044.52	1674.06	890.44	206.94
VPS9D1	674.59	281.09	131.51	152.28	262.2	214.27	258.57	228.13	153.34	73.54	379.04	171.45	147.06	341.51	361.04	133.36	241.19	256.78	113.56	318.57	208.38	277.2	189.02	237.86	253.23	371.22	327.56	253.23	106.63	139.07	346.29	164.42	159.9	211.31	346.29	361.04	129.69	145.02	251.48	267.73	249.73	88.88
WDR74	518.15	1051.79	457.25	791.35	928.3	1313.23	1417.35	529.06	518.15	435.55	848.22	536.45	555.41	1199.98	1498.22	698.41	921.88	866.07	438.59	1037.29	1044.52	981.29	325.29	1096.5	1369.04	1208.34	1359.57	974.5	629.35	575.03	1030.12	1030.12	599.49	738.29	1199.98	1605.83	674.59	909.17	988.12	1295.13	1008.9	343.89
WDR90	316.37	603.67	246.28	289.02	723.08	753.83	616.37	204.07	183.82	80.01	314.17	172.65	329.84	825.0	1037.29	187.71	961.07	463.65	114.36	791.35	665.29	808.0	170.25	830.75	612.11	1457.23	1135.2	480.04	297.17	134.3	1001.93	264.03	170.25	177.53	633.73	1119.56	220.32	244.57	947.83	1066.48	518.15	79.45
ZDHHC8	454.09	620.67	642.59	429.54	624.99	684.02	947.83	423.61	547.75	122.64	567.1	429.54	607.87	620.67	708.18	426.57	780.44	409.15	368.65	698.41	642.59	995.0	607.87	1023.0	638.15	967.76	830.75	503.95	665.29	323.03	612.11	698.41	441.64	473.41	872.1	866.07	514.56	403.5	669.92	2303.12	1037.29	334.46
ZNF444	438.59	426.57	253.23	277.2	463.65	511.0	493.56	206.94	251.48	154.42	341.51	271.48	258.57	486.75	603.67	264.03	384.34	409.15	204.07	473.41	450.94	514.56	214.27	525.39	616.37	728.11	473.41	417.77	236.21	341.51	466.88	466.88	332.14	363.56	665.29	656.11	191.67	373.81	669.92	616.37	540.19	232.94
ZNF524	591.22	435.55	234.57	444.72	348.71	748.61	629.35	325.29	299.25	295.11	397.93	314.17	373.81	607.87	409.15	521.76	638.15	493.56	241.19	463.65	457.25	624.99	283.05	521.76	708.18	493.56	532.74	518.15	301.33	336.79	417.77	624.99	435.55	571.05	830.75	830.75	376.41	429.54	525.39	567.1	595.34	212.78
ZNF598	1397.83	426.57	241.19	239.52	351.14	361.04	351.14	98.73	312.0	131.51	363.56	231.32	246.28	473.41	409.15	239.52	305.55	277.2	277.2	511.0	327.56	473.41	178.77	336.79	376.41	348.71	376.41	336.79	224.97	186.4	454.09	320.8	228.13	329.84	373.81	395.18	291.04	256.78	423.61	389.72	314.17	151.22
