	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.REY6.1226.SM.48FDR	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PV.01A.11R.A19O.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.BJ.A28R.01A.11R.A16R.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07
CHERP	87.03	555.41	387.02	323.03	447.82	281.09	775.05	529.06	470.14	500.46	591.22	493.56	728.11	518.15	493.56	638.15	759.08	518.15	493.56	466.88	518.15	679.29	660.68	536.45	500.46	813.63	693.58	441.64	507.46	587.13	518.15	616.37	607.87	514.56	651.58	466.88	723.08	656.11	669.92	825.0	642.59	624.99	511.0	473.41	775.05	620.67	356.05	603.67	620.67	753.83	638.15	651.58	674.59	591.22	447.82	438.59	540.19	503.95	591.22	563.18	743.43	651.58	511.0	674.59	902.89	656.11	629.35	518.15
CIC	100.13	607.87	441.64	460.44	332.14	563.18	1111.82	842.36	579.04	1096.5	1008.9	915.51	1388.16	808.0	1119.56	1340.84	679.29	684.02	909.17	679.29	1397.83	961.07	1388.16	1059.11	718.08	1639.59	1199.98	759.08	764.36	1096.5	848.22	1662.49	1208.34	780.44	1066.48	928.3	1322.37	1304.15	1388.16	1721.16	1295.13	1331.57	669.92	866.07	1477.58	1477.58	1037.29	1175.27	1127.35	1322.37	1397.83	1250.98	1277.29	988.12	1066.48	915.51	1167.14	1051.79	1572.76	1111.82	1096.5	1639.59	1135.2	1304.15	1467.37	1104.13	967.76	848.22
CNOT4	62.56	96.01	111.21	83.45	101.54	94.01	241.19	256.78	198.47	175.07	201.25	199.85	265.87	199.85	127.0	248.0	248.0	156.59	134.3	195.72	204.07	194.36	202.66	167.9	218.79	246.28	246.28	208.38	197.09	176.29	134.3	246.28	220.32	170.25	202.66	137.14	198.47	237.86	226.54	232.94	199.85	242.88	221.86	195.72	264.03	205.5	154.42	199.85	205.5	229.72	289.02	195.72	201.25	165.57	151.22	161.02	166.73	165.57	209.84	163.28	256.78	264.03	195.72	232.94	314.17	167.9	177.53	156.59
CRAMP1L	10.31	58.71	41.52	23.42	36.53	28.04	223.41	180.02	153.34	208.38	177.53	165.57	353.59	170.25	129.69	332.14	182.55	141.02	137.14	177.53	226.54	205.5	226.54	195.72	152.28	316.37	218.79	183.82	164.42	171.45	129.69	239.52	173.85	120.1	138.1	84.63	217.27	237.86	242.88	334.46	226.54	211.31	153.34	148.09	237.86	220.32	101.54	191.67	181.28	246.28	258.57	193.01	187.71	122.64	147.06	133.36	170.25	185.11	209.84	173.85	229.72	277.2	215.77	283.05	231.32	163.28	136.19	177.53
CREBBP	64.8	98.73	150.17	147.06	138.1	178.77	529.06	397.93	287.01	403.5	379.04	351.14	684.02	303.44	287.01	595.34	318.57	301.33	242.88	303.44	543.96	329.84	591.22	353.59	346.29	775.05	486.75	346.29	307.69	307.69	253.23	753.83	381.68	218.79	258.57	229.72	457.25	547.75	503.95	656.11	466.88	536.45	346.29	348.71	616.37	559.28	429.54	441.64	438.59	579.04	743.43	318.57	423.61	277.2	339.14	289.02	460.44	373.81	629.35	323.03	480.04	728.11	511.0	674.59	656.11	384.34	299.25	325.29
CSTF1	224.97	253.23	277.2	285.03	341.51	208.38	323.03	289.02	273.37	267.73	376.41	348.71	392.44	256.78	255.0	387.02	281.09	273.37	163.28	248.0	323.03	249.73	346.29	248.0	339.14	420.68	366.09	260.38	273.37	217.27	285.03	379.04	299.25	295.11	212.78	205.5	314.17	379.04	379.04	381.68	327.56	314.17	275.28	341.51	417.77	339.14	165.57	295.11	356.05	392.44	441.64	264.03	341.51	228.13	307.69	236.21	220.32	356.05	297.17	231.32	400.71	356.05	312.0	381.68	435.55	246.28	334.46	291.04
CSTF2T	102.97	145.02	175.07	154.42	152.28	99.43	258.57	255.0	202.66	211.31	309.83	234.57	297.17	185.11	159.9	275.28	241.19	212.78	117.6	180.02	255.0	202.66	244.57	195.72	232.94	318.57	299.25	236.21	217.27	193.01	146.03	314.17	209.84	221.86	214.27	147.06	241.19	265.87	283.05	301.33	251.48	241.19	195.72	228.13	314.17	229.72	132.44	236.21	264.03	255.0	361.04	201.25	231.32	206.94	185.11	167.9	172.65	218.79	237.86	163.28	199.85	265.87	244.57	275.28	289.02	191.67	178.77	204.07
CTSB	8421.31	13215.02	16960.78	13399.51	16383.0	46019.85	378516.38	365622.68	228208.61	301123.38	267651.2	253213.41	100719.65	175363.84	221968.2	150561.19	307450.64	193234.41	198667.0	290865.98	189257.69	311742.51	174152.51	214407.12	389157.95	107948.72	158046.64	282912.21	202841.44	242898.5	147462.67	204252.32	327241.36	391864.76	198667.0	200048.85	158046.64	201440.3	169390.27	100023.92	299043.36	185362.8	428815.23	207103.59	95949.32	161367.56	156954.93	197294.7	208544.12	169390.27	162489.97	218912.29	167058.21	175363.84	226632.25	212926.09	241220.67	209994.66	184082.4	208544.12	288856.81	144427.91	214407.12	131071.0	96616.71	236256.4	194578.47	180294.02
DBR1	126.12	65.72	101.54	76.71	72.52	80.57	182.55	223.41	211.31	176.29	229.72	201.25	215.77	158.79	128.79	246.28	221.86	162.14	102.97	164.42	193.01	159.9	221.86	146.03	191.67	244.57	226.54	147.06	169.07	128.79	126.12	220.32	176.29	171.45	172.65	140.04	183.82	204.07	215.77	255.0	183.82	198.47	201.25	208.38	251.48	178.77	115.97	214.27	241.19	190.34	209.84	172.65	198.47	139.07	151.22	107.38	118.43	220.32	176.29	136.19	255.0	182.55	149.12	231.32	221.86	127.0	186.4	173.85
DCAF5	105.15	194.36	305.55	318.57	291.04	262.2	684.02	551.56	450.94	571.05	511.0	536.45	764.36	438.59	389.72	713.11	543.96	466.88	450.94	473.41	629.35	518.15	698.41	514.56	486.75	848.22	647.07	559.28	466.88	470.14	366.09	684.02	518.15	320.8	470.14	358.54	591.22	620.67	616.37	759.08	620.67	599.49	486.75	507.46	698.41	607.87	563.18	567.1	563.18	674.59	733.19	480.04	567.1	379.04	525.39	497.0	507.46	540.19	616.37	466.88	733.19	791.35	579.04	620.67	688.78	441.64	457.25	466.88
DDX20	35.76	57.08	71.5	44.25	57.89	31.22	151.22	148.09	150.17	107.38	163.28	147.06	197.09	102.97	75.11	152.28	132.44	106.63	66.65	81.14	120.1	153.34	142.01	93.35	140.04	161.02	156.59	99.43	91.41	90.77	79.45	127.89	129.69	98.73	120.1	73.54	148.09	147.06	140.04	201.25	147.06	120.94	105.89	149.12	164.42	127.0	62.56	129.69	159.9	121.79	180.02	115.97	138.1	88.26	113.56	80.57	72.01	146.03	124.37	84.04	201.25	132.44	135.24	176.29	173.85	89.51	91.41	115.16
DHFRL1	11.3	57.08	70.01	53.19	40.64	57.89	59.13	39.79	42.71	81.71	71.0	74.06	89.51	74.58	35.76	98.73	58.71	64.34	33.3	63.89	69.52	65.26	55.1	53.95	38.12	94.67	68.55	69.52	58.71	51.35	37.85	69.03	65.26	47.17	59.13	43.94	68.55	85.22	76.17	77.79	79.45	104.42	75.64	60.82	93.35	69.52	32.36	74.58	82.87	74.06	104.42	76.71	64.8	48.87	47.5	60.39	40.36	69.52	90.77	45.85	77.79	71.5	66.65	88.88	111.99	52.08	59.13	68.55
DHX37	29.48	96.01	104.42	90.14	84.04	111.99	248.0	186.4	158.79	224.97	204.07	185.11	232.94	166.73	198.47	228.13	244.57	194.36	136.19	124.37	244.57	145.02	285.03	224.97	156.59	265.87	246.28	166.73	214.27	234.57	181.28	271.48	183.82	137.14	177.53	129.69	277.2	269.6	242.88	264.03	199.85	249.73	217.27	205.5	214.27	265.87	117.6	255.0	228.13	264.03	264.03	190.34	218.79	177.53	211.31	145.02	178.77	172.65	275.28	208.38	187.71	242.88	180.02	251.48	291.04	211.31	206.94	201.25
DIDO1	101.54	209.84	277.2	183.82	218.79	248.0	769.69	555.41	514.56	521.76	587.13	642.59	753.83	638.15	457.25	660.68	595.34	473.41	571.05	567.1	591.22	813.63	638.15	521.76	529.06	941.27	688.78	529.06	595.34	759.08	423.61	688.78	620.67	397.93	540.19	525.39	808.0	860.08	728.11	866.07	629.35	785.88	620.67	583.07	791.35	698.41	460.44	620.67	642.59	836.53	890.44	633.73	693.58	620.67	457.25	525.39	591.22	607.87	748.61	728.11	674.59	759.08	624.99	748.61	830.75	486.75	547.75	532.74
ELF2	119.26	142.01	217.27	224.97	194.36	187.71	435.55	420.68	277.2	470.14	518.15	447.82	551.56	403.5	325.29	536.45	412.0	426.57	343.89	403.5	493.56	409.15	457.25	406.31	409.15	607.87	540.19	476.71	384.34	351.14	325.29	521.76	406.31	228.13	384.34	334.46	450.94	532.74	525.39	555.41	603.67	525.39	305.55	490.14	555.41	473.41	361.04	470.14	503.95	447.82	567.1	420.68	441.64	384.34	403.5	395.18	373.81	500.46	438.59	414.87	500.46	599.49	476.71	532.74	647.07	409.15	348.71	400.71
ELMSAN1	46.84	63.0	228.13	115.16	178.77	194.36	389.72	275.28	283.05	316.37	318.57	299.25	559.28	221.86	193.01	476.71	305.55	283.05	215.77	271.48	400.71	314.17	480.04	269.6	206.94	748.61	490.14	242.88	307.69	231.32	171.45	490.14	361.04	169.07	226.54	193.01	409.15	450.94	395.18	587.13	397.93	454.09	242.88	275.28	460.44	470.14	186.4	341.51	403.5	567.1	571.05	307.69	336.79	234.57	236.21	228.13	353.59	318.57	457.25	220.32	438.59	503.95	358.54	503.95	497.0	289.02	273.37	209.84
EP400	7.88	54.33	48.18	43.32	49.21	40.93	205.5	171.45	132.44	185.11	193.01	165.57	295.11	161.02	145.02	241.19	215.77	149.12	123.5	146.03	226.54	156.59	248.0	173.85	131.51	323.03	201.25	164.42	136.19	146.03	141.02	275.28	175.07	120.1	143.01	120.1	232.94	246.28	214.27	281.09	234.57	215.77	172.65	143.01	246.28	248.0	183.82	191.67	198.47	260.38	299.25	175.07	195.72	151.22	149.12	152.28	202.66	183.82	231.32	159.9	234.57	262.2	226.54	285.03	275.28	182.55	163.28	157.68
EPPK1	0.8	5.77	4.98	6.31	15.34	1.97	39.79	19.97	24.11	69.52	90.77	21.01	123.5	35.5	40.64	84.63	61.25	7.17	54.72	4.43	117.6	21.63	78.89	34.02	2.46	234.57	30.56	5.68	7.28	80.01	51.71	87.03	7.51	10.96	10.96	34.51	120.1	99.43	70.51	91.41	89.51	159.9	4.43	53.57	129.69	118.43	32.59	133.36	93.35	104.42	144.01	75.11	87.03	80.57	70.51	45.21	87.03	36.79	110.43	56.28	12.18	161.02	110.43	126.12	56.68	19.11	55.89	45.85
FAM13B	42.41	26.86	54.72	47.84	50.63	52.08	246.28	217.27	197.09	212.78	262.2	249.73	366.09	209.84	127.0	334.46	283.05	153.34	113.56	187.71	201.25	191.67	273.37	176.29	223.41	353.59	275.28	224.97	156.59	173.85	114.36	258.57	212.78	181.28	165.57	112.77	198.47	239.52	255.0	275.28	193.01	267.73	226.54	214.27	262.2	226.54	150.17	218.79	336.79	231.32	320.8	226.54	255.0	176.29	189.02	143.01	170.25	273.37	221.86	144.01	305.55	269.6	285.03	281.09	371.22	172.65	273.37	186.4
FAM217B	28.86	16.03	19.25	9.06	23.25	41.22	167.9	127.89	49.21	107.38	155.5	100.13	154.42	96.68	82.87	148.09	155.5	102.25	64.34	93.35	123.5	132.44	116.78	101.54	165.57	189.02	151.22	83.45	104.42	70.51	79.45	161.02	152.28	111.99	80.57	66.18	124.37	127.0	129.69	149.12	129.69	137.14	86.43	126.12	142.01	107.38	80.57	102.97	143.01	135.24	167.9	102.25	131.51	72.01	94.01	81.71	90.77	118.43	115.97	70.51	109.66	113.56	102.25	143.01	144.01	97.36	110.43	102.25
FBRS	129.69	414.87	423.61	368.65	392.44	470.14	1322.37	1119.56	842.36	1151.06	1225.22	1199.98	1508.65	1066.48	1159.07	1487.87	921.88	995.0	1159.07	1008.9	1233.75	1378.57	1551.09	1378.57	1119.56	1639.59	1498.22	866.07	947.83	1295.13	1359.57	1417.35	1268.46	1143.1	1457.23	1242.34	1350.18	1295.13	1457.23	2104.58	1447.15	1242.34	1519.15	934.76	1685.71	1508.65	954.43	1331.57	1183.45	1498.22	1304.15	1583.71	1437.15	1135.2	1199.98	1096.5	1467.37	1286.18	1477.58	1350.18	1397.83	1540.37	1143.1	1295.13	1594.73	1350.18	1151.06	1104.13
FBXO46	31.9	104.42	127.89	122.64	110.43	265.87	329.84	195.72	167.9	197.09	239.52	190.34	248.0	218.79	191.67	262.2	262.2	273.37	204.07	170.25	265.87	236.21	277.2	220.32	194.36	397.93	301.33	264.03	246.28	265.87	251.48	285.03	327.56	163.28	293.07	239.52	363.56	297.17	271.48	356.05	339.14	301.33	201.25	267.73	397.93	289.02	166.73	262.2	223.41	336.79	236.21	281.09	309.83	316.37	180.02	170.25	241.19	202.66	299.25	265.87	256.78	293.07	211.31	273.37	363.56	281.09	173.85	221.86
FGFRL1	305.55	341.51	612.11	669.92	587.13	988.12	2835.7	575.03	866.07	1806.78	2701.35	1651.0	2758.13	1909.85	1508.65	1909.85	1151.06	1896.65	1794.29	1242.34	2367.9	1477.58	2271.4	1923.14	1340.84	3690.52	2796.65	1369.04	1259.69	1437.15	1242.34	3589.58	3742.05	941.27	1199.98	1242.34	1508.65	1794.29	2609.3	2148.82	1498.22	1870.53	1304.15	1857.6	2224.63	2319.15	1628.26	2104.58	3690.52	3081.75	2485.67	2075.59	1685.71	1685.71	1781.89	1023.0	1467.37	1936.53	2591.27	1781.89	1498.22	2178.83	2287.2	2193.99	2451.44	1844.76	1781.89	1896.65
GEMIN4	33.3	102.97	100.83	90.14	86.43	98.04	314.17	343.89	193.01	253.23	253.23	212.78	363.56	197.09	202.66	361.04	320.8	185.11	198.47	111.99	320.8	217.27	444.72	239.52	195.72	351.14	329.84	170.25	218.79	239.52	158.79	361.04	209.84	166.73	148.09	124.37	339.14	423.61	387.02	285.03	303.44	264.03	242.88	232.94	356.05	353.59	119.26	320.8	339.14	320.8	379.04	223.41	258.57	129.69	223.41	110.43	281.09	258.57	348.71	228.13	420.68	366.09	309.83	325.29	457.25	253.23	172.65	237.86
GLTSCR1L	5.02	33.3	48.52	38.95	38.12	51.35	173.85	206.94	124.37	162.14	165.57	164.42	265.87	156.59	111.99	214.27	180.02	147.06	104.42	141.02	198.47	153.34	178.77	145.02	141.02	267.73	193.01	172.65	141.02	128.79	93.35	211.31	167.9	90.77	120.1	98.04	208.38	224.97	214.27	237.86	205.5	255.0	158.79	187.71	211.31	181.28	164.42	180.02	182.55	236.21	291.04	143.01	176.29	134.3	154.42	143.01	193.01	172.65	212.78	113.56	190.34	267.73	201.25	248.0	260.38	140.04	115.16	135.24
GRWD1	169.07	368.65	323.03	361.04	258.57	332.14	563.18	409.15	414.87	412.0	435.55	339.14	417.77	381.68	417.77	417.77	460.44	447.82	297.17	343.89	551.56	293.07	497.0	454.09	457.25	486.75	529.06	356.05	432.53	395.18	366.09	603.67	389.72	251.48	234.57	231.32	454.09	480.04	473.41	368.65	353.59	466.88	363.56	483.38	490.14	480.04	178.77	490.14	503.95	435.55	493.56	368.65	400.71	368.65	389.72	223.41	346.29	371.22	500.46	336.79	500.46	420.68	480.04	543.96	547.75	420.68	400.71	447.82
GTF2F1	249.73	500.46	555.41	583.07	543.96	825.0	1781.89	1175.27	1008.9	1208.34	1397.83	1295.13	1781.89	1369.04	1295.13	1359.57	1487.87	1233.75	1447.15	1096.5	1551.09	1350.18	1769.57	1388.16	988.12	1721.16	1870.53	1008.9	1572.76	1757.34	1313.23	1733.13	1233.75	1662.49	1427.22	1304.15	1709.26	1651.0	1733.13	1685.71	1477.58	1832.01	1104.13	1639.59	1844.76	1745.2	1359.57	1745.2	1417.35	1936.53	1721.16	1427.22	1651.0	1605.83	1369.04	1378.57	1331.57	1369.04	1685.71	1397.83	1519.15	1733.13	1508.65	1697.45	2163.77	1594.73	1277.29	1340.84
