	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	GTEX.UPIC.1026.SM.4IHLT	TCGA.CV.6961.01A.21R.1915.07	TCGA.CV.6951.01A.11R.1915.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.CR.6492.01A.12R.2081.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.CC.A7IL.01A.11R.A33R.07
CRK	371.22	409.15	1051.79	759.08	379.04	371.22	1015.93	470.14	854.13	753.83	860.08	633.73	536.45	753.83	808.0	583.07	674.59	1159.07	808.0	493.56	665.29	1250.98	521.76	733.19	366.09	693.58	796.86	1015.93	241.19	195.72
CTC1	185.11	158.79	334.46	166.73	289.02	287.01	753.83	109.66	248.0	178.77	289.02	339.14	100.83	98.73	221.86	127.89	141.02	305.55	229.72	264.03	273.37	305.55	157.68	237.86	108.9	341.51	158.79	197.09	128.79	93.35
CTDNEP1	1605.83	1295.13	4512.4	1769.57	1909.85	1639.59	3467.27	1781.89	3467.27	3257.52	2835.7	4038.61	2133.97	1487.87	2682.69	1340.84	2739.08	4152.18	2895.31	1883.54	2720.15	4298.64	2148.82	3212.66	2061.24	2956.17	2645.74	4869.99	486.75	587.13
CTNS	85.82	63.45	256.78	104.42	130.6	109.66	381.68	114.36	406.31	348.71	373.81	301.33	285.03	414.87	131.51	123.5	146.03	728.11	262.2	161.02	180.02	571.05	218.79	191.67	127.89	161.02	199.85	438.59	88.26	186.4
CYB5D1	84.04	52.45	119.26	91.41	109.66	134.3	397.93	67.59	303.44	153.34	182.55	104.42	52.82	100.83	94.01	80.01	131.51	262.2	155.5	52.08	127.89	248.0	96.68	164.42	85.82	135.24	71.5	295.11	52.45	70.01
DERL2	961.07	866.07	2384.37	1216.75	813.63	988.12	1378.57	921.88	1781.89	884.29	1733.13	1870.53	836.53	967.76	1340.84	753.83	1407.55	1883.54	1551.09	651.58	1340.84	2664.15	866.07	1143.1	1081.39	2104.58	967.76	2591.27	866.07	915.51
DHX33	73.03	77.25	197.09	115.16	70.51	90.14	279.14	127.0	241.19	152.28	171.45	164.42	75.11	69.52	158.79	100.83	132.44	283.05	189.02	92.05	141.02	234.57	105.89	165.57	59.13	147.06	102.97	239.52	43.63	29.48
DRG2	406.31	339.14	961.07	293.07	463.65	450.94	1167.14	500.46	981.29	591.22	934.76	1037.29	381.68	540.19	483.38	368.65	684.02	934.76	748.61	371.22	802.41	1066.48	540.19	759.08	409.15	934.76	536.45	1447.15	332.14	329.84
DVL2	215.77	148.09	591.22	1015.93	271.48	248.0	1572.76	307.69	1183.45	366.09	536.45	420.68	190.34	231.32	341.51	289.02	351.14	647.07	381.68	229.72	376.41	624.99	376.41	571.05	215.77	587.13	403.5	1437.15	133.36	98.73
EIF5A	17317.18	12943.04	25005.23	23492.92	7695.57	11267.44	15392.14	12415.75	22850.48	21320.18	26614.89	26431.04	13872.08	12676.65	18178.19	10883.59	21172.91	22850.48	20881.4	11745.96	23656.34	32767.0	16611.71	20451.65	10883.59	29943.43	19754.96	29943.43	3257.52	3874.05
ELAC2	642.59	476.71	1467.37	551.56	518.15	551.56	1519.15	651.58	1081.39	934.76	1313.23	1030.12	500.46	500.46	902.89	371.22	915.51	1369.04	974.5	470.14	1159.07	1594.73	642.59	954.43	540.19	1059.11	708.18	1407.55	273.37	301.33
EMC6	1119.56	764.36	1508.65	1447.15	775.05	848.22	1477.58	854.13	1651.0	693.58	1447.15	1304.15	679.29	1322.37	1096.5	974.5	1135.2	1259.69	1304.15	647.07	1151.06	1529.73	808.0	1023.0	836.53	2224.63	961.07	2502.97	738.29	500.46
FLII	2645.74	2287.2	8538.88	2627.46	2609.3	2434.5	9606.86	3820.7	5791.62	5366.37	4239.45	8421.31	3820.7	2758.13	4736.79	3039.3	3847.29	6471.02	4543.8	3716.2	4736.79	6294.04	3303.0	5711.87	2682.69	6250.56	4066.71	7642.41	1023.0	1175.27
FXR2	463.65	303.44	961.07	656.11	366.09	400.71	915.51	540.19	775.05	429.54	620.67	733.19	358.54	353.59	551.56	356.05	555.41	728.11	665.29	295.11	607.87	961.07	351.14	616.37	297.17	981.29	529.06	1059.11	229.72	318.57
GEMIN4	237.86	253.23	603.67	194.36	285.03	195.72	684.02	320.8	547.75	361.04	460.44	480.04	209.84	271.48	420.68	392.44	392.44	679.29	400.71	199.85	358.54	514.56	223.41	497.0	221.86	332.14	236.21	708.18	33.3	48.87
GID4	114.36	81.71	253.23	412.0	81.14	88.26	327.56	81.14	253.23	262.2	244.57	265.87	167.9	118.43	202.66	101.54	125.24	301.33	166.73	130.6	142.01	373.81	125.24	221.86	105.15	201.25	255.0	215.77	38.67	35.0
GLOD4	764.36	713.11	1605.83	1295.13	1073.91	1023.0	1781.89	738.29	1721.16	954.43	1135.2	1369.04	529.06	1001.93	961.07	684.02	1268.46	1242.34	1104.13	669.92	967.76	1977.24	813.63	1015.93	780.44	1191.69	733.19	2335.28	267.73	656.11
GPS2	995.0	429.54	1508.65	555.41	819.3	878.17	2758.13	890.44	1159.07	1519.15	1639.59	1896.65	860.08	802.41	1191.69	507.46	1015.93	1733.13	1175.27	808.0	1322.37	1870.53	1051.79	1350.18	934.76	1651.0	1216.75	2417.67	551.56	633.73
INPP5K	295.11	269.6	733.19	836.53	397.93	325.29	967.76	253.23	665.29	521.76	638.15	656.11	351.14	616.37	486.75	309.83	392.44	866.07	536.45	293.07	432.53	988.12	305.55	647.07	299.25	358.54	723.08	567.1	133.36	145.02
KIAA0753	32.82	57.49	113.56	79.45	66.65	75.11	332.14	67.59	264.03	53.57	103.69	93.35	44.89	63.89	81.14	61.25	80.57	111.21	126.12	43.02	90.14	173.85	65.72	109.66	38.67	100.83	53.19	239.52	22.59	18.84
KRT17	450134.56	334117.42	472513.8	4953441.24	462789.59	402881.61	665.29	345900.08	223512.12	971597.0	542775.98	589853.66	462789.59	716197.51	593956.43	343510.77	524287.0	348306.01	218912.29	565825.41	645473.24	327241.36	546551.29	632189.57	350728.68	585779.24	912837.43	338781.54	5.5	4.35
LLGL1	151.22	248.0	363.56	348.71	255.0	166.73	1008.9	343.89	536.45	397.93	356.05	444.72	305.55	332.14	303.44	260.38	633.73	748.61	616.37	231.32	444.72	483.38	414.87	426.57	165.57	457.25	312.0	607.87	22.75	33.06
LSMD1	2104.58	1304.15	4152.18	2875.3	1896.65	1685.71	3491.39	1427.22	3614.55	2720.15	2502.97	2627.46	1242.34	1447.15	2682.69	1340.84	2240.11	2434.5	2384.37	1159.07	2434.5	3060.45	1208.34	2796.65	1081.39	3515.68	2061.24	4869.99	1991.0	1447.15
MAP2K4	102.25	214.27	432.53	1286.18	97.36	119.26	819.3	224.97	392.44	624.99	547.75	480.04	320.8	336.79	417.77	239.52	384.34	679.29	490.14	281.09	435.55	764.36	379.04	426.57	182.55	417.77	583.07	429.54	61.25	68.55
MED11	318.57	226.54	656.11	693.58	366.09	466.88	902.89	265.87	748.61	633.73	738.29	718.08	334.46	493.56	808.0	295.11	507.46	713.11	599.49	379.04	579.04	884.29	395.18	669.92	251.48	629.35	518.15	928.3	518.15	366.09
MED31	232.94	228.13	511.0	1286.18	334.46	460.44	612.11	236.21	587.13	403.5	698.41	497.0	221.86	417.77	743.43	201.25	387.02	450.94	529.06	348.71	476.71	775.05	371.22	470.14	293.07	713.11	518.15	1023.0	137.14	101.54
MED9	153.34	105.15	285.03	206.94	134.3	130.6	379.04	154.42	353.59	117.6	215.77	221.86	85.82	108.14	205.5	154.42	154.42	186.4	224.97	100.83	127.0	295.11	131.51	190.34	177.53	316.37	137.14	444.72	99.43	87.65
METTL16	384.34	163.28	607.87	195.72	232.94	287.01	435.55	208.38	529.06	221.86	503.95	403.5	157.68	351.14	403.5	172.65	368.65	486.75	392.44	193.01	346.29	563.18	218.79	309.83	297.17	656.11	343.89	674.59	123.5	60.82
MPRIP	1427.22	1175.27	1977.24	3395.89	1081.39	1216.75	6792.79	1467.37	1225.22	2816.11	2319.15	2451.44	1467.37	896.64	2047.0	909.17	2148.82	3124.78	2351.53	2193.99	2895.31	2816.11	1023.0	2591.27	1388.16	2287.2	2816.11	1936.53	934.76	334.46
MYBBP1A	854.13	473.41	1295.13	457.25	466.88	490.14	2209.26	543.96	1388.16	1081.39	1216.75	928.3	454.09	713.11	679.29	417.77	872.1	1340.84	1167.14	547.75	1208.34	1551.09	616.37	909.17	693.58	1233.75	620.67	1857.6	204.07	242.88
MYO1C	507.46	713.11	3235.01	872.1	842.36	688.78	3257.52	1119.56	1923.14	2701.35	1883.54	2451.44	1540.37	1437.15	1709.26	878.17	1733.13	2645.74	1794.29	1242.34	1857.6	2976.74	890.44	2224.63	647.07	1757.34	2520.38	2004.85	483.38	543.96
NCOR1	189.02	432.53	1233.75	559.28	358.54	444.72	2255.7	483.38	1127.35	738.29	759.08	723.08	493.56	305.55	688.78	339.14	638.15	1183.45	967.76	543.96	703.28	961.07	444.72	961.07	303.44	1001.93	638.15	1268.46	316.37	169.07
NUP88	764.36	748.61	1883.54	1437.15	733.19	988.12	1369.04	651.58	1529.73	1119.56	1407.55	1304.15	435.55	728.11	1340.84	353.59	1015.93	1151.06	848.22	688.78	1104.13	2193.99	1191.69	854.13	813.63	1208.34	813.63	2976.74	289.02	376.41
OVCA2	842.36	575.03	1350.18	1304.15	579.04	555.41	1498.22	603.67	1745.2	1561.89	1487.87	1572.76	1044.52	1369.04	1651.0	656.11	1268.46	1883.54	1477.58	1001.93	1529.73	1936.53	1127.35	1268.46	633.73	1457.23	1417.35	1674.06	435.55	346.29
PELP1	493.56	403.5	928.3	563.18	423.61	480.04	1369.04	547.75	1059.11	536.45	521.76	813.63	258.57	403.5	503.95	426.57	583.07	638.15	688.78	289.02	525.39	703.28	417.77	674.59	476.71	878.17	361.04	1378.57	279.14	283.05
PFAS	106.63	88.88	228.13	146.03	178.77	171.45	497.0	139.07	260.38	152.28	281.09	186.4	81.14	114.36	108.14	90.14	158.79	389.72	217.27	79.45	189.02	281.09	129.69	120.1	142.01	191.67	71.5	603.67	68.07	96.01
PHF23	575.03	703.28	1277.29	1583.71	507.46	490.14	1044.52	540.19	1583.71	902.89	764.36	1051.79	525.39	497.0	612.11	688.78	684.02	1143.1	974.5	642.59	802.41	1794.29	525.39	866.07	633.73	1286.18	981.29	1844.76	148.09	256.78
PITPNA	493.56	373.81	836.53	1183.45	414.87	381.68	2485.67	647.07	1529.73	1628.26	1757.34	1059.11	995.0	1697.45	947.83	708.18	1350.18	3303.0	1388.16	884.29	1225.22	3146.52	1277.29	1167.14	591.22	1467.37	1950.0	3257.52	125.24	223.41
PITPNM3	11.82	36.79	98.04	819.3	59.97	47.5	587.13	59.13	161.02	221.86	211.31	74.58	68.55	126.12	265.87	83.45	138.1	435.55	137.14	101.54	181.28	241.19	68.07	185.11	41.52	127.89	217.27	285.03	0.43	0.0
PRPF8	2520.38	1378.57	6607.01	2193.99	2287.2	2555.58	4836.35	2417.67	5112.16	3564.78	4937.99	5479.15	2047.0	3564.78	3820.7	3257.52	3515.68	4639.29	3690.52	2133.97	3874.05	4450.27	2367.9	4639.29	2133.97	5711.87	3443.31	8598.28	1388.16	1407.55
PRPSAP2	283.05	251.48	536.45	995.0	309.83	325.29	674.59	316.37	1183.45	444.72	718.08	665.29	366.09	599.49	493.56	336.79	575.03	775.05	463.65	316.37	460.44	1191.69	450.94	521.76	283.05	414.87	379.04	1350.18	139.07	180.02
PSMB6	4972.34	2682.69	8901.53	4937.99	2351.53	2855.44	4671.57	3491.39	7032.37	6294.04	6294.04	7695.57	4010.71	4575.41	3928.15	2075.59	4769.75	6294.04	5872.48	3257.52	5006.93	9876.98	4736.79	5479.15	4639.29	7803.01	5292.48	12160.22	1498.22	2032.85
RABEP1	182.55	183.82	514.56	173.85	148.09	176.29	500.46	297.17	480.04	376.41	406.31	316.37	258.57	218.79	339.14	211.31	316.37	759.08	409.15	212.78	389.72	693.58	234.57	358.54	214.27	334.46	356.05	733.19	116.78	98.04
RANGRF	291.04	220.32	688.78	105.89	346.29	332.14	493.56	277.2	460.44	547.75	497.0	854.13	303.44	283.05	540.19	171.45	447.82	954.43	559.28	316.37	493.56	759.08	409.15	555.41	175.07	988.12	447.82	1519.15	221.86	232.94
RNASEK	4836.35	2739.08	11035.54	5954.47	2855.44	2758.13	8363.13	3257.52	7749.1	5913.33	4937.99	6792.79	5517.27	3742.05	4671.57	2104.58	5219.6	5441.3	6561.36	4152.18	5954.47	8901.53	3419.52	5006.93	3168.41	11664.82	6983.79	8901.53	2720.15	3212.66
RNF167	1909.85	1044.52	4512.4	2384.37	1685.71	1819.35	3280.18	1447.15	3639.7	3515.68	3325.99	4512.4	1896.65	2287.2	2720.15	1286.18	2004.85	4671.57	2855.44	1697.45	2537.92	5711.87	2240.11	3190.46	1806.78	3847.29	3280.18	6079.61	909.17	1745.2
RNMTL1	110.43	87.65	480.04	214.27	150.17	124.37	444.72	150.17	450.94	226.54	346.29	299.25	180.02	289.02	329.84	180.02	307.69	336.79	256.78	170.25	312.0	529.06	217.27	320.8	221.86	297.17	187.71	559.28	141.02	143.01
RPA1	674.59	708.18	1628.26	1388.16	902.89	759.08	1467.37	1359.57	2502.97	1286.18	1313.23	1617.0	616.37	1295.13	941.27	1081.39	1051.79	3060.45	1304.15	688.78	1044.52	2209.26	1388.16	1781.89	651.58	1104.13	1477.58	2485.67	202.66	161.02
SCO1	264.03	217.27	583.07	379.04	239.52	258.57	723.08	371.22	480.04	258.57	473.41	395.18	239.52	231.32	384.34	251.48	379.04	547.75	392.44	182.55	336.79	583.07	239.52	397.93	208.38	435.55	220.32	684.02	102.97	189.02
SENP3	974.5	860.08	1923.14	591.22	785.88	748.61	1111.82	808.0	2047.0	967.76	1519.15	1583.71	669.92	769.69	1199.98	638.15	1159.07	1806.78	1167.14	665.29	1051.79	2335.28	995.0	1015.93	928.3	1427.22	928.3	2664.15	301.33	297.17
SHPK	59.55	79.45	384.34	409.15	110.43	81.71	514.56	85.22	356.05	239.52	426.57	127.89	197.09	232.94	166.73	140.04	186.4	500.46	206.94	204.07	223.41	379.04	241.19	255.0	71.0	186.4	285.03	536.45	53.57	85.22
SLC25A11	759.08	518.15	1769.57	1242.34	688.78	624.99	1572.76	848.22	1583.71	1175.27	1268.46	1359.57	775.05	981.29	967.76	483.38	915.51	1896.65	1388.16	669.92	1143.1	2032.85	995.0	780.44	571.05	1208.34	1277.29	2627.46	575.03	607.87
SMG6	208.38	181.28	708.18	688.78	336.79	279.14	1088.92	260.38	642.59	555.41	642.59	555.41	320.8	363.56	571.05	279.14	518.15	896.64	629.35	287.01	559.28	808.0	346.29	624.99	303.44	603.67	703.28	947.83	133.36	134.3
SMYD4	44.57	33.78	103.69	98.04	113.56	96.68	194.36	81.71	127.0	65.26	147.06	106.63	33.78	84.63	69.03	92.05	89.51	204.07	98.04	35.0	93.35	170.25	65.26	84.63	47.17	76.17	57.08	202.66	33.78	29.48
SOX15	1008.9	1250.98	1508.65	99333.0	1191.69	1199.98	3257.52	769.69	2739.08	1617.0	1923.14	4512.4	902.89	1594.73	1313.23	1175.27	2032.85	2537.92	2133.97	1378.57	1733.13	2682.69	1662.49	3794.3	1159.07	2664.15	1844.76	3982.99	7.57	3.79
SPAG7	1088.92	896.64	2645.74	954.43	785.88	860.08	1617.0	961.07	2061.24	934.76	1286.18	1733.13	693.58	547.75	1096.5	603.67	785.88	1594.73	1233.75	642.59	1135.2	2090.03	802.41	1477.58	890.44	2209.26	785.88	2351.53	599.49	543.96
STX8	679.29	693.58	1936.53	1066.48	616.37	733.19	1369.04	796.86	1359.57	1111.82	1259.69	1757.34	612.11	583.07	1001.93	669.92	1088.92	679.29	1199.98	836.53	1008.9	1870.53	633.73	1088.92	633.73	1733.13	1208.34	1662.49	392.44	361.04
TAX1BP3	1540.37	2935.74	5255.91	5555.65	4481.23	4066.71	5555.65	2935.74	4972.34	4095.0	6983.79	10733.74	3540.14	5517.27	7280.4	1923.14	4450.27	6792.79	6699.25	3491.39	6079.61	8901.53	4210.15	5555.65	1757.34	6983.79	4903.87	4769.75	314.17	201.25
TIMM22	206.94	96.68	395.18	181.28	142.01	141.02	248.0	162.14	291.04	236.21	299.25	373.81	135.24	224.97	232.94	164.42	204.07	293.07	295.11	154.42	255.0	432.53	198.47	281.09	171.45	417.77	223.41	460.44	53.57	49.91
TMEM102	260.38	112.77	595.34	353.59	156.59	78.89	332.14	176.29	571.05	299.25	253.23	248.0	165.57	137.14	339.14	127.0	251.48	366.09	323.03	211.31	248.0	426.57	144.01	323.03	132.44	303.44	373.81	400.71	18.84	40.07
TMEM11	529.06	1104.13	941.27	1143.1	669.92	748.61	915.51	480.04	819.3	693.58	941.27	1066.48	406.31	444.72	785.88	1175.27	775.05	961.07	738.29	420.68	775.05	1183.45	503.95	802.41	476.71	1151.06	674.59	1639.59	389.72	145.02
TMEM256-PLSCR3	928.3	718.08	1832.01	1322.37	684.02	599.49	3564.78	638.15	1794.29	2287.2	1757.34	2351.53	1378.57	878.17	1963.57	896.64	1572.76	2520.38	1572.76	1427.22	2319.15	2537.92	961.07	2555.58	579.04	1685.71	2400.97	1883.54	138.1	116.78
TNK1	193.01	53.19	293.07	258.57	234.57	186.4	409.15	157.68	559.28	242.88	181.28	143.01	82.29	116.78	273.37	127.89	218.79	353.59	327.56	92.7	248.0	301.33	137.14	358.54	107.38	473.41	191.67	575.03	31.0	8.58
TOM1L2	273.37	371.22	1242.34	1991.0	223.41	182.55	4268.94	320.8	1119.56	1359.57	1183.45	679.29	595.34	460.44	713.11	785.88	769.69	1583.71	842.36	480.04	1277.29	1628.26	647.07	1088.92	460.44	540.19	1498.22	684.02	109.66	85.22
TOP3A	166.73	133.36	228.13	187.71	241.19	224.97	463.65	209.84	414.87	228.13	348.71	384.34	149.12	176.29	239.52	173.85	267.73	521.76	348.71	109.66	215.77	392.44	231.32	307.69	167.9	381.68	180.02	647.07	162.14	82.87
TRAPPC1	2591.27	2895.31	6426.31	4607.24	1697.45	1857.6	5076.84	2451.44	5633.22	4481.23	4181.07	7382.04	2367.9	2555.58	3982.99	1832.01	4836.35	5183.54	4639.29	2163.77	4095.0	8963.45	2956.17	4181.07	2367.9	7331.05	4704.07	7857.29	1277.29	961.07
TSR1	323.03	339.14	698.41	432.53	279.14	303.44	854.13	409.15	698.41	518.15	633.73	647.07	285.03	409.15	503.95	379.04	514.56	785.88	575.03	366.09	555.41	967.76	361.04	547.75	351.14	599.49	376.41	819.3	50.63	84.63
TTC19	291.04	99.43	297.17	486.75	173.85	211.31	961.07	171.45	543.96	260.38	353.59	309.83	137.14	131.51	242.88	122.64	307.69	220.32	381.68	173.85	285.03	384.34	148.09	206.94	198.47	397.93	241.19	507.46	140.04	128.79
TVP23B	251.48	563.18	1225.22	2701.35	332.14	381.68	1757.34	679.29	1369.04	1008.9	1143.1	902.89	738.29	688.78	921.88	507.46	902.89	1628.26	1268.46	713.11	1023.0	1529.73	603.67	1159.07	318.57	947.83	915.51	1427.22	134.3	211.31
TXNDC17	7695.57	4671.57	28328.16	20451.65	5441.3	6607.01	12589.08	4038.61	9474.59	10154.69	7803.01	17927.91	3589.58	4066.71	11664.82	2720.15	7803.01	8538.88	8658.09	5954.47	9945.68	13215.02	7081.29	6426.31	6561.36	16496.96	8963.45	14461.21	1359.57	2367.9
VAMP2	454.09	220.32	1277.29	555.41	269.6	237.86	2367.9	414.87	1819.35	567.1	679.29	1199.98	389.72	521.76	791.35	397.93	656.11	669.92	785.88	473.41	476.71	1467.37	368.65	703.28	417.77	688.78	896.64	532.74	181.28	376.41
VPS53	90.77	176.29	301.33	435.55	193.01	115.16	981.29	189.02	624.99	587.13	521.76	559.28	291.04	211.31	265.87	150.17	387.02	934.76	551.56	303.44	379.04	718.08	305.55	438.59	180.02	346.29	476.71	470.14	57.89	101.54
YWHAE	8191.0	232.94	24490.61	18689.27	6699.25	7180.15	12764.83	10368.08	18950.18	13968.57	12943.04	14867.79	7589.61	12676.65	9606.86	7857.29	11112.3	17927.91	13492.72	7230.1	9606.86	20451.65	9409.14	13306.94	6887.62	16611.71	13968.57	19082.0	2255.7	2855.44
ZBTB4	113.56	211.31	703.28	358.54	144.01	137.14	1191.69	265.87	866.07	656.11	420.68	848.22	363.56	199.85	575.03	551.56	387.02	813.63	595.34	343.89	514.56	638.15	307.69	825.0	221.86	629.35	698.41	713.11	57.08	50.27
ZNF18	111.99	58.3	248.0	175.07	82.87	94.01	224.97	72.52	194.36	88.26	169.07	145.02	34.51	48.87	113.56	94.01	98.04	159.9	122.64	81.14	102.97	208.38	63.89	81.71	55.89	186.4	82.29	183.82	53.57	53.57
ZNF232	108.14	71.0	122.64	178.77	115.97	118.43	215.77	110.43	122.64	114.36	121.79	161.02	40.64	62.12	51.71	144.01	75.64	209.84	198.47	66.65	96.01	214.27	85.82	111.99	90.77	165.57	46.5	289.02	57.89	40.36
ZNF286A	78.89	84.63	201.25	255.0	55.1	56.68	223.41	89.51	305.55	189.02	187.71	81.71	134.3	87.65	89.51	127.89	116.78	363.56	170.25	74.06	181.28	332.14	102.97	194.36	64.8	212.78	112.77	536.45	49.56	28.65
ZZEF1	46.5	74.58	199.85	143.01	100.83	87.03	941.27	178.77	279.14	186.4	262.2	140.04	151.22	125.24	204.07	100.13	183.82	336.79	237.86	152.28	195.72	279.14	137.14	190.34	74.58	107.38	201.25	183.82	59.13	33.3
