	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.T6MO.0526.SM.4DM6R	GTEX.WRHK.0526.SM.4MVOF	GTEX.R55C.0826.SM.48FCL	GTEX.13QJ3.1726.SM.5RQK9	GTEX.S95S.0426.SM.4B64I	GTEX.ZT9W.1326.SM.51MTB	GTEX.TML8.1526.SM.4DXUX	GTEX.VUSG.1226.SM.4KKZF	GTEX.OIZG.1026.SM.3LK5X	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.DD.A39X.11A.11R.A213.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.13NZB.0626.SM.5IFH6	GTEX.RN64.1826.SM.48FDV	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
DHX33	115.16	204.07	236.21	232.94	212.78	169.07	239.52	236.21	116.78	158.79	132.44	117.6	214.27	143.01	100.83	170.25	181.28	114.36	140.04	121.79	117.6	141.02	99.43	108.9	47.84	61.25	49.21	109.66	82.29	90.14	84.63	92.7	92.7	102.25	98.73	81.71	81.14	108.9	125.24	236.21	91.41	124.37	94.01
DNAJB6	3768.09	3716.2	4328.55	4152.18	4736.79	3955.48	4450.27	4481.23	4298.64	4268.94	4268.94	5555.65	3060.45	3190.46	2271.4	2335.28	2796.65	2119.22	2240.11	2739.08	1572.76	2573.36	1685.71	2816.11	3124.78	595.34	934.76	514.56	674.59	447.82	490.14	967.76	591.22	1119.56	521.76	698.41	775.05	4123.49	4769.75	5672.41	2956.17	4038.61	5041.77
DTD2	253.23	291.04	312.0	314.17	332.14	249.73	384.34	267.73	255.0	265.87	199.85	246.28	253.23	226.54	205.5	273.37	211.31	139.07	104.42	265.87	221.86	236.21	228.13	256.78	529.06	148.09	170.25	132.44	140.04	106.63	152.28	125.24	152.28	133.36	142.01	124.37	167.9	808.0	503.95	295.11	329.84	429.54	329.84
DYNC1H1	5006.93	4388.98	5006.93	3794.3	4836.35	5219.6	4388.98	4575.41	4419.52	4328.55	3349.13	4937.99	4769.75	4450.27	3589.58	3419.52	3768.09	2777.33	3257.52	3124.78	3280.18	3467.27	3665.02	4419.52	1216.75	1304.15	1572.76	1397.83	1111.82	802.41	791.35	1191.69	2148.82	1378.57	1304.15	988.12	1322.37	3280.18	4869.99	4388.98	3325.99	4639.29	4010.71
EFTUD2	884.29	1697.45	1709.26	1286.18	1350.18	1923.14	1963.57	1529.73	1159.07	1529.73	1304.15	2351.53	1427.22	1313.23	974.5	1015.93	1015.93	718.08	854.13	1104.13	1023.0	921.88	909.17	1268.46	878.17	660.68	463.65	571.05	529.06	547.75	698.41	525.39	633.73	409.15	616.37	511.0	647.07	1508.65	1832.01	1709.26	1529.73	1331.57	1331.57
ELAVL1	848.22	981.29	1073.91	961.07	890.44	988.12	748.61	1199.98	813.63	934.76	866.07	1242.34	1030.12	836.53	708.18	543.96	733.19	532.74	665.29	660.68	688.78	669.92	759.08	884.29	583.07	423.61	507.46	343.89	406.31	500.46	379.04	384.34	339.14	376.41	356.05	454.09	389.72	1242.34	890.44	1447.15	896.64	947.83	759.08
FAM126A	38.4	387.02	583.07	603.67	518.15	363.56	575.03	457.25	368.65	384.34	366.09	703.28	218.79	373.81	90.14	166.73	320.8	189.02	208.38	134.3	161.02	316.37	172.65	236.21	229.72	61.68	134.3	73.54	157.68	80.57	50.63	108.14	75.11	72.01	61.25	87.65	155.5	525.39	224.97	896.64	190.34	198.47	332.14
FAT2	402881.61	2075.59	2148.82	2004.85	1709.26	2335.28	3190.46	3280.18	3190.46	1175.27	470.14	3982.99	3690.52	2485.67	718.08	830.75	981.29	1159.07	1151.06	723.08	1781.89	988.12	1331.57	1437.15	251.48	0.0	0.18	0.52	0.21	0.16	0.15	0.55	0.15	0.15	0.45	0.41	0.62	2119.22	3614.55	1359.57	4972.34	2133.97	2520.38
GORASP2	1322.37	1870.53	1781.89	1191.69	1508.65	1572.76	1397.83	1447.15	1498.22	2004.85	1909.85	1662.49	1594.73	1605.83	1322.37	1617.0	1369.04	1175.27	1199.98	1457.23	1437.15	1331.57	1216.75	1540.37	1487.87	493.56	633.73	547.75	438.59	432.53	595.34	629.35	599.49	674.59	497.0	426.57	629.35	1844.76	1709.26	1369.04	1662.49	1721.16	1417.35
HIF1A	3982.99	2367.9	4512.4	4639.29	2627.46	2895.31	2777.33	1757.34	3443.31	1529.73	2384.37	6294.04	1111.82	2502.97	1467.37	1594.73	2319.15	1508.65	1159.07	1605.83	1477.58	1437.15	1397.83	1417.35	981.29	262.2	854.13	231.32	353.59	215.77	178.77	215.77	214.27	511.0	120.94	316.37	253.23	2645.74	1397.83	3190.46	2351.53	2104.58	2384.37
KPNA1	587.13	785.88	860.08	647.07	743.43	764.36	860.08	785.88	728.11	698.41	723.08	1183.45	791.35	708.18	633.73	1044.52	743.43	381.68	665.29	718.08	547.75	567.1	529.06	547.75	490.14	376.41	403.5	363.56	320.8	253.23	327.56	555.41	381.68	559.28	329.84	476.71	400.71	974.5	1208.34	1059.11	1008.9	878.17	813.63
LMNB2	848.22	890.44	2133.97	1651.0	753.83	1127.35	647.07	1286.18	514.56	1030.12	624.99	2319.15	1096.5	638.15	607.87	493.56	607.87	525.39	583.07	551.56	435.55	808.0	688.78	748.61	182.55	48.52	55.89	84.04	44.25	26.28	52.45	47.17	105.15	85.82	43.32	53.19	32.36	1151.06	1757.34	1819.35	1001.93	909.17	921.88
MAP7D1	3081.75	3874.05	6471.02	5633.22	4388.98	6745.86	3491.39	4123.49	2835.7	4704.07	4543.8	5329.3	3928.15	3540.14	1674.06	1216.75	3325.99	1508.65	2609.3	1781.89	1127.35	1819.35	1844.76	2384.37	1008.9	334.46	559.28	295.11	423.61	301.33	295.11	312.0	587.13	540.19	281.09	341.51	379.04	3639.7	4639.29	12502.12	5219.6	3540.14	3614.55
MCMBP	647.07	848.22	1023.0	890.44	934.76	1008.9	1008.9	1119.56	665.29	698.41	825.0	1159.07	1044.52	679.29	624.99	813.63	633.73	329.84	540.19	674.59	490.14	587.13	536.45	665.29	941.27	329.84	312.0	211.31	205.5	215.77	218.79	253.23	195.72	244.57	157.68	291.04	264.03	1167.14	961.07	1225.22	733.19	748.61	974.5
METTL8	361.04	514.56	738.29	775.05	486.75	454.09	514.56	536.45	412.0	403.5	384.34	708.18	486.75	387.02	167.9	236.21	283.05	190.34	145.02	305.55	224.97	457.25	217.27	198.47	320.8	56.28	71.5	45.21	46.5	45.85	42.41	55.89	43.02	37.85	51.71	55.1	51.71	665.29	507.46	698.41	476.71	232.94	507.46
NAA15	348.71	379.04	426.57	387.02	490.14	353.59	500.46	483.38	305.55	318.57	356.05	473.41	379.04	320.8	214.27	283.05	336.79	150.17	191.67	262.2	211.31	237.86	246.28	231.32	301.33	86.43	91.41	71.5	83.45	72.01	74.58	96.01	67.59	121.79	70.01	92.7	72.01	713.11	567.1	1073.91	476.71	476.71	529.06
NAA50	2133.97	1388.16	1572.76	1457.23	1508.65	1487.87	1844.76	1977.24	1340.84	1467.37	1407.55	2855.44	1721.16	1295.13	1191.69	1417.35	1286.18	748.61	890.44	1233.75	1199.98	1268.46	1233.75	1781.89	2384.37	470.14	547.75	381.68	384.34	346.29	389.72	417.77	336.79	473.41	409.15	547.75	500.46	5183.54	4239.45	5672.41	1745.2	2537.92	2701.35
NRP2	27.25	575.03	1277.29	629.35	1051.79	967.76	1208.34	780.44	115.97	733.19	2047.0	974.5	1259.69	244.57	314.17	161.02	429.54	189.02	204.07	125.24	165.57	217.27	134.3	236.21	29.7	74.06	139.07	111.99	18.03	50.27	18.03	127.89	88.88	27.64	32.13	182.55	41.22	314.17	309.83	1268.46	265.87	126.12	209.84
NUP93	813.63	915.51	1295.13	802.41	941.27	1295.13	1340.84	981.29	830.75	872.1	785.88	1697.45	780.44	743.43	656.11	571.05	660.68	525.39	693.58	698.41	507.46	647.07	514.56	780.44	638.15	211.31	389.72	273.37	211.31	97.36	187.71	202.66	309.83	217.27	228.13	255.0	223.41	1191.69	1685.71	1233.75	1216.75	1175.27	1233.75
NUTF2	2090.03	2591.27	4038.61	4388.98	2075.59	3690.52	3039.3	2682.69	2090.03	2645.74	3081.75	4769.75	2682.69	1870.53	1487.87	1208.34	1529.73	1277.29	1369.04	1594.73	1015.93	1477.58	1437.15	1498.22	1991.0	1111.82	1191.69	961.07	802.41	753.83	713.11	785.88	909.17	1051.79	638.15	1008.9	1096.5	3395.89	2224.63	3665.02	2133.97	2163.77	2287.2
PUF60	2796.65	3349.13	3349.13	3190.46	2303.12	4095.0	3146.52	3874.05	2573.36	4123.49	2720.15	3589.58	2682.69	2485.67	1923.14	2075.59	2335.28	1286.18	2224.63	2287.2	1806.78	1991.0	2417.67	2485.67	2502.97	1950.0	1605.83	1757.34	1378.57	1617.0	1519.15	1639.59	3443.31	1936.53	1883.54	1991.0	1322.37	3491.39	3665.02	4328.55	4066.71	3820.7	4010.71
RB1	1350.18	728.11	651.58	988.12	713.11	432.53	902.89	674.59	591.22	525.39	674.59	660.68	591.22	450.94	500.46	503.95	429.54	412.0	381.68	400.71	293.07	532.74	426.57	595.34	603.67	96.68	123.5	173.85	120.94	60.82	44.57	105.15	85.82	107.38	60.82	98.73	106.63	1359.57	909.17	1159.07	387.02	356.05	780.44
RPE	532.74	497.0	480.04	563.18	536.45	429.54	616.37	595.34	476.71	447.82	540.19	409.15	381.68	403.5	327.56	379.04	329.84	309.83	334.46	363.56	441.64	438.59	379.04	403.5	902.89	295.11	301.33	178.77	218.79	215.77	224.97	234.57	165.57	241.19	194.36	371.22	231.32	1259.69	688.78	988.12	457.25	497.0	435.55
RPS6KA4	514.56	1250.98	1551.09	1378.57	928.3	1617.0	1183.45	981.29	884.29	1487.87	769.69	1651.0	1529.73	854.13	660.68	629.35	759.08	633.73	651.58	532.74	612.11	1175.27	1191.69	819.3	529.06	172.65	181.28	155.5	116.78	143.01	115.97	130.6	267.73	186.4	242.88	136.19	115.97	1015.93	2645.74	1923.14	1008.9	1259.69	896.64
RUVBL1	1037.29	1001.93	1697.45	1487.87	967.76	1359.57	1313.23	1572.76	688.78	967.76	884.29	2591.27	1037.29	555.41	503.95	389.72	540.19	392.44	559.28	406.31	329.84	665.29	503.95	551.56	669.92	334.46	297.17	246.28	217.27	167.9	220.32	262.2	287.01	248.0	285.03	271.48	191.67	1407.55	1151.06	2384.37	743.43	1233.75	1037.29
SF3A3	1059.11	1259.69	1322.37	967.76	1175.27	1331.57	1561.89	1487.87	981.29	1304.15	1119.56	1498.22	1331.57	967.76	688.78	785.88	890.44	543.96	775.05	780.44	819.3	713.11	764.36	848.22	921.88	490.14	389.72	348.71	406.31	397.93	353.59	432.53	392.44	426.57	309.83	438.59	429.54	1508.65	1286.18	1378.57	915.51	1322.37	934.76
SF3B4	1417.35	1909.85	2032.85	1844.76	1561.89	2319.15	2178.83	1936.53	1594.73	2061.24	1844.76	1883.54	1721.16	1388.16	1183.45	1359.57	1467.37	813.63	1250.98	1059.11	1151.06	921.88	1096.5	1359.57	796.86	409.15	473.41	466.88	211.31	285.03	379.04	334.46	450.94	387.02	470.14	320.8	332.14	2047.0	2119.22	2240.11	2090.03	1936.53	1896.65
SSRP1	1936.53	2047.0	2502.97	2163.77	3419.52	2287.2	2555.58	2417.67	1605.83	2240.11	1950.0	2591.27	2209.26	1498.22	1437.15	1216.75	1407.55	961.07	1662.49	1508.65	1268.46	1359.57	1427.22	1883.54	1295.13	866.07	738.29	698.41	414.87	559.28	660.68	679.29	595.34	633.73	660.68	638.15	703.28	2351.53	2287.2	1950.0	1909.85	2319.15	2047.0
TMA16	441.64	316.37	518.15	612.11	287.01	358.54	547.75	429.54	260.38	339.14	397.93	532.74	381.68	217.27	218.79	264.03	271.48	226.54	229.72	336.79	267.73	307.69	202.66	312.0	381.68	232.94	163.28	143.01	106.63	103.69	153.34	147.06	100.13	158.79	197.09	165.57	120.94	567.1	343.89	237.86	285.03	262.2	287.01
TRAF3	119.26	229.72	226.54	318.57	237.86	275.28	283.05	329.84	143.01	279.14	183.82	293.07	287.01	162.14	121.79	180.02	246.28	134.3	165.57	119.26	154.42	115.16	167.9	199.85	76.71	85.82	77.25	61.25	63.45	92.7	36.79	100.13	113.56	129.69	99.43	43.94	71.0	195.72	195.72	283.05	376.41	134.3	161.02
TRMT6	211.31	325.29	651.58	423.61	348.71	363.56	511.0	351.14	198.47	262.2	305.55	435.55	441.64	171.45	165.57	297.17	285.03	113.56	212.78	251.48	157.68	148.09	169.07	187.71	197.09	88.26	90.77	95.34	87.65	62.56	100.83	76.71	88.88	79.45	71.0	111.99	96.01	493.56	368.65	571.05	309.83	403.5	336.79
TTL	112.77	373.81	403.5	309.83	441.64	373.81	432.53	507.46	273.37	381.68	397.93	417.77	450.94	253.23	194.36	258.57	307.69	226.54	236.21	199.85	155.5	323.03	231.32	209.84	175.07	107.38	97.36	69.03	60.82	41.52	57.08	106.63	130.6	82.29	105.15	81.71	91.41	543.96	457.25	511.0	379.04	406.31	529.06
TWISTNB	124.37	182.55	279.14	334.46	312.0	193.01	384.34	220.32	127.89	220.32	303.44	305.55	182.55	106.63	124.37	185.11	148.09	80.01	156.59	147.06	99.43	75.64	127.89	128.79	182.55	71.5	85.22	89.51	96.01	52.45	98.04	88.88	57.49	84.63	67.12	85.82	93.35	329.84	271.48	325.29	167.9	164.42	181.28
UBA6	2701.35	551.56	830.75	551.56	764.36	432.53	802.41	848.22	703.28	665.29	591.22	796.86	684.02	420.68	320.8	242.88	417.77	256.78	397.93	457.25	314.17	669.92	381.68	503.95	438.59	71.5	56.28	82.29	82.29	66.18	115.97	130.6	73.54	169.07	78.34	100.83	120.94	429.54	842.36	1417.35	1175.27	620.67	764.36
UBE3C	551.56	718.08	813.63	825.0	884.29	759.08	780.44	860.08	660.68	693.58	567.1	954.43	842.36	624.99	563.18	688.78	728.11	500.46	567.1	612.11	500.46	651.58	575.03	603.67	507.46	295.11	255.0	195.72	205.5	253.23	273.37	265.87	194.36	384.34	204.07	283.05	351.14	1066.48	890.44	1104.13	947.83	748.61	759.08
USP14	633.73	836.53	1208.34	848.22	1015.93	995.0	872.1	1001.93	866.07	954.43	819.3	1295.13	878.17	642.59	514.56	785.88	698.41	339.14	444.72	684.02	444.72	521.76	384.34	493.56	483.38	255.0	234.57	236.21	231.32	191.67	256.78	251.48	237.86	287.01	209.84	246.28	260.38	1233.75	909.17	1286.18	743.43	743.43	878.17
VCL	902.89	3491.39	2520.38	1709.26	2956.17	3235.01	3515.68	2271.4	1417.35	2133.97	3395.89	3124.78	3372.43	1923.14	1806.78	1583.71	2351.53	961.07	2148.82	1104.13	1350.18	1151.06	1183.45	1250.98	361.04	108.9	269.6	220.32	244.57	87.65	105.15	339.14	303.44	242.88	109.66	264.03	156.59	1498.22	1191.69	1757.34	1111.82	1151.06	802.41
WDR1	2367.9	9474.59	10225.32	3515.68	4123.49	11992.79	5872.48	7331.05	5954.47	8840.04	7537.18	4152.18	9606.86	7537.18	3742.05	3901.01	5479.15	2976.74	3742.05	3443.31	3690.52	3564.78	3768.09	4671.57	2915.45	1233.75	1295.13	890.44	947.83	934.76	1001.93	1216.75	1104.13	1277.29	819.3	1081.39	1059.11	6037.61	5913.33	6983.79	5183.54	6207.38	5711.87
YWHAG	2119.22	2047.0	2609.3	2271.4	2047.0	1977.24	2664.15	2148.82	1733.13	1561.89	2287.2	3589.58	1662.49	1467.37	1143.1	1104.13	1388.16	1143.1	1340.84	1605.83	1030.12	1417.35	1191.69	1313.23	967.76	612.11	890.44	486.75	620.67	518.15	551.56	642.59	567.1	928.3	536.45	723.08	733.19	3081.75	2664.15	4802.93	2835.7	2645.74	2895.31
ZBED2	16611.71	441.64	896.64	934.76	271.48	307.69	753.83	249.73	1844.76	29.06	74.06	995.0	1242.34	2739.08	309.83	307.69	493.56	571.05	258.57	353.59	595.34	297.17	379.04	395.18	660.68	0.0	2.16	2.12	0.0	0.0	3.79	0.0	0.0	0.0	0.0	0.55	2.48	2119.22	2351.53	486.75	2502.97	1127.35	3190.46
ZYX	1628.26	8078.22	12764.83	4181.07	5255.91	11745.96	4543.8	5479.15	2758.13	10883.59	6207.38	9540.5	8421.31	4639.29	3124.78	3395.89	5403.7	2645.74	4903.87	2303.12	2573.36	2384.37	2609.3	2935.74	785.88	412.0	1295.13	878.17	1127.35	1259.69	543.96	830.75	1806.78	860.08	703.28	848.22	1096.5	4123.49	1617.0	5672.41	2835.7	2400.97	1896.65
