	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.SE5C.2126.SM.4BRUJ	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.133LE.1726.SM.5K7VQ	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.EA.A3HS.01A.11R.A213.07	TCGA.VS.A9UM.01A.11R.A42T.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.12WSJ.1426.SM.5GCON	GTEX.13W3W.2126.SM.5K7UX	GTEX.12WSJ.1526.SM.5GCNI	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	GTEX.1399S.0526.SM.5IJG8	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56
ARHGEF6	1477.58	1066.48	1081.39	2367.9	2915.45	2701.35	1208.34	1529.73	1583.71	2758.13	878.17	1447.15	1242.34	2090.03	2047.0	1963.57	1844.76	1561.89	1191.69	1674.06	603.67	2915.45	3874.05	1583.71	575.03	1950.0	1572.76	2335.28	921.88	2271.4	559.28	718.08	1096.5	4512.4	934.76	3190.46	1519.15	854.13	1477.58	57.08	88.88	48.52	125.24	493.56	175.07	320.8	262.2	36.01	6.11	41.22	61.68	73.54	27.44	71.0	41.81	48.52	155.5	17.38	23.42	67.59	38.67	305.55	123.5	81.14	518.15
C5orf64	7.17	11.38	16.15	24.63	6.06	11.73	16.63	7.46	4.39	36.79	7.75	2.81	6.89	2.73	30.34	1.2	16.75	5.06	1.97	13.83	3.03	30.12	3.79	13.52	3.82	9.27	3.76	2.58	1.97	9.41	2.61	3.14	7.06	8.78	0.0	12.0	1.97	1.99	2.56	0.49	0.0	0.25	0.27	1.45	6.84	4.13	2.39	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	5.28
C7orf41	2758.13	1883.54	3955.48	4903.87	7857.29	4769.75	5366.37	4298.64	2400.97	5995.9	2119.22	3690.52	2976.74	3372.43	6887.62	4181.07	4575.41	3419.52	4802.93	5831.91	1769.57	4869.99	11909.94	2796.65	2502.97	4123.49	2976.74	1950.0	4181.07	3639.7	2319.15	3212.66	3716.2	4543.8	2018.8	3235.01	1628.26	1674.06	1417.35	162.14	142.01	236.21	55.89	698.41	543.96	466.88	503.95	182.55	299.25	251.48	189.02	122.64	120.94	175.07	135.24	127.89	107.38	177.53	185.11	190.34	255.0	1191.69	145.02	71.5	579.04
CARD8	819.3	954.43	896.64	1008.9	1175.27	974.5	486.75	902.89	1159.07	995.0	988.12	878.17	688.78	1127.35	1143.1	1044.52	1051.79	961.07	1151.06	1066.48	796.86	813.63	1304.15	1001.93	796.86	884.29	780.44	1030.12	928.3	830.75	791.35	1066.48	1096.5	967.76	1008.9	785.88	981.29	890.44	536.45	215.77	293.07	379.04	356.05	848.22	490.14	536.45	559.28	312.0	186.4	215.77	287.01	277.2	194.36	303.44	149.12	153.34	307.69	142.01	115.16	149.12	116.78	1208.34	368.65	171.45	718.08
CCDC36	39.79	29.91	44.89	60.39	96.68	112.77	110.43	76.17	60.39	83.45	44.89	43.02	78.34	115.97	93.35	98.04	91.41	80.57	105.15	59.55	66.18	108.9	80.57	83.45	38.95	49.91	17.0	60.39	107.38	41.22	27.84	49.56	59.55	38.67	27.25	47.5	54.72	41.22	28.24	2.92	1.79	1.39	2.78	22.59	10.47	13.83	9.2	2.14	2.18	1.22	2.53	0.79	0.0	1.66	1.87	0.91	1.5	1.66	1.45	1.01	2.1	9.93	0.0	0.2	2.25
CLCC1	466.88	463.65	457.25	507.46	620.67	665.29	518.15	603.67	540.19	669.92	450.94	521.76	543.96	507.46	575.03	624.99	575.03	629.35	497.0	529.06	493.56	567.1	651.58	599.49	551.56	713.11	435.55	551.56	540.19	358.54	384.34	500.46	381.68	718.08	674.59	376.41	607.87	543.96	454.09	172.65	387.02	256.78	470.14	334.46	303.44	429.54	353.59	191.67	226.54	214.27	299.25	212.78	153.34	141.02	180.02	151.22	295.11	358.54	166.73	106.63	166.73	351.14	0.0	0.65	423.61
COL15A1	1359.57	1030.12	1769.57	3060.45	1594.73	1806.78	2609.3	2720.15	2255.7	3257.52	2255.7	1923.14	1561.89	2163.77	2777.33	1896.65	2090.03	1268.46	2148.82	2367.9	1540.37	1167.14	4239.45	2255.7	909.17	2384.37	872.1	1923.14	2104.58	1963.57	1709.26	1977.24	1936.53	2682.69	909.17	1662.49	414.87	884.29	1322.37	76.71	157.68	156.59	273.37	1081.39	718.08	567.1	490.14	180.02	24.99	47.5	283.05	123.5	124.37	189.02	105.15	103.69	173.85	31.45	74.06	156.59	147.06	229.72	0.0	0.27	88.88
COL25A1	44.89	28.86	43.02	78.89	73.54	74.06	62.56	68.55	79.45	90.14	61.25	47.84	93.35	75.11	77.79	90.14	54.72	67.59	157.68	104.42	60.39	63.45	127.0	95.34	30.12	35.5	43.94	55.89	97.36	74.06	29.48	161.02	106.63	120.94	96.68	195.72	122.64	72.01	42.41	0.0	0.59	0.57	1.31	83.45	4.21	20.86	5.63	0.54	0.83	4.5	0.48	0.46	1.95	0.53	5.36	0.0	8.25	1.69	1.5	0.0	2.68	14.24	0.0	0.27	5.92
COL4A3BP	780.44	638.15	633.73	1191.69	1216.75	1183.45	1111.82	842.36	813.63	1135.2	718.08	1059.11	1044.52	878.17	1088.92	1081.39	947.83	902.89	1350.18	1111.82	928.3	1572.76	1561.89	1487.87	848.22	1066.48	860.08	679.29	1001.93	1143.1	884.29	1127.35	1397.83	1073.91	660.68	1008.9	624.99	693.58	480.04	215.77	253.23	323.03	395.18	447.82	353.59	503.95	583.07	267.73	171.45	314.17	346.29	218.79	273.37	412.0	279.14	301.33	297.17	198.47	325.29	273.37	325.29	616.37	229.72	119.26	753.83
CPED1	1617.0	579.04	647.07	1605.83	2573.36	1529.73	1104.13	1242.34	1059.11	1844.76	759.08	1498.22	1674.06	1519.15	1950.0	2032.85	1844.76	1295.13	1844.76	2351.53	567.1	909.17	2915.45	595.34	234.57	1104.13	454.09	409.15	915.51	587.13	351.14	624.99	1001.93	1304.15	264.03	1963.57	387.02	633.73	237.86	11.47	30.56	20.11	25.72	336.79	180.02	279.14	251.48	20.86	6.73	10.55	13.83	11.73	11.13	36.79	15.34	14.45	36.53	11.82	4.03	13.42	22.26	220.32	0.0	0.17	320.8
CYB5RL	65.26	59.13	51.35	92.05	83.45	77.25	72.52	53.19	72.01	82.29	67.12	73.03	96.68	70.51	85.82	90.77	61.25	85.82	92.7	69.52	87.03	103.69	104.42	65.72	37.85	83.45	50.98	50.27	158.79	72.01	52.08	32.36	74.06	51.35	92.7	88.26	72.01	69.52	61.68	43.94	53.19	78.89	70.01	38.67	52.45	60.82	68.55	21.16	19.82	18.56	43.02	59.55	22.43	44.89	60.82	24.99	43.02	19.97	28.65	30.12	26.86	78.34	0.0	0.0	41.52
EBF1	1233.75	836.53	1015.93	2018.8	1923.14	1397.83	1794.29	1037.29	1313.23	1572.76	866.07	1540.37	1651.0	1498.22	1583.71	2319.15	1081.39	1519.15	1572.76	1572.76	981.29	1216.75	1757.34	1008.9	703.28	780.44	323.03	1088.92	753.83	1359.57	299.25	373.81	830.75	493.56	529.06	947.83	320.8	718.08	450.94	6.89	14.89	17.38	15.45	460.44	94.67	417.77	208.38	26.67	10.31	13.52	30.12	26.1	16.39	30.12	20.56	13.62	10.63	8.71	9.13	12.45	10.71	493.56	0.0	0.29	19.25
ECM2	2720.15	1844.76	2796.65	4704.07	8421.31	6079.61	3349.13	4512.4	2816.11	4328.55	2178.83	3443.31	2537.92	3589.58	6887.62	4038.61	4123.49	4066.71	4010.71	5672.41	1008.9	2976.74	4671.57	2319.15	587.13	1991.0	775.05	521.76	1529.73	1159.07	307.69	1417.35	1628.26	6983.79	769.69	1023.0	409.15	1417.35	703.28	9.34	43.63	52.45	82.29	406.31	26.86	412.0	118.43	39.22	17.51	61.68	55.89	64.8	31.67	212.78	54.72	57.08	44.25	12.0	8.51	28.45	31.22	536.45	0.0	0.0	521.76
EIF4EBP2	2520.38	1950.0	2351.53	3540.14	4836.35	3515.68	2976.74	2178.83	2739.08	3168.41	2384.37	3515.68	3589.58	2417.67	3325.99	4903.87	2758.13	3874.05	5255.91	3874.05	4210.15	2777.33	3419.52	2816.11	2032.85	1594.73	2739.08	1639.59	2075.59	2351.53	2018.8	2434.5	3794.3	3124.78	2090.03	2018.8	2400.97	1857.6	1529.73	603.67	571.05	698.41	624.99	1216.75	1304.15	1030.12	1250.98	316.37	264.03	490.14	620.67	536.45	444.72	567.1	1023.0	603.67	473.41	802.41	555.41	579.04	583.07	1191.69	403.5	314.17	848.22
EPB41L2	2682.69	2075.59	1781.89	4066.71	4639.29	4210.15	3716.2	4010.71	3540.14	4181.07	2434.5	3235.01	2485.67	4328.55	5292.48	3349.13	4152.18	3235.01	3665.02	4607.24	1806.78	2956.17	5711.87	1769.57	1963.57	4481.23	1572.76	1199.98	2997.45	1806.78	1081.39	1008.9	3235.01	5711.87	2032.85	3146.52	1896.65	2915.45	1277.29	96.01	327.56	395.18	271.48	1447.15	1051.79	1487.87	1331.57	106.63	100.83	305.55	220.32	67.12	381.68	299.25	392.44	100.83	381.68	98.04	229.72	108.9	141.02	896.64	647.07	684.02	878.17
FABP4	217400.14	140478.49	365622.68	253213.41	322736.12	386469.83	394590.4	215898.44	201440.3	258533.99	225066.78	348306.01	279017.26	327241.36	358098.26	370726.6	263966.36	205673.01	489177.0	292889.12	273275.14	447025.24	716197.51	602247.76	360589.03	284880.02	324980.94	345900.08	569761.05	327241.36	198667.0	558035.51	906531.99	417089.23	220434.95	1078054.48	1838374.44	394590.4	292889.12	12.27	263966.36	120609.84	123144.13	636586.81	525.39	292889.12	11267.44	129266.49	62.56	148488.36	150561.19	135693.24	11345.82	194578.47	198667.0	76330.98	160252.91	119776.72	70.01	153.34	191.67	318292.9	0.0	0.15	408505.64
FAM13A	1447.15	1295.13	1561.89	2485.67	2555.58	2417.67	1540.37	1111.82	1023.0	1617.0	1119.56	2997.45	1697.45	1350.18	1870.53	3349.13	1572.76	1397.83	4543.8	1936.53	1709.26	769.69	1059.11	780.44	299.25	1111.82	1437.15	327.56	493.56	490.14	204.07	195.72	563.18	1369.04	802.41	389.72	1088.92	796.86	503.95	21.47	353.59	136.19	64.8	400.71	543.96	334.46	346.29	77.25	83.45	140.04	74.06	83.45	66.65	206.94	158.79	82.29	135.24	90.14	76.71	56.68	84.04	688.78	0.0	0.62	94.01
FAM92A1	660.68	551.56	718.08	1233.75	1167.14	842.36	1417.35	693.58	878.17	1023.0	543.96	748.61	638.15	693.58	854.13	915.51	825.0	669.92	830.75	878.17	521.76	915.51	830.75	848.22	406.31	647.07	249.73	642.59	2178.83	1104.13	221.86	954.43	1417.35	1037.29	1081.39	718.08	289.02	460.44	426.57	264.03	346.29	191.67	62.12	218.79	327.56	283.05	353.59	454.09	249.73	239.52	633.73	412.0	361.04	283.05	358.54	94.67	543.96	305.55	107.38	148.09	201.25	332.14	0.0	0.71	208.38
FERMT2	2502.97	1963.57	2627.46	6294.04	4481.23	5112.16	5479.15	3303.0	3168.41	4736.79	2609.3	3874.05	4123.49	3589.58	4671.57	5913.33	3372.43	3419.52	4123.49	5329.3	3491.39	4769.75	6294.04	4543.8	2061.24	2796.65	2777.33	4123.49	3212.66	3372.43	2224.63	3325.99	4736.79	4388.98	1561.89	2758.13	2537.92	2193.99	1322.37	30.12	114.36	87.65	82.29	1225.22	1870.53	1023.0	1477.58	111.21	118.43	60.82	102.97	59.55	191.67	409.15	104.42	46.18	194.36	111.21	68.07	47.84	57.08	1721.16	0.0	0.74	376.41
GLUD2	50.27	29.7	50.98	88.88	50.63	94.67	82.29	50.98	77.25	76.71	62.12	69.03	59.13	73.54	72.52	87.65	45.21	79.45	135.24	76.17	100.83	136.19	181.28	136.19	46.84	34.02	104.42	60.82	155.5	90.77	48.18	76.71	214.27	61.68	40.93	167.9	108.14	99.43	51.35	7.0	8.38	14.24	5.87	59.13	30.12	53.57	21.32	6.11	15.45	4.9	14.56	7.63	14.56	23.76	21.16	23.08	22.43	3.47	25.17	14.56	24.81	78.34	0.0	0.0	7.51
HDDC3	521.76	575.03	1268.46	723.08	493.56	371.22	698.41	579.04	587.13	638.15	718.08	723.08	860.08	551.56	713.11	1096.5	595.34	629.35	665.29	693.58	934.76	759.08	1104.13	1023.0	457.25	603.67	532.74	587.13	830.75	429.54	587.13	555.41	1233.75	435.55	457.25	1685.71	1008.9	559.28	660.68	540.19	341.51	283.05	339.14	514.56	232.94	518.15	373.81	379.04	90.14	366.09	265.87	426.57	138.1	444.72	336.79	339.14	514.56	271.48	336.79	409.15	339.14	511.0	0.0	0.08	343.89
HIBADH	1963.57	1628.26	2163.77	2816.11	3146.52	2209.26	2875.3	1551.09	1923.14	2255.7	1832.01	2915.45	2816.11	1447.15	2627.46	3515.68	2148.82	2271.4	3467.27	2591.27	2400.97	2895.31	3168.41	3039.3	1561.89	1963.57	1950.0	769.69	2004.85	1896.65	1757.34	2163.77	3589.58	2485.67	1397.83	2591.27	1151.06	1457.23	1498.22	341.51	915.51	595.34	595.34	759.08	884.29	748.61	954.43	191.67	351.14	518.15	441.64	518.15	209.84	521.76	387.02	291.04	470.14	316.37	229.72	181.28	202.66	1583.71	0.0	0.35	713.11
HSDL2	1733.13	1119.56	2193.99	3820.7	4095.0	3491.39	3443.31	1721.16	2224.63	2935.74	1697.45	2895.31	3060.45	2163.77	2956.17	3928.15	2193.99	2682.69	4481.23	3589.58	3146.52	3794.3	2739.08	3395.89	1769.57	1662.49	1963.57	1806.78	1896.65	2178.83	1304.15	2555.58	3491.39	3212.66	1268.46	2075.59	1437.15	1427.22	1369.04	423.61	432.53	536.45	764.36	866.07	607.87	1508.65	688.78	466.88	256.78	423.61	493.56	255.0	536.45	547.75	878.17	460.44	728.11	189.02	332.14	713.11	583.07	866.07	0.0	0.31	947.83
KCNIP2	4607.24	1883.54	8421.31	12764.83	10959.3	9088.59	10659.59	4123.49	5831.91	8022.41	5255.91	10733.74	9945.68	6792.79	8963.45	11345.82	7180.15	6561.36	17437.64	8718.32	6471.02	7433.4	13968.57	12244.81	5366.37	6381.92	3690.52	3372.43	3820.7	9409.14	2555.58	3665.02	9151.82	8363.13	2816.11	18304.63	503.95	5147.73	3901.01	24.63	12.55	47.5	30.78	161.02	25.91	967.76	100.83	6.01	11.13	46.18	8.19	6.06	0.67	5.32	8.65	5.82	16.75	9.48	8.13	2.81	1.97	82.29	0.0	0.66	62.12
KCNJ8	521.76	476.71	713.11	624.99	884.29	587.13	679.29	476.71	1304.15	791.35	532.74	567.1	603.67	591.22	796.86	854.13	511.0	738.29	579.04	679.29	629.35	287.01	620.67	638.15	291.04	432.53	277.2	775.05	460.44	529.06	234.57	463.65	540.19	543.96	595.34	540.19	1015.93	438.59	665.29	11.13	89.51	23.59	40.36	332.14	221.86	197.09	211.31	44.57	44.25	42.11	80.01	109.66	32.36	130.6	27.64	16.88	17.9	18.43	7.63	16.39	41.81	518.15	0.0	0.37	178.77
KIAA0408	346.29	162.14	361.04	802.41	579.04	503.95	791.35	195.72	417.77	624.99	256.78	543.96	693.58	295.11	525.39	1096.5	387.02	633.73	723.08	518.15	620.67	463.65	536.45	1322.37	69.03	414.87	603.67	253.23	371.22	246.28	249.73	104.42	327.56	289.02	113.56	275.28	111.99	141.02	135.24	2.25	8.71	3.41	7.28	21.01	65.26	50.63	93.35	10.47	7.63	3.23	13.62	4.31	2.46	7.34	3.86	3.03	4.1	8.13	8.92	2.1	2.32	80.01	0.0	0.07	64.34
KIAA1107	87.65	88.26	38.95	117.6	101.54	98.04	73.03	76.17	70.01	89.51	57.08	81.71	110.43	78.89	91.41	178.77	88.88	109.66	107.38	84.63	81.14	76.71	114.36	36.27	16.75	131.51	57.89	55.1	102.97	37.32	22.26	24.11	42.41	67.59	84.04	61.68	82.29	52.45	40.36	1.81	25.35	29.06	21.32	45.53	17.13	31.45	20.26	1.0	1.58	19.25	13.22	10.71	9.27	10.96	17.51	7.22	16.75	9.06	4.28	3.41	6.26	25.91	0.0	0.0	33.3
LIAS	239.52	271.48	217.27	226.54	289.02	212.78	275.28	190.34	231.32	232.94	279.14	395.18	473.41	152.28	248.0	463.65	297.17	363.56	409.15	309.83	536.45	583.07	470.14	412.0	183.82	392.44	332.14	237.86	285.03	198.47	190.34	178.77	293.07	289.02	291.04	161.02	205.5	193.01	194.36	100.13	175.07	66.65	69.52	182.55	152.28	265.87	177.53	115.97	167.9	172.65	120.94	127.89	117.6	101.54	102.25	84.04	83.45	175.07	136.19	180.02	189.02	158.79	0.0	0.06	117.6
