	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.05.5420.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.WWYW.0926.SM.3NB2Z	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.111VG.0726.SM.5GIDC	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.ZYWO.0826.SM.5E45W	TCGA.66.2778.01A.02R.0851.07	TCGA.66.2771.01A.01R.0980.07
CRIP2	1143.1	4181.07	866.07	0.0	1.07	9215.48	4639.29	34635.37	7485.11	57051.4	3103.19	4836.35	7180.15	14561.8	5183.54	36610.26	5366.37	2627.46	15392.14	6337.83	389.72	16269.83	17437.64	41763.8	18689.27	6792.79	8718.32	2018.8	780.44	688.78
CRMP1	19.53	31.9	28.86	0.0	0.59	273.37	275.28	559.28	22.43	329.84	22.59	108.9	156.59	159.9	214.27	703.28	142.01	181.28	400.71	69.03	32.36	353.59	312.0	529.06	145.02	209.84	163.28	95.34	26.47	19.11
CYTH3	181.28	103.69	79.45	0.0	0.71	429.54	791.35	1030.12	271.48	1008.9	314.17	223.41	406.31	718.08	612.11	1015.93	457.25	457.25	1088.92	620.67	343.89	909.17	1407.55	866.07	665.29	395.18	551.56	167.9	88.26	144.01
DCN	1191.69	3515.68	13968.57	0.0	1.06	53230.77	56657.31	68793.23	20170.07	43236.64	2875.3	16383.0	19482.97	71714.63	43236.64	103551.29	7911.95	28132.47	53973.86	21320.18	8479.89	30361.44	40062.48	70727.3	23330.64	24832.5	12502.12	3515.68	7857.29	11504.21
DDAH2	529.06	1015.93	854.13	0.0	0.82	2271.4	1794.29	4639.29	2520.38	5006.93	1030.12	1674.06	1628.26	3540.14	1519.15	5633.22	2178.83	2451.44	3742.05	1857.6	813.63	3716.2	4937.99	7485.11	2645.74	1191.69	2319.15	1051.79	1467.37	490.14
DENND2A	27.05	13.22	18.03	0.0	0.32	336.79	457.25	860.08	295.11	591.22	264.03	223.41	412.0	743.43	327.56	1096.5	195.72	587.13	808.0	323.03	264.03	647.07	693.58	808.0	603.67	190.34	307.69	55.49	18.97	22.92
DIXDC1	33.54	35.5	54.72	0.0	0.16	457.25	256.78	656.11	171.45	500.46	107.38	172.65	269.6	384.34	358.54	511.0	320.8	267.73	429.54	429.54	78.34	532.74	483.38	353.59	447.82	356.05	525.39	156.59	37.85	42.11
FAM127A	1781.89	1757.34	1081.39	0.0	1.0	3928.15	3467.27	4419.52	2163.77	6079.61	1397.83	1551.09	2119.22	3716.2	2367.9	6079.61	2758.13	2133.97	3847.29	2384.37	848.22	4298.64	2777.33	6037.61	3419.52	4328.55	3303.0	1883.54	1883.54	1923.14
FBXL7	12.45	14.03	29.06	0.0	0.52	454.09	265.87	473.41	141.02	490.14	95.34	50.63	123.5	316.37	226.54	660.68	92.05	156.59	507.46	141.02	108.9	154.42	525.39	571.05	185.11	127.0	231.32	48.18	9.56	17.25
FXYD1	23.59	84.63	153.34	0.0	0.34	3018.3	2701.35	8022.41	3280.18	7032.37	379.04	1617.0	1857.6	5112.16	3665.02	8963.45	1216.75	1936.53	5594.3	4328.55	1175.27	7032.37	3639.7	6471.02	4152.18	2468.49	1685.71	249.73	79.45	130.6
FXYD6	96.01	105.15	420.68	329.84	435.55	3124.78	2935.74	5672.41	1662.49	8963.45	361.04	878.17	1088.92	5076.84	4575.41	8778.97	607.87	5255.91	3564.78	1295.13	780.44	5112.16	3257.52	5041.77	4210.15	1369.04	1832.01	414.87	202.66	435.55
GADL1	0.32	0.0	0.0	0.0	0.0	0.72	2.01	6.52	1.58	9.63	1.58	1.48	0.71	5.23	0.0	8.25	3.79	5.68	2.92	6.52	1.5	6.46	6.78	13.12	7.22	3.11	1.17	1.85	0.0	0.26
GALNT16	0.0	15.11	6.36	0.0	0.27	37.05	70.01	226.54	87.03	366.09	29.48	42.71	104.42	90.14	189.02	366.09	127.89	39.5	38.12	85.22	32.59	156.59	172.65	316.37	60.39	70.01	105.15	24.99	0.99	6.52
GPR124	41.52	21.16	53.95	0.0	0.42	620.67	423.61	1304.15	135.24	540.19	84.04	97.36	381.68	457.25	656.11	921.88	144.01	397.93	460.44	208.38	135.24	651.58	769.69	633.73	318.57	295.11	358.54	149.12	29.27	47.5
GPR153	113.56	27.44	44.89	0.0	0.47	379.04	291.04	813.63	129.69	1135.2	66.18	199.85	327.56	426.57	309.83	854.13	66.65	551.56	309.83	312.0	94.01	698.41	265.87	785.88	122.64	579.04	165.57	57.89	171.45	79.45
INPP5K	358.54	529.06	463.65	0.0	0.33	1030.12	1023.0	1477.58	728.11	1295.13	607.87	738.29	1001.93	1857.6	1191.69	1551.09	1242.34	1277.29	2004.85	1313.23	688.78	1199.98	1936.53	1059.11	1199.98	890.44	1427.22	656.11	532.74	395.18
LTBP3	660.68	258.57	503.95	0.0	0.82	3212.66	2537.92	4607.24	1594.73	4450.27	555.41	1721.16	2485.67	3124.78	4268.94	5292.48	1388.16	2303.12	3124.78	2591.27	1111.82	5219.6	3146.52	2895.31	2777.33	2104.58	2875.3	540.19	1233.75	616.37
NBL1	4736.79	1733.13	1594.73	0.0	0.51	18304.63	12589.08	13968.57	6840.04	17437.64	1023.0	8247.98	13033.07	12943.04	12764.83	25005.23	4358.66	6426.31	17197.56	5711.87	3901.01	19892.37	9606.86	12764.83	8963.45	7537.18	5292.48	1572.76	3303.0	2502.97
NFASC	53.95	198.47	13.62	0.0	0.57	281.09	204.07	320.8	75.64	318.57	15.11	31.45	132.44	172.65	348.71	591.22	208.38	55.1	75.11	199.85	17.13	253.23	540.19	656.11	241.19	166.73	190.34	68.07	18.84	19.82
PALM	28.24	68.07	48.52	0.0	0.73	1745.2	713.11	1540.37	253.23	2193.99	94.67	146.03	647.07	514.56	555.41	1963.57	206.94	318.57	1096.5	429.54	78.34	1208.34	1183.45	1242.34	633.73	166.73	285.03	80.57	33.54	48.18
PDE8B	22.92	10.88	5.59	0.0	0.21	110.43	88.26	244.57	42.41	170.25	43.32	53.57	108.14	138.1	49.91	264.03	90.77	78.89	376.41	107.38	29.06	229.72	191.67	194.36	105.15	110.43	113.56	55.49	8.32	12.0
PEAR1	56.28	8.58	22.26	0.0	0.67	463.65	237.86	532.74	214.27	579.04	128.79	130.6	154.42	414.87	289.02	769.69	239.52	183.82	684.02	246.28	100.13	312.0	483.38	325.29	435.55	163.28	305.55	121.79	19.39	21.32
PLAC9	18.56	381.68	167.9	0.0	0.23	819.3	3419.52	6207.38	1081.39	7081.29	748.61	1044.52	796.86	4210.15	954.43	5831.91	571.05	1697.45	1127.35	2935.74	878.17	2384.37	3190.46	6337.83	1191.69	3395.89	928.3	373.81	104.42	107.38
PTK2	988.12	480.04	1088.92	0.0	0.73	1304.15	1427.22	1628.26	1051.79	2335.28	872.1	1199.98	1183.45	1561.89	902.89	2032.85	1175.27	1313.23	2240.11	995.0	684.02	1963.57	2018.8	1923.14	1977.24	1175.27	1769.57	860.08	733.19	941.27
REM1	17.13	4.86	11.55	0.0	0.0	90.77	46.5	287.01	27.44	204.07	10.39	16.39	36.79	135.24	162.14	255.0	29.7	156.59	146.03	85.22	3.26	181.28	150.17	175.07	147.06	41.52	111.99	29.27	4.82	16.75
RILPL1	206.94	46.5	39.5	0.0	0.38	211.31	126.12	409.15	111.21	567.1	186.4	155.5	170.25	291.04	241.19	229.72	444.72	232.94	379.04	264.03	171.45	532.74	493.56	251.48	301.33	251.48	199.85	206.94	68.55	73.03
RP11-1407O15.2	86.43	287.01	128.79	0.0	1.0	318.57	214.27	209.84	159.9	356.05	111.99	157.68	215.77	239.52	137.14	444.72	155.5	256.78	441.64	334.46	99.43	397.93	228.13	197.09	269.6	124.37	336.79	182.55	55.89	126.12
SCD5	156.59	49.91	42.41	0.0	0.26	493.56	351.14	1572.76	156.59	1081.39	175.07	58.3	221.86	638.15	848.22	1498.22	295.11	967.76	703.28	1088.92	198.47	2701.35	575.03	403.5	314.17	277.2	1359.57	108.9	63.45	81.71
SCGB1A1	21.01	1781.89	11.91	0.0	0.0	1273174.62	3336720.86	845824.19	2581895.97	3178687.03	2068278.89	1739208.14	1093103.58	1041331.96	3156730.23	2691538.19	1556634.79	3091765.64	828417.36	3968052.37	1155430.26	3134925.09	2392353.91	1246973.04	998912.34	1255646.43	3070409.25	938500.81	8778.97	2417.67
SEMA3D	14.89	5.15	4.86	0.0	0.21	48.52	56.28	142.01	37.85	131.51	10.31	8.25	12.74	67.59	63.45	144.01	43.94	76.17	155.5	63.45	26.28	105.15	358.54	269.6	96.68	40.07	237.86	8.92	2.84	24.81
SKI	314.17	161.02	128.79	293.07	80.57	1183.45	738.29	1437.15	1572.76	1950.0	974.5	1417.35	713.11	1159.07	1277.29	2224.63	902.89	764.36	2956.17	1001.93	1030.12	579.04	2178.83	2133.97	813.63	642.59	1159.07	536.45	172.65	327.56
SLC47A1	50.27	17.0	63.45	0.0	0.13	88.88	301.33	170.25	93.35	441.64	74.58	81.14	111.99	93.35	612.11	303.44	31.0	260.38	656.11	84.04	76.17	113.56	166.73	70.01	157.68	173.85	195.72	32.36	28.86	76.17
TCEA2	358.54	144.01	334.46	0.0	0.58	1066.48	1183.45	2434.5	500.46	2520.38	457.25	909.17	848.22	1529.73	1350.18	1844.76	866.07	796.86	1447.15	1135.2	348.71	2384.37	1259.69	1081.39	1369.04	651.58	1001.93	620.67	567.1	525.39
TM4SF18	32.36	18.84	102.97	0.0	0.09	146.03	221.86	412.0	53.57	470.14	171.45	24.11	76.17	73.54	175.07	251.48	97.36	173.85	336.79	262.2	108.9	332.14	229.72	180.02	295.11	81.71	334.46	139.07	49.21	78.34
TSSK3	4.21	2.97	12.74	0.0	0.61	40.93	66.65	29.27	18.84	52.08	13.22	10.31	50.98	26.28	78.34	74.58	15.8	21.47	65.72	72.01	8.0	19.11	47.5	19.68	31.45	9.41	45.21	21.01	12.36	18.29
ZBTB4	258.57	327.56	147.06	293.07	309.83	1963.57	1529.73	1662.49	607.87	1183.45	536.45	575.03	1225.22	1350.18	1407.55	2303.12	802.41	1023.0	1883.54	1286.18	463.65	2090.03	1388.16	1104.13	1709.26	743.43	1088.92	490.14	146.03	209.84
ZCCHC11	414.87	120.1	412.0	0.0	0.8	1175.27	563.18	441.64	432.53	947.83	334.46	595.34	780.44	599.49	1044.52	1417.35	406.31	620.67	884.29	473.41	190.34	647.07	551.56	665.29	521.76	457.25	490.14	358.54	164.42	343.89
ZNF540	8.92	22.59	33.06	0.0	0.34	177.53	52.08	128.79	55.89	111.21	24.63	87.65	65.26	27.84	215.77	366.09	75.64	37.85	253.23	80.01	27.44	237.86	63.89	68.55	63.89	84.63	53.57	22.59	16.75	42.71
